"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",45.9103225806452,"Up",11361000,-4414000,6947000,-4482000,-3982000,-5e+05,2465000,-39000,-39000,2426000,2426000,-883000,1543000,1543000,1543000,1543000,2722000,2722000,7595000,7595000,5281000,960000,960000,16558000,7328000,39731000,16091000,23640000,47059000,63617000,5999000,883000,4847000,5999000,5e+06,2519000,2519000,7519000,13518000,7387000,42712000,50099000,50099000,63617000,1543000,910000,459000,613000,3525000,-286000,-470000,181000,181000,-3289000,-50000,-50000,-50000,3375000,5e+06,0.61148,0.21697,0.13582,0.0308,0.02425,2.76013,0.26983,0.0786,0.46957,0.44111,3.4574,15.2462,0.14303,0.03494,0.3046,0.67496,0.92414
"12","2013_Q1",50.453,"Up",12808000,-4597000,8211000,-4280000,-3668000,-612000,3931000,-17000,-17000,3914000,3914000,-1355000,2559000,2559000,2559000,2559000,4006000,4006000,8474000,8474000,5576000,1399000,553000,19455000,7406000,39058000,15418000,23640000,46464000,65919000,6802000,1010000,4647000,6802000,4e+06,2364000,2364000,6364000,13166000,11203000,41550000,52753000,52753000,65919000,2559000,847000,-76000,-379000,2951000,-252000.000000001,-474000,59000,104000,-1415000,1284000,1284000,1284000,4778000,4e+06,0.64108,0.30692,0.1998,0.04851,0.03882,2.86019,0.24958,0.06068,0.77592,0.73471,3.88357,15.99545,0.14372,0.05131,0.18523,-0.00126,-0.00153
"13","2013_Q2",49.58515625,"Down",11218000,-4421000,6797000,-3754000,-3169000,-585000,3043000,-28000,-28000,3015000,3015000,-1155000,1860000,1860000,1860000,1860000,3589000,3589000,6375000,6375000,6090000,1720000,1720000,17774000,7622000,38446000,14806000,23640000,46068000,63842000,5523000,1621000,3857000,5523000,1500000,2364000,2364000,3864000,9387000,10890000,43565000,54455000,54455000,63842000,1860000,811000,149000,-15000,2805000,-415000,-474000,167000,182000,-2807000,-417000,-417000,-417000,3854000,1500000,0.6059,0.27126,0.1658,0.03416,0.02913,3.21818,0.17238,0.0235,0.55739,0.52528,3.3617,16.31855,0.14204,0.04002,0.25484,-0.54203,-0.68649
"14","2013_Q3",61.22375,"Up",12676000,-5076000,7600000,-5085000,-4555000,-530000,2515000,423000,423000,2938000,2938000,-1006000,1932000,1932000,1932000,1932000,3424000,3424000,7091000,7091000,6089000,1997000,1997000,18601000,7772000,39414000,15195000,24219000,47186000,65787000,6851000,1344000,5209000,6851000,8653582.41222087,2364000,2364000,2364000,9215000,11553000,45019000,56572000,56572000,65787000,1932000,828000,-260000,274000,2774000,-1416000,-478000,455000,455000,-1523000,-165000,-165000,-165000,3343000,-9.31322574615479e-10,0.59956,0.19841,0.15241,0.03415,0.02937,2.71508,0.16289,0,0.57689,0.54607,3.78501,16.89221,0.14273,0.04089,0.24741,-1.02423,-1.36143
"15","2013_Q4",69.94671875,"Up",13116000,-5410000,7706000,-4900000,-4376000,-524000,2806000,-79000,-79000,2727000,2727000,-981000,1746000,1746000,1746000,1746000,2160000,2160000,8844000,8844000,7155000,2441000,2441000,20600000,7681000,64274000,26345000,37929000,71955000,92555000,11745000,1370000,9104000,13459000,1.6e+07,4591000,4591000,20591000,34050000,12255000,46250000,58505000,58505000,92555000,1746000,1043000,320000,786000,3895000,-21074000,-515000,430000,430000,15915000,-1264000,-1264000,-1264000,3849000,1.6e+07,0.58753,0.21394,0.13312,0.02984,0.01886,1.53057,0.582,0.17287,0.51964,0.49294,3.90357,17.4122,0.15327,0.02859,0.29496,3.59574,4.93229
"16","2014_Q1",81.7031147540984,"Up",15714000,-6129000,9585000,-6164000,-5483000,-681000,3421000,1002000,1002000,4423000,4423000,-961000,3462000,3462000,3462000,3462000,5575000,5575000,9278000,9278000,7771000,3942000,2064000,26566000,7680000,63283000,25417000,37866000,70963000,97529000,9949000,2019000,7930000,11835000,16500000,4861000,4861000,21361000,33196000,15772000,48561000,64333000,64333000,97529000,3462000,1162000,-852000,-873000,2899000,-233000.000000004,-522000,771000,778000,748999.999999998,3415000,3415000,3415000,4583000,16500000,0.60997,0.2177,0.22031,0.05381,0.0355,2.2447,0.516,0.16918,1.02365,0.92295,4.64636,19.02218,0.15435,0.04649,0.15078,2.38381,3.19351
"17","2014_Q2",79.6255555555556,"Down",16400000,-6695000,9705000,-6650000,-5899000,-751000,3055000,-162000,-162000,2893000,2893000,-1012000,1881000,1881000,1881000,1881000,3200000,3200000,10761000,10761000,9950000,4180000,2302000,28091000,7902000,74291000,31957000,42334000,82193000,110284000,9611000,2058000,6808000,14025000,2.5e+07,4861000,4861000,29861000,43886000,16482000,49916000,66398000,66398000,110284000,1881000,1359000,295000,-3109000,426000,-14210000,-526000,435000,435000,11409000,-2375000,-2375000,-2375000,4414000,2.8e+07,0.59177,0.18628,0.1147,0.02833,0.01706,2.00292,0.66095,0.25389,0.55421,0.52941,4.83206,19.56335,0.15498,0.02425,0.27964,5.61849,8.11784
"18","2014_Q3",69.9875,"Down",18540000,-7417000,11123000,-6223000,-5347000,-876000,4900000,-157000,-157000,4743000,4743000,-1683000,3060000,3060000,3060000,3060000,3657000,3657000,11807000,11807000,10634000,4656000,2778000,30754000,8178000,73168000,30834000,42334000,81346000,112100000,10630000,2725000,6857000,14890000,22750000,4861000,4861000,27611000,42501000,17149000,52450000,69599000,69599000,112100000,3060000,1362000,237000,-1341000,3318000,-515000,-526000,430000,430000,-2346000,456999.999999999,456999.999999999,457000,6262000,25750000,0.59995,0.26429,0.16505,0.04397,0.0273,2.06541,0.61066,0.22971,0.89683,0.85189,5.43376,20.3983,0.15416,0.03578,0.1719,3.52811,4.50878
"19","2014_Q4",70.82734375,"Up",17830000,-6778000,11052000,-7344000,-6512000,-832000,3708000,5000,5000,3713000,3713000,-1310000,2403000,2403000,2403000,2403000,1427000,1427000,11849000,11849000,12596000,3436000,1558000,29308000,9241000,77629000,33532000,44097000,86870000,116178000,10178000,2840000,7338000,14599000,2.5e+07,4861000,4861000,29861000,44460000,17681000,54287000,71718000,71718000,116178000,2403000,1441000,91000,-1503000,2432000,-6537000,-566000,272000,272000,1956000,-2149000,-2149000,-2230000,5149000,2.8e+07,0.61985,0.20796,0.13477,0.03351,0.02068,2.00753,0.61993,0.24101,0.69977,0.66071,5.1922,20.88468,0.16482,0.02839,0.23554,5.16081,7.1664
"20","2015_Q1",72.175737704918,"Up",18560000,-7048000,11512000,-7311000,-6476000,-835000,4201000,-203000,-203000,3998000,3998000,-1759000,2239000,2239000,2239000,2239000,2034000,2034000,12145000,12145000,12420000,3023000,1334000,29622000,9598000,78100000,33231000,44869000,87698000,117320000,9935000,2503000,6224000,15469000,23250000,5122000,5122000,28372000,43841000,17751000,55962000,73479000,73479000,117320000,2239000,1494000,660000,247000,4640000,-2109000,-564000,367000,367000,-1947000,584000,584000,607000,5695000,26250000,0.62026,0.22635,0.12064,0.03047,0.01908,1.91493,0.59665,0.22375,0.63249,0.61141,5.24294,20.75678,0.15932,0.02673,0.2519,4.25215,5.76434
"21","2015_Q2",82.0653968253968,"Up",18158000,-7017000,11141000,-7499000,-6536000,-963000,3642000,-116000,-116000,3526000,3526000,-771000,2755000,2755000,2755000,2755000,1968000,1968000,11179000,11179000,12871000,3270000,1718000,29288000,11040000,76861000,31960000,44901000,87901000,117189000,9108000,2325000,5093000,13623000,2.2e+07,5176000,5176000,27176000,40799000,18897000,57699000,76390000,76390000,117189000,2755000,1504000,-581000,-817000,2861000,-1675000,-569000,560000,560000,-1259000,-73000,-73000,-66000,5146000,2.5e+07,0.61356,0.20057,0.15172,0.03606,0.02351,2.14989,0.53409,0.21333,0.78692,0.75356,5.18652,21.81948,0.16252,0.03119,0.20653,4.47571,6.324
"22","2015_Q3",102.77703125,"Up",21776000,-8709000,13067000,-10061000,-9070000,-991000,3006000,-213000,-213000,2793000,2793000,-967000,1826000,1826000,1826000,1826000,5460000,5460000,12687000,12687000,13363000,3484000,1943000,34994000,14713000,106186000,40794000,65392000,120899000,155893000,17401000,3038000,14130000,28334000,43750000,4861000,4861000,48611000,76945000,19675000,58876000,78948000,78948000,155893000,1826000,1935000,-429000,2769000,6101000,-24047000,-575000,286000,286000,21461000,3515000,3515000,3492000,4941000,46750000,0.60006,0.13804,0.08385,0.02313,0.01171,1.23505,0.97463,0.29989,0.52052,0.50165,6.20753,22.50513,0.16391,0.01839,0.3149,8.35661,13.73586
"23","2015_Q4",104.1759375,"Up",19913000,-7704000,12209000,-8377000,-7402000,-975000,3832000,-381000,-381000,3451000,3451000,-854000,2597000,2597000,2597000,2597000,3272000,3272000,13283000,13283000,14716000,2976000,1294000,34247000,15685000,105184000,41231000,63953000,120869000,155116000,14724000,3053000,11470000,25229000,4.4e+07,5243000,5243000,49243000,74472000,21437000,60657000,80644000,80644000,155116000,2597000,1768000,454000,-3828000,991000,-3768000,-580000,954000,954000,624000,-2153000,-2153000,-2188000,5600000,4.7e+07,0.61312,0.19244,0.13042,0.0322,0.01674,1.35745,0.92347,0.303,0.73528,0.71073,5.63788,22.83239,0.16421,0.02391,0.22333,7.80857,11.41127
"24","2016_Q1",87.9540983606557,"Down",24812000,-9816000,14996000,-9153000,-8110000,-1043000,5843000,-58000,-57999.9999999999,5785000,5785000,-1794000,3991000,3991000,3991000,3991000,5695000,5695000,15313000,15313000,14017000,2161000,943000,37186000,16628000,106934000,40797000,66137000,123562000,160748000,17618000,2823000,12555000,28401000,42250000,5419000,5419000,47669000,76070000,21001000,64828000,84678000,84678000,160748000,3991000,1967000,-929000,1921000,6950000,-2350000,-579000,123000,123000,-2206000,2394000,2394000,2423000,7810000,45250000,0.60438,0.23549,0.16085,0.04713,0.02483,1.30932,0.89834,0.2815,1.12645,1.09342,7.0031,23.90008,0.16342,0.03377,0.14508,5.06466,6.76964
"25","2016_Q2",105.27484375,"Up",21114000,-9100000,12014000,-9439000,-8404000,-1035000,2575000,-406000,-406000,2169000,2169000,-239000,1930000,1930000,1930000,1930000,4637000,4637000,12423000,12423000,14119000,1369000,1369000,32548000,19539000,109978000,40826000,69152000,129517000,162065000,14593000,2757000,10748000,27058000,4.3e+07,4343000,4343000,47343000,74401000,22590000,66175000,87664000,87664000,162065000,1930000,2170000,745000,-1213000,3632000,-6021000,-583000,1160000,1160000,1327000,-1062000,-1062000,-1058000,4745000,4.6e+07,0.56901,0.12196,0.09141,0.02202,0.01191,1.2029,0.84871,0.28384,0.53986,0.5236,5.90601,24.5214,0.16308,0.01821,0.30207,8.71718,16.0633
"26","2016_Q3",111.5434375,"Up",24409000,-10685000,13724000,-9712000,-8667000,-1045000,4012000,-8e+05,-8e+05,3212000,3212000,-854000,2358000,2358000,2358000,2358000,5070000,5070000,13413000,13413000,14400000,1452000,1452000,34335000,22129000,109789000,39353000,70436000,131918000,166253000,9247000,3484000,5677000,21911000,49750000,4322000,4322000,54072000,75983000,23609000,67947000,90270000,90270000,166253000,2358000,2241000,-4388000,-2514000,-2303000,-4049000,-586000,607000,607000,6771000,419000,419000,433000,6253000,52750000,0.56225,0.16437,0.0966,0.02612,0.01418,1.56702,0.84173,0.31729,0.65536,0.63014,6.78405,25.08894,0.16287,0.01998,0.24852,7.62514,11.88435
"27","2016_Q4",122.353015873016,"Up",23843000,-10306000,13537000,-9151000,-8290000,-861000,4386000,-506000,-506000,3880000,3880000,-628000,3252000,3252000,3252000,3252000,5405000,5405000,12944000,12944000,14578000,2037000,2037000,34964000,24273000,111216000,39300000,71916000,135489000,170453000,9664000,2919000,6745000,22126000,5e+07,4602000,4602000,54602000,76728000,25037000,70608000,93725000,93725000,170453000,3252000,2198000,189000,-197000,5442000,-5915000,-591000,1048000,1048000,707000,234000,234000,335000,6584000,5.3e+07,0.56776,0.18395,0.13639,0.0347,0.01908,1.58022,0.81865,0.31094,0.89983,0.86605,6.5974,25.93387,0.16353,0.0254,0.18173,7.22889,10.85157
"28","2017_Q1",120.181935483871,"Down",24299000,-10335000,13964000,-8624000,-7408000,-1216000,5340000,-305000,-305000,5035000,5035000,-1392000,3643000,3643000,3643000,3643000,5820000,5820000,14319000,14319000,13873000,1773000,1773000,35785000,26002000,109946000,37790000,72156000,135948000,171733000,10031000,2168000,7349000,16567000,53675000,3670000,3554000,57345000,73912000,25925000,73656000,97821000,97821000,171733000,3643000,2128000,-5226000,434000,979000,-2420000,-595000,698000,698000,1903000,462000,462000,415000,7468000,54800000,0.57467,0.21976,0.14992,0.03724,0.02121,2.16002,0.75558,0.3191,1.00275,0.94746,6.68841,26.92568,0.16378,0.02712,0.16333,6.55865,9.17228
"29","2017_Q2",139.679206349206,"Up",22673000,-10002000,12671000,-10689000,-9536000,-1153000,1982000,-679000,-679000,1303000,1303000,214000,1517000,1517000,1517000,1517000,2976000,2976000,12903000,12903000,13376000,4496000,3484000,33751000,25821000,109411000,36681000,72730000,135232000,168983000,8597000,2338000,5555000,15045000,49303000,3644000,3644000,52947000,67992000,27428000,74572000,100991000,100991000,168983000,1517000,2278000,345000,-1459000,2681000,-1567000,-601000,963000,963000,-3888000,-2774000,-2774000,-2844000,4260000,50553000,0.55886,0.08742,0.06691,0.01502,0.00898,2.24334,0.67325,0.29916,0.40605,0.38669,6.06879,27.03185,0.16087,0.01365,0.39618,11.16831,24.00454
"30","2017_Q3",138.746666666667,"Down",22954000,-9721000,13233000,-9585000,-8700000,-885000,3648000,-542000,-542000,3106000,3106000,-753000,2353000,2353000,2353000,2353000,10268000,10268000,12187000,12187000,12913000,5948000,4014000,41316000,23760000,108857000,35443000,73414000,132617000,173933000,8197000,2036000,6161000,14542000,50455000,3698000,3698000,54153000,68695000,28974000,76325000,105238000,105238000,173933000,2353000,2253000,-21000.0000000009,102000,4687000,625999.999999999,-6e+05,1101000,1101000,1751000,7064000,7064000,7292000,5901000,51830000,0.5765,0.15893,0.10251,0.02236,0.01353,2.84115,0.65276,0.29799,0.62513,0.59797,6.0983,27.95909,0.1594,0.01837,0.25499,7.04321,11.39309
"31","2017_Q4",137.721746031746,"Down",23671000,-10990000,12681000,-22769000,-8198000,-752000,-10088000,-438000,-438000,-10526000,-10526000,-560000,-11086000,-11086000,-11086000,-11086000,5843000,5843000,12361000,12361000,10454000,5431000,3497000,34089000,23956000,109732000,44436000,65296000,133688000,167777000,8513000,2029000,6484000,14397000,54608000,4325000,4115000,58933000,73330000,29694000,64633000,94447000,94447000,167777000,-11086000,2450000,13853000,3493000,8710000,-15899000,-606000,282000,282000,3021000,-4168000,-4168000,-4425000,-7638000,56108000,0.53572,-0.42618,-0.46834,-0.11738,-0.06608,2.36778,0.77641,0.33442,-2.93203,-2.93203,6.26051,24.97937,0.16028,-0.06767,-0.05466,-6.58091,-4.98265
"32","2018_Q1",134.420491803279,"Down",26881000,-10847000,16034000,-9393000,-8644000,-749000,6641000,-223000,-223000,6418000,6418000,-2164000,4254000,4254000,4254000,4254000,5469000,5469000,14302000,14302000,9228000,3116000,1055000,32115000,23593000,108393000,42850000,65543000,131986000,164101000,11035000,2380000,7647000,17290000,44635000,2815000,2621000,47450000,64740000,30516000,68281000,99361000,99361000,164101000,4254000,2490000,-2491000,4483000,8736000,-343999.999999998,-606000,573000,573000,-9003000,-611000,-611000,-374000,9131000,46260000,0.59648,0.24705,0.15825,0.04281,0.02592,1.85743,0.65156,0.2819,1.11977,1.23627,7.07581,26.15451,0.15952,0.03274,0.14245,4.46731,6.1423
"33","2018_Q2",172.70953125,"Up",25142000,-10051000,15091000,-10327000,-9490000,-837000,4764000,-364000,-364000,4400000,4400000,-170000,4230000,4230000,4230000,4230000,7400000,7400000,12472000,12472000,8632000,4449000,2394000,32953000,23298000,105207000,40113000,65094000,128505000,161458000,10010000,2873000,6221000,15639000,37662000,2706000,2522000,40368000,56007000,34298000,71901000,105451000,105451000,161458000,4230000,2455000,-105000,-37000,6543000,-3e+05,-610000,3043000,3043000,-4442000,1801000,1801000,1931000,7219000,39412000,0.60023,0.18948,0.16824,0.04011,0.0262,2.1071,0.53112,0.2441,1.10849,1.05592,6.58857,27.63391,0.15985,0.0328,0.14421,4.43441,6.71956
"34","2018_Q3",198.865396825397,"Up",24865000,-10288000,14577000,-13439000,-9297000,-842000,1138000,168000,168000,1306000,1306000,-312000,994000,994000,994000,994000,5625000,5625000,13242000,13242000,8336000,6508000,6388000,33711000,23235000,103342000,38260000,65082000,126577000,160288000,10567000,2295000,8272000,19532000,31188000,2665000,2532000,33853000,53385000,35421000,72279000,106903000,106903000,160288000,994000,2434000,830000,-601000,3657000,1673000,-616000,133000,133000,-6858000,-1528000,-1528000,-1775000,3572000,33063000,0.58625,0.04577,0.03998,0.0093,0.0062,1.72594,0.49938,0.20627,0.25818,0.24567,6.45844,27.76701,0.16,0.01129,0.61972,7.68141,24.11072
