"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"12","2014_Q1",25.226393442623,"Up",64645000,-18206000,46439000,-26032000,-4537000,-16161000,-5334000,20407000,-13500000,-13776000,276000,6907000,6907000,6907000,6907000,6907000,6907000,48987000,48987000,7295000,7295000,1928028000,1928028000,1984310000,-251192000,99325000,99325000,-151867000,1832443000,37063000,37063000,952174000,989237000,63628000,63628000,156628000,1145865000,692601000,648511000,38067000,686578000,1832443000,6907000,16161000,1143000,-5967000,18244000,-22172000,-907000,-23079000,-12855000,328999.999999998,68000,-11900000,-16735000,-16735000,-16735000,36568000,1045174000,0.71837,0.31568,0.10685,0.01006,0.00377,2.0059,1.66895,0.57037,0.17337,0.11952,1.62264,16.27815,0.32267,0.01101,1.86116,27.24204,48.81595
"13","2014_Q2",26.4765079365079,"Up",63980000,-16620000,47360000,-26979000,-4612000,-16341000,-6026000,20381000,-13723000,-13632000,-91000,6658000,6658000,6658000,6658000,6658000,6658000,79486000,79486000,6277000,6277000,10567999.9999998,10568000.0000002,96331000,1692929000,89698000,89698000,1782627000,1878958000,40248000,40248000,952498000,992746000,63736000,63736000,163736000,1156482000,735594000,686454000,36022000,722476000,1878958000,6658000,16341000,-1514000,6508000,27993000,-30300000,-1299000,-31599000,-13140000,6595000,-6276000,34105000,30499000,30499000,30499000,36722000,1052498000,0.74023,0.31855,0.10406,0.00922,0.00354,0.09703,1.60072,0.56015,0.16406,0.11383,1.57653,16.9149,0.32378,0.01077,1.97357,26.4967,47.74113
"14","2014_Q3",27.15484375,"Up",62199000,-16500000,45699000,-27973000,-4635000,-18209000,-5129000,17726000,-12375000,-13439000,1064000,5351000,5351000,5351000,5351000,5351000,5351000,78859000,78859000,4940000,4940000,10766000,10766000,94565000,1710026000,87832000,87832000,1797858000,1892423000,38885000,38885000,952847000,991732000,62998000,62998000,162998000,1154730000,759584000,704305000,33388000,737693000,1892423000,5351000,18209000,1224000,-2443000,22341000,-30961000,-1298000,-32259000,-13313000,-378999.999999999,0,9291000,-627000,-627000,-627000,35935000,1052847000,0.73472,0.28499,0.08603,0.00725,0.00283,0.09535,1.56533,0.55635,0.12796,0.0896,1.48743,16.8428,0.31837,0.01007,2.48795,27.10416,54.94686
"15","2014_Q4",29.7953125,"Up",67343000,-17374000,49969000,-26933000,-4682000,-16352000,-5899000,23036000,-13946000,-13325000,-621000,9090000,9090000,9090000,9090000,9090000,9090000,95145000,95145000,7552000,7552000,11835000,11835000,114532000,1738039000,86089000,86089000,1824128000,1938660000,53231000,53231000,953190000,1006421000,61268000,61268000,161268000,1167689000,794868000,738223000,32748000,770971000,1938660000,9090000,16352000,887000,4734000,31063000,-33616000,-1480000,-35096000,-13535000,-385000,0,20319000,16286000,16286000,16286000,39388000,1053190000,0.74201,0.34207,0.13498,0.01179,0.00469,0.1138,1.51457,0.54326,0.21369,0.15039,1.58309,17.35402,0.31818,0.012,1.489,24.32327,41.58903
"16","2015_Q1",33.834262295082,"Up",66478000,-17773000,48705000,-26179000,-4603000,-15666000,-5910000,22526000,-12854000,-12569000,-285000,9672000,9672000,9672000,9672000,657000,657000,59357000,59357000,6727000,6727000,10994000,10994000,77078000,1775400000,89284000,89284000,1864684000,1941762000,50861000,50861000,812811000,863672000,61514000,61514000,311514000,1175186000,795502000,735303000,31273000,766576000,1941762000,10046000,15666000,4004000,-5502000,24214000,-49797000,-4089000,-53886000,-14323000,8893000,-645000,-6116000,-35788000,-35788000,-35788000,38192000,1062811000,0.73265,0.33885,0.00988,0.00086,0.00034,0.08924,1.53303,0.54734,0.0151999999999999,0.01075,1.53791,17.01054,0.33135,0.00792,21.80061,26.27393,44.54648
"17","2015_Q2",32.2769841269841,"Down",66035000,-16620000,49415000,-26171000,-5016000,-15107000,-6048000,23244000,-11865000,-11795000,-70000,11379000,11379000,11379000,11379000,11379000,11379000,54639000,54639000,5772000,5772000,10252000,10252000,70663000,1806879000,88607000,88607000,1895486000,1966149000,55045000,55045000,711809000,766854000,61741000,61741000,431741000,1198595000,800519000,737492000,30062000,767554000,1966149000,11379000,15107000,1647000,4377000,32510000,-44125000,-1044000,-45169000,-14350000,18271000,-6252000,7941000,-4718000,-4718000,-4718000,38351000,1081809000,0.74832,0.352,0.17232,0.01483,0.00579,0.09215,1.56158,0.55022,0.26207,0.18556,1.52085,16.98517,0.33049,0.01346,1.26109,26.7834,44.19076
"18","2015_Q3",32.2409375,"Down",66769000,-17205000,49564000,-26060000,-4788000,-15286000,-5986000,23504000,-11220000,-11197000,-23000,12284000,12284000,12284000,12284000,12284000,12284000,34949000,34949000,5721000,5721000,11311000,11311000,51981000,1833714000,88618000,88618000,1922332000,1974313000,45116000,45116000,579133000,624249000,59782000,59782000,539782000,1164031000,845088000,780725000,29557000,810282000,1974313000,12284000,15286000,-723000,-1684000,25163000,-45105000,-3641000,-48746000,-14524000,-23405000,-1913000,3893000,-19690000,-19690000,-19690000,38790000,1059133000,0.74232,0.35202,0.18398,0.01516,0.00622,0.08327,1.43658,0.53646,0.2786,0.19815,1.51429,17.70647,0.3294,0.0139,1.18235,26.4033,43.57488
"19","2015_Q4",32.66171875,"Up",71289000,-18985000,52304000,-28794000,-6357000,-15761000,-6676000,23510000,-11605000,-11258000,-347000,11905000,19026000,19026000,19026000,19026000,19026000,40158000,40158000,8151000,8151000,25208000.0000001,25207999.9999999,73517000.0000001,1837096000,85462000,85462000,1922558000,1996075000,50806000,50806000,579449000,630255000,58307000,58307000,533307000,1163562000,863969000,801963000,30550000,832513000,1996075000,19026000,15761000,-9454000,7037000,32370000,-25926000,741000,-25185000,-14711000,-5412000,-682000,-1976000,5209000,5209000,5209000,39271000,1054449000,0.73369,0.32978,0.26689,0.02285,0.00953,0.11665,1.39765,0.52826,0.42282,0.30249,1.58426,17.82208,0.32692,0.01734,0.77321,25.82799,43.14296
"20","2016_Q1",30.2744262295082,"Down",71530000,-20377000,51153000,-27260000,-3913000,-17238000,-6109000,23893000,-12835000,-13010000,175000,11058000,11058000,11058000,11058000,-4180000,-4180000,39925000,39925000,7518000,7518000,2172907000,2172907000,2220350000,-338045000,91984000,91984000,-246061000,1974289000,31821000,31821000,5.79e+08,610821000,57928000,57928000,534541000,1145362000,863886000,799562000,29365000,828927000,1974289000,11226000,17238000,3561000,-11608000,20417000,-19018000,-517000,-7276000,-15827000,4566000,-1430000,-12745000,396000,396000,396000,41131000,1055613000,0.71513,0.33403,-0.05844,-0.00504,-0.00212,3.63503,1.38174,0.53468,-0.0923800000000001,-0.0661999999999999,1.58092,17.67153,0.3498,0.006,-3.78636,24.69398,42.50986
"21","2016_Q2",32.7959375,"Up",70731000,-18453000,52278000,-28635000,-4549000,-17453000,-6633000,23643000,-12922000,-12946000,24000,10721000,10721000,10721000,10721000,10721000,10721000,44007000,44007000,7586000,7586000,9294999.99999952,9295000,60888000.0000005,1.837e+09,79938000,79938000,1916938000,1977826000,37014000,37014000,494883000,531897000,59645000,59645000,625528000,1157425000,864492000,793625000,26776000,820401000,1977826000,10721000,17453000,1790000,4296000,34260000,-17135000,-760000,-17895000,-15827000,5059000,-1515000,-12283000,4082000,4082000,4082000,41096000,1060766000,0.73911,0.33427,0.15157,0.01307,0.00542,0.11447,1.4108,0.53633,0.23701,0.16982,1.56367,17.54493,0.34989,0.01368,1.47626,24.74107,43.00465
"22","2016_Q3",36.38234375,"Up",71819000,-19590000,52229000,-28525000,-4394000,-17714000,-6417000,23704000,-13054000,-13153000,99000,10650000,10650000,10650000,10650000,10650000,10650000,43886000,43886000,6747000,6747000,9450000,9450000,60083000,1834520000,77310000,77310000,1911830000,1971913000,33209000,33209000,467531000,500740000,69500000,69500000,665275000,1166015000,865129000,783415000,22483000,805898000,1971913000,10650000,17714000,814000,111000.000000004,29289000,-14717000,-295000,-15012000,-15826000,1868000,-440000,-14398000,-121000,-121000,-121000,41418000,1063306000,0.72723,0.33005,0.14829,0.01322,0.0054,0.11999,1.44685,0.53923,0.23544,0.16869,1.58768,17.31867,0.34986,0.01366,1.48601,24.61297,43.00624
"23","2016_Q4",33.6957142857143,"Down",75976000,-20591000,55385000,-29901000,-4513000,-17992000,-7396000,25484000,-13626000,-13049000,-577000,11858000,11858000,11858000,11858000,11858000,11858000,61959000,61959000,8604000,8604000,10246000,10246000.0000002,80809000.0000002,1833520000,74899000,74899000,1908419000,1989228000,42607000,42607000,467866000,510473000,68235000,68235000,664243000,1174716000,875315000,792404000,22108000,814512000,1989228000,11858000,17992000,2480000,6848000,39178000,-13731000,-553000,-14284000,-15883000,-439000,-164000,-6821000,18073000,18073000,18073000,43476000,1063874000,0.72898,0.33542,0.15608,0.01456,0.00596,0.1583,1.44223,0.53482,0.26132,0.18741,1.6743,17.4624,0.35002,0.01425,1.33943,23.04524,39.31545
"24","2017_Q1",35.6195161290323,"Up",76562000,-20919000,55643000,-30533000,-4441000,-18160000,-7932000,25110000,-12702000,-12788000,86000,12408000,12408000,12408000,12408000,12408000,12408000,44801000,44801000,9330000,9330000,2250508000,2250508000,2304639000,-418962000,101256000,101256000,-317706000,1986933000,32401000,32401000,445180000,477581000,54451000,54451000,670801000,1148382000,875054000,809556000,28995000,838551000,1986933000,12408000,18160000,-1834000,-10780000,17954000,-14050000,-1964000,-16014000,-16541000,-3462000,-743000,-20771000,-18831000,-18831000,-18831000,43270000,1061530000,0.72677,0.32797,0.16206,0.0148,0.00624,4.82565,1.36948,0.53426,0.27281,0.1958,1.68331,17.79909,0.36367,0.01481,1.33309,23.49732,40.491
"25","2017_Q2",34.3111111111111,"Down",73792000,-19859000,53933000,-30604000,-5082000,-17986000,-7536000,23329000,-13021000,-13331000,310000,10308000,10308000,10308000,10308000,10308000,10308000,190110000,190110000,7558000,7558000,9835999.99999952,9836000.00000048,207504000,1823323000,84514000,84514000,1907837000,2115341000,39149000,39149000,315743000,354892000,53988000,53988000,898740000,1253632000,905768000,834881000,26828000,861709000,2115341000,10308000,17986000,12429000,6882000,47605000,-7253000,-5902000,-13155000,-16723000,99205000,-1812000,110745000,145195000,145195000,145195000,41315000,1160495000,0.73088,0.31615,0.13969,0.01196,0.00487,0.5847,1.45482,0.54861,0.22324,0.16091,1.59814,18.08128,0.36218,0.01302,1.62233,23.48747,41.59565
"26","2017_Q3",33.7901587301587,"Down",77106000,-19841000,57265000,-37217000,-5131000,-24182000,-7904000,20048000,-12460000,-12652000,192000,7588000,7588000,7588000,7588000,7588000,7588000,31380000,31380000,6483000,6483000,9211000,9211000,47074000,2045964000,78138000,78138000,2124102000,2171176000,40884000,40884000,280170000,321054000,52943000,52943000,997759000,1318813000,917166000,839065000,13298000,852363000,2171176000,7588000,24182000,306000,3290000,35366000,-244691000,2808000,-241883000,-16725000,64356000,-469000,47162000,-159355000,-159355000,-159355000,44230000,1224986000,0.74268,0.26001,0.09841,0.0089,0.00349,0.14662,1.54724,0.5642,0.16189,0.1184,1.64506,17.90144,0.35683,0.01141,2.20414,26.98634,59.53741
"27","2017_Q4",33.3461904761905,"Down",82339000,-21177000,61162000,-34685000,-4958000,-21192000,-8535000,26477000,-13972000,-13873000,-99000,12505000,12505000,12505000,12505000,12505000,12505000,94207000,94207000,8649000,8649000,10124000,10124000,112980000,2081846000,80792000,80792000,2162638000,2275618000,48107000,48107000,279867000,327974000,54159000,54159000,1099093000,1427067000,917805000,836460000,12091000,848551000,2275618000,12505000,21192000,1112000,7875000,42684000,-60954000,-648000,-61602000,-16724000,99658000,-276000,82658000,63740000,63740000,63740000,47669000,1324801000,0.74281,0.32156,0.15187,0.01474,0.0055,0.34448,1.68177,0.58217,0.26664,0.19511,1.7557,17.8357,0.3566,0.01312,1.33739,25.81539,46.47785
"28","2018_Q1",28.9568852459016,"Down",81746000,-55800000,25946000,-2154000,-6211000,-19918000,23975000,23792000,-14061000,-13992000,-69000,9731000,9731000,9731000,9731000,9731000,-1324000,82610000,82610000,9869000,9869000,9344000,9344000,101823000,2076707000,81334000,81334000,2158041000,2259864000,38069000,38069000,279550000,317619000,52631000,52631000,1098101000,1415720000,919539000,833710000,10434000,844144000,2259864000,9731000,19918000,1853000,-11304000,20198000,-12739000,-1185000,-13924000,-17365000,-358000,-726000,-18651000,-12377000,-12377000,-12377000,43710000,1325020000,0.3174,0.29105,-0.0162,-0.00157,-0.00059,0.32058,1.67711,0.58633,-0.0282200000000001,-0.02065,1.74229,17.7692,0.37011,0.00722,-13.11556,28.42393,52.21965
"29","2018_Q2",30.45421875,"Up",80732000,-20420000,60312000,-47392000,-5567000,-33279000,-8546000,12920000,-13611000,-13820000,209000,-691000,-691000,-691000,-691000,-691000,-691000,55336000,55336000,8797000,8797000,9889000,9889000.00000012,74022000.0000001,2054982000,84562000,84562000,2139544000,2213566000,43507000,43507000,205486000,248993000,57031000,57031000,1135240000,1384233000,920266000,823040000,6293000,829333000,2213566000,-691000,33279000,2931000,8453000,43972000,-10138000,-1227000,-11365000,-17388000,-39116000,-2832000,-59336000,-26729000,-26729000,-26729000,46199000,1283695000,0.74706,0.16004,-0.00856,-0.000830000000000001,-0.00031,0.29729,1.66909,0.57992,-0.01472,-0.01472,1.72005,17.53543,0.37046,0.00769,-25.16353,26.58843,95.07423
"30","2018_Q3",33.252380952381,"Up",85023000,-20882000,64141000,-46892000,-5396000,-32868000,-8628000,17249000,-13052000,-12688000,-364000,4197000,4197000,4197000,4197000,3072000,3072000,51326000,51326000,7118000,7118000,2552534000,2552534000,2610978000,-518540000,93602000,93602000,-424938000,2186040000,39666000,39666000,205155000,244821000,58045000,58045000,1123584000,1368405000,920071000,813797000,3838000,817635000,2186040000,4413000,32868000,2281000,-1217000,38345000,-10215000,-1830000,-12045000,-17388000,-13360000,170000,-30814000,-4514000,-4514000,-4514000,50117000,1270694000,0.7544,0.20287,0.03613,0.00376,0.00141,10.66484,1.67361,0.58128,0.06545,0.03777,1.81133,17.33716,0.37043,0.00953,5.66016,24.33043,70.6921
"31","2018_Q4",33.9919047619048,"Up",82507000,-21383000,61124000,-33849000,-5176000,-19886000,-8787000,27275000,-13075000,-12879000,-196000,14200000,14200000,14200000,14200000,10394000,10394000,56220000,56220000,8345000,8345000,9918000,9918000.00000095,74483000.0000005,2035567000,86726000,86726000,2122293000,2196776000,54575000,54575000,204818000,259393000,56022000,56022000,1121892000,1381285000,920797000,812419000,3072000,815491000,2196776000,14271000,19886000,-2669000,5108000,36596000,-11313000,-2070000,-13383000,-17388000,-367000,-31000,-17786000,5427000,5427000,5427000,47161000,1270688000,0.74083,0.33058,0.12598,0.01275,0.00473,0.287140000000004,1.69381,0.57843,0.22134,0.16206,1.75697,17.30033,0.37027,0.01297,1.67289,25.75153,44.52678
"32","2019_Q1",38.0055737704918,"Up",82605000,-23797000,58808000,-36717000,-6645000,-21060000,-9012000,22091000,-12595000,-12861000,266000,9496000,9496000,9496000,9496000,14427000,14427000,47956000,47956000,9289000,9289000,2558963000,2558963000,2616208000,-519110000,101152000,101152000,-417958000,2198250000,46616000,46616000,182572000,229188000,58391000,58391000,1166591000,1395779000,921135000,802977000,-506000,802471000,2198250000,9209000,21060000,-27000.0000000005,-12648000,17594000,-22745000,-4809000,-27554000,-18064000,19719000,-561000,1093999.99999999,-8866000,-8866000,-8866000,43151000,1290772000,0.71192,0.26743,0.17465,0.01798,0.00656,11.41512,1.73935,0.58718,0.30717,0.22491,1.75874,17.09618,0.3846,0.0151,1.2521,28.80156,56.25893
"33","2019_Q2",40.6504761904762,"Up",85319000,-20796000,64523000,-35702000,-6073000,-20583000,-9046000,28821000,-13578000,-13349000,-229000,15243000,15243000,15243000,15243000,15243000,15243000,54538000,54538000,9137000,9137000,9777000.00000048,9777000.00000048,73451999.9999995,2046873000,96723000,96723000,2143596000,2217048000,53683000,53683000,162688000,216371000,63197000,63197000,1195344000,1411715000,929267000,807251000,-1918000,805333000,2217048000,15243000,20583000,-3805000,4810000,36831000,-20932000,-1505000,-22437000,-18061000,4091000,-415000,-7351000,7043000,7043000,7043000,49404000,1294835000,0.75626,0.3378,0.17866,0.01893,0.00688,0.339469999999999,1.75296,0.58404,0.32429,0.2375,1.81513,17.17392,0.38424,0.01539,1.18487,25.10519,43.03449
