"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"21","2015_Q4",0.95484375,"Down",811842,-254909,556933,-841345,-841345,-284412,20138,20138,-264274,-264274,93400,-170874,-170874,-170874,-170874,349461,349461,2588856,2588856,867916,127827,59326,3934060,56324,1807526,1114173,902194,2978023,6912083,421707,421707,892290,77090,1321093,2785399,2812881,4133974,1805904,-102483,1074688,2778109,2778109,6912083,-170874,1958,-91580,67298,-193198,0,-58626,-251824,-251824,-251824,-282454,34578,0.68601,-0.35033,-0.21048,-0.06151,-0.02472,2.97788,1.48805,0.005,-0.03736,-0.03736,0.1775,0.6074,-0.03052,1.11481,1.10714
"22","2016_Q1",0.865737704918033,"Down",880580,-176969,703611,-937946,-937946,-234335,16444,16444,-217891,-234377,113600,-120777,-120777,-120777,-120777,289105,289105,2494930,2494930,656137,156281,88180,3596453,54534,1569285,1622424,1289786,3246243,6842696,413235,413235,864254,29444,1284585,2890467,2916682,4201267,1811060,-123542,953911,2641429,2641429,6842696,-120777,5044,-29682,106675,-38740,-3333,-18283,-60356,-60356,-60356,-229291,33311,0.79903,-0.26611,-0.13716,-0.04572,-0.01765,2.7997,1.59053,0.00487,-0.02672,-0.02672,0.19484,0.58444,-0.0217,1.11559,1.09157
"23","2016_Q2",1.17890625,"Up",939371,-99586,839785,-1051495,-1051495,-211710,19550,19550,-192160,-205854,69000,-136854,-136854,-136854,-136854,361922,361922,2008458,2008458,793273,308308,240207,3471961,49257,2164180,1678001,1392704,3891438,7363399,479947,479947,752885,44275,1239928,3597535,3621720,4861648,1810676,-125982,817057,2501751,2501751,7363399,-136854,5618,-62625,277908,84047,0,-11230,72817,72817,72817,-206092,31281,0.89399,-0.22537,-0.14569,-0.0547,-0.01859,2.80013,1.9433,0.00425,-0.03024,-0.03024,0.20756,0.55279,-0.02232,1.60434,1.56176
"24","2016_Q3",1.17984375,"Up",1921800,-658900,1262900,-954540,-954540,308360,22852,22852,331212,328152,-113000,215152,215152,215152,215152,36238,36238,2772011,2772011,871695,193698,125597,3873642,43980,2506919,1854029,1516073,4404928,8278570,689856,689856,902970,40560,1599922,3949364,3972196,5572118,1810664,-136421,1032209,2706452,2706452,8278570,215152,5618,113000,-647651,-313881,-4.54747350886464e-13,-11803,-325684,-325684,-325684,313978,29928,0.65714,0.16045,0.11195,0.0795,0.02599,2.42114,2.05883,0.00362,0.04754,0.04754,0.42466,0.59805,0.03218,-0.0200999999999998,-0.0204600000000001
"25","2016_Q4",1.3831746031746,"Up",1159529,-378828,780701,-880373,-880373,-99672,29323,29323,-70349,-73630,-983,-74613,-74613,-74613,-74613,183060,183060,2727984,2727984,681785,375946,161513,3968775,38703,2418061,1716217,1534602,4172981,8141756,552503,552503,893752,21867,1453351,4052469,4073271,5526622,1810648,-153110,957596,2615134,2615134,8141756,-74613,5618,158000,76552,165557,0,-18735,146822,146822,146822,-94054,27898,0.67329,-0.08596,-0.06435,-0.02853,-0.00916,2.73078,2.11332,0.00343,-0.01655,-0.01655,0.25726,0.58021,-0.01114,1.64971,1.55673
"26","2017_Q1",1.41758064516129,"Up",1815682,-518925,1296757,-1089803,-1089803,206954,26809,26809,233763,230183,-91017,139166,139166,139166,139166,102689,102689,2807323,2807323,843233,327001,151145,4080246,33426,1421330,1445792,1291519,2900548,6980794,473336,473336,972760,27800,1453192,2745081,2763177,4216369,1814023,-146360,1096762,2764425,2764425,6980794,139166,5619,116994,-339444,-77665,5.6843418860808e-14,-2706,-80371,-80371,-80371,212573,25192,0.7142,0.11398,0.07665,0.05034,0.01994,2.80778,1.52522,0.00361,0.03088,0.03088,0.40292,0.61345,0.02514,-0.36457,-0.37446
"27","2017_Q2",1.34746031746032,"Down",1100632,-321066,779566,-1000140,-1000140,-220574,33340,33340,-187234,-190372,66000,-124372,-124372,-124372,-124372,215342,215342,2709261,2709261,1132576,198757,173417,4255936,28271,1172385,1032748,1032748,2233404,6489340,381724,381724,100769,58959,489589,3342696,3359698,3849287,1814023,-146360,972390,2640053,2640053,6489340,-124372,5428,-67000,299691,113747,0,-1094,112653,112653,112653,-215146,24098,0.70829,-0.20041,-0.113,-0.04711,-0.01917,8.69288,1.45803,0.00371,-0.02756,-0.02756,0.24394,0.58512,-0.02071,0.8889,0.86703
"28","2017_Q3",1.73015873015873,"Up",2183788,-753931,1429857,-1192708,-1192708,237149,25251,25251,262400,260989,-96000,164989,164989,164989,164989,247362,247362,3500748,3500748,664523,118923,100633,4531556,62274,1212619,980516,980516,2255409,6786965,343553,343553,129480,90120,492151,3454837,3489772,3981923,1814023,-146360,1137379,2805042,2805042,6786965,164989,7306,203582,-334003,41874,-7375,-2479,32020,32020,32020,244455,54053,0.65476,0.1086,0.07555,0.05882,0.02431,9.20765,1.41956,0.00796,0.03657,0.03657,0.484,0.62169,0.02613,-0.79078,-0.81514
"29","2017_Q4",2.25571428571429,"Up",1862683,-564653,1298030,-888105,-888105,409925,24719,24719,434644,433049,-161000,272049,272049,272049,272049,541072,541072,3786280,3786280,493198,104493,86120,4925043,83013,1595053,1041605,1041605,2719671,7644714,243448,243448,128769,101776,391336,4145517,4176287,4567623,1814023,-146360,1409428,3077091,3077091,7644714,272049,9261,187372,-140808,327874,-30000,-4164,293710,293710,293710,419186,49889,0.69686,0.22007,0.14605,0.08841,0.03559,12.5852,1.4844,0.00653,0.0603,0.0603,0.41283,0.68198,0.03741,-1.17175,-1.19823
"30","2018_Q1",2.25245901639344,"Down",1233264,-308525,924739,-1026164,-1026164,-101425,19578,19578,-81847.0000000001,-86615,357000,270385,270385,270385,270385,1322743,1322743,3053280,3053280,466207,464385,464385,5306615,71786,1515120,967092,967092,2553998,7860613,635112,572485,48253,48253,683365,3829772,3829772,4513137,1814023,-146360,1679813,3347476,3347476,7860613,270385,11227,-438000,987947,831559,0,-49888,781671,781671,781671,-90198,0,0.74983,-0.08224,0.21924,0.08077,0.0344,7.76542,1.34822,0,0.05993,0.05993,0.27333,0.74191,0.03767,14.66488,13.04159
