"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",42.50515625,"Up",84651000,-60419000,24232000,-8367000,-7529000,-4287000,-3242000,-838000,15865000,-2000,51000,-53000,15863000,15863000,-4975000,10888000,10888000,10888000,10888000,149090000,149090000,45678000,45678000,23805000,3363000,2222000,447000,221936000,54181000,46946000,17894000,28515000,537000,101127000,323063000,26366000,12201000,14042000,26366000,3310000,5316000,5316000,0,8626000,34992000,63799000,225543000,-1271000,288071000,288071000,323063000,10888000,2621000,470000,-9626000,4353000,-3433000,-3433000,-3433000,0,-89000,2070000,2097000,-27000,3472000,4392000,4392000,-39000,4353000,18486000,3310000,10402000,0.28626,0.18742,0.12862,0.0378,0.0337,0.95536,8.41751,0.12147,0.01025,0.3714,0.35556,2.88749,9.82626,0.35482,0,0.0367,0.03506,0,-7.88597,-9.18878
"12","2013_Q3",46.87375,"Up",83296000,-58411000,24885000,-8269000,-7322000,-4046000,-3276000,-947000,16616000,66000,59000,6999.99999999999,16682000,16682000,-5100000,11582000,11582000,11582000,11582000,171220000,171220000,39679000,39679000,24714000,3188000,1954000,433000,238801000,54512000,46137000,17084000,28515000,538000,100649000,339450000,25469000,10315000,14694000,25469000,3307000,5282000,5282000,0,8589000,34058000,69339000,237079000,-1026000,305392000,305392000,339450000,11582000,2610000,756000,4483000,19431000,-1954000,-1954000,-1954000,9.31322574615479e-10,2.3283064365387e-10,2962000,2991000,-28999.9999999999,4635000,22112000,22112000,18000,22130000,19226000,3307000,26855000,0.29875,0.19948,0.13905,0.03793,0.03412,2.31868,9.37614,0.11152,0.00974,0.39254,0.37622,2.8231,10.35046,0.91018,-2.77555756156289e-17,0.03689,0.08553,0,-8.73364,-10.1055
"13","2013_Q4",53.7165625,"Up",87593000,-63071000,24522000,-7546000,-6670000,-3679000,-2991000,-876000,16976000,84000,63000,21000,17060000,17060000,-5403000,11657000,11657000,11657000,11657000,190179000,190179000,40510000,40510000,24748000,3025000,1580000,321000,258462000,54784000,45159000,16104000,28515000,540000,99943000,358405000,25128000,9338000,15790000,25363000,3776000,6385000,6385000,0,10161000,35524000,74421000,248736000,-276000,322881000,322881000,358405000,11657000,2607000,2231000,-407000,16088000,-1435000,-1475000,-1435000,0,0,1624000,1654000,-30000,4175000,18828000,18828000,131000,18959000,19583000,3776000,23144000,0.27995,0.19381,0.13308,0.0361,0.03252,1.98542,10.19051,0.11002,0.01054,0.39238,0.37692,2.94843,10.86835,0.77904,0,0.035,0.06949,0,-9.51861,-10.98038
"14","2014_Q1",51.2624590163934,"Down",81633000,-57851000,23782000,-7637000,-6676000,-3908000,-2768000,-961000,16145000,68000,80000,-12000,16213000,16213000,-5466000,10747000,10747000,10747000,10747000,208747000,208747000,39386000,39386000,24824000,4817000,2580000,445000,277774000,54916000,44182000,15126000,28515000,541000,99098000,376872000,35753000,12395000,15502000,35753000,3877000,5884000,5884000,-8.470329472543e-22,9761000,45514000,79533000,251627000,198000,331358000,331358000,376872000,10747000,2636000,766000,1671000,15820000,-1555000,-1555000,-1555000,2.3283064365387e-10,3.72529029846191e-09,501000,2340000,-1839000,4183000,18448000,18448000,120000,18568000,18781000,3877000,24363000,0.29133,0.19778,0.13165,0.03243,0.02852,2.26696,7.76925,0.13736,0.01029,0.35864,0.34607,2.7242,11.05786,0.81303,0,0.03151,0.07142,-2.77555756156289e-17,-10.90836,-12.68938
"15","2014_Q2",54.7869841269841,"Up",85995000,-62780000,23215000,-9860000,-9087000,-4189000,-4898000,-773000,13355000,17000,45000,-28000,13372000,13372000,-4478000,8894000,8894000,8894000,8894000,207330000,207330000,43812000,43812000,24860000,8880000,2127000,5866000,284882000,54394000,43174000,14158000,28515000,501000,97568000,382450000,28339000,13236000,14878000,28339000,3977000,5931000,5931000,0,9908000,38247000,83504000,260521000,178000,344203000,344203000,382450000,8894000,2631000,1103000,-2388000,10240000,-1165000,-1165000,-6665000,-7856000,-89000,1294000,1327000,-33000,-4962000,-1387000,-1387000,-30000,-1417000,15986000,3977000,16911000,0.26996,0.1553,0.10342,0.02584,0.02326,1.90139,10.05265,0.11112,0.0104,0.29502,0.28617,2.85255,11.4176,0.56096,0.26059,0.0473,0.04776,0.88329,-12.72069,-15.22673
"16","2014_Q3",50.86234375,"Down",132230000,-99895000,32335000,-15826000,-14707000,-8552000,-6155000,-1119000,16509000,-1218000,-1302000,84000,15291000,15291000,-5559000,9732000,9732000,9732000,9732000,59714000,59714000,74459000,74459000,57034000,8064000,3850000,3205000,199271000,129897000,563756000,174224000,385646000,3886000,693653000,892924000,46953000,21799000,23736000,82453000,370806000,83445000,83445000,6.7762635780344e-21,454251000,536704000,85967000,270253000,5.82076609134674e-11,356220000,356220000,892924000,9732000,7233000,1669000,-1271000,17363000,-2380000,-2380000,-487937000,0,274450000,1320000,1554000,-234000,323010000,-147564000,-147564000,-52000,-147616000,23742000,405806000,25650000,0.24454,0.12485,0.0736,0.02732,0.0109,2.63564,2.41678,1.50666,0.45447,0.3214,0.31248,4.36686,11.76406,0.84708,0,0.01151,0.03034,0,14.5772,20.96384
"17","2014_Q4",59.60984375,"Up",160490000,-116003000,44487000,-19203000,-17758000,-11458000,-6300000,-1445000,25284000,-2075000,-2049000,-26000,23209000,23209000,-8031000,15178000,15178000,15178000,15178000,25404000,25404000,72607000,72607000,58189000,7595000,2488000,3167000,163795000,128237000,556768000,167291000,385646000,3831000,685005000,848800000,45373000,20648000,24725000,80373000,312283000,79507000,79507000,0,391790000,472163000,92948000,285431000,-1742000,376637000,376637000,848800000,15178000,10326000,-2079000,-1787000,21638000,-2480000,-2480000,-2480000,0,-58750000,3727000,3727000,0,-52919000,-33761000,-33761000,-549000,-34310000,35610000,347283000,39374000,0.27719,0.15754,0.09457,0.0403,0.01788,2.59415,2.03794,1.25363,0.40915,0.49824,0.48575,5.26833,12.36368,1.29251,0,0.01889,0.04901,0,9.03901,12.73054
"18","2015_Q1",54.8990163934426,"Down",162668000,-118533000,44135000,-17140000,-15667000,-11559000,-4108000,-1473000,26995000,-1815000,-1775000,-40000,25180000,25180000,-6158000,19022000,19022000,19022000,19022000,50287000,50287000,71982000,71982000,49623000,9410000,4545000,3475000,181302000,131588000,548641000,160394000,383906000,4341000,680229000,861531000,60522000,24352000,24751000,95522000,303450000,70661000,70661000,-1.0842021724855e-19,374111000,469633000,99347000,295202000,-2651000,391898000,391898000,861531000,19022000,10334000,-7265000,14018000,36109000,-7342000,-7343000,-7341999.99999994,0,-8750000,1697000,2498000,-801000,-3458999.99999994,25308000,25308000,-425000,24883000,37329000,338450000,50163000,0.27132,0.16595,0.11694,0.04854,0.02208,2.6371,1.89801,1.19836,0.39285,0.62092,0.60934,5.30988,12.7925,1.63744,2.77555756156289e-17,0.02375,0.06262,0,7.71955,10.67468
"19","2015_Q2",55.1960317460317,"Up",144862000,-101732000,43130000,-18092000,-16644000,-11786000,-4858000,-1448000,25038000,-1953000,-1879000,-74000,23085000,23085000,-7913000,15172000,15172000,15172000,15172000,56613000,56613000,64088000,64088000,50451000,7975000,3370000,3233000,179127000,133494000,542221000,154135000,383906000,4180000,675715000,854842000,43120000,20041000,21290000,78120000,294797000,70701000,70701000,0,365498000,443618000,106184000,310374000,-5334000,411224000,411224000,854842000,15172000,10026000,1406000,-6000,26598000,-6755000,-6755000,-6755000,-9251000,-8750000,3175000,3175000,0,-12338000,7505000,7505000,-1179000,6326000,35064000,329797000,36216000,0.29773,0.17284,0.10473,0.03689,0.01775,2.38703,2.29297,1.07877,0.3858,0.49192,0.48229,4.69688,13.33316,1.17423,0.29995,0.03009,0.04462,0.60974,7.79101,10.91078
"20","2015_Q3",55.5521875,"Up",134773000,-92906000,41867000,-18093000,-16601000,-11367000,-5234000,-1492000,23774000,-1607000,-1591000,-16000,22167000,22167000,-7251000,14916000,14916000,14916000,14916000,72243000,72243000,63498000,63498000,47882000,9854000,3246000,3296000,193477000,139749000,535754000,147752000,383906000,4096000,675503000,868980000,39020000,19091000,19929000,74020000,286073000,70669000,70669000,0,356742000,430762000,117715000,325290000,-4787000,438218000,438218000,868980000,14916000,9865000,1577000,-3090000,23268000,-9161000,-9161000,-9161000,0,-8750000,6724000,6745000,-21000,1271000,15378000,15378000,252000,15630000,33639000,321073000,28639000,0.31065,0.1764,0.11067,0.03404,0.01716,1.92002,2.61385,0.98299,0.36948,0.47944,0.47154,4.33198,14.08556,0.92054,0,0.01797,0.03451,0,7.39707,10.46648
"21","2015_Q4",62.3425,"Up",140128000,-96954000,43174000,-20252000,-18742000,-11807000,-6935000,-1510000,22922000,-1734000,-1615000,-119000,21188000,21188000,-7213000,13975000,13975000,13975000,13975000,81556000,81556000,64220000,64220000,50697000,7657000,2475000,3363000,204130000,149169000,529295000,141216000,383906000,4173000,678464000,882594000,42051000,18780000,23271000,77051000,277595000,70631000,70631000,0,348226000,425277000,122672000,339266000,-4414000,457317000,457317000,882594000,13975000,9925000,3196000,1888000,28984000,-12894000,-12894000,-12894000,0,-8750000,871000,1981000,-1110000,-6976000,9114000,9114000,199000,9313000,32847000,312595000,29054000,0.3081,0.16358,0.09973,0.03056,0.01583,2.079,2.64928,0.92994,0.35418,0.44635,0.44154,4.47554,14.60624,0.92795,0,0.01663,0.03457,0,7.03379,10.07936
"22","2016_Q1",57.8770491803279,"Down",132729000,-92803000,39926000,-17704000,-16164000,-11295000,-4869000,-1540000,22222000,-1599000,-1499000,-1e+05,20623000,20623000,-4964000,15659000,15659000,15659000,15659000,84795000,84795000,60485000,60485000,46085000,6927000,3208000,2909000,198292000,158515000,522879000,134911000,383906000,4062000,681394000,879686000,46120000,14708000,17957000,81120000,267646000,67215000,67215000,-2.77555756156289e-17,334861000,415981000,124696000,344197000,-5114000,463705000,463705000,879686000,15659000,10148000,-2122000,1291000,24976000,-13467000,-13501000,-13467000,9.31322574615479e-10,-8750000,630000,704000,-74000,-7799000,3710000,3710000,-471000,3239000,32370000,302646000,25158000,0.30081,0.16742,0.11798,0.03377,0.0178,1.60662,2.44443,0.89708,0.34404,0.49918,0.4924,4.23115,14.78204,0.80199,0,0.01879,0.03018,0,6.73003,9.80339
"23","2016_Q2",58.9640625,"Up",135141000,-92317000,42824000,-22856000,-20914000,-13087000,-7827000,-1942000,19968000,-1987000,-1840000,-147000,17981000,17981000,-6095000,11886000,11886000,11886000,11886000,39172000,39172000,69365000,69365000,60444000,8477000,2979000,3306000,177458000,173068000,619700000,173769000,441668000,4263000,792768000,970226000,43619000,23313000,20306000,78619000,324289000,87067000,87067000,0,411356000,489975000,128031000,356083000,-3863000,480251000,480251000,970226000,11886000,11016000,2205000,4216000,29323000,-10813000,-10813000,-121414000,-10727000,-9634000,730000,1345000,-615000,45852000,-46239000,-46239000,616000,-45623000,30984000,359289000,30482000,0.31688,0.14776,0.08795,0.02475,0.01225,2.56453,2.25719,1.02025,0.37031,0.37845,0.37357,4.30292,15.29131,0.97055,0.34155,0.0244,0.0329,0.90249,10.33169,16.0315
"24","2016_Q3",64.06578125,"Up",138794000,-92345000,46449000,-23116000,-21196000,-14494000,-6702000,-1920000,23333000,-1950000,-1903000,-47000,21383000,21383000,-7233000,14150000,14150000,14150000,14150000,33421000,33421000,67072000,67072000,57839000,10673000,4232000,1100000,169005000,172793000,612494000,162752000,445390000,4352000,785287000,954292000,39969000,18163000,21806000,74969000,295910000,87259000,87259000,0,383169000,458138000,130917000,370233000,-4996000,496154000,496154000,954292000,14150000,11650000,1654000,-819000,26635000,-4509000,-4509000,-4508999.99999999,-1.86264514923096e-09,-28750000,824000,1687000,-863000,-27617000,-5491000,-5491000,-260000,-5751000.00000001,34983000,330910000,36888000,0.33466,0.16811,0.10195,0.02852,0.01483,2.60693,2.25433,0.92338,0.34676,0.44954,0.44392,4.40948,15.76278,1.17193,5.55111512312578e-17,0.01548,0.04034,-2.22044604925031e-16,8.50382,12.74971
"25","2016_Q4",76.1136507936508,"Up",138509000,-93853000,44656000,-21710000,-20029000,-13601000,-6428000,-1681000,22946000,-2175000,-1788000,-387000,20771000,20771000,-6759000,14012000,14012000,14012000,14012000,32533000,32533000,68841000,68841000,56675000,14736000,2814000,3042000,172785000,166680000,607367000,154842000,444083000,8442000,774047000,946832000,38794000,16165000,22629000,73794000,270459000,86157000,86157000,0,356616000,430410000,136860000,384247000,-4685000,516422000,516422000,946832000,14012000,11717000,2265000,-4135000,23859000,-4244000,-4244000,-3244000,0,-25750000,2953000,2953000,0,-21654000,-1039000,-1039000,151000,-888000,34663000,305459000,33043000,0.32241,0.16566,0.10116,0.02713,0.0148,2.35819,2.34145,0.83345,0.32261,0.44389,0.43817,4.38791,16.36004,1.04679,0,0.01543,0.03639,0,7.8737,11.89427
"26","2017_Q1",81.4824193548387,"Up",140760000,-93828000,46932000,-22341000,-20559000,-13990000,-6569000,-1782000,24591000,-1792000,-1725000,-67000,22799000,22799000,-6875000,15924000,15924000,15924000,15924000,38643000,38643000,83252000,83252000,57245000,9302000,4110000,4480000,188442000,165754000,594430000,147484000,439811000,7135000,760184000,948626000,66008000,32514000,21406000,101008000,252386000,74199000,74199000,-3.5527136788005e-15,326585000,427593000,139793000,388089000,-6849000,521033000,521033000,948626000,15924000,11819000,-5088000,5140000,27795000,-4427000,-4431000,-4427000.00000001,7000.00000000186,-25250000,1097000,1207000,-110000,-16035000,7333000,7333000,-1223000,6110000,36410000,287386000,43998000,0.33342,0.1747,0.11313,0.03056,0.01679,2.763,1.86561,0.82066,0.30295,0.50333,0.49732,4.44915,16.46884,1.39069,-0.000219999999999972,0.01803,0.04985,-0.000440000000000055,6.83172,10.1152
"27","2017_Q2",77.2385714285714,"Down",137728000,-93299000,44429000,-21726000,-19911000,-13712000,-6199000,-1815000,22703000,-1993000,-1797000,-196000,20710000,20710000,-5192000,15518000,15518000,15518000,15518000,36997000,36997000,79171000,79171000,62867000,7921000,3339000,4582000,186956000,164626000,589803000,140541000,439811000,9451000,754429000,941385000,49792000,21543000,23725000,84792000,240797000,73495000,73495000,0,314292000,399084000,144992000,403607000,-6298000,542301000,542301000,941385000,15518000,11335000,1217000,-5268000,22802000,-3081000,-3081000,-4250000,-12069000,-13750000,3358000,3969000,-611000,-20461000,-1909000,-1909000,263000,-1646000,34038000,275797000,30881000,0.32259,0.16484,0.11267,0.02862,0.01648,1.99001,2.20488,0.73591,0.29297,0.48943,0.48208,4.34388,17.10394,0.97397,0.38065,0.03094,0.03464,0.77774,7.01569,10.51843
"28","2017_Q3",74.4225396825397,"Down",147082000,-100321000,46761000,-21930000,-19650000,-13569000,-6081000,-2280000,24831000,-2272000,-1890000,-382000,22559000,22559000,-6024000,16535000,16535000,16535000,16535000,43599000,43599000,84791000,84791000,62129000,11276000,4950000,3509000,201795000,182721000,586163000,140577000,440215000,5371000,768884000,970679000,49626000,24939000,24668000,84626000,245965000,77704000,77704000,-1.13686837721616e-13,323669000,408295000,145831000,420143000,-3590000,562384000,562384000,970679000,16535000,10748000,2347000,-6740000,22890000,-8068000,-8068000,-21658000,0,-15634000,-206000,924000,-1130000,4160000,5392000,5392000,1210000,6602000,35579000,280965000,26795000,0.31792,0.16882,0.11242,0.0294,0.01703,1.6205,2.38455,0.72601,0.28945,0.51999,0.5135,4.6254,17.68571,0.84264,0,0.01795,0.02909,0,6.67152,9.55926
