"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",21.4840625,"Up",98351000,-75512000,22839000,-17971000,-17971000,4868000,140000,140000,5008000,5008000,-1890000,3118000,3118000,3118000,3118000,11737000,11737000,36997000,36997000,86031000,9271000,4451000,144036000,32399000,14151000,12096000,46550000,190586000,21663000,21663000,12513000,12513000,34176000,8899000,4678000,8899000,43075000,17548000,131433000,147511000,147511000,190586000,3118000,1020000,559000,-584000,4113000,-717000,-55000,-772000,0,247000,247000,247000,3588000,3588000,3588000,5888000,0,6477000,0.23222,0.0495,0.0317,0.02114,0.01636,2.07729,4.21454,0.29201,-3.3881317890172e-21,0.43984,0.42129,13.87375,20.80844,0.91367,0,0.01993,0.04141,0,-1.99338,-2.41105
"12","2014_Q1",26.5308196721311,"Up",102011000,-78229000,23782000,-17367000,-17367000,6415000,245000,245000,6660000,6660000,-2420000,4240000,4240000,4240000,4240000,10934000,10934000,36075000,36075000,92417000,9775000,4805000,149201000,32145000,11193000,10003000,43338000,192539000,22999000,22999000,12503000,12503000,35502000,5800000,3386000,5800000,41302000,17722000,134606000,151237000,151237000,192539000,4240000,1011000,-32000,-5492000,-273000,-572000,865000,293000,-1065000,60000,60000.0000000001,-823000,-803000,-803000,-803000,7426000,-3.63797880709171e-12,3782000,0.23313,0.06289,0.04156,0.02804,0.02202,0.89198,4.20261,0.27309,0,0.59659,0.57197,14.3536,21.28001,0.53215,0.14985,0.03378,0.02408,0.25118,-1.47239,-1.70444
"13","2014_Q2",27.8025396825397,"Up",104348000,-80703000,23645000,-18209000,-18209000,5436000,502000,502000,5938000,5938000,-2170000,3768000,3768000,3768000,3768000,10625000,10625000,38926000,38926000,97131000,10008000,4908000,156690000,31696000,11734000,10314000,43430000,200120000,29091000,29091000,10351000,10351000,39442000,6282000,3523000,6282000,45724000,18378000,137298000,154396000,154396000,200120000,3768000,1011000,-58000,-3478000,1243000,-668000,-324000,-992000,-1066000,460000,460000,-560000,-309000,-309000,-309000,6447000,0,4471000,0.2266,0.05209,0.03611,0.0244,0.01883,1.18657,3.97267,0.29615,-2.71050543121376e-20,0.52884,0.507,14.64533,21.66961,0.62751,0.14961,0.03009,0.02783,0.28291,-1.64805,-1.95456
"14","2014_Q3",27.23484375,"Down",112534000,-86475000,26059000,-18351000,-18351000,7708000,422000,422000,8130000,1880000,-710000,1170000,1170000,1170000,1170000,8876000,8876000,41506000,41506000,98853000,12677000,5557000,161912000,31617000,13023000,11043000,44640000,206552000,25862000,25862000,17640000,17640000,43502000,7209000,3747000,7209000,50711000,19734000,137384000,155841000,155841000,206552000,1170000,1018000,-2022000,-183000,-17000,-783000,-494000,-1277000,-1077000,507000,507000,-455000,-1749000,-1749000,-1749000,8726000,0,8470000,0.23157,0.06849,0.0104,0.00751,0.00566,7.23932,3.72194,0.3254,0,0.16239,0.15554,15.61888,21.62956,1.17557,0.14948,0.01378,0.05195,0.92051,-1.01719,-1.15153
"15","2014_Q4",26.5046875,"Down",110532000,-85488000,25044000,-18454000,-18454000,6590000,470000,470000,7060000,7060000,-2640000,4420000,4420000,4420000,4420000,17305000,17305000,40393000,40393000,92100000,7109000,2729000,156907000,32637000,12556000,10466000,45193000,202100000,21206000,21206000,13390000,13390000,34596000,7303000,3959000,7303000,41899000,20996000,140707000,160201000,160201000,202100000,4420000,1059000,2712000,2168000,10359000,-2348000,490000,-1858000,-1083000,747000,747000,-72000,8429000,8429000,8429000,7649000,0,10109000,0.22658,0.05962,0.03999,0.02759,0.02187,2.2871,4.53541,0.26154,0,0.60848,0.57522,15.21641,22.0541,1.39166,0.14909,0.03285,0.06035,0.24502,-2.26239,-2.62595
"16","2015_Q1",24.9137704918033,"Down",111129000,-85614000,25515000,-16713000,-16713000,8802000,120000,120000,8922000,8922000,-3290000,5632000,5632000,5632000,5632000,22176000,22176000,38536000,38536000,97940000,6758000,2528000,165410000,31900000,12903000,10733000,44803000,210213000,23712000,23712000,13054000,13054000,36766000,6712000,3316000,6712000,43478000,22757000,145234000,166735000,166735000,210213000,5632000,1109000,-879000,-1210000,4652000,-290000.000000002,0,-290000.000000002,-1097000,674000,674000,509000,4871000,4871000,4871000,9911000,-4.65661287307739e-10,11701000,0.2296,0.07921,0.05068,0.03378,0.02679,2.07759,4.49899,0.26076,0,0.76835,0.76046,15.16085,22.74693,1.59632,0.14966,0.0388,0.06746,0.19478,-2.23751,-2.51943
"17","2015_Q2",30.0790476190476,"Up",108666000,-83146000,25520000,-18391000,-18391000,7129000,619000,619000,7748000,7748000,-2870000,4878000,4878000,4878000,4878000,10307000,10307000,40941000,40941000,106160000,8012000,3782000,165420000,56737000,13231000,11081000,69968000,235388000,35235000,35235000,10957000,10957000,58188000,6754000,3062000,6754000,64942000,23031000,148779000,170446000,170446000,235388000,4878000,1096000,441000,-3261000,3154000,-25815000,-90000,-25905000,-1106000,105000,105000,10882000,-11869000,-11869000,-11869000,8225000,11996000,-17981000,0.23485,0.0656,0.04489,0.02862,0.02072,-3.68614,2.84285,0.38101,0.05096,0.66178,0.63623,14.74237,23.12386,-2.43942,0.15005,0.03163,-0.09504,0.22673,0.20535,0.23692
"18","2015_Q3",29.79109375,"Down",114386000,-87293000,27093000,-19591000,-19591000,7502000,52000,88000.0000000001,7554000,7554000,-2870000,4684000,4684000,4684000,4684000,155000,155000,43504000,43504000,109401000,10235000,5595000,163295000,59956000,13402000,11412000,73358000,236653000,27200000,27200000,11246000,11246000,44927000,16514000,12695000,16514000,61441000,24418000,152125000,175212000,175212000,236653000,4684000,1105000,588000,-15133000,-8756000,-4401000,-147000,-4548000,-1332000,413000,413000,3152000,-10152000,-10152000,-10152000,8607000,6481000,-8057000,0.23686,0.06558,0.04095,0.02673,0.01979,-1.72011,3.63467,0.35067,0.02739,0.63135,0.61013,15.41798,23.61666,-1.086,0.17954,0.03035,-0.04065,0.28437,0.73498,0.84324
"19","2015_Q4",35.31890625,"Up",122529000,-92861000,29668000,-18709000,-18709000,10959000,77000,130000,11036000,11286000,-4330000,6956000,6956000,6956000,6956000,5728000,5728000,46688000,46688000,108112000,8515000,3985000,169043000,64096000,12014000,10214000,76110000,245153000,30772000,30772000,12186000,12186000,42958000,20960000,18036000,20960000,63918000,24827000,157743000,181235000,181235000,245153000,6956000,1161000,606000,2944000,11667000,-3412000,-92000,-3504000,-1340000,0,0,-2590000,5573000,5573000,5573000,12120000,0,15982000,0.24213,0.08944,0.05677,0.03838,0.02837,2.29758,3.93508,0.35268,-3.46944695195361e-18,0.9357,0.90349,16.48224,24.3792,2.14985,0.18025,0.04103,0.07904,0.19264,-0.47261,-0.52268
"20","2016_Q1",34.6624590163934,"Down",121323000,-93744000,27579000,-18997000,-18997000,8582000,389000,430000,8971000,8971000,-3190000,5781000,5781000,5781000,5781000,1282000,1282000,45101000,45101000,113842000,6777000,6777000,167002000,64770000,12847000,6757000,77617000,244619000,27177000,27177000,12239000,12239000,51320000,6552000,3637000,6552000,57872000,26307000,162176000,186747000,186747000,244619000,5781000,1583000,-766000,-9394000,-2796000,-3640000,-15000,1398000,-1337000,272000,272000,-3048000,-4446000,-4446000,-4446000,10165000,11904000,320999.999999998,0.22732,0.07074,0.04765,0.03096,0.02363,0.0555300000000001,3.25413,0.3099,0.04866,0.7741,0.7422,16.24572,25.00629,0.04298,0.17903,0.03469,0.00156,0.23127,1.04496,1.23771
"21","2016_Q2",34.30890625,"Down",126531000,-98662000,27869000,-18490000,-18490000,9379000,-87000,-50000,9292000,9292000,-3530000,5762000,5762000,5762000,5762000,1865000,1865000,46643000,46643000,108872000,11550000,6770000,168930000,64796000,7066000,5686000,71862000,240792000,26584000,26584000,9946000,9946000,43337000,5579000,3762000,5579000,48916000,27143000,166578000,191876000,191876000,240792000,5762000,1742000,98000,906000,8508000,-2090000,-55000,-2145000,-1347000,644000,644000,-5780000,583000,583000,583000,11121000,6807000,13467000,0.22025,0.07412,0.04554,0.03003,0.02393,2.33721,3.89805,0.25494,0.02827,0.76745,0.74243,16.85282,25.55621,1.79369,0.17941,0.0348,0.06593,0.23377,0.44438,0.52692
"22","2016_Q3",37.875,"Up",125411000,-97727000,27684000,-19500000,-19500000,8184000,93000,117000,8277000,8527000,-3160000,5367000,5367000,5367000,5367000,329000,329000,49779000,49779000,111197000,16461000,11321000,177766000,66643000,3470000,3470000,70113000,247879000,27237000,27237000,10847000,10847000,44029000,6235000,4530000,6235000,50264000,28686000,170575000,197615000,197615000,247879000,5367000,1848000,1364000,-7836000,743000.000000002,-3738000,-142000,-1044000,-1360000,484000,484000,-1235000,-1536000,-1536000,-1536000,10032000,5945000,1618000,0.22075,0.06526,0.0428,0.02716,0.02165,0.30147,4.03748,0.25435,0.02398,0.70861,0.68923,16.55809,26.09123,0.21363,0.17956,0.03206,0.00771,0.2534,0.55981,0.68622
"23","2016_Q4",43.554126984127,"Up",125400000,-96684000,28716000,-19443000,-19443000,9273000,-69000,-61000,9204000,11234000,-4290000,6944000,6944000,6944000,6944000,15374000,15374000,45324000,45324000,97319000,13088000,13088000,171105000,65856000,6979000,2709000,72835000,243940000,23221000,23221000,11817000,11817000,35038000,4642000,3722000,4642000,39680000,29764000,176140000,204260000,204260000,243940000,6944000,1938000,-183000,14141000,22840000,-1261000,0,-1261000,-1370000,275000,275000,-6534000,15045000,15045000,15045000,11211000,0,28381000,0.229,0.07395,0.05537,0.034,0.02847,4.08713,4.88341,0.19426,-3.46944695195361e-18,0.91105,0.89427,16.45237,26.79874,3.72356,0.17974,0.0398,0.13586,0.19729,-1.37133,-1.65793
"24","2017_Q1",43.7579032258065,"Up",122764000,-93334000,29430000,-20478000,-20478000,8952000,-78000,-78000,8874000,8874000,-2710000,6164000,6164000,6164000,6164000,36780000,36780000,44618000,44618000,85904000,9141000,9141000,176443000,64124000,6329000,2669000,70453000,246896000,21119000,21119000,12238000,12238000,33357000,3889000,3889000,3889000,37246000,30959000,180919000,209650000,209650000,246896000,6164000,2028000,681000,13403000,22276000,-217000,-3000,-242000,-1378000,188000,188000,-627999.999999998,21406000,21406000,21406000,10980000,-4.65661287307739e-10,26876000,0.23973,0.07292,0.05021,0.0294,0.02497,4.36016,5.28953,0.17766,0,0.80302,0.79566,15.99323,27.3124,3.5013,0.17952,0.03532,0.12586,0.22356,-3.34973,-4.10858
"25","2017_Q2",44.4215873015873,"Up",112050000,-85420000,26630000,-18926000,-18926000,7704000,48000,48000,7752000,7752000,-3e+06,4752000,4752000,4752000,4752000,42668000,42668000,42834000,42834000,86699000,7226000,7226000,179427000,66552000,5773000,2843000,72325000,251752000,23322000,23322000,10453000,10453000,33775000,3950000,3028000,3950000,37725000,32088000,184116000,214027000,214027000,251752000,4752000,2032000,141000,4309000,11234000,-4428000,-22000,-4450000,-1386000,588000,588000,-896000,5888000,5888000,5888000,9736000,0,12617000,0.23766,0.06876,0.04241,0.0222,0.01888,2.65509,5.31242,0.17626,-8.67361737988404e-19,0.61515,0.60628,14.50485,27.70576,1.63327,0.17942,0.02816,0.05788,0.29167,-4.3825,-5.53842
"26","2017_Q3",43.2493650793651,"Down",118530000,-91782000,26748000,-18332000,-18332000,8416000,103000,103000,8519000,8519000,-3130000,5389000,5389000,5389000,5389000,40817000,40817000,44053000,44053000,96284000,7419000,7419000,188573000,68425000,5900000,2880000,74325000,262898000,29791000,29791000,10733000,10733000,40524000,3912000,2950000,3912000,44436000,32705000,187948000,218462000,218462000,262898000,5389000,2026000,36000,-6566000,885000,-1434000,-77000.0000000002,-1511000,-1555000,182000,182000,-1225000,-1851000,-1851000,-1851000,10442000,-5.82076609134674e-11,5572000,0.22566,0.071,0.04547,0.02467,0.0205,1.03396,4.65337,0.2034,0,0.69276,0.68284,15.23718,28.08356,0.71629,0.1999,0.03123,0.02506,0.28855,-3.90893,-4.84993
"27","2017_Q4",41.7407936507936,"Down",120750000,-92304000,28446000,-17588000,-17588000,10858000,101000,101000,10959000,12134000,-4510000,7624000,7624000,7624000,7624000,47589000,37598000,43644000,43644000,92698000,8401000,8401000,192332000,68949000,5064000,2384000,74013000,266345000,25040000,25040000,11848000,11848000,36888000,3968000,3968000,3968000,40856000,33664000,194009000,225489000,225489000,266345000,7624000,1980000,592000,1373000,11569000,-3755000,-9996000,-13751000,-1558000,301000,301000,-1037000,-3219000,-3219000,-3219000,12838000,0,14966000,0.23558,0.08992,0.06314,0.03381,0.02862,1.96301,5.21394,0.18119,0,0.97668,0.96678,15.46887,28.88663,1.91724,0.19959,0.04002,0.06522,0.20435,-3.70689,-4.38285
"28","2018_Q1",35.853606557377,"Down",117434000,-90607000,26827000,-17716000,-17716000,9111000,70000,70000,9181000,9181000,-3160000,6021000,6021000,6021000,6021000,46832000,28874000,42362000,42362000,99397000,6659000,6659000,195250000,70661000,4134000,2394000,74795000,270045000,25517000,21634000,11678000,11678000,37195000,2090000,2090000,2090000,39285000,34008000,198465000,230760000,230760000,270045000,6021000,1898000,340000,-5559000,2700000,-1992000,-7968000,-9960000,-1563000,7000.00000000006,6999.99999999994,-1464000,-8724000,-8724000,-8724000,11009000,0,6618000,0.22844,0.07758,0.05127,0.02609,0.0223,1.09915,5.24936,0.17024,0,0.77015,0.75946,15.02098,29.5165,0.84651,0.19992,0.03257,0.02842,0.25959,-4.25397,-5.14016
"29","2018_Q2",33.21140625,"Down",119834000,-93694000,26140000,-18236000,-18236000,7904000,141000,141000,8045000,9880000,-3700000,6180000,6180000,6180000,6180000,47408000,33446000,45814000,45814000,104223000,9335000,9335000,206780000,69919000,3274000,2434000,73193000,279973000,31654000,31654000,10948000,10948000,42602000,2268000,2268000,2268000,44870000,33891000,202919000,235103000,235103000,279973000,6180000,1847000,-668000,-5827000,1532000,1077000,3998000,5075000,-1565000,3000,3000,-2035000,4572000,4572000,4572000,9751000,0,8701000,0.21814,0.06596,0.05157,0.02629,0.02207,1.40793,4.85376,0.19085,-3.3881317890172e-21,0.78927,0.77863,15.30447,30.02593,1.11124,0.19987,0.03263,0.03666,0.25324,-4.86186,-5.99798
"30","2018_Q3",30.874126984127,"Down",129392000,-101990000,27402000,-19679000,-19679000,7723000,158000,158000,7881000,7881000,-1660000,6221000,6221000,6221000,6221000,37522000,17579000,47451000,47451000,110224000,7050000,7050000,202247000,75657000,3551000,2526000,79208000,281455000,27843000,27843000,11509000,11509000,39352000,2308000,2308000,2308000,41660000,34100000,207413000,239795000,239795000,281455000,6221000,1786000,111000,-8350000,-231999.999999999,-7827000,-6052000,-13879000,-1725000,48000,48000,-1756000,-15867000,-15867000,-15867000,9509000,2.27373675443232e-13,-5008000,0.21178,0.05969,0.04808,0.02594,0.0221,-0.80502,5.13943,0.17373,0,0.79269,0.78498,16.48726,30.55492,-0.63812,0.2198,0.03282,-0.02069,0.27729,-3.94595,-4.85847
"31","2018_Q4",22.2112698412698,"Down",126861000,-99229000,27632000,-19681000,-19681000,7951000,158000,158000,8109000,4509000,-1430000,3079000,3079000,3079000,3079000,41566000,23606000,45292000,45292000,106195000,7718000,7718000,200771000,82084000,3883000,2008000,85967000,286738000,31200000,31200000,12208000,12208000,43408000,1860000,1860000,1860000,45268000,34442000,208764000,241470000,241470000,286738000,3079000,1765000,-562000,8707000,12989000,-7247000,1987000,-5260000,-1728000,26000,26000,-1702000,6027000,6027000,6027000,9716000,0,12606000,0.21781,0.06267,0.02427,0.01275,0.01074,4.09419,4.62521,0.18747,0,0.39203,0.38852,16.15241,30.74484,1.60504,0.22002,0.01976,0.05181,0.56122,-4.2781,-5.22777
"32","2019_Q1",21.4314754098361,"Down",113093000,-96048000,17045000,-14353000,-14353000,2692000,164000,164000,2856000,2856000,-670000,2186000,2186000,2186000,2186000,43701000,27750000,41253000,41253000,96204000,8476000,8476000,189634000,90725000,3934000,2479000,94659000,284293000,27431000,23239000,13498000,13498000,40929000,1666000,1666000,1666000,42595000,34189000,209553000,241698000,241698000,284293000,2186000,1969000,14000.0000000002,8836000,13005000,-9298000,2009000,-7289000,-1728000,156000,156000,-1572000,4144000,4144000,4144000,4661000,0,4869000,0.15072,0.0238,0.01933,0.00904,0.00769,2.22736,4.63324,0.17623,0,0.27812,0.27709,14.38842,30.75038,0.61947,0.21985,0.01608,0.02001,0.79048,-9.37589,-16.23366
