"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q3",6.68203125,"Up",8118000,-5665000,2453000,-3966000,-3966000,-1513000,40000,40000,-1473000,-1947000,-3420000,8e+05,-2620000,-2620000,-2091000,-2091000,38807000,38807000,7213000,7213000,24929000,18693000,13833000,89642000,11517000,13659000,3747000,8348000,25176000,114818000,24305000,3044000,15381000,10309000,10309000,34614000,2360000,2360000,0,2360000,36974000,78231000,5780000,-6877000,77134000,77844000,114818000,-2620000,683000,1479000,-2761000,-3219000,-41000,-41000,-41000,-41000,2123.22473695201,0,0,0,-3260000,-3260000,-548000,-3808000,-830000,0,-4432000,0.30217,-0.18638,-0.25758,-0.02686,-0.01821,2.11956,2.58976,0.47498,0,-0.21921,-0.21921,0.85103,8.08617,-0.46462,-0.02607,-0.05526,46.75542,25.64904
"12","2013_Q4",7.77578125,"Up",10398000,-13075000,-2677000,-5444000,-5444000,-8121000,143000,143000,-7978000,-2129000,-10107000,-2560000,-12667000,-12667000,-12101000,-12101000,38814000,38814000,7333000,7333000,17533000,14454000,11414000,78134000,11155000,14166000,3604000,8384000,25321000,103455000,24024000,2767000,14137000,9664000,9664000,33688000,2360000,2360000,-1.38777878078145e-17,2360000,36048000,79784000,-6321000,-6163000,67300000,67407000,103455000,-12667000,632000,6362000,5445000,-228000,6000,6000.00000000001,6000.00000000001,6000,654.122361046661,0,7.27595761418343e-12,0,-222000,-222000,229000,7000.00000000047,-7489000,0,522000,-0.25745,-0.78102,-1.16378,-0.17952,-0.11697,-0.0431400000000002,2.31934,0.53478,0,-1.26858,-1.26858,1.09005,7.05525,0.0547200000000002,-0.17345,0.00747999999999999,5.1828,4.77945999999973
"13","2014_Q1",10.4201639344262,"Up",6925000,-3766000,3159000,-3148000,-3148000,11000,-40000,-40000,-29000,-1543000,-1572000,-580000,-2152000,-2152000,-1683000,-1683000,37197000,37197000,4829000,4829000,22001000,20168000,11258000,84195000,11066000,15686000,3502000,8481000,26752000,110947000,25560000,5472000,13918000,15774000,15774000,41334000,2810000,2810000,0,2810000,44144000,79706000,-8004000,-4556000,67146000,66803000,110947000,-2152000,653000,-276000,-179000,-1954000,-22000,-22000,-22000,-22000,0,26000,26000,-238000,-2214000,-2214000,597000,-1617000,664000,0,1043000,0.45617,0.00159,-0.24303,-0.02519,-0.01517,-0.61973,2.03694,0.66081,0,-0.17634,-0.17634,0.72559,7.03541,0.10928,-0.02418,0.01498,-56.01958,-3381.54545
"14","2014_Q2",9.91222222222222,"Down",14772000,-10237000,4535000,-4124000,-4124000,410999.999999999,106000,106000,517000,-889000,-372000,-560000,-931999.999999998,-931999.999999999,-794000.000000001,-794000.000000001,30337000,30337000,10496000,10496000,16712000,21937000,13427000,79482000,10929000,15673000,3360000,8527000,26602000,106084000,23765000,5299000,12436000,12660000,12660000,36425000,2900000,2900000,0,2900000,39325000,79890000,-8800000,-3827000,67263000,66759000,106084000,-931999.999999999,623000,1243000,-7857000,-6923000,-154000,-154000,-154000,-154000,1082.06693016903,9000.00000000006,9000,8999.99999999994,-7068000,-7068000,208000,-6860000,1034000,-5.6843418860808e-14,-6417000,0.307,0.02782,-0.05375,-0.01189,-0.00748,8.08186,2.18207,0.58906,6.7762635780344e-21,-0.0830499999999999,-0.08305,1.54519,7.03588,-0.67123,-0.0114,-0.09212,-29.33946,-73.8126499999998
"15","2014_Q3",10.50875,"Up",12716000,-9818000,2898000,-5278000,-5278000,-2380000,-19000,-19000,-2399000,-2155000,-4554000,0,-4554000,-4554000,-3751000,-3751000,36650000,36650000,7381000,7381000,17348000,14141000,11421000,75520000,10538000,15611000,3180000,8525000,26149000,101669000,24071000,5992000,12489000,11052000,11052000,35123000,2900000,2900000,0,2900000,38023000,81294000,-12549000,-3833000,64912000,63646000,101669000,-4554000,583000,3477000,5527000,5033000,-60000,-60000,-60000,-60000,4.54747350886464e-13,1107000,1107000,1207000,6180000,6180000,133000,6313000,-1797000,0,3670000,0.2279,-0.18717,-0.29498,-0.05894,-0.03689,-0.97841,2.15016,0.59741,0,-0.38754,-0.38754,1.31377,6.70648,0.37917,-0.05637,0.05515,20.3951,15.39916
"16","2014_Q4",9.391875,"Down",9190000,-7560000,1630000,-4102000,-4102000,-2472000,43000,43000,-2429000,-1399000,-3828000,-1325000,-5153000,-5153000,-5257000,-5257000,31638000,31638000,7466000,7466000,18298000,13776000,13146000,71178000,10087000,15254000,2990000,8505000,25341000,96519000,23028000,7028000,9960000,12182000,12182000,35210000,2900000,2900000,5.42101086242752e-20,2900000,38110000,81545000,-17806000,-4143000,59596000,58409000,96519000,-5153000,590000,174000,-476999.999999998,-4866000,1.45519152283669e-11,-1.45519152283669e-11,-1.45519152283669e-11,-2.91038304567337e-11,0,19999.9999999998,19999.9999999998,20000,-4846000,-4846000,-166000,-5012000,-1882000,0,-1034000,0.17737,-0.26899,-0.57203,-0.09,-0.05447,0.196689999999999,2.02153,0.65247,0,-0.53409,-0.53409,0.93366,6.05466,-0.10505,-0.08575,-0.01687,16.81084,12.79854
"17","2015_Q1",10.0539344262295,"Up",19823000,-17260000,2563000,-4920000,-4920000,-2357000,-90000,-90000,-2447000,-1848000,-4295000,645000,-3650000,-3650000,-3245000,-3245000,27367000,27367000,8896000,8896000,16760000,12402000,11342000,65425000,9752000,14727000,2678000,8323000,24479000,89904000,20608000,6003000,9615000,12528000,12528000,33136000,3180000,3180000,0,3180000,36316000,81982000,-21051000,-5790000,55141000,53588000,89904000,-3650000,614000,355000,-1644000,-4325000,-248000,-248000,-248000,-248000,0,0,0,245000,-4328000,-4328000,57000,-4271000,-1743000,0,-4280000,0.12929,-0.1189,-0.1637,-0.06055,-0.03609,1.31895,1.97444,0.67769,0,-0.32958,-0.32958,2.0133,5.60035,-0.43469,-0.05716,-0.07539,15.70109,11.61095
"18","2015_Q2",11.0934920634921,"Up",12396000,-8968000,3428000,-6384000,-6384000,-2956000,97000,97000,-2859000,-1837000,-4696000,-180000,-4876000,-4876000,-5195000,-5195000,28554000,28554000,5421000,5421000,18917000,14736000,13696000,67628000,10260000,19635000,7356000,8223000,29895000,97523000,27837000,8041000,14636000,14718000,14718000,42883000,3180000,3180000,6.7762635780344e-21,4886000,47769000,82216000,-26246000,-6842000,49128000,49754000,97523000,-4876000,705000,63000.0000000001,6005000,1897000,-155000,-155000,-155000,-408000,0,-17710.5111055394,-17712.9077640445,1.16415321826935e-10,1489000,1489000,-302000,1187000,-2251000,2034000,3779000,0.27654,-0.23846,-0.41909,-0.10441,-0.05327,-0.72743,1.57704,0.9601,0.02086,-0.5272,-0.5272,1.25797,4.98559,0.3835,-0.09451,0.06875,11.78143,8.97158000000001
"19","2015_Q3",6.600625,"Down",24273000,-17384000,6889000,-8075000,-8075000,-1186000,-217000,-217000,-1403000,-749000,-2152000,-170000,-2322000,-2322000,-2320000,-2320000,32607000,32607000,17312000,17312000,33057000,19321000,17671000,102297000,20179000,23306000,5378000,14596000,43485000,145782000,40607000,22517000,1.4e+07,18442000,18442000,59719000,5390000,5390000,0,13938000,73657000,109231000,-28566000,-8992000,71673000,72125000,145782000,-2322000,936000,2050000,-5552000,-4888000,30000,30000,30000,8878000,214000,55000.0000000001,54999.9999999999,269000,4259000,4259000,-206000,4053000,-250000,9218000,-5602000,0.28381,-0.04886,-0.09558,-0.03217,-0.01591,2.41466,1.71297,1.02124,0.06323,-0.19338,-0.19338,2.02326,5.97424,-0.46695,-0.02675,-0.06459,93.556,19.72091
"20","2015_Q4",5.16515625,"Down",40016000,-29888000,10128000,-10054000,-10054000,74000.0000000002,-14999.9999999999,-15000.0000000001,59000,-1308000,-1249000,-290000,-1539000,-1539000,-1604000,-1604000,23715000,23715000,19559000,19559000,29436000,17653000,15703000,90363000,20042000,23650000,5187000,15043000,43692000,134055000,31679000,19853000,11826000,16335000,16335000,48706000,5140000,5140000,0,13759000,62465000,110023000,-30170000,-8733000,71120000,71590000,134055000,-1539000,847000,284000,-8975000,-9383000,-386000,-386000,-386000,-386000.000000002,32000,466000,466000,528000,-9241000,-9241000,349000,-8892000,921000,9311000,-8150000,0.2531,0.00185000000000003,-0.04008,-0.02241,-0.01197,5.08105,1.85527,0.87254,0.06946,-0.12241,-0.12241,3.05396,5.42776,-0.62199,-0.01864,-0.09472,-15.63952,-194.64865
"21","2016_Q1",5.63573770491803,"Up",28198000,-21635000,6563000,-8515000,-8515000,-1952000,35000,35000,-1917000,5207000,3290000,-1270000,2020000,2020000,1348000,1348000,25852000,25852000,14488000,14488000,23329000,22033000,19983000,85702000,17761000,19260000,4939000,10535000,39754000,125456000,25632000,15646000,9156000,12820000,12820000,39371000,4990000,4990000,0,13438000,52809000,110322000,-28822000,-8666000,72834000,72647000,125456000,2020000,869000,-11382000,10800000,2307000,-99000,-99000,-99000,197000,6000.00000000006,1999.99999999988,1999.99999999988,8000,2512000,2512000,-375000,2137000,-1083000,9367000,10888000,0.23275,-0.06922,0.0478,0.01856,0.01074,8.07715,2.17678,0.72693,0.07466,0.10263,0.10263,2.14695,5.54545,0.82899,0.01549,0.12514,15.22161,8.44518
"22","2016_Q2",6.35171875,"Up",22074000,-16119000,5955000,-7596000,-7596000,-1641000,-219000,-202000,-1860000,-2288000,-4148000,-3e+05,-4448000,-4448000,-4015000,-4015000,22617000,22617000,16063000,16063000,21541000,16165000,14115000,76386000,17079000,17214000,4665000,10974000,37009000,113395000,19596000,10582000,8074000,10046000,10046000,30464000,5690000,5690000,-4.33680868994202e-19,14924000,45388000,110665000,-32837000,-9201000,68627000,68007000,113395000,-4448000,783000,29000.0000000019,-7117000,-10753000,-108000,-108000,-108000,6904000,650000,0,0,650000,-3199000,-3199000,-36000.0000000001,-3235000,-858000,10056000,-7783000,0.26977,-0.07434,-0.18189,-0.05904,-0.03541,1.93848,2.50742,0.6674,0.08868,-0.30528,-0.30528,1.67838,5.21799,-0.59177,-0.04794,-0.09293,14.63986,7.65448000000001
"23","2016_Q3",5.5259375,"Down",22483000,-16482000,6001000,-7448000,-7448000,-1447000,721000,33000,-726000,417000,-309000,-1670000,-1979000,-1979000,-1498000,-1498000,31818000,31818000,16641000,16641000,24054000,12562000,10512000,85075000,16896000,17353000,4568000,11188000,37653000,122728000,24843000,15021000,7422000,14785000,14785000,40375000,5960000,5960000,0,15311000,55686000,111062000,-34335000,-8611000,68116000,67042000,122728000,-1979000,746000,-2524000,8123000,4366000,4800000,-84000,-84000,4800000,-79000,30000,30000,-49000,9117000,9117000,84000,9201000,-701000,10098000,13892000,0.26691,-0.06436,-0.06663,-0.02234,-0.01221,-9.2737,2.10712,0.83061,0.08228,-0.11375,-0.11375,1.70727,5.17245,1.0549,-0.01803,0.16717,30.98431,15.01037
"24","2016_Q4",4.53126984126984,"Down",33342000,-23711000,9631000,-8665000,-8665000,966000,-709000,-265000,257000,-1568000,-1311000,-70000,-1381000,-1381000,-1209000,-1209000,28290000,28290000,18344000,18344000,28389000,15268000,13218000,90291000,15998000,16910000,4284000,11068000,35868000,126159000,27734000,18411000,7257000,16388000,16388000,44845000,5970000,5970000,0,15596000,60441000,111417000,-35544000,-8883000,66990000,65718000,126159000,-1381000,1030000,755999.999999999,-3656000,-3251000,-250000.000000001,-250000,-250000,-250000,25000,4000,4000,29000,-3472000,-3472000,-56000,-3528000,1996000,10349000,-1840000,0.28885,0.02897,-0.03626,-0.0184,-0.00958,1.52192,2.0134,0.9197,0.08203,-0.09178,-0.09178,2.53109,5.0854,-0.13968,-0.01474,-0.02243,-8.98848,-18.57246
"25","2017_Q1",5.47612903225806,"Up",42409000,-29933000,12476000,-10258000,-10258000,2218000,89000,17000,2307000,-1989000,318000,-1060000,-742000,-742000,-286000,-286000,27655000,27655000,17642000,17642000,23223000,14404000,14144000,82924000,15960000,16514000,4100000,11119000,35506000,118430000,24371000,15397000,7874000,12559000,12559000,38064000,5930000,5930000,0,15027000,53091000,111763000,-35830000,-8876000,67057000,65339000,118430000,-742000,415000,4325000,-4049000,-51000,-281000,-536000,-536000,-281000,-190000,17000,17000,-173000,-505000,-505000,-130000,-635000,2633000,10231000,-637000,0.29418,0.0523,-0.00674,-0.00438,-0.00241,2.22727,2.17854,0.81255,0.08639,-0.0217,-0.0217,3.21817,5.08856,-0.04834,-0.00351,-0.00782,-6.61755,-7.85573
"26","2017_Q2",7.31412698412698,"Up",29135000,-20692000,8443000,-6996000,-6996000,1447000,-62000,81000,1385000,-1627000,-242000,-90000,-332000,-332000,-52999.9999999998,-52999.9999999998,23638000,23638000,23146000,23146000,20853000,14148000,14148000,81785000,15290000,15953000,3915000,10789000,34133000,115918000,23755000,14986000,7809000,11611000,11611000,36376000,6050000,6050000,-1.11022302462516e-16,15155000,51531000,112084000,-35883000,-9721000,66480000,64387000,115918000,-332000,654000,-2887000,-972000,-3537000,-85000,-86000.0000000001,-86000.0000000001,-85000,-139000,1000,1000,-138000,-3760000,-3760000,-257000,-4017000,2101000,10115000,1134000,0.28979,0.04967,-0.00182,-0.00082,-0.00046,-21.39623,2.24832,0.80033,0.08726,-0.00402,-0.00402,2.21071,5.04439,0.08605,-0.000659999999999998,0.01408,-6.43646,-9.34554000000001
"27","2017_Q3",10.061746031746,"Up",32944000,-24549000,8395000,-8262000,-8262000,133000,-145000,-197000,-12000,-1536000,-1548000,-194000,-1742000,-1742000,-1422000,-1422000,38860000,38860000,19484000,19484000,20778000,22103000,22103000,101225000,15014000,15857000,3740000,10867000,33813000,135038000,25654000,16850000,7634000,30108000,30108000,56622000,5770000,5770000,0,15055000,71677000,112482000,-37305000,-9430000,65747000,63361000,135038000,-1742000,601000,970000,15296000,15125000,-91000,-124000,-124000,-91000,-43000,93000.0000000001,93000.0000000001,50000,15084000,15084000,138000,15222000,734000,10145000,16133000,0.25483,0.00404,-0.04316,-0.02244,-0.01053,-11.34529,1.78773,1.13125,0.07513,-0.10783,-0.10783,2.49803,4.98537,1.22331,-0.01794,0.2035,-39.12125,-215.90226
"28","2017_Q4",12.2204761904762,"Up",47760000,-32258000,15502000,-10108000,-10108000,5394000,-144000,-35000,5250000,-1423000,3827000,-986000,2841000,2841000,3287000,3287000,39160000,39160000,24685000,24685000,23186000,27408000,27408000,114439000,15080000,16089000,3643000,11220000,3.4e+07,148439000,31793000,22484000,8313000,31482000,31482000,64092000,6520000,6520000,0,16252000,80344000,113634000,-34018000,-8834000,70782000,68095000,148439000,2841000,616000,-527000,-3577000,-647000.000000004,-140000,-145000,-145000,-140000,81000,8e+05,8e+05,881000,94000.0000000019,94000.0000000019,206000,300000.000000004,6010000,10549000,3279000,0.32458,0.11294,0.06882,0.04827,0.02214,0.997569999999998,1.78554,1.17988,0.07107,0.24823,0.24534,3.60671,5.34527,0.24762,0.0386,0.0385,-4.76057,-5.30422999999993
"29","2018_Q1",9.00147540983606,"Down",54677000,-35085000,19592000,-9769000,-9769000,9823000,-244000,-27000,9579000,-1786000,7793000,-474000,7319000,7319000,7319000,7319000,51121000,51121000,22519000,22519000,30210000,53263000,53263000,157113000,15792000,16103000,3495000,11405000,34510000,191623000,31489000,21555000,9648000,54119000,54119000,85969000,7037000,7037000,0,15171000,101140000,125711000,-26699000,-8529000,90483000,90483000,191623000,7319000,622000,-18097000,11004000,848000,-9e+05,-901000,-901000,-9e+05,182000,11708000,11708000,11908000,11856000,11856000,105000,11961000,10445000,8495000,21023000,0.35832,0.17966,0.13386,0.08089,0.03819,2.87239,1.82755,1.11778,0.04433,0.52643,0.51401,3.93275,6.50816,1.51212,0.06904,0.1983,-4.081,-4.33941
