"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","trading_account_profits_losses","commissions_fees_earned","other_non_interest_income","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","investment_securities_available_for_sale","other_investments","net_loans","total_loans","net_fixed_assets","goodwill","other_assets","total_assets","total_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_change_in_deposits","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",11.9595161290323,"Up",1.206e+09,4.39e+08,4.78e+08,-3.9e+07,7.67e+08,2.04e+08,5.24e+08,4.2e+07,1.196e+09,-8.35e+08,-9.8e+07,-7.37e+08,3.61e+08,3.61e+08,3.61e+08,-1.14e+08,2.47e+08,2.47e+08,2.47e+08,2.38e+08,8.523e+09,8.3614e+10,4.2448e+10,2.5554e+10,1.0102e+10,1.0102e+10,6.72e+08,1.159e+09,1.3296e+10,1.17658e+11,6.8756e+10,3.6206e+10,1.776e+09,1.455e+09,1.08193e+11,8.64e+08,3.905e+09,-4.058e+09,8.442e+09,3.12e+08,9.465e+09,9.465e+09,1.17658e+11,2.47e+08,5e+07,9.8e+07,2e+08,6.05e+08,-3.1e+07,-2.077e+09,-2.56e+08,1e+07,-2.354e+09,-9.8e+07,-2.04e+08,5e+06,2.499e+09,-1.9e+07,2.183e+09,4.34e+08,4.34e+08,4.34e+08,4.11e+08,3.7982e+10,6.94e+08,0.29934,0.19735,0.02515,0.00202,2.91597,11.43085,0.32282,0.18667,0.18667,0.94588,6.74588,0.54431,0.07686,0.00286,0.0059,0.41176,71.6764,81.60388
"12","2013_Q1",14.8763333333333,"Up",1.217e+09,4.33e+08,4.67e+08,-3.4e+07,7.84e+08,2.02e+08,5.39e+08,4.7e+07,1.215e+09,-8.71e+08,-1.01e+08,-7.7e+08,3.44e+08,3.44e+08,3.44e+08,-1.33e+08,2.11e+08,2.11e+08,2.11e+08,1.89e+08,1.2663e+10,9.3422e+10,4.6123e+10,2.9105e+10,1.0726e+10,1.0726e+10,6.75e+08,1.228e+09,1.4604e+10,1.33637e+11,7.9377e+10,4.1398e+10,1.632e+09,1.641e+09,1.24048e+11,8.65e+08,3.896e+09,-4.024e+09,8.554e+09,2.98e+08,9.589e+09,9.589e+09,1.33637e+11,2.11e+08,5e+07,1.16e+08,5.14e+08,8.93e+08,-4.1e+07,-6.63e+09,-6.6e+08,-7e+06,-7.418e+09,-8.5e+07,1.25e+08,8999999.99999994,1.0621e+10,-5e+06,1.0665e+10,4.14e+09,4.14e+09,4.14e+09,3.94e+08,4.303e+10,1e+09,0.28266,0.1553,0.01971,0.00141,5.29101,12.93649,0.32199,0.148,0.14789,0.95301,6.83164,0.78309,0.06656,0.00205,0.00748,0.44974,77.0736,88.27616
"13","2013_Q2",16.6390625,"Up",1.296e+09,4.69e+08,4.97e+08,-2.8e+07,8.27e+08,2.23e+08,5.52e+08,5.6e+07,1.29e+09,-9.59e+08,-9.9e+07,-8.6e+08,3.31e+08,3.31e+08,3.31e+08,-1.25e+08,2.06e+08,2.06e+08,2.06e+08,1.98e+08,6.931e+09,9.9171e+10,4.8809e+10,2.7442e+10,1.13e+10,1.13e+10,6.81e+08,1.231e+09,1.3708e+10,1.33324e+11,8.2424e+10,3.804e+10,1.631e+09,1.453e+09,1.23548e+11,8.66e+08,3.926e+09,-3.99e+09,8.674e+09,3e+08,9.776e+09,9.776e+09,1.33324e+11,2.06e+08,5.1e+07,9.2e+07,-7.23e+08,-3.68e+08,-4.9e+07,-7.458e+09,-5.3e+08,2e+06,-8.035e+09,-9.8e+07,-3.02e+08,2.5e+07,3.047e+09,-1e+06,2.671e+09,-5.732e+09,-5.732e+09,-5.732e+09,3.82e+08,3.9671e+10,-2.65e+08,0.2554,0.15278,0.02025,0.00149,-1.33838,12.63789,0.29755,0.15481,0.15445,1.01329,6.96638,-0.20719,0.07662,0.00222,-0.00199,0.49495,85.70681,98.91239
"14","2013_Q3",19.6375,"Up",1.336e+09,4.73e+08,4.99e+08,-2.6e+07,8.63e+08,2.35e+08,5.72e+08,5.9e+07,1.337e+09,-9.25e+08,-1.06e+08,-8.19e+08,4.12e+08,4.12e+08,4.12e+08,-1.56e+08,2.56e+08,2.56e+08,2.56e+08,2.33e+08,6.234e+09,1.01731e+11,4.8414e+10,2.7499e+10,1.1732e+10,1.1732e+10,7.11e+08,1.231e+09,1.3978e+10,1.35907e+11,8.4345e+10,3.9002e+10,1.63e+09,1.21e+09,1.26187e+11,8.67e+08,3.947e+09,-3.927e+09,8.83e+09,3e+06,9.72e+09,9.72e+09,1.35907e+11,2.56e+08,5.1e+07,8.6e+07,1.4e+08,5.32e+08,-6.2e+07,-2.609e+09,-4.46e+08,0,-3.117e+09,-8.6e+07,-1e+06,5.6e+07,1.921e+09,-2e+06,1.888e+09,-6.97e+08,-6.97e+08,-6.97e+08,4.63e+08,4.0632e+10,6.97e+08,0.30838,0.1744,0.02397,0.00171,2.99142,12.9822,0.29897,0.18189,0.1809,1.04294,6.91101,0.54411,0.06714,0.00235,0.00513,0.3691,74.29374,83.49029
"15","2013_Q4",21.5978125,"Up",1.369e+09,5.06e+08,5.31e+08,-2.5e+07,8.63e+08,2.24e+08,5.83e+08,5.7e+07,1.373e+09,-9.09e+08,-1.03e+08,-8.06e+08,4.64e+08,4.64e+08,4.64e+08,-1.74e+08,2.9e+08,2.9e+08,2.9e+08,2.82e+08,7.362e+09,1.04086e+11,5.1865e+10,2.4002e+10,1.2115e+10,1.2115e+10,7.38e+08,1.227e+09,1.4405e+10,1.40211e+11,9.1187e+10,3.5739e+10,1.904e+09,1.328e+09,1.30158e+11,8.68e+08,3.979e+09,-3.874e+09,9.034e+09,4.6e+07,1.0053e+10,1.0053e+10,1.40211e+11,2.9e+08,5.1e+07,6.5e+07,2.59e+08,6.61e+08,-6.5e+07,-6.201e+09,-3.39e+08,-4.65661287307739e-10,-6.605e+09,-9.9e+07,2.74e+08,5.9e+07,6.842e+09,-4e+06,7.072e+09,1.128e+09,1.128e+09,1.128e+09,5.15e+08,3.7643e+10,8.83e+08,0.33893,0.20599,0.02805,0.00201,3.13121,12.94718,0.26847,0.21928,0.21759,1.06454,7.1423,0.68663,0.07698,0.00272,0.0063,0.35106,58.79806,65.26078
"16","2014_Q1",23.7291803278689,"Up",1.433e+09,5.32e+08,5.58e+08,-2.6e+07,9.01e+08,2.31e+08,6.08e+08,6.4e+07,1.435e+09,-9.37e+08,-1.07e+08,-8.3e+08,4.98e+08,4.98e+08,4.98e+08,-1.79e+08,3.19e+08,3.19e+08,3.19e+08,2.97e+08,7.728e+09,1.06006e+11,5.1618e+10,2.407e+10,1.2419e+10,1.2419e+10,7.9e+08,1.227e+09,1.5206e+10,1.43642e+11,9.2972e+10,3.68e+10,1.903e+09,1.586e+09,1.33261e+11,8.69e+08,3.966e+09,-3.716e+09,9.253e+09,9e+06,1.0381e+10,1.0381e+10,1.43642e+11,3.19e+08,4.9e+07,3.9e+07,4.26e+08,8.31e+08,-7.3e+07,-1.901e+09,-3.19e+08,0,-2.293e+09,-8.5e+07,-2000000.00000006,1.18e+08,1.785e+09,1.2e+07,1.828e+09,3.66e+08,3.66e+08,3.66e+08,5.47e+08,3.8703e+10,1.079e+09,0.34752,0.20726,0.02861,0.00207,3.633,12.83701,0.26944,0.22952,0.22741,1.10742,7.35085,0.83385,0.06569,0.00266,0.00751,0.2862,56.62706,62.1988
"17","2014_Q2",23.8855555555556,"Up",1.479e+09,5.53e+08,5.79e+08,-2.6e+07,9.26e+08,2.47e+08,6.11e+08,6.8e+07,1.478e+09,-9.56e+08,-1.06e+08,-8.5e+08,5.22e+08,5.22e+08,5.22e+08,-1.96e+08,3.26e+08,3.26e+08,3.26e+08,3.18e+08,7.173e+09,1.06207e+11,5.308e+10,2.1004e+10,1.2591e+10,1.2591e+10,8.2e+08,1.227e+09,1.5793e+10,1.44066e+11,9.5591e+10,3.4226e+10,1.902e+09,1.532e+09,1.33251e+11,8.7e+08,3.997e+09,-3.652e+09,9.492e+09,1.08e+08,1.0815e+10,1.0815e+10,1.44066e+11,3.26e+08,4.8e+07,5.8e+07,-3.64e+08,6.9e+07,-5.3e+07,-2.978e+09,-1.71e+08,-8e+06,-3.21e+09,-1e+08,-2e+06,6.5e+07,2.619e+09,4e+06,2.586e+09,-5.55e+08,-5.55e+08,-5.55e+08,5.7e+08,3.6128e+10,3.49e+08,0.35294,0.21501,0.0294,0.00221,1.09748,12.32094,0.25077,0.2448,0.24256,1.13857,7.65589,0.26867,0.07698,0.0029,0.00242,0.31447,50.79825,55.46935
"18","2014_Q3",25.82875,"Up",1.471e+09,5.62e+08,5.88e+08,-2.6e+07,9.09e+08,2.12e+08,6.32e+08,6.5e+07,1.478e+09,-9.57e+08,-1.12e+08,-8.45e+08,5.21e+08,5.21e+08,5.21e+08,-1.97e+08,3.24e+08,3.24e+08,3.24e+08,3.02e+08,6.832e+09,1.05374e+11,5.3203e+10,1.9676e+10,1.2869e+10,1.2869e+10,8.83e+08,1.227e+09,1.5972e+10,1.43401e+11,9.5688e+10,3.3209e+10,1.901e+09,1.433e+09,1.32231e+11,8.71e+08,4.027e+09,-3.629e+09,9.715e+09,1.86e+08,1.117e+10,1.117e+10,1.43401e+11,3.24e+08,4.8e+07,6.1e+07,5999999.99999988,4.32e+08,-1.12e+08,-3.99e+08,-2.89e+08,0,-8e+08,-8.6e+07,-2e+06,1.6e+07,96999999.999999,2e+06,2.7e+07,-3.41e+08,-3.41e+08,-3.41e+08,5.69e+08,3.511e+10,6.6e+08,0.35418,0.2053,0.02704,0.00211,2.18543,11.83805,0.24484,0.23195,0.23001,1.1298,7.91014,0.50691,0.06605,0.00271,0.0046,0.28477,49.69772,54.27639
"19","2014_Q4",25.97140625,"Up",1.55e+09,5.73e+08,6e+08,-2.7e+07,9.77e+08,2.09e+08,6.49e+08,1.2e+08,1.551e+09,-1.033e+09,-1.17e+08,-9.16e+08,5.18e+08,5.18e+08,5.18e+08,-1.97e+08,3.21e+08,3.21e+08,3.21e+08,3.12e+08,8.588e+09,1.0667e+11,5.2201e+10,2.0462e+10,1.308e+10,1.308e+10,9.91e+08,1.227e+09,1.6655e+10,1.47444e+11,9.7345e+10,3.523e+10,1.9e+09,1.496e+09,1.35971e+11,8.72e+08,4.065e+09,-3.576e+09,9.949e+09,1.63e+08,1.1473e+10,1.1473e+10,1.47444e+11,3.21e+08,4.9e+07,4.8e+07,5.7e+08,9.87e+08,-1.45e+08,-4.89e+08,-2.12e+08,-9.31322574615479e-10,-8.46e+08,-1e+08,-1e+06,5.7e+07,1.657e+09,2e+06,1.615e+09,1.756e+09,1.756e+09,1.756e+09,5.67e+08,3.713e+10,1.189e+09,0.33419,0.20129,0.02719,0.00212,3.8109,11.85139,0.25182,0.23926,0.23708,1.18865,8.1296,0.91181,0.07669,0.00279,0.00806,0.32051,50.33862,55.10039
"20","2015_Q1",26.5922950819672,"Up",1.554e+09,5.84e+08,6.07e+08,-2.3e+07,9.7e+08,2.39e+08,6.41e+08,9e+07,1.551e+09,-9.97e+08,-1.22e+08,-8.75e+08,5.54e+08,5.54e+08,5.54e+08,-2.04e+08,3.5e+08,3.5e+08,3.5e+08,3.29e+08,1.1363e+10,1.10469e+11,5.4783e+10,2.1297e+10,1.3399e+10,1.3399e+10,1.039e+09,1.227e+09,1.6918e+10,1.54642e+11,1.02815e+11,3.6309e+10,1.899e+09,1.816e+09,1.42839e+11,8.72e+08,4.065e+09,-3.497e+09,1.0198e+10,1.65e+08,1.1803e+10,1.1803e+10,1.54642e+11,3.5e+08,5.4e+07,4.2e+07,4.11e+08,8.6e+08,-9e+07,-3.102e+09,-3.44e+08,-3e+06,-3.539e+09,-8.7e+07,-1e+06,5.1e+07,5.47e+09,2.1e+07,5.454e+09,2.775e+09,2.775e+09,2.775e+09,6.08e+08,3.8208e+10,1.133e+09,0.3565,0.21171,0.02787,0.00213,3.44377,12.10192,0.24707,0.25172,0.24924,1.18898,8.36343,0.86687,0.06656,0.00269,0.00733,0.26444,44.15296,48.45668
"21","2015_Q2",29.07,"Up",1.522e+09,5.88e+08,6.17e+08,-2.9e+07,9.34e+08,2.27e+08,6.44e+08,6.3e+07,1.526e+09,-1.042e+09,-1.14e+08,-9.28e+08,4.84e+08,4.84e+08,4.84e+08,-1.82e+08,3.02e+08,3.02e+08,3.02e+08,2.91e+08,9.011e+09,1.17728e+11,6.1366e+10,2.0041e+10,1.3603e+10,1.3603e+10,1.058e+09,1.227e+09,1.7326e+10,1.60169e+11,1.09503e+11,3.4027e+10,2.895e+09,1.586e+09,1.48011e+11,8.73e+08,4.1e+09,-3.458e+09,1.0412e+10,2.31e+08,1.2158e+10,1.2158e+10,1.60169e+11,3.02e+08,5.4e+07,7.5e+07,-1.732e+09,-1.305e+09,-5.5e+07,-8.386e+09,-2.21e+08,-2027083.86034957,-8.662e+09,-1e+08,9.96e+08,2.8e+07,6.688e+09,3e+06,7.615e+09,-2.352e+09,-2.352e+09,-2.352e+09,5.38e+08,3.6922e+10,-1.067e+09,0.318,0.1912,0.02393,0.00182,-3.66667,12.17396,0.23052,0.2218,0.21995,1.16006,8.60137,-0.81326,0.07622,0.00244,-0.00666,0.34364,51.87918,57.66736
