"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2014_Q4",49.23484375,"Up",82035000,-36275000,45760000,-45613000,-25852000,-19761000,147000,530000,415000,115000,677000,677000,-2590000,-1913000,-1913000,-1913000,-1913000,430369000,159336000,58319000,58319000,14506000,11589000,503194000,12459000,48275000,31786000,1485000,230514000,733708000,30632000,6418000,24214000,57834000,52746000,5088000,88466000,10247000,5552000,4695000,10247000,98713000,657034000,-20653000,-1386000,634995000,634995000,733708000,-1913000,1770000,13829000,6638000,20324000,-1088000,-71086000,-72236000,3211000,3211000,-7034000,-58946000,-58946000,653000,-58293000,1917000,0,10057000,0.55781,0.00179,-0.02332,-0.00301,-0.00261,-5.25719,5.68799,0.15545,1.29246970711411e-26,-0.02802,-0.02802,1.20177,9.30233,0.14733,-0.00296,0.01559,-224.5013,-2927.68027
"12","2015_Q1",51.793606557377,"Up",118207000,-38648000,79559000,-53138000,-31773000,-21365000,26421000,433000,431000,2000,26854000,26854000,-7097000,19757000,19757000,19757000,19757000,444332000,148101000,49839000,49839000,22259000,10828000,516430000,12607000,24741000,8681000,1416000,240797000,757227000,41942000,7030000,34912000,53444000,48937000,4507000,95386000,11155000,6395000,4760000,11155000,106541000,629083000,22970000,-1367000,650686000,650686000,757227000,19757000,1773000,6274000,21634000,49438000,-1324000,-60311000,-61635000,1400999.99999999,1400999.99999999,825000,-11372000,-11372000,137000,-11235000,28194000,1.11022302462516e-16,55601000,0.67305,0.22351,0.16714,0.03036,0.02609,2.81424,5.41411,0.16374,0,0.28749,0.25125,1.72004,9.46817,0.80905,0.02985,0.08401,-15.75981,-16.81738
"13","2015_Q2",51.5014285714286,"Down",79734000,-35771000,43963000,-47601000,-27291000,-20310000,-3638000,29000,512000,-483000,-3609000,-3609000,612000,-2997000,-2997000,-2997000,-2997000,500235000,121510000,40118000,40118000,22975000,11581000,563328000,12401000,25284000,9667000,1333000,168454000,731782000,24377000,7106000,17271000,49514000,44897000,4617000,73891000,6578000,1975000,4603000,6578000,80469000,633946000,19973000,-2606000,651313000,651313000,731782000,-2997000,1773000,12447000,-16771000,-5548000,-1249000,-11191000,-12440000,1445000,1445000,-7125000,-25113000,-25113000,-1478000,-26591000,-1865000,0,-20497000,0.55137,-0.04563,-0.03759,-0.0046,-0.0041,6.83917,7.62377,0.12355,0,-0.04324,-0.04324,1.15029,9.39619,-0.2957,-0.00456,-0.03116,268.22252,137.50275
"14","2015_Q3",55.3225,"Up",89446000,-34080000,55366000,-52031000,-29749000,-22282000,3334999.99999999,-366000,495000,-861000,2968999.99999999,2968999.99999999,1007000,3976000,3976000,3976000,3976000,545385000,125224000,61797000,61797000,21335000,9279000,628517000,12372000,26352000,11504000,924000,120503000,749020000,27883000,7008000,20875000,56266000,51181000,5085000,84149000,5800000,1290000,4510000,5800000,89949000,640580000,23949000,-5458000,659071000,659071000,749020000,3976000,1848000,12464000,-8673000,9615000,-2402000,6245000,3843000,2414000,2414000,-6864000,6594000,6594000,-2880000,3714000,5183000,0,-6899000,0.61899,0.03729,0.04445,0.00603,0.00531,-1.73516,7.4691,0.13648,0,0.05689,0.05518,1.27993,9.43098,-0.0987199999999999,0.00598,-0.01038,-105.22574,-163.53373
"15","2015_Q4",57.91828125,"Up",85440000,-37904000,47536000,-54236000,-29661000,-24575000,-6700000,713000,636000,77000,-5987000,-5987000,3e+06,-2987000,-2987000,-2987000,-2987000,549993000,156942000,59554000,59554000,24785000,12770000,634332000,12427000,30317000,15936000,817000,136568000,770900000,35614000,10205000,25409000,67746000,62016000,5730000,103360000,6193000,1812000,4381000,6193000,109553000,645356000,20962000,-4971000,661347000,661347000,770900000,-2987000,1929000,9102000,18553000,26597000,-1425000,13870000,12445000,936000,936000,-7618000,31424000,31424000,294000,31718000,-4771000,0,9357000,0.55637,-0.07842,-0.03496,-0.00452,-0.00387,-3.13257,6.13711,0.16565,-3.30872245021211e-24,-0.04246,-0.04246,1.21453,9.40103,0.13301,-0.00447,0.01402,115.27835,82.08851
"16","2016_Q1",52.2481967213115,"Down",125917000,-39429000,86488000,-62992000,-36719000,-26273000,23496000,-129000,602000,-731000,23367000,23367000,-11474000,11893000,11893000,11893000,11893000,571635000,212362000,62062000,62062000,27947000,14102000,661644000,12160000,20026000,5896000,926000,138303000,799947000,46051000,8816000,37235000,58358000,50766000,7592000,104409000,6150000,1800000,4350000,6150000,110559000,662876000,32855000,-6343000,689388000,689388000,799947000,11893000,1930000,18957000,231000.000000004,33011000,-1225000,20447000,19222000,1499000,1499000,4256000,56489000,56489000,-1071000,55418000,25426000,0,35906000,0.68687,0.1866,0.09445,0.01725,0.01487,3.01909,6.33704,0.16037,0,0.16809,0.15339,1.77962,9.74332,0.50747,0.0171,0.05162,-22.4823,-24.32903
"17","2016_Q2",57.6228125,"Up",82280000,-35170000,47110000,-56073000,-30401000,-25672000,-8963000,913000,696000,217000,-8050000,-8050000,6420000,-1630000,-1630000,-1630000,-1630000,536531000,192731000,54303000,54303000,28248000,14416000,619082000,13418000,27314000,12795000,1675000,167850000,786932000,23261000,5943000,17318000,53450000,46973000,6477000,76711000,6609000,2658000,3951000,6609000,83320000,679087000,31225000,-6700000,703612000,703612000,786932000,-1630000,1791000,8662000,-19713000,-10890000,-3016000,-6469000,-9485000,1463000,1463000,1064000,-19311000,-19311000,-320000,-19631000,-7172000,0,-36321000,0.57256,-0.10893,-0.01981,-0.00232,-0.00207,22.28282,8.07032,0.11842,-2.64697796016969e-23,-0.02288,-0.02288,1.15492,9.87624,-0.50982,-0.0023,-0.05114,74.80912,59.86065
"18","2016_Q3",61.56234375,"Up",102129000,-34901000,67228000,-59526000,-34117000,-25409000,7702000.00000001,-424000,758000,-1182000,7278000,7278000,-6365000,913000.000000002,913000.000000002,913000.000000002,913000.000000002,590944000,216922000,59392000,59392000,13486000,13486000,663822000,13040000,37595000,21430000,3681000,160455000,824277000,29249000,7259000,21990000,65207000,57796000,7411000,94456000,7929000,4167000,3762000,7929000,102385000,697635000,32138000,-7881000,721892000,721892000,824277000,913000.000000002,1751000,22622000,12634000,37920000,-851000,-14014000,-14865000,2526000,2526000,2003000,25058000,25058000,-867000,24191000,9452999.99999999,-2.27373675443232e-13,27601000,0.65827,0.07541,0.00893999999999998,0.00126,0.00111,30.23111,7.02784,0.14183,0,0.01272,0.0124399999999999,1.42282,10.05708,0.38452,0.00125,0.03782,-62.51391,-76.72605
"19","2016_Q4",56.0573015873016,"Down",98860000,-39007000,59853000,-65630000,-36357000,-29273000,-5777000,3015000,2211000,804000,-2762000,-2762000,2358000,-404000,-404000,-404000,-404000,578686000,204605000,61222000,61222000,14457000,14457000,654365000,13251000,88644000,32231000,11623000,204056000,858421000,37947000,8614000,29333000,70157000,62654000,7503000,108104000,9110000,5638000,3472000,9110000,117214000,715260000,31734000,-5787000,741207000,741207000,858421000,-404000,2293000,12986000,8736000,23611000,-1376000,2306000,-38600000,1432000,1432000,1432000,-13557000,-13557000,1240000,-12317000,-3484000,0,1518000,0.60543,-0.05844,-0.00409,-0.000550000000000002,-0.000470000000000002,-3.75743,6.05311,0.15814,-8.470329472543e-22,-0.00559,-0.00559,1.3674,10.25212,0.021,-0.000540000000000002,0.00201999999999997,166.09816,100.17068
"20","2017_Q1",54.6709677419355,"Down",141177000,-42756000,98421000,-74946000,-42804000,-32142000,23475000,841000,1185000,-344000,24316000,24316000,-8219000,16097000,16097000,16097000,16097000,628237000,223582000,62792000,62792000,16643000,16643000,707672000,12955000,87986000,31364000,12338000,208506000,916178000,51196000,9929000,41267000,67887000,60270000,7617000,119083000,13160000,9745000,3415000,13160000,132243000,742697000,47831000,-6593000,783935000,783935000,916178000,16097000,3007000,12707000,17448000,49259000,-1868000,-36435000,-38303000,2419000,2419000,8955000,19911000,19911000,-934000,18977000,26482000,7.27595761418343e-12,50281000,0.69715,0.16628,0.11402,0.02053,0.01757,3.12363,5.94268,0.16869,0,0.22115,0.20605,1.93961,10.77034,0.6908,0.02019,0.06308,-23.72317,-26.76196
"21","2017_Q2",63.6320634920635,"Up",94127000,-42019000,52108000,-70410000,-39660000,-30750000,-18302000,661000,1342000,-681000,-17641000,-17641000,9783000,-7858000,-7858000,-7858000,-7858000,530342000,131063000,55132000,55132000,20019000,20019000,605493000,13010000,129035000,45571000,8955000,297901000,903394000,30160000,10566000,19594000,69910000,63023000,6887000,100070000,9105000,5788000,3317000,9105000,109175000,761913000,39973000,-7667000,794219000,794219000,903394000,-7858000,3074000,7842000,-15968000,-12910000,-2474000,-43730000,-79797000,1112000,1112000,1112000,-91595000,-91595000,-924000,-92519000,-15228000,0,-43453000,0.55359,-0.19444,-0.08348,-0.00989,-0.0087,5.52978,6.05069,0.13746,0,-0.10721,-0.10721,1.28425,10.83615,-0.59286,-0.00978000000000001,-0.05409,34.82677,28.97727
"22","2017_Q3",73.2442857142857,"Up",115621000,-40811000,74810000,-66605000,-36580000,-30025000,8205000,1879000,1544000,335000,10084000,10084000,-6110000,3974000,3974000,3974000,3974000,582805000,225363000,64626000,64626000,23868000,23868000,671299000,11738000,122752000,41521000,9116000,280615000,951914000,34031000,8269000,25762000,94544000,86572000,7972000,128575000,5640000,2774000,2866000,5640000,134215000,781642000,43947000,-7890000,817699000,817699000,951914000,3974000,3309000,23873000,11403000,42559000,-143000,50790000,50706000,922000,922000,922000.000000002,94187000,94187000,113000,94300000,11514000,-5.82076609134674e-11,28884000,0.64703,0.07096,0.03437,0.00486,0.00417,7.26824,5.22107,0.16414,0,0.05389,0.05313,1.56798,11.08913,0.39171,0.00483,0.03508,-50.61707,-71.03047
"23","2017_Q4",77.2149206349206,"Up",123436000,-51468000,71968000,-76307000,-42217000,-34090000,-4339000,1405000,1394000,11000,-2934000,-2934000,1115000,-1819000,-1819000,-1819000,-1819000,477473000,180166000,94955000,94955000,30743000,30743000,603171000,11896000,274234000,42960000,13156000,400043000,1003214000,49219000,11768000,37451000,114846000,104335000,10511000,164065000,5241000,2848000,2393000,5241000,169306000,799498000,42128000,-7718000,833908000,833908000,1003214000,-1819000,5825000,17330000,552000,21888000,-619000,87332000,-67717000,1385000,1385000,423000,-45406000,-45406000,209000,-45197000,1486000,0,304000,0.58304,-0.03515,-0.01474,-0.00218,-0.00181,-0.16712,3.67641,0.20303,-1.0842021724855e-19,-0.02452,-0.02452,1.66411,11.24235,0.0041,-0.00217,0.000359999999999999,-321.31427,110.04218
"24","2018_Q1",80.47,"Up",181100000,-57261000,123839000,-82791000,-47333000,-35458000,41048000,2720000,1574000,1146000,43768000,43768000,-16841000,26927000,26927000,26927000,26927000,573203000,263176000,79433000,79433000,26604000,26604000,679240000,14376000,270700000,37430000,20104000,399661000,1078901000,62298000,13416000,48882000,101318000,91243000,10075000,163616000,22004000,19892000,2112000,22004000,185620000,830022000,69055000,-5796000,893281000,893281000,1078901000,26927000,6517000,13917000,38262000,85623000,-2650000,-13474000,-16534000,2144000,2144000,12173000,81262000,81262000,1748000,83010000,47565000,0,100018000,0.68382,0.22666,0.14869,0.03014,0.02496,3.71441,4.15143,0.2078,0,0.36013,0.34063,2.42208,11.94698,1.33767,0.02942,0.10928,-12.05094,-13.96421
"25","2018_Q2",88.51515625,"Up",108171000,-62894000,45277000,-77992000,-42281000,-35711000,-32715000,1646000,1908000,-262000,-31069000,-31069000,22155000,-8914000,-8914000,-8914000,-8914000,561084000,255399000,78408000,78408000,28142000,28142000,667634000,13806000,376320000,146005000,21853000,482514000,1150148000,38812000,14233000,24579000,96620000,86661000,9959000,135432000,26315000,24519000,1796000,26315000,161747000,850713000,144255000,-6567000,988401000,988401000,1150148000,-8914000,6634000,-3875000,-25093000,-31248000,-1899000,26196000,23780000,365000,365000,365000,-7103000,-7103000,-674000,-7777000,-26081000,0,-75228000,0.41857,-0.30244,-0.08241,-0.00902,-0.00775,8.43931,4.92966,0.16365,1.73472347597681e-18,-0.11856,-0.11856,1.43868,13.14583,-1.00054,-0.00878,-0.07414,21.51313,17.15066
"26","2018_Q3",96.0925396825397,"Up",163788000,-67769000,96019000,-96684000,-53027000,-43657000,-664999.999999985,3224000,1566000,1658000,2559000.00000001,2559000.00000001,-48114000,-45555000,-45555000,-45555000,-45555000,505178000,205287000,100046000,100046000,33714000,33714000,638938000,16205000,564278000,89701000,20658000,644756000,1283694000,52251000,18570000,33681000,120478000,109047000,11431000,172729000,23476000,21845000,1631000,23476000,196205000,993567000,98700000,-4778000,1087489000,1087489000,1283694000,-45555000,9681000,73178000,10390000,47694000,-2721000,33300000,-100049000,361999.999999993,362000,362000,-51993000,-51993000,1881000,-50112000,9016000,1.49011611938477e-08,64799000,0.58624,-0.00406000000000012,-0.27813,-0.04189,-0.03549,-1.42243,3.69908,0.18042,0,-0.59271,-0.59271,2.13102,14.14914,0.84309,-0.041,0.05833,-56.03128,759.66617
"27","2018_Q4",87.191746031746,"Down",140469000,-74321000,66148000,-95335000,-48548000,-46787000,-29187000,1178000,1534000,-356000,-28009000,-28009000,-20613000,-48622000,-48622000,-48622000,-48622000,994252000,476101000,101146000,101146000,31229000,31229000,1126627000,15929000,525771000,58597000,21704000,705906000,1832533000,62784000,19357000,43427000,125910000,113894000,12016000,188694000,21788000,20667000,1121000,323972000,512666000,1276387000,50078000,-6598000,1319867000,1319867000,1832533000,-48622000,9802000,44146000,14843000,20169000,-90000,-318120000,-318973000,221276000,221276000,571315000,272511000,272511000,-1697000,270814000,-19385000,302184000,15981000,0.47091,-0.20778,-0.34614,-0.03684,-0.02653,-0.32868,5.97066,0.38842,0.1649,-0.61721,-0.61721,1.78311,16.75437,0.20286,-0.02958,0.00971999999999994,35.70121,23.71152
"28","2019_Q1",89.3981967213115,"Up",240421000,-91799000,148622000,-101679000,-56177000,-45502000,46943000,1300000,1831000,-531000,48243000,48243000,28105000,76348000,76348000,76348000,76348000,1067148000,437140000,124849000,124849000,30510000,30510000,1222507000,18595000,546538000,87482000,22525000,756085000,1978592000,90770000,30635000,60135000,134418000,114138000,20280000,225188000,24532000,23758000,774000,329660000,554848000,1297987000,133505000,-7748000,1423744000,1423744000,1978592000,76348000,9494000,-5529000.00000001,23531000,103844000,-4688000,-136890000,-142342000,958000.00000006,958000.00000003,957999.999999881,-37539999.9999999,-37539999.9999999,-1421000,-38961000,56437000,305128000,47175000,0.61817,0.19525,0.31756,0.05362,0.03859,0.61789,5.42883,0.38971,0.15421,0.95418,0.95418,3.00472,17.79359,0.58958,0.04354,0.0269,-13.50214,-16.23288
"29","2019_Q2",101.961111111111,"Up",179683000,-82459000,97224000,-96160000,-50664000,-45496000,1064000,1118000,2607000,-1489000,2182000,2182000,3307000,5489000,5489000,5489000,5489000,1084587000,391322000,84928000,84928000,82447000,28024000,1251962000,19031000,553441000,80811000,43407000,716831000,1968793000,53260000,22720000,30540000,95858000,84792000,11066000,149118000,23838000,22643000,1195000,331952000,481070000,1321886000,174550000,-8713000,1487723000,1487723000,1968793000,5489000,9653000,21156000,-63545000,-27247000,-2945000,-15080000,-18484000,689000,689000,689000,-45042000,-45042000,-776000,-45818000,10717000,308114000,-59080000,0.54109,0.00592,0.03055,0.00369,0.00279,-10.76334,8.39578,0.32336,0.1565,0.06792,0.06677,2.22322,18.40758,-0.731,0.00302,-0.03247,-72.45246,-729.76786
"30","2019_Q3",100.82328125,"Down",169266000,-79630000,89636000,-95185000,-48714000,-46471000,-5549000,4414000,3266000,1148000,-1134999.99999999,-1134999.99999999,1891000,755999.999999993,755999.999999993,755999.999999993,755999.999999993,1066372000,360169000,119699000,119699000,77727000,30234000,1263798000,30017000,552625000,83922000,46789000,754515000,2018313000,65415000,20967000,44448000,104255000,90979000,13276000,169670000,23120000,21381000,1739000,334261000,503931000,1346628000,175308000,-7554000,1514382000,1514382000,2018313000,755999.999999993,9789000,22254000,-18573000,14226000,-8061000,-37239000,-45944000,414000.000000007,413999.999999993,414000.000000015,-31304000,-31304000,151000,-31153000,4239999.99999999,311141000,-24285000,0.52956,-0.03278,0.00447000000000001,5e-04,0.00037,-32.12302,7.44856,0.33276,0.15416,0.00929999999999977,0.00917999999999997,2.0821,18.62802,-0.29872,0.00041,-0.01314,-178.12052,136.10218
