"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","net_income_from_discontinued_operations","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","change_in_cash_from_disc_operations_and_other","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",5.62359375,"Up",252800000,-187100000,65700000,-54100000,-49200000,-4900000,11600000,-16900000,-16200000,-7e+05,-5300000,-1e+05,-5400000,-2800000,-8200000,-2100000,-2100000,-10300000,-10300000,-10300000,51600000,51600000,281800000,281800000,88200000,33500000,1.8e+07,15500000,455100000,8.4e+07,731500000,96800000,596400000,38300000,815500000,1270600000,178400000,71600000,85100000,97200000,68200000,275600000,647200000,32200000,32200000,679400000,9.55e+08,848800000,-532500000,315600000,315600000,1270600000,-8200000,-10300000,2100000,14200000,2300000,-3200000,5100000,-3300000,-1900000,-3e+05,-2e+05,-5e+05,2700000,2e+05,2900000,-3e+05,2600000,25800000,647200000,22100000,0.25989,0.04589,-0.04074,-0.03264,-0.00811,-2.14563,1.65131,3.02598,0.50937,-0.18198,-0.18198,4.46643,5.57597,0.39046,-0.01035,0.02221,23.08527,51.34483
"12","2013_Q3",7.55640625,"Up",235700000,-175200000,60500000,-52700000,-47900000,-4800000,7800000,-16200000,-16300000,1e+05,-8400000,1000000.00000001,-7400000,1e+05,-7299999.99999999,-2300000,-2300000,-9600000,-9600000,-9600000,49700000,49700000,253600000,253600000,85300000,29200000,18400000,10800000,417800000,83500000,7.21e+08,87800000,596400000,36800000,804500000,1222300000,149900000,64900000,78900000,88700000,59700000,238600000,645900000,29700000,29700000,675600000,914200000,850900000,-542100000,308100000,308100000,1222300000,-7299999.99999999,-9600000,2300000,13600000,2300000,-5300000,3300000,-4e+06,-4e+06,-2e+05,-2200000,-2400000,-3100000,1e+06,-2100000,2e+05,-1900000,21400000,645900000,1.2e+07,0.25668,0.03309,-0.04073,-0.03116,-0.00785,-1.25,1.75105,2.96722,0.52843,-0.16961,-0.16961,4.16431,5.44346,0.21201,-0.00976000000000002,0.0122,27.85981,76.4359
"13","2013_Q4",7.53734375,"Down",226400000,-174100000,52300000,-52600000,-47800000,-4800000,-3e+05,-15400000,-16200000,8e+05,-15700000,6400000,-9300000,-2e+05,-9500000,-4e+05,-4e+05,-9900000,-9900000,-9900000,49800000,49800000,2.69e+08,2.69e+08,83400000,27100000,18400000,8700000,429300000,84500000,710900000,78800000,596400000,35700000,795400000,1224700000,162200000,57700000,82500000,9.4e+07,6.5e+07,256200000,644600000,22200000,22200000,666800000,9.23e+08,854500000,-5.52e+08,301700000,301700000,1224700000,-9500000,-9900000,4e+05,12900000,-3800000,3e+06,2600000,-4900000,-3600000,-3e+05,1500000,1200000,2e+05,-3e+05,-1e+05,2e+05,1e+05,12600000,644600000,10900000,0.23101,-0.00133,-0.04373,-0.03281,-0.00808,-1.10101,1.67564,3.05933,0.52633,-0.17399,-0.17399,3.97891,5.30228,0.19156,-0.01022,0.01125,47.20635,-1982.66667
"14","2014_Q1",7.73967213114754,"Up",129200000,-103200000,2.6e+07,-33100000,-27900000,-5200000,-7100000,1900000,2500000,-6e+05,-5200000,-1100000,-6300000,1800000,-4500000,-2900000,-2900000,-7400000,-7400000,-7400000,55700000,55700000,265800000,265800000,74600000,34200000,10400000,21700000,430300000,84800000,701500000,69900000,596400000,35200000,786300000,1216600000,158200000,61900000,91100000,91500000,60600000,2.51e+08,643400000,26400000,25500000,669800000,920800000,8.56e+08,-559400000,295800000,295800000,1216600000,-4500000,-7400000,2900000,5700000,3200000,6500000,10900000,-1100000,-1200000,-2e+05,-1600000,-3e+05,9400000,-4300000,5100000,-1e+05,5e+06,-1400000,644700000,2200000,0.20124,-0.05495,-0.05728,-0.02502,-0.00608,-0.2973,1.71434,3.11291,0.52992,-0.1296,-0.1296,2.2627,5.18039,0.03853,-0.00765,0.00228,-420.71429,-82.9577499999998
"15","2014_Q2",7.76190476190476,"Up",200100000,-147500000,52600000,-48600000,-43400000,-5200000,4e+06,-15900000,-16100000,2e+05,-11900000,-7e+05,-12600000,-2300000,-14900000,-1e+05,-1e+05,-1.5e+07,-1.5e+07,-1.5e+07,53600000,53600000,2.48e+08,2.48e+08,81100000,30600000,10800000,19800000,413300000,8.4e+07,699100000,64300000,596400000,38400000,783100000,1196400000,148800000,48200000,79800000,95300000,66900000,244100000,6.42e+08,26200000,26200000,668200000,912300000,859500000,-574500000,284100000,284100000,1196400000,-14900000,-1.5e+07,1e+05,9600000,2400000,4600000,1700000,-3100000,-4700000,-2e+05,1600000,1400000,-1600000,-5e+05,-2100000,0,-2100000,13600000,6.42e+08,17400000,0.26287,0.01999,-0.07496,-0.0528,-0.01254,-1.16,1.69316,3.21119,0.53661,-0.26132,-0.26132,3.48606,4.94948,0.30314,-0.01575,0.01827,43.26471,147.1
"16","2014_Q3",7.429375,"Down",177900000,-138600000,39300000,-3.9e+07,-35500000,-3500000,299999.999999998,-5900000,-5600000,-3e+05,-5600000,-4e+07,-45600000,-1e+06,-46600000,-3300000,-3300000,-49900000,-49900000,-49900000,26900000,26900000,265900000,265900000,78500000,27200000,11600000,15600000,398500000,84200000,689400000,62600000,596400000,30400000,773600000,1172100000,155300000,70100000,79500000,91600000,63200000,246900000,662900000,25200000,25200000,688100000,9.35e+08,862300000,-624300000,237100000,237100000,1172100000,-46600000,-49900000,3300000,6200000,42100000,-1e+07,-8300000,-2800000,-2900000,-2300000,-8600000,-10900000,-22100000,-6200000,-28300000,2e+05,-28100000,6500000,662900000,-5300000,0.22091,0.00169,-0.28049,-0.21046,-0.04257,0.10621,1.61401,3.94348,0.56557,-0.86934,-0.86934,3.0993,4.13066,-0.09233,-0.05393,-0.00573,97.8461499999999,2120
"17","2014_Q4",5.65765625,"Down",192900000,-150500000,42400000,-45300000,-40400000,-4900000,-2900000,-8600000,-8800000,2e+05,-11500000,-1e+05,-11600000,2e+05,-11400000,5e+05,5e+05,-10900000,-10900000,-10900000,16200000,16200000,255100000,255100000,80400000,2.5e+07,9e+06,1.6e+07,376700000,82600000,686600000,57800000,596400000,32400000,769200000,1145900000,1.4e+08,49200000,74100000,87200000,58800000,227200000,662900000,24800000,24800000,687700000,914900000,867200000,-635200000,2.31e+08,2.31e+08,1145900000,-11400000,-10900000,-5e+05,8400000,4400000,-9700000,-8300000,-2500000,-3500000,-2e+05,-2100000,1600000,-10200000,2600000,-7600000,-3e+05,-7900000,5500000,662900000,-6900000,0.2198,-0.01503,-0.05651,-0.04719,-0.00951,0.633029999999999,1.65801,3.96061,0.5785,-0.18858,-0.18858,3.33737,3.99654,-0.11938,-0.01186,-0.00751,117.58182,-223
"18","2015_Q1",5.39770491803279,"Down",192100000,-1.47e+08,45100000,-39300000,-34300000,-5e+06,5800000,-7600000,-8700000,1100000,-1800000,-200000.000000004,-2e+06,-8e+05,-2800000,6e+05,6e+05,-2200000,-2200000.00000001,-2200000.00000001,33500000,33500000,217500000,217500000,47400000,74800000,7100000,12200000,373200000,61600000,696400000,49500000,483400000,26500000,7.58e+08,1131200000,123700000,44600000,73500000,101300000,56400000,226100000,655400000,25400000,2.4e+07,680800000,906900000,863400000,-637400000,224300000,224300000,1131200000,-2800000,-2200000,-6e+05,8200000,-399999.999999996,12400000,17400000,-3200000,-3500000,-3e+05,-9e+05,-1800000,12100000,5600000,17700000,-3e+05,17400000,1.4e+07,656500000,2.4e+07,0.23477,0.03019,-0.01145,-0.00980999999999999,-0.00194,-10.90909,1.6506,4.04325,0.58036,-0.03806,-0.0380600000000001,3.32353,3.88062,0.41522,-0.00242999999999999,0.02648,44.5,107.41379
"19","2015_Q2",5.93555555555556,"Up",157100000,-118800000,38300000,-41300000,-37400000,-3900000,-3e+06,-8700000,-8800000,1e+05,-11700000,-9e+05,-12600000,-1900000,-14500000,-1700000,-1700000,-16200000,-16200000,-16200000,34400000,34400000,238600000,238600000,72100000,21100000,8400000,12700000,366200000,81500000,674900000,47700000,596400000,30800000,756400000,1122600000,129700000,42500000,70700000,93300000,63100000,2.23e+08,6.63e+08,25100000,25100000,688100000,911100000,867100000,-653700000,211500000,211500000,1122600000,-14500000,-16200000,1700000,6900000,4700000,1e+05,-2800000,-1900000,1900000,-2e+05,-1148601.79131705,1500000,6e+05,-1e+06,-4e+05,-4e+05,-8e+05,3900000,6.63e+08,4e+06,0.24379,-0.0191,-0.10312,-0.0766,-0.01443,-0.24691,1.64215,4.3078,0.59059,-0.27787,-0.27787,2.69468,3.62779,0.06861,-0.01801,0.00445,161.17949,-209.53333
"20","2015_Q3",5.04125,"Down",160300000,-119400000,40900000,-44600000,-40300000,-4300000,-3700000,-9900000,-8900000,-1e+06,-13600000,0,-13600000,-2300000,-15900000,8e+05,8e+05,-15100000,-15100000,-15100000,22200000,22200000,204500000,204500000,49500000,7.7e+07,9100000,14200000,353200000,60900000,688500000,42200000,483400000,28600000,749400000,1102600000,114200000,46200000,62400000,101700000,55400000,215900000,6.63e+08,2.5e+07,24400000,6.88e+08,903900000,8.69e+08,-668700000,198700000,198700000,1102600000,-15900000,-15100000,-799999.999999998,6700000,5e+06,-8100000,-12300000,-2400000,-1500000,-300000.000000007,-7e+05,-1100000.00000001,-14900000,3999999.99999999,-10900000,4e+05,-10500000,3e+06,6.63e+08,-5200000,0.25515,-0.02308,-0.0942,-0.07599,-0.01369,0.34437,1.63594,4.54907,0.60131,-0.25856,-0.25856,2.74486,3.4024,-0.08904,-0.01703,-0.00586,213.6,-173.18919
"21","2015_Q4",4.42765625,"Down",162200000,-121800000,40400000,-38400000,-34900000,-3500000,2e+06,-9300000,-9600000,3e+05,-7300000,-3800000,-11100000,15300000,4200000,50900000,50900000,55100000,55100000,55100000,35800000,35800000,194700000,194700000,54600000,25300000,9600000,15700000,310400000,60700000,550400000,39400000,483400000,27600000,611100000,921500000,96500000,28100000,56600000,90800000,59100000,187300000,448500000,28100000,23900000,476600000,663900000,872700000,-613600000,257600000,257600000,921500000,4200000,55100000,-50900000,5900000,-10700000,-7700000,-8300000,-2900000,-2900000,-216200000,-5e+05,-214300000,-225500000,239200000,13700000,-1e+05,13600000,7900000,448500000,-1.8e+07,0.24908,0.01233,0.3397,0.2139,0.05979,-0.32668,1.65723,2.57725,0.48671,0.9339,0.91833,2.74915,4.3661,-0.30508,0.07505,-0.02452,52.24051,206.35
"22","2016_Q1",3.61213114754098,"Down",177500000,-135300000,42200000,-42600000,-38100000,-4500000,-4e+05,-8800000,-8700000,-1e+05,-9200000,1900000,-7300000,3e+05,-7e+06,3e+06,3e+06,-4e+06,-4e+06,-4e+06,28500000,28500000,206800000,206800000,55600000,29500000,10600000,14300000,320400000,56200000,526700000,36500000,483400000,6800000,582900000,903300000,122100000,48300000,69900000,49300000,47400000,172400000,444100000,32600000,1.8e+07,476700000,649100000,873200000,-617600000,254200000,254200000,903300000,-7e+06,-4e+06,-3e+06,6e+06,-6200000,9e+05,-6300000,-3200000,-3200000,-3e+05,1e+05,-799999.99999997,-10300000.0000001,3100000,-7200000,-99999.9999999999,-7300000,5600000,445100000,3e+06,0.23775,-0.00225,-0.02254,-0.01574,-0.00442999999999998,-0.75,1.85847,2.5535,0.49275,-0.06768,-0.06885,3.00338,4.30118,0.05076,-0.00547,0.0041,74.39286,-1041.5
"23","2016_Q2",4.51875,"Up",1.53e+08,-117100000,35900000,-40600000,-37700000,-2900000,-4700000,-8400000,-8700000,3e+05,-13100000,-5500000,-18600000,-3600000,-22200000,0,0,-22200000,-22200000,-22200000,20100000,20100000,208800000,208800000,52600000,23800000,10400000,13400000,305300000,53800000,525300000,33800000,483400000,8100000,579100000,884400000,1.14e+08,39800000,62500000,56300000,54900000,170300000,444400000,3.5e+07,31100000,479400000,649700000,875900000,-639800000,234700000,234700000,884400000,-22200000,-22200000,0,6100000,8300000,-3700000,-11500000,-2100000,-2100000,-3e+05,371778.103125263,9e+05,-12700000,4300000,-8400000,-133191.617846712,-8400000,1400000,444400000,-8e+05,0.23464,-0.03072,-0.1451,-0.09459,-0.0251,0.0360400000000001,1.79272,2.76821,0.50249,-0.37248,-0.37248,2.56711,3.93792,-0.01342,-0.03109,-0.00112,303.07143,-90.2766
"24","2016_Q3",5.840625,"Up",168200000,-1.23e+08,45200000,-40400000,-36400000,-4e+06,4800000,-8500000,-8700000,2e+05,-3700000,-4800000,-8500000,-1800000,-10300000,-100000.000000002,-100000.000000002,-10400000,-10400000,-10400000,17600000,17600000,2.11e+08,2.11e+08,49900000,23600000,11500000,12100000,302100000,51200000,520900000,29500000,483400000,8e+06,572100000,874200000,116900000,47900000,65200000,50700000,48800000,167600000,444700000,36300000,32500000,4.81e+08,648600000,877300000,-650200000,225600000,225600000,874200000,-10500000,-10400000,-100000.000000002,5600000,7600000,-3800000,-1100000,-1400000,-1400000,-199999.999999993,269695.826739059,-4e+05,-2900000,299999.999999993,-2600000,-1e+05,-2700000,10400000,444700000,7e+06,0.26873,0.02854,-0.06183,-0.0461,-0.0119,-0.67308,1.80251,2.875,0.50869,-0.17391,-0.17391,2.81271,3.77258,0.11706,-0.01472,0.00991,41.06731,88.9791699999999
"25","2016_Q4",6.74873015873016,"Up",165400000,-139500000,25900000,-38700000,-35500000,-3200000,-12800000,-8600000,-8700000,1e+05,-21400000,-2e+05,-21600000,-1900000,-23500000,-1e+05,-1e+05,-23600000,-23600000,-23600000,20500000,20500000,2.08e+08,2.08e+08,58500000,23400000,11100000,10400000,310400000,47300000,518200000,26900000,483400000,7900000,565500000,875900000,136900000,47200000,7.8e+07,50500000,48700000,187400000,4.45e+08,39400000,35700000,484400000,671800000,879500000,-673800000,204100000,204100000,875900000,-23300000,-23600000,3e+05,5600000,3100000,18500000,3900000,-1600000,-1500000,-3e+05,57765.6369833251,8e+05,3200000,-2e+05,3e+06,1e+05,3100000,-7200000,4.45e+08,11600000,0.15659,-0.07739,-0.14268,-0.11563,-0.02694,-0.49153,1.65635,3.29152,0.50805,-0.39008,-0.39008,2.73388,3.37355,0.19174,-0.03428,0.01685,-58.95833,-33.16406
"26","2017_Q1",7.97435483870968,"Up",55300000,-41800000,13500000,-8800000,-5e+06,-3800000,4700000,-8500000,-8600000,1e+05,-3800000,7e+05,-3100000,1500000,-1600000,-2700000,-2700000,-4300000,-4300000,-4300000,69100000,69100000,229400000,229400000,55400000,19200000,8900000,5700000,373100000,49800000,525700000,32600000,485400000,7700000,575500000,948600000,145400000,52700000,89100000,50100000,48500000,196500000,4.31e+08,44700000,23700000,475700000,672200000,956200000,-678100000,276400000,276400000,948600000,-1600000,-4300000,2700000,5200000,2100000,-11600000,-5900000,-3900000,-9100000,-14300000,0,61800000,46800000,1100000,47900000,-3e+05,47600000,9899999.99999999,4.32e+08,-7100000,0.24412,0.08499,-0.07776,-0.01556,-0.00453,1.65116,1.89873,2.43198,0.45541,-0.0658500000000001,-0.0658500000000001,0.84686,4.23277,-0.10873,-0.00570999999999999,-0.00943,36.65657,77.21277
