"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",2.02828125,"Up",99112000,-83657000,-42215000,-9551000,-31891000,15455000,-22079000,-22119000,40000,-6624000,-6624000,-6681000,-13305000,-12415000,-5691000,-18106000,-18106000,49638000,46426000,83736000,83736000,39215000,7440000,31660000,172589000,34790000,1234613000,272037000,672624000,62585000,1269471000,1442060000,21568000,6533000,15035000,33375000,33263000,58783000,813536000,224137000,194853000,29268000,1037673000,1096456000,1005094000,-881127000,123845000,221759000,345604000,1442060000,-12415000,-12415000,9551000,20621000,-17095000,-196000,-2220000,-2220000,-2220000,452000,-1707000,-11085000,-10829000,-10829000,-10829000,25006000,817376000,12372000,0.15593,-0.18268,-0.05239,-0.01256,-0.68331,2.93604,3.17258,0.56681,-0.36312,-0.36312,1.98773,2.48376,0.24813,-0.01305,0.00892,30.70215,49.6757
"12","2013_Q3",2.35625,"Up",119602000,-101272000,-49042000,-9478000,-42752000,18330000,-22183000,-22213000,30000,-3853000,-3853000,-4702000,-8555000,-8552000,-5662000,-14214000,-14214000,43416000,40223000,95173000,95173000,34468000,3114000,31227000,173057000,35971000,1219781000,272037000,662824000,65389000,1255752000,1428809000,23776000,8330000,15446000,29272000,29083000,56888000,812948000,228630000,199250000,29367000,1041578000,1098466000,1003867000,-895341000,108322000,222021000,330343000,1428809000,-8552000,-8552000,9478000,29211000,-24835000,5119000,-3638000,-3638000,-3638000,-3687000,-961000,-7635000,-6203000,-6203000,-6203000,27808000,816788000,4037000,0.15326,-0.11884,-0.04303,-0.00995,-0.28402,3.04207,3.32523,0.57166,-0.29164,-0.29164,2.45398,2.22254,0.08283,-0.01033,0.00293,27.81113,42.1916
"13","2013_Q4",3.19046875,"Up",118391000,-96595000,-46138000,-9571000,-40886000,21796000,-22285000,-22314000,29000,-489000,-489000,-8415000,-8904000,-8904000,-4317000,-13221000,-13221000,51510000,48317000,97543000,97543000,35369000,4694000,30634000,184422000,34845000,1200764000,272037000,659824000,58669000,1235609000,1420031000,24726000,8111000,16615000,30204000,30101000,58770000,812368000,234577000,206874000,27703000,1046945000,1105715000,1002259000,-908562000,93482000,220834000,314316000,1420031000,-8904000,-8904000,9571000,29919000,-13267000,17552000,-1311000,-1311000,-1311000,-1320000,-960000,-8138000,8094000,8094000,8094000,31367000,816208000,25204000,0.1841,-0.11167,-0.04206,-0.00931,-1.90636,3.13803,3.51785,0.57478,-0.27867,-0.27867,2.49543,1.97041,0.53125,-0.00968,0.01846,24.37906,35.08433
"14","2014_Q1",5.03098360655738,"Up",111595000,-94208000,-47566000,-9270000,-37372000,17387000,-22097000,-22305000,208000,-4710000,-4710000,-8921000,-13631000,-13639000,-2801000,-16440000,-16440000,58968000,56676000,98323000,98323000,35212000,5467000,29745000,192503000,34353000,1187499000,272037000,659824000,53045000,1221852000,1414355000,27079000,7293000,19786000,31735000,31735000,62654000,811795000,242932000,214245000,28687000,1054727000,1117381000,1003164000,-925002000,77949000,219025000,296974000,1414355000,-13639000,-13639000,9270000,28354000,-9402000,14554000,-2025000,-2025000,-2025000,-1518000,-959000,-4677000,8359000,8359000,8359000,26657000,815635000,24151000,0.1558,-0.14732,-0.05536,-0.01162,-1.46904,3.07248,3.76255,0.57668,-0.34656,-0.34656,2.35245,1.64318,0.50911,-0.01213,0.01782,28.3853,43.51912
"15","2014_Q2",4.42015873015873,"Down",111072000,-95241000,-50699000,-9270000,-35272000,15831000,-21876000,-21810000,-66000,-6045000,-11724000,-8578000,-20302000,-20302000,-4881000,-25183000,-25183000,46111000,45804000,96182000,96182000,38532000,3815000,34717000,180825000,33477000,1192192000,274749000,666797000,55301000,1225669000,1406494000,20498000,7245000,13253000,28790000,28790000,53128000,819196000,260742000,225393000,35349000,1079938000,1133066000,1003763000,-950185000,53485000,219943000,273428000,1406494000,-20302000,-20302000,9270000,29777000,-17644000,1101000,-1447000,-1672000,-1672000,-9544000,7006000,-2429000,-10872000,-10872000,-10872000,25101000,823036000,14588000,0.14253,-0.22673,-0.0921,-0.0179,-0.57928,3.40357,4.14393,0.58517,-0.53083,-0.53083,2.34126,1.1274,0.3075,-0.01856,0.01075,30.95195,49.07618
"16","2014_Q3",3.6759375,"Down",108414000,-86064000,-42908000,-9236000,-33920000,22350000,-19153000,-19174000,21000,3197000,3197000,-8605000,-5408000,-5408000,-5408000,-10816000,-10816000,62602000,60019000,94217000,94217000,36222000,3915000,32307000,193041000,32779000,1180456000,274749000,666797000,50953000,1213235000,1406276000,28805000,6853000,21952000,26947000,26947000,59581000,817560000,267313000,233877000,33436000,1084873000,1144454000,1004296000,-961001000,43236000,218586000,261822000,1406276000,-5408000,-5408000,9236000,22087000,-1762000,24153000,-1684000,-1684000,-1684000,-1602000,-8065000,-8336000,14215000,14215000,14215000,31586000,821389000,36745000,0.20615,-0.09977,-0.04131,-0.00769,-3.39728,3.23998,4.37111,0.58409,-0.22787,-0.22787,2.28405,0.91089,0.77414,-0.00801,0.02721,24.02289,33.9502
"17","2014_Q4",2.02640625,"Down",112171000,-92611000,-46912000,-9179000,-36520000,19560000,-19281000,-19310000,29000,279000,279000,-9037000,-8758000,-8758000,-4462000,-13220000,-13220000,57191000,55080000,94197000,94197000,37069000,4710000,32359000,188457000,31864000,1171318000,274749000,666797000,49338000,1203182000,1391639000,21906000,7865000,14041000,31146000,31146000,56881000,817014000,272939000,242691000,30248000,1089953000,1146834000,1006897000,-974221000,32592000,212213000,244805000,1391639000,-8758000,-8758000,9179000,25384000,-20670000,5135000,-1259000,-1259000,-1259000,-811000,-968000,-9263000,-4939000,-4939000,-4939000,28739000,820843000,15847000,0.17438,-0.11786,-0.054,-0.0095,-1.19871,3.31318,4.68468,0.58984,-0.27772,-0.27772,2.35647,0.68469,0.33291,-0.00988,0.01184,26.57198,39.04151
"18","2015_Q1",2.32704918032787,"Up",109730000,-90306000,-45192000,-9137000,-35977000,19424000,-19102000,-19150000,48000,322000,322000,-8594000,-8272000,-8272000,-5179000,-13451000,-13451000,67781000,67781000,96426000,96426000,37710000,6910000,30800000,201917000,30977000,1158800000,275355000,666797000,48997000,1189777000,1391694000,27557000,6602000,20955000,31167000,31167000,62553000,809615000,288118000,252463000,35655000,1097733000,1160286000,1006685000,-987672000,18898000,212510000,231408000,1391694000,-8272000,-8272000,9137000,25903000,-3237000,23531000,-1122000,-1122000,-922000,-3143000,-1170000,-7687000,12701000,12701000,12701000,28561000,813444000,32796000,0.17702,-0.12258,-0.05813,-0.00967,-2.43818,3.22793,5.01403,0.5845,-0.28262,-0.28262,2.30551,0.39706,0.68907,-0.01009,0.0246,26.10773,38.38875
"19","2015_Q2",3.66904761904762,"Up",105763000,-90170000,-46625000,-9088000,-34457000,15593000,-19086000,-19238000,152000,-3493000,-3493000,-8530000,-12023000,-12023000,-6466000,-18489000,-18489000,61039000,61039000,95448000,95448000,45100000,12300000,32800000,201587000,31222000,1152341000,275937000,666797000,42886000,1183563000,1385150000,20398000,7557000,12841000,33916000,33916000,539090000,3.35e+08,295326000,260898000,34428000,630326000,1169416000,1007819000,-1006161000,1659000,214075000,215734000,1385150000,-12023000,-12023000,9088000,24754000,-21343000,476000,-2924000,-2924000,-2924000,-491000,-957000,-6727000,-6742000,-6742000,-6742000,24681000,819776000,8944000,0.14743,-0.17482,-0.0857,-0.01335,-0.48375,0.37394,5.42064,0.59183,-0.38836,-0.38836,2.22154,0.03485,0.18787,-0.01389,0.00672,30.74174,48.65882
"20","2015_Q3",2.7309375,"Down",119821000,-95034000,-54629000,-8980000,-31425000,24787000,-20428000,-19991000,-437000,4359000,-2732000,-9942000,-12674000,-12674000,-365000,-13039000,-13039000,60467000,60467000,99608000,99608000,38262000,5969000,32293000,198337000,30644000,1155116000,275937000,666797000,58977000,1185760000,1384097000,36551000,5754000,30797000,31324000,31324000,70500000.0000001,1020948000,311942000,270732000,41210000,1332890000,1403390000,987885000,-1019200000,-31315000,12022000,-19293000,1384097000,-12674000,-12674000,8980000,30450000,896000.000000007,27652000,-1586000,-1586000,-1586000,-215950000,189118000,187726000,-572000,-572000,-572000,33767000,1023573000,43019000,0.20687,-0.10882,0.67584,-0.00942,-3.29926,2.81329,-72.74089,0.73952,-0.27129,-0.27129,2.493,-0.65154,0.89505,-0.00991,0.03268,28.52211,38.85529
"21","2015_Q4",1.96328125,"Down",115893000,-108801000,-53194000,-8277000,-47330000,7092000,-20284000,-20323000,39000,-13192000,-13192000,-4439000,-17631000,-17631000,-514000,-18145000,-18145000,59158000,59158000,100329000,100329000,41782000,6741000,35041000,201269000,30028000,1131991000,261392000,666797000,56495000,1162019000,1363288000,31299000,3623000,27676000,33563000,33563000,67487000,1021322000,311379000,275075000,36304000,1332701000,1400188000,988872000,-1037345000,-48473000,11573000,-36900000,1363288000,-17631000,-17631000,8277000,34794000,-23387000,2053000,-1495000,-1495000,-1495000,-1486000,-875000,-1876000,-1309000,-1309000,-1309000,15369000,1023947000,-5074000,0.06119,-0.15657,0.49173,-0.01331,0.27964,2.98234,-37.94547,0.75109,-0.37629,-0.37629,2.40341,-1.00524,-0.10523,-0.01397,-0.00391,62.775,136.03906
"22","2016_Q1",1.44524590163934,"Down",109384000,-120689000,-49270000,-9010000,-62409000,-11305000,-20354000,-20384000,30000.0000000001,-31659000,-31659000,7853000,-23806000,-23806000,-543000,-24349000,-24349000,67376000,67376000,105184000,105184000,40999000,7650000,33349000,213559000,29278000,1103687000,258284000,643239000,60731000,1132965000,1346524000,38759000,8464000,30295000,41147000,41147000,83406000,1020837000,302819000,266900000,35919000,1323656000,1407062000,983897000,-1055721000,-71824000,11286000,-60538000,1346524000,-23806000,-23806000,9010000,36301000,-9934000,11571000,-1334000,-1334000,-1334000,-1334000,-875000.00000003,-2019000,8218000,8218000,8218000,-2295000,1024337000,-21416000,-0.10335,-0.2226,0.40221,-0.01808,0.879539999999999,2.56048,-23.24262,0.76073,-0.50495,-0.50495,2.26842,-1.4895,-0.44413,-0.01922,-0.01691,-416.97647,-84.64936
"23","2016_Q2",2.2959375,"Up",109088000,-90280000,-47595000,-8682000,-34003000,18808000,-20559000,-20570000,11000,-1751000,-1751000,-1775000,-3526000,-3526000,-421000,-3947000,-3947000,72667000,72667000,100645000,100645000,40582000,9737000,30845000,213894000,29123000,1099773000,258284000,645107000,61980000,1128896000,1342790000,34256000,8666000,25590000,41757000,41757000,79513000,1021244000,305974000,268571000,37403000,1327218000,1406731000,983643000,-1059668000,-76025000,12084000,-63941000,1342790000,-3526000,-3526000,8682000,17229000,-12221000,10164000,-1249000,-1249000,-1249000,-3249000,-875000,-1624000,5291000,5291000,5291000,27490000,1024744000,15795000,0.17241,-0.03618,0.06173,-0.00294,-4.00177,2.69005,-22.00045,0.76315,-0.08111,-0.08111,2.24163,-1.56223,0.32457,-0.00312,0.01247,34.63358,50.62085
"24","2016_Q3",3.19765625,"Up",122719000,-9.5e+07,-55735000,-8572000,-30693000,27719000,-20433000,-20476000,43000,7286000,9932000,-2183000,7749000,7749000,-435000,7314000,7314000,54131000,54131000,106830000,106830000,42204000,7269000,34935000,203165000,28239000,1119241000,258284000,645107000,87069000,1147480000,1350645000,33133000,5923000,27210000,49969000,49969000,86602000,1001849000,315154000,267111000,48043000,1317003000,1403605000,983425000,-1048816000,-65391000,12431000,-52960000,1350645000,7749000,7749000,8572000,11449000,-25755000,2015000,-1128000,-1128000,-1128000,-1128000,-18452000,-19423000,-18536000,-18536000,-18536000,36291000,1005349000,11591000,0.22587,0.0596,-0.1381,0.00542,1.58476999999999,2.34596,-26.50312,0.74435,0.15203,0.14842,2.55078,-1.35919,0.24092,0.00577,0.00914,26.21085,34.31646
"25","2016_Q4",2.74444444444444,"Down",110856000,-86323000,-45761000,-8469000,-32093000,24533000,-20246000,-20268000,22000,4287000,4287000,-4307000,-20000,-20000,-403000,-423000,-423000,72174000,72174000,101393000,101393000,44663000,7484000,37179000,218230000,25720000,1115579000,258284000,645107000,89990000,1141299000,1359529000,32489000,5003000,27486000,52863000,52863000,88852000,1002283000,322456000,271006000,51450000,1324739000,1413591000,983173000,-1049239000,-66066000,12004000,-54062000,1359529000,-20000,-20000,8469000,18700000,-4705000,22444000,-1644000,-1644000,-1644000,-1644000,-893000,-2757000,18043000,18043000,18043000,33002000,1005783000,30960000,0.22131,-0.00382,0.00782,-0.00031,-73.19149,2.45611,-26.14759,0.7398,-0.00891,-0.00891,2.33474,-1.39142,0.65205,-0.00033,0.0243,28.28947,38.05523
"26","2017_Q1",2.8191935483871,"Up",113556000,-96472000,-49450000,-8524000,-38498000,17084000,-19256000,-20108000,852000,-2172000,-2172000,-1315000,-3487000,-3487000,120000,-3367000,-3367000,45812000,45812000,104351000,104351000,49497000,7902000,41595000,199660000,24851000,1134275000,258284000,643449000,115942000,1159126000,1358786000,39445000,7555000,31890000,49519000,49519000,92464000,1002736000,322302000,272733000,49569000,1325038000,1417502000,981737000,-1052863000,-71126000,12410000,-58716000,1358786000,-3487000,-3487000,8524000,21712000,-13123000,13626000,-1143000,-1143000,-1143000,-36143000,-875000,-2876000,-25393000,-25393000,-25393000,25608000,1006236000,12657000,0.15045,-0.02965,0.05734,-0.00248,-3.75912999999998,2.15933,-24.14166,0.74054,-0.07097,-0.07276,2.39355,-1.49921,0.26679,-0.00265,0.00997,37.50484,56.21775
"27","2017_Q2",2.50650793650794,"Down",101289000,-84836000,-44627000,-8312000,-31897000,16453000,-18922000,-20243000,1321000,-2469000,-2469000,112000,-2357000,-2357000,44000,-2313000,-2313000,39898000,39898000,104496000,104496000,56898000,11954000,44944000,201292000,24137000,1127365000,258284000,641192000,117881000,1151502000,1352794000,32008000,7225000,24783000,52071000,52071000,87579000,1003206000,323864000,272577000,51287000,1327070000,1414649000,981700000,-1055176000,-73476000,11621000,-61855000,1352794000,-2357000,-2357000,8312000,12573000,-21193000,-2665000,-1459000,-1459000,-1459000,-1459000,-875000,-1790000,-5914000,-5914000,-5914000,24765000,1006706000,2001000,0.16244,-0.02284,0.03739,-0.00171,-0.86511,2.2984,-22.87041,0.74417,-0.04822,-0.04822,2.11172,-1.53186,0.04172,-0.00182,0.00158,39.03929,58.76181
"28","2017_Q3",1.84349206349206,"Down",117638000,-105530000,-51333000,-8432000,-45765000,12108000,-18244000,-19818000,1574000,-6136000,1192000,-181999.999999998,1010000,1010000,-208000,802000.000000002,802000.000000002,64433000,64433000,106768000,106768000,53794000,6883000,46911000,224995000,24705000,1112130000,263310000,630927000,110252000,1136835000,1361830000,31741000,5795000,25946000,47789000,47789000,83030000,1007435000,334170000,272716000,61454000,1341605000,1424635000,980966000,-1054374000,-73408000,10603000,-62805000,1361830000,1010000,1010000,8432000,17589000,-12622000,14409000,-2060000,-2060000,-2060000,15940000,-3610000,-5728000,24621000,24621000,24621000,20540000,1010935000,6040000,0.10293,0.00681999999999999,-0.01277,0.000590000000000002,7.53117,2.7098,-22.68346,0.74234,0.01677,0.01663,2.46019,-1.5352,0.12632,0.000630000000000001,0.00471,46.08092,78.17162
"29","2017_Q4",1.66269841269841,"Down",112078000,-108547000,-48459000,-8804000,-51284000,3531000,-18076000,-19926000,1850000,-14545000,-13855000,6037000,-7818000,-7818000,-68000,-7886000,-7886000,51892000,51892000,110497000,110497000,55903000,8424000,47479000,218292000,23926000,1083398000,263310000,614535000,105050000,1107324000,1325616000,31981000,7371000,24610000,47903000,47903000,83384000,987305000,325258000,266773000,58485000,1312563000,1395947000,982058000,-1062260000,-80202000,9871000,-70331000,1325616000,-7818000,-7818000,8804000,25646000,-18602000,8030000,1036000,-964000,-964000,1036000,-20244000,-21607000,-12541000,-12541000,-12541000,12335000,990805000,-11268000,0.0315,-0.07036,0.11213,-0.00595,1.42886,2.61791,-19.84825,0.74743,-0.16893,-0.16893,2.4009,-1.71807,-0.24138,-0.00633,-0.00905,76.11779,265.90569
