"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"17","2018_Q1",67.6483606557377,"Up",404975000,-306298000,98677000,-43925000,-43925000,54752000,289000,289000,55041000,55041000,-19401000,35640000,35640000,35640000,35640000,67571000,67571000,44706000,44706000,918933000,1050076000,1674000,28142000,14196000,29816000,1079892000,590046000,12020000,578026000,590046000,590046000,229908000,276488000,489846000,489846000,1079892000,35640000,191000,1785000,-33910000,3706000,-16000,-16000,1e+07,-168000,15913000,19603000,19603000,19603000,54943000,0,0.24366,0.1352,0.08801,0.07276,0.033,1.77965,1.20455,0,1.63571,1.38937,18.58646,22.48164,0.07276,-1.22984,-1.23413
"18","2018_Q2",64.4696875,"Down",279024000,-209765000,69259000,-38389000,-38389000,30870000,357000,357000,31227000,31227000,-3925000,27302000,27302000,27302000,27302000,52024000,52024000,21660000,21660000,1040351000,1138644000,1647000,30563000,17403000,32210000,1170854000,651944000,25737000,626207000,651944000,651944000,231670000,303790000,518910000,518910000,1170854000,27302000,180000,2447000,-140853000,-110924000,-153000,-153000,94962000,-132000,95530000,-15547000,-15547000,-15547000,31050000,1.45519152283669e-11,0.24822,0.11064,0.09785,0.05261,0.02332,1.74654,1.25637,0,1.23048,1.10213,12.57538,23.38684,0.05261,-1.67549,-1.68526
"19","2018_Q3",54.9707936507937,"Down",419847000,-310082000,109765000,-47603000,-47603000,62162000,509000,509000,62671000,62671000,-15063000,47608000,47608000,47608000,47608000,48886000,48886000,31746000,31746000,1062696000,1172890000,1675000,25354000,11168000,27029000,1199919000,631237000,19893000,611344000,631237000,631237000,233834000,351398000,568682000,568682000,1199919000,47608000,186000,758000,-33298000,15254000,-214000,-214000,-1.5e+07,-3923000,-18178000,-3138000,-3138000,-3138000,62348000,0,0.26144,0.14806,0.11339,0.08372,0.03968,1.85808,1.11,0,2.10505,1.90427,18.56409,25.14502,0.08372,-0.78408,-0.78643
"20","2018_Q4",42.2336507936508,"Down",380369000,-283035000,97334000,-45684000,-45684000,51650000,940000,940000,52590000,48991000,-11268000,37723000,37723000,37723000,37723000,37969000,37969000,31379000,31379000,1187994000,1297397000,1520000,34870000,11033000,36390000,1333787000,721368000,17891000,703477000,721368000,721368000,239848000,389121000,612419000,612419000,1333787000,37723000,177000,2777000,-47023000,-6346000,-28000,-73857000,71517000,-2843000,69286000,-10917000,-10917000,-10917000,51827000,-2.3283064365387e-10,0.25589,0.13579,0.09917,0.0616,0.02828,1.79852,1.1779,1.0842021724855e-19,1.66485,1.51519,16.78707,27.02827,0.0616,-0.73261,-0.73512
"21","2019_Q1",57.9154098360656,"Up",425160000,-321602000,103558000,-48129000,-48129000,55429000,780000,780000,56209000,56209000,-13556000,42653000,42653000,42653000,42653000,46624000,46624000,42836000,42836000,1228256000,1363468000,1432000,30573000,15765000,32005000,1395473000,739530000,9241000,730289000,739530000,739530000,242225000,431774000,655943000,655943000,1395473000,42653000,168000,2825000,-60353000,-14707000,395000,-714000,2.5e+07,-51000,24076000,8655000,8655000,8655000,55597000,0,0.24357,0.13037,0.10032,0.06503,0.03057,1.8437,1.12743,0,1.87532,1.71298,18.69297,28.83978,0.06503,-0.83861,-0.84115
"22","2019_Q2",69.3647619047619,"Up",287594000,-221290000,66304000,-45229000,-45229000,21075000,619000,619000,21694000,21694000,-3360000,18334000,18334000,18334000,18334000,35084000,35084000,31987000,31987000,1290855000,1401624000,1478000,33101000,19943000,34579000,1436203000,759277000,14690000,744587000,759277000,759277000,244874000,450108000,676926000,676926000,1436203000,18334000,165000,3433000,-55110000,-33178000,-211000,-211000,21200000,0,21849000,-11540000,-11540000,-11540000,21240000,-1.86264514923096e-09,0.23055,0.07328,0.06375,0.02708,0.01277,1.846,1.12165,0,0.80608,0.73084,12.64443,29.76189,0.02708,-1.65179,-1.66472
"23","2019_Q3",76.41546875,"Up",461830000,-350519000,111311000,-52870000,-52870000,58441000,2263000,2263000,60704000,60535000,-14480000,46055000,46055000,46055000,46055000,37555000,37555000,43207000,43207000,1328699000,1455452000,1429000,29179000,15146000,30608000,1486060000,760825000,22562000,738263000,760825000,760825000,247128000,496163000,725235000,725235000,1486060000,46055000,161000,933000,-32864000,14285000,-112000,-112000,-10250000,-2067000,-11702000,2471000,2471000,2471000,58602000,0,0.24102,0.12654,0.09972,0.0635,0.03099,1.91299,1.04907,0,2.00876,1.81562,20.1434,31.6322,0.0635,-0.64085,-0.64261
"24","2019_Q4",76.0903125,"Down",483081000,-366431000,116650000,-52625000,-52625000,64025000,707000,707000,64732000,64732000,-15383000,49349000,49349000,49349000,49349000,37030000,37030000,45431000,45431000,1480629000,1603227000,1631000,31335000,16528000,32966000,1636193000,859146000,29004000,830142000,859146000,859146000,249591000,545512000,777047000,777047000,1636193000,49349000,161000,986000,-135762000,-85266000,-1277000,-1277000,85317000,0,86018000,-525000,-525000,-525000,64186000,0,0.24147,0.13253,0.10215,0.06351,0.03016,1.86607,1.10566,-1.38777878078145e-17,2.15113,1.93251,21.05754,33.87153,0.06351,-0.57692,-0.57837
"25","2020_Q1",74.2864516129032,"Down",605649000,-463435000,142214000,-58217000,-58217000,83997000,874000,874000,84871000,84871000,-20001000,64870000,64870000,64870000,64870000,38345000,38345000,56390000,56390000,1499624000,1631603000,1632000,32880000,16241000,34512000,1666115000,130363000,12495000,117868000,820922000,820922000,252867000,610382000,845193000,845193000,1666115000,64870000,156000,562000,-3363000,62225000,1600000,-193000,-60721000,-917000,-60717000,1315000,1315000,1315000,84153000,690559000,0.23481,0.13869,0.10711,0.07675,0.03893,1.98753,0.97128,0.41447,2.68574,2.52069,25.07496,34.99252,0.04224,7.75034,7.76473
"26","2020_Q2",70.0892063492063,"Down",454727000,-348163000,106564000,-52686000,-52686000,53878000,1011000,1011000,54889000,54889000,-12050000,42839000,42839000,42839000,42839000,118232000,118232000,45006000,45006000,1481833000,1682519000,1888000,34637000,20318000,36525000,1719044000,859439000,19066000,840373000,859439000,859439000,255775000,653221000,859605000,859605000,1719044000,42839000,161000,4173000,11630000,58803000,-1125000,-1542000,53128000,-2325244.15708027,22626000,79887000,79887000,79887000,54039000,-1.19209289550781e-07,0.23435,0.11848,0.09421,0.04984,0.02492,1.95769,0.99981,0,1.6917,1.67387,17.95699,33.94546,0.04984,-2.1879,-2.19444
"27","2020_Q3",110.600625,"Up",481602000,-363629000,117973000,-50139000,-50139000,67834000,763000,763000,68597000,68597000,-12973000,55624000,55624000,55624000,55624000,49102000,49102000,58230000,58230000,1458258000,1596351000,1876000,38148000,22443000,40024000,1636375000,717593000,15410000,702183000,717593000,717593000,259328000,708845000,918782000,918782000,1636375000,55624000,156000,1227000,30262000,87269000,1125000,-143000,-155109000,-2084000,-156256000,-69130000,-69130000,-69130000,67990000,0,0.24496,0.14085,0.1155,0.06054,0.03399,2.22459,0.78103,0,2.21832,2.21262,19.20663,36.64167,0.06054,-0.72219,-0.72386
"28","2020_Q4",113.91140625,"Up",534202000,-398971000,135231000,-57790000,-57790000,77441000,374000,374000,77815000,77815000,11189000,89004000,89004000,89004000,89004000,46335000,46335000,62018000,62018000,1548506000,1691804000,2284000,68755000,51284000,71039000,1762843000,750173000,31223000,718950000,750173000,750173000,264212000,797849000,1012670000,1012670000,1762843000,89004000,192000,2160000,-124447000,-33091000,3710988.08258005,-601000,30037000,-71000,30925000.0000001,-2766999.99999997,-2766999.99999997,-2766999.99999997,77633000,2.98023223876953e-08,0.25315,0.14497,0.16661,0.08789,0.05049,2.25522,0.74079,2.77555756156289e-17,3.54759,3.52443,21.29263,40.36378,0.08789,-0.59685,-0.59833
"29","2021_Q1",120.104754098361,"Up",897398000,-654069000,243329000,-77772000,-77772000,165557000,991000,991000,166548000,166548000,-30120000,136428000,136428000,136428000,136428000,35942000,35942000,115939000,115939000,1569489000,1758583000,3618000,63886000,44882000,67504000,1826087000,148684000,13676000,135008000,687082000,687082000,270865000,934277000,1139005000,1139005000,1826087000,136428000,201000,3588000,-51040000,89177000,4279555.00793245,-3362000,-80992000,0,-96208000,-10393000,-10393000,-10393000,165758000,538398000,0.27115,0.18449,0.15203,0.11978,0.07471,2.5595,0.60323,0.29484,5.4454,5.34245,35.81881,45.46233,0.08133,3.03126,3.03494
"30","2021_Q2",165.456666666667,"Up",705953000,-516004000,189949000,-67506000,-67506000,122443000,833000,833000,123276000,123276000,-23618000,99658000,99658000,99658000,99658000,48157000,48157000,59229000,59229000,1609693000,1717079000,6160000,102247000,86879000,108407000,1825486000,192900000,41552000,151348000,606848000,606848000,276667000,1033935000,1218638000,1218638000,1825486000,99658000,288000,7058000,53682000,160686000,2660000,404000,-125156000,-4846019.95505334,-148875000,12215000,12215000,12215000,122731000,413948000,0.26907,0.17344,0.14117,0.08178,0.05459,2.8295,0.49797,0.22676,3.99417,3.95141,28.29373,48.84151,0.06104,2.98043,2.98744
"31","2021_Q3",157.871875,"Down",791512000,-577433000,214079000,-68072000,-68072000,146007000,3776000,3776000,149783000,149121000,-30987000,118134000,118134000,118134000,118134000,111704000,111704000,69522000,69522000,1750860000,1932086000,8570000,118181000,100066000,126751000,2058837000,188775000,57578000,131197000,772431000,772431000,282077000,1152069000,1286406000,1286406000,2058837000,118134000,249000,1660000,-140877000,-20834000,0,-30167000,178809000,-10500000,114548000,63547000,63547000,63547000,146256000,583656000,0.27047,0.18447,0.14925,0.09183,0.05738,2.50131,0.60046,0.28349,4.73467,4.68398,31.72283,51.55757,0.06317,3.22689,3.23239
"32","2021_Q4",146.37359375,"Down",751608000,-549319000,202289000,-64351000,-64351000,137938000,2370000,2370000,140308000,126994000,-26444000,100550000,100550000,100550000,100550000,46717000,46717000,49171000,49171000,1908135000,2054290000,13364000,85903000,66272000,99267000,2153557000,151689000,35455000,116234000,817783000,817783000,286978000,1252619000,1335774000,1335774000,2153557000,100550000,295000,13920000,-153530000,-38765000,-2.3283064365387e-10,-40066000,78766000,-10386000,13844000,-64987000,-64987000,-64987000,138233000,666094000,0.26914,0.18352,0.13378,0.07527,0.04669,2.51202,0.61222,0.3093,4.05996,4.01715,30.34806,53.93523,0.05023,4.48067,4.49026
"33","2022_Q1",123.481451612903,"Down",801076000,-589359000,211717000,-70407000,-70407000,141310000,2074000,2074000,143384000,143384000,-32081000,111303000,111303000,111303000,111303000,50514000,50514000,57909000,57909000,2085904000,2235029000,16944000,99892000,81676000,116836000,2351865000,150781000,14172000,136609000,150781000,956017000,291846000,1363922000,1395848000,1395848000,2351865000,111303000,322000,5004000,-196016000,-79387000,-2660000,-562000,138399000,0,83746000,3797000,3797000,3797000,141632000,805236000,0.26429,0.1764,0.13894,0.07974,0.04733,14.82301,0.6849,0.34238,4.68965,4.59801,33.7526,58.81277,0.05057,5.32875,5.3409
"34","2022_Q2",92.7027419354839,"Down",546050000,-387643000,158407000,-62687000,-62687000,95720000,3830000,3830000,99550000,99550000,-20864000,78686000,78686000,78686000,78686000,53325000,53325000,48489000,48489000,2335570000,2476555000,19420000,98258000,83307000,117678000,2594233000,167886000,21965000,145921000,1171482000,1171482000,297722000,1442608000,1422751000,1422751000,2594233000,78686000,348000,5221000,-222042000,-137787000,-13844148.5636496,-1373000,197617000,7421401.55017425,141971000,2811000,2811000,2811000,96068000,1003596000,0.2901,0.1753,0.1441,0.05531,0.03033,2.11404,0.82339,0.38686,3.21061,3.16971,22.28036,58.0522,0.03243,9.89165,9.92761
"35","2022_Q3",97.945625,"Up",723069000,-491710000,231359000,-72353000,-72353000,159006000,4006000,4006000,163012000,163012000,-39636000,123376000,123376000,123376000,123376000,41971000,41971000,52106000,52106000,2633706000,2766060000,20311000,86986000,69481000,107297000,2873357000,203973000,40162000,163811000,1359436000,1359436000,302959000,1565984000,1513921000,1513921000,2873357000,123376000,382000,415000,-249686000,-125513000,-38872445.6909487,-1082000,153560000,-2567000,115241000,-11354000,-11354000,-11354000,159388000,1155463000,0.31997,0.2199,0.17063,0.08149,0.04294,2.03471,0.89796,0.40213,5.23825,5.19569,30.69981,64.27752,0.04622,6.98605,7.00283
