"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",34.3912903225806,"Up",3523347000,-455469000,3067878000,-2610450000,-330364000,-235403000,457428000,-39683000,-109514000,-143818000,34304000,69831000,417745000,-312712000,149383000,-163329000,-163329000,4868000,-158461000,-158461000,6400076000,3087639000,3312437000,821210000,821210000,628817000,485815000,403792000,8335918000,4368488000,114391000,3695460000,3695460000,8178339000,16514257000,2509724000,215792000,2091044000,33932000,1598409000,851410000,4142065000,10356799000,1865809000,1623021000,242788000,12222608000,16364673000,2405224000,-784409000,57809000,109165000,40419000,149584000,16514257000,-163329000,235403000,188092000,425812000,685978000,-261740000,-899064000,-40890000,-1201694000,990350000,11552000,11552000,4685000,1006587000,490871000,491945000,491945000,692831000,10390731000,707520000,0.87073,0.12983,-0.04497,-1.05934,-0.0096,-4.46495,2.0125,109.40123,0.6292,-0.35132,-0.35132,7.81157,0.24203,1.56863,3,-0.01277,0.05703,5.75993,8.72412
"12","2013_Q1",36.3975,"Up",2504352000,-425678000,2078674000,-1588050000,312161000,-221264000,490624000,-106578000,-107610000,-145104000,37494000,1032000,384046000,384046000,-143520000,240526000,203347000,5759000,209106000,209106000,7205379000,3573742000,3631637000,860715000,860715000,465584000,527475000,85113999.9999999,9059153000,4366629000,119051000,3834775000,3795620000,8320455000,17379608000,2312759000,229566000,1858810000,537285000,1074423000,839888000,3924467000,11350399000,2033114000,1674635000,347281000,13383513000,17307980000,2445716000,-1028193000,188803000,36867000,34761000,71628000,17379608000,240526000,221264000,18766000,-510880000,-30324000,-263409000,-250823000,1303999.99999999,-512928000,1492509000,33448000,33448000,-2830000,1070237000,526985000,525038000,525038000,711888000,11887684000,81119000,0.83002,0.19591,0.0835,2.91933,0.01203,0.38793,2.30838,241.63707,0.684,0.46218,0.45697,5.5353,0.08149,0.1793,2,0.04731,0.00580000000000001,6.57731,9.54357
"13","2013_Q2",38.9415625,"Up",3375530000,-463900000,2911630000,-2460013000,-173269000,-230170000,451617000,-112964000,-124364000,-161516000,37152000,11400000,338653000,338653000,-126419000,212234000,210676000,4922000,215598000,215598000,7095070000,2930842000,4164228000,876460000,876460000,571383000,793648000,673911000,9336561000,4455415000,125353000,3737070000,3737070000,8317838000,17654399000,2432797000,266999000,1968242000,536404000,903359000,903359000,3872560000,11343229000,2118656000,1715917000,402739000,13461885000,17334445000,2468301000,-812595000,203689000,289936000,30018000,319954000,17654399000,212234000,230170000,46064000,219913000,708381000,-310933000,-498999000,1268000,-808664000,-8479000,10887000,10887000,-549612000,-547204000,-647487000,-647487000,-647487000,681787000,11879633000,717186000,0.86257,0.13379,0.06387,0.67384,0.01221,3.3265,2.41095,54.17793,0.6729,0.47568,0.4726,7.44752,0.63969,1.58235,4,0.01506,0.05009,7.01768,10.59429
"14","2013_Q3",44.98609375,"Up",3485774000,-434536000,3051238000,-2588452000,-202200000,-304642000,462786000,-74288000,-170986000,-214781000,43795000,96698000,388498000,-49077000,40357000,-8720000,-15074000,4022000,-11052000.0000001,-11052000.0000001,9527162000,4093822000,5433340000,902227000,902227000,577288000,1155214000,963901000,12161891000,3990025000,134295000,3779590000,3779590000,7903910000,20065801000,2588725000,294390000,2032847000,535837000,887338000,887338000,4011900000,13633032000,2051181000,1664891000,386290000,15684213000,19696113000,2522488000,-823647000,214533000,343915000,25773000,369688000,20065801000,-8720000,304642000,248139000,17400000.0000001,561461000,-281619000,-1254861000,-131999000,-1668479000,2288101000,26184000,26184000,-44203999.9999999,2270081000,1163063000,1163063000,1163063000,767428000,14168869000,462852000,0.87534,0.13276,-0.00317000000000001,-0.0299000000000007,-0.000550000000000002,-41.87948,3.03145,53.27766,0.70612,-0.02427,-0.02427,7.65344,0.75511,1.01625,3,-0.000670000000000007,0.0279,6.04839,10.02992
"15","2013_Q4",51.20703125,"Up",3505021000,-496318000,3008703000,-2588309000,-191427000,-253036000,420394000,-38930000,-149427000,-189384000,39957000,110497000,381464000,381464000,-38140000,343324000,310990000,3918000,314908000,314908000,10302190000,4793453000,5508737000,928851000,928851000,580714000,527233000,292497000,12338988000,4055871000,141960000,3808421000,3808421000,8006252000,20345240000,2573091000,265377000,2075314000,487039000,862942000,862942000,3923072000,13624285000,2072047000,1801081000,270966000,15696332000,19619404000,2574181000,-508739000,205081000,701064000,24772000,725836000,20345240000,343324000,253036000,-43810000,-153112000,399438000,-318570000,-48359000,793726000,426797000,-9021000,29527000,29527000,-148153000,-127647000,698588000,698588000,698588000,673430000,14111324000,239888000,0.8584,0.11994,0.08984,0.43386,0.01548,0.76177,3.14524,27.03008,0.69359,0.68851,0.68352,7.66331,1.53279,0.52449,5,0.01862,0.01419,5.65632,9.06087
"16","2014_Q1",58.2131147540984,"Up",3538540000,-448116000,3090424000,-2639467000,-209815000,-266178000,450957000,14918000,-151343000,-179304000,27961000,166261000,465875000,465875000,-175624000,290251000,283154000,4884000,288038000,288038000,9739404000,4700022000,5039382000,957518000,957518000,512707000,1103817000,495186000,12313446000,4097711000,151273000,3.794e+09,3784035000,8042984000,20356430000,2623899000,281932000,2109233000,1034893000,892857000,843386000,4551649000,12596793000,2210983000,1945690000,245489000,14807776000,19359425000,2593368000,-220701000,173872000,977080000,19925000,997005000,20356430000,290251000,266178000,1882000,81606000,639917000,-205451000,445722000,-418786000,-178515000,-8470000,9914000,9914000,-550730000,-549286000,-87884000,-87884000,-87884000,717135000,13631686000,768914000,0.87336,0.12744,0.0814,0.2889,0.01415,2.66949,2.70527,19.41758,0.66965,0.62876,0.62036,7.7243,2.13287,1.67847,8,0.0171,0.04566,5.42754,8.63116
"17","2014_Q2",60.0761904761905,"Up",3594198000,-449146000,3145052000,-2698754000,-203113000,-249220000,446298000,-167019000,-161830000,-175994000,14164000,-5189000,279279000,279279000,-108462000,170817000,170817000,5114000,175931000,175931000,8961479000,4168687000,4792792000,939813000,939813000,522890000,2164597000,1698897000,12588779000,3703846000,471103000,3787058000,3787058000,7962007000,20550786000,2730342000,164346000,2355431000,1030253000,876026000,876026000,4636621000,12570232000,2199250000,1951987000,247263000,14769482000,19406103000,2559672000,-44770000,184397000,1129840000,14843000,1144683000,20550786000,170817000,249220000,36472000,227396000,683905000,-300845000,284434000,-1199034000,-1215445000,-7724000,6014000,6014000,1915000,205000,-531335000,-531335000,-531335000,695518000,13600485000,730531000,0.87504,0.12417,0.04895,0.15369,0.00856,4.15237,2.71508,16.95326,0.6618,0.38378,0.38133,7.84037,2.46463,1.59358,6,0.01038,0.04311,6.66986,10.39441
"18","2014_Q3",64.5559375,"Up",3688119000,-456462000,3231657000,-2776913000,-189660000,-271895000,454744000,-125723000,-134557000,-152769000,18212000,8834000,329021000,329021000,-121892000,207129000,207129000,6184000,213313000,213313000,8903131000,4127359000,4775772000,972784000,972784000,528336000,689416000,167083000,11093667000,3746741000,473830000,5454458000,5454458000,9675029000,20768696000,2763449000,181854000,2353642000,1665979000,878763000,878763000,5308191000,11795566000,2229008000,1988315000,240693000,14024574000,19332765000,2638031000,168543000,190129000,1427244000,8687000,1435931000,20768696000,207129000,271895000,35384000,-47157000,467251000,-299765000,-38687000,-102790000,-441242000,-7882000,23682000,23682000,-83137000.0000001,-67336999.9999999,-41327999.9999999,-41328000.0000001,-41328000.0000001,726639000,13461545000,501609000,0.87623,0.1233,0.05784,0.14855,0.01027,2.35152,2.08991,13.46358,0.64817,0.46385,0.4612,8.01988,3.10357,1.09076,6,0.01246,0.02929,6.27329,10.02413
"19","2014_Q4",67.32703125,"Up",3679351000,-486523000,3192828000,-2804319000,-196376000,-269890000,388509000,-185385000,-129296000,-143405000,14109000,-56089000,203124000,203124000,-60089000,143035000,143035000,2484000,145519000,145519000,9272105000,4750556000,4521549000,1027793000,1027793000,528011000,585878000,144733000,11413787000,3802802000,465158000,5441684000,5441684000,9709644000,21123431000,2986655000,241853000,2540842000,1581401000,898691000,898691000,5466747000,11789609000,2300770000,1976738000,324032000,14090379000,19557126000,2632268000,314062000,166832000,1543703000,22602000,1566305000,21123431000,143035000,269890000,145193000,77406000,635524000,-316846000,387521000,2301000,72976000,-7894000,7656000,7656000,-85065000,-85303000,623197000,623197000,623197000,658399000,13371010000,479048000,0.86777,0.10559,0.03955,0.09291,0.00689,3.292,2.08786,12.48615,0.63299,0.31582,0.3138,7.98522,3.35027,1.03967,5,0.00844,0.02779,6.22556,10.55035
"20","2015_Q1",73.7850819672131,"Up",3681719000,-419187000,3262532000,-2727632000,-226596000,-286931000,534900000,-140582000,-123685000,-139041000,15356000,-16897000,394318000,394318000,13603000,407921000,407921000,2009000,409930000,409930000,9236241000,7104496000,2131745000,951493000,951493000,493754000,1870579000,1487119000,12552067000,3773539000,327250000,5392685000,5392685000,9493474000,22045541000,2539685000,416993000,1895534000,681467000,891373000,891373000,4112525000,13746059000,2133325000,1857044000,276281000,15879384000,19991909000,2683969000,723992000,174507000,2013009000,40623000,2053632000,22045541000,407921000,286931000,38735000,-142143000,591444000,-84405000,2301347000,-1446339000,770603000,1991847000,13582000,13582000,-1022696000,982733000,2344780000,2344780000,2344780000,821831000,14427526000,581680000,0.88614,0.14529,0.11134,0.19961,0.01859,1.41897,3.05216,9.7349,0.65444,0.88837,0.88329,7.97876,4.36245,1.26058,7,0.02202,0.03125,6.31673,9.70515
"21","2015_Q2",69.8779365079365,"Down",3724228000,-405691000,3318537000,-2834674000,-199408000,-246212000,483863000,-27530000,-147819000,-156313000,8494000,120289000,456333000,456333000,-103081000,353252000,353252000,-1767000,351485000,351485000,1399043000,1049897000,349146000,928511000,928511000,484747000,10601299000,10124561000,13413600000,3786400000,327250000,5397955000,5397955000,9511605000,22925205000,2825344000,198434000,2409744000,2182175000,917144000,917144000,5924663000,12240749000,2222575000,1938598000,283977000,14463324000,20387987000,2705560000,1075477000,79031000,2290609000,246609000,2537218000,22925205000,353252000,246212000,-106838000,398971000,891597000,-212110000,1788953000,-8734435000,-7157592000,-7116000,6345000,6345000,212167000,211396000,-6054599000,-6054599000,-6054599000,730075000,14422924000,1020017000,0.89107,0.12992,0.09438,0.13853,0.01533,2.90202,2.26403,8.03557,0.62913,0.76064,0.75744,8.05953,4.95706,2.2074,6,0.01832,0.05317,17.8391,26.91646
"22","2015_Q3",63.43,"Down",3832425000,-405701000,3426724000,-2892737000,-176066000,-262886000,533987000,-13657000,-149135000,-152751000,3616000,135478000,520330000,520330000,-188004000,332326000,332326000,-7903000,324423000,324423000,1095510000,694249000,401261000,1018709000,1018709000,466200000,10697864000,10120350000,13278283000,3770469000,327250000,5386686000,5386686000,9484405000,22762688000,2845124000,205618000,2414525000,1532556000,931555000,931555000,5309235000,12235118000,2295901000,2000991000,294910000,14531019000,19840254000,2755252000,1399900000,82165000,2667858000,254576000,2922434000,22762688000,332326000,262886000,-68639000,30985999.9999999,557559000,-197742000,-8830000,-66064000,-272636000,-7936999.99999976,11656000,11656000,-644290000,-640571000,-355648000.000002,-355648000,-355648000,796873000,13767674000,818121000,0.89414,0.13933,0.08465,0.11101,0.01425,2.52177,2.50098,6.78895,0.60484,0.7008,0.69805,8.27856,5.76293,1.76725,7,0.01709,0.04309,15.90236,23.73122
"23","2015_Q4",61.2621875,"Down",3733565000,-456622000,3276943000,-2835223000,-186654000,-252197000,441720000,-110779000,-139561000,-142834000,3273000,28782000,330941000,330941000,-128331000,202610000,202610000,-6131000,196479000,196479000,1613032000,1244381000,368651000,905141000,905141000,408624000,10699016000,10106699000,13625813000,3754714000,327250000,5395182000,5395182000,9477146000,23102959000,2837852000,197536000,2438837000,1533339000,894720000,894720000,5265911000,12228276000,2478910000,2071574000,407336000,14707186000,19973097000,2756792000,1596379000,72200000,2855912000,273950000,3129862000,23102959000,202610000,252197000,189043000,137031000,780881000,-195632000,28066000,-59292000,-226858000,-8417000,3284000,3284000,1242000,-3891000,550132000,550132000,550132000,693917000,13761615000,763647000,0.8777,0.11831,0.05263,0.06278,0.0085,3.88666,2.58755,6.38146,0.59566,0.42418,0.42254,8.06044,6.16567,1.64865,7,0.01014,0.03942,17.50726,27.5029
"24","2016_Q1",48.2070491803279,"Down",3935275000,-396086000,3539189000,-3423735000,-196857000,-202062000,115454000,-41210000,-38040000,-42183000,4143000,-3169999.99999999,74244000,-72408000,26246000,-46162000,-46161999.9999999,-23851000,-70013000,-70013000,1611069000,1053158000,557911000,864028000,864028000,390328000,677818000,120990000,3543243000,2924180000,327250000,16092037000,16092037000,19343467000,22886710000,2759281000,470226000,2064542000,1.534e+09,869659000,869659000,5162940000,12221925000,2469815000,2084789000,385026000,14691740000,19854680000,2785181000,1471084000,61981000,2748787000,283243000,3032030000,22886710000,-46162000,202062000,176405000,-103219000,229086000,-129514000,-201285000,-74199000,-404998000,-13376000,12583000,12583000,-14341000,-15133999.9999999,-191046000,-191046000,-191046000,317516000,13755925000,58537000,0.89935,0.02934,-0.01779,-0.02309,-0.00306,-0.83609,0.68628,6.54831,0.60104,-0.15097,-0.15057,8.48559,5.92718,0.12622,5,-0.00364,0.00304,38.24959,105.19216
"25","2016_Q2",48.86,"Up",3827474000,-376393000,3451081000,-2867663000,-201001000,-227566000,583418000,70166000,3249000,-705000,3954000,66917000,653584000,653584000,-241640000,411944000,411944000,-12053000,399891000,399891000,870606000,708972000,161634000,806091000,806091000,455257000,425547000,101262000,2557501000,2845840000,324371000,16281662000,16281662000,19451873000,22009374000,2940407000,561347000,2194988000,35199000,869367000,869367000,3844973000,12215940000,2528122000,2137747000,390375000,14744062000,18589035000,2811950000,291477000,19607000,3123034000,297305000,3420339000,22009374000,411944000,227566000,16227000,272299000,928036000,-161200000,417610000,9141000,265551000,-10348000,3056000,3056000,-1530422000,-1537714000,-344127000,-344127000,-344127000,810984000,12251139000,1163723000,0.90166,0.15243,0.10448,0.11692,0.01817,2.9101,0.66515,5.43485,0.55663,0.86114,0.85958,8.24221,6.72524,2.506,5,0.02197,0.06394,14.03299,19.50665
"26","2016_Q3",51.79671875,"Up",3864591000,-349449000,3515142000,-2874860000,-182145000,-239585000,640282000,50955000,5579000,-3410000,8989000,45376000,691237000,691237000,-253175000,438062000,438062000,-13959000,424103000,424103000,3487293000,3349364000,137929000,861176000,861176000,475193000,89409000,89409000,4913071000,2750804000,324371000,16461549000,16461549000,19536724000,24449795000,2870106000,575202000,2106760000,35513000,855174000,855174000,3760793000,14201560000,2662640000,2233378000,429262000,16864200000,20624993000,2816607000,701941000,2390000,3520938000,303864000,3824802000,24449795000,438062000,239585000,59540000,-73573000.0000001,663614000,-158566000,9594000.00000012,157071000,8099000,1989490000,4387000,4387000,-25289000.0000002,1968588000,2640301000,2640301000,2640301000,879867000,14237073000,900903000,0.90958,0.16568,0.10974,0.11088,0.01735,2.12426,1.30639,5.39243,0.5823,0.91244,0.9108,8.31447,7.57512,1.93825,5,0.02046,0.04347,12.21751,16.78913
