"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"15","2014_Q2",24.2434920634921,"Down",92937000,-43489000,-26285000,-17204000,10612000,-11166000,-11166000,-554000,1741000,-1616000,125000,125000,125000,125000,263747000,263747000,33126000,33126000,23781000,23781000,320654000,346185000,58408000,8698000,404593000,725247000,43662000,16441000,27221000,98685000,142347000,399364000,20536000,20536000,419900000,562247000,496500000,-335174000,1674000,1.63e+08,1.63e+08,725247000,498049000,0.11418,0.00134,0.00077,0.00017,2.25262,3.44937,0.68673,0.00269,0.00266,2.00253,3.51219,0.02711,22.07897
"16","2014_Q3",23.5465625,"Down",94623000,-43439000,-26138000,-17301000,11578000,-13522000,-13522000,-1944000,787000,421000,1207999.99999999,1207999.99999999,1207999.99999999,1207999.99999999,349835000,349835000,33505000,33505000,22481000,22481000,405821000,353663000,63303000,13181000,416966000,822787000,51723000,16969000,34754000,8341000,60064000,600734000,21367000,21367000,622101000,682165000,480840000,-341848000,1630000,140622000,140622000,822787000,609075000,0.12236,0.01277,0.00858999999999999,0.00147,6.75648,4.85105,0.74026,0.02632,0.0260899999999998,2.06162,3.06383,0.01179,22.39074
"17","2014_Q4",23.3071875,"Down",95692000,-44784000,-27352000,-17432000,10502000,-12524000,-12524000,-2022000,1092000,-1276000,-184000,-184000,-184000,-184000,311779000,311779000,31770000,31770000,20705000,20705000,364254000,357699000,62508000,13333000,420207000,784461000,47560000,16303000,31257000,8980000,56540000,598030000,21227000,21227000,619257000,675797000,467892000,-355824000,-3404000,108664000,108664000,784461000,607010000,0.10975,-0.00192,-0.00169,-0.00023,6.44241,6.21914,0.77379,-0.00403,-0.00403,2.09717,2.38146,0.01847,28.11188
"18","2015_Q1",25.6411475409836,"Up",96751000,-45448000,-27904000,-17544000,10258000,-12197000,-12197000,-1939000,871000,-1223000,-352000,-352000,-352000,-352000,287790000,287790000,33089000,33089000,14758000,14758000,335637000,360761000,58516000,5549000,419277000,754914000,45438000,13287000,32151000,14594000,60032000,589313000,21775000,21775000,611088000,671120000,460622000,-370366000,-6462000,83794000,83794000,754914000,603907000,0.10602,-0.00363999999999999,-0.0042,-0.000469999999999999,5.59097,8.00917,0.79997,-0.00767,-0.00756000000000002,2.10756,1.82531,0.0195,30.81663
"19","2015_Q2",23.8009523809524,"Down",97242000,-47190000,-29677000,-17513000,8973000,-11210000,-11210000,-2237000,-723000,-862000,-1585000,-1585000,-1585000,-1585000,260050000,260050000,29761000,29761000,22158000,22158000,311969000,343429000,58648000,10563000,402077000,714046000,54966000,16752000,38214000,13286000,68252000,568684000,22858000,22858000,591542000,659794000,456062000,-387952000,-13858000,54252000,54252000,714046000,581970000,0.09227,-0.0163,-0.02922,-0.00222,4.57084,12.16165,0.81503,-0.0351,-0.0351,2.15336,1.20138,0.02187,35.87652
"20","2015_Q3",21.21875,"Down",98799000,-46296000,-28926000,-17370000,10091000,-9274000,-9274000,817000,1537000,-696000,841000,841000,841000,841000,224494000,224494000,30972000,30972000,21061000,21061000,276527000,347550000,58311000,10863000,405861000,682388000,56402000,15489000,40913000,8187000,64589000,570485000,25125000,25125000,595610000,660199000,440447000,-406083000,-12175000,22189000,22189000,682388000,578672000,0.10214,0.00851,0.0378999999999999,0.00123,4.28133,29.75344,0.84801,0.01878,0.01867,2.20657,0.49557,0.03165,35.0984
"21","2015_Q4",23.5165625,"Up",103016000,-44953000,-27319000,-17634000,12881000,-9950000,-9950000,2931000,5566000,-2406000,3160000,3160000,3160000,3160000,207290000,207290000,30991000,30991000,21755000,21755000,260036000,357163000,55707000,10670000,412870000,672906000,60966000,15350000,45616000,7670000,68636000,573207000,29961000,29961000,603168000,671804000,431268000,-418219000,-11947000,1102000,1102000,672906000,580877000,0.12504,0.03067,2.86751,0.0047,3.78862,609.6225,0.86324,0.07105,0.07069,2.31628,0.02478,0.03016,29.00295
"22","2016_Q1",25.4337704918033,"Up",105177000,-45191000,-27181000,-18010000,14149000,-9890000,-9890000,4259000,6332000,-3852000,2480000,2480000,2480000,2480000,203591000,203591000,30718000,30718000,17030000,17030000,251339000,360136000,51341000,6199000,411477000,662816000,50756000,12401000,38355000,6247000,68904000,575206000,30977000,30977000,606183000,675087000,434206000,-431784000,-14693000,-12271000,-12271000,662816000,581453000,0.13453,0.02358,-0.2021,0.00374,3.64767,-55.0148300000001,0.87725,0.05493,0.05424,2.32965,-0.2718,0.03087,26.70592
"23","2016_Q2",29.13484375,"Up",108291000,-47285000,-29532000,-17753000,13729000,-9932000,-9932000,3797000,5743000,-2389000,3354000,3354000,3354000,3354000,196050000,196050000,31528000,31528000,19815000,19815000,247393000,366482000,51221000,8363000,417703000,665096000,59921000,19025000,40896000,5584000,78911000,576991000,27576000,27576000,604567000,683478000,436838000,-444601000,-10619000,-18382000,-18382000,665096000,582575000,0.12678,0.03097,-0.18246,0.00504,3.13509,-37.18192,0.87593,0.07554,0.07525,2.43884,-0.41398,0.03299,28.15391
"24","2016_Q3",28.93953125,"Down",109956000,-48424000,-29820000,-18604000,13660000,-9909000,-9909000,3751000,7603000,-3379000,4224000,4224000,4224000,4224000,154967000,154967000,32379000,32379000,20701000,20701000,208047000,370573000,47758000,8210000,418331000,626378000,59795000,16293000,43502000,6086000,65881000,565158000,24728000,24728000,589886000,655767000,440245000,-457048000,-12586000,-29389000,-29389000,626378000,571244000,0.12423,0.03842,-0.14373,0.00674,3.15792,-22.31335,0.91198,0.09478,0.09433,2.4672,-0.65943,0.03688,30.47416
"25","2016_Q4",28.8879365079365,"Down",113057000,-48855000,-30051000,-18804000,15375000,-9682000,-9682000,5693000,6379000,-2920000,3459000,3459000,3459000,3459000,274319000,274319000,33598000,33598000,19706000,19706000,327623000,361641000,48628000,6387000,410269000,737892000,58700000,11551000,47149000,6626000,67913000,695190000,28043000,28043000,723233000,791146000,442844000,-478905000,-17193000,-53254000,-53254000,737892000,701816000,0.13599,0.0306,-0.06495,0.00469,4.82416,-14.85609,0.95111,0.07777,0.07738,2.54205,-1.1974,0.03049,27.80468
"26","2017_Q1",31.8404838709677,"Up",115596000,-51380000,-31306000,-20074000,14126000,-10259000,-10259000,3867000,4535000,-643000,3892000,3892000,3892000,3892000,274319000,274319000,33598000,33598000,19706000,19706000,327623000,361641000,48628000,6387000,410269000,737892000,58700000,11551000,47149000,6626000,67913000,695190000,28043000,28043000,723233000,791146000,442844000,-478905000,-17193000,-53254000,-53254000,737892000,701816000,0.1222,0.03367,-0.07308,0.00527,4.82416,-14.85609,0.95111,0.08625,0.08566,2.56181,-1.1802,0.03265,30.26313
"27","2017_Q2",32.0596825396825,"Up",117203000,-49999000,-31461000,-18538000,16542000,-11037000,-11037000,5505000,7629000,-3493000,4136000,4136000,4136000,4136000,258073439.251456,258073439.251456,33056410.3793175,33056410.3793175,20962606.5406234,20962606.5411049,312092456.171397,368791740.650111,45329445.6217338,6753803.72032141,414121186.271845,726213642.443242,58438738.4198412,9819611.41618371,48619127.0036575,7375360.13250935,69483452.6486684,688705272.011182,28312821.1708066,28312821.1708066,717018093.181988,786501545.830657,444367885.721259,-490533550.524221,-14122238.5844522,-60287903.3874146,-60287903.3874146,726213642.443242,0,0.14114,0.03529,-0.0726221041253594,0.00486647458098586,4.48693965473078,-14.55484447582,0.958211961123035,0.09263,0.09208,2.62495,-1.33747733417603,0.0341410392552683,27.947793428089
"28","2017_Q3",34.6520634920635,"Up",119778000,-50688000,-31791000,-18897000,17974000,-11071000,-11071000,6903000,7925000,-3608000,4317000,4317000,4317000,4317000,256492000,256492000,34754000,34754000,21906000,21906000,313152000,376867000,42420000,6759000,419287000,732439000,58696000,9284000,49412000,7635000,72335000,702396000,28909000,28909000,731305000,803640000,447898000,-509397000,-9702000,-71201000,-71201000,732439000,710031000,0.15006,0.03604,-0.06063,0.00589,4.32919,-11.28692,0.96941,0.09638,0.0958,2.67408,-1.58958,0.03634,25.23306
"29","2017_Q4",37.6353968253968,"Up",122968000,-52061000,-32913000,-19148000,17323000,-10635000,-10635000,6688000,7085000,-3435000,3650000,3650000,3650000,3650000,250765000,250765000,39118000,39118000,20427000,20427000,310310000,381010000,38540000,5872000,419550000,729860000,59763000,12314000,47449000,6698000,73551000,708081000,28351000,28351000,736432000,809983000,452415000,-526626000,-5912000,-80123000,-80123000,729860000,714779000,0.14087,0.02968,-0.04555,0.005,4.21898,-10.10924,0.97934,0.08126,0.08063,2.73753,-1.78371,0.037,26.78601
"30","2018_Q1",34.9711475409836,"Down",125226000,-51093000,-31750000,-19343000,20217000,-12057000,-12057000,8160000,8479000,-14706000,-6227000,-6227000,-6227000,-6227000,247011000,247011000,39096000,39096000,20011000,20011000,306118000,381282000,23188000,5572000,404470000,710588000,59539000,11592000,47947000,7171000,74526000,711010000,27596000,27596000,738606000,813132000,456742000,-554686000,-4600000,-102544000,-102544000,710588000,718181000,0.16144,-0.04973,0.06073,-0.00876,4.10753,-7.92959,1.01069,-0.13819,-0.1369,2.7791,-2.27573,0.02426,23.30563
"31","2018_Q2",40.15734375,"Up",128706000,-53311000,-33523000,-19788000,20520000,-10714000,-10714000,9806000,9923000,-3139000,6784000,6784000,6784000,6784000,236026000,236026000,38015000,38015000,33508000,33508000,307549000,385770000,23134000,11893000,408904000,716453000,59162000,12964000,46198000,7003000,74474000,711838000,27196000,27196000,739034000,813508000,461200000,-556266000,-1989000,-97055000,-97055000,716453000,718841000,0.15943,0.05271,-0.0699,0.00947,4.12962,-8.38193,1.00333,0.15101,0.14977,2.86497,-2.16043,0.04561,23.529
"32","2018_Q3",43.7231746031746,"Up",129296000,-53920000,-33704000,-20216000,20999000,-12187000,-12187000,8812000,9170000,-2618000,6552000,6552000,6552000,6552000,224282000,224282000,39482000,39482000,32972000,32972000,296736000,382730000,20763000,11725000,403493000,700229000,57777000,10330000,47447000,8428000,74951000,712564000,27350000,27350000,739914000,814865000,467053000,-573502000,-8187000,-114636000,-114636000,700229000,720992000,0.16241,0.05067,-0.05715,0.00936,3.95907,-7.10828,1.02965,0.14528,0.14362,2.86692,-2.54186,0.04788,23.65398
"33","2018_Q4",40.8015873015873,"Down",130142000,-53686000,-33410000,-20276000,21840000,-10829000,-10829000,11011000,11427000,-3196000,8231000,8231000,8231000,8231000,284558000,284558000,40993000,40993000,32956000,32956000,358507000,381004000,17808000,11482000,398812000,757319000,54990000,8262000,46728000,8665000,72272000,784174000,26717000,26717000,810891000,883163000,472863000,-590035000,-8672000,-125844000,-125844000,757319000,792839000,0.16782,0.06325,-0.06541,0.01087,4.96052,-7.01792,1.0469,0.18184,0.17948,2.87504,-2.78009,0.04756,23.27294
"34","2019_Q1",41.0027868852459,"Up",132049000,-54174000,-33221000,-20953000,22217000,-11446000,-11446000,10771000,10862000,-3762000,7100000,7100000,7100000,7100000,276093000,276093000,41709000,41709000,32535000,32535000,350337000,375325000,14188000,11455000,389513000,739850000,59950000,8519000,51431000,7074000,75307000,788165000,25380000,25380000,813545000,888852000,471377000,-609451000,-10928000,-149002000,-149002000,739850000,795239000,0.16825,0.05377,-0.04765,0.0096,4.65212,-5.96537,1.07487,0.15492,0.15318,2.8812,-3.2511,0.05005,23.36706
"35","2019_Q2",48.4298412698413,"Up",134137000,-56123000,-35860000,-20263000,23864000,-11629000,-11629000,12235000,12771000,-3554000,9217000,9217000,9217000,9217000,259138000,259138000,39258000,39258000,35454000,35454000,333850000,375346000,87807000,87648000,463153000,797003000,55183000,9619000,45564000,7293000,81551000,789243000,90440000,90440000,879683000,961234000,475321000,-626799000,-12753000,-164231000,-164231000,797003000,796536000,0.17791,0.06871,-0.05612,0.01156,4.09376,-5.85294,0.99941,0.20381,0.20193,2.96611,-3.63157,0.04951,22.51919
"36","2019_Q3",50.7640625,"Up",134793000,-58544000,-38567000,-19977000,21842000,-11850000,-11850000,9992000,10177000,-3041000,7136000,7136000,7136000,7136000,409279000,409279000,40684000,40684000,36030000,36030000,485993000,375936000,87136000,87136000,463072000,949065000,63185000,11570000,51615000,7700000,90217000,944394000,91044000,91044000,1035438000,1125655000,481781000,-647404000,-10967000,-176590000,-176590000,949065000,952094000,0.16204,0.05294,-0.04041,0.00752,5.38693,-6.3744,1.00319,0.15692,0.15502,2.96407,-3.88318,0.04025,24.85189
"37","2019_Q4",51.9825,"Up",136936000,-55975000,-35969000,-20006000,25707000,-6837000,-13176000,18870000,18957000,-5256000,13701000,13701000,13701000,13701000,396271000,396271000,41292000,41292000,36810000,36810000,474373000,370825000,87146000,86533000,457971000,932344000,58964000,9849000,49115000,7884000,86225000,938275000,98345000,98345000,1036620000,1122845000,487443000,-662268000,-15676000,-190501000,-190501000,932344000,946159000,0.18773,0.10005,-0.07192,0.0147,5.50157,-5.89417,1.01482,0.30055,0.29677,3.0039,-4.17893,0.04949,21.39059
"38","2020_Q1",65.5822580645161,"Up",140293000,-56518000,-36517000,-20001000,27785000,-19538000,-13199000,8247000,10769000,-3303000,7466000,7466000,7466000,7466000,399422000,399422000,40484000,40484000,35822000,35822000,475728000,368929000,87467000,87467000,456396000,932124000,62376000,11075000,51301000,8154000,89694000,944092000,102017000,102017000,1046109000,1135803000,493225000,-684578000,-12326000,-203679000,-203679000,932124000,952246000,0.19805,0.05322,-0.03666,0.00801,5.3039,-5.57644,1.02159,0.16271,0.16064,3.05754,-4.43896,0.04378,19.89649
"39","2020_Q2",70.9311111111111,"Up",140915000,-59183000,-39675000,-19508000,25811000,-15919000,-15919000,9892000,12835000,-3608000,9227000,9227000,9227000,9227000,375116000,375116000,42964000,42964000,38482000,38482000,456562000,367682000,89381000,89106000,457063000,913625000,62341000,13102000,49239000,8268000,90140000,939560000,106150000,106150000,1045710000,1135850000,499502000,-705908000,-15819000,-222225000,-222225000,913625000,947828000,0.18317,0.06548,-0.04152,0.0101,5.06503,-5.11126,1.03744,0.20209,0.1989,3.08628,-4.8671,0.04783,22.18868
"40","2020_Q3",64.54515625,"Down",140990000,-59735000,-39839000,-19896000,27369000,-12217000,-14764000,15152000,11299000,-2735000,8564000,8564000,8564000,8564000,417026000,417026000,40560000,40560000,39530000,39530000,497116000,406747000,101538000,101538000,508285000,1005401000,64663000,12171000,52492000,14734000,100063000,1021794000,119094000,119094000,1140888000,1240951000,506438000,-729082000,-12906000,-235550000,-235550000,1005401000,1036528000,0.19412,0.06074,-0.03636,0.00852,4.96803,-5.26831,1.03096,0.18673,0.18302,3.07422,-5.13606,0.0438,22.63517
"41","2020_Q4",52.9328125,"Down",142302000,-115860000,-94241000,-21619000,26442000,-15276000,-15760000,11166000,-6555000,1600000,-4955000,-4955000,-4955000,-4955000,393293000,393293000,42053000,42053000,40007000,40007000,475353000,421251000,104310000,104310000,525561000,1000914000,59697000,11983000,47714000,15252000,95247000,1048111000,118247000,118247000,1166358000,1261605000,513501000,-766694000,-7498000,-260691000,-260691000,1000914000,1063363000,0.18582,-0.03482,0.01901,-0.00495,4.99074,-4.83947,1.06239,-0.10787,-0.1063,3.09787,-5.67516,0.03008,25.34112
"42","2021_Q1",55.2991803278689,"Up",143896000,-7175000.00000001,15279000,-22454000,27371000,-18096000,-15065000,9275000,-7267000,647000,-6620000,-6620000,-6620000,-6620000,371301000,371301000,44185000,44185000,40851000,40851000,456337000,430335000,113805000,113805000,544140000,1000477000,60804000,9775000,51029000,15702000,94443000,1073090000,126110000,126110000,1199200000,1293643000,515914000,-807774000,-1306000,-293166000,-293166000,1000477000,1088792000,0.19021,-0.04601,0.02258,-0.00662,4.83188,-4.41266,1.08827,-0.14287,-0.14122,3.10555,-6.32709,0.0302,26.21355
"43","2021_Q2",68.1149206349206,"Up",146777000,-120504000,-98534000,-21970000,26273000,-15092000,-15836000,11181000,26201000,-7350000,18851000,18851000,18851000,18851000,237980000,237980000,41234000,41234000,37056000,37056000,316270000,425492000,111200000,111200000,536692000,852962000,61846000,12190000,49656000,344773000,422709000,609214000,128598000,128598000,737812000,1160521000,523961000,-825004000,-6516000,-307559000,-307559000,852962000,953987000,0.179,0.12843,-0.06129,0.0221,0.7482,-3.77333,1.11844,0.40921,0.40533,3.18616,-6.67633,0.07088,27.25258
"44","2021_Q3",68.86125,"Up",147879000,-119667000,-97572000,-22095000,28212000,-14172000,-14235000,14040000,-2070000,-423000.000000001,-2493000,-2493000,-2493000,-2493000,373963000,373963000,43751000,43751000,36841000,36841000,454555000,435996000,120196000,120196000,556192000,1010747000,62615000,14601000,48014000,16003999.9999999,93726000,1117867000,135295000,135295000,1253162000,1346888000,533097000,-864498000,-4740000,-336141000,-336141000,1010747000,1133871000,0.19078,-0.01686,0.00742,-0.00247,4.84983,-4.00691,1.12181,-0.0541200000000001,-0.0536,3.21008,-7.29677,0.03699,26.93563
"45","2021_Q4",70.3721875,"Up",147927000,-119371000,-96762000,-22609000,28556000,-13625000,-14273000,14931000,22024000,-8704000,13320000,13320000,13320000,13320000,351879000,351879000,43672000,43672000,40567000,37491000,436118000,454710000,117921000,117921000,572631000,1008749000,69149000,11639000,57510000,16685000,98996000,1122466000,144054000,144054000,1266520000,1365516000,540623000,-888832000,-8558000,-356767000,-356767000,1008749000,1139151000,0.19304,0.09004,-0.03734,0.0132,4.40541,-3.82747,1.12927,0.28773,0.28421,3.19541,-7.70663,0.05502,27.56941
"46","2022_Q1",60.6501612903226,"Down",147214000,107922000,130488000,-22566000,28799000,-22748000,-21293000,6051000,25265000,-6758000,18507000,18507000,18507000,18507000,319609000,319609000,41938000,41938000,48030000,39015000,409577000,457880000,117100000,117100000,574980000,984557000,50980000,11923000,39057000,17048000,81010000,1120242000,156403000,156403000,1276645000,1357655000,547782000,-909877000,-11003000,-373098000,-373098000,984557000,1137290000,0.19563,0.12571,-0.0496,0.0188,5.05588,-3.63887,1.15513,0.39978,0.39488,3.18001,-8.0594,0.06307,28.39269
