"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"16","2018_Q4",98.6142857142857,"Up",-19507000,-3087000,-16420000,-19507000,658000,658000,-18849000,-18849000,-18849000,-18849000,-18849000,-18849000,141456000,61135000,1553000,1553000,144818000,1571000,1285000,1285000,2856000,147674000,10605000,517000,10088000,10605000,1159000,1159000,1159000,11764000,312755000,-176671000,135910000,135910000,147674000,-18849000,127000,1687000,473000,-16562000,16135000,5692000,5692000,5692000,5265000,5265000,5265000,-19380000,0,-0.13869,-0.12764,13.65563,0.08656,0,-10.35517,-10.35517,74.66557,-0.13751,7.29906999999999,7.25155
"17","2019_Q1",105.052459016393,"Up",-20224000,-3247000,-16977000,-20224000,725000,725000,-19499000,-19499000,-19499000,-19499000,-19499000,-19499000,136153000,51058000,2102000,2102000,140252000,1464000,1009000,1009000,2473000,142725000,14881000,1247000,13634000,14881000,1130000,1130000,1130000,16011000,322997000,-196170000,126714000,126714000,142725000,-19499000,130000,1672000,3809000,-13888000,-4595000,8406000,8406000,8406000,-10077000,-10077000,-10077000,-20094000,0,-0.15388,-0.13662,9.4249,0.12636,0,-10.16685,-10.16685,66.06914,-0.15252,6.7758,6.73225
"18","2019_Q2",113.496825396825,"Up",-24403000,-4164000,-20239000,-24403000,716000,716000,-23687000,-23687000,-23687000,-23687000,-23687000,-23687000,116999000,40584000,1686000,1686000,121198000,1339000,9369000,9369000,10708000,131906000,17944000,1612000,16332000,17944000,7988000,7988000,7988000,25932000,325909000,-219928000,105974000,105974000,131906000,-23687000,125000,1802000,1136000,-20624000,8996000,1154000,1154000,1154000,-10474000,-10474000,-10474000,-24278000,0,-0.22352,-0.17957,6.75424,0.2447,0,-12.18906,-12.18906,54.53301,-0.20785,4.81914,4.79445
"19","2019_Q3",80.046875,"Down",-24912000,-3984000,-20928000,-24912000,760000,760000,-24152000,-24152000,-24152000,-24152000,-24152000,-24152000,153212000,76792000,1526000,1526000,156478000,1214000,8684000,8684000,9898000,166376000,19418000,1259000,18159000,19418000,7576000,7576000,7576000,26994000,383424000,-244080000,139382000,139382000,166376000,-24152000,125000,1898000,2079000,-20050000,274000,55984000,55984000,55984000,36208000,36208000,36208000,-24787000,0,-0.17328,-0.14517,8.0584,0.19367,0,-11.69135,-11.69135,67.4712,-0.16435,6.18114,6.15013
"20","2019_Q4",75.2078125,"Down",-21127000,-3906000,-17221000,-21127000,834000,834000,-20293000,-20293000,-20293000,-20293000,-20293000,-20293000,133594000,21661000,1492000,1492000,136798000,1106000,8415000,8415000,9521000,146319000,18505000,713000,17792000,18505000,7155000,7155000,7155000,25660000,384967000,-264373000,120659000,120659000,146319000,-20293000,116000,1590000,-1089000,-19676000,-35208000,-246999.999999985,-246999.999999985,-247000,-55131000,-55131000,-55131000,-21011000,0,-0.16818,-0.13869,7.39249,0.21267,0,-7.5261,-7.5261,44.74901,-0.15877,6.35829,6.32338
"21","2020_Q1",119.13064516129,"Up",-22453000,-4551000,-17902000,-22453000,725000,-2310000,-21728000,-21728000,-21728000,-21728000,-21728000,-21728000,157361000,60437000,1953000,1953000,159796000,992000,7980000,7980000,8972000,168768000,19624000,2052000,17572000,19624000,6718000,6718000,6718000,26342000,428485000,-286101000,142426000,142426000,168768000,-21728000,113000,1645000,1575000,-18395000,15154000,42017000,42017000,42017000,38776000,38776000,38776000,-22340000,0,-0.15256,-0.12874,8.14289,0.18495,0,-7.88117,-7.88117,51.66071,-0.14568,7.04391,7.00846
"22","2020_Q2",118.779365079365,"Down",-25071000,-4946000,-20125000,-25071000,625000,625000,-24446000,-24446000,-24446000,-24446000,-24446000,-24446000,135104000,40467000,1796000,1796000,137876000,9e+05,7896000,7896000,11802000,149678000,15753000,739000,15014000,15753000,6260000,6260000,6260000,22013000,438137000,-310547000,127665000,127665000,149678000,-24446000,105000,2270000,-4944000,-27015000,-614000,7658999.99999999,7658999.99999999,7659000.00000001,-19970000,-19970000,-19970000,-24966000,0,-0.19149,-0.16332,8.75236,0.17243,0,-7.57358,-7.57358,39.55171,-0.18254,5.41152,5.38886
"23","2020_Q3",87.2484375,"Down",-20752000,-5096000,-15656000,-20752000,361000,361000,-20391000,-20391000,-20391000,-20391000,-20391000,-20391000,154132000,114895000,1497000,1497000,156552000,808000,7567000,7567000,8375000,164927000,15852000,672000,15180000,15852000,5791000,5791000,5791000,21643000,474105000,-330938000,143284000,143284000,164927000,-20391000,91000,2363000,-58000,-17995000,58523000,33900000,33900000,33900000,74428000,74428000,74428000,-20661000,0,-0.14231,-0.12364,9.87585,0.15105,0,-5.86656,-5.86656,41.22332,-0.13678,7.46005,7.42733
"24","2020_Q4",87.6421875,"Up",-22901000,-4744000,-18157000,-22901000,167000,-986000,-22734000,-22734000,-22734000,-22734000,-22734000,-22734000,137749000,120582000,1821000,1821000,140036000,744000,6928000,6928000,7672000,147708000,19801000,2636000,17165000,19801000,5311000,5311000,5311000,25112000,476222000,-353672000,122596000,122596000,147708000,-22734000,86000,2499000,3848000,-16301000,21986000,1999.9999999851,1999.9999999851,2000.00000000745,5687000.00000001,5687000.00000001,5687000.00000001,-22815000,0,-0.18544,-0.15391,7.07217,0.20484,0,-6.4416,-6.4416,34.73713,-0.17774,6.03765,6.01498
"25","2021_Q1",58.2,"Down",-22663000,-5586000,-17077000,-22663000,97000,-455843.364921283,-22566000,-22566000,-22566000,-22566000,-22566000,-22566000,115151000,107146000,2011000,2011000,118703000,690000,6194000,6194000,6884000,125587000,18401000,1994000,16407000,18401000,4815000,4815000,4815000,23216000,478606000,-376238000,102371000,102371000,125587000,-22566000,82000,2292000,-2809000,-23001000,9065000,5e+05,5e+05,5e+05,-13436000,-13436000,-13436000,-22581000,0,-0.22043,-0.17968,6.4509,0.22678,0,-6.39273,-6.39273,29.00069,-0.21053,5.09946,5.08101
"26","2021_Q2",43.9396825396825,"Down",-20767000,-5428000,-15339000,-20767000,372000,372000,-20395000,-20395000,-20395000,-20395000,-20395000,-20395000,102851000,101351000,2630000,2630000,106509000,617000,3531000,3531000,4148000,110657000,13792000,1636000,12156000,13792000,2707000,2707000,2707000,16499000,490791000,-396633000,94158000,94158000,110657000,-20395000,73000,2687000,-4367000,-22002000,6500000,9537000,9537000,9537000,-5965000,-5965000,-5965000,-20694000,0,-0.2166,-0.18431,7.72252,0.17523,0,-5.64591,-5.64591,26.06558,-0.21055,4.97009,4.95262
"27","2021_Q3",43.140625,"Down",-17307000,-4487000,-12820000,-14307000,-4000,-4000,-14311000,-14311000,-14311000,-14311000,-14311000,-14311000,92205000,92205000,1776000,1776000,93993000,544000,3322000,3322000,3866000,97859000,12478000,1534000,10944000,12478000,2368000,2368000,2368000,14846000,493957000,-410944000,83013000,83013000,97859000,-14311000,73000,2898000,219000,-11121000,1500000,475000,475000,475000,-9146000,-9146000,-9146000,-14234000,0,-0.17239,-0.14624,7.5327,0.17884,0,-3.96169,-3.96169,22.98033,-0.16761,6.4778,6.44475
"28","2021_Q4",25.1321875,"Down",-17900000,-6344000,-11556000,-11150000,-22000,-22000,-11172000,-11172000,-11172000,-11172000,-11172000,-11172000,84493000,84493000,1829000,1829000,86334000,622000,3015000,3015000,3637000,89971000,13530000,2971000,10559000,13530000,2022000,2022000,2022000,15552000,496528000,-422116000,74419000,74419000,89971000,-11172000,69000,2838000,660000,-7605000,-108000,1000,1000,1000,-7712000,-7712000,-7712000,-11081000,0,-0.15012,-0.12417,6.38093,0.20898,0,-3.24701,-3.24701,21.62699,-0.14615,7.62503,7.57785
"29","2022_Q1",10.2177419354839,"Down",-69209000,-4594000,-64615000,-69209000,-1000,-346000,-69210000,-69210000,-69210000,-69210000,-69210000,-69210000,59537000,59537000,1915000,1915000,61452000,556000,2748000,2748000,3304000,64756000,14006000,3650000,10356000,14006000,1666000,1666000,1666000,15672000,499708000,-491326000,49084000,49084000,64756000,-69210000,65000,43490000,83000,-25572000,-39000,828000,828000,655000,-24956000,-24956000,-24956000,-69144000,0,-1.41003,-1.06878,4.38755,0.31929,0,-20.11509,-20.11509,2.43613,-1.36374,0.86106,0.86025
"30","2022_Q2",4.6358064516129,"Down",-13826000,-4260000,-9566000,-13826000,-9000,-9000,-13835000,-13835000,-13835000,-13835000,-13835000,-13835000,44664000,44664000,2605000,2478000,47269000,492000,2475000,2475000,2967000,50236000,11375000,2124000,9251000,11375000,1295000,1295000,1295000,12670000,502025000,-505161000,37566000,37566000,50236000,-13835000,64000,1453000,-3692000,-16010000,353372.93566183,1137000,1137000,1137000,-14873000,-14873000,-14873000,-13762000,0,-0.36829,-0.2754,4.15552,0.33727,0,-3.73343999999999,-3.73343999999999,-0.846259999999998,-0.35601,3.24546,3.23044
"31","2022_Q3",3.41859375,"Down",-11376000,-3618000,-7758000,-11376000,68000,68000,-11308000,-9077000,-9077000,-9077000,-9077000,9283000,41789000,41789000,1035000,1035000,42824000,538000,2196000,2196000,2734000,45558000,8894000,990000,7904000,8894000,1413000,1413000,1413000,10307000,508787000,-495878000,35251000,35251000,45558000,-9077000,64000,-1452000,-799000,-11264000,-110000,8499000,8499000,8499000,-2875000,-2875000,-2875000,-11312000,0,0.26334,0.20376,4.81493,0.29239,0,2.50506,2.50506,3.48355,0.25319,3.69422,3.67344
