"","YQ","p","d","revenue","cost_of_revenue","cost_of_goods_services","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q3",9.67828125,"Up",28728000,-3495000,-3495000,25233000,-19084000,-1162000,-1326000,-16596000,6149000,-1762000,-1762000,4387000,4389000,-1605000,2784000,2798000,-53000,2745000,2745000,9820000,9248000,1857000,1857000,1520000,7077000,2404000,20274000,92934000,102381000,57147000,195315000,215589000,10080000,2054000,8026000,6828000,28668000,68179000,25986000,25122000,864000,94165000,122833000,61055000,28331000,89453000,3303000,92756000,215589000,2784000,2798000,1326000,347000,210000,4667000,-838000,-3838000,2144000,-524000,-524000,-118000,1502000,2331000,2355000,2355000,7475000,75007000,8452000,0.87834,0.21404,0.09555,0.02959,0.01273,3.07905,0.7072,1.32426,0.34792,0.28852,0.27483,3.01955,9.40225,0.88838,0.01417,0.04362,8.72067,10.60124
"12","2013_Q4",10.729375,"Up",28308000,-3680000,-3680000,24628000,-19166000,-1181000,-1341000,-16644000,5462000,-1871000,-1871000,3591000,3592000,-1344000,2248000,2248000,-53000,2195000,2195000,9596000,9045000,1876000,1876000,1475000,7272000,2297000,20219000,95359000,104823000,59683000,200182000,220401000,9242000,2364000,6878000,7770000,29394000,68774000,26700000,25824000,876000,95474000,124868000,61649000,30536000,92231000,3302000,95533000,220401000,2248000,2248000,1342000,317000,-677000,3230000,-2221000,-2866000,39000,-549000,-549000,-55000,-565000,-201000,-201000,-201000,6804000,76544000,5250000,0.87,0.19295,0.07754,0.02298,0.00996,2.3918,0.68786,1.30707,0.34729,0.23156,0.22753,2.98639,9.73003,0.55386,0.01104,0.02641,9.83951,12.25705
"13","2014_Q1",10.8111475409836,"Up",28031000,-3591000,-3591000,24440000,-20084000,-1159000,-1350000,-17575000,4356000,-1260000,-1260000,3096000,2537000,-881000,1656000,1656000,-52000,1604000,1604000,11193000,10638000,1382000,1382000,1472000,6613000,1668000,20660000,98629000,103811000,58759000,202440000,223100000,7048000,1816000,5232000,8830000,28913000,69762000,27310000,26354000,956000,97072000,125985000,61601000,32130000,93781000,3334000,97115000,223100000,1656000,1656000,1349000,401000,809000,4215000,-4038000,-2783000,376000,-145000,-145000,-53000,178000,1610000,1610000,1610000,5705000,78592000,3357000,0.87189,0.1554,0.05722,0.01652,0.00719,2.09289,0.71456,1.29728,0.35227,0.16877,0.17838,2.94939,9.86753,0.35322,0.0079,0.01654,11.81402,15.47268
"14","2014_Q2",10.2436507936508,"Down",29423000,-3747000,-3747000,25676000,-20062000,-1285000,-1392000,-17385000,5614000,-1935000,-1935000,3679000,3679000,-1322000,2357000,2357000,47000,2404000,2404000,10807000,10252000,1136000,1136000,1504000,8827000,3466000,22274000,112965000,103645000,58682000,216610000,238884000,8920000,1756000,7164000,12472000,35212000,75173000,28400000,27453000,947000,103573000,138785000,62179000,34535000,96764000,3335000,100099000,238884000,2357000,2357000,1392000,915000,1166000,5830000,-10938000,-11438000,5258000,-2.91038304567337e-11,-2.91038304567337e-11,-54000,5204000,-404000,-404000,-404000,7006000,87645000,-1444000,0.87265,0.1908,0.0817,0.02402,0.01006,-0.60067,0.63257,1.38648,0.36689,0.25183,0.24394,3.08223,10.1366,-0.15127,0.01112,-0.00668,10.96746,13.68685
"15","2014_Q3",10.8990625,"Up",32870000,-4041000,-4041000,28829000,-21456000,-1406000,-1514000,-18536000,7373000,-1889000,-1889000,5484000,5570000,-1923000,3647000,3647000,74000,3721000,3721000,12211000,11638000,1880000,1880000,1772000,13259000,4011000,29122000,110395000,103668000,58787000,214063000,243185000,10618000,1784000,8834000,13148000,38406000,71525000,27956000,27016000,940000,99481000,137887000,63736000,38255000,102059000,3239000,105298000,243185000,3647000,3647000,1514000,17000,589000,5767000,-2585000,-2585000,-1724000,0,0,-54000,-1778000,1404000,1404000,1404000,8887000,84673000,8814000,0.87706,0.22431,0.1132,0.03534,0.0153,2.36872,0.75827,1.30949,0.34818,0.38516,0.34285,3.40234,10.56402,0.91233,0.01707,0.04044,8.15371,9.82802
"16","2014_Q4",10.165625,"Down",33343000,-4295000,-4295000,29048000,-25822000,-1420000,-1532000,-22870000,3226000,-2060000,-2060000,1166000,832000,-203000,629000,629000,62000,691000,691000,11688000,11102000,1501000,1501000,1797000,12138000,2895000,27124000,112697000,103888000,59090000,216585000,243709000,8843000,1485000,7358000,13079000,37327000,69304000,27918000,26884000,1034000,97222000,134549000,67008000,38946000,106035000,3125000,109160000,243709000,629000,629000,1532000,-238000,278000,2201000,-3401000,-3401000,718000,0,0,-54000,663999.999999998,-536000,-536000,-536000,4758000,82383000,1838000,0.87119,0.09675,0.02072,0.00633,0.00284,2.65991,0.72666,1.23259,0.33804,0.0699199999999999,0.06932,3.37377,10.72903,0.18598,0.00315,0.00838,14.85813,21.91414
"17","2015_Q1",9.85196721311475,"Down",25796000,-4343000,-4343000,21453000,-18791000,-36878000,-1878000,19965000,2662000,-1720000,-1720000,942000,6832000,-2468000,4364000,4364000,60000,4424000,4424000,10560000,9964000,1060000,1060000,1879000,9852000,3789000,23351000,113962000,101829000,57780000,215791000,239142000,11393000,2198000,9195000,12315000,39194000,58037000,28612000,27688000,924000,86649000,125843000,66828000,43370000,110289000,3010000,113299000,239142000,4364000,4364000,1878000,-2457000,2852000,6637000,-3997000,-3997000,-2574000,-1150000,-1150000,-54000,-3778000,-1138000,-1138000,-1138000,4540000,70352000,5863000,0.83164,0.10319,0.1715,0.03905,0.0185,1.32527,0.59578,1.11072,0.29419,0.43483,0.37264,2.53548,10.84028,0.57627,0.02084,0.02762,13.17004,22.46131
"18","2015_Q2",11.2044444444444,"Up",34204000,-5111000,-5111000,29093000,-21595000,-1367000.00000001,-1645000,-18583000,7498000,-1606000,-1606000,5892000,5111000,-1846000,3265000,3265000,95000,3360000,3360000,13775000,13171000,1284000,1284000,2420000,9708000,3489000,27187000,113879000,109144000,55012000,223023000,250210000,9670000,2045000,7625000,9385000,35303000,60410000,30243000,29343000,9e+05,90653000,125956000,70744000,46730000,117573000,6681000,124254000,250210000,3265000,3265000,1645000,2446000,-2264000,5092000,-792000,-992000,246000,-1085000,-1085000,-54000,-892999.999999999,3207000,3207000,3207000,9143000,69795000,7933000,0.85057,0.21921,0.09823,0.02704,0.01343,2.36101,0.7701,1.0137,0.27895,0.32736,0.30744,3.33242,11.45489,0.7729,0.01498,0.03537,6.12709,7.47133
"19","2015_Q3",10.69,"Down",34990000,-5381000,-5381000,29609000,-32243000,-1312000,-1886000,-29045000,-2634000,-1757000,-1757000,-4391000,-4373000,1265000,-3108000,-3108000,267000,-2841000,-2841000,14270000,13661000,2635000,2635000,2426000,11145000,3342000,30476000,117558000,112438000,58542000,229996000,260472000,20525000,3189000,17336000,8590000,46172000,62952000,30502000,29594000,908000,93454000,139626000,70494000,43888000,114486000,6360000,120846000,260472000,-3108000,-3108000,1886000,69000,9180000,8027000,-2077000,-3121000,-3522000,-840000,-840000,-54000,-4416000,490000,490000,490000,-748000,71542000,5090000,0.84621,-0.07528,-0.08119,-0.02351,-0.01091,-1.79162,0.66005,1.1554,0.27466,-0.2765,-0.2765,3.40535,11.14219,0.49538,-0.01275,0.02284,-76.56684,-21.74336
"20","2015_Q4",9.59796875,"Down",33466000,-5033000,-5033000,28433000,-22270000,-1506000,-1923000,-18841000,6163000,-1630000,-1630000,4533000,12522000,-4442000,8080000,8080000,187000,8267000,8267000,15334000,14730000,1439000,1439000,2517000,7759000,3153000,27049000,121150000,116786000,58825000,237936000,264985000,16473000,2848000,13625000,11390000,28798000,72971000,34224000,29662000,4562000,107195000,135993000,70618000,52156000,122873000,6119000,128992000,264985000,8080000,8080000,1923000,-5867000,1025000,5161000,-1098000,-2071000,-1596000,-371000,-371000,-54000,-2021000,1069000,1069000,1069000,8086000,84361000,12455000,0.84961,0.18416,0.24703,0.06409,0.0312,1.50659,0.93927,1.05427,0.31836,0.80693,0.77211,3.26657,11.99346,1.21571,0.03339,0.05031,8.53661,11.20023
"21","2016_Q1",8.38934426229508,"Down",32789000,-4792000,-4792000,27997000,-18297000,-39413000,-1591000,22707000,9700000,-1961000,-1961000,7739000,742000,-88000,654000,654000,-226000,428000,428000,8634000,8020000,2154000,2154000,2368000,3779000,3779000,16935000,134150000,115714000,63073000,249864000,266799000,13154000,2164000,10990000,9469000,22623000,84880000,30810000,28087000,2723000,115690000,138313000,69832000,52682000,122623000,5863000,128486000,266799000,654000,654000,1591000,1867000,-6028000,-1916000,-15292000,-15403000,10663000,0,0,-54000,10609000,-6710000,-6710000,-6710000,11291000,94349000,-9941000,0.85385,0.29583,0.01305,0.00333,0.0016,-23.22664,0.74857,1.07648,0.35363,0.04018,0.04406,3.0782,11.51173,-0.93325,0.00169,-0.03919,7.59144,8.8366
"22","2016_Q2",9.91796875,"Up",33475000,-5184000,-5184000,28291000,-22574000,-10860000,-1817000,-9897000,5717000,-1911000,-1911000,3806000,3806000,-1367000,2439000,2439000,113000,2552000,2552000,9005000,8384000,1936000,1936000,2689000,4493000,3681000,18123000,133423000,115563000,58101000,248986000,267109000,11436000,1641000,9795000,9195000,22282000,85161000,31463000,28758000,2705000,116624000,138906000,67158000,55234000,122508000,5695000,128203000,267109000,2439000,2439000,1817000,804000,-857999.999999999,4202000,-889000,-888999.999999996,-99999.9999999981,-2795000,-2795000,-54000,-2949000,364000.000000002,364000.000000002,364000.000000002,7534000,94356000,7154000,0.84514,0.17078,0.07624,0.01991,0.00955,2.80329,0.81335,1.08348,0.35325,0.24786,0.23996,3.25126,11.8986,0.69483,0.01005,0.02816,11.32878,14.92933
"23","2016_Q3",10.45359375,"Up",34396000,-5227000,-5227000,29169000,-21619000,-10601000,-1826000,-9192000,7550000,-1964000,-1964000,5586000,5586000,-293000,5293000,5293000,212000,5505000,5505000,9055000,9055000,2091000,2091000,2738000,3762000,3154000,17646000,144454000,114370000,57103000,258824000,276470000,10410000,2109000,8301000,8755000,20419000,92958000,31176000,28897000,2279000,124134000,144553000,66118000,60443000,126561000,5356000,131917000,276470000,5293000,5293000,1826000,110000,-319000,6910000,-12672000,-12044000,8064000,-1909000,-1909000,-54000,5805000,671000,671000,671000,9376000,101713000,-3322000,0.84803,0.2195,0.16005,0.04173,0.01991,-0.60345,0.8642,1.09579,0.3679,0.54979,0.53891,3.43513,12.63967,-0.33177,0.02191,-0.01255,9.88247,12.27258
"24","2016_Q4",12.5268253968254,"Up",33952000,-5281000,-5281000,28671000,-22014000,-10589000,-1825000,-9600000,6657000,-2039000,-2039000,4618000,4618000,-1986000,2632000,2632000,21000,2653000,2653000,10462000,10462000,1326000,1326000,2659000,3181000,2545000,17628000,146783000,114220000,57010000,261003000,278631000,12619000,1909000,10710000,13992000,26611000,86957000,31593000,29295000,2298000,118550000,145161000,65424000,62799000,128223000,5247000,133470000,278631000,2632000,2632000,1825000,478000,2451000,7386000,-4015000,-4015000,-538000,-1077000,-1077000,-54000,-1964000,1407000,1407000,1407000,8482000,100949000,8904000,0.84446,0.19607,0.07814,0.01988,0.00952,3.3562,0.66243,1.08759,0.3623,0.26782,0.26406,3.42742,12.94397,0.89885,0.01108,0.03347,10.66812,13.59276
"25","2017_Q1",16.5146774193548,"Up",33037000,-4854000,-4854000,28183000,-27414000,-11025000,-1860000,-14529000,769000,-1937000,-1937000,-1168000,-1168000,1273000,105000,105000,403000,508000,508000,11327000,11327000,4365000,4365000,2019000,11676000,2897000,29387000,141073000,105601000,59754000,246674000,276061000,17087000,1701000,15386000,9950000,27037000,95936000,23749000,23266000,483000,119685000,146722000,64649000,62106000,126755000,2584000,129339000,276061000,105000,105000,1860000,4330000,-1762000,4533000,-7145000,-7152000,5340000,-1530000,-1530000,-55000,3484000,865000,865000,865000,2629000,105886000,-7551000,0.85307,0.02328,0.01538,0.00393,0.00184,-14.86417,1.08692,1.1344,0.38356,0.0532,0.0507,3.45973,13.27416,-0.79076,0.00301,-0.02916,35.96767,122.96359
"26","2017_Q2",19.1334920634921,"Up",33739000,-4881000,-4881000,28858000,-22525000,-11193000,-1618000,-9714000,6333000,-1978000,-1978000,4355000,4355000,-1450000,2905000,2905000,-6999.99999999988,2898000,2898000,12064000,12064000,3721000,3721000,2106000,11101000,3430000,28992000,143439000,105019000,59098000,248458000,277450000,14235000,2042000,12193000,9957000,24192000,95663000,25993000,25470000,523000,121656000,145848000,63548000,65517000,129065000,2537000,131602000,277450000,2905000,2905000,1618000,84999.9999999991,913000.000000001,5521000,-3008000,-2988000,-351000,-1101000,-1101000,-54000,-1796000,737000,737000,737000,7951000,105620000,7306000,0.85533,0.18771,0.08589,0.02202,0.01045,2.52105,1.19841,1.10825,0.38068,0.29668,0.29529,3.45403,13.21304,0.74795,0.01211,0.02776,11.76657,14.77278
"27","2017_Q3",23.2279365079365,"Up",34518000,-4968000,-4968000,29550000,-22063000,-10609000,-1608000,-9846000,7487000,-1823000,-1823000,5664000,5664000,-1908000,3756000,3756000,3000,3759000,3759000,13199000,13199000,2526000,2526000,2060000,8667000,3195000,26452000,144571000,105036000,59115000,249607000,276059000,12596000,2194000,10402000,12197000,24793000,90103000,26063000,25470000,593000,116166000,140959000,63550000,68982000,132532000,2568000,135100000,276059000,3756000,3756000,1608000,330000,-185000,5509000,-625000,-590000,-3363000,2000,2000,-129000,-3784000,1135000,1135000,1135000,9095000,102300000,10193000,0.85608,0.2169,0.1089,0.02782,0.01362,2.71163,1.06691,1.04337,0.37057,0.38673,0.38665,3.55123,13.63498,1.04866,0.01538,0.03869,9.7967,11.90076
"28","2017_Q4",28.0455555555556,"Up",37429000,-5269000,-5269000,32160000,-24277000,-11767000,-1710000,-10800000,7883000,-2144000,-2144000,5739000,5739000,-1889000,3850000,3850000,-9000,3841000,3841000,10817000,10817000,2312000,2312000,2264000,12246000,2217000,27639000,145581000,129446000,84277000,275027000,302666000,12660000,1825000,10835000,16237000,28897000,109031000,26135000,25470000,665000,135166000,164063000,63550000,72530000,136080000,2523000,138603000,302666000,3850000,3850000,1710000,411000,896000,6867000,-3270000,-12774000,3872000,1.16415321826935e-10,1.16415321826935e-10,-54000,3525000,-2382000,-2382000,-2382000,9593000,125268000,9108000,0.85923,0.21061,0.10262,0.02771,0.01269,2.37126,0.95647,1.18369,0.41388,0.39529,0.39529,3.85191,14.00432,0.93733,0.01425,0.03141,11.93068,14.51871
"29","2018_Q1",28.1411475409836,"Up",39210000,-5603000,-5603000,33607000,-32171000,-13206000,-1984000,-16981000,1436000,-2553000,-2553000,-1117000,-1117000,-1112000,-2229000,-2229000,-10000,-2239000,-2239000,9922000,9922000,3187000,3187000,2149000,10984000,3826000,26242000,148410000,125232000,81366000,273642000,299884000,13671000,2147000,11524000,17440000,31111000,106912000,26636000,25541000,1095000,133548000,164659000,63550000,69195000,132745000,2480000,135225000,299884000,-2229000,-2229000,1984000,8439000,-4997000,3197000,-2201000,-2172000,-1574000,0,0,-53000,-1920000,-895000,-895000,-895000,3420000,124352000,-2666000,0.8571,0.03662,-0.0571,-0.01656,-0.00747,1.19071,0.8435,1.21767,0.41467,-0.23037,-0.23037,4.03437,13.6583,-0.27431,-0.0068,-0.00931,33.45906,79.68663
"30","2018_Q2",29.34234375,"Up",41212000,-5885000,-5885000,35327000,-26187000,-12812000,-1909000,-11466000,9140000,66999.9999999995,67000,9207000,6128000,8227000,14355000,14355000,-44000,14311000,14311000,11954000,11954000,4113000,4113000,2419000,9119000,2808000,27605000,154259000,124715000,80849000,278974000,306579000,14185000,2601000,11584000,14048000,28233000,111944000,17168000,15844000,1324000,129112000,157345000,63550000,83214000,146764000,2470000,149234000,306579000,14355000,14355000,1909000,-8710000,591000,8145000,-2137000,-2089000,-3135000,0,0,-597000,-4024000,2032000,2032000,2032000,11049000,125992000,1276000,0.8572,0.22178,0.34725,0.0959,0.04668,0.0891599999999999,0.97776,1.05435,0.41096,1.47248,1.47248,4.24035,15.10073,0.13129,0.04994,0.00436,10.32112,12.47681
