"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","free_cash_flow_to_net_income","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share"
"11","2012_Q4",21.0553225806452,"Down",119069000,-40736000,78333000,-60381000,-48260000,-12121000,17952000,912000,912000,18864000,18864000,-5301000,13563000,13563000,13794000,13794000,13563000,2536000,3712000,5978000,25789000,-4654000,-34903000,441000,441000,33000,485000,-8629000,-8629000,1e+05,-8529000,20488000,129000,27113000,0.65788,0.15077,0.11585,1.96556,0.24115,0.23726,2.08159,0.474
"12","2013_Q1",20.1811666666667,"Down",132161000,-44980000,87181000,-64908000,-51567000,-13341000,22273000,-1273000,-1273000,2.1e+07,2.1e+07,-6159000,14841000,14841000,15007000,15007000,14841000,2860000,-3948000,4723000,18476000,-3776000,-3776000,608000,608000,90000,-56591000,-41891000,-41891000,457000,-41434000,25133000,115000,32239000,0.65966,0.16853,0.11355,2.14826,0.26209,0.25814,2.30813,0.56304
"13","2013_Q2",21.0371875,"Up",135942000,-46361000,89581000,-66440000,-52273000,-14167000,23141000,-2326000,-2326000,20815000,20815000,-4413000,16402000,16402000,16428000,16428000,16402000,2783000,3974000,1942000,25101000,-2946000,-2946000,-11968000,463000,-164000,-12216000,9939000,9939000,82000,10021000,25924000,353000,29333000,0.65896,0.17023,0.12085,1.78555,0.287,0.28319,2.37495,0.51246
"14","2013_Q3",24.65421875,"Up",137422000,-46190000,91232000,-68052000,-54173000,-13879000,23180000,-238000,-238000,22942000,22942000,-8294000,14648000,14648000,17038000,17038000,14648000,2817000,5991000,-16154000,7302000,-3144000,-3144000,-6925000,434000,-340000,-7277000.00000001,-3119000.00000001,-3119000.00000001,-383000,-3502000,25997000,340000,14993000,0.66388,0.16868,0.12398,0.87997,0.30188,0.29785,2.43483,0.26564
"15","2013_Q4",27.99125,"Up",131447000,-43968000,87479000,-66736000,-53090000,-13646000,20743000,-676000,-676000,20067000,20067000,-4581000,15486000,15486000,15602000,15602000,15486000,2859000,3669000,-6207000,15807000,-3806000,-3806000,849000,849000,-255000,578000,12579000,12579000,1065000,13644000,23602000,355000,18170000,0.66551,0.15781,0.11869,1.16459,0.27614,0.27179,2.32645,0.32159
"16","2014_Q1",28.5201639344262,"Up",88422000,-30463000,57959000,-39797000,-34412000,-5385000,18162000,1835000,1835000,19997000,19997000,-4595000,15402000,15402000,13204000,13204000,15402000,910000,-5612000,16213000,26913000,-4285000,-41684000,-6582000,-104000,597000,-63174000,-77945000,-77945000,-546000,-78491000,19072000,336000,35595000,0.65548,0.2054,0.14933,2.69577,0.23337,0.23043,1.56281,0.62912
"17","2014_Q2",24.8031746031746,"Down",135942000,-46361000,89581000,-66440000,-52273000,-14167000,23141000,-2326000,-2326000,20815000,20815000,-4413000,16402000,16402000,16428000,16428000,16402000,2783000,3809000,2107000,25101000,-2946000,-2946000,-11968000,463000,-164000,-12216000,9939000,9939000,82000,10021000,25924000,0,29498000,0.65896,0.17023,0.12085,1.79559,0.28971,0.28301,2.39735,0.5202
"18","2014_Q3",22.83015625,"Down",137422000,-46190000,91232000,-68052000,-54173000,-13879000,23180000,-238000.000000001,-238000.000000001,22942000,22942000,-8294000,14648000,14648000,17038000,17038000,14648000,2817000,5600000,-15763000,7302000,-3144000,-3144000,-6925000,434000,-340000,-7277000.00000001,-3119000,-3119000,-383000,-3502000,25997000,0,15384000,0.66388,0.16868,0.12398,0.90292,0.30493,0.29987,2.45941,0.27532
"19","2014_Q4",24.679375,"Up",131447000,-43968000,87479000,-66736000,-53090000,-13646000,20743000,-676000,-676000,20067000,20067000,-4581000,15486000,15486000,15602000,15602000,15486000,2859000,3268000,-5806000,15807000,-3806000,-3806000,849000,849000,-255000,578000,12579000,12579000,1065000,13644000,23602000,0,18571000,0.66551,0.15781,0.11869,1.1903,0.28899,0.28566,2.43474,0.34398
"20","2015_Q1",28.7455737704918,"Up",181832000,-59345000,122487000,-96369000,-81480000,-14889000,26118000,1768000,1768000,27886000,38217000,-10390000,27827000,27827000,23450000,23450000,27827000,4359000,-491000.000000001,15708000,47403000,-69068000,-69068000,-79729000,2934000,285000,45557000,23892000,23892000,-5068000,18824000,30477000,336000,-12493000,0.67363,0.14364,0.12897,-0.53275,0.44869,0.44412,3.47917,-0.23904
"21","2015_Q2",35.8249206349206,"Up",154537000,-51432000,103105000,-75728000,-60799000,-14929000,27377000,153000,153000,27530000,27530000,-7708000,19822000,19822000,20523000,20523000,19822000,3777000,3003000,-7476000,19126000,-17955000,-17955000,2458000,4612000,3000,2392000,3563000,3563000,-2296000,1267000,31154000,258000,13431000,0.66719,0.17715,0.1328,0.65444,0.38953,0.38031,2.93311,0.25492
"22","2015_Q3",40.86109375,"Up",155726000,-52825000,102901000,-75060000,-61666000,-13394000,27841000,-1125000,-1125000,26716000,26716000,-8020000,18696000,18696000,19351000,19351000,18696000,3920000,2840000,-15959000,9497000,-9306000,-9306000,-68980000,10566000,-472000,-16960000,-16769000,-16769000,446000,-16323000,31761000,75241000,14516000,0.66078,0.17878,0.12426,0.75014,0.37721,0.36052,3.03559,0.28296
"23","2015_Q4",40.8578125,"Down",152575000,-50343000,102232000,-74092000,-59607000,-14485000,28140000,-1050000,-1050000,27090000,27090000,-9161000,17929000,17929000,19325000,19325000,17929000,3906000,3218000,2057000,27110000,-16745000,-16745000,-38693000,9764000,1000,-26196000,-15831000,-15831000,15000,-15816000,32046000,125231000,26519000,0.67004,0.18443,0.12666,1.37226,0.37911,0.35996,2.99319,0.52025
"24","2016_Q1",37.6140983606557,"Down",167273000,-65528000,101745000,-84462000,-70653000,-13809000,17283000,-1883000,-1883000,15400000,35009000,-9956000,25053000,25053000,24101000,24101000,25053000,4081000,740000,31599000,61473000,-10588000,-10588000,-16652000,3343000,342000,-21309000,29576000,29576000,-846000,28730000,21364000,185145000,52331000,0.60826,0.10332,0.14408,2.17132,0.47931,0.45046,3.32663,1.04073
"25","2016_Q2",47.09875,"Up",171167000,-56954000,114213000,-76876000,-62511000,-14365000,37337000,498000,498000,37835000,37835000,-10258000,27577000,27577000,27577000,27577000,27577000,4051000,5730000,-18555000,18803000,-6097000,-6860000,-45147000,2552000,-252219.743680052,-5214000,6729000,6729000,855000,7584000,41388000,225079000,26994000,0.66726,0.21813,0.16111,0.97886,0.55797,0.53085,3.46324,0.54617
"26","2016_Q3",56.41703125,"Up",172636000,-57501000,115135000,-78706000,-63888000,-14818000,36429000,471000,471000,36900000,36900000,-6877000,30023000,30023000,30023000,30023000,30023000,4081000,5552000,-1768000.00000001,37888000,-5986000,-5986000,-4074000,16445000,-621000,-54697000,-22795000,-22795000,-1051000,-23846000,40510000,175076000,39633000,0.66692,0.21102,0.17391,1.32009,0.60953,0.56966,3.50487,0.80463
"27","2016_Q4",61.4634920634921,"Up",167621000,-57499000,110122000,-73518000,-57845000,-15673000,36604000,-546000,-546000,36058000,36058000,-8285000,27773000,27773000,27773000,27773000,27773000,4223000,3618000,-4275000,31339000,-5583000,-5783000,7066000,7066000,0,-15437000,10119000,10119000,-186000,9933000,40827000,152500000,39254000,0.65697,0.21837,0.16569,1.41339,0.56133,0.51849,3.38786,0.79338
"28","2017_Q1",82.3248387096774,"Up",201474000,-62606000,138868000,-83293000,-70463000,-12830000,55575000,-2852000,-2852000,52723000,322723000,-96999000,225724000,225724000,225724000,225724000,225724000,4462000,8396000,92513000,331095000,-6685000,-6685000,11227000,11227000,-75000.0000000001,-141276000,183134000,183134000,-1069000,182065000,60037000,71000,242864000,0.68926,0.27584,1.12036,1.07593,4.51782,4.13694,4.03246,4.86088
"29","2017_Q2",91.8088888888889,"Up",196643000,-64229000,132414000,-80263000,-66087000,-14176000,52151000,874000,874000,53025000,53025000,-1492000,51533000,51533000,51533000,51533000,51533000,4736000,3093000,-45464000,13898000,-5227000,-5227000,27290000,27290000,0,27221000,35892000,35892000,414000,36306000,56887000,0,7688000,0.67337,0.26521,0.26206,0.14919,1.01739,0.92804,3.88224,0.15178
"30","2017_Q3",88.4247619047619,"Down",192306000,-65405000,126901000,-83052000,-66669000,-16383000,43849000,158000,158000,44007000,44007000,1131000,45138000,45138000,45138000,45138000,45138000,4726000,3221000,-82242000,-29157000,-4859000,-4859000,20928000,20928000,-1.45519152283669e-11,20927000,-13089000,-13089000,1411000,-11678000,48575000,0,-39657000,0.65989,0.22802,0.23472,-0.87857,0.87346,0.80355,3.72131,-0.7674
"31","2017_Q4",86.7390476190476,"Down",193360000,-69295000,124065000,-81004000,-65704000,-15300000,43061000,287000,287000,43348000,43348000,-7495000,35853000,35853000,35853000,35853000,35853000,4922000,5298000,-23433000,22640000,-29964000,-31109000,-35117000,7491000,0,-35118000,-43587000,-43587000,1287000,-42300000,47983000,0,2081000,0.64163,0.2227,0.18542,0.05804,0.68843,0.63837,3.71282,0.03996
"32","2018_Q1",87.166393442623,"Up",207939000,-69287000,138652000,-93926000,-77832000,-16094000,44726000,694000,694000,45420000,45420000,-53155000,-7735000,-7735000,-7735000.00000001,-7735000.00000001,-7735000,5677000,34101000,16638000,48681000,-6713000,-6713000,-17168000,6496000,-71000,-17168000,24800000,24800000,157000,24957000,50403000,-4.65661287307739e-10,113483000,0.66679,0.21509,-0.0372,-14.67136,-0.14974,-0.13904,4.02546,2.1969
"33","2018_Q2",95.078125,"Up",212953000,-69292000,143661000,-89776000,-70217000,-19559000,53885000,1647000,1647000,55532000,55532000,-9902000,45630000,45630000,45630000,45630000,45630000,5241000,5367000,15757000,71995000,-7371000,-7371000,-10064000,8415000,-168000,-10232000,54392000,54392000,-225000,54167000,59126000,0,77414000,0.67461,0.25304,0.21427,1.69656,0.88244,0.82222,4.1183,1.49711
"34","2018_Q3",110.928412698413,"Up",211621000,-69474000,142147000,-90535000,-72376000,-18159000,51612000,1405000,1405000,53017000,53017000,-9164000,43853000,43853000,43853000,43853000,43853000,5553000,6684000,-186000,55904000,-5702000,-5702000,11364000,11363000,2.91038304567337e-11,11364000,61566000,61566000,-1422000,60144000,57165000,0,60441000,0.67171,0.24389,0.20722,1.37826,0.84334,0.78671,4.06971,1.16235
"35","2018_Q4",111.507142857143,"Up",210583000,-69830000,140753000,-92112000,-72670000,-19442000,48641000,1028000,1028000,49669000,49669000,7457000,57126000,57126000,57126000,57126000,57126000,5165000,1137000,-15022000,48406000,-3944000,-7944000,22519000,22519000,0,22972000,63434000,63434000,417000,63851000,53806000,0,27383000,0.6684,0.23098,0.27128,0.47934,1.08953,1.01581,4.01631,0.52226
"36","2019_Q1",125.544754098361,"Up",223132000,-74801000,148331000,-9.4e+07,-70154000,-23846000,54331000,1652000,1652000,55983000,55558000,-8624000,46934000,46934000,46934000,46934000,46934000,5168000,4449000,6671000,63222000,-109000,-5135000,2451000,2451000,-322000,1676000,59763000,59763000,-767000,58996000,59499000,0,74685000,0.66477,0.24349,0.21034,1.59128,0.88481,0.82804,4.20655,1.40798
"37","2019_Q2",137.224444444444,"Up",231664000,-80022000,151642000,-95619000,-74204000,-21415000,56023000,3886000,3886000,59909000,59909000,-10587000,49322000,49322000,49322000,49322000,49322000,5419000,4481000,-16754000,42468000,-8003000,-188003000,6288000,6288000,-123000,6165000,-139370000,-139370000,-261000,-139631000,61442000,0,47272000,0.65458,0.24183,0.2129,0.95844,0.92693,0.86836,4.35377,0.8884
"38","2019_Q3",151.89546875,"Up",229652000,-75313000,154339000,-102335000,-78160000,-24175000,52004000,3529000,3529000,55533000,55533000,-10645000,44888000,44888000,44888000,44888000,44888000,6222000,15045000,-7844000,58311000,-41339000,-41339000,-21272000,6582000,2.91038304567337e-11,-21272000,-4300000,-4300000,229000,-4071000,58226000,-2.27373675443232e-13,19688000,0.67206,0.22645,0.19546,0.4386,0.84129,0.78639,4.30415,0.36899
"39","2019_Q4",150.3265625,"Down",229011000,-72743000,156268000,-104636000,-80354000,-24282000,51632000,2723000,2723000,54355000,54355000,-5270000,49085000,49085000,49085000,49085000,49085000,5928000,1531000,-5907000,50637000,-9690000,45121000,9766000,9836000,0,9766000,105524000,105524000,-951000,104573000,57560000,0,47233000,0.68236,0.22546,0.21433,0.96227,0.91688,0.85686,4.27778,0.88228
"40","2020_Q1",171.508548387097,"Up",247510000,-80587000,166923000,-105366000,-81943000,-23423000,61557000,2812000,2812000,64369000,64369000,-11448000,52921000,52921000,52921000,52921000,52921000,5918000,13257000,-1870000,70226000,-13460000,-13460000,-3998000,5633000,1.16415321826935e-10,-3998000,52768000,52768000,1795000,54563000,67475000,1.13686837721616e-13,63593000,0.67441,0.24871,0.21381,1.20166,0.98669,0.92463,4.61471,1.18566
"41","2020_Q2",219.469206349206,"Up",269625000,-83996000,185629000,-117118000,-89877000,-27241000,68511000,3346000,3346000,71857000,72356000,-7900000,64456000,64456000,64456000,64456000,64456000,6379000,11415000,-39895000,42355000,-38139000,-15389000,12673000,13044000,-1424000,11249000,38215000,38215000,2000,38217000,74890000,0,4756000,0.68847,0.2541,0.23906,0.07379,1.19658,1.11932,5.00538,0.08829
"42","2020_Q3",224.16765625,"Up",300953000,-109369000,191584000,-129339000,-98461000,-30878000,62245000,1405000,1405000,63650000,63625000,-7853000,55772000,55772000,55772000,55772000,55772000,7208000,13148000,-12423000,63705000,-17446000,-55256000,21365000,21585000,2.3283064365387e-10,21365000,29814000,29814000,-849000,28965000,69453000,0,47437000,0.63659,0.20683,0.18532,0.85055,1.01839,0.95761,5.49535,0.86619
"43","2020_Q4",249.3775,"Up",278112000,-99186000,178926000,-119228000,-90376000,-28852000,59698000,1357000,1357000,61055000,61055000,-11650000,49405000,49405000,49405000,49405000,49405000,7613000,12152000,-28685000,40485000,-10195000,-10195000,6365000,6365000,-25000,6340000,36630000,36630000,553000,37183000,67311000,0,40081000,0.64336,0.21465,0.17764,0.81127,0.89832,0.84782,5.05686,0.72879
"44","2021_Q1",251.208852459016,"Up",295054000,-108128000,186926000,-122031000,-90343000,-31688000,64895000,1805000,1805000,66700000,66700000,3949000,70649000,70649000,70649000,70649000,70649000,8100000,1182000,-15513000,64418000,-14177000,-1946999.99999999,-92519000,17430000,-742000.000000001,-93261000,-30790000,-30790000,3354000,-27436000,72995000,2.91038304567337e-11,39356000,0.63353,0.21994,0.23944,0.55706,1.28055,1.21706,5.34799,0.71335
"45","2021_Q2",228.166031746032,"Down",299043000,-102168000,196875000,-131211000,-96700000,-34511000,65664000,-737000,-737000,64927000,64927000,-11544000,53383000,53383000,53383000,53383000,53383000,8493000,12786000,-15402000,59260000,-10475000,-10475000,-123161000,5756000,-16691000,-139852000,-91067000,-91067000,279000,-90788000,74157000,0,59824000,0.65835,0.21958,0.17851,1.12066,0.96708,0.92197,5.41745,1.08377
"46","2021_Q3",271.14890625,"Up",305157000,-112232000,192925000,-127789000,-93800000,-33989000,65136000,37000,37000,65173000,65173000,-14956000,50217000,50217000,50217000,50217000,50217000,8807000,8814000,-41898000,25940000,-6725000,-6725000,3361000.00000001,3344000,-8999.99999999814,3352000,22567000,22567000,521000,23088000,73943000,2.3283064365387e-10,40276000,0.63222,0.21345,0.16456,0.80204,0.90973,0.86729,5.52821,0.72964
"47","2021_Q4",284.78609375,"Up",307400000,-103800000,203600000,-1.36e+08,-100600000,-35400000,67600000,156900.561952449,156900.561952449,67600000,67600000,-9800000,57800000,57800000,57800000,57800000,57800000,9200000,12800000,2100000,81900000,-11700000,-14300000,9900000,9900000,0,9900000,77500000,77500000,-9e+05,76600000,76800000,0,7.7e+07,0.66233,0.21991,0.18803,1.33218,1.04818,1.00236,5.5746,1.39637
"48","2022_Q1",192.005967741935,"Down",327553000,-112606000,214947000,-137525000,-104191000,-33334000,77422000,-742000,-742000,76680000,76680000,-8433000,68247000,68247000,68247000,68247000,68247000,9120000,-3568000,23855000,97654000,-6029000,-6029000,4224000,4241000,-28000,4196000,95821000,95821000,-1348000,94473000,86542000,0,112801000,0.65622,0.23636,0.20835,1.65283,1.23764,1.18353,5.94006,2.04561
"49","2022_Q2",133.788387096774,"Down",304241000,-99477000,204764000,-145019000,-108900000,-36119000,59745000,-608000,-608000,59137000,59137000,-12542000,46595000,46595000,46595000,46595000,46595000,9134000,11579000,-44150000,23158000,-22939000,-23789000,3153000,3153000,-25376000,-22223000,-22854000,-22854000,-2505000,-25359000,68879000,0,14332000,0.67303,0.19637,0.15315,0.30759,0.84275,0.80656,5.50274,0.25922
"50","2022_Q3",146.08796875,"Up",565259000,-307123000,258136000,-236081000,-188300000,-47781000,22055000,4508000,4508000,26563000,26563000,-8458000,18105000,18105000,18105000,18105000,18105000,70766000,17821000,-104249999,2442001.00000001,-17561000,-1003411000,-399953000,1447000,-8924000,518223000,-482745999,-482745999,-19695000,-502440999,92821000,922400000,-20531999,0.45667,0.03902,0.03203,-1.13405,0.3359,0.3274,10.48718,-0.38093
