"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2014_Q2",7.15714285714286,"Up",21736990,-15657374,6079616,-6316247,-236631,-402014,-273435,-128579,-638645,-665787,-178693,-844480,-844480,-844480,-844480,9462087,9462087,14126722,14126722,39090976,4424410,2052990,67104195,13967724,2510020,16477744,83581939,11409997,7459923,3950074,29146976,7875893,7875893,9135968,38282944,51086773,-3352291,-1316924,-1118563,45298995,45298995,83581939,-844480,434436,101327,1006801,698084,-353214,-353214,-18538,-70499,274371,274371,-7592,266779,197805,8438172,1030085,0.27969,-0.01089,-0.03885,-0.01864,-0.0101,-1.21979,2.30227,0.84512,0.10096,-0.15823,-0.15823,4.07273,8.4874,0.193,-0.01371,0.01672,-5.17639,4.32705
"12","2014_Q3",6.45203125,"Down",24639006,-17176817,7462189,-6165451,1296738,-375765,-467752,91987,920973,560704,3610695,4171399,4171399,4171399,4171399,8235822,8235822,13643821,13643821,40418360,7523726,1973091,69821729,12460482,3723325,16183807,86005536,12674477,9262735,3411742,26417797,7665683,7665683,8967533,35385330,53398145,-3352291,2854475,-2280123,50620206,50620206,86005536,4171399,342778,-3135710,-1718749,-340282,782925,782925,-18629,-1569579,-1126936,-1126936,-42477,-1169413,1639516,3641991,-2907003,0.30286,0.05263,0.1693,0.08241,0.0485,-0.69689,2.64298,0.69904,0.04235,0.75113,0.7317,4.43667,9.11502,-0.52346,0.06736,-0.04694,-2.80194,-3.54261
"13","2014_Q4",12.35609375,"Up",22787344,-17744932,5042412,-6072621,-1030209,-592176,-649436,57260,-1622385,-1506621,-328859,-1835480,-1835480,-1835480,-1835480,7436414,7436414,15047307,15047307,40440287,7726575,2484489,70650583,12571924,4115317,16687241,87337824,13050982,9241610,3809372,28592586,7417502,7417502,9967899,38560485,53403676,-3352291,1018995,-2293041,48777339,48777339,87337824,-1835480,449208,-347207,-1662107,-3395586,-208276,-208276,-11970,2769417,-834445,-834445,19334,-815111,-581001,5301096,-2122525,0.22128,-0.04521,-0.08055,-0.03763,-0.02102,1.15639,2.47094,0.79054,0.0607,-0.31009,-0.31009,3.8497,8.24046,-0.35858,-0.02985,-0.03451,3.67524,2.0727
"14","2015_Q1",9.29377049180328,"Down",22221355,-15972231,6249124,-6638031,-388907,-766063,-795827,29764,-1154970,-1359188,-251752,-1610940,-1610940,-1610940,-1610940,4679122,4679122,13795301,13795301,39844309,7286298,2108177,65605030,12069107,2808844,14877951,80482981,10810766,8181026,2629740,26834735,6535446,6535446,9171472,36006207,53422418,-3352291,-3744673,-1848680,44476774,44476774,80482981,-1610940,380571,-754276,1141056,-843589,-325927,-325927,-7234,731234,-438282,-438282,-25838,-464120,-8336.00000000023,5244571,1058545,0.28122,-0.0175,-0.0725,-0.03622,-0.02002,-0.657100000000001,2.44478,0.80955,0.06516,-0.27088,-0.27777,3.73658,7.4789,0.178,-0.02864,0.01882,-67.83217,-1.45394
"15","2015_Q2",10.2363492063492,"Up",21758000,-15253000,6505000,-5647000,858000,-481000,-486000,5000,377000,377000,-23000,354000,0,0,0,9462443,9462443,14635538,14635538,40370498,7930318,2185703,72398797,12092322,3716980,15809302,88208099,13879673,9978630,3901043,30950156,6972145,6972145,10047950,40998106,53446783,-3352291,-592009,-2292490,47209993,47209993,88208099,0,293000,613000,624000,1530000,-88000,-88000,0,1029000,2471000,2471000,-14000,2457000,1151000,5648314,1710000,0.29897,0.03943,0,0,0,-31.1808087774307,2.33921,0.86842,0.06403,0,0,3.67334,7.97032,0.28869,0,0.02858,-3.31375,-4.44537
"16","2015_Q3",10.69421875,"Up",22812000,-15375000,7437000,-5639000,1798000,-559000,-517000,-42000,1239000,1239000,-677000,562000,-386000,-386000,-386000,8661140,8661140,15988084,15988084,39510098,8255146,2203935,72414468,11972739,3563252,15535991,87950459,12562413,8225555,4336858,31461534,6742250,6742250,9508235,40969769,53459576,-3352291,-977610,-2148985,46980690,46980690,87950459,-386000,283000,330000,-2343000,-2116000,-152000,-152000,-13000,1436000,-832000,-832000,-7000,-839000,2081000,7280595,263000,0.32601,0.07882,-0.01692,-0.00822000000000001,-0.00439,-0.681350000000002,2.30168,0.87206,0.08278,-0.0651499999999999,-0.06515,3.85044,7.92987,0.04439,-0.00633,0.00431,-0.663399999999997,-0.76782
"17","2015_Q4",13.23125,"Up",34602000,-18222000,16380000,-6925000,9455000,473000,427000,46000,9928000,9928000,-2976000,6952000,5769000,5769000,5769000,9505833,9505833,15098336,15098336,38921463,8807575,2544245,72333207,11768421,2660746,14429167,86762374,14470015,9484343,4985672,24340141,6542843,6542843,7466844,31806985,64642284,-3352291,-3477840,-2856764,54955389,54955389,86762374,5769000,128000,1335000,-10527000,-3295000,-24000,-24000,-704000,-690000,-4009000,-4009000,-30000,-4039000,9583000,4660388,2008000,0.47338,0.27325,0.16672,0.10498,0.06649,0.34807,2.97177,0.57878,0.05371,0.96932,0.96932,5.81389,9.2337,0.33739,0.0872,0.03035,-0.50563,-0.51247
"18","2016_Q1",12.0414754098361,"Down",20474000,-14463000,6011000,-6310000,-299000.000000002,-338000,-209000,-129000,-637000,-637000,559000,-78000,-1529000,-1529000,-1529000,7399000,7399000,11476000,11476000,40841000,2778000,1635000,62494000,9268000,16498000,25766000,88260000,7224000,4254000,2970000,19958000,94999.9999999991,94999.9999999991,786000,20744000,64544000,-3352000,8508000,-2184000,67516000,67516000,88260000,-1529000,282000,953000,3657000,3363000,-125000,-2411000,-33000,1931000,2883000,2883000,-149000,2734000,-17000,3967000,2956000,0.29359,-0.0145999999999999,-0.07468,-0.02265,-0.01732,-1.93328999999995,3.13128,0.30725,0.04495,-0.21664,-0.20379,2.90088,9.56608,0.41882,-0.02136,0.0413,201.88235,11.47826
"19","2016_Q2",9.4065625,"Down",20369000,-13593000,6776000,-6607000,169000,-190000,-198000,8000,-21000,-21000,24000,3000,3000,3000,3000,8894000,8894000,14769000,14769000,39495000,11862000,3184000,75020000,10311000,14199000,24510000,99530000,11164000,8512000,2652000,31018000,2767000,2767000,3597000,34615000,64754000,-3352000,5883000,-2370000,64915000,64915000,99530000,3000,287000,-382000,3555000,3463000,-30000,-30000,-1000,-193000,3240000,3240000,69000,3309000,456000,4326000,3957000,0.33266,0.0083,0.00015,5e-05,3e-05,1319,2.4186,0.53324,0.04346,0.00042,0.00041,2.88425,9.19197,0.56031,4e-05,0.05495,-10.01754,-27.02959
"20","2016_Q3",9.69546875,"Up",22269000,-13679000,8590000,-5959000,2631000,-210000,-175000,-35000,2421000,2421000,-990000,1431000,1431000,1431000,1431000,5238000,5238000,15711000,15711000,41902000,4514000,2773000,67365000,9696000,15074000,24770000,92135000,11251000,8508000,2743000,23697000,118000,118000,876999.999999999,24574000,64206000,-3352000,7917000,-1210000,67561000,67561000,92135000,1431000,317000,542000,-1458000,832000,-16000,-16000.0000000002,-2000,-3106000,-2290000,-2290000,-101000,-2391000,2948000,3555000,2464000,0.38574,0.11815,0.06426,0.02118,0.01553,1.72186999999985,2.84276,0.36373,0.03858,0.20027,0.19966,3.11654,9.45515,0.34484,0.02009,0.03459,-0.570899999999998,-0.639679999999998
"21","2016_Q4",10.5757142857143,"Up",23243000,-14727000,8516000,-6320000,2196000,-102000,-149000,47000,2094000,2094000,-582000,1512000,1512000,1512000,1512000,9011000,9011000,11322000,11322000,36605000,3534000,2018000,60472000,8538000,16037000,24575000,85047000,7622000,4833000,2789000,13737000,8000,8000,712000,14449000,64759000,-3352000,11454000,-2263000,70598000,70598000,85047000,1512000,359000,235000,1810000,3916000,-70000,-70000,0,-3289000,557000,557000,-44000,513000,2555000,1048000,4877000,0.36639,0.09448,0.06505,0.02142,0.01778,3.22553,4.40213,0.20467,0.01232,0.20899,0.20711,3.21262,9.75796,0.67409,0.0211,0.06806,-3.11663,-3.62614
"22","2017_Q1",10.5462903225806,"Down",20302000,-12547000,7755000,-5904000,1851000,-72000,-98000,26000,1779000,1779000,-832000,947000,947000,947000,947000,10843000,10843000,10704000,10704000,35535000,3482000,2121000,60564000,8527000,15463000,23990000,84554000,7257000,4928000,2329000,12325000,6000,6000,722000,13047000,64840000,-3352000,12401000,-2382000,71507000,71507000,84554000,947000,231000,516000,1588000,3282000,-297000,-297000,-18000,-1076000,1909000,1909000,3000,1912000,2082000,919000,4205000,0.38198,0.09117,0.04665,0.01324,0.0112,4.44034,4.91391,0.18246,0.01087,0.1307,0.12947,2.80206,9.86932,0.58037,0.01307,0.05805,-4.76657,-5.36143
"23","2017_Q2",11.3753968253968,"Up",22961000,-14403000,8558000,-6085000,2473000,-74000,-76000,2000,2399000,2399000,-688000,1711000,1711000,1711000,1711000,12332000,12332000,12689000,12689000,32088000,3358000,2156000,60467000,8432000,15073000,23505000,83972000,7640000,5263000,2377000,10062000,6000,6000,684000,10746000,64938000,-3352000,14112000,-2472000,73226000,73226000,83972000,1711000,186000,511000,1861000,4269000,-141000,-141000,-1000,-2652000,1476000,1476000,7000,1483000,2659000,737000,5067000,0.37272,0.1077,0.07452,0.02337,0.02038,2.96143,6.00944,0.14675,0.00878,0.23586,0.2336,3.16522,10.09434,0.6985,0.02313,0.0685,-4.36066,-4.68864
"24","2017_Q3",14.6573015873016,"Up",23909000,-15220000,8689000,-6508000,2181000,-32000,-36000,4000,2149000,2149000,-308000,1841000,1841000,1841000,1841000,13648000,13648000,13763000,13763000,34062000,3255000,1923000,64728000,8672000,15279000,23951000,88679000,10537000,8217000,2320000,11175000,6000,6000,2137000,13312000,65019000,-3352000,15954000,-2254000,75367000,75367000,88679000,1841000,199000,-356000,358000,2042000,-307000,-307000,-18000,-445000,1290000,1290000,50000,1340000,2380000,2769000,2739000,0.36342,0.09122,0.077,0.02443,0.02076,1.48778,5.79221,0.17663,0.03122,0.25376,0.25181,3.29552,10.38829,0.37753,0.02356,0.03505,-4.57101,-4.98808
"25","2017_Q4",14.6946031746032,"Up",23961000,-14907000,9054000,-6388000,2666000,-28000,-35000,7000,2638000,2638000,-832000,1806000,1806000,1806000,1806000,14963029.4825874,14963029.4825874,13865294.7436752,13865294.7436752,38945117.4804173,3385921.96280768,1517286.48153143,71159363.6694876,8827325.6426599,12200425.6761945,21027751.3120029,92187114.9814905,10746424.032473,8079516.07271546,2666907.80338147,10984610.206499,-3169.32330850419,-3169.32330850419,2086087.22626487,13070697.4327639,70001851.4272187,-3357555.87091651,14332941.277103,-1860819.28467863,79116417.5487266,79116417.5487266,92187114.9814905,1806000,197000,879000,-3661000,-779000,-171000,-171000,-357000,9251000,8301000,8301000,4000,8305000,2863000,0,-137000,0.37786,0.11126,0.07537,-0.0387670965639665,-0.0344168315183815,-0.07586,6.55920579741924,0.166723562788342,0.0304397827584175,0.22796,0.22699,3.02445,10.3009843718173,-0.01729,-0.0383563825193852,0.0108971211917984,-8.40493919434457,-10.4441669395075
"26","2018_Q1",13.5350819672131,"Down",25156000,-15254000,9902000,-8745000,1157000,0,-16000,16000,1157000,1157000,-6075000,-4918000,-4918000,-4918000,-4918000,16098000,16098000,14119000,14119000,42919000,3674000,1555000,76810000,8789000,8932000,17721000,94531000,10010000,6855000,3155000,10379000,-7.27595761418343e-12,-7.27595761418343e-12,1312000,11691000,75002000,-3352000,12841000,-1651000,82840000,82840000,94531000,-4918000,193000,6172000,-6331000,-4884000,-286000,-286000,-5.82076609134674e-11,-575000.000000002,-5745000,-5745000,40000,-5705000,1350000,1681000,808000,0.39362,0.04599,-0.1955,-0.05937,-0.05203,-0.16429,7.40052,0.14113,0.01778,-0.60556,-0.60164,3.09748,10.20015,0.09949,-0.05819,0.00956,-10.67926,-12.46067
"27","2018_Q2",14.08328125,"Up",24344000,-14840000,9504000,-7088000,2416000,-32000,-31000,-1000,2384000,2384000,-517000,1867000,1867000,1867000,1867000,16590000,16590000,14578000,14578000,44411000,4140000,2237000,79719000,8821000,8732000,17553000,97272000,11038000,7844000,3194000,11373000,0,0,1273000,12646000,75123000,-3352000,14709000,-1854000,84626000,84626000,97272000,1867000,187000,295000,-1468000,881000,-272000,-272000,0,-72000,537000,537000,-40000,497000,2603000,1608000,1380000,0.3904,0.09924,0.07669,0.02206,0.01919,0.73915,7.0095,0.14943,0.01653,0.23003,0.22879,2.99943,10.4268,0.17003,0.02165,0.016,-5.75567,-6.20116
"28","2018_Q3",13.36,"Down",25616000,-16464000,9152000,-7505000,1647000,-7000.00000000001,-37000,30000,1640000,1640000,-622000.000000001,1018000,1018000,1018000,1018000,15238000,15238000,13627000,13627000,46358000,5191000,2432000,80414000,9524000,8463000,17987000,98401000,11520000,8744000,2776000,11763000,3.63797880709171e-12,3.63797880709171e-12,1233000,12996000,75306000,-3352000,15726000,-2275000,85405000,85405000,98401000,1018000,241000,392000,-1856000,-205000.000000001,-948000,-948000,0,-127000,-1280000,-1280000,-72000,-1352000,1888000,1476000,-294000,0.35728,0.0643,0.03974,0.01192,0.01035,-0.2888,6.83618,0.15217,0.015,0.12543,0.12449,3.15616,10.52278,-0.03622,0.01172,-0.00338,-7.28919,-8.3558
"29","2018_Q4",12.6814285714286,"Down",24010000,-15691000,8319000,-7305000,1014000,-18000,-25000,7000,996000,996000,-495000,501000,501000,501000,501000,11960000,11960000,16271000,16271000,46620000,4873000,2902000,79724000,10286000,8394000,18680000,98404000,11034000,7687000,3347000,11371000,0,0,1200000,12571000,75469000,-3352000,16227000,-2511000,85833000,85833000,98404000,501000,214000,46000,-3104000,-2343000,-1007000,-1007000,0,71000,-3279000,-3279000,6000,-3273000,1228000,1537000,-2388000,0.34648,0.04223,0.02087,0.00584,0.00509,-4.76647,7.01117,0.14646,0.01562,0.0617,0.0612,2.95707,10.57119,-0.29411,0.00573,-0.02733,-8.48779,-10.27909
"30","2019_Q1",11.1681967213115,"Down",25041000,-18110000,6931000,-8443000,-1512000,-27000,-32000,5000,-1539000,-1539000,-388000,-1927000,-1927000,-1927000,-1927000,14309000,14309000,16477000,16477000,42365000,2319000,2319000,75470000,10781000,8472000,19253000,94723000,10176000,6214000,3962000,10334000,0,0,1161000,11495000,75697000,-4517000,14300000,-2252000,83228000,83228000,94723000,-1927000,323000,424000,4632000,3452000,-876000,-876000,-26000,-1423000,1153000,1153000,18000,1171000,-1189000,1319000,2955000,0.27679,-0.06038,-0.07695,-0.02315,-0.02034,-1.53347,7.30308,0.13811,0.01392,-0.23808,-0.23621,3.09381,10.28279,0.36509,-0.02279,0.03495,10.92515,8.59127
"31","2019_Q2",12.0690476190476,"Up",24684000,-17130000,7554000,-7869000,-315000,-61000,-34000,-27000,-376000,-376000,-89000,-465000,-465000,-465000,-465000,15633000,15633000,15167000,15167000,46761000,2558000,2558000,80119000,10596000,10850000,21446000,101565000,15156000,10440000,4716000,15990000,1559000,1559000,2680000,18670000,75898000,-4517000,13835000,-2321000,82895000,82895000,101565000,-465000,383000,399000,1197000,1514000,-168000,-168000,-37674.09257101,116000,1462000,1462000,-11000,1451000,68000,1279000,1186000,0.30603,-0.01276,-0.01884,-0.00561,-0.00458,-2.55054,5.01057,0.22522,0.01259,-0.05802,-0.05802,3.08017,10.34398,0.14799,-0.00542,0.01383,-211.08824,45.56825
"32","2019_Q3",10.97234375,"Down",-24631844,17095817,-7536027,7853350,317323,60904,33928,26976,378227,378227,87703,465930,465930,465930,465930,10179000,10179000,17990000,17990000,49409000,2434000,2434000,80012000,10565000,10808000,21373000,101385000,13576000,8290000,5286000,14572000,2152000,2152000,3228000,17800000,75446000,-4614000,15230000,-2477000,83585000,83585000,101385000,465930,-382164,-398397,-1203197,-1517828,167415,167415,-29299.7896800415,-115300,-1465713,-1465713,10938,-1454775,-64841,1234000,-1188326,0.30595,-0.01288,-0.01892,0.00557,0.0046,-2.55044,5.4908,0.21296,0.01217,0.05815,0.05697,-3.07419,10.43188,-0.14831,0.00536,-0.01366,137.95284,-28.18894
"33","2019_Q4",10.7265625,"Down",79567844,-52314817,27253027,-23098350,4154677,-130904,-97928,-32976,4023773,4023773,-1948703,2075070,2075070,2075070,2075070,10789000,10789000,17413000,17413000,47797000,2622000,2622000,78621000,10233000,10250000,20483000,99104000,11172000,6246000,4926000,12620000,2243000,2243000,2243000,14863000,75133000,-4614000,16376000,-2654000,84241000,84241000,99104000,2075070,1266164,1046397,-7226803,-2839172,-688415,-688415,-5000,264300,-3263287,-3263287,-90938,-3354225,5420841,1194000,-545674,0.34251,0.05222,0.02608,0.02463,0.02094,-0.26297,6.22987,0.17643,0.01205,0.25894,0.26134,9.92879,10.51193,-0.06809,0.02367,-0.00622,-1.77002,-2.30945
"34","2020_Q1",14.0787096774194,"Up",28189000,-17563000,10626000,-8907000,1719000,8000,-18000,26000,1727000,1727000,-522000,1205000,1205000,1205000,1205000,14606000,14606000,17702000,17702000,44238000,3261000,2033000,79807000,10113000,9485000,19598000,99405000,10949000,7204000,3745000,12939000,1414000,1414000,1414000,14353000,75256000,-5023000,17581000,-2762000,85052000,85052000,99405000,1205000,378000,917000,3933000,6433000,-344000,-344000,-19000,-953000,5136000,5136000,-3000,5133000,2097000,1155000,6208000,0.37696,0.06098,0.04275,0.01417,0.01212,5.15187,6.16794,0.16876,0.01162,0.15094,0.15033,3.53088,10.65339,0.7776,0.01375,0.07085,-6.41439999999998,-7.8249
