"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital"
"12","2013_Q1",12.1755,"Up",470763000,-426622000,44141000,-44849000,-44849000,-708000,-1134000,-1188000,-834000,-354000,-1842000,-385999.999999999,-2228000,1086000,-1142000,-1142000,-786000,-1928000,-1928000,163225000,163225000,243180000,39121000,22388000,453173000,221268000,543595000,-322327000,186099000,2340000,159316000,8101000,14583000,407367000,860540000,100782000,66054000,25082137.4396544,14002000,14002000,114784000,95790000,41459000,24930000,16529000,137249000,252033000,169605000,426887000,4258000,600750000,7757000,608507000,860540000,-1142000,9007000,5684000,-21769000,-8220000,-5009000,-3868000,-23702000,39872000,235000,235000,-178000,35970000,4048000,4048000,3945000,8299000,95790000,-19565000,0.09376,-0.0015,-0.0041,-0.00317,-0.00224,10.14782,3.94805,0.41418,0.11131,-0.03266,-0.03272,7.97565,10.17789,-0.33147,2,0.00272,-0.02624
"13","2013_Q2",11.7496875,"Down",554494000,-496676000,57818000,-48867000,-48228000,8951000,-1056000,-1098000,-1245000,147000,7895000,106000,8001000,-2245000,5756000,5756000,-532000,5224000,5224000,232954000,232954000,290752000,26369000,17147000,550075000,228083000,556559000,-328476000,188792000,2340000,161266000,7597000,15868000,416875000,966950000,127346000,93597000,7665000,18817000,18817000,153828000,155181000,41435000,25004000,16431000,196616000,350444000,171758000,432116000,4377000,608251000,8255000,616506000,966950000,5756000,7744000,528000,-78602000,-64574000,-7834000,6344000,-10090000,59391000,80000,80000,-336000,59135000,-15529000,-15529000,-15312000,16695000,162846000,-67496000,0.10427,0.01614,0.00942,0.00847,0.0054,-12.92037,3.57591,0.56844,0.16841,0.08838,0.08823,9.38135,10.29085,-1.14195,4,0.00636,-0.08223
"14","2013_Q3",12.054375,"Up",738436000,-658220000,80216000,-53101000,-53101000,27115000,-931000,-1023000,-1180000,157000,26184000,2999.99999999997,26187000,-9813000,16374000,16374000,-601000,15773000,15773000,270949000,270949000,253554000,30243000,21055000,554746000,233773000,568011000,-334238000,188793000,2340000,161516000,6914000,16353000,422566000,977312000,138229000,95594000,3407000,23111000,23111000,164747000,142473000,41441000,24842000,16599000,183914000,348661000,173148000,443913000,3331000,620392000,8259000,628651000,977312000,16374000,8039000,221000,14430000,39064000,-13245000,-912000,-14853000,-12708000,614000,614000,-159000,-16230000,7981000,7981000,7665000,35154000,145880000,46152000,0.10863,0.03672,0.02136,0.02509,0.01614,2.92601,3.36726,0.55462,0.14927,0.26618,0.26567,12.46179,10.46969,0.77886,5,0.0242,0.05656
"15","2013_Q4",14.9334375,"Up",651781000,-574131000,77650000,-53267000,-53019000,24383000,-982000,-1e+06,-1159000,159000,23401000,144000,23545000,-8531000,15014000,15014000,-924000,14090000,14090000,241990000,241990000,232210000,30203000,2.1e+07,509554000,239347000,578429000,-339082000,184612000,2340000,160146000,7815000,12615000,423959000,933513000,137440000,85520000,-380002.275619614,26900000,26900000,164340000,84700000,40340000,24861000,15479000,125040000,289380000,173832000,458005000,3901000,635738000,8395000,644133000,933513000,15014000,8430000,304000,49500000,73248000,-9768000,158000,-9610000,-57773000,145000,145000,-972000,-58600000,5038000,5038000,5151000,32813000,84700000,81076000,0.11914,0.03741,0.02162,0.02187,0.01509,5.75415,3.10061,0.44926,0.09073,0.23819,0.23765,11.01838,10.74717,1.37059,7,0.01832,0.10541
"16","2014_Q1",16.1847540983607,"Up",525737000,-460869000,64868000,-50681000,-50042000,14187000,-1041000,-1090000,-1267000,177000,13146000,-621000,12525000,-3865000,8660000,8660000,-665000,7995000,7995000,180452000,180452000,287305000,28641000,19540000,496398000,237410000,578702000,-341292000,183179000,2340000,160146000,7241000,12087000,420589000,916987000,117936000,72918000,1079000,20084000,20084000,139099000,84700000,42722000,26788000,15934000,127422000,266521000,176077000,461812000,3466000,641355000,9111000,650466000,916987000,8660000,9351000,5331000,-16640000,6702000,-7398000,530000,-9050000,0,1305000,1305000,157000,-2727000.00000001,-5075000,-5075000,-5151000,23538000,85779000,3365000,0.12338,0.02698,0.01521,0.01229,0.00872,0.42089,3.56867,0.40974,0.09354,0.13411,0.13344,8.81872,10.7581,0.05644,6,0.01564,0.00432
"17","2014_Q2",15.3488888888889,"Down",553998000,-487986000,66012000,-53908000,-53908000,12104000,-725000,-776000,-1066000,290000,11379000,524000,11903000,-4235000,7668000,7668000,-452000,7216000,7216000,242433000,242433000,312010000,27909000,21059000,582352000,241419000,587159000,-345740000,183013000,2340000,160945000,6664000,11757000,424432000,1006784000,127069000,91015000,12151000,2.1e+07,2.1e+07,160220000,143471000,42131000,26627000,15504000,185602000,345822000,179327000,469028000,2864000,651219000,9743000,660962000,1006784000,7668000,8277000,-279000,-59326000,-43660000,-8209000,-2025000,-14425000,58771000,99000,99000,-709000,58161000,76000,76000,0,20381000,155622000,-42919000,0.11916,0.02185,0.01303,0.01092,0.00717,-5.94775,3.6347,0.52321,0.15457,0.12098,0.12084,9.2881,10.91807,-0.71956,5,0.0084,-0.04998
"18","2014_Q3",14.0746875,"Down",772753000,-675764000,96989000,-60591000,-58991000,36398000,-686000,-764000,-1103000,339000,35712000,324000,36036000,-13589000,22447000,22447000,-659000,21788000,21788000,286422000,286422000,277789000,27189000,20327000,591400000,247453000,599852000,-352399000,183026000,2340000,160146000,6871000,12315000,430479000,1021879000,159418000,107653000,13659000,31321000,31321000,204398000,95094000,42122000,26827000,15295000,137216000,341614000,180260000,486616000,3317000,670193000,10072000,680265000,1021879000,22447000,8561000,255000,35201000,66464000,-10137000,-509000,-13590000,-48377000,102000,102000,-401000,-52890000,-16000,-16000,0,44959000,108753000,83612000,0.12551,0.0471,0.0282,0.03203,0.02132,3.83753,2.89337,0.50218,0.10642,0.36415,0.36381,12.91538,11.20125,1.39745,6,0.03128,0.1006
"19","2014_Q4",14.8465625,"Up",713488000,-623902000,89586000,-59936000,-59936000,29650000,-552000,-669000,-1015000,346000,29098000,2570000,31668000,-11176000,20492000,20492000,-1258000,19234000,19234000,257235000,257235000,273665000,28311000,21463000,585395000,245036000,599584000,-354548000,185052000,2340000,160146000,6339000,14915000,430088000,1015483000,159092000,99008000,2131628.27560603,33849000,33849000,192941000,84700000,42228000,26896000,15332000,126928000,319869000,181097000,501181000,2767000,685045000,10569000,695614000,1015483000,20492000,9146000,-1989000,20075000,47724000,-6867000,1193000,-5674000,-10394000,-4676000,96000,-609000,-15679000,26371000,26371000,26184000,38796000,84700000,63180000,0.12556,0.04156,0.02696,0.02765,0.01894,3.28481,3.03406,0.45984,0.08341,0.32216,0.32168,11.95062,11.47421,1.05824,6,0.02338,0.07681
"20","2015_Q1",16.0045901639344,"Up",620090000,-547335000,72755000,-56940000,-56940000,15815000,309000,177000,-1083000,1260000,16124000,-18000,16106000,-5149000,10957000,10957000,-1644000,9313000,9313000,195912000,195912000,340048000,37046000,18828000,573006000,248269000,604398000,-356129000,202525000,2340000,183062000,6479000,9565000,450794000,1023800000,151248000,89105000,621000,23591000,23591000,175460000,98645000,49680000,30933000,18747000,148325000,323785000,182467000,502334000,1348000,686149000,13866000,700015000,1023800000,10957000,10339000,5160000,-23864000,2592000,-11087000,5219000,-33374000,13945000,149999.999999999,244000,-901000,5202999.99999999,-25579000,-25579000,-26184000,26154000,99266000,-3648000,0.11733,0.0255,0.01502,0.0133,0.0091,-0.39171,3.26574,0.46254,0.09696,0.15841,0.15825,10.54736,11.67099,-0.0620499999999999,5,0.02038,-0.0043
"21","2015_Q2",16.8950793650794,"Up",633025000,-553443000,79582000,-61705000,-61705000,17877000,-955000,-1038000,-1173000,135000,16922000,-14000,16908000,-6104000,10804000,10804000,-642000,10162000,10162000,260926000,260926000,404711000,20694000,14427000,709219000,255462000,620146000,-364684000,202787000,2340000,184064000,6709000,8511000,458249000,1167468000,170454000,114225000,21606000,23097000,23097000,215157000,187020000,50031000,30751000,19280000,237051000,452208000,187906000,512421000,491000,700818000,14442000,715260000,1167468000,10804000,9979000,143000,-71471000,-50545000,-15052000,4196000,-13441000,87585000,391000,469000,-948000,87028000,23042000,23042000,22888000,27856000,208626000,-52563000,0.12572,0.02824,0.01605,0.01421,0.0087,-5.17251,3.29629,0.63223,0.1787,0.17066,0.17041,10.63121,11.76975,-0.88276,5,0.01043,-0.05397
"22","2015_Q3",18.4459375,"Up",838170000,-725727000,112443000,-68431000,-68431000,44012000,-1238000,-1350000,-1382000,32000.0000000001,42774000,176000,42950000,-16066000,26884000,26884000,-908000,25976000,25976000,302538000,302538000,330235000,21915000,15663000,679444000,257731000,628269000,-370538000,202491000,2340000,173158000,17007000,8815000,460222000,1139666000,184189000,114354000,22826000,27234000,27234000,234249000,122303000,50025000,31178000,18847000,172328000,406577000,188995000,530346000,227000,719568000,13521000,733089000,1139666000,26884000,10315000,397000,49771000,87367000,-11619000,-583000,-13457000,-63844000,256000,255000,-278000,-71916000,1994000.00000001,1994000.00000001,1868000,54327000,145129000,108545000,0.13415,0.05251,0.03099,0.03543,0.02279,4.17866,2.90052,0.55461,0.12734,0.43445,0.43365,14.01856,12.03492,1.81544,7,0.03666,0.11694
"23","2015_Q4",22.07203125,"Up",762275000,-651569000,110706000,-67951000,-67951000,42755000,-925000,-1013000,-1060000,47000,41830000,-230000,41600000,-14717000,26883000,26883000,-1326000,25557000,25557000,273737000,273737000,288209000,24251000,17793000,647525000,254530000,631028000,-376498000,209863000,2340000,182394000,16195000,7843000,464393000,1111918000,178407000,101117000,834000,35060000,35060000,214301000,84722000,56757000,30919000,25838000,141479000,355780000,190457000,555193000,-1560000,744090000,12048000,756138000,1111918000,26883000,10449000,379000,46876000,84587000,-7467000,214000,-13208000,-37640000,-487000,236000,-1911000,-40038000,31341000,31341000,30617000,53204000,85556000,107330000,0.14523,0.05609,0.03353,0.0338,0.02298,4.19963,3.02157,0.47052,0.07694,0.42826,0.42742,12.77356,12.46883,1.79855,6,0.02845,0.11946
"24","2016_Q1",22.2040983606557,"Up",653601000,-556428000,97173000,-66178000,-66178000,30995000,-1347000,-1438000,-1518000,80000,29648000,-104000,29544000,-8983000,20561000,20561000,-1661000,18900000,18900000,222964000,222964000,304918000,25851000,18067000,648232000,251150000,628045000,-376895000,208297000,2340000,180990000,15357000,8298000,459447000,1107679000,173918000,95041000,1145000,29112000,29112000,204175000,84750000,52345000,23838000,28507000,137095000,341270000,191704000,565636000,-4585000,752755000,13654000,766409000,1107679000,20561000,10498000,-568000,16896000,47387000,-6541000,720000,-6530000,339000.000000007,114000,114000,-72000.0000000002,-8076000,32781000,32781000,32564000,41493000,85895000,60831000,0.14867,0.04742,0.02892,0.02466,0.01706,3.21857,3.17488,0.44528,0.07755,0.31491,0.31429,10.89008,12.54215,1.01355,6,0.03024,0.06724
"25","2016_Q2",26.28515625,"Up",682151000,-579412000,102739000,-70828000,-70828000,31911000,-891000,-972000,-1076000,104000,31020000,157164.007485595,31020000,-10765000,20255000,20255000,-1043000,19212000,19212000,287374000,287374000,327177000,18028000,18028000,682381000,254634000,639881000,-385247000,208762000,2340000,181280000,14718000,7760000,463396000,1145777000,185021000,116525000,886000,29414000,29414000,215321000,84525000,51003000,24991000,26012000,135528000,350849000,200696000,584848000,-3946000,781598000,13330000,794928000,1145777000,20255000,10185000,222000,-60619000,-29957000,-12809000,-24000,-12833000,-260000,130000,130000,-1175000,-1305000,-44095000,-44095000,-44138000,42096000,85411000,-20567000,0.15061,0.04678,0.02816,0.02417,0.01677,-1.07053,3.16913,0.44136,0.07454,0.32034,0.31988,11.3743,13.0325,-0.34294,5,0.02063,-0.02208
"26","2016_Q3",32.48578125,"Up",872093000,-740606000,131487000,-77823000,-77823000,53664000,-784000,-895000,-1103000,208000,52880000,338537.342956055,52880000,-18642000,34238000,34238000,-839000,33399000,33399000,318505000,318505000,297796000,16147000,16147000,729705000,256899000,649652000,-392753000,207902000,2340000,181381000,14170000,7470000,464801000,1194506000,202769000,126095000,1093000,35321000,35321000,239183000,84530000,51158000,25092000,26066000,135688000,374871000,203017000,609718000,-4149000,808586000,11049000,819635000,1194506000,34238000,10278000,738000,24744000,69998000,-11151000,72999.9999999999,-16530000,212000.000000004,160000,160000,-571000,-8728000,44740000,44740000,44222000,63942000,85623000,96177000,0.15077,0.06153,0.0383,0.04075,0.02796,2.87964,3.05082,0.45736,0.07168,0.55529,0.55438,14.49936,13.4435,1.59903,7,0.04384,0.10056
"27","2016_Q4",30.5688888888889,"Down",826665000,-708611000,118054000,-74502000,-74502000,43552000,-927000,-976000,-1095000,119000,42625000,391392.006948487,42625000,-13861000,28764000,28764000,-946000,27818000,27818000,343771000,343771000,369928000,29952000,22545000,790787000,284491000,717287000,-432796000,235359000,2340000,207832000,14014000,8757000,519850000,1310637000,237528000,137979000,15524000,57104000,57104000,310156000,110362000,43029000,14066000,28963000,153391000,463547000,204293000,637536000,-4854000,836975000,10115000,847090000,1310637000,28764000,10419000,513000,56640000,96336000,-11247000,-1363000,-77946000,-67480000,106000,106000,-1442000,-68816000,-50426000,-50426000,-50834000,53971000,125886000,113225000,0.14281,0.05268,0.03365,0.03284,0.02122,4.07021,2.54964,0.54722,0.09605,0.46206,0.46128,13.73106,13.90232,1.88069,3,0.02738,0.11144
"28","2017_Q1",31.4309677419355,"Up",859584000,-737274000,122310000,-86999000,-86999000,35311000,-1432000,-1191000,-1301000,110000,33879000,267000,34146000,-11906000,22240000,22240000,-1490000,20750000,20750000,282253000,282253000,397227000,32519000,21060000,756438000,297851000,699462000,-401611000,237769000,2340000,198535000,26731000,8617000,535620000,1292058000,217101000,124660000,22395000,32281000,32281000,271777000,109059000,50756000,20817000,29939000,159815000,431592000,205675000,649135000,-5630000,849180000,11286000,860466000,1292058000,22240000,12736000,3059000,-1892000,36143000,-15429000,1190000,-27518000,-1594000,140000,140000,-165000,-10770000,-2145000,-2145000,-3103000.00000001,48047000,131454000,42632000,0.14229,0.04108,0.02414,0.02411,0.01606,2.05455,2.7833,0.50158,0.10174,0.3448,0.34418,14.28355,14.11067,0.70841,4,0.02868,0.04089
"29","2017_Q2",28.6426984126984,"Down",846130000,-725390000,120740000,-86983000,-86983000,33757000,-1417000,-1422000,-1504000,82000,32340000,64000,32404000,-10770000,21634000,21634000,-572000,21062000,21062000,365620000,365620000,472016000,24729000,21559000,899313000,309853000,720912000,-411059000,268493000,2340000,211061000,36759000,16373000,578346000,1477659000,214521000,156030000,23846000,39473000,39473000,277840000,252904000,49562000,21364000,28198000,302466000,580306000,217874000,670115000,-3450000,884539000,12814000,897353000,1477659000,21634000,12511000,772000,-105657000,-70740000,-16178000,635000,-70599000,143323000,63000,146000,-1689000,141697000,358000,358000,1240000,46268000,276750000,-64797000,0.1427,0.0399,0.02489,0.02347,0.01425,-3.07649,3.2368,0.64669,0.18729,0.34896,0.34839,14.01876,14.65512,-1.07356,3,0.01721,-0.05295
