"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"15","2014_Q2",51.2009523809524,"Down",172610000,-134480000,38130000,-27499000,-27499000,10631000,296000,-178000,474000,10927000,10927000,-3689000,7238000,7238000,7238000,7238000,42253000,42253000,183361000,183361000,123932000,14661000,7158000,364207000,61552000,160926000,-99374000,39684000,5500000,31980000,461000,1743000,101236000,465443000,100755000,66335000,1947000,32473000,1139000,101894000,0,6982000,1304000,3540000,6982000,108876000,93202000,-426000,261595000,2196000,356567000,356567000,465443000,7238000,2314000,79000,-29019000,-19388000,-2170000,-2170000,-846000,686000,250000,250000,164000,-21394000,-21394000,-313000,-21707000,12945000,1139000,-14555000,0.2209,0.06159,0.04193,0.0203,0.01555,-2.01091,3.57437,0.30535,0.00245,0.59897,0.58989,14.28418,29.50737,-1.20449,0.07001,0.02217,-0.03991,0.11688,-3.17605,-3.86737
"16","2014_Q3",46.029375,"Down",207751000,-160465000,47286000,-32490000,-32490000,14796000,-856000,-1009000,153000,13940000,13940000,-4745000,9195000,9195000,9195000,9195000,37359000,37359000,201930000,201930000,182148000,14702000,7716000,436139000,75328000,177235000,-101907000,170695000,63161000,73594000,2283000,31657000,246023000,682162000,112502000,65905000,1369000,45228000,1241000,114627000,188006000,9556000,4080000,3756000,197562000,312189000,94644000,-426000,269943000,5812000,369973000,369973000,682162000,9195000,2654000,-889000,-6697000,4263000,-1145000,-196757000,-846000,187974000,84000.0000000019,84000,186746000,-5748000,-5748000,854000,-4894000,17450000,189247000,14353000,0.22761,0.07122,0.04426,0.02485,0.01348,1.56096,3.80485,0.84382,0.27742,0.76011,0.74902,17.17376,30.58386,1.18649,0.06993,0.01765,0.02523,0.09201,8.70418,10.26548
"17","2014_Q4",42.87,"Down",234783000,-179343000,55440000,-33914000,-33914000,21526000,-1035000,-1456000,421000,20491000,20491000,-7124000,13367000,13367000,13367000,13367000,38644000,38644000,178072000,178072000,183797000,13761000,7246000,414274000,72416000,173071000,-100655000,167650000,62028000,71996000,2936000,30690000,240066000,654340000,116203000,68701000,3111000,44391000,852000,117939000,190005000,8932000,3825000,3843000,198937000,316876000,94226000,-426000,248913000,-5249000,337464000,337464000,654340000,13367000,3472000,-1136000,23832000,39535000,-2310000,-3061000,-848000,1686000,-34111000,93000,-33262000,3212000,3212000,-1927000,1285000,24998000,190857000,53644000,0.23613,0.09168,0.05693,0.03961,0.02043,4.01317,3.51261,0.93899,0.29168,1.10929,1.09521,19.48407,28.00531,4.45178,0.07037,0.02646,0.09985,0.06344,6.08901,7.07112
"18","2015_Q1",49.7875409836066,"Up",223911000,-175539000,48372000,-32661000,-32661000,15711000,-464000,-1183000,719000,15247000,15247000,-3896000,11351000,11351000,11351000,11351000,39533000,39533000,175008000,175008000,166088000,12673000,4415000,393302000,71170000,171667000,-100497000,168414000,56984000,75691000,642000,35097000,239584000,632886000,88795000,47741000,52000.0000000005,41002000,551000,89367000,190024000,15825000,4455000,5656000,205849000,295216000,94979000,-426000,259476000,-16359000,337670000,337670000,632886000,11351000,4210000,3471000,-13232000,5800000,-2739000,-2843000.00000003,-788000,-261000,475999.999999993,476000,-916000,2041000,2041000,-1152000,889000,19921000,190575000,7846000,0.21603,0.07017,0.05069,0.03362,0.01794,0.69122,4.40098,0.87427,0.30112,1.00728,0.99527,19.86964,29.9645,0.69625,0.06993,0.02231,0.01442,0.06942,7.58205,9.61377
"19","2015_Q2",55.2234920634921,"Up",207798000,-162261000,45537000,-33409000,-33409000,12128000,-711000,-1571000,860000,11417000,11417000,-4058000,7359000,7359000,7359000,7359000,36661000,36661000,193176000,193176000,170294000,11949000,5765000,412080000,67732000,168297000,-100565000,167684000,55709000,72831000,717000,38427000,235416000,647496000,95842000,57475000,420000,37947000,511000,96353000,208013000,1.2e+07,1116000,5645000,220013000,316366000,95430000,-426000,265932000,-29806000,331130000,331130000,647496000,7359000,3596000,-835000,-23028000,-12908000,-1865000,-5330000,-903000,18274000,275000,275000,17656000,-582000,-582000,-2290000,-2872000,15724000,208524000,-5111000,0.21914,0.05836,0.03541,0.02222,0.01137,-0.69452,4.27677,0.95541,0.32205,0.65239,0.64349,18.42181,29.3555,-0.4531,0.08005,0.01498,-0.00926,0.12271,10.92998,14.17076
"20","2015_Q3",48.61015625,"Down",215734000,-165069000,50665000,-34230000,-34230000,16435000,-1319000,-1807000,488000,15116000,15116000,-5406000,9710000,9710000,9710000,9710000,34522000,34522000,194942000,194942000,175440000,12548000,4688000,417452000,69391000,173592000,-104201000,178394000,55010000,77389000,117000,45878000,247785000,665237000,97204000,60806000,338000,36060000,528000,98054000,203014000,16272000,5544000,5940000,219286000,317340000,97384000,-426000,274737000,-23798000,347897000,347897000,665237000,9710000,7328000,926999.999999999,-13816000,4149000,-3137000,-3137000,-905000,-5293000,1664000,1664000,-4505000,-3493000,-3493000,1354000,-2139000,23763000,203542000,12216000,0.23485,0.07618,0.04501,0.02791,0.0146,1.25808,4.25737,0.91217,0.30597,0.85536,0.84449,19.00405,30.64632,1.07611,0.07972,0.0187,0.02152,0.0932,7.11274,10.28415
"21","2015_Q4",49.63,"Up",231614000,-174105000,57509000,-33939000,-33939000,23570000,-749000,-1644000,895000,22821000,22821000,-8065000,14756000,14756000,14756000,14756000,42657000,42657000,175940000,175940000,174423000,11187000,5016000,404207000,67117000,172908000,-105791000,173598000,53908000,76082000,107000,43501000,240715000,644922000,99496000,60952000,1131000,37413000,473000,100271000,175005000,15546000,5125000,6084000,190551000,290822000,97749000,-426000,288582000,-31805000,354100000,354100000,644922000,14756000,5611000,1272000,18338000,39977000,-1831000,-1831000,-911000,-28009000,69000,69000,-28810000,9336000,9336000,-1201000,8135000,29181000,175478000,53753000,0.2483,0.10176,0.06371,0.04167,0.02288,3.64279,4.03115,0.8213,0.27209,1.29666,1.28358,20.35272,31.11599,4.72346,0.08005,0.02874,0.09861,0.06174,4.55163,5.63517
"22","2016_Q1",51.3331147540984,"Up",224431000,-175694000,48737000,-34342000,-34342000,14395000,3118000,-1513000,4631000,17513000,17513000,-6129000,11384000,11384000,11384000,11384000,26922000,26922000,178305000,178305000,150758000,6901000,5410000,362886000,70950000,178044000,-107094000,169667000,52950000,75509000,1475000,39733000,240617000,603503000,84947000,45486000,1320000,38141000,77000,85024000,144006000,14004000,3723000,5782000,158010000,243034000,97917000,-426000,299057000,-36079000,360469000,360469000,603503000,11384000,-2041000,7237000,4620000,21200000,-4400000,-4400000,-909000,-31421000,15000,14999.9999999998,-32395000,-15595000,-15595000,-140000,-15735000,12354000,144083000,18703000,0.21716,0.06414,0.05072,0.03158,0.01886,1.64292,4.26804,0.67422,0.23874,1,0.99009,19.7146,31.66453,1.64292,0.07985,0.02371,0.03607,0.07985,9.48365,8.13901
"23","2016_Q2",56.70078125,"Up",210971000,-160694000,50277000,-33988000,-33988000,16289000,-1966000,-1344000,-622000,14323000,14323000,-5664000,8659000,8659000,8659000,8659000,49654000,49654000,195692000,195692000,156572000,6494000,5134000,408412000,70304000,180158000,-109854000,167636000,52472000,76397000,1897000,36870000,237940000,646352000,86339000,54903000,1076000,30360000,75000,86414000,173004000,14504000,4562000,5879000,187508000,273922000,98519000,-426000,306691000,-32354000,372430000,372430000,646352000,8659000,5351000,534000,-19591000,-5047000,-1407000,-1595000,-1025000,28994000,317000,317000,28286000,21644000,21644000,1088000,22732000,21640000,173079000,6306000,0.23831,0.07721,0.04104,0.02325,0.0134,0.72826,4.72622,0.7355,0.26778,0.7603,0.7525,18.5241,32.70085,0.55369,0.09,0.01729,0.01126,0.11837,5.70356,7.5772
"24","2016_Q3",63.14,"Up",211489000,-159311000,52178000,-34137000,-34137000,18041000,-1225000,-1467000,241999.999999999,16816000,16816000,-6254000,10562000,10562000,10562000,10562000,44972000,44972000,196901000,196901000,159840000,6559000,4928000,408272000,70673000,180994000,-110321000,166383000,51724000,75919000,1601000,37139000,237056000,645328000,89942000,55702000,1159000,33081000,1211000,91153000,164003000,13934000,4165000,5843000,177937000,269090000,99761000,-426000,316227000,-39324000,376238000,376238000,645328000,10562000,1910000,3934000,-6359000,10047000,-4284000,-4284000,-1026000,-8086000,681000,681000,-8449999.99999999,-2687000,-2687000,-1995000,-4682000,19951000,165214000,15562000,0.24672,0.0853,0.04994,0.02807,0.01637,1.4734,4.47897,0.71521,0.25602,0.92471,0.91446,18.51593,32.93977,1.36246,0.08983,0.02086,0.02802,0.09714,6.02687,6.66493
"25","2016_Q4",68.1398412698413,"Up",216766000,-162055000,54711000,-33699000,-33699000,21012000,-1235000,-1362000,127000,19777000,19777000,-6541000,13236000,13236000,13236000,13236000,56485000,56485000,174047000,174047000,154604000,7559000,4589000,392695000,68350000,179727000,-111377000,163837000,50921000,75883000,1692000,35341000,232187000,624882000,83221000,48504000,2150000,32567000,1372000,84593000,134018000,18755000,9030000,5935000,152773000,237366000,100368000,-426000,328432000,-40858000,387516000,387516000,624882000,13236000,3567000,6585000,19860000,43248000,-661000,-661000,-1031000,-29796000,256000,256000,-30571000,12016000,12016000,-503000,11513000,24579000,135390000,50319000,0.2524,0.09693,0.06106,0.03416,0.02118,3.80168,4.64217,0.61253,0.21666,1.15497,1.14153,18.91501,33.81466,4.39084,0.08997,0.02634,0.0929,0.07789,3.21026,3.75524
"26","2017_Q1",74.2353225806452,"Up",205522000,-157589000,47933000,-35655000,-35655000,12278000,-1005000,-1527000,522000,11273000,11273000,-3685000,7588000,7588000,7588000,7588000,16793000,16793000,170329000,170329000,135760000,4736000,4725000,327618000,66629000,180041000,-113412000,158529000,50038000,74825000,619000,33047000,225158000,552776000,78627000,43136000,2333000,33158000,73000,78700000,70017000,16342000,6444000,6969000,86359000,165059000,100911000,-426000,334988000,-47756000,387717000,387717000,552776000,7588000,9972000,-6899000,16645000,27306000,-2116000,-2116000,-1032000,-65102000,96000,115000,-66382000,-41192000,-41192000,1500000,-39692000,22250000,70090000,40464000,0.23323,0.05974,0.03692,0.01957,0.01373,5.33263,4.16287,0.42572,0.1268,0.66184,0.65369,17.92604,33.81744,3.52935,0.09001,0.01818,0.08534,0.136,2.39537,4.34085
"27","2017_Q2",81.1165079365079,"Up",215389000,-161225000,54164000,-34063000,-34063000,20101000,-1459000,-1251000,-208000,18642000,18642000,-6475000,12167000,12167000,12167000,12167000,70662000,70662000,196244000,196244000,141408000,5246000,5003000,413560000,66525000,182670000,-116145000,155054000,49302000,75298000,665000,29789000,221579000,635139000,88572000,54361000,6924000,27287000,536000,89108000,127017000,16158000,6533000,7106000,143175000,232283000,101845000,-426000,346009000,-44572000,402856000,402856000,635139000,12167000,4961000,268000,-18839000,-1443000,-2183000,-2183000,-1146000,57460000,606000,606000,56920000,53294000,53294000,575000,53869000,25062000,127553000,10515000,0.25147,0.09332,0.05649,0.0302,0.01916,0.86422,4.64111,0.57659,0.20083,1.06058,1.04707,18.77519,35.11646,0.91658,0.0999,0.02436,0.01924,0.09419,2.27001,2.83026
"28","2017_Q3",91.2385714285714,"Up",213276000,-158597000,54679000,-34222000,-34222000,20457000,-2384000,-1419000,-965000,18073000,18073000,-5757000,12316000,12316000,12316000,12316000,74637000,74637000,200223000,200223000,153150000,9980000,5487000,437990000,71233000,190228000,-118995000,171641000,55353000,82430000,652000,33206000,242874000,680864000,95368000,57164000,2210000,35994000,79999.9999999999,95448000,146017000,16488000,6672000,7407000,162505000,257953000,103511000,-426000,357163000,-37337000,422911000,422911000,680864000,12316000,2153000,3075000,-3679000,13865000,-3668000,-30108000,-1151000,18540000,1375000,1375000,18598000,2355000,2355000,1620000,3975000.00000001,22610000,146097000,21020000,0.25638,0.09592,0.05775,0.02912,0.01809,1.70672,4.58878,0.60995,0.21458,1.0666,1.05527,18.47025,36.62518,1.82039,0.09968,0.023,0.0359,0.09346,3.16055,3.49318
