"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",35.7801612903226,"Up",344300000,-218300000,1.26e+08,-89700000,-89700000,36300000,-5400000,-6e+06,6e+05,30900000,-3500000,27400000,-8900000,18500000,18700000,18700000,18700000,211600000,209500000,219400000,219400000,298900000,75500000,34300000,805400000,218100000,667500000,149100000,5.01e+08,7700000,9700000,885600000,1.691e+09,170300000,128500000,41800000,376900000,307800000,93900000,55400000,38500000,401700000,778600000,5.04870979341448e-29,442200000,486800000,-16600000,912400000,912400000,1.691e+09,18500000,11200000,4200000,14700000,48600000,-9100000,-7100000,-3900000,-1500000,8e+05,-3400000,38100000,39300000,2400000,41700000,47500000,384800000,6.2e+07,0.36596,0.10543,0.05431,0.0205,0.01106,3.31551,2.13691,0.85335,0.22756,0.53276,0.53125,9.80912,25.9943,1.76638,0.11111,0.01625,0.04457,0.20856,3.64632,4.77135
"12","2013_Q1",42.0201666666667,"Up",354500000,-225900000,128600000,-96700000,-96700000,31900000,-6700000,-6e+06,-7e+05,25200000,-1200000,2.4e+07,-5800000,18200000,15500000,15500000,15500000,273400000,271300000,206200000,206200000,2.88e+08,55700000,22500000,823300000,221700000,6.64e+08,145400000,5.04e+08,4800000,9800000,885700000,1.709e+09,173200000,131300000,41900000,368400000,307500000,93600000,44900000,48700000,401100000,769500000,0,452200000,498100000,-10800000,939500000,939500000,1.709e+09,18200000,12500000,4100000,2.4e+07,58800000,-9700000,-9700000,-3900000,-1300000,8400000,2500000.00000001,51600000,60900000,1600000,62500000,44400000,384600000,64500000,0.36276,0.08999,0.04372,0.0165,0.00907,4.16129,2.2348,0.81905,0.22504,0.43662,0.43539,9.98592,26.46479,1.8169,0.10986,0.01368,0.0455,0.25161,2.5045,3.48589
"13","2013_Q2",42.00359375,"Down",358900000,-2.3e+08,128900000,-98100000,-98100000,30800000,-5900000,-5900000,-1763709.07398349,24900000,-2200000,22700000,-6400000,16300000,16100000,16100000,16100000,253100000,2.51e+08,218500000,218500000,299700000,51100000,27800000,822400000,222200000,653500000,140500000,499500000,3900000,9600000,875700000,1698100000,174200000,134100000,40100000,365300000,306800000,9e+07,44500000,45500000,396800000,762100000,-8.07793566946316e-28,457200000,509200000,-30500000,935900000,935900000,1.698e+09,16300000,12200000,1e+06,-31500000,-2e+06,-1.1e+07,-1.1e+07,-3900000,-1800000,1400000,-3800000,-16800000,-1.7e+07,-3300000,-20300000,4.3e+07,383800000,6900000,0.35915,0.08582,0.04486,0.0172,0.00948,0.42857,2.2513,0.8143,0.22602,0.45352,0.45225,10.10986,26.36338,0.19437,0.10986,0.01419,0.00489,0.24224,3.03953,4.24351
"14","2013_Q3",48.434375,"Up",366800000,-2.34e+08,132800000,-95200000,-95200000,37600000,-6700000,-5300000,-1400000,30900000,-2e+06,28900000,-1e+07,18900000,18900000,18900000,18900000,181900000,181900000,222500000,222500000,306900000,48500000,26900000,759800000,221700000,654300000,137700000,503400000,3900000,9300000,8.76e+08,1635800000,172400000,130700000,41700000,290300000,306300000,8.6e+07,42200000,43800000,392300000,682600000,0,462500000,513500000,-22900000,953100000,953100000,1635700000,18900000,12100000,1e+06,-8200000,23800000,-5600000,-3500000,-4600000,-77500000,-7500000,-89400000,-69100000,-69500000,-200000.000000001,-69700000,49700000,308400000,45900000,0.36205,0.10251,0.05153,0.01983,0.01155,2.42857,2.61729,0.71619,0.18853,0.53239,0.5309,10.33239,26.84789,1.29296,0.12958,0.01744,0.03406,0.24339,2.54527,3.36436
"15","2013_Q4",52.90171875,"Up",371800000,-237900000,133900000,-100700000,-100700000,33200000,-5300000,-5e+06,-3e+05,27900000,-3e+06,24900000,-7400000,17500000,15400000,15400000,15400000,227200000,227200000,228900000,228900000,310800000,4.6e+07,21400000,812900000,219400000,658100000,135600000,509800000,3600000,9100000,877500000,1690400000,178600000,134600000,4.4e+07,310300000,306200000,8.8e+07,43100000,44900000,394200000,704500000,0,471600000,512600000,1600000,985800000,985800000,1690300000,17500000,12100000,1800000,14500000,45900000,-4600000,-4600000,-4600000,-1e+06,-4500000,-9100000,32200000,40100000,5300000,45400000,45300000,308300000,62600000,0.36014,0.0893,0.04142,0.01562,0.00911,4.06494,2.61972,0.71465,0.18238,0.4338,0.43258,10.47324,27.76901,1.76338,0.12958,0.01447,0.04529,0.2987,1.79029,2.44277
"16","2014_Q1",53.264262295082,"Up",3.76e+08,-245100000,130900000,-111100000,-111100000,19800000,-5800000,-4700000,-1100000,1.4e+07,-2700000,11300000,-3100000,8200000,8200000,8200000,8200000,267900000,267900000,212900000,212900000,310200000,66100000,3.5e+07,857100000,219900000,663200000,132400000,514800000,3800000,12200000,883100000,1740200000,189500000,145600000,43900000,326900000,305500000,105700000,45900000,59800000,411200000,738100000,0,4.77e+08,513100000,1.2e+07,1002100000,1002100000,1740200000,8200000,12500000,5e+05,29400000,50600000,-5e+06,-5e+06,-4600000,-1699999.99999999,-5e+05,-7200000.00000001,38400000,38900000,2300000,41200000,32300000,307700000,59800000,0.34814,0.05266,0.02181,0.00818,0.00471,7.29268,2.6219,0.73655,0.17682,0.23099,0.23034,10.59155,28.22817,1.68451,0.12958,0.00904,0.04225,0.56098,1.2322,2.0101
"17","2014_Q2",52.6925396825397,"Down",365200000,-231900000,133300000,-103300000,-103300000,3e+07,-5200000,-4800000,-4e+05,24800000,-4200000,20600000,-6500000,14100000,14100000,14100000,14100000,2.25e+08,2.25e+08,2.24e+08,2.24e+08,323800000,66300000,36900000,839100000,2.16e+08,660100000,128200000,513900000,4300000,13700000,876100000,1715200000,1.68e+08,125200000,42800000,3.07e+08,305100000,102400000,44400000,5.8e+07,407500000,714500000,0,480400000,512300000,7900000,1000600000,1000600000,1715100000,14100000,11900000,1400000,-46100000,-18700000,-4900000,-4900000,-4600000,-2900000,-9e+06,-1.8e+07,-41600000,-41600000,-1300000,-42900000,41900000,307300000,-2600000,0.36501,0.08215,0.03861,0.01409,0.00822,-0.1844,2.73322,0.71407,0.17916,0.39831,0.39718,10.31638,28.26554,-0.07345,0.12994,0.01326,-0.00184,0.32624,1.9642,2.74333
"18","2014_Q3",56.2275,"Up",3.96e+08,-2.57e+08,1.39e+08,-99800000,-99800000,39200000,-4600000,-4700000,99999.9999999999,34600000,-2600000,3.2e+07,-10700000,21300000,21300000,21300000,21300000,244300000,244300000,234900000,234900000,318400000,63500000,33800000,861100000,212300000,653300000,124100000,511500000,4800000,12900000,865600000,1726700000,176700000,133100000,43600000,313700000,304500000,99900000,4.4e+07,55900000,404400000,718100000,0,487200000,517600000,3700000,1008500000,1008500000,1726600000,21300000,12100000,7e+05,3e+06,37100000,-5500000,-5500000,-5300000,-500000.000000004,-6300000,-11300000,20300000,20300000,-1e+06,19300000,51300000,306600000,59500000,0.35101,0.09899,0.05379,0.02112,0.01234,2.79343,2.74498,0.71205,0.17756,0.60511,0.6034,11.25,28.65057,1.69034,0.15057,0.0188,0.04205,0.24883,1.21442,1.58929
"19","2014_Q4",56.04421875,"Down",3.76e+08,-237900000,138100000,-9.5e+07,-9.5e+07,43100000,-6300000,-4700000,-1600000,36800000,-4e+05,36400000,-13800000,22600000,22600000,22600000,22600000,272400000,272400000,223400000,223400000,3.07e+08,45800000,18600000,848600000,202100000,6.26e+08,116400000,492800000,4800000,1.2e+07,828100000,1676700000,168600000,125400000,43200000,299800000,303700000,103100000,35400000,67700000,406800000,706600000,1.65436122510606e-24,496500000,524500000,-5.1e+07,9.7e+08,9.7e+08,1676600000,22600000,11800000,5100000,15600000,55100000,-5300000,-5300000,-5300000,-1500000,-3300000,-9500000,40300000,40300000,-12200000,28100000,54900000,305700000,7.9e+07,0.36729,0.11463,0.06011,0.0233,0.01348,3.49558,2.83055,0.72845,0.18232,0.64023,0.63842,10.65156,27.47875,2.23796,0.15014,0.02023,0.05729,0.23451,0.60656,0.772619999999999
"20","2015_Q1",52.6713114754098,"Down",376500000,-245100000,131400000,-108900000,-108900000,22500000,-6200000,-5e+06,-1200000,16300000,-22200000,-5900000,-1800000,-7700000,-7700000,-7700000,-7700000,301100000,301100000,207800000,207800000,291600000,73800000,27400000,874300000,203300000,870400000,210100000,6.39e+08,4700000,16600000,1073700000,1.948e+09,1.65e+08,120800000,44200000,345700000,577800000,112100000,77400000,34700000,689900000,1035600000,0,500800000,500600000,-89100000,912300000,912300000,1947900000,-7700000,12300000,1.4e+07,43100000,61700000,-7600000,-279800000,-5300000,2.74e+08,-9200000,259600000,41500000,41500000,-12800000,28700000,34800000,579700000,72100000,0.349,0.05976,-0.02045,-0.00844,-0.00395,-9.36364,2.52907,1.13515,0.29759,-0.21813,-0.21751,10.66572,25.84419,2.04249,0.15014,-0.0015,0.04494,-0.68831,8.00575,12.38222
"21","2015_Q2",50.3404761904762,"Down",356200000,-225700000,130500000,-105700000,-105700000,24800000,-5500000,-5700000,2e+05,19300000,-2e+06,17300000,-5700000,11600000,11600000,11600000,11600000,261800000,261800000,220500000,220500000,282700000,73600000,25900000,838600000,189500000,831800000,199400000,6.12e+08,4500000,15900000,1021300000,1859900000,152700000,1.13e+08,39700000,328600000,577200000,106700000,73200000,33500000,683900000,1012500000,0,504400000,4.97e+08,-1.54e+08,847400000,847400000,1859900000,11600000,1.3e+07,1600000,-25400000,8e+05,-5600000,-5600000,-5300000,-1100000,-8900000,-15200000,-2e+07,-2e+07,-19300000,-39300000,37800000,578900000,12500000,0.36637,0.06962,0.03257,0.01369,0.00624,1.07759,2.55204,1.19483,0.31125,0.33048,0.32955,10.14815,24.14245,0.35613,0.151,0.01102,0.00815,0.4569,8.38889,12.78629
"22","2015_Q3",49.365625,"Down",386900000,-241100000,145800000,-106300000,-106300000,39500000,-5300000,-5700000,4e+05,34200000,-4700000,29500000,-10200000,19300000,19300000,19300000,19300000,284600000,284600000,2.29e+08,2.29e+08,254500000,111800000,28800000,879900000,186600000,826800000,195700000,614500000,4500000,12100000,1013400000,1893300000,156800000,1.11e+08,45800000,563600000,351900000,105300000,73800000,31500000,457200000,1020800000,0,5.08e+08,499900000,-135400000,872500000,872500000,1893300000,19300000,12900000,4e+05,8500000.00000001,41100000,-6800000,-6100000.00000003,-6e+06,-2600000.00000003,-9400000,-1.8e+07,1.7e+07,1.7e+07,5800000,22800000,52400000,578500000,64300000,0.37684,0.10209,0.04988,0.02212,0.01019,3.33161,1.56121,1.16997,0.30555,0.54986,0.55143,11.02279,24.85755,1.83191,0.17094,0.01626,0.04132,0.31088,5.60878,7.44051
"23","2015_Q4",50.885,"Up",366300000,-224100000,142200000,-166600000,-166600000,-24400000,-5700000,-5900000,2e+05,-30100000,-5800000,-35900000,10200000,-25700000,-25700000,-25700000,-25700000,288800000,288800000,220800000,220800000,254300000,89400000,32800000,853300000,185100000,819900000,189600000,613900000,4500000,11900000,1.005e+09,1858300000,151200000,103600000,47600000,519500000,351600000,126500000,95200000,31300000,478100000,997600000,-4.2351647362715e-22,511700000,454500000,-105500000,860700000,860700000,1858300000,-25700000,13800000,55700000,-43800000,0,27100000,26400000,-5900000,-1e+06,-11600000,-18400000,8e+06,8e+06,-3800000,4200000,-10600000,5.78e+08,-37500000,0.38821,-0.06661,-0.07016,-0.02986,-0.01383,1.45914,1.64254,1.15906,0.31104,-0.73851,-0.73219,10.52586,24.73276,-1.07759,0.16954,-0.01265,-0.02396,-0.22957,-27.28302,-11.85246
"24","2016_Q1",47.1881967213115,"Down",358300000,-223700000,134600000,-112700000,-112700000,21900000,-4400000,-6e+06,1600000,17500000,-139400000,-121900000,3800000,-118100000,-118100000,-118100000,-118100000,296200000,296200000,186400000,186400000,2.4e+08,86400000,46100000,8.09e+08,184400000,697400000,192800000,4.89e+08,3700000,11900000,881800000,1690800000,148200000,101700000,46500000,2.95e+08,574200000,116700000,71800000,44900000,690900000,985900000,0,515400000,317700000,-128200000,704900000,704900000,1690800000,-118100000,12800000,124800000,4.8e+07,67500000,-11600000,-3.2e+07,-5900000,-1300000,-12200000,-19300000,16200000,16200000,-8800000,7400000,34700000,575300000,67300000,0.37566,0.06112,-0.32961,-0.16754,-0.06985,-0.56986,2.74237,1.39864,0.34025,-3.41329,-3.44315,10.35549,20.37283,1.94509,0.17052,-0.08032,0.04818,-0.04996,8.04323,12.74429
"25","2016_Q2",53.093125,"Up",344200000,-2.09e+08,135200000,-102600000,-102600000,32600000,-4300000,-6500000,2200000,28300000,-1400000,26900000,-10700000,16200000,16200000,16200000,16200000,259400000,259400000,207700000,207700000,264700000,116400000,45200000,848200000,185300000,701100000,189200000,497600000,3100000,11200000,886400000,1734600000,136200000,98600000,37600000,285400000,597100000,1.21e+08,72900000,48100000,718100000,1003500000,-3.3881317890172e-21,519600000,315500000,-1.04e+08,731100000,731100000,1734600000,16200000,12400000,4e+05,-50900000,-21900000,-9100000,-29400000,-5900000,24100000,-11900000,4200000,-47100000,-47100000,10300000,-36800000,4.5e+07,598200000,-4300000,0.39279,0.09471,0.04707,0.02216,0.00934,-0.26543,2.97197,1.37259,0.34486,0.47093,0.46957,10.00581,21.25291,-0.125,0.17151,0.01524,-0.00295999999999998,0.3642,7.52889000000001,10.39264
"26","2016_Q3",59.08421875,"Up",371100000,-220400000,150700000,-110500000,-110500000,40200000,-4300000,-5200000,9e+05,35900000,5500000,41400000,-12800000,28600000,28600000,28600000,28600000,286700000,286700000,220300000,220300000,247500000,9.3e+07,52200000,847500000,1.85e+08,6.92e+08,183400000,495500000,2200000,10900000,8.77e+08,1724500000,130600000,88400000,42200000,269500000,601500000,119700000,71300000,48400000,721200000,990700000,0,526400000,332200000,-124800000,733800000,733800000,1724500000,28600000,12500000,-1600000,-9799999.99999999,29700000,-10100000,8100000,-6100000,4100000,-3e+06,-4800000,3.3e+07,3.3e+07,-5700000,27300000,52700000,6.03e+08,45600000,0.40609,0.10833,0.07707,0.03898,0.01658,1.59441,3.14471,1.3501,0.34967,0.8314,0.82899,10.78779,21.3314,1.32558,0.17733,0.02382,0.03131,0.21329,6.0019,7.86816
"27","2016_Q4",61.721746031746,"Up",341100000,-199100000,1.42e+08,-104500000,-104500000,37500000,-4100000,-4600000,5e+05,33400000,-1e+06,32400000,-10500000,21900000,21900000,21900000,21900000,338600000,338600000,214700000,214700000,241200000,78900000,41900000,873400000,184800000,689100000,178900000,4.97e+08,1700000,11500000,873900000,1747300000,130800000,85800000,4.5e+07,273600000,601600000,115700000,70800000,44900000,717300000,990900000,0,534600000,3.42e+08,-120200000,756400000,756400000,1747300000,21900000,13100000,6200000,20600000,61800000,-2900000,-2900000,-6200000,-9e+05,9.31322574615479e-10,-6900000,5.2e+07,5.2e+07,-1e+05,51900000,50600000,602900000,78800000,0.4163,0.10994,0.0642,0.02895,0.01253,3.59817,3.19225,1.31002,0.34505,0.63112,0.63478,9.82997,21.79827,2.27089,0.17867,0.01905,0.05342,0.28311,5.22332,7.048
