"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2017_Q4",23.1722222222222,"Up",9.66e+08,-3.63e+08,6.03e+08,-3.38e+08,-1.89e+08,-4.8e+07,-1.01e+08,2.65e+08,-2.8e+07,-3.2e+07,2.37e+08,-3000000.00000001,2.34e+08,-6.5e+07,1.69e+08,1.69e+08,1.69e+08,1.69e+08,7.37e+08,5.3e+08,2.07e+08,3.2e+08,3.2e+08,4.389e+09,4.089e+09,5.446e+09,3.79e+08,9.247e+09,2.091e+09,6.154e+09,3.91e+08,9.626e+09,1.5072e+10,3.29e+08,1.68e+08,1.61e+08,4.24e+09,2.04e+08,4.036e+09,4.723e+09,3.589e+09,1.025e+09,7.26e+08,1.42e+08,4.614e+09,9.337e+09,3.014e+09,-2.41e+08,3.787e+09,-8.25e+08,5.735e+09,5.735e+09,1.5072e+10,1.69e+08,4.8e+07,-1e+06,-1.21e+08,9.5e+07,-3.8e+07,4.5e+07,3.1e+07,4.85e+08,-1.7e+07,-3.58e+08,4.6e+07,1.72e+08,1.72e+08,5e+06,1.77e+08,3.13e+08,3.743e+09,2.19e+08,0.62422,0.27433,0.17495,0.02947,0.01121,1.29586,1.15308,1.62807,0.24834,0.33794,0.33137,1.93167,11.46807,0.43793,0.02218,0.02085,9.60383,11.3434
"32","2018_Q1",24.9195081967213,"Up",1.019e+09,-3.88e+08,6.31e+08,-3.66e+08,-2.08e+08,-4.8e+07,-1.1e+08,2.65e+08,-3e+07,-3.5e+07,2.35e+08,-2.4e+07,2.11e+08,3.5e+07,2.46e+08,2.46e+08,2.46e+08,2.46e+08,6.12e+08,3.77e+08,2.35e+08,3.56e+08,3.56e+08,4.542e+09,4.542e+09,5.51e+09,4e+08,9.444e+09,2.468e+09,6.586e+09,3.9e+08,9.844e+09,1.5354e+10,4.75e+08,1.77e+08,2.98e+08,4.279e+09,1.61e+08,4.118e+09,5.234e+09,3.727e+09,5.13e+08,2.25e+08,1.62e+08,4.24e+09,9.474e+09,3.026e+09,-2.47e+08,3.963e+09,-8.62e+08,5.88e+09,5.88e+09,1.5354e+10,2.46e+08,4.8e+07,3.1e+07,-2.5e+07,3e+08,-4.2e+07,2.1e+07,-8.17e+08,5.95e+08,-7e+06,-1.6e+08,3.65e+08,-1.52e+08,-1.52e+08,0,-1.52e+08,3.13e+08,4.207e+09,2.11e+08,0.61923,0.26006,0.24141,0.04184,0.01602,0.85772,1.05273,1.61122,0.274,0.49139,0.47296,2.03548,11.74543,0.42148,0.02915,0.01991,11.48562,13.56604
"33","2018_Q2",27.86765625,"Up",1.151e+09,-4.85e+08,6.66e+08,-3.83e+08,-2.28e+08,-5.3e+07,-1.02e+08,2.83e+08,-3.4e+07,-3.6e+07,2.49e+08,-1e+07,2.39e+08,-6.2e+07,1.77e+08,1.77e+08,1.77e+08,1.77e+08,6.29e+08,4.05e+08,2.24e+08,4.86e+08,4.86e+08,4.523e+09,4.255e+09,5.638e+09,3.84e+08,9.768e+09,2.432e+09,6.549e+09,3.71e+08,1.0152e+10,1.579e+10,4.76e+08,2.37e+08,2.39e+08,4.6e+09,3.86e+08,4.214e+09,6.036e+09,3.155e+09,8.74e+08,6e+08,1.68e+08,4.029e+09,1.0065e+10,2.928e+09,-2.89e+08,4.146e+09,-1.06e+09,5.725e+09,5.725e+09,1.579e+10,1.77e+08,5.3e+07,7e+06,1.38e+08,3.75e+08,-1.6e+07,8e+06,-8e+06,-1.15e+08,-9.9e+07,-6e+07,-3.37e+08,3e+07,3e+07,0,3e+07,3.36e+08,4.115e+09,5.2e+08,0.57863,0.24587,0.15378,0.03092,0.01121,2.93785,0.93406,1.75808,0.26061,0.35346,0.34913,2.29849,11.43252,1.03841,0.0224,0.04853,10.375,12.31802
"34","2018_Q3",28.6812698412698,"Up",1.027e+09,-4.12e+08,6.15e+08,-3.57e+08,-2.08e+08,-5.3e+07,-9.6e+07,2.58e+08,-2.1e+07,-3.4e+07,2.37e+08,5.1e+07,2.88e+08,-1.26e+08,1.62e+08,1.62e+08,1.62e+08,1.62e+08,6.35e+08,3.22e+08,3.13e+08,4.05e+08,4.05e+08,4.687e+09,4.687e+09,5.727e+09,3.7e+08,9.044e+09,2.351e+09,6.355e+09,3.38e+08,9.414e+09,1.5141e+10,5.14e+08,1.74e+08,3.4e+08,4.866e+09,3.1e+08,4.556e+09,6.148e+09,3.079e+09,3.72e+08,98999999.9999999,1.77e+08,3.451e+09,9.599e+09,2.714e+09,-2.9e+08,4.309e+09,-1.191e+09,5.542e+09,5.542e+09,1.5141e+10,1.62e+08,5.3e+07,-8e+06,7.2e+07,2.79e+08,-2.9e+07,-1.07e+08,1.59e+08,0,-2.31e+08,-1.94e+08,-4.98e+08,-6e+07,-6e+07,-1.3e+07,-7.3e+07,3.11e+08,3.847e+09,4.8e+08,0.59883,0.25122,0.15774,0.02923,0.0107,2.96296,0.93152,1.73205,0.25408,0.3258,0.32258,2.06538,11.14543,0.96532,0.02408,0.04918,10.32797,12.44961
"35","2018_Q4",26.6720634920635,"Down",9.63e+08,-3.62e+08,6.01e+08,-3.48e+08,-1.98e+08,-5.3e+07,-9.7e+07,2.53e+08,-2.9e+07,-3.4e+07,2.24e+08,-1.5e+07,2.09e+08,-4.6e+07,1.63e+08,1.63e+08,1.63e+08,1.63e+08,5.26e+08,3.24e+08,2.02e+08,3.56e+08,3.56e+08,4.575e+09,4.575e+09,5.457e+09,3.71e+08,9.027e+09,2.328e+09,6.369e+09,3.3e+08,9.398e+09,1.4855e+10,3.42e+08,1.76e+08,1.66e+08,4.649e+09,2.57e+08,4.392e+09,5.799e+09,3.072e+09,3.82e+08,1.37e+08,1.54e+08,3.454e+09,9.253e+09,2.678e+09,-2.91e+08,4.399e+09,-1.184e+09,5.602e+09,5.602e+09,1.4855e+10,1.63e+08,5.3e+07,4.5e+07,-2.47e+08,1.4e+07,-2.7e+07,9.8e+07,7.6e+07,0,-5.4e+07,5.5e+07,-7.1e+07,1.9e+07,1.9e+07,1e+06,2e+07,3.06e+08,3.88e+09,7.8e+07,0.62409,0.26272,0.16926,0.0291,0.01097,0.47853,0.94102,1.65173,0.26119,0.33084,0.32478,1.95461,11.37042,0.15832,0.02382,0.00791,10.96078,13.25692
"36","2019_Q1",26.7977049180328,"Up",1.136e+09,-4.92e+08,6.44e+08,-3.89e+08,-2.35e+08,-5.1e+07,-1.03e+08,2.55e+08,-3.1e+07,-3.6e+07,2.24e+08,1.04e+08,3.28e+08,-3.72e+08,-4.4e+07,-4.4e+07,-4.4e+07,-4.4e+07,8.13e+08,5.45e+08,2.68e+08,3.84e+08,3.84e+08,5.173e+09,5.173e+09,6.37e+09,3.76e+08,8.954e+09,2.3e+09,6.363e+09,2.91e+08,9.33e+09,1.57e+10,5.06e+08,1.98e+08,3.08e+08,5.189e+09,1.94e+08,4.995e+09,6.57e+09,2.956e+09,7.25e+08,5.01e+08,2.24e+08,3.681e+09,1.0251e+10,2.718e+09,-2.97e+08,4.558e+09,-1.53e+09,5.449e+09,5.449e+09,1.57e+10,-44000000.0000001,5.1e+07,2.13e+08,1.4e+08,3.6e+08,-3.9e+07,-2.5e+07,-3.1e+07,-2.05e+08,-1e+07,1.66e+08,-1.21e+08,2.08e+08,2.08e+08,2e+06,2.1e+08,3.06e+08,3.831e+09,7.79e+08,0.5669,0.22447,-0.03873,-0.00807,-0.0028,-17.70455,0.96956,1.88126,0.24401,-0.08916,-0.08778,2.30191,11.04147,1.57851,0.0028,0.07786,9.86275,11.83529
"37","2019_Q2",28.9753968253968,"Up",1.039e+09,-4.05e+08,6.34e+08,-3.5e+08,-2.01e+08,-4.8e+07,-1.01e+08,2.84e+08,1.1e+07,-3.4e+07,2.95e+08,1.8e+07,3.13e+08,-6.6e+07,2.47e+08,2.47e+08,2.47e+08,2.47e+08,6.92e+08,4.72e+08,2.2e+08,4.47e+08,4.47e+08,3.597e+09,3.597e+09,4.736e+09,3.7e+08,9.397e+09,2.329e+09,6.38e+09,6.88e+08,9.767e+09,1.4503e+10,4.05e+08,2.18e+08,1.87e+08,3.997e+09,4.02e+08,3.595e+09,5.641e+09,2.328e+09,1.04e+09,5.03e+08,5.37e+08,3.368e+09,9.009e+09,2.734e+09,-3.27e+08,4.732e+09,-1.645e+09,5.494e+09,5.494e+09,1.4503e+10,2.47e+08,4.8e+07,-7.2e+07,1.14e+08,3.37e+08,-2e+07,3.1e+07,-7.4e+07,-5e+08,0,2.71e+08,-3.02e+08,-3.9e+07,-3.9e+07,-8e+06,-4.7e+07,3.32e+08,3.567e+09,4.92e+08,0.6102,0.27334,0.23773,0.04496,0.01703,1.9919,0.83957,1.63979,0.24595,0.49795,0.49293,2.09462,11.0759,0.99187,0.03168,0.04871,8.65964,10.12324
"38","2019_Q3",31.59484375,"Up",1.061e+09,-4.38e+08,6.23e+08,-3.62e+08,-2.19e+08,-4.8e+07,-9.5e+07,2.61e+08,-1.7e+07,-2.8e+07,2.44e+08,-5e+06,2.39e+08,-64999999.9999999,1.74e+08,1.74e+08,1.74e+08,1.74e+08,5.92e+08,3.33e+08,2.59e+08,4.15e+08,4.15e+08,3.356e+09,3.356e+09,4.363e+09,3.9e+08,9.379e+09,2.304e+09,6.382e+09,6.93e+08,9.769e+09,1.4132e+10,2.68e+08,1.49e+08,1.19e+08,3.796e+09,3.33e+08,3.463e+09,4.531e+09,3.022e+09,1.028e+09,5.1e+08,5.18e+08,4.05e+09,8.581e+09,2.715e+09,-3.27e+08,4.829e+09,-1.666e+09,5.551e+09,5.551e+09,1.4132e+10,1.74e+08,4.8e+07,40000000.0000001,-7.6e+07,1.86e+08,-4.3e+07,-3.55e+08,-8.9e+07,1.46e+08,-3.9e+07,-3.01e+08,-2.71e+08,-1.74e+08,-1.74e+08,-2e+06,-1.76e+08,3.09e+08,3.489e+09,2.55e+08,0.58718,0.24599,0.164,0.03135,0.01231,1.46552,0.96292,1.54585,0.24689,0.35025,0.34722,2.1357,11.17367,0.51329,0.02493,0.02533,9.3754,11.09962
"39","2019_Q4",32.5403125,"Up",1.097e+09,-4.65e+08,6.32e+08,-3.65e+08,-2.22e+08,-4.7e+07,-9.6e+07,2.67e+08,-1.1e+07,-2.7e+07,2.56e+08,-4.1e+07,2.15e+08,-6.5e+07,1.5e+08,1.5e+08,1.5e+08,1.5e+08,5.05e+08,3.04e+08,2.01e+08,3.99e+08,3.99e+08,2.595e+09,2.595e+09,3.499e+09,3.61e+08,9.12e+09,2.239e+09,6.232e+09,6.49e+08,9.481e+09,1.298e+10,2.83e+08,1.46e+08,1.37e+08,2.87e+09,2.67e+08,2.603e+09,3.692e+09,2.939e+09,1.022e+09,5.25e+08,4.97e+08,3.961e+09,7.653e+09,2.587e+09,-3.28e+08,4.901e+09,-1.833e+09,5.327e+09,5.327e+09,1.298e+10,1.5e+08,4.7e+07,1.3e+07,-1.09e+08,1.01e+08,-2.5e+07,-6.3e+07,3.2e+07,7.2e+07,-1.49e+08,-1e+06,-1.56e+08,-2.3e+07,-2.3e+07,-7e+06,-3e+07,3.14e+08,3.478e+09,2.45e+08,0.57612,0.24339,0.13674,0.02816,0.01156,1.63333,0.94772,1.43664,0.26795,0.30429,0.29937,2.22534,10.8062,0.497,0.0232,0.02493,9.46815,11.13483
"40","2020_Q1",33.958064516129,"Up",1.061e+09,-4.15e+08,6.46e+08,-3.72e+08,4.78e+08,-4.7e+07,-8.03e+08,2.74e+08,-8e+06,-2.5e+07,2.66e+08,-1.4e+07,2.52e+08,-4.9e+07,2.03e+08,2.03e+08,2.03e+08,2.03e+08,6.23e+08,3.32e+08,2.91e+08,4.22e+08,4.22e+08,3.245e+09,3.245e+09,4.29e+09,3.84e+08,9.25e+09,2.249e+09,6.366e+09,6.35e+08,9.634e+09,1.3924e+10,3.36e+08,1.48e+08,1.88e+08,3.5e+09,2.11e+08,3.289e+09,4.227e+09,2.996e+09,1.062e+09,5.52e+08,5.1e+08,4.058e+09,8.285e+09,2.634e+09,-3.36e+08,5.027e+09,-1.686e+09,5.639e+09,5.639e+09,1.3924e+10,2.03e+08,4.7e+07,6.6e+07,2.3e+07,3.39e+08,-3.9e+07,3.73e+08,-2.83e+08,-1.48e+08,-1.2e+07,-1.506e+09,-1.743e+09,-1.687e+09,-1.687e+09,-1.71e+08,-1.858e+09,3.21e+08,3.387e+09,3.54e+08,0.60886,0.25825,0.19133,0.036,0.01458,1.74384,1.0149,1.46923,0.24325,0.41143,0.40569,2.1504,11.42893,0.71748,0.02776,0.03509,8.61059,10.08759
"41","2020_Q2",35.8946031746032,"Up",1.353e+09,-6.52e+08,7.01e+08,-4.07e+08,-7e+07,-4.8e+07,-2.89e+08,2.94e+08,-2e+06,-2.4e+07,2.92e+08,-1.9e+07,2.73e+08,-7e+07,2.03e+08,2.03e+08,2.03e+08,2.03e+08,1.269e+09,1.015e+09,2.54e+08,5.68e+08,5.68e+08,3.433e+09,3.433e+09,5.27e+09,3.75e+08,9.153e+09,2.2e+09,6.326e+09,6.27e+08,9.528e+09,1.4798e+10,3.15e+08,1.83e+08,1.32e+08,3.989e+09,4.16e+08,3.573e+09,5.45e+09,2.962e+09,9.88e+08,5.07e+08,4.81e+08,3.95e+09,9.4e+09,2.529e+09,-3.64e+08,5.14e+09,-1.909e+09,5.396e+09,5.398e+09,1.4798e+10,2.03e+08,4.8e+07,3.4e+07,9.5e+07,3.8e+08,-2.6e+07,7e+06,-1.54e+08,6.94e+08,-1.22e+08,-2.6e+07,4.68e+08,6.94e+08,6.94e+08,-1.2e+07,6.82e+08,3.42e+08,4.108e+09,4.81e+08,0.51811,0.21729,0.15004,0.03761,0.01372,2.36946,0.96697,1.74139,0.27761,0.41044,0.40573,2.73559,10.91,0.97252,0.02678,0.04584,8.30117,9.65646
"42","2020_Q3",41.28609375,"Up",1.398e+09,-6.99e+08,6.99e+08,-3.68e+08,-3e+07,-5e+07,-2.88e+08,3.31e+08,1e+06,-2.5e+07,3.32e+08,-1.6e+07,3.16e+08,-7.5e+07,2.41e+08,2.41e+08,2.41e+08,2.41e+08,9.17e+08,7.11e+08,2.06e+08,5.23e+08,5.23e+08,3.276e+09,3.276e+09,4.716e+09,3.96e+08,9.447e+09,2.215e+09,6.488e+09,7.44e+08,9.843e+09,1.4559e+10,2.78e+08,1.29e+08,1.49e+08,3.971e+09,3.51e+08,3.62e+09,4.249e+09,3.482e+09,1.071e+09,5.06e+08,5.65e+08,4.553e+09,8.802e+09,2.535e+09,-3.67e+08,5.301e+09,-1.715e+09,5.754e+09,5.757e+09,1.4559e+10,2.41e+08,5e+07,9e+06,1.41e+08,4.41e+08,-4.2e+07,-12000000.0000001,9e+06,-6.63e+08,-3e+07,11000000.0000002,-7.62e+08,-3.12e+08,-3.12e+08,9e+06,-3.03e+08,3.81e+08,3.482e+09,5.55e+08,0.5,0.23677,0.17239,0.04186,0.01655,2.3029,1.10991,1.52892,0.23916,0.48954,0.48372,2.83976,11.68812,1.12737,0.03113,0.05383,6.73228,7.74924
"43","2020_Q4",41.16515625,"Down",1.412e+09,-6.97e+08,7.15e+08,-3.76e+08,-1.9e+07,-5.1e+07,-3.06e+08,3.39e+08,3e+07,-2.4e+07,3.69e+08,-1.3e+07,3.56e+08,-9.2e+07,2.64e+08,2.64e+08,2.64e+08,2.64e+08,7.61e+08,5.84e+08,1.77e+08,5.04e+08,5.04e+08,3.545e+09,3.545e+09,4.81e+09,4.35e+08,9.586e+09,2.218e+09,6.6e+09,7.68e+08,1.0021e+10,1.4831e+10,3.29e+08,1.45e+08,1.84e+08,3.832e+09,2.9e+08,3.542e+09,4.161e+09,3.571e+09,1.085e+09,5.13e+08,5.72e+08,4.656e+09,8.817e+09,2.526e+09,-3.67e+08,5.484e+09,-1.632e+09,6.011e+09,6.014e+09,1.4831e+10,2.64e+08,5.1e+07,5e+06,-3.24e+08,-4e+06,-6e+07,1.3e+07,-1.2e+07,0,-3.4e+07,1e+06,-1.14e+08,-1.3e+08,-1.3e+08,6e+06,-1.24e+08,3.9e+08,3.571e+09,9.8e+07,0.50637,0.24008,0.18697,0.0439,0.0178,0.37121,1.15597,1.46608,0.24078,0.53603,0.52541,2.86697,12.20492,0.19898,0.03233,0.00918,7.20513,8.28909
