"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",6.66734375,"Down",76814000,-58635000,18179000,-24768000,-12160000,-12227000,-6589000,-70000,-185000,-251000,66000,115000,-6659000,-1927000,-8586000,-777000,-9363000,-9363000,-9363000,-9363000,70564000,43656000,78898000,78898000,63687000,10285000,10285000,2368671.93514944,223434000,70818000,18145000,16309000,1836000,88963000,312397000,62873000,54919000,10570000,97403000,26390000,8772000,8772000,35162000,132565000,444630000,-277970000,13172000,179832000,179832000,312397000,-9363000,5351000,1395000,1716000,-901000,-3801000,9778000,8006000,-2277000,1548000,1548000,-1132000,5973000,5973000,125000,6098000,-1238000,36960000,-2546000,0.23666,-0.08578,-0.12189,-0.05207,-0.02997,0.27192,2.29391,0.73716,0.11831,-0.30024,-0.30024,2.46317,5.76662,-0.08164,-0.04151,-0.01129,27.1437800000001,5.10002
"12","2014_Q1",7.44770491803279,"Up",74375000,-54739000,19636000,-25122000,-11886000,-12832000,-5486000,1457000,-161000,-240000,79000,1618000,-4029000,-89000,-4118000,-334000,-4452000,-4452000,-4452000,-4452000,75017000,57101000,64533000,64533000,64908000,12115000,9977000,2138000,216573000,68851000,16803000,15005000,1798000,85654000,302227000,58307000,48569000,10325000,92275000,24150000,8991000,7987000,33141000,125416000,447546000,-282422000,11687000,176811000,176811000,302227000,-4452000,5518000,4491000,3961000,9518000,-5220000,8836000,3140000,-68000,1170000,1170000,1020000,13678000,13678000,-233000,13445000,32000.0000000005,34475000,-893000,0.26401,-0.07376,-0.05986,-0.02518,-0.01473,0.20058,2.34704,0.70932,0.11407,-0.14151,-0.14151,2.36404,5.62001,-0.02838,-0.02021,-0.00405,-1266.9375,7.39008
"13","2014_Q2",5.29349206349206,"Down",68168000,-54368000,13800000,-24833000,-12398000,-12056000,-11033000,-793000,-186000,-251000,65000,-607000,-11826000,3596566.52378846,-11826000,-762000,-12588000,-12588000,-12588000,-12588000,61341000,53056000,70647000,70647000,67949000,15456000,12503000,2953000,215393000,66115000,15792000,13972000,1820000,81907000,297300000,68055000,56845000,10395000,104696000,19145000,8649000,7444000,27794000,132490000,449611000,-295010000,10209000,164810000,164810000,297300000,-12588000,5528000,2384000,-2681000,-7357000,-2070000,9579000,6630000,-3427000,303000,303000,-3204000,-3931000,-3931000,-114000,-4045000,-5505000,29540000,-9494000,0.20244,-0.16185,-0.18466,-0.07638,-0.04234,0.75421,2.05732,0.8039,0.09936,-0.39823,-0.39823,2.15653,5.21386,-0.30035,-0.06201,-0.04677,5.77674999999977,2.88235
"14","2014_Q3",3.1221875,"Down",77451000,-62883000,14568000,-24228000,-11764000,-12085000,-9660000,-908000,-273000,-311000,38000,-635000,-10568000,3886000,-6682000,-96999.9999999999,-6779000,-6779000,-6779000,-6779000,28043000,28043000,79248000,79248000,63992000,26201000,13815000,12386000,197484000,66038000,28869000,12956000,15913000,94907000,292391000,74433000,54347000,10465000,103234000,17465000,9342000,8121000,26807000,130041000,453168000,-301789000,10971000,162350000,162350000,292391000,-6779000,5933000,3444000,-15548000,-12950000,-3837000,-150000,-19126000,7139000,1683000,1683000,6831000,-25245000,-25245000,232000,-25013000,-3727000,27930000,-23015000,0.18809,-0.12472,-0.08753,-0.04176,-0.02318,3.39504,1.91297,0.80099,0.09552,-0.21324,-0.21324,2.43633,5.10695,-0.72397,-0.03396,-0.11529,0.03032,0.0117
"15","2014_Q4",3.1965625,"Up",81576000,-61512000,20064000,-22007000,-9787000,-11842000,-1943000,1412000,-323000,-375000,52000,1735000,-531000,-504000,-1035000,-902000,-1937000,-1937000,-1937000,-1937000,35269000,35269000,79174000,79174000,58819000,24231000,13830000,10401000,197493000,62352000,25809000,11600000,14209000,88161000,285654000,73055000,52378000,10198000,102255000,15448000,8799000,7634000,24247000,126502000,454189000,-303726000,8689000,159152000,159152000,285654000,-1937000,6031000,-1847000,6632000,8879000,-3209000,-1000,557000,-1287000,6000,6000,-1565000,7871000,7871000,-645000,7226000,4088000,25646000,8413000,0.24595,-0.02382,-0.02374,-0.01217,-0.00678,-4.34331,1.93138,0.79485,0.08978,-0.05982,-0.05982,2.5191,4.91468,0.2598,-0.01001,0.04346,-2.35395999999999,4.95265
"16","2015_Q1",4.02229508196721,"Up",78982000,-56296000,22686000,-21688000,-11346000,-9976000,998000.000000001,2221000,-298000,-332000,34000,2519000,3219000,-876000,2343000,-758000,1585000,1585000,1585000,1585000,43035000,43035000,77597000,77597000,57347000,21044000,15540000,5504000,199023000,57657000,29604000,10263000,19341000,87261000,286284000,71720000,48949000,2445000,96893000,20891000,9044000,7226000,29935000,126828000,456271000,-302141000,5326000,159456000,159456000,286284000,1585000,5911000,4612000,-1131000,10977000,-1902000,-7999.99999999953,-2006000,415000,569000,569000,967000,9938000,9938000,-2172000,7766000,6909000,23336000,4634000,0.28723,0.01264,0.02007,0.00994,0.00554,2.92366,2.05405,0.79538,0.08151,0.04854,0.04854,2.41883,4.88335,0.14192,0.00826,0.02416,-2.85121,-19.73848
"17","2015_Q2",7.58015873015873,"Up",81384000,-57331000,24053000,-22871000,-11940000,-10482000,1182000,-522000,-476000,-506000,30000,-46000,660000,-146000,514000,-414000,1e+05,1e+05,1e+05,1e+05,70298000,62002000,85803000,85803000,64729000,18094000,14088000,4006000,238924000,61853000,17073000,13787000,2145000,78926000,317850000,78585000,55664000,16138000,118650000,27115000,9450000,7627000,36565000,155215000,458665000,-302041000,6011000,162635000,162635000,317850000,1e+05,6306000,3625000,-2585000,7446000,-2057000,4872032.71184066,6911000,4536000,20000,20000,4138000,18495000,18495000,472000,18967000,7488000,43253000,3260000,0.29555,0.01452,0.00123,0.000610000000000003,0.000310000000000001,32.6,2.01369,0.95438,0.13608,0.00305,0.00303,2.48273,4.96141,0.09945,0.00046,0.01514,-3.61178,-22.88071
"18","2015_Q3",7.74078125,"Up",85372000,-59226000,26146000,-23230000,-11325000,-11457000,2916000,169000,-433000,-456000,23000,602000,3085000,-167000,2918000,-1127000,1791000,1791000,1791000,1791000,100431000,92135000,79389000,79389000,69655000,15997000,12036000,3961000,265472000,61832000,15686000,12441000,2130000,77518000,342990000,73819000,55636000,16543000,110174000,10925000,9269000,7482000,20194000,130368000,506961000,-300250000,5911000,212622000,212622000,342990000,1791000,5740000,3328000,-3183000,7676000,-3479000,-9000,-3436000,-20978000,47279000,47279000,26528000,30768000,30768000,-635000,30133000,8656000,27468000,3121000,0.30626,0.03416,0.02098,0.00842,0.00522,1.74260000000001,2.40957,0.61314,0.08008,0.05019,0.04802,2.39244,5.95847,0.08746,0.00718,0.01252,-8.42918,-25.0216
"19","2015_Q4",9.03828125,"Up",83560000,-59788000,23772000,-22383000,-11173000,-10763000,1389000,1712000,-140000,-171000,31000,1852000,3101000,-566000,2535000,-1157000,1378000,1378000,1378000,1378000,100552000,77250000,77830000,77830000,70747000,13785000,10723000,3062000,262914000,62470000,16027000,11169000,3743000,78497000,341411000,64661000,54465000,24563000,110630000,11005000,9355000,7547000,20360000,130990000,508070000,-298872000,1223000,210421000,210421000,341411000,1378000,5465000,1954000,-2807000,5990000,-5315000,-14989000,-19540000,-281000,-467000,-467000,-1245000,-14795000,-14795000,-90000,-14885000,6854000,35568000,-111000,0.28449,0.01662,0.01649,0.00655,0.00404,-0.08055,2.37652,0.62251,0.10418,0.03414,0.03264,2.07001,5.2127,-0.00275,0.0054,-0.00043,-9.48118,-46.78474
"20","2016_Q1",10.3483606557377,"Up",89123000,-64013000,25110000,-25298000,-13020000,-11831000,-188000,1460000,-73000,-110000,37000,1533000,1272000,-467000,805000,-406000,399000,399000,399000,399000,99382000,76088000,83161000,83161000,65602000,15053000,12393000,2660000,263198000,62618000,16062000,9852000,5095000,78680000,341878000,83277000,50620000,760000,111987000,10759000,7476000,7476000,18235000,130222000,511852000,-298473000,-1723000,211656000,211656000,341878000,399000,5364000,3266000,-4003000,5026000,-5741000,-29000.0000000019,-5841000,-1292000,1533000,1533000,201999.999999996,-613000,-613000,-549000,-1162000,5176000,11519000,-4162000,0.28175,-0.00211,0.00448,0.00189,0.00117,-10.43108,2.35025,0.61525,0.03369,0.00977,0.00945,2.18155,5.18092,-0.10188,0.00173,-0.01804,-16.97508,467.35638
"21","2016_Q2",10.88578125,"Up",99145000,-68023000,31122000,-26420000,-13015000,-12952000,4702000,-1351000,-47000,-102000,55000,-1304000,3351000,-853388.844640398,3351000,-1041000,2310000,2310000,2310000,2310000,101103000,62739000,87174000,87174000,62525000,17694000,15035000,2659000,268496000,66078000,14709000,8699000,4895000,80787000,349283000,87754000,55104000,815000,109925000,11318000,7953000,7953000,19271000,129196000,515880000,-296163000,370000,220087000,220087000,349283000,2310000,5453000,4471000,-7050000,5184000,-4644000,-15029000,-19655000,-280000,1233000,1233000,919000,-13552000,-13552000,203000,-13349000,10155000,12133000,-498000,0.3139,0.04743,0.0233,0.0105,0.00661,-0.21558,2.44254,0.58702,0.03474,0.05618,0.05292,2.41106,5.35218,-0.01211,0.00962,-0.00207,-8.7612,-18.9217400000001
"22","2016_Q3",14.0740625,"Up",99129000,-71600000,27529000,-23888000,-11648000,-11780000,3641000,436000,-22000,-99000,77000,458000,4077000,-775000,3302000,-626000,2676000,2676000,2676000,2676000,110903000,82476000,86859000,86859000,61515000,15990000,13410000,2580000,275267000,76625000,13531000,7528000,4888000,90156000,365423000,96522000,64133000,892000,119333000,12144000,8456000,8456000,20600000,139933000,520353000,-293487000,-1376000,225490000,225490000,365423000,2676000,5684000,2935000,6699000,17994000,-9932000,9904000,-27000,-233000,2305000,2305000,2029000,19996000,19996000,-259000,19737000,9325000,13036000,6718000,0.27771,0.03673,0.027,0.01187,0.00732,2.51046,2.30671,0.62057,0.03567,0.06432,0.06022,2.38274,5.42004,0.16148,0.01083,0.0272,-10.49512,-26.87915
"23","2016_Q4",13.3331746031746,"Down",103312000,-75863000,27449000,-33694000,-15758000,-17474000,-6245000,10000,-8000,-103000,95000,18000,-6235000,-148000,-6383000,-804000,-7187000,-7187000,-7187000,-7187000,100095000,71625000,95677000,95677000,60219000,17745000,14932000,2813000,273736000,95846000,15004000,6217000,7672000,110850000,384586000,107849000,76341000,908000,136941000,12116000,9044000,9044000,21160000,158101000,528557000,-300674000,-1398000,226485000,226485000,384586000,-7187000,5784000,7008000,-2066000,3539000,-15247000,-43000,-15535000,-494000,1545000,1545000,533000,-11463000,-11463000,612000,-10851000,-461000,13024000,-16970000,0.26569,-0.06045,-0.06957,-0.03173,-0.01869,2.36121,1.99893,0.69806,0.03386,-0.17094,-0.19592,2.45729,5.38698,-0.40363,-0.02892,-0.06828,188.87419,13.94251
"24","2017_Q1",10.4243548387097,"Down",109837000,-78804000,31033000,-27987000,-12583000,-15170000,3046000,1278000,-22000,-98000,76000,1300000,4324000,-1202000,3122000,-1126000,1996000,1996000,1996000,1996000,101515000,82500000,80610000,80610000,48237000,40434000,22396000,4085000,270796000,106867000,13224000,5562000,6547000,120091000,390887000,114956000,84766000,747000,146328000,10215000,8939000,8939000,19154000,165482000,532484000,-298678000,-8401000,225405000,225405000,390887000,1996000,5479000,3918000,15726000,27119000,-21691000,9429000,-12596000,-1285000,1340000,1340000,35000.0000000002,14558000,14558000,-2258000,12300000,8525000,10962000,3686000,0.28254,0.02773,0.01817,0.00886,0.00511,1.84669,1.85061,0.73415,0.02804,0.04705,0.04705,2.58897,5.31302,0.0868799999999999,0.00814,0.01503,-10.62205,-29.7285
"25","2017_Q2",8.44968253968254,"Down",71688000,-53185000,18503000,-32020000,-16358000,-15544000,-13517000,185000,-64000,-137000,73000,249000,-13332000,1643000,-11689000,167000,-11522000,-11522000,-11522000,-11522000,87746000,81699000,70877000,70877000,69159000,30511000,26797000,3714000,258293000,122208000,12768000,5204000,6449000,134976000,393269000,112234000,82750000,5263000,155136000,6028000,12836000,12836000,18864000,1.74e+08,535399000,-310200000,-5930000,219269000,219269000,393269000,-11522000,6185000,471000,-13882000,-18748000,4175000,12938000,17729000,-1151000,499000,499000,-806000,-1825000,-1825000,653000,-1172000,-7332000,11291000,-17206000,0.2581,-0.18855,-0.16072,-0.05255,-0.0293,1.49332,1.66495,0.79355,0.02871,-0.27037,-0.27037,1.68222,5.14535,-0.40375,-0.04734,-0.07069,10.42758,5.65621
"26","2017_Q3",6.74777777777778,"Down",73214000,-56437000,16777000,-25963000,-11639000,-14206000,-9186000,-91000.0000000002,-80000,-111000,31000,-11000.0000000001,-9277000,-515000,-9792000,451000,-9341000,-9341000,-9341000,-9341000,75716000,73661000,56525000,56525000,81328000,40056000,36766000,3290000,253625000,125102000,12449000,4898000,6436000,137551000,391176000,104595000,80446000,5458000,150778000,10810000,13967000,13967000,24777000,175555000,539634000,-319541000,-4472000,215621000,215621000,391176000,-9341000,7113000,4300000,180000,2251999.99999999,-16988000,3984000,-12615000,-264000.000000001,2637000,2637000,1772000,-8591000,-8591000,129000,-8462000,-2073000,16268000,-19332000,0.22915,-0.12547,-0.12758,-0.04332,-0.02388,2.06959,1.68211,0.81418,0.04159,-0.21611,-0.21611,1.69387,4.98857,-0.44726,-0.03799,-0.07863,28.67728,6.47159
"27","2017_Q4",6.1084126984127,"Down",71121000,-60608000,10513000,-26489000,-11708000,-14662000,-15976000,-499000,-458000,-495000,37000,-41000,-16475000,-2907000,-19382000,1195000,-18187000,-18187000,-18187000,-18187000,70809000,58528000,67003000,67003000,82809000,37485000,34568000,2917000,258106000,127316000,12567000,4594000,6858000,139883000,397989000,89401000,69771000,5740000,139884000,41029000,14959000,14959000,55988000,195872000,542139000,-337728000,-2294000,202117000,202117000,397989000,-18187000,7332000,7638000,-21498000,-24715000,-6842000,-10223000,-16517000,25237000,432000,432000,25334000,-15898000,-15898000,392000,-15506000,-8644000,46769000,-38179000,0.14782,-0.22463,-0.25572,-0.08998,-0.0457,2.09925,1.84514,0.9691,0.11751,-0.41532,-0.41532,1.62414,4.6156,-0.87187,-0.06893,-0.1447,2.78112,1.50476
"28","2018_Q1",6.35065573770492,"Up",76871000,-61185000,15686000,-26500000,-12508000,-13875000,-10814000,-655000,-562000,-619000,57000,-93000,-11469000,-92000,-11561000,-2722000,-14283000,-14283000,-14283000,-14283000,91217000,78906000,67229000,67229000,67301000,38893000,36235000,2658000,264640000,127565000,10748000,4294000,5339000,138313000,402953000,104624000,69017000,6005000,153871000,40556000,14075000,14075000,54631000,208502000,546064000,-352011000,398000,194451000,194451000,402953000,-14283000,7720000,4819000,10188000,8444000,-5945000,-31000,-5911000,15502000,1208000,1208000,16802000,19335000,19335000,784000,20119000,-3094000,46561000,3871000,0.20406,-0.14068,-0.1858,-0.07345,-0.03545,-0.27102,1.71988,1.07226,0.11555,-0.32391,-0.32391,1.74326,4.40972,0.0877899999999999,-0.05599,0.01518,14.4331,4.12946
"29","2018_Q2",6.35859375,"Up",68586000,-59404000,9182000,-25781000,-11774000,-13888000,-16599000,-964000,-615000,-708000,93000,-349000,-17563000,-45000,-17608000,-638000,-18246000,-18246000,-18246000,-18246000,84218000,71867000,68173000,68173000,68971000,35028000,32306000,2722000,256390000,125311000,8420000,4017000,3288000,133731000,390121000,96824000,61331000,2981000,144741000,47271000,14389000,14389000,61660000,206401000,549300000,-372081000,6501000,183720000,183720000,390121000,-18246000,8005000,5575000,1210000,-3456000,-8284000,-37000,-6755000,2900000,124000,124000,2964000,-7247000,-7247000,272000,-6975000,-8594000,50252000,-15030000,0.13388,-0.24202,-0.26603,-0.09931,-0.04677,0.82374,1.77137,1.12345,0.12881,-0.41226,-0.41226,1.54965,4.15102,-0.33959,-0.07347,-0.06052,3.95229,2.04627
