"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_income","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2018_Q2",45.5328125,"Down",-42695000,-12751000,-29944000,-42695000,1139000,1173000,1173000,-41556000,-41556000,-41556000,-41556000,-41556000,-41556000,543586000,455637000,10264000,10264000,553850000,17414000,1120000,1120000,19526000,573376000,23303000,7360000,15943000,657000,657000,23960000,11652000,11652000,11652000,35612000,877602000,-339513000,537764000,537764000,573376000,-41556000,670000,7877000,-3757000,-36766000,-502000,41574000,254940000,254940000,-2583000,252357000,257165000,257165000,257165000,-42025000,0,-0.07728,-0.07248,23.11561,0.06622,0,-0.86992,-0.86992,11.25735,-0.07564,12.93482,12.73184
"12","2018_Q3",44.2936507936508,"Down",-42487000,-10914000,-31573000,-42487000,2119000,2114000,2114000,-40368000,-40368000,-40368000,-40368000,-40368000,-40368000,462484000,342103000,7051000,7051000,469535000,17097000,1119000,1119000,69703000,539238000,20297000,3429000,16868000,990000,990000,21287000,11398000,11398000,11398000,32685000,886676000,-379881000,506553000,506553000,539238000,-40368000,672000,7814000,-2252000,-34134000,-2798000,-80654000,179000,179000,1075000,1253999.99999994,-113534000,-113534000,-113534000,-41815000,3.63797880709171e-12,-0.07969,-0.07486,22.05736,0.06452,-3.3881317890172e-21,-0.77983,-0.77983,9.78558,-0.07794,11.06024,10.88531
"13","2018_Q4",37.4707936507937,"Down",-45476000,-12450000,-33026000,-45476000,2409000,2481000,2481000,-43067000,-43067000,-43067000,-43067000,-43067000,-43067000,383228000,194891000,8951000,8951000,392179000,16749000,2614000,2614000,118232000,510411000,25983000,4960000,21023000,944000,944000,26927000,11283000,11283000,11283000,38210000,895530000,-422948000,472201000,472201000,510411000,-43067000,1167000,6635000,4363000,-30902000,-1646000,-116790000,0,0,1969000,1969000,-145723000,-145723000,-145723000,-44309000,0,-0.0912,-0.08438,14.56453,0.08092,0,-0.82701,-0.82701,9.06766,-0.08908,8.64899,8.42704
"14","2019_Q1",49.1404918032787,"Up",-52084000,-15320000,-36764000,-52084000,2882000,2850000,3196000,-49202000,-49202000,-49202000,-49202000,-49202000,-49202000,477534000,275357000,8246000,6337000,485780000,14981000,2601000,2601000,131863000,617643000,32874000,6046000,26828000,899000,899000,33773000,11071000,11071000,11071000,44844000,1044997000,-472150000,572799000,572799000,617643000,-49202000,2098000,7138000,6393000,-33573000,197000,-28287000,149039000,149039000,-6713000,142326000,80466000,80466000,80466000,-49986000,-5.82076609134674e-11,-0.0859,-0.07966,14.38368,0.07829,0,-0.92847,-0.92847,10.80909,-0.08427,9.55335,9.16854
"15","2019_Q2",57.4666666666667,"Up",-52523000,-18055000,-34468000,-52523000,3600000,3650000,3650000,-48923000,-48923000,-48923000,-48923000,-48923000,-48923000,457267000,156836000,8222000,8222000,465489000,13090000,16670000,16670000,147571000,613060000,30732000,7346000,23386000,1359000,1359000,32091000,24431000,24431000,24431000,56522000,1077035000,-521073000,556538000,556538000,613060000,-48923000,2094000,8988000,-2475000,-40316000,-56000,-100651000,21207000,21207000,1239000,22446000,-118521000,-118521000,-118521000,-50429000,0,-0.08791,-0.0798,14.50528,0.10156,0,-0.87003,-0.87003,9.89725,-0.08421,9.06754,8.70603
"16","2019_Q3",52.11390625,"Down",-60802000,-24794000,-36008000,-60802000,3481000,3546000,3546000,-57321000,-57321000,-57321000,-57321000,-57321000,-57321000,658552000,338454000,8207000,8207000,666759000,12345000,16552000,16552000,102073000,768832000,38365000,6755000,31610000,1348000,1348000,39713000,24929000,24929000,24929000,64642000,1281393000,-578394000,704190000,704190000,768832000,-57321000,2093000,10421000,6870000,-37937000,-492000,25729000,192782000,192782000,1044000,193826000,181618000,181618000,181618000,-58709000,0,-0.0814,-0.07456,16.78944,0.0918,-8.67361737988404e-19,-1.01379,-1.01379,12.45438,-0.07862,11.21722,10.83109
"17","2019_Q4",59.2590625,"Up",-68742000,-29654000,-39088000,-68742000,4195000,4226000,4713000,-64547000,-64547000,-64547000,-64547000,-64547000,-64547000,603104000,267604000,12699000,12699000,615803000,14337000,17208000,17208000,111545000,727348000,39783000,7135000,32648000,1410000,1410000,41193000,28058000,28058000,28058000,69251000,1300060000,-642941000,658097000,658097000,727348000,-64547000,2107000,12053000,-3440000,-53827000,-650000,-22569000,5454000,5454000,92000,5546000,-70850000,-70850000,-70850000,-66635000,0,-0.09808,-0.08874,14.94921,0.10523,0,-1.0733,-1.0733,10.94296,-0.09407,9.05086,8.77344
"18","2020_Q1",66.9841935483871,"Up",-109577000,-44585000,-64992000,-107517000,3245000,3275000,3682000,-104272000,-95971000,-95975000,-95975000,-95975000,-95975000,609969000,302237000,14114000,9422000,627997000,27113000,55959000,55959000,168102000,796099000,69557000,10621000,58936000,1896000,1896000,71453000,72393000,72393000,145952000,217405000,1316856000,-738916000,578694000,578694000,796099000,-95975000,2311000,5201000,26126000,-62337000,-2217000,20630000,13857000,13857000,-9992000,76340000,34633000,34633000,34633000,-105206000,73559000,-0.16585,-0.12056,8.78895,0.37568,0.0924,-1.58966,-1.58966,9.58507,-0.13244,5.09866,4.98907
"19","2020_Q2",68.59,"Up",-87435000,-47662000,-39773000,-73452000,426000,542000,2856000,-73026000,-73026000,-73026000,-73026000,-73026000,-73026000,530820000,315525000,14144000,14144000,564469000,37329000,54970000,54970000,176677000,741146000,59527000,13696000,45831000,2721000,2721000,62248000,81638000,81638000,155326000,217574000,1334299000,-811942000,523572000,523572000,741146000,-73026000,2238000,17371000,-25205000,-78622000,-2524000,91126000,2968000,2968000,-2184000,784000,13288000,13288000,13288000,-71214000,73688000,-0.13948,-0.09853,9.06807,0.41556,0.09942,-1.20133,-1.20133,8.61312,-0.10757,6.41913,6.22355
"20","2020_Q3",63.55234375,"Down",-83159000,-49074000,-34085000,-52035000,-805000,-768000,1514000,-52840000,-52840000,-52840000,-52840000,-52840000,-52840000,540730000,384716000,13498000,13498000,594033000,39668000,54487000,54487000,127634000,721667000,65886000,5690000,60196000,3516000,3516000,69402000,82674000,82674000,156449000,225851000,1359371000,-864782000,495816000,495816000,721667000,-52840000,3339000,16910000,-14890000,-47481000,-1394000,108758000,8032000,8032000,-118000,7913999.99999999,69191000,69191000,69191000,-48696000,73775000,-0.10657,-0.07322,8.55931,0.45551,0.10223,-0.86457,-0.86457,8.11259,-0.08101,9.58919,8.97386
"21","2020_Q4",49.303125,"Down",-94687000,-54491000,-40196000,-58311000,-1570000,-1410000,881000,-59881000,-59881000,-59881000,-59881000,-59881000,-59881000,531925000,418402000,14801000,14801000,594664000,38697000,54628000,54628000,96600000,691264000,73301000,7882000,65419000,4645000,4645000,77946000,81783000,81783000,155663000,233609000,1381598000,-924663000,457655000,457655000,691264000,-59881000,1348000,2e+07,-2160000,-40693000,-272000,71818000,5574000,5574000,-2991000,2583000,33708000,33708000,33708000,-56963000,73880000,-0.13084,-0.08663,7.62918,0.51045,0.10688,-0.97243,-0.97243,7.43207,-0.09763,8.0411,7.85521
"22","2021_Q1",45.9622950819672,"Down",-100692000,-59624000,-41068000,-60358000,-2432000,-2339000,583000,-62790000,-61806000,-61806000,-61806000,-61806000,-61806000,560892000,494766000,13548000,13548000,632163000,37882000,53957000,53957000,91839000,724002000,74196000,19078000,55118000,4836000,4836000,79032000,79998000,79998000,228813000,307845000,1402324000,-986469000,416157000,416157000,724002000,-61806000,1398000,20354000,-5012000,-45066000,-4564000,45610000,1034000,1034000,5999.99999999953,75839000,76383000,76383000,76383000,-58960000,148815000,-0.14852,-0.08537,7.99882,0.73973,0.20555,-0.99924,-0.99924,6.72814,-0.09583,6.98909,6.82721
"23","2021_Q2",39.042380952381,"Down",-109823000,-58966000,-50857000,-71364000,-3443000,-3360000,329000,-74807000,-74807000,-74930000,-74930000,-74930000,-74930000,482046000,445310000,15554000,15554000,558132000,38050000,53716000,53716000,91766000,649898000,53930000,10376000,43554000,5037000,5037000,58967000,78684000,78684000,227736000,286703000,1424473000,-1061399000,363195000,363195000,649898000,-74930000,1404000,20897000,-26627000,-79256000,-1130000,28004000,3703000,3703000,-1923000,1780000,-49472000,-49472000,-49472000,-69960000,149052000,-0.20631,-0.1153,9.46516,0.78939,0.22935,-1.20658,-1.20658,5.84845,-0.1268,4.75978,4.66613
"24","2021_Q3",29.39296875,"Down",-112877000,-61093000,-51784000,-66070000,-3492000,-3513000,164000,-69562000,-69562000,-69592000,-69592000,-69592000,-69592000,437396000,419311000,19928000,19928000,524859000,36775000,53338000,53338000,90113000,614972000,67432000,9198000,58234000,5243000,5243000,72675000,77263000,77263000,226531000,299206000,1446455000,-1130991000,315766000,315766000,614972000,-69592000,1504000,22176000,1591000,-44321000,-790000,17746000,380000,380000,-87999.9999999991,292000.000000007,-26283000,-26283000,-26024000,-64566000,149268000,-0.22039,-0.11316,7.222,0.94756,0.24272,-1.12062,-1.12062,5.08471,-0.12833,4.46253,4.36095
"25","2021_Q4",30.9753125,"Up",-118516000,-67987000,-50529000,-67294000,-3847000,-3624000,85000,-71141000,-71141000,-70988000,-70988000,-70988000,-70988000,386074000,382869000,27384000,27384000,488864000,35415000,52707000,52707000,118814000,607678000,68604000,8642000,59962000,5454000,5454000,74058000,75812000,75812000,225320000,299378000,1510058000,-1201979000,308300000,308300000,607678000,-70988000,1500000,19024000,-14846000,-65310000,-260000,-16129000,46184000,46184000,-1092000,45092000,-36347000,-36347000,-36386000,-65794000,149508000,-0.23026,-0.11682,6.6011,0.97106,0.24603,-1.13673,-1.13673,4.93681,-0.13303,3.59556,3.51541
"26","2022_Q1",29.8954838709677,"Down",-137907000,-78942000,-58965000,-82962000,-4142000,-4250000,142000,-87104000,-87104000,-87581000,-87581000,-87581000,-87581000,684717000,684717000,30251000,30251000,801970000,34918000,52263000,52263000,137238000,939208000,82106000,15097000,67009000,5892000,5892000,87998000,74359000,74359000,654800000,742798000,1485870000,-1289560000,196410000,196410000,939208000,-87581000,1501000,20708000,-2554000,-67926000,-1053000,-17511000,2875000,2875000,-46827000,387171000,301734000,301734000,301833000,-81461000,580441000,-0.44591,-0.09325,9.1135,3.78187,0.61801,-1.36095,-1.36095,3.05209,-0.10289,1.28007,1.25691
"27","2022_Q2",29.273064516129,"Down",-127366000,-74533000,-52833000,-73261000,-7991000,-7705000,5e+05,-81252000,-81252000,-81423000,-81423000,-81423000,-81423000,553417000,391803000,32537000,32537000,675648000,33598000,51630000,51630000,193895000,869543000,71575000,5422000,66153000,7730000,7730000,79305000,75047000,75047000,656236000,735541000,1506947000,-1370983000,134002000,134002000,869543000,-81423000,1521000,22374000,-14325000,-71853000,-252000,-222500000,2583000,2583000,-981000,1602000,-292751000,-292751000,-292898000,-71740000,581189000,-0.60763,-0.09364,8.51961,5.48903,0.66838,-1.26259,-1.26259,2.07791,-0.10304,-0.38712,-0.37908
"28","2022_Q3",55.148125,"Up",-145864000,-81089000,-64775000,-75727000,-6552000,-6738000,1664000,-82279000,-82279000,-82470000,-82470000,-82470000,-82470000,517158000,261152000,27272000,27272000,640011000,32425000,51143000,51143000,230431000,870442000,86713000,8260000,78453000,6379000,6379000,93092000,77045000,77045000,658990000,752082000,1575786000,-1453453000,118360000,118360000,870442000,-82470000,1531000,19757000,16874000,-44308000,-384000,-134661000,48711000,48711000,-114000,48597000.0000001,-130372000,-130372000,-130671000,-74196000,581945000,-0.69677,-0.09474,6.87504,6.35419,0.66856,-1.25726,-1.25726,1.80441,-0.10609,-0.87319,-0.85553
