"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q3",9.37796875,"Up",6430000,-1740000,4690000,-4724000,-3856000,-868000,-34000,-23000,-57000,33000,-60000,-27000,-27000,-27000,-27000,3676000,3676000,5653000,5653000,1030000,915000,915000,11274000,3120000,6274000,-3154000,8039000,463000,11747000,23021000,2066000,1305000,761000,851000,5725000,5725000,8642000,607000,2941000,488000,3548000,12190000,189956000,39000,189917000,-169000,-178930000,-26000,10831000,10831000,23021000,-27000,283000,134000,-29000,361000,-388000,-846000,-209000,84000,84000,-125000,-610000,-610000,-610000,249000,1458000,-108000,0.72939,-0.00529,-0.0042,-0.00249,-0.00117,4,1.30456,1.12547,0.06333,-0.00691,-0.00691,1.64446,2.77,-0.02762,-0.00177,-0.00709,-8.90763,65.23529
"12","2013_Q4",9.7034375,"Up",8013000,-2402000,5611000,-5502000,-4431000,-1071000,109000,-20000,89000.0000000001,1e+05,-60000,40000,40000,40000,40000,3078000,3078000,7688000,7688000,1142000,775000,775000,12683000,3097000,6547000,-3450000,8099000,523000,11773000,24456000,2751000,1529000,1222000,850000,6081000,6081000,9682000,395000,3106000,466000,3501000,13183000,190358000,40000,190318000,-169000,-178890000,-26000,11273000,11273000,24456000,40000,301000,218000,-861000,-302000,-273000,-348000,-213000,263000,263000,52000,-598000,-598000,-598000,410000,1245000,-664000,0.70024,0.0136,0.00499,0.00355,0.00164,-16.6,1.30996,1.16943,0.05091,0.01016,0.01016,2.03477,2.8626,-0.16861,0.00256,-0.0425,-4.47073,-16.81651
"13","2014_Q1",10.1208196721311,"Up",6761000,-1869000,4892000,-5474000,-4313000,-1161000,-582000,-54000,-636000,-606000,-60000,-666000,-666000,-666000,-666000,3482000,3482000,6885000,6885000,1447000,805000,805000,12619000,3280000,6729000,-3449000,8049000,473000,11714000,24333000,2717000,1513000,1204000,857000,6470000,6470000,10044000,282000,3303000,445000,3585000,13629000,190693000,40000,190653000,-169000,-179556000,-264000,10704000,10704000,24333000,-666000,290000,251000,955000,830000,-358000,-358000,-216000,148000,148000,-68000,404000,404000,404000,-292000,1139000,365000,0.72356,-0.08608,-0.09851,-0.06222,-0.02737,-0.54805,1.25637,1.27326,0.04681,-0.16714,-0.16714,1.69672,2.68624,0.0916,-0.04397,0.0241,8.02397,4.02577
"14","2014_Q2",10.5979365079365,"Up",7206000,-1810000,5396000,-5572000,-4336000,-1236000,-176000,-17000,-193000,-620000,-69999.9999999999,-690000,-690000,-690000,-690000,3097000,3097000,6817000,6817000,1592000,1443000,1443000,12949000,3150000,6894000,-3744000,9293000,1717000,12851000,25800000,3840000,1697000,2143000,987000,6143000,6143000,10970000,618000,3535000,423000,4153000,15123000,191357000,40000,191317000,-169000,-180246000,-265000,10677000,10677000,25800000,-690000,301000,373000,54000,38000,-117000,-236000,-222000,35000,35000,-187000,-385000,-385000,-385000,125000,1605000,132000,0.74882,-0.02442,-0.09575,-0.06462,-0.02674,-0.1913,1.1804,1.41641,0.06221,-0.1727,-0.1727,1.80361,2.67238,0.03304,-0.04362,0.00834999999999999,-11.936,8.47727
"15","2014_Q3",10.4565625,"Down",8878000,-2379000,6499000,-7081000,-5688000,-1393000,-582000,-84000,-666000,3e+05,-1171000,-871000,-871000,-871000,-871000,4365000,4365000,9864000,9864000,2086000,1974000,1974000,18289000,3397000,7446000,-4049000,14998000,3583000,18395000,36684000,5145000,2640000,2505000,3357000,7637000,7637000,16139000,2146000,6021000,461000,8167000,24306000,193690000,43000,193647000,-169000,-181133000,-10000,12378000,12378000,36684000,-871000,373000,3000,-792000,-1287000,-249000,1032000,1381000,179000,179000,1532000,1277000,1277000,1268000,-209000,5503000,-79000,0.73203,-0.06556,-0.09811,-0.07037,-0.02374,0.0907,1.13322,1.96365,0.15001,-0.20727,-0.20727,2.11269,2.94558,-0.0188,-0.03644,-0.00331,-5.44498,-1.95533
"16","2014_Q4",8.7721875,"Down",11267000,-3478000,7789000,-7838000,-6389000,-1449000,-49000.0000000001,-59000,-108000,-136000,169000,33000.0000000001,33000.0000000001,33000.0000000001,33000.0000000001,3933000,3933000,10249000,10249000,2353000,1235000,1235000,17770000,3423000,7785000,-4362000,15598000,4183000,19021000,36791000,4565000,2135000,2430000,3453000,8132000,8132000,16150000,1934000,5938000,426000,7872000,24022000,193954000,43000,193911000,-169000,-181084000,68000,12769000,12769000,36791000,33000.0000000001,395000,165000,-697000,-104000,-196000,-196000,-287000,61000,61000,-247000,-547000,-547000,-432000,346000,5387000,-716000,0.69131,-0.00435,0.00293,0.00257999999999999,0.000899999999999998,-21.69697,1.10031,1.88127,0.14642,0.00777000000000003,0.00777,2.65339,3.00711,-0.16862,0.00137,-0.02972,4.20231,-29.67347
"17","2015_Q1",8.26672131147541,"Down",8479000,-2608000,5871000,-7228000,-5761000,-1467000,-1357000,102000,-1255000,-1256000,-32000,-1288000,-1288000,-1288000,-1288000,4344000,4344000,8449000,8449000,1960000,1305000,1305000,16058000,3396000,7071000,-3675000,15169000,3984000,18565000,34623000,3695000,1183000,2512000,3266000,9079000,9079000,16040000,1626000,5642000,401000,7268000,23308000,194303000,43000,194260000,-169000,-182372000,-447000,11315000,11315000,34623000,-1288000,443000,136000,1975000,1266000,-3e+05,-3e+05,-346000,109000,109000,-237000,729000,729000,411000,-914000,4892000,793000,0.69242,-0.16004,-0.1519,-0.11383,-0.0372,-0.61568,1.00112,2.05992,0.14129,-0.30285,-0.30285,1.99367,2.66051,0.18646,-0.05895,0.03629,-0.59956,-0.40383
"18","2015_Q2",8.37238095238095,"Up",8741000,-2671000,6070000,-7297000,-5764000,-1533000,-1227000,105000,-1122000,-1122000,90000,-1032000,-1032000,-1032000,-1032000,2811000,2811000,7310000,7310000,1921000,1329000,1329000,13371000,3572000,7623000,-4051000,14366000,3455000,17938000,31309000,3137000,1350000,1787000,2891000,7726000,7726000,13754000,1205000,5897000,376000,7102000,20856000,195245000,44000,195201000,-169000,-183404000,-1219000,10453000,10453000,31309000,-1032000,486000,228000,-913000,-1231000,-109000,-109000,-603000,625000,625000,22000,-1318000,-1318000,-1533000,-741000,4096000,-1853000,0.69443,-0.14037,-0.11806,-0.09873,-0.03296,1.79554,0.97215,1.99522,0.13083,-0.24158,-0.24158,2.04617,2.44693,-0.43377,-0.05047,-0.09063,-1.73414,-1.04727
"19","2015_Q3",6.75453125,"Down",8106000,-1890000,6216000,-7288000,-5744000,-1544000,-1072000,-70000,-1142000,-1142000,-208000,-1350000,-1350000,-1350000,-1350000,2610000,2610000,8141000,8141000,2216000,1721000,1721000,14688000,3247000,7703000,-4456000,14124000,3296000,17371000,32059000,2696000,1468000,1228000,1265000,10791000,8564000,14752000,1907000,5995000,354000,7902000,22654000,195512000,44000,195468000,-169000,-184754000,-1184000,9405000,9405000,32059000,-1350000,477000,282000,-480000,-1071000,-356000,-356000,1126000,46000,46000,1142000,-285000,-285000,-201000,-595000,3172000,-1223000,0.76684,-0.13225,-0.16654,-0.14354,-0.04211,0.90593,0.99566,2.40872,0.09894,-0.31045,-0.31045,1.86409,2.16281,-0.28125,-0.07269,-0.06585,-0.94454,-0.52425
"20","2015_Q4",6.7121875,"Down",10556000,-3468000,7088000,-7973000,-6328000,-1645000,-885000,-121000,-1006000,-1006000,85000.0000000001,-921000,-921000,-921000,-921000,2561000,2561000,9845000,9845000,1718000,1471000,1471000,15595000,3051000,7920000,-4869000,13984000,3202000,17035000,32630000,3220000,1573000,1647000,1600000,10539000,9289000,15359000,2741000,5922000,331000,8663000,24022000,195752000,44000,195708000,-169000,-185675000,-1300000,8608000,8608000,32630000,-921000,495000,265000,99999.9999999999,-61000,-146000,-146000,215000,33000.0000000001,33000.0000000001,156000,-50999.9999999998,-50999.9999999998,-49000.0000000002,-390000,4341000,-521000,0.67147,-0.08384,-0.08725,-0.10699,-0.02823,0.56569,1.01537,2.79066,0.13304,-0.21148,-0.21148,2.42385,1.97656,-0.11963,-0.04881,-0.02761,-4.5641,-2.0113
"21","2016_Q1",5.57377049180328,"Down",9056000,-2606000,6450000,-7358000,-5815000,-1543000,-908000,-240000,-1148000,-1148000,-74000,-1222000,-1222000,-1222000,-1222000,1976000,1976000,12659000,12659000,2385000,927000,927000,17947000,2808000,7593000,-4785000,14048000,3195000,16856000,34803000,3692000,2026000,1666000,1696000,13177000,11359000,18565000,2368000,6067000,311000,8435000,2.7e+07,196017000,44000,195973000,-169000,-186897000,-1148000,7803000,7803000,34803000,-1222000,810000,85000,-436000,-763000,-111000,-111000,260000,47000,47000,307000,-567000,-567000,-585000,-98000,4064000,-571000,0.71223,-0.10027,-0.13494,-0.15661,-0.03511,0.46727,0.96671,3.46021,0.11677,-0.28061,-0.28061,2.07952,1.79179,-0.13112,-0.06814,-0.03184,-21.30612,-2.29956
"22","2016_Q2",6.619375,"Up",9091000,-2711000,6380000,-7497000,-5883000,-1614000,-1117000,-84000,-1201000,-1201000,-6000.00000000003,-1207000,-1207000,-1207000,-1207000,2666000,2666000,9257000,9257000,2535000,833000,833000,15291000,2732000,7963000,-5231000,13861000,3044000,16593000,31884000,2177000,1072000,1105000,1945000,12680000,10964000,16802000,2310000,5896000,289000,8206000,25008000,196351000,44000,196307000,-169000,-188104000,-1202000,6876000,6876000,31884000,-1207000,573000,222000,1311000,899000,-77000,-77000,-112000,43928.547625629,43928.547625629,-122000,7e+05,7e+05,690000,-544000,4255000,696000,0.70179,-0.12287,-0.13277,-0.17554,-0.03786,-0.57664,0.91007,3.637,0.13345,-0.2766,-0.2766,2.0833,1.57571,0.1595,-0.07089,0.04088,-2.92096,-1.42256
"23","2016_Q3",6.05609375,"Down",9612000,-2339000,7273000,-7487000,-5843000,-1644000,-214000,-215000,-429000,-429000,-282000,-711000,-711000,-711000,-711000,1884000,1884000,10751000,10751000,2103000,1107000,1107000,15845000,2479000,8114000,-5635000,13970000,2946000,16449000,32294000,2721000,906000,1815000,1941000,11784000,10426000,16446000,1902000,7032000,270000,8934000,25380000,196733000,44000,196689000,-169000,-188815000,-835000,6914000,6914000,32294000,-711000,590000,392000,-129000,142000,-72000,-72000,-866000,31000,31000,-835000,-765000,-765000,-782000,376000,3843000,457000,0.75666,-0.02226,-0.07397,-0.10283,-0.02202,-0.64276,0.96346,3.67081,0.119,-0.16233,-0.16233,2.19455,1.57856,0.10434,-0.03997,0.02569,5.21011,-9.15421
"24","2016_Q4",5.13079365079365,"Down",9815000,-2584000,7231000,-7682000,-5941000,-1741000,-451000,-119000,-570000,-570000,18000.0000000001,-552000,-552000,-552000,-552000,2329000,2329000,11899000,11899000,2177000,985000,985000,17390000,2292000,8328000,-6036000,14279000,3024000,16571000,33961000,3052000,1063000,1989000,1953000,13379000,11728000,18384000,1534000,7044000,252000,8578000,26962000,196883000,44000,196839000,-169000,-189367000,-348000,6999000,6999000,33961000,-552000,533000,203000,583000,767000,-59000,-59000,-234000,0,0,-260000,448000,448000,445000,82000,3487000,588000,0.73673,-0.04595,-0.05624,-0.07887,-0.01625,-1.06522,0.94593,3.85226,0.10268,-0.12538,-0.12538,2.22943,1.58979,0.13356,-0.03149,0.03354,14.12195,-2.56763
"25","2017_Q1",4.83306451612903,"Down",9457000,-2351000,7106000,-7600000,-5762000,-1838000,-494000,-354000,-848000,-848000,1000,-847000,-847000,-847000,-847000,1794000,1794000,9769000,9769000,1904000,2130000,1404000,15597000,2031000,7541000,-5510000,15454000,4144000,17485000,33082000,2844000,961000,1883000,1867000,14606000,12834000,19317000,1102000,6147000,259000,7249000,26566000,197108000,44000,197064000,-169000,-190214000,-209000,6516000,6516000,33082000,-847000,509000,471000,-225000,-92000,-131000,-131000,-372000,35000,35000,-337000,-560000,-560000,-535000,15000,2969000,-342000,0.7514,-0.05224,-0.08956,-0.12999,-0.0256,0.40378,0.80742,4.07704,0.08975,-0.192,-0.192,2.1437,1.47704,-0.07752,-0.05418,-0.02188,78.33333,-2.37854
"26","2017_Q2",4.50095238095238,"Down",9307000,-2598000,6709000,-8211000,-6260000,-1951000,-1502000,-138000,-1640000,-1640000,131000,-1509000,-1509000,-1509000,-1509000,1080000,1080000,10324000,10324000,1271000,1148000,1148000,13823000,2101000,7960000,-5859000,13484000,2622000,15585000,29408000,2519000,906000,1613000,1839000,13660000,10618000,18018000,691000,6311000,274000,7002000,25020000,197362000,44000,197318000,-169000,-191723000,-1082000,4388000,4388000,29408000,-1509000,502000,194000,-14999.9999999998,-828000,-548000,-548000,767000,-158235.429009287,-158235.429009287,767000,-609000,-609000,-714000,-1e+06,2530000,-1694000,0.72086,-0.16138,-0.16214,-0.34389,-0.05131,1.1226,0.76718,5.70191,0.08603,-0.34206,-0.34206,2.10969,0.99466,-0.38399,-0.11407,-0.12805,-1.44999999999997,-0.96538
"27","2017_Q3",3.49285714285714,"Down",8560000,-2496000,6064000,-7338000,-5476000,-1862000,-1274000,-205000,-1479000,-1479000,23000,-1456000,-1456000,-1456000,-1456000,850000,850000,12156000,12156000,1434000,1245000,1245000,15685000,2142000,8379000,-6237000,13238000,2245000,15380000,31065000,3555000,1738000,1817000,1720000,14846000,10824000,20121000,579000,6774000,386000,7353000,27474000,197648000,45000,197603000,-169000,-193179000,-709000,3591000,3591000,31065000,-1456000,537000,2e+05,-75000,-794000,-38000,-38000,456000,20999.9999999999,20999.9999999999,451000,-381000,-381000,-230000,-737000,2299000,-873000,0.70841,-0.14883,-0.17009,-0.40546,-0.04687,0.59959,0.77953,7.65079,0.07401,-0.32899,-0.32899,1.93415,0.81139,-0.19726,-0.11497,-0.06894,-1.96608,-1.13736
"28","2017_Q4",3.1147619047619,"Down",9833000,-2586000,7247000,-7618000,-5850000,-1768000,-371000,-96000,-467000,-467000,-22000,-489000,-489000,-489000,-564000,1605000,1605000,9191000,9191000,1119000,1262000,1144000,13177000,1869000,8452000,-6583000,13910000,2874000,15779000,28956000,2751000,1252000,1499000,1414000,13640000,11370000,17805000,412000,6716000,402000,7128000,24933000,197743000,45000,197698000,-169000,-193668000,-639000,4023000,4023000,28956000,-489000,477000,161000,2189000,2338000,-90000,-89999.9999999999,-2263000,750000,750000,-1513000,735000,735000,755000,106000,1826000,2227000,0.73701,-0.03773,-0.05736,-0.14019,-0.01948,-3.94858,0.74007,6.19761,0.06306,-0.12674,-0.12674,2.20972,0.73417,0.50046,-0.04489,0.17724,2.08491,-0.59569
"29","2018_Q1",2.45213114754098,"Down",8300000,-2187000,6113000,-6924000,-5267000,-1657000,-811000,-121000,-932000,-1532000,-53000,-1585000,-1585000,-1585000,-1679000,1211000,1211000,7903000,7903000,986000,2158000,1085000,12258000,1750000,7931000,-6181000,14348000,3893000,16098000,28356000,2701000,1314000,1387000,993000,13397000,11332000,17091000,367000,7780000,372000,8147000,25238000,197881000,45000,197836000,-169000,-195253000,-621000,3118000,3118000,28356000,-1585000,461000,860000,219000,-45000,-163000,-163000,-706000,527000,527000,-179000,-387000,-387000,-394000,-350000,1360000,-241000,0.73651,-0.09771,-0.20229,-0.53849,-0.05921,0.14354,0.71722,8.09429,0.04796,-0.37661,-0.37661,1.86175,0.41228,-0.05406,-0.13697,-0.01966,-0.42571,-0.18372
"30","2018_Q2",2.28984375,"Down",8895000,-2425000,6470000,-7436000,-5683000,-1753000,-966000,-101000,-1067000,-1067000,1387000,320000,320000,320000,248000,1507000,1507000,5878000,5878000,934000,1993000,921000,10312000,1532000,7989000,-6457000,14376000,3908000,15908000,26220000,2502000,1076000,1426000,555000,12012000,9797000,15069000,321000,6627000,303000,6948000,22017000,198082000,45000,198037000,-169000,-194933000,-601000,4203000,4203000,26220000,320000,419000,-1129000,621000,231000,-68000,-68000,-349000,5e+05,5e+05,131000,294000,294000,296000,-547000,876000,-1381000,0.72737,-0.1086,0.0278799999999999,0.0590099999999999,0.00946000000000002,-5.56855,0.68432,5.2384,0.03341,0.05563,0.0549499999999999,1.99526,0.53364,-0.30977,0.02119,-0.11797,1.15356,0.65321
