"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","policy_charges_fees","other_income","total_claims_losses","underwriting_expense_acquisition_cost","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","total_investments","cash_cash_equivalents_short_term_investments","property_plant_equipment_net","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","other_short_term_liabilities","other_long_term_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","other_investing_activities","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"16","2014_Q3",12.3803125,"Down",7621768,6484354,30097,1107317,764996,342321,-3647765,-1525298,-2046384,402321,402321,402321,-132315,270006,270006,270006,270006,107168046,104062,10205811,3797727,7679963,134916598,60294763,2386241,458456,63139460,3720276,68055100,1762,71777138,71777138,134916598,270006,139749,617106,14305,1041166,-177535,2e+05,-1056826,-1034361,0,6805,6805,6805,542070,0,511155,0.05279,0.03543,0.00376,0.002,1.89312,0.87966,0,0.05055,0.05051,1.42699,13.43853,0.0957,0.00204,-0.19197,-0.25865
"17","2014_Q4",11.85171875,"Down",7764783,6687327,32357,1045099,729750,315349,-4156480,-1560073,-1990107,58123,58123,58123,-25349,32774,32774,32774,32774,107423961,164254,10249998,3855629,7883991,135368928,60646481,2501044,404999,63552524,3726052,68087874,2478,71816404,71816404,135368928,32774,144074,274103,51590,502541,-188261,1e+06,-1254088,-442349,-9.09494701772928e-13,60192,60192,60192,202197,0,90875,0.00749,0.00422,0.00046,0.00024,2.77278,0.88493,0,0.00614,0.00613,1.45377,13.44588,0.01701,0.00025,-0.81235,-2.82597
"18","2015_Q1",11.5196721311475,"Down",7643578,6813501,67940,762137,738247,23890,-3920523,-1572850,-2220481,-70276,-70276,-70276,22074,-48202,-48202,-48202,-48202,107417964,309162,10510306,3882825,8724999,136015569,61003737,2986317,250421,64240475,3731828,68039672,3594,71775094,71775094,136015569,-48202,117599,752627,-310160,511864,-377907,7e+05,-689049,-366956,0,144908,144908,144908,47323,0,-662818,-0.00919,-0.00631,-0.00067,-0.00035,13.75084,0.89502,0,-0.00902,-0.00901,1.43107,13.43814,-0.1241,-0.00036,-6.53302,4.39925
"19","2015_Q2",11.1304761904762,"Down",7832199,6965144,87408,779647,706992,72655,-4893907,-1537418,-1991911,-591037,-591037,-591037,194252,-396785,-396785,-396785,-396785,106754321,149484,10578142,4058476,8507687,135555707,60750973,2975093,390095,64116161,3737604,67642887,59055,71439546,71439546,135555707,-396785,117451,-814672,367660,-726346,-185287,749000,2955,566668,-2.27373675443232e-13,-159678,-159678,-159678,-473586,0,-485465,-0.07546,-0.05066,-0.00555,-0.00293,1.2235,0.89749,0,-0.07429,-0.07429,1.46639,13.37532,-0.09089,-0.00299,0.31564,0.25292
"20","2015_Q3",10.21015625,"Down",8313691,7327855,97935,887901,717203,170698,-4633516,-1644639,-1852863,182673,182673,182673,-70291.9999999999,112381,112381,112381,112381,106224279,366111,10615880,4270016,9420190,137003477,62555554,2539580,383498,65478632,3742297,67732862,49686,71524845,71524845,137003477,112381,116894,1033916,-1389063,-125872,-154632,1200000,-679379,365989,-23490,216627,216627,216627,299567,0,-1173836,0.02197,0.01352,0.00157,0.000820000000000001,-10.44515,0.91547,0,0.02105,0.02105,1.55705,13.39569,-0.21984,0.000839999999999999,-1.22213,-2.00419
"21","2015_Q4",9.745,"Down",8451503,7563594,128818,759091,690117,68974,-4346517,-1696827,-3375799,-967640,-967640,-967640,318130,-649510,-649510,-649510,-649510,106509727,402900,9364063,4334094,11020562,137534478,64094677,2227270,414641,66736588,3743340,66993714,60836,70797890,70797890,137534478,-649510,114634,2668892,-1588981,545035,-150277,1300000,-1563597,-413874,-94372,36788.9999999998,36788.9999999998,36788.9999999998,-853006,0,-2910394,-0.11449,-0.07685,-0.00917,-0.00472,4.48091,0.94264,0,-0.12174,-0.12174,1.58407,13.26966,-0.5455,-0.0048,0.47233,0.41637
"22","2016_Q1",9.82016393442623,"Up",8667246,7717203,165203,784840,725160,66931,-5289376,-1752989,-1983835,-358954,-358954,-358954,109998,-248956,-248956,-248956,-248956,97802094,8258673,10220720,4233396,14150191,140170435,67172824,2443284,212255,69828363,3742547,66626873,-27348,70342072,70342072,140170435,-248956,-7715,3252242,-2737921,257650,-848942,7642749,928768,7722575,-124452,7855773,7855773,7855773,-366669,0,-4063530,-0.04142,-0.02872,-0.00354,-0.00178,16.32228,0.9927,0,-0.04674,-0.04674,1.62725,13.20655,-0.76292,-0.00181,22.52351,23.00761
"23","2016_Q2",11.51578125,"Up",8529678,7572415,212091,745172,673854,72596,-5085494,-1740079,-1974131,-270026,-270026,-270026,71039,-198987,-198987,-198987,-198987,92701803,332725,10457214,4321340,27921057,141497533,68225026,2658208,493747,71376981,3743992,66342635,33925,70120552,70120552,141497533,-198987,115283,902039,-126543,691792,-351777,1046000,4151412,4845635,-89582,5447845,5447845,5447845,-154743,0,-704102,-0.03166,-0.02333,-0.00284,-0.00141,3.53843,1.01792,0,-0.03748,-0.03748,1.60653,13.20693,-0.13261,-0.00143,2.15018,1.2322
"24","2016_Q3",11.188125,"Down",8722632,7717951,212450,792231,724547,67684,-4858757,-1741727,-1913554,208594,208594,208594,-57564.0000000001,151030,151030,151030,151030,93380499,389690.000000001,10503271,4495106,26501515,141543423,68252458,2564792,441579,71258829,3749768,66493666,41160,70284594,70284594,141543423,151030,124631,-693972,1310692,892381,-170688,-1278,-663450,-835416,0,56965,56965,56965,333225,0,1530793,0.02391,0.01731,0.00215,0.00107,10.13569,1.01386,0,0.02846,0.02845,1.64357,13.24342,0.28844,0.00109,-1.16945,-1.86817000000001
"25","2016_Q4",10.7033333333333,"Down",8998342,7980930,234570,782842,715695,67147,-8038100,-1781823,-2145141,-2966722,-2966722,-2966722,1013225,-1953497,-1953497,-1953497,-1953497,90823410,1215271,10395814,4546827,27686037,140809966,69223614,2774014,489448,72487076,3755544,64540169,27177,68322890,68322890,140809966,-1953497,121576,48666,82722,-1700533,-14119,10594000,-8053767,2526114,0,825581,825581,825581,-2845146,0,-3789768,-0.3297,-0.2171,-0.02859,-0.01387,1.93999,1.06095,0,-0.36809,-0.36818,1.69552,12.87379,-0.71409,-0.01415,0.42714,0.40963
"26","2017_Q1",10.1853225806452,"Down",9017072,8085075,222035,709962,693107,16855,-4844527,-1793065,-1465564,913916,913916,913916,-316739,597177,597177,597177,597177,90588528,13496379,10282532,4432299,13414384,138222205,66430527,2660983,224055,69315565,3761320,65137345,7975,68906640,68906640,138222205,597177,122090,-1866062,-146087,-1292882,-8808,6979000,-6769995,200197,0,-1092685,-1092685,-1092685,1036006,0,1197850,0.10135,0.0662299999999999,0.00867000000000001,0.00432,2.00585,1.00593,0,0.11252,0.11252,1.69905,12.98378,0.22571,0.00441,-13.02732,-14.76764
"27","2017_Q2",9.69428571428571,"Down",8960497,7920699,212235,827563,759336,68227,-8525181,-1539523,-2163142,-3267349,-3267349,-3267349,1120097,-2147252,-2147252,-2147252,-2147252,90043122,13602118,10186014,4420746,14447194,138960125,69287331,2519749,393380,72200460,3767096,62990091,2478,66759665,66759665,138960125,-2147252,132269,1643796,-27228,-398415,-35752,12238000,-11698094,504154,0,105739,105739,105739,-3135080,0,-4318157,-0.36464,-0.23964,-0.03216,-0.01545,2.01102,1.0815,0,-0.4046,-0.4046,1.68839,12.57923,-0.81365,-0.01574,4.33868,4.16304
"28","2017_Q3",9.83603174603175,"Up",9241306,8220150,264058,757098,689633,67310,-5908674,-1636497,-3046961,-1350826,-1350826,-1350826,460091,-890735,-890735,-890735,-890735,88966898,13585909,10113263,4422656,17432062,140778797,71815609,2708018,385496,74909123,3772872,62099358,-2556,65869674,65869674,140778797,-890735,132441,1609768,-2300520,-1449046,-59689,14030155,-19750121,-5779655,0,-7228701,-7228701,-7228701,-1218385,0,-4038685,-0.14617,-0.09639,-0.01352,-0.00633,4.5341,1.13723,0,-0.16784,-0.16784,1.7413,12.41154,-0.76099,-0.00644999999999999,11.15075,10.05748
"29","2017_Q4",9.53,"Down",9293389,8168252,309492,815645,707102,108170,-9917896,-1893950,-1916765,-4435222,-4435222,-4435222,1524202,-2911020,-2911020,-2911020,-2911020,97349410,230376,10117563,4230832,20103440,138078496,72538651,2155975,429560,75124186,3772872,59188338,-6900,62954310,62954310,138078496,-2911020,121540,-657294,-1500719,-4947493,-125840,14679942,-15148402,-594300,0,-5541793,-5541793,-5541793,-4313682,0,-7464443,-0.47724,-0.31324,-0.04624,-0.02108,2.5642,1.19331,0,-0.54851,-0.54851,1.75111,11.86221,-1.40649,-0.02142,0.05341,0.05194
"30","2018_Q1",8.42622950819672,"Down",9296290,8034218,504282,757790,662779,95011,-6138756,-1560347,-2424011,-826824,-826824,-826824,-1949153,-2775977,-2775977,-2775977,-2775977,87795232,9366944,10014869,4162771,12953178,130298758,67845255,2300358,207808,70353421,3772872,56412361,-239896,59945337,59945337,130298758,-2775977,130949,-2712045,5129795,-227278,-28255,14129818,-13931683,169880,0,-57398,-57398,-57398,-695875,0,6354818,-0.08894,-0.29861,-0.04631,-0.0213,-2.28922,1.17363,0,-0.52307,-0.52307,1.75166,11.29524,1.19741,-0.02169,13.46067,11.32882
"31","2018_Q2",7.85890625,"Down",8806891,7681628,444799,680464,624754,55710,-7801757,-1662844,-2154221,-2811931,-2811931,-2811931,604680,-2207251,-2207251,-2207251,-2207251,94051206,262608,9912406,3938616,17240232,130990312,71968344,1869821,309187,74147352,3772872,54205110,-1135022,56842960,56842960,130990312,-2207251,140202,4473537,-3985771,-1579283,-37739,4837436,-3732032,1067665,-3.5527136788005e-15,-511618.000000001,-511618.000000001,-511618.000000001,-2671729,0,-7299919,-0.31929,-0.25063,-0.03883,-0.01685,3.30724,1.30442,0,-0.4159,-0.4159,1.65944,10.71067,-1.37549,-0.01709,0.09829,0.09339
"32","2018_Q3",7.24793650793651,"Down",8643450,7362944,452605,827901,705828,121936,-4929203,-1556017,-1871199,287030.999999999,287030.999999999,287030.999999999,-118735,168296,168296,168296,168296,85570482,7835200,9817942,3717504,14008738,125499491,66890011,1602709,239788,68732508,3772872,54373406,-1379295,56766983,56766983,125499491,168296,141515,-3693766,2862514,-521441,-47051,4904005,-5355639,-498685,0,-1020126,-1020126,-1020126,428546,0,3362744,0.03321,0.01947,0.00296,0.00134,19.98113,1.21078,0,0.03171,0.03171,1.62865,10.69636,0.63363,0.00136,-18.28322,-27.2974
"33","2018_Q4",6.48619047619048,"Down",8161036,6924444,487560,749032,623061,125960,-5638620,-1418604,-1915953,-812141,-812141,-812141,150216,-661925,-661925,-661925,-661925,87920107,4412669,9693555,3603930,13808784,123591906,65398117,1932838,367253,67698208,3772857,53711280,-1590439,55893698,55893698,123591906,-661925,135544,-1120490,884482,-762389,-11157,7650209,-10298978,-2659926,-216,-3422531,-3422531,-3422531,-676597,0,46512,-0.09951,-0.08111,-0.01184,-0.00536,-0.0702700000000007,1.2112,0,-0.12472,-0.12472,1.53775,10.53185,0.00875999999999999,-0.00544,6.52186,5.43338
"34","2019_Q1",6.0183606557377,"Down",8001419,6785894,522809,692716,620664,72052,-5188163,-1448067,-1954940,-589751,-589751,-589751,121072,-468679,-468679,-468679,-468679,88727091,4917762,9692325,3489728,14856992,125616966,67621744,1845358,234442,69701544,3772857,53242601,-1100036,55915422,55915422,125616966,-468679,133922,2418507,-1350897,732853,-1187,4264381,-4490954,-227760,0,505093,505093,505093,-455829,0,-1928985,-0.07371,-0.05857,-0.00838,-0.00373,4.11579,1.24655,0,-0.08831,-0.08831,1.50768,10.53595,-0.36347,-0.00379,10.78861,8.33871
"35","2019_Q2",6.05031746031746,"Up",7135474,6264150,532637,338687,596818,-249982,-5154443,-1136834,-1655929,-811732,-811732,-811732,140658,-671074,-671074,-671074,-671074,87264798,3646134,9788819,3570780,17648925,126189589,67859237,1767156,342963,69969356,3772857,52571527,-124151,56220233,56220233,126189589,-671074,135027,-323647,-2862976,-3722670,-231521,2261967,420596,2451042,0,-1271628,-1271628,-1271628,-676705,0,-3911860,-0.11376,-0.09405,-0.01194,-0.00532,5.82925,1.24456,0,-0.12645,-0.12645,1.34451,10.59339,-0.7371,-0.00539,5.38807,4.4918
"36","2019_Q3",6.06078125,"Up",7795098,6518112,530747,746239,581823,168928,-5058951,-1330558,-1748259,-342670,-342670,-342670,65993,-276677,-276677,-276677,-276677,86252712,5591085,9909957,3628624,16350704,126471669,67556188,1650203,359705,69566096,3772682,52292904,839987,56905573,56905573,126471669,-276677,135078,-798650,903428,-36821,-256216,4913503,-2673394,1983893,-2121,1944951,1944951,1944951,-207592,0,373627,-0.04396,-0.03549,-0.00486,-0.00219,-1.35041,1.22248,0,-0.05213,-0.05213,1.46885,10.72286,0.0704,-0.00222,26.93305,16.31624
"37","2019_Q4",6.60171875,"Up",8258967,6978699,518098,762170,647626,114544,-5137974,-1235817,-1554449,330727,330727,330727,-118260,212467,212467,212467,212467,84609804,7527937,10034945,3798508,19840847,130209805,70042607,2278709,411339,72732655,3772682,52505371,1199097,57477150,57477150,130209805,212467,132664,2740070,-2958753,126448,-257652,3610872,-1542816,1810404,0,1936852,1936852,1936852,463391,0,-2634754,0.04004,0.02573,0.0037,0.00163,-12.40077,1.26542,0,0.04004,0.04004,1.55632,10.83096,-0.49649,0.00166,-16.24532,-22.76179
"38","2020_Q1",6.32032258064516,"Down",8183275,6976507,516460,690308,589915,100393,-7224759,-1431433,-1953298,-2426215,-2426215,-2426215,45796,-2380419,-2380419,-2380419,-2380419,86494525,5781639,10226595,3619594,24184172,130306525,72876817,2130300,219083,75226200,3772669,50124790,1182866,55080325,55080325,130306525,-2380419,163107,3238177,-551032,469833,-354757,-10786342,8925143,-2215956,-175,-1746298,-1746298,-1746298,-2263108,0,-3214693,-0.29648,-0.29089,-0.04322,-0.01827,1.35047,1.36575,0,-0.44857,-0.44857,1.54206,10.37934,-0.60578,-0.01857,2.55473000000001,2.38299
"39","2020_Q2",4.84666666666667,"Down",8005181,6911134,520692,573355,536088,80953,-5877385,-1170380,-2102914,-1145498,-1145498,-1145498,101672,-1043826,-1043826,-1043826,-1043826,86385650,5276025,10223162,3687979,20844115,130403775,74246996,2081486,345027,76673509,3772189,49075204,882873,53730266,53730266,130403775,-1043826,188085,1265276,-416419,-6884,-184652,1328128,-1635966,-492490,-6240,-505614,-505614,-505614,-957413,0,-1660156,-0.14309,-0.13039,-0.01943,-0.008,1.59045,1.42701,0,-0.1967,-0.1967,1.5085,10.12495,-0.31284,-0.00813,5.51071,4.60588
"40","2020_Q3",5.0134375,"Up",7976227,6770111,489498,716618,525572,122826,-4888906,-1226025,-2245858,-384562,-384562,-384562,-50251.9999999998,-434814,-434814,-434814,-434814,87736048,4674661,10237459,3668136,24695746,131012050,73004980,2720135,289181,76014296,3772189,48640390,2585175,54997754,54997754,131012050,-434814,188638,-1445884,191307,-1500753,-202935,11735523,-10633199,899389,0,-601364,-601364,-601364,-195924,0,-157300,-0.04821,-0.0545099999999998,-0.00791000000000002,-0.00332,0.36176,1.38213,0,-0.08195,-0.0819499999999999,1.50332,10.3657,-0.02965,-0.00339000000000001,23.85956,12.15581
"41","2020_Q4",5.09375,"Up",8259686,7124272,477145,658269,518524,81861,-17320051,-1302939,-3982611,-14345915,-14345915,-14345915,-3594573,-17940488,-17940488,-17940488,-17940488,84225090,5705663,10271863,3618959,28958897,132780472,92966329,2364290,360074,95690693,3771879,30696933,2620967,37089779,37089779,132780472,-17940488,190916,23729794,-8107202,-2126980,-225320,5393242,-2006662,3161260,-3278,1031002,1031002,1031002,-14154999,0,-18892948,-1.73686,-2.17205,-0.4837,-0.13511,1.05309,2.57997,0,-3.38133,-3.38133,1.55674,6.9905,-3.56085,-0.13756,0.40308,0.39772
"42","2021_Q1",5.39819672131147,"Up",8319017,7362651,500908,455458,487668,-245829,-6556578,-1294778,-2535201,-2067540,-2067540,-2067540,-4444.99999999953,-2071985,-2071985,-2071985,-2071985,87154400,3957980,2038415,3503248,31925375,131900755,93081807,3577450,208538,96867795,3771767,28623846,2637347,35032960,35032960,131900755,-2071985,106256,-323527,3487474,1198218,612907,-16461063,12903470,-2944686,-1215,-1747683,-1747683,-1747683,-1961284,0,2143542,-0.248529999999999,-0.24907,-0.05914,-0.01571,-1.03454,2.76505,0,-0.39056,-0.390559999999999,1.56811,6.60362,0.40405,-0.01615,2.01806,1.91434
"43","2021_Q2",4.75730158730159,"Down",11471654,6603760,514723,4353171,478459,-26212,-5585213,-1042533,-2301569,2542339,2542339,2542339,-274636,2267703,2267703,2267703,2267703,95482267,7772757,2228085,3567638,22964998,135602657,93685541,5506372,143236,99335149,3771767,30891549,1604192,36267508,36267508,135602657,2267703,105373,-4559297,3321610,1135389,257043.815816689,-6018904,8698292,2679388,181.454843383944,3814777,3814777,3814777,2647712,0,2909532.07886536,0.22162,0.19768,0.06253,0.01672,1.73419679539344,2.73896,0,0.42747,0.42747,2.16247,6.83662,0.548341621595809,0.01743,-2.93565,-3.05733
