"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","policy_charges_fees","total_realized_investment_gains","total_claims_losses","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","total_investments","cash_cash_equivalents_short_term_investments","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","long_term_debt","other_long_term_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_investments","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"12","2013_Q1",9.183,"Up",2.467e+09,1.32e+09,8.4e+08,3.07e+08,2.93e+08,1.4e+07,-1.594e+09,-4.16e+08,4.57e+08,-1.24e+08,-1.24e+08,3.33e+08,3.33e+08,-7.3e+07,2.6e+08,2.66e+08,-9.8e+07,1.68e+08,1.68e+08,7.4379e+10,3.632e+09,5.036e+09,3.0265e+10,1.13312e+11,7.1609e+10,4.776e+09,1.5176e+10,9.5531e+10,1.2128e+10,-2.7e+09,1.863e+09,5.202e+09,1.6493e+10,1.288e+09,1.7781e+10,1.13312e+11,2.6e+08,1.44e+08,-3.33e+08,4.67e+08,5.35e+08,2.78e+08,-4.7e+08,-1.92e+08,-3.55e+08,-59000000.0000001,-4.38e+08,-9.5e+07,-9.5e+07,7e+06,-8.8e+07,6.01e+08,4.776e+09,0.18525,0.0681,0.00945,0.00148,5.37264,0.04215,0.34146,0.34001,5.01423,33.52236,0.00166,1.90349,2.50328
"13","2013_Q2",10.41375,"Up",2.303e+09,1.261e+09,8.14e+08,2.28e+08,2.89e+08,-6.1e+07,-1.385e+09,-5.55e+08,3.63e+08,-1.26e+08,-1.26e+08,2.37e+08,2.37e+08,-7.6e+07,1.61e+08,1.41e+08,-3.8e+07,1.03e+08,1.03e+08,7.2749e+10,3.797e+09,5.05e+09,3.0479e+10,1.12075e+11,7.1023e+10,4.766e+09,1.5168e+10,9.4566e+10,1.2132e+10,-2.7e+09,1.966e+09,4.824e+09,1.6222e+10,1.287e+09,1.7509e+10,1.12075e+11,1.61e+08,1.22e+08,-4.24e+08,2e+08,6e+07,6.65e+08,-2.12e+08,4.53e+08,-4e+06,-2.82e+08,-2.99e+08,2.14e+08,2.14e+08,-4.8e+07,1.66e+08,4.85e+08,4.766e+09,0.15762,0.04472,0.00588,0.00092,5.40099,0.04253,0.20914,0.20733,4.67614,32.93807,0.00107,1.99794,2.66942
"14","2013_Q3",12.53609375,"Up",2.371e+09,1.286e+09,8.21e+08,2.64e+08,2.43e+08,2.1e+07,-1.453e+09,-5.5e+08,3.68e+08,-1.21e+08,-1.21e+08,2.47e+08,2.47e+08,-7.3e+07,1.74e+08,1.8e+08,-3.9e+07,1.41e+08,1.41e+08,6.8598e+10,3.613e+09,5.237e+09,3.0128e+10,1.07576e+11,6.9696e+10,4.72e+09,1.4435e+10,9.1674e+10,1.214e+10,-2.7e+09,2.107e+09,3.142e+09,1.4689e+10,1.213e+09,1.5902e+10,1.07576e+11,1.74e+08,1.37e+08,-3.88e+08,6.61e+08,5.86e+08,3.16e+08,-5.1e+07,2.65e+08,-2.3e+07,-9.27e+08,-9.63e+08,-1.12e+08,-1.12e+08,-7e+07,-1.82e+08,5.05e+08,4.72e+09,0.15521,0.05947,0.00887,0.00131,5.76494,0.04388,0.28577,0.28342,4.80543,29.77098,0.00147,2.19208,3.00815
"15","2013_Q4",14.4484375,"Up",2.317e+09,1.291e+09,8.01e+08,2.25e+08,2.48e+08,-2.3e+07,-1.353e+09,-5.89e+08,3.75e+08,-1.24e+08,-1.24e+08,2.51e+08,2.51e+08,-1.05e+08,1.46e+08,1.48e+08,-4e+07,1.08e+08,1.08e+08,6.9499e+10,3.554e+09,5.256e+09,2.9825e+10,1.08134e+11,7.0309e+10,4.78e+09,1.4564e+10,9.2289e+10,1.215e+10,-2.7e+09,2.215e+09,2.939e+09,1.4604e+10,1.241e+09,1.5845e+10,1.08134e+11,1.46e+08,1.82e+08,-2.26e+08,2.8e+08,4.47e+08,-1.065e+09,9e+07,-1.005e+09,3.9e+07,4.28e+08,4.51e+08,-1.07e+08,-1.07e+08,2.4e+07,-8.3e+07,5.57e+08,4.78e+09,0.16185,0.04661,0.00682,0.001,5.82449,0.0442,0.21862,0.2163,4.69028,29.56275,0.00115,2.20108,3.26933
"16","2014_Q1",16.0486885245902,"Up",1.634e+09,6.78e+08,7.19e+08,2.37e+08,2.38e+08,-1e+06,-1.284e+09,-1.3e+07,3.37e+08,-7.9e+07,-7.9e+07,2.58e+08,2.58e+08,-5.9e+07,1.99e+08,2.45e+08,-3.7e+07,2.08e+08,2.08e+08,6.8613e+10,4.214e+09,5.278e+09,2.994e+10,1.08045e+11,7.0544e+10,5.161e+09,1.4234e+10,9.2425e+10,1.2128e+10,-2.7e+09,2.423e+09,2.542e+09,1.4393e+10,1.227e+09,1.562e+10,1.08045e+11,1.99e+08,2.2e+07,-2.39e+08,3.71e+08,3.06e+08,-4.4e+08,3.2e+07,-2.93e+08,3.88e+08,3.07e+08,6.62e+08,6.75e+08,6.75e+08,-1.5e+07,6.6e+08,3.59e+08,5.161e+09,0.20624,0.12729,0.01332,0.00193,5.91709,0.04777,0.42063,0.415,3.30435,29.10617,0.00209,2.63788,2.81009
"17","2014_Q2",17.4873015873016,"Up",2.322e+09,1.307e+09,8.05e+08,2.1e+08,2.27e+08,-1.7e+07,-1.377e+09,-5.12e+08,4.33e+08,-1.27e+08,-1.27e+08,3.06e+08,3.06e+08,-8.7e+07,2.19e+08,2.19e+08,-3.5e+07,1.84e+08,1.84e+08,7.0425e+10,4.36e+09,5.177e+09,2.9803e+10,1.09765e+11,7.1188e+10,5.15e+09,1.371e+10,9.3031e+10,1.2125e+10,-2.7e+09,2.607e+09,3.483e+09,1.5515e+10,1.219e+09,1.6734e+10,1.09765e+11,2.19e+08,1.34e+08,-2.92e+08,0,6.1e+07,-1.9e+08,-1.4e+07,-2.04e+08,-8e+06,2.9e+08,2.69e+08,1.26e+08,1.26e+08,2e+07,1.46e+08,5.67e+08,5.15e+09,0.18648,0.07924,0.011,0.00168,5.5594,0.04692,0.37112,0.36602,4.68334,31.29286,0.00184,1.3933,1.82448
"18","2014_Q3",14.46796875,"Down",1.988e+09,9.69e+08,7.62e+08,2.57e+08,2.24e+08,3.3e+07,-1.338e+09,-2.55e+08,3.95e+08,-9.6e+07,-9.6e+07,2.99e+08,2.99e+08,-8.4e+07,2.15e+08,2.28e+08,-5.2e+07,1.76e+08,1.76e+08,7.2764e+10,4.138e+09,5.085e+09,2.9657e+10,1.11644e+11,7.1745e+10,4.691e+09,1.3613e+10,9.338e+10,1.1987e+10,-2.7e+09,2.783e+09,4.161e+09,1.6231e+10,2.033e+09,1.8264e+10,1.11644e+11,2.15e+08,7.8e+07,-3.03e+08,5.25e+08,5.17e+08,-6.04e+08,-1.22e+08,-7.34e+08,-4.83e+08,4.71e+08,-3.9e+07,-2.56e+08,-2.56e+08,3.4e+07,-2.22e+08,4.73e+08,4.691e+09,0.19869,0.08853,0.00964,0.00158,5.11279,0.04202,0.35441,0.34948,4.00322,32.68425,0.00175,1.16913,1.4
"19","2014_Q4",10.50203125,"Down",2.19e+09,1.21e+09,7.78e+08,2.02e+08,2.29e+08,-2.7e+07,-2.119e+09,-3.97e+08,-3.26e+08,-1.04e+08,-1.04e+08,-4.3e+08,-9.8e+08,1.87e+08,-7.93e+08,-7.87e+08,-5.7e+07,-8.44e+08,-8.44e+08,7.3113e+10,3.477e+09,5.085e+09,2.8839e+10,1.10514e+11,7.2596e+10,4.662e+09,1.3025e+10,9.3393e+10,1.1992e+10,-2.7e+09,1.939e+09,3.934e+09,1.5165e+10,1.956e+09,1.7121e+10,1.10514e+11,-7.93e+08,1.13e+08,3e+07,1.216e+09,5.62e+08,-5.91e+08,-4.34e+08,-1.065e+09,-1.4e+07,-3.6e+07,-8.1e+07,-5.84e+08,-5.84e+08,-7.7e+07,-6.61e+08,-2.13e+08,4.662e+09,-0.14886,-0.38539,-0.0493,-0.00764,5.45488,0.04218,-1.69956,-1.69956,4.40999,30.53766,-0.00768,-5.56338,-3.63497
"20","2015_Q1",7.60819672131147,"Down",2.229e+09,1.214e+09,7.97e+08,2.18e+08,2.29e+08,-1.1e+07,-2.321e+09,-4.27e+08,-5.19e+08,-1.06e+08,-1.06e+08,-6.25e+08,-9.24e+08,7.8e+07,-8.46e+08,-7.08e+08,-5.2e+07,-7.6e+08,-7.6e+08,7.1773e+10,4.645e+09,4.852e+09,3.0046e+10,1.11316e+11,7.3313e+10,4.612e+09,1.2442e+10,9.4519e+10,1.1998e+10,-2.7e+09,1.179e+09,4.446e+09,1.4923e+10,1.874e+09,1.6797e+10,1.11316e+11,-8.46e+08,1.28e+08,-1.48e+08,2.12e+09,1.298e+09,5.46e+08,-3.88e+08,1.67e+08,-14000000.0000001,1.07e+08,5.6e+07,1.521e+09,1.521e+09,-8e+07,1.441e+09,-3.91e+08,4.612e+09,-0.23284,-0.34096,-0.04525,-0.00683,5.62714,0.04143,-1.53041,-1.57448,4.48852,30.05034,-0.00682,0.0843999999999996,0.0635800000000009
"21","2015_Q2",7.97777777777778,"Up",2.135e+09,1.143e+09,7.81e+08,2.11e+08,2.27e+08,-1.6e+07,-1.372e+09,-3.62e+08,4.01e+08,-1.07e+08,-1.07e+08,2.94e+08,2.94e+08,-9.1e+07,2.03e+08,2.04e+08,-5e+07,1.54e+08,1.54e+08,7.4225e+10,5.158e+09,4.918e+09,2.803e+10,1.12331e+11,7.4395e+10,4.601e+09,1.2963e+10,9.525e+10,1.1999e+10,-2.7e+09,1.333e+09,4.692e+09,1.5324e+10,1.757e+09,1.7081e+10,1.12331e+11,2.03e+08,9.5e+07,-2.65e+08,6.29e+08,6.24e+08,-9.7e+07,-3.23e+08,-3.66e+08,-1.3e+07,1.29e+08,3.5e+07,2.93e+08,2.93e+08,-5.3e+07,2.4e+08,4.96e+08,4.601e+09,0.18782,0.07213,0.00902,0.00137,5.57637,0.04096,0.30986,0.30868,4.29577,30.833,0.00191,-1.12298,-1.38903
"22","2015_Q3",5.88609375,"Down",2.157e+09,1.134e+09,7.93e+08,2.3e+08,2.22e+08,8e+06,-1.413e+09,-3.96e+08,3.48e+08,-1.03e+08,-1.03e+08,2.45e+08,2.45e+08,-7e+07,1.75e+08,-1.39e+08,-5.4e+07,-1.93e+08,-1.93e+08,7.1408e+10,4.1e+09,4.896e+09,2.876e+10,1.09164e+11,7.3706e+10,4.607e+09,1.1838e+10,9.3437e+10,1.1941e+10,-2.7e+09,1.14e+09,3.309e+09,1.369e+10,2.037e+09,1.5727e+10,1.09164e+11,1.75e+08,1.01e+08,-2.13e+08,-1.95e+08,-1.13e+08,-6.48e+08,-2.06e+08,-8.95e+08,-1.7e+07,1.33e+08,9.2e+07,-9.16e+08,-9.16e+08,1.2e+07,-9.04e+08,4.49e+08,4.607e+09,0.16134,-0.08948,-0.01227,-0.00177,5.94118,0.0422,-0.38802,-0.38654,4.33655,27.52312,-0.00171,1.12918,1.4569
"23","2015_Q4",4.62703125,"Down",2.1e+09,1.145e+09,7.83e+08,1.72e+08,2.23e+08,-5.1e+07,-1.469e+09,-8.77e+08,-2.46e+08,-1.05e+08,-1.05e+08,-3.51e+08,-3.51e+08,1.34e+08,-2.17e+08,-2.38e+08,-4.6e+07,-2.84e+08,-2.84e+08,7.2184e+10,3.666e+09,4.437e+09,2.7935e+10,1.08222e+11,7.3877e+10,4.601e+09,1.1134e+10,9.2806e+10,1.1945e+10,-2.7e+09,8.56e+08,3.478e+09,1.3579e+10,1.837e+09,1.5416e+10,1.08222e+11,-2.17e+08,5.63e+08,-4.58e+08,7.37e+08,6.47e+08,-7.29e+08,-1.38e+08,-9.02e+08,1.5e+07,-8.8e+07,-1.46e+08,-4.01e+08,-4.01e+08,-4.5e+07,-4.46e+08,3.17e+08,4.601e+09,-0.11714,-0.13524,-0.01842,-0.00262,6.02011,0.04251,-0.57097,-0.57097,4.22195,27.29996,-0.00195,2.94953,-3.80081
"24","2016_Q1",2.53147540983607,"Down",2.156e+09,1.157e+09,7.81e+08,2.18e+08,2.34e+08,-1.6e+07,-1.615e+09,-6.4e+08,-99000000.0000001,-1.04e+08,-1.04e+08,-2.03e+08,-2.03e+08,3.6e+07,-1.67e+08,-2.4e+08,-5.2e+07,-2.92e+08,-2.92e+08,6.9128e+10,5.965e+09,4.398e+09,2.694e+10,1.06431e+11,7.4087e+10,4.57e+09,1.0887e+10,9.1794e+10,1.195e+10,-2.7e+09,5.64e+08,3.01e+09,1.2824e+10,1.813e+09,1.4637e+10,1.06431e+11,-1.67e+08,2.07e+08,-2.15e+08,6.09e+08,4.33e+08,1.538e+09,2.25e+08,1.759e+09,-15999999.9999999,-3.7e+07,-23000000.0000002,2.169e+09,2.169e+09,1.6e+07,2.185e+09,1.08e+08,4.57e+09,-0.04592,-0.13544,-0.01995,-0.00274,6.27137,0.04294,-0.58658,-0.59109,4.33106,25.76135,-0.00269,-12.91667,14.09091
"25","2016_Q2",3.233125,"Up",1.785e+09,7.94e+08,7.89e+08,2.02e+08,2.21e+08,-1.9e+07,-1.037e+09,-4.93e+08,2.55e+08,-1.05e+08,-1.05e+08,1.5e+08,1.5e+08,-2.3e+07,1.27e+08,1.08e+08,-5.5e+07,5.3e+07,5.3e+07,7.1965e+10,4.043e+09,4.235e+09,2.693e+10,1.07173e+11,7.4685e+10,4.232e+09,1.122e+10,9.12e+10,1.1953e+10,-2.7e+09,6.17e+08,4.185e+09,1.4055e+10,1.918e+09,1.5973e+10,1.07173e+11,1.27e+08,9.9e+07,-2.66e+08,2.96e+08,2.56e+08,-1.05e+08,-1.5e+08,-2.55e+08,-1.946e+09,5.7e+07,-1.941e+09,-1.94e+09,-1.94e+09,3.1e+07,-1.909e+09,3.54e+08,4.232e+09,0.14286,0.02969,0.00332,0.00049,5.70964,0.03949,0.10643,0.10613,3.58434,28.22289,0.00099,0.5339,0.74118
"26","2016_Q3",3.8403125,"Up",2.236e+09,1.127e+09,7.79e+08,3.3e+08,3e+08,3e+07,-1.366e+09,-4.39e+08,4.31e+08,-8e+07,-8e+07,3.51e+08,3.51e+08,-1.1e+08,2.41e+08,2.2e+08,-4.8e+07,1.72e+08,1.72e+08,7.4147e+10,3.457e+09,4.046e+09,2.6556e+10,1.08206e+11,7.5037e+10,4.191e+09,1.0681e+10,9.1197e+10,1.1956e+10,-2.7e+09,7.89e+08,5.088e+09,1.5133e+10,1.876e+09,1.7009e+10,1.08206e+11,2.41e+08,1.12e+08,-2.93e+08,7.5e+08,8.1e+08,-7.64e+08,-2.65e+08,-1.029e+09,-36000000.0000005,-3.59e+08,-4.07e+08,-6.26e+08,-6.26e+08,-1e+06,-6.27e+08,5.43e+08,4.191e+09,0.19275,0.07692,0.01011,0.00159,5.36169,0.03873,0.34504,0.34373,4.48546,30.35707,0.00172,1.35175,1.70302
