"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_tax_liabilities_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"30","2017_Q3",25.0961904761905,"Up",2.624e+09,-8.13e+08,1.811e+09,-1.237e+09,-3.32e+08,-9.05e+08,5.74e+08,-2.23e+08,-2.48e+08,2.5e+07,3.51e+08,3.51e+08,-1.32e+08,2.19e+08,1.74e+08,1.74e+08,173999999.999999,1.14e+08,1.14e+08,1.375e+09,1.375e+09,5.53e+08,1.367e+09,2.27e+08,3.25e+08,3.409e+09,2.9179e+10,4.5178e+10,-1.5999e+10,1.0739e+10,5.618e+09,5.121e+09,3.9918e+10,4.3327e+10,1.225e+09,9.32e+08,2.93e+08,2.24e+09,1.155e+09,5.18e+08,6.37e+08,4.62e+09,2.0609e+10,1.1778e+10,3.992e+09,4.002e+09,3.2387e+10,3.7007e+10,1.0316e+10,-4.159e+09,1.63e+08,6.32e+09,6.32e+09,4.3327e+10,174000000.000001,4.13e+08,254000000.000001,1.1e+08,143999999.999999,-1.44e+08,6.97e+08,-6.66e+08,-6.66e+08,-2.5e+07,-4.5e+07,-7.36e+08,-1.6e+08,2.01e+08,-3.9e+07,2000000.00000003,-3.7e+07,-3.7e+07,-3.7e+07,9.87e+08,2.2849e+10,3.09e+08,0.69017,0.21875,0.06631,0.0275300000000001,0.00402,1.77586,0.73788,5.85554,0.52736,0.39189,0.39101,5.90991,14.23423,0.69595,0.36036,0.00816000000000002,0.00755,0.91954,23.03445,39.60801
"31","2017_Q4",26.1765079365079,"Up",2.768e+09,-8.03e+08,1.965e+09,-1.231e+09,-3.74e+08,-8.57e+08,7.34e+08,-2.26e+08,-2.58e+08,3.2e+07,5.08e+08,4.95e+08,-1.99e+08,2.96e+08,3.96e+08,3.96e+08,3.96e+08,3.99e+08,3.99e+08,1.37e+09,1.37e+09,5.43e+08,1.235e+09,1.23e+08,3.24e+08,3.547e+09,2.9498e+10,4.5584e+10,-1.6086e+10,1.0604e+10,5.618e+09,4.986e+09,4.0102e+10,4.3649e+10,1.261e+09,9.24e+08,3.37e+08,1.576e+09,1.387e+09,5.2e+08,8.67e+08,4.224e+09,2.112e+10,1.1899e+10,4.225e+09,3.86e+09,3.3019e+10,3.7243e+10,1.0018e+10,-3.763e+09,1.51e+08,6.406e+09,6.406e+09,4.3649e+10,3.96e+08,4.78e+08,2.82e+08,2.29e+08,5.3e+07,1.24e+08,1.28e+09,-5.93e+08,-5.93e+08,-2.4e+07,-7.4e+07,-6.91e+08,-1.59e+08,-1.51e+08,-1.5e+07,-3.25e+08,2.64e+08,2.64e+08,2.64e+08,1.212e+09,2.2696e+10,9.42e+08,0.7099,0.26517,0.14306,0.06182,0.00907,2.37879,0.83973,5.81377,0.51997,0.89189,0.88789,6.23423,14.42793,2.12162,0.35811,0.01354,0.02298,0.40152,18.39686,30.37738
"32","2018_Q1",26.1698360655738,"Down",2.681e+09,-8.12e+08,1.869e+09,-1.336e+09,-2.96e+08,-1.04e+09,5.33e+08,-2.32e+08,-2.54e+08,-3.1e+07,3.01e+08,1.71e+08,-1.232e+09,-1.061e+09,-2.499e+09,-2.499e+09,-2.499e+09,5.88e+08,5.88e+08,1.282e+09,1.282e+09,2.36e+08,1.004e+09,1.51e+08,2.21e+08,3.11e+09,2.8101e+10,3.8112e+10,-1.0011e+10,1.1046e+10,5.618e+09,3.553e+09,3.9147e+10,4.2257e+10,1.084e+09,8.27e+08,2.57e+08,8.58e+08,2.132e+09,5.33e+08,6.21e+08,4.074e+09,1.8726e+10,1.5532e+10,3.171e+09,8.386e+09,3.4258e+10,3.8332e+10,1.0045e+10,-6.262e+09,1.42e+08,3.925e+09,3.925e+09,4.2257e+10,-2.499e+09,3.93e+08,2.741e+09,3.86e+08,2.355e+09,4.11e+08,1.046e+09,-7.4e+08,-7.4e+08,-2.6e+07,-1.39e+08,-5.17e+08,-1.61e+08,-1.55e+08,-4999999.99999999,-3.21e+08,2.08e+08,2.08e+08,2.08e+08,9.26e+08,1.9584e+10,1.829e+09,0.69713,0.19881,-0.93211,-0.63669,-0.05914,-0.73189,0.76338,9.76611,0.46345,-5.61573,-5.66667,6.02472,8.82022,4.11011,0.3618,-0.05989,0.04685,-0.06443,20.51404,35.63977
"33","2018_Q2",28.21890625,"Up",2.976e+09,-1.012e+09,1.964e+09,-1.367e+09,-1.46e+08,-1.221e+09,5.97e+08,-1.68e+08,-2.5e+08,8.2e+07,4.29e+08,4.29e+08,-2.52e+08,1.77e+08,1.369e+09,1.369e+09,1.213e+09,2.48e+08,2.48e+08,1.279e+09,1.279e+09,2.73e+08,5.1e+08,2.54e+08,2.54e+08,2.31e+09,2.857e+10,3.8837e+10,-1.0267e+10,7.915e+09,5.618e+09,2.297e+09,3.6485e+10,3.8795e+10,1.259e+09,1.005e+09,2.54e+08,2.357e+09,1.412e+09,5.3e+08,8.82e+08,5.028e+09,1.6777e+10,9.615e+09,2.505e+09,4.393e+09,2.6392e+10,3.142e+10,1.1985e+10,-4.858e+09,8.6e+07,7.375e+09,7.375e+09,3.8795e+10,1.369e+09,2.8e+08,-2.257e+09,2.78e+08,-2.535e+09,-2.72e+08,-8.8e+08,-5.83e+08,-5.83e+08,-2.2e+07,-5.58e+08,-1.143e+09,-1.92e+08,-5.76e+08,-1.9e+07,1.679e+09,-3.44e+08,-3.44e+08,-3.44e+08,8.77e+08,1.9134e+10,2.74e+08,0.65995,0.2006,0.40759,0.16447,0.03127,0.22589,0.45943,4.26034,0.49321,2.54832,2.53766,6.2521,15.15336,0.57563,0.40336,0.03889,0.00758,0.15829,21.53478,31.63484
"34","2018_Q3",30.4079365079365,"Up",2.704e+09,-8.75e+08,1.829e+09,-1.142e+09,-1.92e+08,-9.5e+08,6.87e+08,-3.05e+08,-3.69e+08,6.4e+07,3.82e+08,3.82e+08,-1.15e+08,2.67e+08,2.99e+08,2.99e+08,1.51e+08,2.56e+08,2.56e+08,1.231e+09,1.231e+09,2.81e+08,5.95e+08,2.63e+08,3.32e+08,2.363e+09,2.9021e+10,3.9484e+10,-1.0463e+10,7.587e+09,5.618e+09,1.969e+09,3.6608e+10,3.8971e+10,1.173e+09,9.09e+08,2.64e+08,2.796e+09,1.065e+09,5.08e+08,5.57e+08,5.034e+09,1.6495e+10,9.743e+09,2.622e+09,4.404e+09,2.6238e+10,3.1272e+10,1.2023e+10,-4.559e+09,7.3e+07,7.699e+09,7.699e+09,3.8971e+10,2.99e+08,3.24e+08,-2e+06,4.9e+07,-5.1e+07,-29000000.0000001,5.92e+08,-7.24e+08,-7.24e+08,-1.1e+07,-57000000.0000001,-4.22e+08,-1.93e+08,-1.225e+09,1.273e+09,-1.45e+08,24999999.9999999,24999999.9999999,24999999.9999999,1.011e+09,1.9291e+10,3.73e+08,0.67641,0.25407,0.0558400000000002,0.0196100000000001,0.00387,2.4702,0.46941,4.06183,0.49501,0.31656,0.31524,5.66876,15.80084,0.78197,0.40461,0.00936,0.01015,1.27815,18.82789,27.70742
"35","2018_Q4",31.8211111111111,"Up",2.871e+09,-9.1e+08,1.961e+09,-1.255e+09,-3.17e+08,-9.38e+08,7.06e+08,-1.74e+08,-2.39e+08,6.5e+07,5.32e+08,5.32e+08,-1.36e+08,3.96e+08,-4.58e+08,-4.58e+08,-5.11e+08,4.36e+08,4.36e+08,1.317e+09,1.317e+09,2.4e+08,6.03e+08,2.36e+08,3.5e+08,2.596e+09,2.9407e+10,3.9875e+10,-1.0468e+10,7.44e+09,5.618e+09,1.822e+09,3.6847e+10,3.9443e+10,1.297e+09,9.97e+08,3e+08,2.828e+09,1.648e+09,5.29e+08,1.119e+09,5.773e+09,1.6635e+10,1.0162e+10,2.427e+09,4.993e+09,2.6797e+10,3.257e+10,1.1759e+10,-5.017e+09,6.1e+07,6.873e+09,6.873e+09,3.9443e+10,-4.58e+08,3.99e+08,9.53e+08,1.35e+08,8.18e+08,-4.8e+07,8.46e+08,-6.35e+08,-6.35e+08,-1.1e+07,-5.5e+07,-6.72e+08,-1.94e+08,1.47e+08,3.6e+07,-1.1e+07,1.63e+08,1.63e+08,1.63e+08,1.105e+09,1.9463e+10,5.58e+08,0.68304,0.24591,-0.17799,-0.07435,-0.01296,-1.09198,0.44968,4.73883,0.49345,-1.0159,-1.01188,5.70775,13.52485,1.10934,0.38569,-0.00869,0.01529,-0.37965,17.219,26.95042
"36","2019_Q1",33.7098360655738,"Up",2.71e+09,-8.5e+08,1.86e+09,-1.348e+09,-3.31e+08,-1.017e+09,5.12e+08,-1.99e+08,-2.58e+08,5.9e+07,3.13e+08,1.69e+08,1.3e+07,1.82e+08,1.38e+08,1.38e+08,1.28e+08,3.67e+08,3.67e+08,1.221e+09,1.221e+09,2.52e+08,5.52e+08,1.75e+08,3.52e+08,2.392e+09,2.9911e+10,4.0704e+10,-1.0793e+10,7.76e+09,5.618e+09,2.142e+09,3.7671e+10,4.0063e+10,1.526e+09,9.65e+08,5.61e+08,1.753e+09,1.355e+09,5.33e+08,8.22e+08,4.634e+09,1.7751e+10,1.0864e+10,2.502e+09,5.456e+09,2.8615e+10,3.3249e+10,1.1581e+10,-4.879e+09,4.1e+07,6.814e+09,6.814e+09,4.0063e+10,1.38e+08,3.81e+08,1.55e+08,2.3e+07,1.32e+08,1.78e+08,8.52e+08,-7.33e+08,-7.33e+08,-1e+07,-4.4e+07,-7.81e+08,-1.93e+08,1.47e+09,-1.406e+09,-1.29e+08,-5.8e+07,-5.8e+07,-5.8e+07,8.93e+08,1.9504e+10,3.25e+08,0.68635,0.18893,0.04723,0.01878,0.00319,2.53906,0.51618,4.87951,0.48683,0.25,0.24903,5.29297,13.16992,0.63477,0.37695,0.00863,0.00874,1.50781,21.43001,37.37695
"37","2019_Q2",35.9811111111111,"Up",2.883e+09,-9.12e+08,1.971e+09,-1.342e+09,-3.02e+08,-1.04e+09,6.29e+08,-1.81e+08,-2.53e+08,7.2e+07,4.48e+08,4.48e+08,-9.3e+07,3.55e+08,3.2e+08,3.2e+08,3.15e+08,1.74e+08,1.74e+08,1.263e+09,1.263e+09,2.68e+08,6.09e+08,3.14e+08,2.74e+08,2.314e+09,3.0266e+10,4.1227e+10,-1.0961e+10,7.91e+09,5.618e+09,2.292e+09,3.8176e+10,4.049e+10,1.145e+09,8.92e+08,2.53e+08,1.506e+09,1.643e+09,5.62e+08,1.081e+09,4.294e+09,1.8844e+10,1.042e+10,2.62e+09,5.383e+09,2.9264e+10,3.3558e+10,1.1434e+10,-4.559e+09,3.6e+07,6.932e+09,6.932e+09,4.049e+10,3.2e+08,3.45e+08,-4.24e+08,9.1e+07,-5.15e+08,-4.23e+08,-1.82e+08,-5.54e+08,-5.54e+08,-9e+06,-6.7e+07,-6.3e+08,-2.04e+08,7.72e+08,2.5e+07,5.93e+08,-2.19e+08,-2.19e+08,-2.19e+08,9.74e+08,2.035e+10,9e+07,0.68366,0.21818,0.10926,0.04544,0.00778,0.28571,0.53889,4.84103,0.50259,0.59434,0.59099,5.43962,13.03962,0.16981,0.38491,0.01377,0.00239,0.64762,20.71458,32.07631
"38","2019_Q3",39.10765625,"Up",2.516e+09,-7.4e+08,1.776e+09,-1.191e+09,-3.46e+08,-8.45e+08,5.85e+08,-1.63e+08,-2.59e+08,9.6e+07,4.22e+08,4.22e+08,-8.1e+07,3.41e+08,3.12e+08,3.12e+08,3.08e+08,4.22e+08,4.22e+08,1.109e+09,1.109e+09,2.61e+08,5.94e+08,2.8e+08,2.7e+08,2.386e+09,3.0678e+10,4.1817e+10,-1.1139e+10,7.82e+09,5.618e+09,2.202e+09,3.8498e+10,4.0884e+10,1.041e+09,8.1e+08,2.31e+08,1.631e+09,1.281e+09,4.16e+08,8.65e+08,3.953e+09,1.9083e+10,1.0579e+10,2.76e+09,5.405e+09,2.9662e+10,3.3615e+10,1.1464e+10,-4.247e+09,3.1e+07,7.269e+09,7.269e+09,4.0884e+10,3.12e+08,3.57e+08,72000000.0000001,7.1e+07,1e+06,6.6e+07,8.07e+08,-6.74e+08,-6.74e+08,-1.1e+07,-2.1e+07,-7.06e+08,-2.05e+08,4.21e+08,-53000000.0000002,1.63e+08,2.64e+08,2.64e+08,2.64e+08,9.42e+08,2.0714e+10,4.15e+08,0.70588,0.23251,0.12242,0.04237,0.00753,1.3474,0.60359,4.62443,0.50665,0.57895,0.57786,4.72932,13.62406,0.78008,0.38534,0.0133,0.01076,0.66558,21.5414,34.68718
"39","2019_Q4",41.62015625,"Up",2.963e+09,-9.2e+08,2.043e+09,-1.362e+09,-3.47e+08,-1.015e+09,6.81e+08,-1.85e+08,-2.61e+08,7.6e+07,4.96e+08,4.96e+08,-1.07e+08,3.89e+08,3.91e+08,3.91e+08,4e+08,7.16e+08,7.16e+08,1.13e+09,1.13e+09,2.58e+08,5.12e+08,2.39e+08,2.4e+08,2.616e+09,3.1152e+10,4.2386e+10,-1.1234e+10,7.738e+09,5.618e+09,2.12e+09,3.889e+10,4.1506e+10,1.161e+09,8.93e+08,2.68e+08,1.381e+09,1.667e+09,5.37e+08,1.13e+09,4.209e+09,1.9452e+10,1.0573e+10,2.9e+09,5.27e+09,3.0025e+10,3.4234e+10,1.1101e+10,-3.856e+09,2.7e+07,7.272e+09,7.272e+09,4.1506e+10,3.91e+08,3.67e+08,3.8e+07,8.9e+07,-5.1e+07,3.16e+08,1.112e+09,-6.84e+08,-6.84e+08,-1e+07,-5.1e+07,-7.45e+08,-2.06e+08,1.23e+08,-8e+06,-9.1e+07,2.76e+08,2.76e+08,2.76e+08,1.048e+09,2.0833e+10,7.87e+08,0.6895,0.22983,0.135,0.05501,0.00964,1.9675,0.62153,4.70765,0.50193,0.74488,0.71813,5.51769,13.5419,1.46555,0.38361,0.01567,0.02035,0.515,19.19561,29.54038
"40","2020_Q1",40.7911290322581,"Down",2.673e+09,-8.52e+08,1.821e+09,-1.206e+09,-1.46e+08,-1.06e+09,6.15e+08,-1.9e+08,-2.6e+08,7e+07,4.25e+08,-2.49e+08,6.8e+07,-1.81e+08,-1.11e+08,-1.11e+08,-1.15e+08,6.27e+08,6.27e+08,1.091e+09,1.091e+09,2.81e+08,4.45e+08,1.57e+08,2.55e+08,2.444e+09,3.165e+10,4.3077e+10,-1.1427e+10,7.325e+09,5.618e+09,1.707e+09,3.9857e+10,4.2301e+10,1.425e+09,9.18e+08,5.07e+08,1.38e+09,2.057e+09,5.45e+08,1.512e+09,4.862e+09,1.9618e+10,1.0846e+10,2.849e+09,4.932e+09,3.0464e+10,3.5326e+10,1.0922e+10,-3.967e+09,2e+07,6.975e+09,6.975e+09,4.2301e+10,-1.11e+08,1.48e+08,5.48e+08,-2.51e+08,7.99e+08,1.45e+08,7.3e+08,-7.53e+08,-7.53e+08,-8e+06,-3.1e+07,-7.92e+08,-2.05e+08,1.95e+08,1000000.00000001,-8999999.99999997,-7.1e+07,-7.1e+07,-7.1e+07,7.63e+08,2.0998e+10,8.7e+07,0.68126,0.23008,-0.04302,-0.01649,-0.00272,-0.75652,0.50267,5.06466,0.49639,-0.21257,-0.21101,4.94085,12.89279,0.16081,0.37893,0.00232,0.00224,-1.78261,26.69856,33.12358
"41","2020_Q2",36.6071428571429,"Down",2.709e+09,-7.92e+08,1.917e+09,-1.385e+09,-3.69e+08,-1.016e+09,5.32e+08,-1.63e+08,-2.63e+08,1e+08,3.69e+08,-3.6e+07,6e+07,2.4e+07,7.4e+07,7.4e+07,7.4e+07,1.52e+08,1.52e+08,1.009e+09,1.009e+09,2.85e+08,5.57e+08,2.79e+08,2.78e+08,2.003e+09,3.2005e+10,4.364e+10,-1.1635e+10,7.207e+09,5.618e+09,1.589e+09,4.0087e+10,4.209e+10,1.428e+09,8.98e+08,5.3e+08,1.131e+09,1.138e+09,5.66e+08,5.72e+08,3.697e+09,2.0821e+10,1.0758e+10,2.774e+09,4.529e+09,3.1579e+10,3.5276e+10,1.0705e+10,-3.893e+09,2e+06,6.814e+09,6.814e+09,4.209e+10,7.4e+07,2.95e+08,2.29e+08,-7.8e+07,3.07e+08,-1.158e+09,-5.6e+08,-6.16e+08,-6.16e+08,-5e+06,-3.8e+07,-6.59e+08,-2.11e+08,9.72e+08,-3.6e+07,7.25e+08,-4.94e+08,-4.94e+08,-4.94e+08,8.27e+08,2.1952e+10,-1.007e+09,0.70764,0.19638,0.02732,0.01086,0.00176,-13.60811,0.54179,5.17699,0.52155,0.13678,0.13628,5.00739,12.59519,-1.86137,0.39002,0.00721,-0.02548,2.85135,26.36034,40.97744
"42","2020_Q3",28.09953125,"Down",2.522e+09,-6.9e+08,1.832e+09,-1.317e+09,-3.34e+08,-9.83e+08,5.15e+08,-1.6e+08,-2.63e+08,1.03e+08,3.55e+08,3.73e+08,-6.6e+07,3.07e+08,3.09e+08,3.09e+08,3.09e+08,1.16e+08,1.16e+08,1.02e+09,1.02e+09,3.03e+08,5.47e+08,2.86e+08,2.61e+08,1.986e+09,3.2408e+10,4.4226e+10,-1.1818e+10,7.127e+09,5.618e+09,1.509e+09,4.0417e+10,4.2403e+10,1.418e+09,8.82e+08,5.36e+08,1.96e+08,9.3e+08,5.63e+08,3.67e+08,2.544e+09,2.198e+10,1.0736e+10,2.876e+09,4.459e+09,3.2716e+10,3.526e+10,1.0727e+10,-3.584e+09,-3377397.30508901,7.143e+09,7.143e+09,4.2403e+10,3.09e+08,3.07e+08,-9.67e+08,8.1e+07,-1.048e+09,1.061e+09,7.1e+08,-6.76e+08,-6.76e+08,-9e+06,-6.2e+07,-7.47e+08,-2.11e+08,2.36e+08,-8e+06,16999999.9999999,-2e+07,-2e+07,-2e+07,8.22e+08,2.2176e+10,1.273e+09,0.72641,0.2042,0.12252,0.04326,0.00729,4.11974,0.78066,4.9363,0.52298,0.57116,0.56906,4.66174,13.20333,2.35305,0.39002,0.01298,0.03178,0.68285,26.83698,42.83495
"43","2020_Q4",27.21203125,"Down",3.022e+09,-8.67e+08,2.155e+09,-1.434e+09,-2.25e+08,-1.209e+09,7.21e+08,-1.09e+08,-2.66e+08,1.57e+08,6.12e+08,5.76e+08,-1.16e+08,4.6e+08,4.54e+08,4.54e+08,4.54e+08,2.6e+08,2.6e+08,1.112e+09,1.112e+09,3.08e+08,4.82e+08,2.18e+08,2.64e+08,2.162e+09,3.2857e+10,4.4828e+10,-1.1971e+10,7.038e+09,5.618e+09,1.42e+09,4.0776e+10,4.2938e+10,1.513e+09,8.91e+08,6.22e+08,3.77e+08,1.187e+09,6.01e+08,5.86e+08,3.077e+09,2.2203e+10,1.047e+10,3.036e+09,4.092e+09,3.2673e+10,3.575e+10,1.032e+10,-3.13e+09,-2e+06,7.188e+09,7.188e+09,4.2938e+10,4.54e+08,2.02e+08,1.022e+09,1.21e+08,9.01e+08,-9.77e+08,7.01e+08,-6.87e+08,-6.87e+08,-4e+06,-7.4e+07,-7.65e+08,-2.12e+08,4.07e+08,0,1.95e+08,1.31e+08,1.31e+08,1.31e+08,9.23e+08,2.258e+10,-6.25e+08,0.7131,0.23858,0.15023,0.06316,0.01057,-1.37665,0.70263,4.97357,0.52587,0.83456,0.8361,5.55515,13.21324,-1.1489,0.38971,0.01655,-0.01553,0.46696,24.18202,30.957
"44","2021_Q1",30.054262295082,"Up",2.537e+09,-929168324.047094,2113191167.64123,-4.492e+09,-2.93e+08,-4.199e+09,3.94e+08,-1.24e+08,-2.73e+08,1.47e+08,2.7e+08,2.16e+08,-3999999.99999999,2.12e+08,2.42e+08,2.42e+08,2.42e+08,1.734e+09,1.734e+09,1.203e+09,1.203e+09,3.17e+08,4.6e+08,1.57e+08,3.03e+08,3.714e+09,3.3294e+10,4.5232e+10,-1.1938e+10,6.851e+09,5.618e+09,1.233e+09,4.075e+10,4.4464e+10,1.67e+09,8.27e+08,6.31e+08,2.346e+09,9.88e+08,6.4e+08,3.48e+08,5.004e+09,2.2131e+10,1.0092e+10,3.095e+09,3.652e+09,3.2223e+10,3.7227e+10,1.013e+10,-2.888e+09,-5e+06,7.237e+09,7.237e+09,4.4464e+10,2.42e+08,3.95e+08,-1.03e+08,103196853.307959,865143270.651771,3.8e+07,5.72e+08,-6.78e+08,-635689112.941357,-4e+06,1.19e+08,-5.63e+08,-2.11e+08,1.896e+09,-1.89e+08,1.496e+09,1.505e+09,1.505e+09,1.505e+09,7.89e+08,2.4477e+10,1.53e+08,0.692144423867818,0.1553,0.09539,0.03344,0.00544,0.632229999999999,0.74221,5.14398,0.55049,0.44649,0.44567,4.68081,13.3524,0.28229,0.3893,0.01084,0.00366,0.8719,28.8251,57.72335
"45","2021_Q2",34.5792063492064,"Up",2.726e+09,-8.36e+08,1.89e+09,-1.44e+09,-4.15e+08,-1.025e+09,4.5e+08,-1.37e+08,-2.85e+08,1.48e+08,3.13e+08,4.22e+08,-8.7e+07,3.35e+08,3.35e+08,3.35e+08,3.35e+08,1.281e+09,1.281e+09,1.031e+09,1.031e+09,3.03e+08,5.73e+08,2.81e+08,2.92e+08,3.188e+09,3.364e+10,4.5783e+10,-1.2143e+10,6.683e+09,5.618e+09,1.065e+09,4.0929e+10,4.4117e+10,1.443e+09,8.7e+08,5.73e+08,1.989e+09,1.192e+09,6.37e+08,5.55e+08,4.624e+09,2.2204e+10,9.929e+09,3.203e+09,3.452e+09,3.2133e+10,3.6757e+10,9.92e+09,-2.553e+09,-7e+06,7.36e+09,7.36e+09,4.4117e+10,3.35e+08,4.54e+08,-1.32e+08,8.2e+07,-213999999.999999,-1.24e+08,5.33e+08,-6.04e+08,-6.04e+08,-2e+06,-4.8e+07,-4.99e+08,-2.12e+08,-2.79e+08,-1.8e+07,-5.09e+08,-4.75e+08,-4.75e+08,-4.75e+08,9.04e+08,2.4193e+10,2.63e+08,0.69332,0.16508,0.12289,0.04552,0.00759,0.78507,0.68945,4.99416,0.54838,0.61694,0.61581,5.02026,13.55433,0.48435,0.39042,0.01319,0.00634,0.63284,25.34513,50.91556
"46","2021_Q3",35.65828125,"Up",2.622e+09,-7.26e+08,1.896e+09,-1.584e+09,-3.72e+08,-9.82e+08,3.12e+08,-1.58e+08,-2.87e+08,1.29e+08,1.54e+08,1.54e+08,-9.6e+07,57999999.9999999,5.8e+07,5.8e+07,5.8e+07,1.254e+09,1.254e+09,1.086e+09,1.086e+09,2.74e+08,5.82e+08,2.92e+08,2.9e+08,3.196e+09,3.4017e+10,4.6345e+10,-1.2328e+10,6.528e+09,5.618e+09,9.1e+08,4.1167e+10,4.4363e+10,1.773e+09,1.184e+09,5.89e+08,1.233e+09,8.65e+08,5.28e+08,3.37e+08,3.871e+09,2.3025e+10,1.0037e+10,3.316e+09,3.52e+09,3.3062e+10,3.6933e+10,9.934e+09,-2.495e+09,-9e+06,7.43e+09,7.43e+09,4.4363e+10,57999999.9999999,3.77e+08,70999999.9999999,9.4e+07,-2.3e+07,3.08e+08,8.14e+08,-6.22e+08,-6.22e+08,-4e+06,-9.7e+07,-7.23e+08,-2.12e+08,45999999.9999998,6.1e+07,-1.05e+08,-1.4e+07,-1.4e+07,-1.4e+07,6.89e+08,2.4258e+10,4.71e+08,0.72311,0.11899,0.02212,0.00781,0.00131,8.12069,0.82563,4.97079,0.54681,0.10681,0.10662,4.82873,13.68324,0.8674,0.39042,0.00647,0.01129,3.65517,33.38752,73.73077
"47","2021_Q4",36.59765625,"Up",3.124e+09,-766525668.746426,1967092212.28042,-2.493e+09,-3.56e+08,-2.137e+09,6.31e+08,-1.27e+08,-2.83e+08,1.56e+08,5.04e+08,5.04e+08,-8.8e+07,4.16e+08,4.63e+08,4.63e+08,4.63e+08,5.77e+08,5.77e+08,1.114e+09,1.114e+09,2.45e+08,5.96e+08,2.39e+08,3.57e+08,2.532e+09,3.4305e+10,4.6765e+10,-1.246e+10,6.385e+09,5.618e+09,7.67e+08,4.1322e+10,4.3854e+10,1.536e+09,8.76e+08,6.6e+08,1.23e+09,1.328e+09,6.41e+08,6.87e+08,4.094e+09,2.2503e+10,9.778e+09,3.366e+09,3.288e+09,3.2281e+10,3.6375e+10,9.522e+09,-2.032e+09,-1.1e+07,7.479e+09,7.479e+09,4.3854e+10,4.63e+08,3.88e+08,-3e+07,102168618.780659,154710024.440817,-6.4e+07,7.57e+08,-5.42e+08,-587970976.596488,-2e+06,1.29e+08,-4.15e+08,-2.12e+08,-5.25e+08,-2.33e+08,-9.7e+08,-6.28e+08,-6.28e+08,-6.28e+08,1.019e+09,2.3733e+10,5.01e+08,0.721860045679517,0.20198,0.14821,0.06191,0.01056,1.08207,0.61847,4.86362,0.54118,0.8511,0.84954,5.74265,13.74816,0.92096,0.38971,0.01647,0.01222,0.45788,22.72424,36.69731
"48","2022_Q1",40.5358064516129,"Up",2.66e+09,-901889061.929543,2006567771.45118,-3.998e+09,-4.28e+08,-3.57e+09,2.24e+08,-1.25e+08,-2.84e+08,1.28e+08,9.9e+07,4.79e+08,-4.9e+07,4.3e+08,4.27e+08,4.27e+08,4.27e+08,1.462e+09,1.462e+09,1.033e+09,1.033e+09,2.6e+08,4.82e+08,1.87e+08,2.95e+08,3.237e+09,3.4744e+10,4.7416e+10,-1.2672e+10,6.796e+09,5.618e+09,1.178e+09,4.2195e+10,4.5432e+10,1.761e+09,9.43e+08,5.96e+08,1.606e+09,1.049e+09,6.47e+08,4.02e+08,4.416e+09,2.2248e+10,1.0093e+10,3.437e+09,3.987e+09,3.2341e+10,3.6757e+10,1.0295e+10,-1.605e+09,-1.5e+07,8.675e+09,8.675e+09,4.5432e+10,4.27e+08,4.45e+08,-3.85e+08,96007302.8604193,49997288.2805202,2.2e+08,7.07e+08,-6.77e+08,-530099712.379583,-3e+06,-7.2e+07,-7.52e+08,-2.13e+08,1.26e+08,-4.1e+07,8.72e+08,8.27e+08,8.27e+08,8.27e+08,6.69e+08,2.3854e+10,2.61e+08,0.692819210886966,0.08421,0.16053,0.04922,0.0094,0.611239999999999,0.73302,4.23712,0.52505,0.78493,0.78349,4.88971,15.94669,0.47978,0.39154,0.01502,0.00612,0.49883,33.47085,99.96429
