"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"15","2016_Q4",40.0293650793651,"Up",1484736000,-784734000,700002000,-286388000,-174813000,-111575000,413614000,-65995000,-60662000,-5333000,347619000,347619000,-5241000,342378000,342378000,342378000,342378000,128347000,128347000,63215000,63215000,66255000,153276000,153276000,411093000,10117689000,2445129000,238673000,12562818000,12973911000,579755000,38002000,541753000,560193000,1172870000,1172870000,2312818000,5838494000,284873000,284873000,6123367000,8436185000,3890351000,1201103000,-314473000,4537726000,4537726000,12973911000,342378000,115098000,16062000,-132817000,340721000,-151037000,-151208000,-177955000,3036000,-5127000,-180046000,9467000,9467000,9467000,528712000,6398687000,250099000,0.47147,0.27858,0.2306,0.07545,0.02639,0.73048,0.17775,1.85912,0.4932,1.50763,1.50431,6.53792,19.98152,1.10129,0.03051,0.02229,11.85965,15.15988
"16","2017_Q1",48.5225806451613,"Up",1125137000,-695110000,430027000,-276477000,-161462000,-115015000,153550000,-83044000,-88023000,4979000,70506000,70506000,1726000,72232000.0000001,72232000.0000001,72232000,72232000,128347000,128347000,63215000,63215000,66255000,153276000,153276000,411093000,10117689000,2445129000,238673000,12562818000,12973911000,579755000,38002000,541753000,560193000,1172870000,1172870000,2312818000,5838494000,284873000,284873000,6123367000,8436185000,3890351000,1201103000,-314473000,4537726000,4537726000,12973911000,72232000.0000001,118269000,23534000,-63128000,150907000,-176155000,-178678000,10165000,1954000,-11432000,687000.00000006,-27084000,-27084000,-27084000,271819000,6398687000,30809999.9999999,0.3822,0.13647,0.0642,0.01592,0.00557,0.42654,0.17775,1.85912,0.4932,0.31795,0.31708,4.95263,19.97417,0.13562,0.00644,0.00274999999999999,23.06807,40.83582
"17","2017_Q2",51.6388888888889,"Up",1150781000,-719798000,430983000,-311249000,-192044000,-119205000,119734000,-55775000,-52960000,-2815000,63959000,63959000,-2049000,61910000,61910000,61910000,61910000,74131155.6181171,74131155.6044597,54504392.7047259,54504392.7047259,71693734.19472,150522792.887437,150522792.887437,350852075.405,10579940265.5056,2445305130.44137,238795629.822322,13025245395.947,13376097471.352,523520247.340773,43867257.8227399,479652989.518033,577428615.708598,1421099629.48352,1421099629.48352,2522048492.53289,5980207739.96072,253097697.629091,253097697.629091,6233305437.58981,8755353930.1227,3904010101.89959,1214228028.92142,-262009896.519859,4620743754.48388,4620743541.22926,13376097471.352,61910000,121593000,20118000,231323000,434944000,-117777000,-117777000,-229237000,9466000,-5954000,-225725000,91442000,91442000,91442000,241327000,0,356922000,0.37451,0.10405,0.0538,-0.000905272530797366,-0.000956980865298966,5.76518,0.138996324492395,1.89013088312198,0.490230934635959,0.27217,0.27087,5.05908,20.3102310445239,1.5691,-0.0009051623062461,-0.0444232445916227,24.8420729628434,43.0976855025538
"18","2017_Q3",55.9422222222222,"Up",1344103000,-752242000,591861000,-316790000,-193649000,-123141000,275071000,-69805000,-64196000,-5609000,205266000,205266000,-6793000,198473000,198473000,198473000,198473000,219315000,219315000,50359000,50359000,77089000,167153000,167153000,513916000,10974087000,2458173000,251717000,13432260000,13946176000,509758000,47242000,462516000,600500000,1543869000,1543869000,2654127000,6083226000,217074000,217074000,6300300000,8954427000,3937444000,1463639000,-170079000,4991749000,4991749000,13946176000,198473000,127025000,28177000,131112000,484787000,-947488000,-982743000,524968000,3747000,-31233000,497482000,-473999.99999994,-473999.99999994,-474000,402096000,6683726000,-407487000,0.44034,0.20465,0.14766,0.03976,0.01423,-2.05311,0.19363,1.79385,0.47925,0.87076,0.86635,5.89697,21.90025,-1.78776,0.01669,-0.03426,16.07679,23.50088
"19","2017_Q4",55.3455555555556,"Down",1651738000,-838165000,813573000,-336753000,-202221000,-134532000,476820000,-69601000,-66339000,-3262000,407219000,407219000,-6527000,400692000,400692000,400692000,400692000,522904000,522904000,56764000,56764000,78915000,206251000,206251000,864834000,10916824000,2483459000,277003000,13400283000,14265117000,595833000,45059000,550774000,605827000,1327002000,1327002000,2528662000,6002877000,195974000,195974000,6198851000,8727513000,3973583000,1864331000,-61055000,5537604000,5537604000,14265117000,400692000,137339000,32925000,-131049000,439907000,-64249000,-64249000,-85291000,14850000,-1628000,-72069000,303589000,303589000,303589000,614159000,6608704000,425388000,0.49256,0.28868,0.24259,0.07236,0.02809,1.06163,0.34201,1.57604,0.46328,1.75536,1.74353,7.23598,24.2593,1.86355,0.03246,0.03447,9.90916,12.76331
"20","2018_Q1",56.8526229508197,"Up",1249553000,-753439000,496114000,-318920000,-185841000,-133079000,177194000,-83024000,-84309000,1285000,94170000,94170000.0000001,4627000,98797000,98797000,98797000,98797000,176190000,176190000,43961000,43961000,82121000,216065000,216065000,518337000,11040488000,2536044000,329588000,13576532000,14094869000,567150000,53433000,513717000,619373000,1303498000,1303498000,2490021000,5688392000,166690000,166690000,5855082000,8345103000,3998927000,1963128000,26966000,5749766000,5749766000,14094869000,98797000,135527000,24005000,-32226000,226103000,-242700000,-240129000,-310935000,1969000.00000001,-23722000,-332688000,-346714000,-346714000,-346714000,312721000,6307765000,33168000,0.39703,0.14181,0.07907,0.01718,0.00701,0.335720000000001,0.20817,1.45138,0.44752,0.43238,0.42916,5.46859,25.16349,0.14516,0.00808,0.00271,19.60717,34.60374
"21","2018_Q2",52.65609375,"Down",1293403000,-768091000,525312000,-358259000,-227015000,-131244000,167053000,-61364000,-59698000,-1666000,105689000,105689000,-2534000,103155000,103155000,103155000,103155000,301748000,301748000,41159000,41159000,80427000,337441000,337441000,760775000,11085572000,2638638000,432182000,13724210000,14484985000,600851000,65573000,535278000,772187000,1720505000,1720505000,3093543000,5580290000,172079000,172079000,5752369000,8845912000,4020819000,2047152000,73862000,5639073000,5639073000,14484985000,103155000,134546000,30167000,342893000,610761000,-143874000,-143625000,38052000,-257544000,-122086000,-341578000,125558000,125558000,125558000,301599000,6352477000,503152000,0.40615,0.12916,0.07975,0.01829,0.00712,4.87763,0.24592,1.56868,0.43856,0.45374,0.45009,5.6892,24.80419,2.21318,0.00848,0.04137,20.06217,36.22042
"22","2018_Q3",51.7788888888889,"Down",1522174000,-862783000,659391000,-367239000,-226535000,-140704000,292152000,-60066000,-72988000,12922000,232086000,232086000,-5410000,226676000,226676000,226676000,226676000,205007000,205007000,44212000,44212000,93136000,329135000,329135000,671490000,12085701000,2572455000,365999000,14658156000,15329646000,674697000,54676000,620021000,679767000,1951701000,1951701000,3306165000,6149221000,187467000,187467000,6336688000,9642853000,4064373000,2273828000,51352000,5686793000,5686793000,15329646000,226676000,140296000,36511000,239557000,643040000,-1107560000,-1042512000,500403000,-186935000,-10737000,302731000,-96741000,-96741000,-96741000,432448000,6828988000,-430145000,0.43319,0.19193,0.14892,0.03986,0.01479,-1.89762,0.2031,1.69566,0.44548,1.01508,1.01018,6.81647,25.4661,-1.92624,0.01784,-0.03386,15.3174,22.67306
"23","2018_Q4",48.4652380952381,"Down",1858356000,-928944000,929412000,-379136000,-235436000,-143700000,550276000,-69442000,-69540000,98000,480834000,480834000,-10456000,470378000,470378000,470378000,470378000,286461000,286461000,46562000,46562000,95950000,298435000,298435000,727408000,12029140000,2559574000,353118000,14588714000,15316122000,723529000,59423000,664106000,679908000,1648742000,1648742000,3052179000,5875252000,190601000,190601000,6065853000,9118032000,4100526000,2744206000,56118000,6198090000,6198090000,15316122000,470378000,145312000,31389000,-180779000,466300000,-110244000,-109990000,-280602000,7616000,-1870000,-274856000,81454000,81454000,81454000,695588000,6555160000,415021000,0.50013,0.29611,0.25312,0.07589,0.03071,0.88231,0.23832,1.4711,0.42799,2.12349,2.11166,8.38943,27.98088,1.87359,0.03634,0.03206,9.01209,11.39192
"24","2019_Q1",51.5437704918033,"Up",1381193000,-817258000,563935000,-354355000,-208943000,-145412000,209580000,-58879000,-68178000,9299000,150701000,150701000,3933000,154634000,154634000,154634000,154634000,163851000,163851000,55249000,55249000,90202000,241011000,241011000,550313000,12119253000,2536404000,329948000,14655657000,15205970000,876063000,159564000,716499000,681218000,1593219000,1593219000,3150500000,5810873000,281596000,281596000,6092469000,9242969000,4129874000,2898840000,-161647000,5963001000,5963001000,15205970000,154634000,146818000,25803000,27815000.0000001,355070000,-205118000,-206581000,-69232000,-199129000,-2738000.00000001,-271099000,-122610000,-122610000,-122610000,356398000,6492091000,175162000,0.4083,0.15174,0.11196,0.02593,0.01017,1.13275,0.17467,1.55005,0.42694,0.70338,0.69861,6.28262,27.12386,0.79676,0.01214,0.01375,17.7561,30.19487
"25","2019_Q2",55.5787301587302,"Up",1403630000,-826651000,576979000,-418683000,-248942000,-169741000,158296000,-73937000,-73503000,-434000,84359000,84359000,33798000,118157000,118157000,118157000,118157000,304708000,304708000,57054000,57054000,90101000,316532000,316532000,768395000,12181007000,2811691000,605235000,14992698000,15761093000,797886000,66665000,731221000,608307000,2023227000,2023227000,3429420000,5934185000,492186000,492186000,6426371000,9855791000,4145767000,3016997000,-153400000,5905302000,5905302000,15761093000,118157000,169714000,-3062000,250568000,535377000,-214559000,-221918000,46411000,-192252000,-26761000,-172602000,140857000,140857000,140857000,328010000,6542492000,330221000,0.41106,0.11278,0.08418,0.02001,0.0075,2.79476,0.22406,1.66897,0.4151,0.5439,0.53984,6.46115,27.18312,1.52006,0.00913,0.02552,19.01705,39.40582
"26","2019_Q3",50.72140625,"Down",1664277000,-958424000,705853000,-397172000,-240901000,-156271000,308681000,-62353000,-65969000,3616000,246328000,246328000,-6137999.99999999,240190000,240190000,240190000,240190000,419925000,419925000,75134000,75134000,90956000,317549000,317549000,903564000,12252055000,2810358000,603902000,15062413000,15965977000,810139000,75776000,734363000,605141000,2167271000,2167271000,3582551000,5743927000,489156000,489156000,6233083000,9815634000,4177062000,3257187000,-179769000,6150343000,6150343000,15965977000,240190000,156757000,31438000,96012000,524397000,-199329000,-206187000,-203026000,3549000.00000003,-3516000,-202993000,115217000,115217000,115217000,465438000,6349068000,368259000,0.42412,0.18547,0.14432,0.03905,0.01504,1.5332,0.25221,1.59595,0.39766,1.115,1.10788,7.72586,28.55095,1.70952,0.01849,0.02835,12.73885,19.20799
"27","2019_Q4",52.77859375,"Up",1913851000,-990764000,923087000,-411363000,-255148000,-156215000,511724000,-49937000,-60188000,10251000,461787000,461787000,-11203000,450584000,450584000,450584000,450584000,407258000,407258000,67698000,67698000,94254000,273506000,273506000,842716000,12288897000,2807283000,600827000,15096180000,15938896000,932849000,72151000,860698000,605106000,1861636000,1861636000,3399591000,5672626000,593255000,593255000,6265881000,9665472000,4209212000,3707771000,-389633000,6273424000,6273424000,15938896000,450584000,156026000,27677000,-247019000,387268000,-202097000,-183108000,-73739000,-142954000,-134000,-216827000,-12667000,-12667000,-12667000,667750000,6277732000,229837000,0.48232,0.26738,0.23543,0.07182,0.02827,0.51009,0.24789,1.5407,0.39386,2.10372,2.09111,8.93553,29.28983,1.07308,0.03428,0.01749,8.79142,11.47195
"28","2020_Q1",40.2103225806452,"Down",1480618000,-887422000,593196000,-393820000,-229859000,-163961000,199376000,-80485000,-73207000,-7278000,118891000,118891000,2406000,121297000,121297000,121297000,121297000,252876000,252876000,75109000,75109000,95427000,306733000,306733000,730145000,13135337000,2819117000,612661000,15954454000,16684599000,883052000,100777000,782275000,746358000,1954980000,1954980000,3584390000,6055335000,529295000,529295000,6584630000,10169020000,4235927000,3829068000,-295490000,6515579000,6515579000,16684599000,121297000,164605000,24063000,65598000,375563000,-1021185000,-1068979000,545919000,13734000,-20619000,539034000,-154382000,-154382000,-154382000,363981000,6801693000,-594012000,0.40064,0.13466,0.0819199999999999,0.01862,0.00727,-4.89717,0.2037,1.56072,0.40766,0.5698,0.56483,6.95525,30.60716,-2.79039,0.00876,-0.0429,17.99219,32.84657
"29","2020_Q2",14.6511111111111,"Down",1246882000,-994260000,252622000,-468886000,-270689000,-198197000,-216264000,-63084000,-68907000,5823000,-279348000,-1887145000,6173000,-1880972000,-1880972000,-1880972000,-1880972000,1360261000,1360261000,96277000,96277000,85516000,154281000,154281000,1696335000,13567576000,1198598000,599939000,14766174000,16462509000,1126469000,364216000,762253000,173797000,1659527000,1659527000,2959793000,8432425000,695637000,695637000,9128062000,12087855000,4257810000,1950019000,-579249000,4374654000,4374654000,16462509000,-1880972000,195195000,1655040000,-21964000,-52701000,-610155000,-637893000,1826340000,4100000,-27968000,1802472000,1111878000,1111878000,1107385000,-21069000,8606222000,-659361000,0.2026,-0.17344,-1.50854,-0.42997,-0.11426,0.35054,0.57313,2.76316,0.52278,-8.80478,-8.80478,5.83662,20.47764,-3.08645,-0.13753,-0.04821,-343.91575,-33.50516
