"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",11.57640625,"Up",74655000,-29161000,45494000,-36595000,-7613000,-28982000,8899000,-10345000,-10272000,-10272000,-73000,-1446000,-591000,-2037000,-2037000,-428000,36000,-392000,-1894000,2625000,2625000,13261000,13261000,15886000,2069119000,2436455000,-367336000,27928000,27928000,2097047000,2112933000,295320000,52405000,16455000,11866000,11866000,307186000,7.8e+08,437000,437000,780437000,1087623000,1437710000,-429736000,-18839000,989166000,36144000,1025310000,2112933000,-428000,30365000,1211000,-4687000,26461000,-13741000,2373000,-16057000,-16584000,2299000,2299000,-362000,-30704000,-1870000,-1870000,-1870000,39264000,7.8e+08,0.60939,0.1192,-0.02537,-0.00185,-9e-04,0.05171,1.06077,0.36916,-0.01425,-0.01425,0.56152,7.43985,0.12077,0.00784,-8.47782,19.79867,87.35532
"12","2013_Q3",12.12796875,"Up",78290000,-28468000,49822000,-35909000,-7515000,-28394000,13913000,-10775000,-10588000,-10588000,-187000,3138000,-2145000,993000,993000,2568000,-18000,2550000,1048000,4021000,4021000,13961000,13961000,17982000,2149668000,2536592000,-386924000,30072000,30072000,2179740000,2197722000,285244000,54241000,16550000,12682000,12682000,297926000,8.6e+08,427000,427000,860427000,1158353000,1458615000,-444044000,-11794000,1002808000,36561000,1039369000,2197722000,2568000,29738000,1702000,4842000,38850000,-106958000,-106419000,-16205000,68232000,19367000,19367000,-2429000,68965000,1396000,1396000,1396000,43651000,8.6e+08,0.63638,0.17771,0.01339,0.00101,0.00048,0.06036,1.11448,0.39131,0.00784,0.00784,0.58567,7.50149,0.12123,0.00908,15.46279,19.60961,61.52368
"13","2013_Q4",12.295,"Up",82487000,-30011000,52476000,-35774000,-7326000,-28448000,16702000,-9990000,-9968000,-9968000,-22000,6712000,-1006000,5706000,5706000,16601000,-259000,16342000,14840000,2940000,2940000,81035000,13111000,83975000,2093268000,2473889000,-380621000,25920000,25920000,2119188000,2203163000,278026000,55113000,16813000,13313000,12338000,291339000,838300000,388000,388000,838688000,1130027000,1493420000,-448519000,-12626000,1032306000,40830000,1073136000,2203163000,16601000,29710000,-8634000,903000,38580000,-51690000,-26227000,-16337000,-30200000,33321000,33321000,-218000,-13434000,-1081000,-1081000,-1081000,46412000,838300000,0.63617,0.20248,0.17991,0.01383,0.00674,0.28824,1.05301,0.3805,0.10963,0.10745,0.60937,7.62586,0.12069,0.01631,1.10088,17.99879,50.01557
"14","2014_Q1",12.1001639344262,"Down",82963000,-30582000,52381000,-33598000,-7109000,-26489000,18783000,-10457000,-9596000,-9596000,290000,8326000,-2579000,5747000,5747000,23253000,-305000,22948000,21446000,3176000,3176000,16712000,16712000,19888000,2155170000,2553706000,-398536000,27256000,27256000,2338736000,2358624000,277772000,57599000,19955000,12394000,12394000,290166000,938600000,376000,376000,938976000,1229142000,1544096000,-440837000,-11014000,1092276000,37206000,1129482000,2358624000,23253000,27261000,-14988000,3445000,38971000,-83522000,-152651000,-16568000,83144000,49013000,49013000,-1673000,113916000,236000,236000,236000,46044000,938600000,0.63138,0.2264,0.2585,0.01899,0.00909,0.06854,1.08824,0.39794,0.15454,0.14666,0.59784,7.87084,0.11939,0.01838,0.772540000000003,20.31587,49.80163
"15","2014_Q2",13.2430158730159,"Up",87267000,-32290000,54977000,-34684000,-6569000,-28115000,20293000,-13833000,-11871000,-11871000,-593000,6460000,-2220000,4240000,4240000,4576000,-46000,4530000,3028000,3235000,3235000,16050000,16050000,19285000,2241359000,2660819000,-419460000,27420000,27420000,2423246000,2442531000,295973000,49627000,20321000,13567000,13567000,309540000,970600000,387000,387000,970987000,1280527000,1591416000,-459335000,-10360000,1121752000,40252000,1162004000,2442531000,4576000,28656000,1355000,-4006000,30581000,-89219000,-88439000,-19659000,30691000,46723000,46723000,162000,57917000,59000,59000,59000,48949000,970600000,0.62999,0.23254,0.0347,0.00261,0.00124,0.0623,1.102,0.39737,0.02159,0.02121,0.62236,7.99978,0.1402,0.01064,6.4924,19.76271,47.66989
"16","2014_Q3",13.551875,"Up",92337000,-32080000,60257000,-37546000,-7059000,-30487000,22711000,-13929000,-12027000,-12027000,-173000,8782000,-789000,7993000,7993000,7993000,-107000,7886000,6384000,10789000,10789000,15130000,15130000,25919000,2334791000,2776835000,-442044000,41400000,41400000,2477204000,2503123000,303039000,57847000,20960000,14632000,14632000,317671000,956900000,392000,392000,957292000,1274963000,1670798000,-474944000,-10650000,1185235000,42925000,1228160000,2503123000,7993000,31030000,199000,1776000,40998000,-143677000,-78479000,-20027000,-15044000,80367000,80367000,-261000,45035000,7554000,7554000,7554000,53741000,956900000,0.65258,0.24596,0.06914,0.0052,0.00255,0.08159,1.03811,0.38228,0.04412,0.04354,0.63811,8.1906,0.1384,0.01208,3.13706,17.60501,41.65871
"17","2014_Q4",15.32359375,"Up",97092000,-33622000,63470000,-39086000,-7464000,-31622000,24384000,-13969000,-11772000,-11772000,-337000,10415000,-1824000,8591000,8591000,8591000,-111000,8480000,6978000,31264000,31264000,15448000,15448000,46712000,2356670000,2823186000,-466516000,43263000,43263000,2498254000,2544966000,300787000,63139000,21799000,14491000,14491000,315278000,9e+08,394000,394000,900394000,1215672000,1783050000,-487357000,-8558000,1287166000,42128000,1329294000,2544966000,8591000,32188000,1804000,4770000,47353000,-52866000,-52055000,-20664000,-64836000,111141000,111141000,-464000,25177000,20475000,20475000,20475000,56572000,9e+08,0.65371,0.25114,0.07187,0.00525,0.00274,0.14816,0.91452,0.35364,0.04657,0.04595,0.64799,8.59035,0.13791,0.0124,2.96131,15.35629,35.6273
"18","2015_Q1",17.9003278688525,"Up",100267000,-34709000,65558000,-43919000,-7330000,-36589000,21639000,-11731000,-11132000,-11132000,698000,9908000,-4366000,5542000,5542000,5542000,-59000,5483000,3981000,2901000,2901000,13958000,13958000,16859000,2625129000,3117198000,-492069000,48642000,48642000,2769480000,2786339000,293186000,69198000,28137000,15311000,15311000,308497000,9.78e+08,401000,401000,978401000,1286898000,1975947000,-519193000,-8759000,1448026000,51415000,1499441000,2786339000,5542000,37129000,2883000,1546000,47100000,-305286000,-303726000,-21507000,58440000,191577000,191577000,-247000,228263000,-28363000,-28363000,-28363000,58768000,9.78e+08,0.65383,0.21581,0.0397,0.00265,0.00143,0.05465,0.85825,0.351,0.02462,0.02454,0.62019,8.95643,0.13303,0.01029,5.40241,16.59235,45.06211
"19","2015_Q2",17.6596825396825,"Down",103688000,-37431000,66257000,-45068000,-7173000,-37895000,21189000,-11611000,-11057000,-11057000,-316000,9578000,-1056000,8522000,8522000,8522000,-88000,8434000,6932000,3017000,3017000,13848000,13848000,16865000,2658088000,3178202000,-520114000,39129000,39129000,2791135000,2.808e+09,295464000,70116000,28480000,16242000,16242000,311706000,9.8e+08,399000,399000,980399000,1292105000,2013356000,-543860000,-9835000,1459692000,56203000,1515895000,2.808e+09,8522000,38441000,-990000,-2548000,43425000,-55450000,-53928000,-27776000,717000,37880000,37880000,-202000,10619000,116000,116000,116000,59630000,9.8e+08,0.639,0.20435,0.06685,0.00457,0.00247,0.05411,0.85237,0.349,0.04188,0.04147,0.62651,8.8196,0.16783,0.0139,4.00692,16.38409,46.10803
"20","2015_Q3",19.28046875,"Up",109871000,-38210000,71661000,-45200000,-7114000,-38086000,26461000,-11176000,-10868000,-10868000,-208000,15285000,-1412000,13873000,13873000,13873000,-149000,13724000,12222000,3167000,3167000,15007000,15007000,18174000,2711220000,3260426000,-549206000,42188000,42188000,2845779000,2863953000,252782000,81805000,28685000,17141000,17141000,269923000,1061600000,403000,403000,1062003000,1331926000,2042535000,-556385000,-8378000,1477803000,54224000,1532027000,2863953000,13873000,38745000,1170000,3475000,57263000,-83177000,-81762000,-28115000,27432000,27957000,27957000,-2625000,24649000,150000.000000004,150000.000000004,150000.000000004,65206000,1061600000,0.65223,0.24084,0.11124,0.00798,0.00427,0.06733,0.86939,0.37068,0.07332,0.07269,0.65913,8.86539,0.16867,0.01555,2.30036,16.23214,39.99974
"21","2015_Q4",21.76671875,"Up",115970000,-39297000,76673000,-45746000,-7002000,-38744000,30927000,-10548000,-10399000,-10399000,-288000,20379000,-1759000,18620000,18620000,18620000,-182000,18438000,16936000,3018000,3018000,41491000,13986000,44509000,2754061000,3323554000,-569493000,40511000,40511000,2885397000,2929906000,237944000,88259000,29241000,17804000,17079000,255748000,1067800000,393000,393000,1068193000,1323941000,2128961000,-576086000,-8824000,1544082000,61883000,1605965000,2929906000,18620000,39281000,603000,3299000,61803000,-104060000,-102213000,-28321000,-15278000,84222000,84222000,-362000,40261000,-149000,-149000,-149000,70208000,1067800000,0.66115,0.26668,0.14604,0.01055,0.00578,0.17403,0.82439,0.36445,0.10001,0.09915,0.68484,9.11811,0.16724,0.01692,1.67224,15.16611,34.42888
"22","2016_Q1",23.4508196721311,"Up",114992000,-38234000,76758000,-44146000,-7082000,-37064000,32612000,-11040000,-11412000,-11412000,584000,21572000,16169000,37741000,37741000,37741000,-625000,37116000,35614000,62869000,62869000,27400000,27400000,90269000,2872983000,3467032000,-594049000,43631000,43631000,3013895000,3104164000,235174000,85034000,38685000,17519000,17519000,252693000,1140087000,403000,403000,1140490000,1393183000,2232928000,-584654000,-4978000,1643327000,67654000,1710981000,3104164000,37741000,37646000,-14903000,-5703000,54781000,-143149000,-136705000,-28889000,73562000,101492000,101492000,-4390000,141775000,59851000,59851000,59851000,70258000,1140087000,0.66751,0.2836,0.30971,0.02081,0.01147,0.35723,0.81426,0.36728,0.20583,0.20392,0.66458,9.49723,0.16696,0.02262,0.81117,15.33232,33.03134
"23","2016_Q2",23.9584375,"Up",118871000,-40219000,78652000,-47584000,-8228000,-39356000,31068000,-12266000,-12084000,-12084000,330000,18802000,-2947000,15855000,15855000,15855000,-105000,15750000,14248000,2754000,2754000,5289000,5289000,8043000,3056841000,3679665000,-622824000,41326000,41326000,3198644000,3206687000,237171000,96245000,39210000,18673000,18673000,255844000,1194778000,397000,397000,1195175000,1451019000,2301298000,-613734000,-5302000,1682293000,73375000,1755668000,3206687000,15855000,39961000,1234000,6482000,63532000,-193339000,-196884000,-38232000,44744000,68778000,68778000,-2053000,73237000,-60115000,-60115000,-60115000,71029000,1194778000,0.66166,0.26136,0.11986,0.00812,0.00444,0.03144,0.82648,0.37259,0.08105,0.08038,0.67618,9.56929,0.21748,0.01778,2.68332,16.78222,38.36822
"24","2016_Q3",22.17515625,"Down",126526000,-41607000,84919000,-49339000,-7891000,-41448000,35580000,-12023000,-12200000,-12200000,901000,23557000,-3174000,20383000,20383000,20383000,41000,20424000,18922000,3423000,3423000,11492000,11492000,14915000,3208439000,3861096000,-652657000,39240000,39240000,3347594000,3362509000,274960000,96795000,39449000,19868000,19868000,294828000,1290868000,402000,402000,1291270000,1586098000,2334524000,-627689000,-4623000,1702243000,74168000,1776411000,3362509000,20383000,42059000,2174000,-2561000,62055000,-149995000,-150183000,-38756000,91597000,32024000,32024000,3932000,88797000,669000,669000,669000,77639000,1290868000,0.67116,0.28121,0.14955,0.01065,0.00563,0.0505900000000001,0.89287,0.3839,0.10638,0.10566,0.71131,9.56955,0.21788,0.0188,2.0482,16.58245,36.18451
"25","2016_Q4",19.961746031746,"Down",132096000,-41805000,90291000,-49892000,-8065000,-41827000,40399000,-13765000,-12787000,-12787000,-397000,26634000,-1543000,25091000,25091000,25091000,-207000,24884000,23382000,87379000,87379000,10365000,10365000,97744000,3282983000,3968754000,-685771000,41067000,41067000,3421455000,3519199000,249028000,93854000,39781000,20141000,20141000,269169000,1437336000,420000,420000,1437756000,1706925000,2383635000,-634248000,-3247000,1746171000,66103000,1812274000,3519199000,25091000,42482000,1514000,8378000,77465000,-127828000,-125066000,-38984000,125523000,47922000,47922000,-2904000,131557000,83956000,83956000,83956000,82881000,1437336000,0.68353,0.30583,0.17701,0.0129,0.00664,0.36313,0.94187,0.40843,0.13045,0.12956,0.73697,9.74186,0.21749,0.01919,1.66727,16.28789,33.4156
"26","2017_Q1",20.6783870967742,"Up",132546000,-42216000,90330000,-47873000,-8639000,-39234000,42457000,-13945000,-13328000,-13328000,228000,28512000,-1465000,27047000,27047000,27047000,-2e+05,26847000,23371000,2972999.99999999,2972999.99999999,10043000,10043000,13016000,3326816000,3998180000,-671364000,36514000,36514000,3462012000,3475028000,257621000,93764000,49239000,20226000,20226000,277847000,1481125000,412000,412000,1481537000,1759384000,2315815000,-658583000,-1850000,1655382000,60262000,1715644000,3475028000,27047000,39940000,1452000,-8217000,60222000,-84063000,-87155000,-39853000,42688000,681000,681000,-77696000,-74180000,-101113000,-101113000,-101113000,82397000,1481125000,0.6815,0.32032,0.17632,0.01362,0.00673,0.04685,1.02549,0.42622,0.12979,0.12889,0.73609,9.19314,0.22132,0.01977,1.70523,17.93939,34.81527
"27","2017_Q2",20.1625396825397,"Down",133037000,-44874000,88163000,-47613000,-9494000,-38119000,40550000,-14479000,-13599000,-13599000,-108000,26071000,-865000,25206000,25206000,25206000,-220000,24986000,24986000,3081000,3081000,8594000,8594000,11675000,3327220000,4020366000,-693146000,31284000,31284000,3454440000,3466115000,261102000,104200000,49255000,21132000,21132000,282234000,1491313000,415000,415000,1491728000,1773962000,2315152000,-680919000,-1023000,1633210000,58943000,1692153000,3466115000,25206000,38825000,1998000,1878000,67907000,-23127000,-21153000,-48690000,2889000,-42000,-42000,-2140000,-47983000,-1229000,-1229000,-1229000,79375000,1491313000,0.6627,0.3048,0.18781,0.01477,0.00721,0.04137,1.04835,0.43025,0.13868,0.13784,0.73842,9.06508,0.27025,0.02314,1.94869,18.74938,36.70116
"28","2017_Q3",19.9131746031746,"Down",138559000,-44821000,93738000,-45536000,-8800000,-36736000,48202000,-13920000,-13975000,-13975000,308000,34282000,-1444000,32838000,32838000,32838000,-380000,32458000,32458000,8077000,8077000,6039000,6039000,14116000,3351884000,4071098000,-719214000,33481000,33481000,3479122000,3493238000,288980000,126621000,49382000,21964000,21964000,310944000,1501123000,422000,422000,1501545000,1812489000,2307888000,-691778000,-666000,1615444000,65305000,1680749000,3493238000,32838000,37512000,1575000,7216000,79141000,-30404000,-28478000,-48707000,9603000,-41000,-41000,-8914000,-48059000,2603999.99999997,2603999.99999997,2603999.99999997,85714000,1501123000,0.67652,0.34788,0.23425,0.01931,0.00929,0.0454,1.07838,0.42972,0.18014,0.1792,0.76899,8.96557,0.27032,0.02551,1.50062,17.41893,30.97477
"29","2017_Q4",22.7146031746032,"Up",143865000,-47152000,96713000,-44199000,-8228000,-35971000,52514000,-13993000,-14454000,-14454000,741000,38521000,-812000,37709000,37709000,37709000,-412000,37297000,37297000,6230000,6230000,5898000,5898000,12128000,3363258000,4086960000,-723702000,36178000,36178000,3490891000,3503019000,300989000,139368000,49407000,21765000,21765000,322754000,1508189000,414000,414000,1508603000,1831357000,2325687000,-708404000,-363000,1616920000,54742000,1671662000,3503019000,37709000,36548000,1538000,819000,76614000,-36542000,-34520000,-48710000,6078000,730000,730000,-2014000,-43916000,-1822000,-1822000,-1822000,89062000,1508189000,0.67225,0.36502,0.25925,0.02231,0.01065,0.03758,1.09553,0.43054,0.20685,0.20574,0.79789,8.96764,0.27015,0.02704,1.306,16.8642,28.60112
