"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"12","2013_Q3",30.0659375,"Up",293204000,-235365000,57839000,-53674000,-35793000,-17881000,4165000,-155000,-4999.99999999999,-150000,4010000,4010000,-311999.999999999,3698000,3698000,3698000,3698000,84737000,84737000,14582000,14582000,22641000,18565000,16785000,1780000,140525000,25541000,5260000,2784000,2476000,30801000,171326000,96562000,49498000,47064000,29859000,29859000,126421000,1383000,1383000,1383000,127804000,359451000,-80228000,-235701000,43522000,43522000,171326000,3698000,3663000,781000,-3350000,4792000,-3234000,-2872000,-1.86264514923096e-09,986000,-64000,922000.000000002,2842000,2842000,2842000,7828000,0,1556000.00000001,0.19727,0.01421,0.01261,0.08497,0.02158,0.420769999999999,1.11156,2.93654,2.71050543121376e-20,0.15594,0.15229,12.36417,1.83529,0.0656199999999999,0.08235,0.03465,-10.82486,-20.34502
"13","2013_Q4",26.94015625,"Down",301426000,-242276000,59150000,-55692000,-38433000,-17259000,3458000,166000,1000,165000,3624000,3624000,-91000,3533000,3533000,3533000,3533000,84862000,84862000,14672000,14672000,24659000,14842000,13062000,1780000,139035000,26892000,4951000,2784000,2167000,40403000,179438000,100097000,54685000,45412000,29858000,29858000,129955000,1147000,1147000,1147000,131102000,360732000,-80228000,-232168000,48336000,48336000,179438000,3533000,3307000,798000,2532000,10170000,-4687000,-10451000,0,472000,-66000,406000,125000,125000,125000,6765000,0,4701000,0.19623,0.01147,0.01172,0.07309,0.01969,1.3306,1.06987,2.71231,0,0.14866,0.14452,12.68308,2.03383,0.1978,0.0714,0.095,-12.54427,-24.54078
"14","2014_Q1",22.8096721311475,"Down",397593000,-325858000,71735000,-70208000,-51759000,-18449000,1527000,-560000,35000,-595000,967000,967000,68483000,69450000,69450000,69450000,69450000,148665000,148665000,16047000,16047000,28847000,25448000,10298000,1580000,219007000,27194000,59757000,2784000,2023000,96629000,315636000,156261000,90582000,65679000,37321000,37321000,193582000,3294000,3294000,3294000,196876000,361708000,-80230000,-162718000,118760000,118760000,315636000,69450000,3689000,-67572000,63312000,68879000,-4097000,-5235000,0,1e+05,59000,159000,63803000,63803000,63803000,5216000,0,-4052000,0.18042,0.00384,0.17468,0.58479,0.22003,-0.0583400000000005,1.13134,1.65776,-1.6940658945086e-21,2.92028,2.8427,16.71823,4.99369,-0.17038,0.56901,-0.0332,-28.50173,-97.35756
"15","2014_Q2",16.3457142857143,"Down",341207000,-277211000,63996000,-57929000,-38688000,-19241000,6067000,493000,34000,459000,6560000,6560000,-2590000,3970000,3970000,3970000,3970000,110647000,110647000,15836000,15836000,24438000,25469000,10035000,1580000,176390000,33417000,61093000,2784000,1829000,104188000,280578000,114073000,62219000,51854000,36843000,36843000,150916000,3997000,3997000,3997000,154913000,362802000,-82520000,-154617000,125665000,125665000,280578000,3970000,3795000,2875000,-40319000,-29679000,-6217000,-6152000,0,-2119000,-68000,-2187000,-38018000,-38018000,-38018000,9862000,0,-34084000,0.18756,0.01778,0.01164,0.03159,0.01415,-8.58539,1.1688,1.23275,0,0.16593,0.16311,14.26093,5.25224,-1.42456,0.03062,-0.26287,-11.21953,-18.23751
"16","2014_Q3",16.8128125,"Up",332545000,-269920000,62625000,-60832000,-39424000,-21408000,1793000,549000,25000,524000,2342000,2342000,-433000.000000007,1909000,1909000,1908999.99999999,1908999.99999999,101878000,101878000,15628000,15628000,22070000,31524000,16090000,1580000,171100000,35002000,60749000,2784000,1777000,105429000,276529000,107583000,56692000,50891000,36228000,36228000,143811000,3950000,3950000,3950000,147761000,364001000,-82525000,-152708000,128768000,128768000,276529000,1909000,4310000,1315000.00000001,-7153999.99999999,380000,-8916000,-8920000,-325000,166000,-70000,-229000,-8769000.00000001,-8769000.00000001,-8769000.00000001,6103000,4.54747350886464e-13,-9533999.99999999,0.18832,0.00539,0.00574000000000001,0.0148299999999999,0.00690000000000002,-4.99424,1.18976,1.1475,0,0.0795099999999996,0.0787300000000001,13.85085,5.36332,-0.3971,0.01438,-0.07184,-16.6931,-56.81985
"17","2014_Q4",22.48625,"Up",352991000,-285933000,67058000,-64703000,-42501000,-22202000,2355000,-325000,25000,-350000,2030000,2030000,-413000,1617000,1617000,1617000,1617000,112740000,112740000,14941000,14941000,27006000,29456000,14143000,1580000,184143000,47622000,57679000,2784000,1943000,114227000,298370000,125511000,63141000,62370000,40651000,40651000,166162000,3888000,3888000,3888000,170050000,364999000,-82531000,-154148000,128320000,128320000,298370000,1617000,4701000,1347000,20386000,28051000,-17465000,-17112000,0,-6000,-71000,-77000,10862000,10862000,10862000,7056000,0,10390000,0.18997,0.00667,0.00458,0.0126,0.00542,6.42548,1.10821,1.3252,0,0.0673,0.06659,14.69143,5.34066,0.43243,0.01223,0.07859,-15.97789,-47.87261
"18","2015_Q1",23.1086885245902,"Up",470360000,-384980000,85380000,-83672000,-60625000,-23047000,1708000,565000,29000,536000,2273000,2273000,-968000,1305000,1305000,1358000,1358000,181641000,181641000,18963000,18963000,29422000,28036000,12621000,580000,258062000,52071000,55827000,2784000,2477000,118803000,376865000,194351000,112787000,81564000,48451000,48451000,242802000,4843000,4843000,4843000,247645000,366254000,-82531000,-153864000,129238000,129220000,376865000,1305000,5258000,2871000,71379000,80813000,-8748000,-10977000,0,169000,-1104000,-935000,68901000,68901000,68901000,6966000,-7.27595761418343e-12,70565000,0.18152,0.00363,0.00289,0.01051,0.0036,51.96244,1.06285,1.91646,-2.71050543121376e-20,0.0565,0.05566,19.57061,5.3773,2.93605,0.01013,0.52636,-26.07537,-106.34719
"19","2015_Q2",22.6260317460317,"Down",398344000,-322907000,75437000,-71593000,-48506000,-23087000,3844000,644000,39000,605000,4488000,4488000,-1940000,2548000,2548000,2739000,2739000,124322000,124322000,15651000,15651000,28641000,26452000,10928000,505000,195066000,54947000,59480000,2784000,7809000,125332000,320398000,139991000,66993000,72998000,43742000,43742000,183733000,6888000,6888000,6888000,190621000,367225000,-84885000,-151125000,129891000,129777000,320398000,2548000,5376000,2642000,-53655000,-43089000,-6644000,-11707000,-362000,-2161000,0,-2523000,-57319000,-57319000,-57319000,9220000,0,-49139000,0.18938,0.00965,0.00688,0.02111,0.00855,-17.94049,1.06168,1.46884,0,0.11312,0.1123,16.45166,5.36451,-2.02945,0.02004,-0.35956,-13.48395,-32.34183
"20","2015_Q3",20.79921875,"Down",388013000,-314356000,73657000,-71575000,-47516000,-24059000,2082000,1193000,30000,1163000,3275000,3275000,-1849000,1426000,1426000,1668000,1668000,105471000,105471000,15843000,15843000,29976000,33144000,17620000,505000,184434000,65956000,59527000,2784000,9812000,136336000,320770000,135308000,68178000,67130000,45840000,45840000,181648000,6207000,6207000,6207000,187855000,368262000,-84893000,-149457000,133176000,132915000,320770000,1426000,5838000,2508000,-14602000,-4830000,-12467000,-14514000,5e+05,69000.0000000005,-76000,493000,-18851000,-18851000,-18851000,7920000,5e+05,-17300000,0.18983,0.00537,0.0043,0.01255,0.0052,-10.3717,1.01534,1.41335,0.00156,0.06863,0.06837,15.96367,5.47914,-0.711760000000001,0.01195,-0.12391,-13.25391,-50.41835
"21","2015_Q4",14.5534375,"Down",391211000,-318760000,72451000,-75822000,-50738000,-25084000,-3371000,739000,-25000,764000,-2632000,-2632000,15000,-2617000,-2617000,-2071000,-2071000,81268000,81268000,16951000,16951000,24484000,29024000,16833000,505000,151727000,78807000,91029000,15343000,9580000,180079000,331806000,129813000,64955000,64858000,45153000,45153000,176089000,7380000,7380000,7380000,183469000,369102000,-51747000,-166530000,149182000,148337000,331806000,-2617000,6613000,1198000,5663000,10857000,-24270000,-39356000,5e+06,-5000,-699000,4296000,-24203000,-24203000,-24203000,3242000,1123000,-15380000,0.1852,-0.00862,-0.00529,-0.01396,-0.00624,7.42636,0.86165,1.23684,0.00338,-0.08391,-0.08391,15.85069,6.04441,-0.62315,-0.0132,-0.09806,-24.72085,23.77484
"22","2016_Q1",12.9962295081967,"Down",480270000,-397161000,83109000,-86198000,-59895000,-26303000,-3089000,1073000,-29000,1102000,-2016000,-2016000,1879000,-136999.999999999,-136999.999999999,110000,110000,170262000,170262000,16128000,16128000,21353000,40625000,13890000,430000,248368000,93696000,76603000,15387000,8669000,180021000,428389000,206092000,122705000,83387000,50944000,50944000,258676000,6974000,6974000,20352000,279028000,370050000,-51747000,-166420000,150453000,149361000,428389000,-136999.999999999,7270000,-183000,83445000,90395000,-16132000,-15671000,14332000,-1000,-61000,14270000,88994000,88994000,88994000,4181000,15018000,69615000,0.17305,-0.00643,0.00023,0.000739999999999998,0.000259999999999999,632.86364,0.96015,1.86814,0.03506,0.00436000000000002,0.00434,19.0221,5.95901,2.75725,0.000640000000000005,0.40627,-37.13083,50.25704
"23","2016_Q2",15.86609375,"Up",413677000,-336370000,77307000,-79014000,-53304000,-25710000,-1707000,4245000,89000,4156000,2538000,22058000,-8964000,13094000,13094000,13429000,13429000,128189000,128189000,19025000,19025000,20641000,29021000,10982000,430000,196876000,106869000,78591000,14335000,10855000,195182000,392058000,148889000,79127000,69762000,42812000,42812000,194406000,8924000,8924000,35557000,229963000,371018000,-52055000,-152991000,163522000,162095000,392058000,13094000,7287000,8665000,-63549000,-34503000,-19592000,-21236000,14169000,-308000,-195000,13666000,-42073000,-42073000,-42073000,5580000,29338000,-68597000,0.18688,-0.00413,0.03246,0.08285,0.03425,-5.10812,1.01271,1.41869,0.07483,0.53121,0.531,16.36381,6.46843,-2.71349,0.06703,-0.34237,-17.71523,57.9092
"24","2016_Q3",15.88171875,"Up",418540000,-342218000,76322000,-81831000,-56031000,-25800000,-5509000,4051000,59000,3992000,-1458000,-1458000,243000,-1215000,-1215000,-904000.000000004,-904000.000000004,122566000,122566000,19305000,19305000,18736000,33763000,17258000,457000,194370000,126344000,84386000,14698000,15163000,220452000,414822000,155244000,78934000,76310000,44070000,44070000,202903000,9515000,9515000,50126000,253029000,372765000,-52349000,-153895000,163531000,161793000,414822000,-1215000,7231000,1389000,116000,7521000,-23256000,-27412000,14760000,-294000,-198000,14268000,-5623000,-5623000,-5623000,1722000,44200000,-21661000,0.18235,-0.01316,-0.00216,-0.00559,-0.00218,23.9612799999999,0.95795,1.56391,0.10655,-0.03567,-0.0356699999999999,16.51632,6.45322,-0.854780000000001,-0.00419000000000001,-0.10051,-45.50871,14.22509
"25","2016_Q4",16.3653968253968,"Up",441564000,-361848000,79716000,-84763000,-58024000,-26739000,-5047000,1112000,-139000,1251000,-3935000,-3935000,543000,-3392000,-3392000,-3098000,-3098000,124471000,124471000,21045000,21045000,17254000,32645000,17475000,430000,195415000,136594000,82545000,14698000,12673000,228861000,424276000,162869000,84912000,77957000,41257000,41257000,207944000,9164000,9164000,56740000,264684000,374155000,-52484000,-156993000,161624000,159592000,424276000,-3392000,8385000,3796000,2754000,11543000,-16534000,-16518000,7239000,-135000,-224000,6880000,1905000,1905000,1905000,3338000,51394000,-10985000,0.18053,-0.01143,-0.00702,-0.01941,-0.0073,3.54584,0.93975,1.6585,0.12113,-0.12218,-0.12218,17.41458,6.37419,-0.43323,-0.01407,-0.0499,-21.89245,14.47929
"26","2017_Q1",17.358064516129,"Up",526182000,-428178000,98004000,-98346000,-69835000,-28511000,-342000,4222000,-560000,4782000,3880000,3880000,-1119000,2761000,2761000,3095000,3095000,183098000,183098000,28142000,28142000,21049000,12084000,11654000,430000,244373000,134552000,96205000,14698000,14328000,240703000,485076000,202553000,106337000,96216000,41780000,41780000,249216000,6890000,6890000,62900000,312116000,383351000,-52587000,-153898000,175326000,172960000,485076000,2761000,8348000,1966000,42129000,55204000,-12899000,-14482000,9598000,8307000,0,17905000,58627000,58627000,58627000,8006000,60893000,38355000,0.18625,-0.00065,0.00588,0.01789,0.00638,12.39257,0.98057,1.80456,0.12553,0.12189,0.12035,20.72317,6.90505,1.51057,0.01286,0.15932,-15.26418,357.32456
"27","2017_Q2",16.0039682539683,"Down",432435000,-345528000,86907000,-89220000,-60228000,-28992000,-2313000,-4309000,-585000,-3724000,-6622000,-6622000,340000,-6282000,-6282000,-5903000,-5903000,136415000,136415000,21615000,21615000,20464000,12144000,11789000,355000,190638000,137296000,103421000,14698000,12273000,250663000,441301000,167506000,86089000,81417000,40187000,40187000,212564000,6840000,6840000,61764000,274328000,384945000,-63409000,-150427000,169718000,166973000,441301000,-6282000,8643000,4672000,-30130000,-23097000,-11344000,-12489000,-1004000,-9346000,-822000,-11172000,-46758000,-46758000,-46758000,6330000,59795000,-35484000,0.20097,-0.00535,-0.01365,-0.03535,-0.01338,6.01118,0.89685,1.64295,0.1355,-0.23341,-0.23341,17.09905,6.71087,-1.40308,-0.02527,-0.1519,-12.10427,33.12581
"28","2017_Q3",20.0853968253968,"Up",432024000,-347853000,84171000,-93902000,-65658000,-28244000,-9731000,13000.0000000019,-580000,593000,-9718000,-9718000,1975000,-7743000,-7743000,-7499000,-7499000,103952000,103952000,20751000,20751000,16367000,20632000,20089000,543000,161702000,134563000,106664000,14698000,14399000,251173000,412875000,148032000,75736000,72296000,39137000,39137000,192014000,7099000,7099000,60930000,252944000,385990000,-63672000,-157926000,162920000,159931000,412875000,-7743000,8157000,-918000,-22656000,-23160000,-5106000,-7514000,-1087000,0,-514000,-1601000,-32275000,-32275000,-32275000,-1574000,58676000,-31311000,0.19483,-0.02252,-0.01736,-0.04689,-0.01816,4.17536,0.84214,1.58158,0.14212,-0.30001,-0.30001,17.28373,6.51784,-1.25264,-0.03322,-0.13872,28.76493,4.65275999999997
"29","2017_Q4",48.0671428571429,"Up",424007000,-340332000,83675000,-95550000,-66804000,-28746000,-11875000,5358000,-524000,5882000,-6517000,-6517000,5412000,-1105000,-1105000,-786000,-786000,92266000,92266000,24328000,24328000,15328000,19060000,18498000,562000,150982000,131981000,112228000,14698000,14992000,244459000,395441000,129327000,70543000,58784000,41505000,41505000,175665000,7159000,7159000,59890000,235555000,387198000,-63691000,-158893000,163194000,159886000,395441000,-1105000,7934000,-5352000,-15761000,-14284000,-4423000,3728000,-1095000,0,-16000,-1111000,-11667000,-11667000,-11667000,-3941000,57564000,-29537000,0.19734,-0.02801,-0.00185,-0.00492,-0.00199,37.57888,0.85949,1.47327,0.14557,-0.03144,-0.03144,16.95825,6.52698,-1.18134,-0.0035,-0.1315,8.80538,2.92227
"30","2018_Q1",62.3896721311475,"Up",456290000,-370492000,85798000,-108513000,-78617000,-29896000,-22715000,-2162000,-589000,-1573000,-24877000,-24877000,-71915000,-96792000,-96792000,-95690000,-95690000,203215000,203215000,30080000,30080000,13703000,18199000,17744000,455000,265197000,129343000,26251000,14698000,4216000,168618000,433815000,168017000,85406000,82611000,46468000,46468000,214663000,47029000,47029000,47029000,261692000,494735000,-63816000,-254692000,175628000,172123000,433815000,-96792000,8113000,77606000,38264000,27191000,-2713000,-3656000,82021000,-1219000,6589000,87282000,110817000,110817000,110817000,-14602000,178000,92864000,0.18803,-0.04978,-0.20971,-0.55594,-0.22058,-0.970469999999992,1.23541,1.52038,0.000409999999999994,-3.84498,-3.84498,18.33447,7.05702,3.73143,-0.43579,0.4234,13.90474,8.93845
