"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","acquisition_of_intangible_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2019_Q3",4.49734375,"Up",19483383,-13663173,5820210,-4646000,-631217,-144508,-3870275,1174210,-112210,-103699,-119149,-8511,1062000,1062000,1062000,1062000,1062000,1062000,17859472,17859472,1420233,1420233,15128955,1581140,1581140,35989800,2832581,20730871,226205,14725115,5779551,23563452,59553252,3327994,2865955,462039,294712,2660603,2660603,6283309,2385864,3993403,3993403,6379267,12662576,54365247,-7474571,46890676,46890676,59553252,1062000,144508,559115,-164205,-342527,974230,-795908,1601418,-629294,-629294,-622744,-6550,-3276994,-129295,13103489,13103489,12974194,11298618,11298618,11298618,1318718,2680576,0.29873,0.06027,0.05451,0.02265,0.01783,5.72784,0.27004,0.04501,0.03548,0.02911,0.65086,1.56643,0.01983,-11.51034,-12.9269
"12","2019_Q4",4.1578125,"Down",21778487,-15276906,6501581,-5369740,-803707,-247715,-4318318,1131841,-82142,-80304,-141277,-1838,1049699,1049699,1049699,1049699,1049699,1049699,15982681,15982681,2170362,2170362,19383839,2370439,2370439,39907321,3118482,25390701,226974,17102038,8061689,28509183,68416504,5430926,4957782,473144,207582,3853338,3853338,9491846,264779,5869512,5869512,6134291,15626137,59215239,-6424872,52790367,52790367,68416504,1049699,247715,667702,-3384829,-750129,-4254884,1620184,-1419713,-484385,-484385,-483616,-769,-1381308,-111223,1035453,1035453,924229.999999998,-1876791,-1876791,-1876791,1379556,472361,0.29853,0.05197,0.0482,0.01988,0.01534,4.20438,0.296,0.0069,0.02933,0.02509,0.60848,1.47493,0.01775,-11.24298,-13.70362
"13","2020_Q1",4.66677419354839,"Up",25384908,-19388330,5996578,-7069140,-7353980,-506153,790993,-1072562,53442,40807,-8937,12635,-1019120,-1019120,-1019120,-1019120,-1019120,-1019120,12979444,12979444,3991462,2953921,21576609,2549559,2549559,41097074,3340616,26501914,233280,17798932,8469702,29842530,70939604,6558406,6024750,533656,110231,5412627,5412627,12081264,242079,5807266,5807266,6049345,18130609,60778931,-7969936,52808995,52808995,70939604,-1019120,506153,1519959,-2067128,-2457035,-2164730,2554637,-1060136,-702673,-702673,-696492,-6181,-1632975,-119922,-190667,-190667,-310589,-3003700,-3003700,-3003700,-566409,352310,0.23623,-0.04225,-0.04015,-0.0193,-0.01437,3.40172,0.34332,0.00497,-0.02772,-0.02299,0.6905,1.43646,-0.01728,22.29331,11.77287
"14","2020_Q2",5.50333333333333,"Up",32982000,-24036000,8946000,-11063000,-7065000,-359000,-3639000,-2117000,23000,18000,-6999.99999999997,5000,-2094000,-2094000,-2094000,-2094000,-2094000,-2094000,11441225,11441225,4575300,4575300,28671398,4240843,4240843,48928766,3711479,27819268,564671,19650370,7604227,31530747,80459513,9953883,9147215,806668,82876,7227098,7227098,17263857,230820,5484090,5484090,5714910,22978767,66461452,-8980706,57480746,57480746,80459513,-2094000,359000,4136000,-1649000,-141000,-4960000,3452000,752000,-1011000,-1011000,-652000,-359000,-2761000,-39000,510000,510000,471000,-1538000,-1538000,-1538000,-1758000,313696,0.27124,-0.06419,-0.06349,-0.03643,-0.02603,2.83417,0.39976,0.0039,-0.05536,-0.0553599999999999,0.872000000000002,1.51972,-0.03309,6.32965,5.25627
"15","2020_Q3",11.89421875,"Up",43451000,-31866000,11585000,-8776000,-4431000,-468000,-3877000,2809000,-79000,-13000,-13000,-66000,2730000,2730000,2574000,2574000,2574000,2574000,14823541,14823541,3608966,3608966,30429958,5166060,5166060,54028525,4015982,29830953,820507,21085084,7925362,33846935,87875460,13074896,11933154,985742,91128,5637681,5637681,18803705,213930,5843739,5843739,6057669,24861374,69420849,-6406763,63014086,63014086,87875460,2574000,468000,1361000,966000,793000,-1194000,1367000,5369000,-978000,-978000,-628000,-350000,-2260000,-8000,282000,282000,274000,3383000,3383000,3383000,3277000,305058,0.26662,0.06465,0.05924,0.04085,0.02929,2.87329,0.39454,0.00347,0.06664,0.06034,1.12495,1.63144,0.03722,-4.43042,-5.16856
"16","2020_Q4",26.9234375,"Up",55007000,-40436000,14571000,-9468000,-4017000,-443000,-5008000,5103000,34000,48000,0,-14000,5137000,5137000,3338000,3338000,3338000,3338000,55347450,55347450,5246521,5246521,37847421,5537083,5537083,103978475,4488922,31234636,864219,21925084,8445333,35723558,139702033,14401767,11452252,1021710,88049,6450446,6450446,20940262,189333,6307463,6307463,6496796,27437058,115334405,-3069430,112264975,112264975,139702033,3338000,443000,893000,-7097000,-1537000,-7267000,1707000,-2423000,-923000,-923000,-835000,-88000,-1918000,-28000,44892000,44892000,44864000,40523000,40523000,40523000,5546000,277382,0.26489,0.09277,0.06068,0.02973,0.02389,4.96548,0.2444,0.00199,0.0695600000000005,0.0639599999999989,1.14636000000002,2.33963,0.02809,-9.92969,-10.7917
"17","2021_Q1",49.9733333333333,"Up",61925000,-45979000,15946000,-13304000,-5938000,-1166000,-6200000,2642000,164000,-23000,6000,187000,2806000,2806000,1510000,1510000,1510000,1510000,177912000,177912000,6513000,3901000,54024000,11780000,11125000,250229000,7416000,97089000,20549000,62951000,13589000,104505000,354734000,16456000,14623000,1833000,83000,10811000,10811000,27350000,158000,10229000,9479000,10387000,37737000,319639000,-2642000,316997000,316997000,354734000,1510000,1166000,2303000,-8890000,-2586000,-5767000,-537000,-3911000,-1516000,-1516000,-1286000,-230000,-38891000,-36000,165522000,165522000,165367000,122565000,122565000,122565000,3808000,241000,0.25751,0.04266,0.02438,0.00476,0.00426,9.14914,0.11905,0.00068,0.02941,0.02841,1.20601,6.1736,0.00461,-46.6573,-67.24868
"18","2021_Q2",43.7955555555556,"Down",90022000,-64645000,25377000,-17641000,-7405000,-2054000,-8182000,7736000,-36000,1999.99999999999,-2000,-38000,7700000,7700000,6147000,6147000,6147000,6147000,133119000,92042000,4276000,4276000,77862000,24243000,20338000,239500000,8338000,159675000,42771000,101043000,15861000,168013000,407513000,31793000,24965000,6373000,83000,13809000,13809000,45685000,131000,11958000,10824000,12089000,57774000,346234000,3505000,349739000,349739000,407513000,6147000,2054000,1527000,-8986000,-1165000,-16716000,8895000,742000,-2360000,-2360000,-1679000,-681000,-82744000,-27000,113000,113000,-3868000.00000003,-85870000,-85870000,-85870000,9790000,214000,0.2819,0.08593,0.06828,0.01758,0.01508,5.24242,0.16519,0.00053,105.26766,101.91157,1541.63099,5989.29685,0.01698,-13.57559,-17.18007
"19","2021_Q3",35.34484375,"Down",125885000,-90172000,35713000,-26104000,-10563000,-2917000,-12624000,9609000,24000,32000,-4000,-8000,9633000,9633000,6713000,6713000,6713000,6713000,124512000,67155000,4377000,4377000,95937000,30821000,26286000,255647000,10455000,186745000,44279000,108740000,33726000,197200000,452847000,43012000,36481000,4685000,83000,16669000,16669000,59764000,106000,29124000,27427000,29230000,88994000,353635000,10218000,363853000,363853000,452847000,6713000,2917000,2974000,-11072000,-1718000,-16047000,6693000,1532000,-3330000,-3330000,-2749000,-581000,-28348000,-25000,1954000,1954000,1929000,-24887000,-24887000,-24887000,12526000,189000,0.2837,0.07633,0.05333,0.01845,0.01482,4.27761,0.24459,0.00042,0.05732,0.05616,1.07486,3.10673,0.01707,-9.9252,-12.93818
"20","2021_Q4",19.16265625,"Down",116003000,-81940000,34063000,-28911000,-10530000,-3539000,-14842000,5152000,448000,370000,-2429.23678472769,78000,5600000,5123000,4027000,4027000,4027000,4027000,92996000,63035000,6953000,6953000,113281000,38449000,28169000,251679000,16755000,210754000,49397000,123875000,37482000,227509000,479188000,45719000,39627000,6092000,111000,26653000,26653000,72483000,92000,33706000,31355000,33798000,106281000,358662000,14245000,372907000,372907000,479188000,4027000,3539000,3320000,-11294000,-1613220.92467743,-9536137.12304545,836049.43769796,-408000,-7377000,-4011074.24535665,-3679751.35573006,960906.460014725,-3749000,14000,23000,23000,37000,-4120000,-4120000,-4120000,8691000,203000,0.29364,0.04441,0.03471,0.0108,0.0084,3.47225,0.28501,0.00042,0.0673300000000083,0.0662999999999927,1.93965000000008,6.23528000000036,0.0099,-10.67691,-18.01106
"21","2022_Q1",9.00903225806452,"Down",90579000,-67491000,23088000,-30583000,-12399000,-4090000,-14094000,-7495000,-209000,39000,-1300.42340846307,-248000,-7704000,-7227000,-4101000,-4101000,-4101000,-4101000,81165000,41372000,8181000,8181000,105571000,21972000,16116000,216889000,24116000,218333000,48402000,125401000,44530000,242449000,459338000,2.1e+07,17033000,3967000,92000,25984000,25984000,47076000,66000,40905000,38546000,40971000,88047000,361147000,10144000,371291000,371291000,459338000,-4101000,4090000,1190000,2114000,-844276.952067452,-2347987.26011983,-3296113.99419221,3293000,-5673000,-4356738.15613605,-4231314.49910095,4804719.38004418,-24476000,-45000,2000,2000,-480000,-21663000,-21663000,-21663000,-3405000,158000,0.25489,-0.08275,-0.04528,-0.01105,-0.00893,4.60721,0.23714,0.00034,-0.07177,-0.07115,1.58516,6.49769,-0.00995,23.7906,10.80814
"22","2022_Q2",5.69822580645161,"Down",81767000,-59627000,22140000,-29361000,-10323000,-4506000,-14532000,-7221000,408000,-1000.00000000006,-3000,409000,-6813000,-6813000,-5177000,-5177000,-5177000,-5177000,66308000,47273000,9353000,7386000,105941000,12891000,7035000,194493000,26928000,227932000,48786000,132500000,46646000,254860000,449353000,17292000,14221000,3071000,94000,19232000,19232000,36618000,41000,40602000,39879000,40643000,77261000,367125000,4967000,372092000,372092000,449353000,-5177000,4506000,-503999.999999998,-1047000,-701000.000000001,3761000,-4107000,-2222000,-4451000,-4451000,-4451000,11810438.7600884,9501000,-23000,30786646.5997141,30786646.5997141,-1378000,5901000,5901000,5901000,-2715000,135000,0.27077,-0.08831,-0.06331,-0.01391,-0.01152,5.3114,0.20764,3e-04,-0.0886100000000002,-0.0886099999999998,1.39947000000001,6.36848999999997,-0.01254,24.37311,9.16397
"23","2022_Q3",4.6165625,"Down",71093000,-50866000,20227000,-29197000,-10647000,-4783000,-13767000,-8970000,139000,35000,-10000,104000,-8831000,-136662000,-136379000,-136379000,-136379000,-136379000,65594000,55594000,9685000,8313000,99086000,15081000,9209000,189446000,29338000,98883000,34798000,15843000,48242000,128221000,317667000,20380000,17373000,3007000,96000,18980000,18980000,39456000,17000,41468000,41028000,41485000,80941000,368138000,-131412000,236726000,236726000,317667000,-136379000,4783000,130719000,4649000,-2405000,6855000,199000,3772000,-4371000,-4371000,-4371000,22838064.6001473,4664000,-22000,98058939.7991422,98058939.7991422,-115000,8321000,8321000,8321000,-4187000,113000,0.28451,-0.12617,-1.91832,-0.5761,-0.42931,4.80145,0.34192,0.00036,-2.2447,-2.2447,1.17014,3.89634,-0.49003,15.63912,7.3
