"","YQ","p","d","gross_profit","operating_expenses","selling_general_administrative","research_development","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","accrued_liabilities","pension_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",28.97234375,"Down",11884000,-19038000,-5171000,-8938000,-4929000,-7154000,202000,202000,-6952000,-6952000,2194000,-4758000,-4758000,-4758000,-4758000,220847000,45536000,175311000,10527000,10527000,9082000,7632000,7632000,248088000,12512000,102455000,102196000,259000,119835000,367923000,11328000,5622000,5706000,3861000,3826000,35000,15189000,13050000,2966000,10084000,13050000,28239000,2000,564845000,-208969000,-5536000,339684000,339684000,367923000,-4758000,3251000,1137000,-10528000,-10898000,-549000,-21396000,-5297000,159000,-2796000,-8093000,-40387000,-40387000,-40387000,-3903000,0,-17174000,-0.01401,-0.01293,3.6095,16.3334,0.08313,0,-0.10383,-0.10383,7.41285,-0.37479,-0.01349,-0.04869,56.58391,30.87042
"12","2013_Q3",31.214375,"Up",41077000,-19346000,-6336000,-7316000,-5694000,21731000,168000,168000,21899000,21899000,-6517000,15382000,15382000,15382000,15382000,244685000,80702000,163983000,14451000,14451000,8673000,6242000,6242000,274051000,13904000,99769000,99494000,275000,119454000,393505000,17961000,10555000,7406000,5129000,4189000,940000,23090000,13110000,2778000,10332000,13110000,36200000,2000,566875000,-193587000,-5327000,357305000,357305000,393505000,15382000,3217000,1191000,6643000,26433000,-1886000,8633000,289000,289000,-189000,99999.9999999991,35166000,35166000,35166000,24948000,0,36222000,0.04305,0.03909,2.35483,11.86882,0.10131,0,0.33542,0.32573,7.79126,0.78985,0.04153,0.09779,-9.8078,-11.25972
"13","2013_Q4",32.54375,"Up",23043000,-18796000,-6411000,-7862000,-4523000,4247000,193000,193000,4440000,4440000,1102000,5542000,5542000,5542000,5542000,248278000,67085000,181193000,17785000,17785000,7852000,6387000,6387000,280302000,14698000,97050000,96768000,282000,119719000,400021000,17703000,8042000,9661000,3699000,3684000,15000,21402000,13170000,2591000,10579000,13170000,34572000,2000,569363000,-188045000,-5213000,365449000,365449000,400021000,5542000,3249000,751000,-2501000,7041000,-1765000,-21363000,710000,710000,-5000,705000,-13617000,-13617000,-13617000,7496000,0,2128000,0.01516,0.01385,0.38398,13.097,0.0946,0,0.12071,0.11894,7.9595,0.04635,0.01464,0.00562,-33.1214,-58.45962
"14","2014_Q1",32.4245901639344,"Down",41746000,-22326000,-6827000,-10099000,-5400000,19420000,201000,201000,19621000,19621000,38265000,57886000,57886000,57886000,57886000,272610000,70586000,202024000,15657000,15657000,10595000,28186000,6623000,327048000,14893000,113396000,94011000,242000,135706000,462754000,21295000,5256000,16039000,1934000,1910000,24000,23229000,11839000,2403000,9436000,11839000,35068000,2000,572869000,-130159000,-4368000,427686000,427686000,462754000,57886000,3300000,-41826000,3051000,22411000,-510000,-20649000,2017000,2017000,-278000,1739000,3500999.99999999,3500999.99999999,3500999.99999999,22720000,0,-13004000,0.13535,0.12509,-0.22465,14.0793,0.08199,0,1.2585,1.24401,9.29831,-0.28272,0.1317,-0.02959,-11.99868,-14.03759
"15","2014_Q2",27.2536507936508,"Down",27942000,-21314000,-6430000,-10156000,-4728000,6628000,201000,201000,6829000,6829000,-2807000,4022000,4022000,4022000,4022000,266921000,35931000,230990000,24508000,24508000,14592000,31708000,11150000,337729000,15004000,110172000,91261000,602000,128227000,465956000,15324000,8368000,6956000,4416000,3375000,1041000,19740000,13212000,3503000,9709000,13212000,32952000,2000,574043000,-126137000,-4246000,433004000,433004000,465956000,4022000,3251000,3167000,-17760000,-7320000,-917000,-25338000,702000,702000,-2699000,-1997000,-34655000,-34655000,-34655000,9879000,0,-5991000,0.00929,0.00863,-1.48956,17.10887,0.0761,0,0.0871,0.08621,9.37687,-0.12974,0.00901,-0.01343,-27.01903,-40.27173
"16","2014_Q3",32.2340625,"Up",52175000,-23339000,-6545000,-10544000,-6250000,28836000,173000,173000,29009000,29009000,-8588000,20421000,20421000,20421000,20421000,290885000,75554000,215331000,20500000,20500000,20664000,31362000,13074000,363411000,16973000,104463000,88513000,494000,123958000,487369000,22204000,12227000,9977000,3536000,3095000,441000,25740000,13225000,3241000,9984000,13225000,38965000,2000,575923000,-105716000,-4147000,448404000,448404000,487369000,20421000,3184000,-9000.00000000745,8732000,32328000,-2034000,14302000,-6876000,124000,-131000,-7007000,39623000,39623000,39623000,32020000,0,47306000,0.04554,0.0419,2.31654,14.11853,0.0869,0,0.44138,0.43808,9.69169,1.02246,0.04424,0.10248,-9.08448000000001,-10.08756
"17","2014_Q4",27.8203125,"Down",25504000,-19423000,-6601000,-7939000,-4883000,6081000,169000,169000,6250000,6250000,-1965000,4285000,4285000,4285000,4285000,268359000,37391000,230968000,22107000,22107000,29834000,30698000,13335000,350998000,17860000,100706000,85763000,508000,121172000,472170000,17359000,7039000,10320000,2529000,2036000,493000,19888000,12502000,2245000,10257000,12502000,32390000,2000,578440000,-101431000,-4073000,439780000,439780000,472170000,4285000,3312000,336000,-14164000,-6231000,-1263000,-16876000,-15046000,454000,-10000,-15056000,-38163000,-38163000,-38163000,9393000,0,-4069000,0.00974,0.00908,-0.94959,17.64873,0.07365,0,0.09165,0.09001,9.40669,-0.08703,0.00947,-0.009,-28.57011,-44.13074
"18","2015_Q1",34.6398360655738,"Up",44095000,-20729000,-8559000,-12515000,345000,23366000,164000,164000,23530000,17239000,-4113000,13126000,13126000,13126000,13126000,288506000,45418000,243088000,22075000,22075000,37109000,22815000,4356000,370505000,19922000,96373000,83014000,425000,119342000,489847000,24246000,9260000,14986000,2577000,2466000,111000,26823000,14282000,3366000,10916000,14282000,41105000,2000,581585000,-88305000,-4382000,448742000,448742000,489847000,13126000,3327000,2184000,9856000,28493000,-1939000,-14397000,-6065000,935000,-4000.00000000023,-6069000,8027000,8027000,8027000,26693000,0,38723000,0.02925,0.0268,2.9501,13.81296,0.0916,0,0.28649,0.28615,9.79441,0.84519,0.02835,0.08363,-10.8083,-12.34726
"19","2015_Q2",49.2652380952381,"Up",22642000,-20871000,-6200000,-9919000,-4752000,1771000,161000,161000,1932000,1932000,-618000,1314000,1314000,1314000,1314000,328528000,125189000,203339000,18164000,18164000,38967000,21681000,3653000,407340000,20485000,93605000,80264000,405000,118124000,525464000,13709000,6184000,7525000,25682000,25626000,56000,39391000,36676000,25411000,11265000,36676000,76067000,2000,580756000,-86991000,-4212000,449397000,449397000,525464000,1314000,3452000,1830000,40384000,46980000,-1950000,36969000,792000,792000,-4970000,-4178000,79771000,79771000,79771000,5223000,0,44275000,0.00292,0.0025,33.69482,10.34094,0.16926,0,0.0287,0.02843,9.81518,0.967,0.0027,0.09109,-62.90025,-185.50423
"20","2015_Q3",40.7925,"Down",19006000,-23827000,-7045000,-10647000,-6135000,-4821000,516000,176000,-4305000,-4305000,-7466000,-11771000,-11771000,-11771000,-11771000,356237000,109251000,246986000,17378000,17378000,16969000,19636000,4773000,410220000,20905000,90158000,77514000,345000,114951000,525171000,23080000,6656000,16424000,22073000,22020000,53000,45153000,39081000,27331000,11750000,39081000,84234000,2000,583813000,-98762000,-3958000,440937000,440937000,525171000,-11771000,3487000,-513000,36995000,28198000,-1196000,-44577000,751000,751000,-310000,441000,-15938000,-15938000,-15938000,-1334000,0,41931000,-0.0267,-0.02241,-3.56223000000001,9.08511,0.19103,0,-0.25647,-0.25889,9.60737,0.91362,-0.02452,0.08735,267.04423,73.89276
"21","2015_Q4",43.0584375,"Up",32173000,-23813000,-7242000,-11434000,-5137000,8360000,227000,225000,8587000,8587000,-1540000,7047000,7047000,7047000,7047000,361549000,89956000,271593000,28350000,28350000,13688000,20308000,4523000,423895000,21490000,85914000,74765000,232000,110428000,534323000,23313000,10334000,12979000,20934000,20830000,104000,44247000,38617000,26382000,12235000,38617000,82864000,2000,587008000,-91715000,-3678000,451459000,451459000,534323000,7047000,3533000,1662000,-6799000,5443000,-1504000,-25054000,349000,349000,-33000,316000,-19295000,-19295000,-19295000,11893000,0,5130000,0.01561,0.01319,0.72797,9.5802,0.18355,0,0.1498,0.1498,9.59658,0.10905,0.01438,0.01047,-30.40015,-43.24749
"22","2016_Q1",47.7411475409836,"Up",54228000,-21545000,-8559000,-12641000,-345000,32683000,-121000,221000,32562000,26845000,-8757000,18088000,18088000,18088000,18088000,395494000,97513000,297981000,24729000,24729000,12748000,14713000,2387000,447684000,22407000,87134000,72015000,174000,111728000,559412000,24236000,6849000,17387000,10274000,10107000,167000,34510000,58137000,35543000,22594000,58137000,92647000,2000,590367000,-73627000,-9819000,466765000,466765000,559412000,18088000,3613000,8982000,2307999.99999999,32991000,-453000,-25906000,496000,496000,-24000,472000,7557000,7557000,7557000,36296000,0,46908000,0.03875,0.03233,2.59332,12.97259,0.19849,0,0.37263,0.38145,9.61588,0.96636,0.03446,0.08937,-10.89635,-12.10091
"23","2016_Q2",60.03359375,"Up",24651000,-20761000,-6660000,-10476000,-3625000,3890000,324000,324000,4214000,2870000,-921000,1949000,1949000,1949000,1949000,379589000,110091000,269498000,20866000,20866000,14709000,17231000,4683000,432395000,22362000,85197000,69265000,645000,123651000,556046000,14040000,7294000,6746000,11110000,10353000,757000,25150000,6e+07,35515000,24485000,6e+07,85150000,2000,593252000,-71678000,-10522000,470896000,470896000,556046000,1949000,3652000,2235000,-7626000,210000,-516000,14126000,250000,250000,-2008000,-1758000,12578000,12578000,12578000,7542000,0,321000,0.00414,0.00351,0.1647,17.19264,0.18083,0,0.04167,0.04155,10.06735,0.00686,0.00367,6e-04,-50.33002,-97.58072
"24","2016_Q3",61.90859375,"Up",58708000,-23368000,-7604000,-10969000,-4795000,35340000,-1260000,654000,34080000,32849000,-11047000,21802000,21802000,21802000,21802000,316211000,69930000,246281000,17984000,17984000,16467000,15658000,5561000,366320000,22610000,175305000,162469000,543000,213682000,580002000,17069000,6368000,10701000,10655000,10232000,423000,27724000,58358000,34066000,24292000,58358000,86082000,2000,593653000,-49876000,-9701000,493920000,493920000,580002000,21802000,3766000,7264000,3189000,36021000,-1646000,-73530000,134000,134000,-2786000,-2652000,-40161000,-40161000,-40161000,39106000,0,51696000,0.04414,0.03759,2.37116,13.2131,0.17428,0,0.46437,0.46325,10.52008,1.10109,0.03948,0.09361,-8.086,-8.94768
"25","2016_Q4",53.7080952380952,"Down",23756000,-24856000,-8464000,-10117000,-6275000,-1100000,498000,566000,-602000,-2503000,1003000,-1500000,-1500000,-1500000,-1500000,285868000,54416000,231452000,22476000,22476000,16103000,17583000,7499000,342030000,25768000,201738000,173415000,423000,242723000,584753000,18734000,5544000,13190000,11883000,10211000,1672000,30617000,58319000,33454000,24865000,58319000,88936000,2000,596936000,-51376000,-9587000,495817000,495817000,584753000,-1500000,6623000,2454000,-3474000,4103000,-2199000,-19686000,115000,115000,-46000,69000,-15514000,-15514000,-15514000,5523000,0,-1153000,-0.00303,-0.00257,0.76867,11.17124,0.17937,0,-0.03195,-0.03186,10.56154,-0.02456,-0.00271,-0.00208,-51.75955,259.88
"26","2017_Q1",70.3045161290323,"Up",65483000,-28951000,-10148000,-11182000,-7621000,36532000,623000,569000,37155000,35382000,-9563000,25819000,25819000,25819000,25819000,328009000,139365000,188644000,24994000,24994000,17314000,15053000,6392000,385370000,27203000,200026000,168352000,307000,242189000,627559000,27957000,8112000,19845000,12249000,10282000,1967000,40206000,58885000,31322000,27563000,58885000,99091000,2000,604847000,-25557000,-10666000,528468000,528468000,627559000,25819000,6721000,-6537000,14001000,40004000,-2939000,40618000,125000,125000,4202000,4327000,84949000,84949000,84949000,43253000,0,63878000,0.04886,0.04114,2.47407,9.58489,0.18751,0,0.57421,0.57251,11.75306,1.42064,0.04396,0.10876,-7.58349999999999,-8.97868000000005
"27","2017_Q2",102.882063492063,"Up",42579000,-28974000,-10077000,-11818000,-7079000,13605000,652000,671000,14257000,12710000,-2345000,10365000,10365000,10365000,10365000,324978000,96117000,228861000,36321000,36321000,16668000,5775000,5775000,383742000,28552000,228360000,162860000,215000,271701000,655443000,21124000,11147000,9977000,12106000,10064000,2042000,33230000,57062000,28956000,28106000,57062000,90292000,2000,605815000,9844000,-10352000,565151000,565151000,655443000,10365000,6702000,3508000,-18931000,1644000,-631000,-40120000,183000,183000,-3541000,-4772000,-43248000,-43248000,-43248000,20307000,0,3090000,0.01834,0.01581,0.29812,11.54806,0.15977,0,0.22213,0.22174,12.11166,0.06622,0.01893,0.00497,-16.00325,-23.88666
"28","2017_Q3",118.253650793651,"Up",91203000,-29010000,-9839000,-10685000,-8486000,62193000,802000,796000,62995000,61321000,-14134000,47187000,47187000,47187000,47187000,365555000,109438000,256117000,39702000,39702000,24437000,7191000,7191000,436885000,38691000,217284000,157365000,317000,270750000,707635000,30214000,17772000,12442000,11207000,10061000,1146000,41421000,58402000,27174000,31228000,58402000,99823000,2000,603922000,55617000,-11571000,607812000,607812000,707635000,47187000,6683000,8316000,-7201000,54985000,-9086000,-35486000,196000,196000,-4960000,-6178000,13321000,13321000,13321000,68876000,0,66723000,0.07763,0.06668,1.41401,10.54743,0.16423,0,1.00949,1.00785,13.00318,1.42744,0.07295,0.10015,-5.30744,-5.87775
"29","2017_Q4",155.868253968254,"Up",48218000,-30553000,-11695000,-11596000,-7262000,17665000,867000,861000,18532000,16657000,-3137000,13520000,13520000,13520000,13520000,365435000,69153000,296282000,43256000,43256000,32733000,9227000,9227000,450651000,49358000,212367000,151867000,347000,276519000,727170000,34474000,13780000,20694000,11802000,10603000,1199000,46276000,57884000,25658000,32226000,57884000,104160000,2000,606900000,67725000,-11459000,623010000,623010000,727170000,13520000,6738000,-4950000,-676000,14632000,-13504000,-52855000,179000,179000,-829000,-2062000,-40285000,-40285000,-40285000,24403000,0,13360000,0.0217,0.01859,0.98817,9.73833,0.16719,0,0.28923,0.28878,13.32768,0.2858,0.02193,0.01962,-14.975,-20.68695
"30","2018_Q1",146.985245901639,"Down",98931000,-39137000,-15197000,-15045000,-8895000,59794000,969000,966000,60763000,58849000,-26036000,32813000,32813000,32813000,32813000,420286000,132840000,287446000,52355000,52355000,36265000,10276000,10276000,519182000,56450000,189530000,146369000,604000,260774000,779956000,48793000,13774000,35019000,15031000,14981000,50000,63824000,57078000,23902000,33176000,57078000,120902000,2000,611548000,99126000,-11464000,659054000,659054000,779956000,32813000,6779000,1767000,20745000,62104000,-6582000,2883000,214000,214000,-102000,-1300000,63687000,63687000,63687000,66573000,0,106772000,0.04979,0.04207,3.25395,8.13459,0.18345,0,0.70187,0.70053,14.09707,2.28385,0.04779,0.1491,-6.31316,-7.0289
"31","2018_Q2",93.29390625,"Down",36114000,-29870000,-10791000,-12357000,-6722000,6244000,1224000,1271000,7468000,5743000,216000,5959000,5959000,5959000,5959000,457257000,177154000,280103000,22768000,22768000,53638000,14301000,14301000,547964000,58428000,188748000,140878000,2391000,247176000,795140000,39467000,10434000,29033000,59761000,59736000,25000,99228000,53263000,19500000,33763000,53263000,152491000,2000,609890000,84360000,-10968000,642649000,642649000,795140000,5959000,7663000,-7790000,32983000,38815000,-8733000,14438000,-276000,201000,-5832000,-8939000,44314000,44314000,44314000,13907000,0,37941000,0.00927,0.00749,6.36701,5.52227,0.23729,0,0.12737,0.1272,13.73672,0.811,0.01263,0.05452,-32.87963,-73.23142
"32","2018_Q3",107.603650793651,"Up",44514000,-31574000,-11562000,-12949000,-7063000,12940000,1754000,1766000,14694000,12665000,-1851000,10814000,10814000,10814000,10814000,457428000,103777000,353651000,35583000,35583000,56043000,20311000,20311000,569365000,62348000,201536000,135383000,40084000,263884000,833249000,32268000,7863000,24405000,69272000,69247000,24999.9999999999,101540000,81028000,28344000,34350000,81028000,182568000,2000,609419000,92346000,-10451000,650681000,650681000,833249000,10814000,7745000,-11058000,3636000,11137000,-4687000,-76722000,235000,235000,-5199000,-7792000,-73377000,-73377000,-73377000,20685000,0,21485000,0.01662,0.01298,1.98678,5.6073,0.28058,0,0.23073,0.23059,13.88279,0.4584,0.01864,0.02936,-22.114,-35.34992
"33","2018_Q4",98.8368253968254,"Down",61427000,-33458000,-12120000,-13616000,-7722000,27969000,2111000,2118000,30080000,28143000,-5325000,22818000,22818000,22818000,22818000,493610000,101638000,391972000,43207000,43207000,69031000,11943000,11943000,617791000,67467000,198486000,129890000,39151000,265953000,883744000,45120000,13330000,31790000,69159000,69143000,16000,114279000,93958000,40684000,34937000,93958000,208237000,2000,613797000,112337000,-9994000,675507000,675507000,883744000,22818000,7165000,-1348000,16369000,45004000,-7505000,-43929000,180000,180000,-567000,-3214000,-2139000,-2139000,-2139000,35134000,0,49323000,0.03378,0.02582,2.16158,5.40599,0.30827,0,0.48683,0.48616,14.41216,1.05233,0.03333,0.0641,-14.04935,-17.64847
