"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","derivative_hedging_assets_short_term","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","derivative_hedging_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","interest_dividends_payable","short_term_debt","short_term_borrowings","current_portion_of_long_term_debt","other_short_term_liabilities","liabilities_from_derivatives_hedging_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",19.5716129032258,"Down",2724341000,-1063820000,1660521000,-940087000,-531480000,-239051000,-169556000,720434000,-119442000,-153719000,7490000,26787000,600992000,600992000,-202845000,398147000,398106000,398106000,398106000,747273000,747273000,704580000,704580000,562721000,1356270000,174715000,79988000,875690000,3370844000,23401597000,4285057000,135739000,4149318000,27686654000,31057498000,1442165000,885099000,264792000,292274000,1163462000,3.04e+08,859462000,554907000,33126000,521781000,3160534000,10105947000,8940854000,810057000,4551072000,3579725000,19046801000,22207335000,6553747000,1219032000,5334715000,2406016000,-109600000,8850163000,8850163000,31057498000,398147000,243513000,91388000,-26423000,706625000,-702281000,-129648000,179095000,-653234000,-124058000,752230000,630352000,683743000,683743000,683743000,963947000,11269409000,438088000,0.60951,0.26444,0.14613,0.04498,0.01282,1.10043,1.06654,2.50926,0.36286,0.81564,0.81482,5.58165,18.13227,0.89756,0.25417,6,0.01797,0.01508,0.31162,10.91568,14.60527
"12","2013_Q1",20.4256666666667,"Up",2551135000,-1230815000,1320320000,-1003923000,-599917000,-231689000,-172317000,316397000,-106117000,-144082000,7821000,30144000,210280000,210280000,-70042000,140238000,140170000,140170000,140170000,82323000,82323000,718046000,718046000,535574000,1289196000,171315000,69013000,1016340000,2625139000,23809348000,4706199000,126297000,4579902000,28515547000,31140686000,1587776000,959093000,334441000,294242000,860155000,6.02e+08,258155000,489142000,32482000,456660000,2937073000,10143905000,9185631000,1163265000,4434909000,3587457000,19329536000,22266609000,6572914000,1219899000,5353015000,2413816000,-112653000,8874077000,8874077000,31140686000,140238000,236072000,138818000,-82293000,432835000,-764366000,-601016000,642237000,-723346000,-124189000,-252422000,-374439000,-664950000,-664950000,-664950000,552469000,11004060000,-224148000,0.51754,0.12402,0.05494,0.0158,0.0045,-1.59912,0.89379,2.50917,0.35337,0.28698,0.28656,5.22313,18.16857,-0.45892,0.25426,5,0.0091,-0.00771,0.88599,19.76896,34.51909
"13","2013_Q2",21.93328125,"Up",2782849000,-1372829000,1410020000,-955396000,-529231000,-248706000,-177459000,454624000,-99620000,-139631000,7577000,32434000,355004000,355004000,-118434000,236570000,236570000,236570000,236570000,112960000,112960000,789209000,789209000,447709000,1354793000,246079000,59554000,955967000,2704671000,24219231000,4663773000,111168000,4552605000,28883004000,31587675000,1616398000,932547000,415081000,268770000,431929000,4.25e+08,6929000,478190000,30762000,447428000,2526517000,10642009000,9264036000,979520000,4643378000,3641138000,19906045000,22432562000,6752401000,1236888000,5515513000,2516332000,-113620000,9155113000,9155113000,31587675000,236570000,253004000,148831000,3923000,642328000,-752251000,-586239000,625457000,-713264000,-124426000,65915000,101573000,30637000,30637000,30637000,707628000,11073938000,77734000,0.50668,0.16337,0.08501,0.02584,0.00749,0.32859,1.07051,2.45028,0.35058,0.48301,0.48227,5.68182,18.69226,0.15871,0.25404,7,0.01224,0.00264,0.52596,15.48975,24.10999
"14","2013_Q3",21.19390625,"Down",2578913000,-1207690000,1371223000,-968987000,-562557000,-243934000,-162496000,402236000,-106486000,-146853000,7529000,32838000,295750000,295750000,-98893000,196857000,196857000,196857000,196857000,58821000,58821000,719069000,719069000,494890000,1545420000,264253000,100215000,1022602000,2818200000,24813411000,4634651000,100313000,4534338000,29448062000,32266262000,1536937000,998607000,242339000,295991000,636042000,3.54e+08,282042000,523831000,29897000,493934000,2696810000,10816477000,9452730000,988773000,4820650000,3643307000,20269207000,22966017000,6839145000,1243239000,5595906000,2572935000,-111835000,9300245000,9300245000,32266262000,196857000,254654000,114156000,-133770000,431897000,-844527000,-304461000,352210000,-798713000,-125966000,371614000,312677000,-54139000,-54139000,-54139000,656890000,11452519000,-222514000,0.53171,0.15597,0.07633,0.02117,0.0061,-1.13033,1.04501,2.4694,0.35494,0.3955,0.39524,5.18117,18.68468,-0.44704,0.25307,5,0.01069,-0.00737,0.63989,17.34491,28.3259
"15","2013_Q4",21.13703125,"Down",2822338000,-1180331000,1642007000,-976894000,-575305000,-228491000,-173098000,665113000,-107012000,-144542000,7273000,30257000,558101000,558101000,-193349000,364752000,364752000,364752000,364752000,101834000,101834000,786874000,786874000,604628000,1627405000,236764000,92687000,971982000,3120741000,25342578000,4663333000,95894000,4567439000,30005911000,33126652000,1575363000,965572000,335846000,273945000,582538000,3.02e+08,280538000,681160000,26729000,654431000,2839061000,10914273000,9826032000,998212000,5186944000,3640876000,20740305000,23579366000,6859780000,1244064000,5615716000,2797486000,-109980000,9547286000,9547286000,33126652000,364752000,232965000,181501000,149465000,928683000,-857420000,-286698000,346553000,-798817000,-131756000,42596000,-86853000,43013000,43013000,43013000,898078000,11496811000,383472000,0.58179,0.23566,0.12924,0.0382,0.01101,1.05132,1.09922,2.46975,0.34706,0.73221,0.73141,5.66565,19.16552,0.76979,0.26449,4,0.01608,0.01242,0.36122,12.68818,17.13239
"16","2014_Q1",22.0555737704918,"Up",2730822000,-1373896000,1356926000,-1031344000,-606439000,-256732000,-168173000,325582000,-102227000,-144173000,7641000,34305000,223355000,223355000,-73300000,150055000,150055000,150055000,150055000,107144000,107144000,744160000,744160000,576538000,1790198000,252258000,91707000,1105031000,3218040000,26122159000,4567291000,84842000,4482449000,30689450000,33907490000,1938808000,1261238000,378766000,298804000,1039763000,7.59e+08,280763000,675927000,23382000,652545000,3654498000,10910754000,9776288000,769222000,5331046000,3676020000,20687042000,24341540000,6864242000,1244929000,5619313000,2807983000,-106275000,9565950000,9565950000,33907490000,150055000,261220000,132029000,37824000,581128000,-904009000,-304483000,309988000,-902590000,-131894000,456319000,326772000,5310000.00000003,5310000.00000003,5310000.00000003,586802000,11950517000,-206083000,0.49689,0.11922,0.05495,0.01569,0.00443,-1.37338,0.88057,2.5446,0.35244,0.30094,0.30082,5.47681,19.18504,-0.41331,0.26452,4,0.00901,-0.00659,0.87897,20.18291,36.37601
"17","2014_Q2",23.6715873015873,"Up",3202604000,-1700278000,1502326000,-1008334000,-560143000,-245943000,-202248000,493992000,-9.7e+07,-139094000,7438000,34656000,396992000,396992000,-135771000,261221000,261221000,261221000,261221000,132313000,132313000,885098000,885098000,436237000,1675698000,295479000,70275000,1057286000,3129346000,26541482000,4527924000,67513000,4460411000,31069406000,34198752000,1806233000,1061874000,461520000,282839000,1047133000,7.65e+08,282133000,614382000,22358000,592024000,3467748000,11205319000,9778261000,642126000,5412381000,3723754000,20983580000,24451328000,6934029000,1252879000,5681150000,2918215000,-104820000,9747424000,9747424000,34198752000,261221000,250343000,171697000,-90612000,592649000,-822628000,-229548000,252567000,-800770000,-132033000,301775000,233290000,25169000,25169000,25169000,744335000,12252452000,-33134000,0.4691,0.15425,0.08157,0.0268,0.00764,-0.12684,0.90241,2.50849,0.35827,0.52294,0.52271,6.41132,19.51346,-0.06633,0.26432,6,0.01237,-0.00104,0.50545,16.28318,24.53509
"18","2014_Q3",24.140625,"Up",2685096000,-1259865000,1425231000,-1028023000,-585604000,-255307000,-187112000,397208000,-97786000,-139400000,7811000,33803000,299422000,299422000,-104258000,195164000,195164000,195164000,195164000,99540000,99540000,742730000,742730000,501270000,1780280000,270717000,154940000,1071858000,3123820000,27070377000,4523447000,59732000,4463715000,31593824000,34717644000,1546031000,967251000,269020000,309760000,785322000,777800000,7522000,728576000,20874000,707702000,3059929000,11752778000,9984165000,650596000,5551537000,3782032000,21736943000,24796872000,7062732000,1262764000,5799968000,2961406000,-103366000,9920772000,9920772000,34717644000,195164000,259571000,91430000,-99303000,446862000,-753120000,-175232000,198868000,-730455000,-142328000,280123000,250820000,-32773000,-32773000,-32773000,656779000,12538100000,-91386000,0.53079,0.14793,0.07268,0.01967,0.00562,-0.46825,1.02088,2.49949,0.36114,0.38779,0.38765,5.33528,19.71255,-0.18158,0.28281,3,0.0104,-0.00282,0.72927,18.93873,31.31498
"19","2014_Q4",26.12734375,"Up",2869807000,-1187211000,1682596000,-1016916000,-568391000,-255395000,-193130000,665680000,-101129000,-143219000,7401000,34689000,564551000,564551000,-195969000,368582000,368582000,368582000,368582000,137868000,137868000,760213000,760213000,634262000,1664251000,270529000,120654000,990021000,3196594000,27630363000,4536484000,53577000,4482907000,32166847000,35363441000,1717051000,1061385000,371959000,283707000,954506000,6.97e+08,257506000,799312000,22924000,776388000,3470869000,11501720000,10236192000,653599000,5750946000,3831647000,21737912000,25208781000,7079274000,1263560000,5815714000,3177387000,-102001000,10154660000,10154660000,35363441000,368582000,259792000,213438000,123018000,964830000,-725591000,-94713000,116861000,-703531000,-143225000,-81812000,-222971000,38328000,38328000,38328000,925472000,12456226000,518868000,0.58631,0.23196,0.12843,0.0363,0.01042,1.40774,0.92098,2.48248,0.35223,0.7283,0.7279,5.67064,20.06525,1.02526,0.28301,5,0.01558,0.0158,0.38858,13.31035,18.50492
"20","2015_Q1",28.0901639344262,"Up",2928628000,-1469619000,1459009000,-1067759000,-620241000,-262400000,-185118000,391250000,-107094000,-144895000,7501000,30300000,284156000,284156000,-87817000,196339000,196339000,196339000,196339000,79608000,79608000,826506000,826506000,597183000,1861083000,356600000,85723000,1172550000,3364380000,28756916000,4836588000,53775000,4782813000,33593504000,36957884000,1879877000,1173006000,396615000,310256000,1277226000,1019500000,257726000,907480000,21632000,885848000,4064583000,11499634000,11179185000,936907000,5852988000,4389290000,22678819000,26743402000,7101663000,1264333000,5837330000,3220958000,-108139000,10214482000,10214482000,36957884000,196339000,266809000,205111000,-13114000,655145000,-898452000,-96076000,112189000,-882495000,-143825000,322050000,169090000,-58260000,-58260000,-58260000,658059000,12776860000,-165690000,0.49819,0.13359,0.06704,0.01922,0.00531,-0.8439,0.82773,2.61818,0.34571,0.38763,0.38733,5.78196,20.16636,-0.32712,0.28395,6,0.00995,-0.00485,0.73253,19.29501,32.45304
"21","2015_Q2",26.667619047619,"Down",2962219000,-1432552000,1529667000,-1049359000,-585830000,-273098000,-190431000,480308000,-115199000,-144940000,7776000,21965000,365109000,235646000,-83580000,152066000,152066000,152066000,152066000,133044000,133044000,826797000,826797000,505213000,1592392000,273726000,38905000,896298000,3057446000,28966911000,4854294000,51739000,4802555000,33821205000,36878651000,1672023000,898003000,480311000,293709000,1226399000,9.69e+08,257399000,876106000,19615000,856491000,3774528000,11499470000,11389783000,850826000,6085780000,4453177000,22889253000,26663781000,7111654000,1266659000,5844995000,3209904000,-106688000,10214870000,10214870000,36878651000,152066000,277388000,253211000,302729000,985394000,-770609000,-387826000,420367000,-738389000,-144025000,-50955000,-193569000,53436000,53436000,53436000,757696000,12725869000,373396000,0.51639,0.16214,0.05134,0.01489,0.00412,2.45549,0.81002,2.61029,0.34507,0.29994,0.2997,5.84284,20.14835,0.73651,0.28408,5,0.00862,0.01088,0.94712,16.61989,26.21823
"22","2015_Q3",27.22890625,"Up",2515134000,-1039536000,1475598000,-1052753000,-594279000,-274602000,-183872000,422845000,-116033000,-144222000,8422000,19767000,306812000,306812000,-109881000,196931000,196931000,196931000,196931000,135597000,135597000,676223000,676223000,532703000,1704399000,263479000,63603000,947457000,3048922000,29350364000,4869523000,53306000,4816217000,34219887000,37268809000,1433486000,830278000,280838000,322370000,1158356000,4.51e+08,707356000,945409000,26845000,918564000,3537251000,11896126000,11566366000,858450000,6249511000,4458405000,23462492000,26999743000,7130607000,1267398000,5863209000,3243645000,-105186000,10269066000,10269066000,37268809000,196931000,279032000,130128000,-82440000.0000001,523651000,-707350000,-252274000,267433000,-692634000,-153997000,323535000,171536000,2552999.99999997,2552999.99999997,2552999.99999997,701877000,13054482000,21968000,0.58669,0.16812,0.0783,0.01918,0.00528,0.111549999999999,0.86195,2.62923,0.35028,0.38788,0.3876,4.95391,20.22636,0.04327,0.30332,5,0.01006,0.00063,0.78198,18.4062,30.55229
"23","2015_Q4",28.84390625,"Up",2901312000,-1.089e+09,1812312000,-1026500000,-565984000,-280121000,-180395000,785812000,-120320000,-152566000,8162000,24084000,665492000,665492000,-239029000,426463000,426463000,426463000,426463000,404409000,404409000,741230000,741230000,644963000,1553820000,259809000,48110000,893189000,3344422000,29828609000,4856665000,54743000,4801922000,34685274000,38029696000,1608811000,924260000,379103000,305448000,521474000,6.4e+07,457474000,954735000,27303000,927432000,3085020000,12690751000,11709095000,863645000,6390162000,4455288000,24399846000,27484866000,7141608000,1268168000,5873440000,3506861000,-103639000,10544830000,10544830000,38029696000,426463000,284940000,270673000,-1199000,980877000,-708410000,-133160000,133413000,-708225000,-154195000,148466000,-3840000,268812000,268812000,268812000,1070752000,13212225000,600172000,0.62465,0.27085,0.14699,0.04044,0.01121,1.40732,1.08408,2.60648,0.34742,0.83944,0.83879,5.7109,20.75627,1.18137,0.30351,6,0.01637,0.01692,0.36157,11.96151,16.29883
"24","2016_Q1",31.8101639344262,"Up",2645335000,-1142912000,1502423000,-1062388000,-583907000,-296179000,-182302000,440035000,-121448000,-153272000,9640000,22184000,318587000,319050000,-110510000,208540000,208540000,208540000,208540000,84940000,84940000,724606000,724606000,608584000,1352096000,318757000,33842000,999497000,2770226000,31205851000,4845400000,51083000,4794317000,36051251000,38821477000,1728410000,960982000,438189000,329239000,1503021000,8.46e+08,657021000,826866000,29839000,797027000,4058297000,12398880000,11763380000,941002000,6153442000,4668936000,24162260000,28220557000,7157945000,1268839000,5889106000,3552728000,-109753000,10600920000,10600920000,38821477000,208540000,301640000,168988000,-131090000,548078000,-1496631000,-484740000,498787000,-1483752000,-154783000,779954000,615873000,-319801000,-319801000,-319801000,741675000,13901901000,-775536000,0.56795,0.16634,0.07883,0.01967,0.00537,-3.71888,0.68261,2.66209,0.3581,0.41023,0.40988,5.20376,20.85354,-1.52559,0.30448,5,0.01002,-0.02138,0.74222,18.6294,31.39969
