"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_compensation","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q3",6.19703125,"Down",36686046,-35300647,1385399,-1895473,-1754373,-141100,-510074,-12763,-12154,-609,-522837,-522837,127974,-394863,-394863,-649,-395512,-395512,7615141,7615141,10726416,10726416,8751842,2206407,1125667,29299806,2030872,1385352,307500,440000,628119,3515137,32814943,6753900,6753530,370,1336834,1336834,8090734,690149,515458,174691,690149,8780883,15910565,-272133,8133893,23772325,261735,24034060,32814943,-394863,116860,264947,711253,698197,-401450,-401450,-953571,-953571,-656824,-656824,-656824,-393214,0,-211385,0.03776,-0.0139,-0.01078,-0.01646,-0.01205,0.53446,3.6214,0.36535,0,-0.06207,-0.05957,5.7571,3.73057,-0.03317,-0.016,-0.00855,19.3664,14.92948
"12","2013_Q4",5.166875,"Down",32370692,-33526165,-1155473,-1883498,-1713543,-169955,-3038971,1671.99999999999,1830,-158,-3037299,-3037299,997618,-2039681,-2039681,-69230,-2108911,-2108911,3483229,3483229,12255619,12255619,9659829,3270161,2328055,28668838,2030688,1368896,305625,440000,623271,3498339,32167177,5055539,5055539,-8789.07063801965,4350197,4350197,9405736,767063,515485,178703,767063,10172799,15910565,-272133,6024982,21663414,330964,21994378,32167177,-2039681,121094,-92467,-5301823,-7312877,-119035,-119035,3300000,3300000,-4131912,-4131912,-4131912,-2917877,0,-9336353,-0.0357,-0.09388,-0.06515,-0.09588,-0.06556,4.4271,3.04802,0.46252,6.3108872417681e-30,-0.33095,-0.31297,5.0799,3.39962,-1.46514,-0.09265,-0.41018,1.19375,1.14619
"13","2014_Q1",6.02918032786885,"Up",33605217,-31548659,2056558,-1847761,-1706662,-141099,208797,-22473,-21896,-577.000000000002,186324,186324,-96341,89983,89983,-3332,86651,86651,4035669,4035669,12362792,12362792,9373018,3106767,1336811,28878246,2060350,1362248,303750,440000,618498,3520776,32399022,7244822,7244822,0,2213222,2213222,9458044,856616,515498,195452,856616,10314660,15910565,-272133,6111633,21750065,334297,22084362,32399022,89983,151364,-792831,3353892,2802408,-179150,-179150,-2070818,-2070818,552440,552440,552440,360161,0,3631244,0.0612,0.00621,0.00258,0.00392,0.00267,41.90654,3.0533,0.46706,0,0.0136,0.01583,5.27363,3.41322,0.56985,0.00378,0.15829,-11.20518,-19.32819
"14","2014_Q2",7.22285714285714,"Up",27346347,-23227722,4118625,-1869712,-1710612,-159100,2248913,-17387,-17205,-182,2231526,2231526,-825925,1405601,1405601,-33861,1371740,1371740,4532936,4532936,10037140,10037140,8966557,2549262,1021696,26085895,2037851,1360386,301875,440000,618511,3496233,29582128,5240619,5240419,200,0,0,5240619,851546,515511,200329,851546,6092165,15910565,-272133,7483373,23121805,368158,23489963,29582128,1405601,148248,-760435,1056909,1850323,-123874,-123874,-1229182,-1229182,497267,497267,497267,2397161,3.3881317890172e-21,4156121,0.15061,0.08224,0.05016,0.0584,0.04637,3.02982000000001,4.97764,0.25935,-1.0097419586829e-28,0.21527,0.20661,4.29143,3.62848,0.65222,0.05635,0.17074,-1.89096,-2.01561
"15","2014_Q3",6.27359375,"Down",25398751,-21439487,3959264,-1864737,-1723637,-141100,2094527,8025,7932,92.9999999999998,2102552,2102552,-838028,1264524,1264524,-3304,1261220,1261220,6421815,6421815,11286799,11286799,10207348,736133,614385,28652095,1935228,1358523,3e+05,440000,618523,3391840,32043935,6494945,6278287,216658,0,0,6494945,846504,515523,203433,846504,7341449,15910565,-272133,8744593,24383025,319461,24702486,32043935,1264524,147475,886202,-314345,1983856,-42977,-42977,0,-52000,1888879,1888879,1888879,2242002,0,2722708,0.15588,0.08247,0.04966,0.05106,0.03936,2.15879,4.41145,0.29719,0,0.19792,0.18996,3.9858,3.8264,0.42727,0.0514,0.10657,-2.86432,-3.066
"16","2014_Q4",5.41734375,"Down",26628569,-23572694,3055875,-1819790,-1660690,-159100,1236085,-1761,-1003,-758,1234324,1234324,-450952,783372,783372,-24425,758947,758947,3389412,3389412,13364483,13364483,12961287,2028028,1484330,31743210,2028545,1356661,298125,440000,618536,3482537,35225747,5988856,5988156,700,3544374,3544374,9533230,867436,515536,206536,867436,10400666,15910565,-932911,9503540,24481194,343887,24825081,35225747,783372,140554,-14376,-6549179,-5639629,-231996,-231996,3500000,2839222,-3032403,-3032403,-3032403,1376639,-5.42101086242752e-20,-4953584,0.11476,0.04642,0.0285,0.03057,0.02155,-6.52692,3.32974,0.41896,0,0.11963,0.1148,4.19732,3.85884,-0.78081,0.02954,-0.1928,-2.46209,-2.74205
"17","2015_Q1",4.90295081967213,"Down",29489430,-25094215,4395215,-1973213,-1773113,-200100,2422002,-25182,-25255,73,2396820,2396820,-832197,1564623,1564623,11005,1575628,1575628,3782639,3782639,15419860,15419860,15210153,1071683,260871,35484335,1991094,1379799,296250,440000,643549,3468297,38952632,9024151,8693100,331051,2983382,2983382,12007533,890346,515549,209640,890346,12897879,15910565,-1267862,11079168,25721871,332882,26054753,38952632,1564623,145123,410955,-285185,1835516,-105797,-105797,-1001541,-1336492,393227,393227,393227,2567125,0,3008340,0.14904,0.08213,0.05343,0.06047,0.04045,1.9093,2.95517,0.49503,0,0.25234,0.28948,4.72281,4.11942,0.48179,0.05848,0.11165,-1.47349,-1.56178
"18","2015_Q2",4.90015873015873,"Down",38405979,-36484535,1921444,-1819092,-1666357,-152735,102352,-44967,-45682,715,57385.0000000005,57385,31104.0000000001,88489,88489,-16688,71801,71801,3519981,3519981,21295183,21295183,13562889,1442119,404616,39820172,1885769,1365533,294375,440000,631158,3349421,43169593,8895207,8420898,474309,7345191,7345191,16240398,865954,503158,212744,865954,17106352,15910565,-1267862,11150969,25793672,269569,26063241,43169593,88489,145673,873698,-4252045,-3144185,-38473,-38473,3e+06,2920000,-262658,-262658,-262658,248025,-4.33680868994202e-19,-4073597,0.05003,0.00267000000000001,0.00187,0.00275,0.00166,-56.73454,2.45192,0.65634,0,0.01155,0.01155,6.17867,4.14963,-0.65535,0.00564,-0.15127,-14.19204,-34.39094
"19","2015_Q3",4.6121875,"Down",30263054,-31340324,-1077270,-2070328,-1897478,-172850,-3147598,-59969,-59702,-267,-3207567,-3207567,1158721,-2048846,-2048846,-3714,-2052560,-2052560,3614411,3614411,13156338,13156338,12673926,3130284,1565517,32574959,2062159,1386227,292500,440000,653727,3546238,36121197,5477459,5477459,0,5771036,5771036,11248495,858306,525727,215846,858306,12106801,15910565,-1267862,9098409,23741112,273284,24014396,36121197,-2048846,128349,-2501286,4546499,124716,-302864,-302864,272578,272578,94430,94430,94430,-3019249,0,65665,-0.0356,-0.10401,-0.06782,-0.08547,-0.05682,-0.03199,2.89594,0.50415,0,-0.33021,-0.33021,4.86866,3.81942,0.01056,-0.08252,0.00264,1.19712,1.14831
"20","2015_Q4",4.0596875,"Down",27039857,-24991365,2048492,-1887008,-1723158,-163850,161484,-22692,-22082,-610,138792,138792,-40,138752,138752,410,139162,139162,3315177,3315177,11995756,11995756,12444317,4181386,1723728,31936636,1939477,1336103,290625,440000,605478,3372822,35309458,5600015,5600015,0,4745119,4745119,10345134,811176,477478,218951,811176,11156310,15910565,-1267862,9237571,23880274,272874,24153148,35309458,138752,134414,479298,460736.999999998,1213201,-9857,-9857.00000000006,-1502578,-1502578,-299234,-299234,-299234,295898,0,746818,0.07576,0.00596999999999998,0.00515000000000002,0.00575999999999999,0.00394000000000001,5.36654,3.08712,0.4619,2.06795153138257e-25,0.02239,0.0223900000000001,4.35012,3.84181,0.12015,0.00557000000000001,0.02992,-11.20378,-20.52945
"21","2016_Q1",3.42868852459016,"Down",22444651,-19620607,2824044,-1877601,-1713751,-163850,946443,-28230,-27559,-671,918213,918213,-426138,492075,492075,-63706,428369,428369,3853816,3853816,10968237,10968237,13862818,3308951,1690779,31993822,1845000,1339249,288750,440000,610499,3280820,35274642,4021389,4021389,0,6037956,6037956,10059345,796924,482499,222055,796924,10856269,15910565,-1494712,9665940,24081793,336580,24418373,35274642,492075,136954,433599,-1542200,-479572,-40602,-40602,1285663,1058813,538639,538639,538639,1083397,0,-73267,0.12582,0.04217,0.01909,0.01754,0.01214,-0.17104,3.18051,0.44459,0,0.06905,0.06905,3.61775,3.88163,-0.01181,0.01699,-0.00291,-3.55716,-4.07189
"22","2016_Q2",4.21,"Up",22805397,-20154348,2651049,-1840810,-1676960,-163850,810239,-30247,-29791,-456,779992,779992,-302564,477428,477428,-37859,439569,439569,5927324,5927324,11884485,11271047,11880135,2372542,1421989,32064486,1926403,1307123,286875,440000,580248,3329640,35394126,5178854,5178604,250,4636405,4636405,9815259,783066,452248,224345,783066,10598325,15910565,-1494712,10105509,24521362,274439,24795801,35394126,477428,135402,636045,2539562,3788437,-214930,-214930,-1400000,-1500000,2073507,2073507,2073507,945641,-1.11022302462516e-16,3572837,0.11625,0.03553,0.01927,0.01773,0.01242,8.12805,3.2668,0.42742,3.30872245021211e-24,0.07133,0.07133,3.70085,3.97931,0.5798,0.01718,0.13968,-6.26805,-7.31553
"23","2016_Q3",5.59546875,"Up",21406937,-18097492,3309445,-1953330,-1789480,-163850,1356115,-22470,-22682,212,1333645,1333645,-485356,848289,848289,-17488,830801,830801,3198097,3198097,11318009,11318009,12333449,1808409,1205122,28657964,1839981,1326993,285000,440000,601993,3263301,31921265,3271916,3271416,500.000000000001,2654121,2654121,5926037,737457,489826,226636,737457,6663494,15910565,-1881031,10936310,24965844,291927,25257771,31921265,848289,143585,-447558,-1331932,-787616,-55291,-55291,-1500000,-1886319,-2729226,-2729226,-2729226,1499700,0,597833,0.1546,0.06335,0.03881,0.03289,0.02603,0.71959,4.83594,0.26382,0,0.13544,0.13544,3.48996,4.07016,0.09746,0.03196,0.023,-2.13249,-2.35828
"24","2016_Q4",5.03206349206349,"Down",17354534,-14203241,3151293,-1868325,-1704475,-163850,1282968,-33587,-32752,-805,1249381,1249381,-448399,800982,800982,-45464,755518,755518,1830441,1830441,15819019,15819019,12737022,1777381,1022236,32163863,2126239,2014506,403125,1017905,593476,4236267,36400130,2539973,2539048,925,7258375,7258375,9798348,796633,497034,228927,796633,10594981,16110569,-2334639,11691828,25467758,337391,25805149,36400130,800982,146990,118618,-5336618,-4270028,-391370,-1248274,4604254,4150646,-1367656,-1367656,-1367656,1429958,0,-3849631,0.18158,0.07393,0.04353,0.02928,0.02076,-5.09535,3.28258,0.41058,-2.64697796016969e-23,0.12474,0.12474,2.86532,4.20485,-0.63559,0.0284,-0.14471,-1.28007,-1.42672
"25","2017_Q1",4.58887096774194,"Down",17381360,-14610969,2770391,-2356645,-2192795,-163850,413746,-60802,-60909,77,352944,352944,-129601,223343,223343,-36943,186400,186400,3227981,3227981,13517892,13517892,14276290,1669277,1017433,32691440,2269863,1966992,399750,1017905,549337,4332453,37023893,4063623,4062573,1050,6958375,6958375,11021998,888354,489668,231216,888354,11910352,16110569,-3249590,11878228,24739207,374334,25113541,37023893,223343,161595,75747,2416310,2876995,-301844,-264504,-3e+05,-1214951,1397540,1397540,1397540,575341,0,2819408,0.15939,0.0238,0.01072,0.00742,0.00503,15.12558,2.96602,0.47426,0,0.03118,0.03118,2.90742,4.13818,0.47161,0.00717,0.10843,-5.61055,-7.80184
"26","2017_Q2",4.59904761904762,"Up",19632367,-16500776,3131591,-2519181,-2350591,-168590,612410,-43992,-45311,1319,568418,568418,-171113,397305,397305,-21523,375782,375782,2836101,2836101,11202600,11202600,14483524,1538100,740715,30060325,2348274,1968413,396375,1017905,554133,4413604,34473929,3304807,3302535,2272,4758475,4758475,8063282,899802,499563,233508,899802,8963084,16110569,-3249590,12254010,25114989,395856,25510845,34473929,397305,180090,-73901,1559652,2063146,-255126,-255126,1000100,-2199900,-391880,-391880,-391880,792500,2.8421709430404e-14,2268139,0.15951,0.03119,0.01914,0.01473,0.0109,6.03578000000002,3.72805,0.35134,8.470329472543e-22,0.06409,0.06409,3.34835,4.28342,0.38684,0.01423,0.08588,-3.57868,-4.63105
"27","2017_Q3",4.10730158730159,"Down",17787102,-15144838,2642264,-2544338,-2365088,-179250,97926,-56606,-55539,-1067,41320,41320,35893,77213,77213,-75476,1737,1737,3466636,3466636,11077854,11077854,15800255,1445698,592654,31790443,2519914,3523339,563000,2377407,582932,6139103,37929546,3417396,3390835,26561,7994184,7994184,11411580,945737,500868,235798,945737,12357317,16110569,-3265419,12255747,25100897,471332,25572229,37929546,77213,192872,473485,292509,1036079,-131540,-3024815,2900100,2619271,630535,630535,630535,290798,0,415874,0.14855,0.00551,1e-04,7e-05,5e-05,239.42084,2.78581,0.48323,0,3e-04,3e-04,3.03423,4.28186,0.07094,7e-05,0.01568,-11.92111,-35.40057
"28","2017_Q4",4.15031746031746,"Up",17979069,-14824282,3154787,-2980633,-2801383,-179250,174154,-62409,-62086,-323,111745,111745,-18233,93512,93512,-60712,32800,32800,2687724,2687724,10418086,10418086,15663719,2478626,1419816,31248155,2526486,3468532,555375,2377407,535750,6090546,37338701,3254991,3254991,0,7467110,7406325,10722101,950858,509170,238088,950858,11672959,16110569,-3265419,12288547,25133697,532045,25665742,37338701,93512,200485,-858016,-28211,-592230,-199432,-199432,612750,12749.9999999995,-778912,-778912,-778912,374639,0,165229,0.17547,0.00969,0.00182,0.00128,0.000880000000000002,5.03747000000001,2.91437,0.45481,0,0.0056,0.0056,3.06816,4.28911,0.0282,0.00123,0.00620999999999999,-7.17417,-15.43303
"29","2018_Q1",4.21196721311475,"Up",21729057,-18507736,3221321,-2883094,-2711444,-171650,338227,-82774,-81889,-885,255453,255453,-90643,164810,164810,-107867,56943,56943,2325650,2325650,13441802,13441802,16310572,1237989,1066639,33316013,2439338,4150416,1187750,1794265,497529,6684397,40000410,4431972,4430626,1346,8618389,8618389,13050361,1358588,488529,240379,1358588,14408949,16110569,-3504510,12345490,24951549,639912,25591461,40000410,164810,188596,630159,-2013927,-1030362,-93823,-93823,1801202,762111,-362074,-362074,-362074,526823,0,-1490284,0.14825,0.01557,0.00262,0.00223,0.00142,-26.1715,2.55288,0.56304,0,0.00974,0.00974,3.71553,4.26655,-0.25483,0.00211,-0.0553,-4.41448,-6.876
"30","2018_Q2",4.49296875,"Up",22083219,-18287657,3795562,-2906936,-2736686,-170250,888626,-94276,-89461,-4815,794350,794350,-213764,580586,580586,-149199,431387,431387,3321793,3321793,14638583,14638583,15077317,950530,844845,33988223,2418141,3777437,1180125,1548969,537261,6285406,40273629,3797464,3794828,2636,9502621,9502621,13300085,1066425,528261,240820,1066425,14366510,16109818,-3768687,12776877,25118008,789111,25907119,40273629,580586,174274,-37861.9999999998,-310575,406423,-145452,-145452,1000100,735172,996143,996143,996143,1062900,3.63797880709171e-12,820637,0.17188,0.04024,0.01953,0.01665,0.01071,1.90232,2.55549,0.55454,1.0842021724855e-19,0.07482,0.07482,3.83034,4.35673,0.14234,0.01599,0.03042,-3.12522,-3.73812
"31","2018_Q3",5.03603174603175,"Up",22193897,-18326764,3867133,-3003646,-2833396,-170250,863487,-89194,-89451,257,774293,774293,-181152,593141,593141,-82292,510849,510849,3232113,3232113,13931417,13931417,16345937,1552088,797645,35061555,2831939,4739194,1172500,2548969,672633,7661218,42722773,2917699,2917399,300,12207727,12207727,15275426,1120948,513633,241261,1120948,16396374,16109777,-3942508,13287726,25454995,871404,26326399,42722773,593141,178503,-502156,-110513,158975,-134676,-2874893,2800100,2626238,-89680,-89680,-89680,1041990,150000,977953,0.17424,0.03891,0.02302,0.0194,0.01196,1.91437,2.29529,0.62281,0.00351,0.08927,0.08927,3.87829,4.44815,0.17089,0.01851,0.03544,-2.95791,-3.56938
"32","2018_Q4",4.11793650793651,"Down",23439903,-19648762,3791141,-3505998,-3335748,-170250,285143,-96274,-96473,199,188869,188869,-52189,136680,136680,-120990,15690,15690,5080021,5080021,8610384,8610384,15210573,1001298,1001298,29902276,2667203,5536817,1164875,2794265,677303,8294304,38196580,2739342,2732107,7235,7676800,7676800,10566142,1622937,518303,241702,1622937,12189079,16110569,-4398877,13303416,25015108,992393,26007501,38196580,136680,191787,866626,6186784,7381877,-19426,-19425.9999999995,100.000000000466,-5514543,1847908,1847908,1847908,476930,150000,6696477,0.16174,0.01216,0.000670000000000004,6e-04,0.000410000000000001,426.79904,2.83001,0.46868,0.00393,0.00276999999999998,0.00277000000000001,4.13173,4.40939,1.18038,0.000559999999999998,0.24105,-10.33699,-17.28964
