"","YQ","p","d","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2015_Q4",20.85296875,"Down",-24462000,-2187000,-20225000,34061000,-14194000,0,19867000,-7412000,97000,-7315000,-7315000,-1980000,-1980000,152634000,152634000,725893000,725893000,914041000,1647006000,1645216000,1896660000,2810701000,68585000,68585000,1511112000,0,0,0,1511112000,249082000,21002000,-252072000,59670000,77682000,1299589000,2810701000,-7315000,-7315000,2050000,-40312000,3214000,-42363000,-4935000,5120000,-47948000,43980000,6737000,6737000,6737000,36111000,1442527000,34293000,-0.00152,-7e-04,-17.3197,0.60488,1.16276,0.51323,-0.89647,-0.89647,-77.60369,15.52662,-0.00072,0.01251,35.72022,37.87009
"12","2016_Q1",15.7318032786885,"Down",-26160000,-1928000,-21152000,-2018000,-14217000,-2.91038304567337e-11,-16235000,-74606000,-114000,-74720000,-74720000,-8941000,-9147000,184544000,184544000,726606000,726606000,957176000,1281039000,1277870000,1561425000,2518601000,38722000,34716000,1304690000,-1.38777878078145e-17,-1.38777878078145e-17,-1.38777878078145e-17,1304690000,249133000,23445000,-254984000,50678000,68272000,1213911000,2518601000,-74720000,-74720000,3080000,25053000,-6102000,-52689000,-11474000,301192000,-36387000,-209309000,39194000,39194000,39194000,1062000,1265968000,-16400000,-0.00754,-0.00363,1.79294,0.73364,1.07478,0.50265,-4.19516,-8.32726,-82.94968,-7.52166,-0.00369,-0.00661000000000001,1018.29002,-535.889
"13","2016_Q2",16.53703125,"Up",-5771000,-1021000,-4750000,-1245000,294000,2000,-951000,-951000,11000,-940000,-940000,-940000,-940000,61140000,41646000,4676000,4676000,65816000,2319000,0,2319000,68135000,3373000,2173000,3587000,0,0,0,3587000,249185000,23489000,-257319000,50295000,64548000,64548000,68135000,-940000,-940000,0,2368000,-9707000,-8279000,0,-132290000,-12000,-2329000,-142898000,-142898000,-142898000,-1245000,0,-10963000,-0.01456,-0.0138,11.66277,18.34848,0.05557,0,-0.47233,-0.47233,-92.77528,-5.50862,-0.01456,-0.16984,49.10843,49.10843
"14","2016_Q3",13.9596875,"Down",-6097000,-1170000,-4927000,-690000,302000,58000,-388000.000000002,-388000.000000007,-873000,-1261000,-1261000,-1261000,-1365000,54348000,39419000,5489000.00000006,5489000.00000006,59837000,1379000,-1.19209289550781e-07,1378999.99999988,61215999.9999998,4362000,2286000,4361999.99999988,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16,4361999.99999988,249237000,25877000,-261575000,48982000,56854000,56853999.9999999,61215999.9999998,-1261000.00000001,-1261000,0,2388000,902000,2029000.00000001,0,0,0,-4256000,-2226999.99999997,-2226999.99999997,-2226999.99999997,-690000,1.19209289550781e-07,1085000,-0.02401,-0.0223,-0.79487,13.71779,0.07672,-5.55111512312578e-17,-0.76822,-0.76822,-108.2731,0.610640000000001,-0.02401,0.01908,78.76522,78.76522
"15","2016_Q4",36.3428571428571,"Up",-6032000,-1152000,-4880000,-1178000,248000,4000,-930000,-930000,-141000,-1071000,-1071000,-1071000,-1122000,59600000,41893000,4926000,4926000,64526000,1415000,0,1415000,65941000,5675000,2544000,5675000,0,0,0,5675000,249288000,28311000,-262304000,47860000,60266000,60266000,65941000,-1071000,-1071000,0,2432000,1840000,3201000,0,0,-13000,-727000,2474000,2474000,2474000,-1178000,0,803000,-0.01862,-0.01702,-0.71569,11.37022,0.09417,0,-0.66919,-0.66919,-112.73783,0.47893,-0.01862,0.01332,50.59423,50.59423
"16","2017_Q1",69.5106451612903,"Up",-6414000,-1429000,-4985000,-1210000,250000,6999.99999999999,-960000,-960000,-703000,-1663000,-1663000,-1663000,-1715000,58518000,40584000,5266000,5266000.00000001,63784000,1964000,7.45058059692383e-09,1964000,65748000,8687000,4587000,8687000.00000001,0,0,0,8686999.99999999,249340000,30722000,-266484000,46145000,57061000,57061000,65748000,-1663000,-1663000,0,2397000,2123000,2857000,-2.3283064365387e-10,-20566000,-546000,-4166000,-21875000,-21875000,-21875000,-1210000,7.45058059692383e-09,1616000,-0.03006,-0.02608,-0.942270000000001,7.34247,0.15224,3.46944695195361e-18,-1.09545,-1.09545,-122.81701,1.03221,-0.03006,0.02832,48.36198,48.36198
"17","2017_Q2",79.3163492063492,"Up",-6528000,-1157000,-5371000,-1517000,256000,12000,-1261000,-1261000,-57000,-1318000,-1318000,-1318000,-1370000,55628000,30855000,5091000,5091000,60719000,2510000,13701652.905539,2510000,63229000,4015000,3056000,4015000,0,0,0,4015000,249392000,32958000,-270480000,44775000,59214000,59214000,63229000,-1318000,-1318000,0,2169000,-6651000,-5800000,0,0,-296000,-3929000,-9729000,-9729000,-9729000,-1517000,0,-8111000,-0.02314,-0.02167,5.92044,15.12304,0.0678,0,-0.88641,-0.88641,-123.04835,-5.24795,-0.02314,-0.13698,36.66974,36.66974
"18","2017_Q3",89.5785714285714,"Up",-6343000,-726000,-5617000,-1700000,258000,15000,-1442000,-1442000,-3e+05,-1742000,-1742000,-1742000,-1793000,52673000,31652000,4933000,4933000,57606000,2857000,13827460.756927,2857000,60463000,4930000,2109000,4930000,0,0,0,4930000,249443000,34861000,-272014000,42982000,55533000,55533000,60463000,-1742000,-1742000,0,1895000,2170000,2323000,0,0,-115000,-1526000,797000,797000,797000,-1700000,-4.65661287307739e-10,769999.999999998,-0.03229,-0.02965,-0.429449999999999,11.68479,0.08878,0,-1.14695,-1.14695,-124.04111,0.49256,-0.03229,0.01387,30.98412,30.98412
"19","2017_Q4",80.285873015873,"Down",-6712000,-778000,-5934000,-2283000,285000,41000,-1998000,-1998000,-127000,-2125000,-2125000,-2125000,-2177000,50861000,32813000,4680000,4680000,55541000,3168000,7533038.22985156,3168000,58709000,6444000,2016000,6444000,0,0,0,6444000,249495000,36527000,-272014000,40805000,52265000,52265000,58709000,-2125000,-2125000,106000,1659000,1514000,1154000,0,0,-29000,7000,1161000,1161000,1161000,-2177000,0,-536000,-0.04165,-0.03708,0.24621,8.61903,0.12329,0,-1.38238,-1.38238,-125.23955,-0.34036,-0.04165,-0.01026,23.36288,22.27814
"20","2018_Q1",68.2877049180328,"Down",-5924000,-659000,-5265000,-1847000,287000,43000,-1560000,-1560000,-224000,-1784000,-1784000,-1784000,-1835000,53240000,33349000,4151000,4151000,57391000,2996000,1974000,2996000,60387000,7736000,2085000,7736000,0,0,0,7736000,249546000,37793000,-272328000,38970000,52651000,52651000,60387000,-1784000,-1784000,196000,1263000,3013000,2688000,-1216000,-1841000,-125000,-311000,536000,536000,536000,-1651000,-5.82076609134674e-11,370000,-0.03485,-0.03039,-0.20163,7.41869,0.14693,-1.35525271560688e-20,-1.14827,-1.14827,-123.20853,0.23153,-0.03485,0.00703000000000001,32.24712,28.82512
"21","2018_Q2",65.24765625,"Down",-5513000,-947000,-4566000,-1461000,-2653000,43000,-4114000,-4114000,-250000,-4364000,-4364000,-4364000,-4415000,45873000,29115000,4027000,4027000,49900000,2967000,1527000,2967000,52867000,3516000,1471000,3516000,0,0,0,3516000,249597000,39053000,-272524000,33225000,49351000,49351000,52867000,-4364000,-4364000,109000,4197000,-4162000,-4220000,-14000,179000,0,-193000,-4234000,-4234000,-4234000,-1352000,0,-5278000,-0.08946,-0.08351,1.19547,14.19226,0.07124,0,-2.75267,-2.75267,-124.84959,-3.29073,-0.08946,-0.10695,33.92973,31.39836
"22","2018_Q3",63.6187301587302,"Down",-5834000,-843000,-4991000,-1918000,893000,49000,-1025000,-1025000,-42000,-1067000,-1067000,-1067000,-1119000,46335000,29266000,4252000,4252000,50587000,2855000,1484000,2855000,53442000,3827000,713000,3827000,0,0,0,3827000,249649000,40415000,-272555000,32106000,49615000,49615000,53442000,-1067000,-1067000,105000,761000,152999.999999999,-48000,-60000,230000,0,-31000,151000,151000,151000.000000002,-1813000,3.63797880709171e-12,-1678000,-0.02255,-0.02094,1.49955,13.21845,0.07713,0,-0.694,-0.694,-124.06117,-1.0407,-0.02255,-0.03382,25.55709,24.15798
"23","2018_Q4",47.3430158730159,"Down",-6072000,-993000,-5079000,-2138000,1e+06,58000,-1138000,-1138000,-17000,-1155000,-1155000,-1155000,-1207000,48098000,30194000,4006000,4006000,52104000,2810000,1638000,2810000,54914000,5491000,888000,5491000,0,0,0,5491000,249701000,41503000,-272680000,30899000,49423000,49423000,54914000,-1155000,-1155000,111000,387000,1847000,1190000,-3000,-140000,-18000,-122000,928000,928000,928000,-2027000,0,-166000,-0.02442,-0.02198,0.13753,9.48898,0.1111,0,-0.7481,-0.7481,-124.13313,-0.10289,-0.02442,-0.00336,23.72866,22.49673
"24","2019_Q1",32.1809836065574,"Down",-5115000,-826000,-4289000,-1091000,-3133000,66000,-4224000,-4224000,-66000,-4290000,-4290000,-4290000,-4341000,41937000,27171000,3968000,3968000,45905000,3462000,1910000,3462000,49367000,6771000,1188000,6771000,-1.16415321826935e-10,-1.16415321826935e-10,-1.16415321826935e-10,6771000,249752000,42274000,-275988000,26558000,42596000,42596000,49367000,-4290000,-4290000,111000,4205000,626000,652000,-71000,-376000,-3000,-3299000,-3023000,-3023000,-3023000,-980000,0,-359000,-0.10191,-0.08793,0.0827000000000001,6.77965,0.15896,0,-2.68626,-2.68626,-128.19036,-0.22215,-0.10191,-0.00842999999999999,42.79286,38.43905
"25","2019_Q2",21.864126984127,"Down",-5799000,-1039000,-4760000,-1896000,1125000,4000,-771000,-771000,-69000,-840000,-840000,-840000,-891000,37869000,22154000,3711000,3711000,41580000,6418000,4316000,6418000,47998000,2996000,871000,3161000,2643000,2643000,2643000,5804000,249803000,42972000,-276183000,25590000,42194000,42194000,47998000,-840000,-840000,95000,-122000,-3850000,-4717000,-38000,-110000,-152649.56441998,-195000,-5022000,-5022000,-5022000,-1801000,0,-5620000,-0.02112,-0.01856,6.30752,13.15407,0.13756,0,-0.56321,-0.56321,-131.23066,-3.55243,-0.01987,-0.12534,21.02665,19.9731
"26","2019_Q3",10.724375,"Down",-6474000,-880000,-5594000,-2576000,5084000,49000,2508000,2508000,781000,3289000,3289000,3289000,3237000,41721000,20978000,3992000,3992000,45713000,7401000,4331000,7401000,53114000,4269000,759000,4440000,2604000,2604000,2604000,7044000,249855000,43560000,-276189000,28827000,46070000,46070000,53114000,3289000,3289000,93000,-4155000,-129000,-902000,-37000,-273000,-307903.80152067,-6000,-1181000,-1181000,-1181000,-2483000,0,-3430000,0.07026,0.06094,-1.05962,10.29572,0.1529,0,2.03645,1.55737,-128.20424,-2.15787,0.0665,-0.07047,16.80266,16.19604
"27","2019_Q4",13.0684375,"Up",-15000,229000,-244000,-7816000,-751000,77000,-8567000,-8567000,5044000,-3523000,-3523000,-3523000,-3575000,41292000,21558000,4168000,4168000,45460000,8176000,6166000,8176000,53636000,6013000,1204000,6255000,4291000,4291000,4291000,10546000,249907000,44140000,-276189000,25252000,43090000,43090000,53636000,-3523000,-3523000,97000,1772000,2450000,796000,-123000,-186000,-201000,0,610000,610000,590000,-7719000,0,-10436000,-0.08297,-0.06665,2.91916,7.26779,0.24474,0,-2.24731,-3.24464,-130.00866,-6.56025,-0.07545,-0.22026,5.3494,5.28301
"28","2020_Q1",15.6635483870968,"Up",-4857000,-644000,-4213000,-4857000,1295000,28000,-3562000,-3562000,-5921000,-9483000,-1539000,-1539000,-1590000,38952000,18906000,7190000,5014000,46142000,7106000,6097000,7106000,53248000,4927000,1165000,7e+06,4218000,4218000,4218000,11218000,249958000,44675000,-276232000,23662000,42030000,42030000,53248000,-9483000,-1539000,37000,-844000,186000,-1921000,35000,383000,41000,-43000,-1581000,-1581000,-1593000,-4820000,0,1322000,-0.03783,-0.02986,-0.83145,6.59171,0.2669,-4.13590306276514e-25,-0.99533,-0.99533,-130.16131,0.827559999999999,-0.03438,0.02859,8.08133,8.01977
"29","2020_Q2",15.914126984127,"Up",-2066000,-586000,-1480000,-5160000,-372000,18000,-5532000,-5532000,-122000,-5654000,-3757000,-3757000,-3799000,36143000,16731000,4140000,4140000,40283000,8772000,6184000,8772000,49055000,6267000,1617000,6537000,4049000,4049000,4049000,10586000,2.5e+08,45156000,-276428000,19863000,38469000,38469000,49055000,-5654000,-3757000,89000,1131000,-644000,-3432000,-22000,469000,-234000,-192000,-3155000,-3155000,-3234000,-5071000,0,-5615000,-0.09875,-0.07744,1.47802,6.16231,0.27518,0,-2.35129,-2.35129,-130.92139,-3.47525,-0.08935,-0.13206,7.12739,7.00446
"30","2020_Q3",18.0925,"Up",-2310000,-564000,-1746000,-5629000,-5273000,6000,-10902000,-10902000,690000.000000001,-10212000,-7835000,-7835000,-7835000,29978000,15845000,3886000,3886000,33864000,8378000,6050000,8378000,42242000,6957000,1380000,7237000,3972000,3972000,3972000,11209000,2.5e+08,45559000,-276428000,12028000,31033000,31033000,42242000,-10212000,-7835000,88000,5690000,744000,-885000,0,-7999.99999999994,323000,10000,-883000,-883000,-886000,-5541000,0,-5487000,-0.25247,-0.18548,0.70032,4.67929,0.3612,-2.58493941422821e-26,-4.80886,-4.80886,-134.39462,-3.36774,-0.22383,-0.15675,5.41021,5.32564
"31","2020_Q4",22.46203125,"Up",-2014000,-559000,-1455000,-3682000,70000,5000,-3612000,-3612000,523000,-3089000,11754000,11754000,11754000,44909000,30711000,37586000,34967000,82495000,7326000,5667000,7326000,89821000,6911000,2920000,42720000,3937000,3937000,3937000,46657000,2.5e+08,45894000,-276428000,23782000,43164000,43164000,89821000,-3089000,11754000,88000,289000,1704000,13596000,-1000,3154000,-401000,0,16750000,16750000,16794000,-3594000,0,-2414000,0.27231,0.13086,-0.20538,1.93106,1.08092,0,7.20138,7.20138,-126.72322,-1.479,0.24955,-0.05125,12.49555,12.1969
"32","2021_Q1",21.6706557377049,"Down",-2143000,-619000,-1524000,-6039000,12134000,16000,6095000,6095000,-1860000,4235000,39659000,39659000,39659000,92306000,41623000,4308000.00000001,3414000,96614000,3138000,3138000,3138000,99752000,11691000,9152000,13104000,3226000,3226000,3226000,16330000,2.5e+08,46604000,-276543000,63426000,83422000,83422000,99752000,4235000,39659000,89000,-11389000,-2351000,9327000,-63000,-57999.9999999963,1000,-115000,9154000,9154000,9168000,-5950000,6.93889390390723e-18,-6504000,0.4754,0.39758,-0.164,7.37286,0.19575,3.23117426778526e-27,24.06313,24.06313,-101.07134,-3.94631,0.4577,-0.07506,15.51361,15.28498
"33","2021_Q2",18.1965079365079,"Down",-2638000,-753000,-1885000,-6183000,2399000,135000,-3784000,1937000,-3566000,-1629000,5856000,5856000,5856000,122468000,14902000,-26687819.2870551,-26308973.5565539,122468000,1519000,1519000,1519000,123987000,30515000,1668000,30641000,5353000,5353000,5353000,35994000,168200000,127987000,-277562000,69310000,87993000,87993000,123987000,-357000,5856000,83000,-5543000,-1864000,-2242000,-511000,-49307000,-3963000,24524000,-27025000,-27025000,-26905000,-6100000,0,-4909000,0.06655,0.04723,-0.83829,3.99687,0.40906,0,3.17534,2.81799,-43.4912,-2.66184,0.06273,-0.05259,20.07672,19.80721
"34","2021_Q3",19.1115625,"Up",-3266000,-611000,-2655000,-2921000,721000,-56000,-2200000,1895000,1605000,3500000,2228000,2228000,2228000,95387000,52027000,-34419261.3685902,-34317236.5217132,95387000,1313000,1313000,1313000,96700000,2673000,2374000,2801000,4290000,4290000,4290000,7091000,168200000,127406000,-277589000,71538000,89609000,89609000,96700000,2228000,2228000,81000,-5377000,-402000,-3470000,5.82076609134674e-11,68602000,-26000,-28002000,37130000,37130000,37125000,-2840000,-4.33680868994202e-19,-4847000,0.02486,0.02304,-2.17549,34.05462,0.07913,-2.01948391736579e-28,1.08581,1.01413,-38.30105,-2.36217,0.02373,-0.05162,33.58697,32.6556
"35","2021_Q4",21.7534375,"Up",-2957000,-585000,-2372000,-3835000,28000,8000,-3807000,-6483000,786000,-5697000,-5697000,-5697000,-5697000,87427000,84544000,-25686093.8065977,-26583112.7085955,87427000,1336000,1336000,1336000,88763000,3346000,2879000,3479000,3454000,3454000,3454000,6933000,1.5e+08,143524000,-277589000,65841000,81830000,81830000,88763000,-5697000,-5697000,73000,4768000,-4936000,-5792000,0,39612000,-872000,-1303000,32517000,32517000,32402000,-3762000,0,-9484000,-0.06962,-0.06418,1.66474,25.12992,0.08472,0,-2.92443,-2.66525,-34.99361,-4.86841,-0.0668,-0.1112,23.2395,22.79713
"36","2022_Q1",17.4324193548387,"Down",-2188000,-684000,-1504000,-3745000,153000,67000,-3592000,-6293000,-2098000,-8391000,-8391000,-8391000,-8391000,78349000,78349000,-7288084.16307017,-9078925.93031847,78349000,3127000,3127000,3127000,81476000,7145000,3816765.0609953,7145000,859000,859000,859000,8004000,140760950.475707,293557000,-277589000,57450000,73472000,73472000,81476000,-8391000,-8391000,72000,-3324000,5471000,-6172000,2.91038304567337e-11,0,52000,-22999.9999999963,-6195000,-6195000,-6080000,-3673000,2.71050543121376e-20,3896000,-0.11421,-0.10299,-0.46431,10.96557,0.10894,-1.26217744835362e-29,-5.14367,-5.14367,45.03821,2.38824,-0.11289,0.05241,21.33106,20.92096
"37","2022_Q2",10.9138709677419,"Down",-2352000,-729000,-1623000,-3276000,8000,6000,-3268000,-3692000,-5000,-3697000,-3697000,-3697000,-3697000,54370000,54370000,13975000,12223000,68345000,1140000,1140000,6640000,74985000,4964000,4150000,5108000,677000,677000,677000,5785000,144212000,148776000,-277589000,53753000,69200000,69200000,74985000,-3697000,-3697000,73000,112000,-867000,-4379000,673055.48574317,-17723000,-1868000,-1868000,-23970000,-23970000,-23979000,-3203000,0,59308850.3610163,-0.05342,-0.0493,-20.7513343029303,13.37999,0.0836,0,-1.79757,-1.70055,-36.47262,32.6809802759155,-0.05291,0.739335626542683,16.97471,16.59646
"38","2022_Q3",17.1834375,"Up",-2697000,-828000,-1869000,-3719000,8000.00000000003,10000,-3711000,-4125000,-7000,-4132000,-4132000,-4132000,-4132000,31317000,31317000,31981000,31981000,63298000,3545000,3545000,3715000,67013000,1100000,1100000,1879000,7560764.87898293,7560764.87898293,7560764.87898293,1879000,144212000,148855000,-277589000,49621000,65134000,65134000,67013000,-4132000,-4132000,72000,448000,-4843000,-8455000,2530166.45722951,-14584000,0,0,-23039000,-23039000,-23053000,-3647000,3.3881317890172e-21,179470551.083049,-0.06344,-0.06166,-70.3430429087909,33.68707,0.02885,0,-2.00908,-1.90064,-38.44961,98.5786108277465,-0.06344,2.23331687962805,8.58706,8.42081
