"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","notes_receivable_net","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","interest_dividends_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2016_Q4",31.0947619047619,"Down",226165000,-141904000,84261000,-12560000,-7652000,-1376000,-1764000,71701000,-24944000,-25440000,496000,46757000,46757000,46757000,46757000,-3462000,43295000,40998000,68812000,68812000,34277000,34277000,103089000,3272448000,4641390000,-1368942000,94846000,19198000,75648000,3367294000,3470383000,141546000,8128000,39315000,1892692000,91410000,91410000,2125648000,199327000,70794000,70794000,270121000,2395769000,1233912000,-232525000,1001387000,73227000,1074614000,3470383000,46757000,29801000,3110000,8107000,87775000,-33609000,-33609000,-33609000,3626000,-29983000,-41597000,-22242000,6e+05,6e+05,-612000,-63851000,-6059000,-6059000,-6059000,101502000,2092019000,0.37256,0.31703,0.18127,0.03815,0.01181,0.0485,2.22942,0.60282,0.24086,0.22068,1.32868,5.88297,0.24437,0.02551,1.01461,19.93268,28.21728
"12","2017_Q1",33.2008064516129,"Up",214042000,-131820000,82222000,-14909000,-7689000,-1234000,-3977000,67313000,-24932000,-25395000,463000,42381000,42381000,42381000,42381000,-3099000,39282000,36966000,56340000,56340000,34520000,34520000,90860000,3285805000,4685336000,-1399531000,102322000,19369000,82953000,3388127000,3478987000,137654000,8379000,39411000,1891900000,91301000,91301000,2120855000,199379000,76906000,76906000,276285000,2397140000,1240046000,-231503000,1008543000,73304000,1081847000,3478987000,42381000,30478000,2689000,3218000,78766000,-52162000,-52162000,-52162000,-587000,-52749000,-41630000,124999.999999996,6397000,6626000.00000001,-3381000,-38489000,-12472000,-12472000,-12472000,97791000,2091279000,0.38414,0.31449,0.1727,0.03417,0.01063,0.04284,2.21578,0.60112,0.21703,0.19861,1.25663,5.92111,0.24441,0.02418,1.12617,20.80906,30.231
"13","2017_Q2",36.6471428571429,"Up",232389000,-134485000,97904000,-11100000,-7373000,-1032000,-1144000,86804000,-23729000,-24879000,1150000,63075000,63075000,63075000,63075000,-3890000,59185000,56888000,73248000,73248000,34239000,34239000,107487000,3272800000,4702799000,-1429999000,90754000,19187000,71567000,3363554000,3471041000,138996000,8212000,45230000,1859890000,95580000,95580000,2094466000,199431000,77398000,77398000,276829000,2371295000,1254638000,-216725000,1037913000,61833000,1099746000,3471041000,63075000,30398000,6568000,13787000,113828000,-24354000,-24354000,-24354000,707000,-23647000,-41708000,-31887000,403000,403000,-81000,-73273000,16908000,16908000,16908000,117202000,2059321000,0.42129,0.37353,0.2448,0.05173,0.01639,0.05132,2.15622,0.59329,0.33056,0.30581,1.35035,6.03101,0.24235,0.03046,0.73316,16.94573,22.87997
"14","2017_Q3",38.6152380952381,"Up",221312000,-140792000,80520000,-12276000,-8461000,-958000,-1200000,68244000,-23782000,-24822000,1040000,44462000,44462000,44462000,44462000,-2649000,41813000,39497000,67740000,67740000,48253000,48253000,115993000,3271711000,4731642000,-1459931000,97654000,21766000,75888000,3369365000,3485358000,146754000,8044000,45259000,1855028000,96139000,96139000,2097921000,199483000,88543000,88543000,288026000,2385947000,1258319000,-219611000,1038708000,60703000,1099411000,3485358000,44462000,30562000,2045000,22085000,99154000,-31163000,-31163000,-31163000,-15496000,-46659000,-47546000,-10750000,361000,361000,-68000,-58003000,-5508000,-5508000,-5508000,98806000,2054511000,0.36383,0.30836,0.17847,0.03593,0.01133,0.05529,2.1702,0.58947,0.2276,0.21219,1.27531,5.98555,0.27398,0.02684,1.20379,20.1078,29.11276
"15","2017_Q4",39.6849206349206,"Up",241625000,-151300000,90325000,-11118000,-7505000,-137999.999999996,-1771000,79207000,-24341000,-25027000,686000,54866000,54866000,54866000,54866000,-3286000,51580000,48526000,77395000,77395000,49284000,49284000,126679000,3266911000,4755633000,-1488722000,132257000,52966000,79291000,3399168000,3525847000,160158000,7969000,45501000,1981604000,95767000,95767000,2237529000,199534000,73609000,73609000,273143000,2510672000,1165530000,-213771000,951759000,63416000,1015175000,3525847000,54866000,30821000,-2753000,7406000,90340000,-34523000,-34523000,-34523000,-31157000,-65680000,-47556000,128245000,-93256000,42888000,-2438000,-15005000,9655000,9655000,9655000,110028000,2181138000,0.37382,0.32781,0.20083,0.0478,0.01376,0.05662,2.47314,0.61861,0.27874,0.25999,1.38795,5.46711,0.27317,0.02938,0.98001,19.12007,26.56006
"16","2018_Q1",38.1529508196721,"Down",229986000,-28011000,201975000,-126263000,-8398000,-121558000,-1219000,75712000,-24953000,-25842000,889000,50759000,47974000,47974000,47974000,-2963000,45011000,44993000,31085000,31085000,49477000,49477000,80562000,3399119000,4915813000,-1516694000,130351000,53080000,77271000,3529470000,3610032000,135178000,8387000,46047000,1971715000,95528000,95528000,2202421000,228302000,79267000,79267000,307569000,2509990000,1242992000,-211038000,1031954000,68088000,1100042000,3610032000,47974000,33170000,-36000.0000000005,-6443000,74665000,-172562000,-172562000,-172562000,3193000,-169369000,-45519000,24231000,83787000,83957000,-15014000,47485000,-47219000,-47219000,-47219000,108882000,2200017000,0.87821,0.3292,0.19563,0.0409,0.01246,0.03658,2.28172,0.60942,0.25527,0.23858,1.30484,5.85486,0.25826,0.02678,1.01169,19.92002,28.64714
"17","2018_Q2",40.3125,"Up",246025000,-115510000,130515000,-41830000,-8038000,-32374000,-1418000,88685000,-24508000,-25703000,1195000,64177000,64177000,64177000,64177000,-3955000,60222000,60222000,73891000,73891000,34913000,34913000,108804000,3438410000,4985984000,-1547574000,142869000,57491000,85378000,3581279000,3690083000,146177000,8501000,52010000,2040506000,123378000,123378000,2310061000,198383000,80500000,80500000,278883000,2588944000,1246097000,-212934000,1033163000,67976000,1101139000,3690083000,64177000,32717000,3902000,20905000,121701000,-61245000,-61245000,-61245000,10297000,-50948000,-46046000,22227000,503000,503000,-1702000,-25018000,45735000,45735000,45735000,121402000,2238889000,0.53049,0.36047,0.24478,0.05469,0.01632,0.0471,2.35115,0.60673,0.34015,0.31838,1.38959,5.8355,0.26008,0.03107,0.7646,17.8333,24.41222
"18","2018_Q3",42.5720634920635,"Up",240502000,-121307000,119195000,-45354000,-9669000,-34345000,-1340000,73841000,-24672000,-26285000,1613000,49169000,49169000,49169000,49169000,-3024000,46145000,46137000,46025000,46025000,34672000,34672000,80697000,3469807000,5049820000,-1580013000,149685000,57699000,91986000,3619492000,3700189000,151397000,8425000,52043000,2028535000,125094000,125094000,2305026000,198464000,94868000,94868000,293332000,2598358000,1248931000,-214874000,1034057000,67774000,1101831000,3700189000,49169000,34714000,904000,23477000,108264000,-73421000,-73421000,-73421000,2180000,-71241000,-52019000,-12177000,343000.000000015,343000,-321000,-64174000,-27151000,-27151000,-27151000,108555000,2226999000,0.49561,0.30703,0.19184,0.04187,0.01247,0.03501,2.35822,0.60186,0.26051,0.24379,1.358,5.83883,0.29373,0.02867,1.12749,20.09096,29.53608
"19","2018_Q4",44.1692063492063,"Up",256675000,-126030000,130645000,-45283000,-8816000,-34980000,-1487000,85362000,-25702000,-26490000,788000,59660000,59660000,59660000,59660000,-3590000,56070000,56070000,112410000,112410000,35889000,35889000,148299000,3553182000,5166340000,-1613158000,153556000,57366000,96190000,3706738000,3855037000,163510000,8369000,52521000,2016257000,126197000,126197000,2305964000,278545000,80011000,80011000,358556000,2664520000,1326543000,-207784000,1118759000,71758000,1190517000,3855037000,59660000,35367000,-2231000,2001000,94797000,-125574000,-125574000,-125574000,4214000,-121360000,-52043000,67656000,79519000,79519000,-1288000,93844000,67281000,67281000,67281000,120729000,2294802000,0.50899,0.33257,0.21845,0.0471,0.01454,0.06431,2.23812,0.59527,0.31427,0.29423,1.43866,6.27065,0.2917,0.03032,0.92818,18.07678,25.56632
"20","2019_Q1",49.1272131147541,"Up",243451000,-115824000,127627000,-48004000,-11161000,-35510000,-1333000,79623000,-25172000,-26515000,1343000,54451000,53380000,53380000,53380000,-3205000,50175000,50167000,68974000,68974000,35041000,35041000,104015000,3641589000,5273477000,-1631888000,180204000,57755000,122449000,3821793000,3925808000,164230000,8759000,52617000,2149726000,138768000,126418000,2452724000,198626000,81114000,81114000,279740000,2732464000,1330287000,-208735000,1121552000,71792000,1193344000,3925808000,53380000,35890000,-2572000,2624000,89322000,-155490000,-155490000,-155490000,974000,-154516000,-52530000,68733000,4203000.00000001,4203000.00000001,-7734000,12672000,-52522000,-52522000,-52522000,115513000,2348352000,0.52424,0.32706,0.20607,0.04204,0.01278,0.04241,2.28975,0.59818,0.28002,0.262,1.35891,6.26034,0.29321,0.02835,1.0471,19.73265,28.62713
"21","2019_Q2",54.6738095238095,"Up",259090000,-116806000,142284000,-49396000,-9909000,-37977000,-1510000,92888000,-24860000,-26393000,1533000,68028000,120535000,120535000,120535000,-7226000,113309000,113309000,144222000,144222000,34811000,34811000,179033000,3675907000,5343915000,-1668008000,153937000,58465000,95472000,3829844000,4008877000,187664000,8729000,58637000,2147490000,131180000,131180000,2466334000,198706000,86519000,86519000,285225000,2751559000,1333306000,-151480000,1181826000,75492000,1257318000,4008877000,120535000,38404000,-51123000,20282000,128098000,12293000,-65453000,-65453000,819000,13112000,-52618000,-13683000,652000,652000,-313000,-65962000,75248000,75248000,75248000,131292000,2346196000,0.54917,0.35852,0.43733,0.09012,0.02826,0.07259,2.18844,0.58525,0.63104,0.59247,1.44292,6.58179,0.29304,0.04497,0.46438,16.77158,23.70569
"22","2019_Q3",60.4359375,"Up",248366000,-126349000,122017000,-48643000,-9225000,-37776000,-1642000,73374000,-22798000,-26024000,3226000,50576000,49085000,49085000,49085000,-2676000,46409000,46401000,90457000,90457000,36010000,36010000,126467000,3732832000,5436923000,-1704091000,155179000,55195000,99984000,3888011000,4014478000,194210000,8187000,58972000,2075689000,134069000,134069000,2403968000,198787000,104249000,104249000,303036000,2707004000,1398519000,-162446000,1236073000,71401000,1307474000,4014478000,49085000,38244000,2423000,26835000,116587000,-94454000,-94454000,-94454000,5461000,-88993000,-58645000,-80299000,59904000,59904000,-2319000,-81359000,-53765000,-53765000,-53765000,111618000,2274476000,0.49128,0.29543,0.18683,0.03549,0.01156,0.05261,2.07041,0.56657,0.25733,0.24187,1.37739,6.85504,0.32523,0.0285,1.26387,19.56691,29.76557
"23","2019_Q4",64.805625,"Up",271160000,-132720000,138440000,-48235000,-8710000,-37032000,-2493000,90205000,-22029000,-25547000,3518000,68176000,68176000,68176000,68176000,-3715000,64461000,64461000,42386000,42386000,37228000,37228000,79614000,3938494000,5677779000,-1739285000,119363000,20339000,99024000,4057857000,4137471000,212008000,8410000,58976000,2062736000,135972000,135972000,2410716000,318868000,88094000,88094000,406962000,2817678000,1401763000,-154004000,1247759000,72034000,1319793000,4137471000,68176000,37512000,-4129000,3104000,104663000,-206177000,-206177000,-206177000,5160000,-201017000,-58972000,106615000,697000,697000,-57000,48283000,-48071000,-48071000,-48071000,127717000,2381604000,0.51055,0.33266,0.23772,0.04884,0.01558,0.03303,2.13494,0.57562,0.35483,0.33499,1.4926,6.86831,0.32461,0.03257,0.91485,18.31564,25.93224
"24","2020_Q1",63.8717741935484,"Down",258640000,-125952000,132688000,-48781000,-7835000,-39325000,-1621000,83907000,-25781000,-26259000,478000,58126000,58126000,58126000,58126000,-3166000,54960000,54952000,28860000,28860000,37558000,37558000,66418000,3966825000,5743049000,-1776224000,118032000,20074000,97958000,4084857000,4151275000,192282000,8639000,58978000,2049509000,137413000,137413000,2379204000,358949000,91234000,91234000,450183000,2829387000,1404508000,-154698000,1249810000,72078000,1321888000,4151275000,58126000,39820000,302000,-4076000,94172000,-77320000,-77320000,-77320000,3112000,-75191000,-45879000,26339000,548000.000000007,547999.999999993,-13515000,-32507000,-13526000,-13526000,-13526000,123727000,2408458000,0.51302,0.32442,0.21247,0.04157,0.01324,0.02792,2.14041,0.58017,0.30247,0.28552,1.42364,6.87937,0.25253,0.02638,0.83489,19.23265,28.35995
"25","2020_Q2",57.8633333333333,"Down",280476000,-131152000,149324000,-51680000,-10855000,-39024000,-1801000,97644000,-25866000,-26073000,207000,71778000,70724000,70724000,70724000,-3849000,66875000,66875000,96921000,96921000,35227000,35227000,132148000,3968506000,5781328000,-1812822000,111810000,20130000,91680000,4080316000,4212464000,198881000,8627000,65858000,2260819000,141675000,141675000,2601375000,199030000,91152000,91152000,290182000,2891557000,1404326000,-155416000,1248910000,71997000,1320907000,4212464000,70724000,39628000,4347000,16193000,130892000,-50311000,-50311000,-50311000,150000,-50161000,-58978000,53594000,619000,619000,-7905000,-12670000,68061000,68061000,68061000,137272000,2459849000,0.53239,0.34814,0.23843,0.05063,0.01588,0.0508,2.18907,0.58395,0.36799,0.34729,1.54338,6.87238,0.32454,0.0325,0.88191,17.21347,24.19942
"26","2020_Q3",61.33765625,"Up",254090000,-129391000,124699000,-50661000,-10609000,-38332000,-1720000,74038000,-25185000,-26249000,1064000,48853000,48853000,48853000,48853000,-2658000,46195000,46187000,119993000,119993000,35304000,35304000,155297000,3978511000,5828310000,-1849799000,134366000,19864000,114502000,4112877000,4268174000,216732000,8485000,65978000,2247790000,144678000,144678000,2609200000,249111000,102480000,102480000,351591000,2960791000,1407576000,-171064000,1236512000,70871000,1307383000,4268174000,48853000,38988000,1952000,18060000,107853000,-56892000,-56892000,-56892000,1249000,-55643000,-65986000,36479000,531000,531000,-162000.000000002,-29138000,23072000,23072000,23072000,113026000,2496901000,0.49077,0.29138,0.18177,0.03533,0.01082,0.05952,2.26467,0.585,0.25401,0.23992,1.39738,6.80026,0.36289,0.02871,1.42867,21.02975,32.10389
"27","2020_Q4",58.77859375,"Down",284986000,-147364000,137622000,-50172000,-9692000,-38581000,-1899000,87450000,-24250000,-25218000,968000,63200000,53468000,53468000,53468000,-2908000,50560000,50560000,114218000,114218000,36230000,36230000,150448000,3984617000,5871385000,-1886768000,125348000,19933000,105415000,4109965000,4260413000,222090000,8055000,66001000,2450783000,148229000,148229000,2821102000,5e+07,90219000,90219000,140219000,2961321000,1410065000,-181754000,1228311000,70781000,1299092000,4260413000,53468000,39254000,8501000,20900000,122123000,-56729000,-56729000,-56729000,1004000,-55725000,-55581000,6930000,528000,528000,-24050000,-72173000,-5775000,-5775000,-5775000,126704000,2500783000,0.48291,0.30686,0.17741,0.03892,0.01187,0.05333,2.27953,0.58698,0.278,0.26256,1.56697,6.75375,0.30561,0.02728,1.09931,18.83575,27.29062
"28","2021_Q1",59.6090163934426,"Up",271896000,-132421000,139475000,-49033000,-8120000,-39194000,-1719000,90442000,-22071000,-25231000,3160000,68371000,68371000,68371000,68371000,-3717000,64654000,64646000,24060000,24060000,35844000,35844000,59904000,4235841000,6160426000,-1924585000,123224000,19726000,103498000,4359065000,4418969000,204005000,8336000,66003000,2444930000,150692000,150692000,2799627000,2.22e+08,92587000,92587000,314587000,3114214000,1413210000,-179523000,1233687000,71068000,1304755000,4418969000,68371000,39890000,-880000.000000002,-1712000,105669000,-292217000,-292217000,-292217000,3367000,-288850000,-62419000,159028000,349000,349000,-3935000,93023000,-90158000,-90158000,-90158000,130332000,2666930000,0.51297,0.33263,0.23776,0.04955,0.01463,0.0214,2.38682,0.60352,0.35543,0.33569,1.49493,6.78301,0.34319,0.03126,0.96555,20.27798,29.22171
