"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",25.4540322580645,"Up",3.499e+09,-2.481e+09,1.018e+09,-5.96e+08,-4.23e+08,-1.73e+08,4.22e+08,-2.3e+07,-4.2e+07,1.9e+07,3.99e+08,-5.1e+07,3.48e+08,-8.8e+07,2.6e+08,-6.1e+07,-6.1e+07,1.99e+08,1.99e+08,1.99e+08,1.302e+09,1.302e+09,2.393e+09,2.393e+09,1.868e+09,4.62e+08,4.62e+08,6.025e+09,3.136e+09,9.781e+09,1.392e+09,4.29e+09,2.639e+09,1.46e+09,1.2917e+10,1.8942e+10,1.383e+09,1.383e+09,1.066e+09,4.07e+09,2.693e+09,4.439e+09,1.169e+09,2.766e+09,5.04e+08,7.132e+09,1.1202e+10,7.013e+09,-3.05e+08,8e+08,2.26e+08,7.734e+09,7.74e+09,1.8942e+10,2.6e+08,1.74e+08,8e+07,-1.6e+07,5.05e+08,-1.09e+08,0,-1.099e+09,-9e+07,-8.61e+08,4e+06,5e+06,-9.49e+08,-1.543e+09,-1.543e+09,-2.1e+07,-1.564e+09,5.96e+08,3.759e+09,5.59e+08,0.29094,0.12061,0.05687,0.02571,0.01051,2.80905,1.48034,1.44729,0.19845,0.46495,0.46172,8.17523,18.07009,1.30607,0.21028,5,0.01813,0.03507,0.45226,4.12248,5.82227
"12","2013_Q1",29.5928333333333,"Up",3.364e+09,-2.3e+09,1.064e+09,-6.17e+08,-4.52e+08,-1.65e+08,4.47e+08,-2.1e+07,-4e+07,1.9e+07,4.26e+08,-4.6e+07,3.8e+08,1.8e+07,3.98e+08,-2e+06,-2e+06,3.96e+08,3.96e+08,3.96e+08,1.589e+09,1.589e+09,2.343e+09,2.343e+09,1.808e+09,4.74e+08,4.74e+08,6.214e+09,3.213e+09,9.879e+09,1.352e+09,4.308e+09,2.749e+09,1.47e+09,1.3092e+10,1.9306e+10,1.292e+09,1.292e+09,1.015e+09,4.004e+09,2.696e+09,4.629e+09,1.353e+09,2.759e+09,5.17e+08,7.325e+09,1.1329e+10,7.03e+09,-4.84e+08,1.196e+09,2.29e+08,7.971e+09,7.977e+09,1.9306e+10,3.98e+08,1.56e+08,-1.23e+08,2.83e+08,7.13e+08,-1.38e+08,-2e+06,-1.4e+08,-8.9e+07,-5e+07,-1.6e+08,-999999.999999996,-2.99e+08,2.74e+08,2.74e+08,1.3e+07,2.87e+08,6.03e+08,3.711e+09,7.3e+08,0.31629,0.13288,0.11772,0.04964,0.02051,1.84343,1.55195,1.42021,0.19222,0.93396,0.92308,7.93396,18.79953,1.7217,0.20991,7,0.02972,0.04474,0.22475,3.51907,4.7472
"13","2013_Q2",32.53,"Up",3.134e+09,-2.145e+09,9.89e+08,-5.99e+08,-4.28e+08,-1.71e+08,3.9e+08,-2.59e+08,-3.3e+07,-2.26e+08,1.31e+08,-9.7e+07,3.4e+07,2.45e+08,2.79e+08,-2e+06,-2e+06,2.77e+08,2.77e+08,2.77e+08,9.72e+08,9.72e+08,2.211e+09,2.211e+09,1.808e+09,4.74e+08,4.74e+08,5.465e+09,3.187e+09,9.484e+09,1.325e+09,4.324e+09,2.605e+09,1.23e+09,1.2671e+10,1.8136e+10,1.264e+09,1.264e+09,3.51e+08,3.111e+09,2.687e+09,4.204e+09,1.348e+09,2.329e+09,5.27e+08,6.891e+09,1.0002e+10,7.005e+09,-6.05e+08,1.473e+09,2.56e+08,8.129e+09,8.134e+09,1.8136e+10,2.79e+08,1.52e+08,4.13e+08,-4.51e+08,3.92e+08,-1.24e+08,1.9e+07,-1.05e+08,-8.9e+07,-6.64e+08,-1.51e+08,-2e+06,-9.05e+08,-6.18e+08,-6.18e+08,1e+06,-6.17e+08,5.42e+08,3.038e+09,-2.78e+08,0.31557,0.12444,0.08839,0.03405,0.01527,-1.00361,1.75667,1.22965,0.16751,0.6564,0.65023,7.42654,19.26303,-0.65877,0.2109,7,0.0238,-0.01808,0.3213,3.81181,5.29744
"14","2013_Q3",37.399375,"Up",3.265e+09,-2.213e+09,1.052e+09,-6.09e+08,-4.38e+08,-1.71e+08,4.43e+08,-2.1e+07,-3e+07,9e+06,4.22e+08,-8.4e+07,3.38e+08,-6e+07,2.78e+08,-1e+06,-1e+06,2.77e+08,2.77e+08,2.77e+08,1.073e+09,1.073e+09,2.214e+09,2.214e+09,1.803e+09,4.86e+08,4.86e+08,5.576e+09,3.114e+09,9.45e+09,1.291e+09,4.279e+09,2.627e+09,1.253e+09,1.2564e+10,1.814e+10,1.348e+09,1.348e+09,7.15e+08,3.901e+09,2.315e+09,4.191e+09,1.312e+09,2.347e+09,5.32e+08,6.506e+09,1.0407e+10,6.609e+09,-7.66e+08,1.75e+09,1.34e+08,7.727e+09,7.733e+09,1.814e+10,2.78e+08,1.58e+08,9e+06,999999.999999881,4.45e+08,-1.25e+08,-2e+06,-1.27e+08,-8.8e+07,0,-1.28e+08,3.72529029846191e-09,-2.15e+08,1.03e+08,1.03e+08,-2e+06,1.01e+08,6.01e+08,3.03e+09,5.37e+08,0.32221,0.13568,0.08484,0.03582,0.01527,1.93863,1.42938,1.34579,0.16703,0.65952,0.6533,7.77381,18.39762,1.27857,0.20952,8,0.02441,0.03591,0.31769,3.25624,4.41761
"15","2013_Q4",39.47828125,"Up",3.449e+09,-2.317e+09,1.132e+09,-6.23e+08,-4.56e+08,-1.67e+08,5.09e+08,-1.4e+07,-3.2e+07,1.8e+07,4.95e+08,-7e+07,4.25e+08,-9.3e+07,3.32e+08,3e+06,3e+06,3.35e+08,3.35e+08,3.35e+08,1.262e+09,1.262e+09,2.257e+09,2.257e+09,1.762e+09,4.53e+08,4.53e+08,5.734e+09,3.071e+09,9.285e+09,1.263e+09,4.285e+09,2.482e+09,1.255e+09,1.2356e+10,1.809e+10,1.357e+09,1.357e+09,7.11e+08,4.003e+09,2.307e+09,3.892e+09,1.293e+09,2.24e+09,3.59e+08,6.199e+09,1.0202e+10,6.281e+09,-5.56e+08,2.085e+09,7.2e+07,7.882e+09,7.888e+09,1.809e+10,3.32e+08,1.47e+08,7.2e+07,6.3e+07,6.16e+08,-1.44e+08,1.9e+07,-1.25e+08,-1.04e+08,-1000000.00000012,-1.86e+08,2e+06,-2.91e+08,2e+08,2e+08,-1.1e+07,1.89e+08,6.56e+08,3.018e+09,6.68e+08,0.32821,0.14758,0.09713,0.04247,0.01852,1.99403,1.43243,1.29336,0.16683,0.80723,0.79572,8.31084,18.99277,1.60964,0.2506,7,0.02967,0.04514,0.31045,2.67683,3.4499
"16","2014_Q1",43.256393442623,"Up",1.542e+09,-1.064e+09,4.78e+08,-1.99e+08,-1.18e+08,-8.1e+07,2.79e+08,-1.1e+07,-2.7e+07,1.6e+07,2.68e+08,1.5e+07,2.83e+08,-1.7e+07,2.66e+08,1.22e+08,1.22e+08,3.88e+08,3.87e+08,3.87e+08,1.403e+09,1.403e+09,2.323e+09,2.323e+09,1.762e+09,4.87e+08,4.87e+08,5.975e+09,3.166e+09,9.32e+09,1.244e+09,4.326e+09,2.48e+09,1.27e+09,1.2486e+10,1.8461e+10,1.383e+09,1.383e+09,7.11e+08,3.924e+09,2.303e+09,3.848e+09,1.155e+09,2.3e+09,3.93e+08,6.151e+09,1.0075e+10,6.325e+09,-7.2e+08,2.472e+09,3.03e+08,8.38e+09,8.386e+09,1.8461e+10,2.66e+08,7.9e+07,-7.3e+07,5e+07,5.93e+08,-1.66e+08,-1.3e+07,-1.88e+08,-1.03e+08,1e+06,-1.65e+08,2.54e+08,-2.67e+08,1.38e+08,1.38e+08,3e+06,1.41e+08,3.58e+08,3.014e+09,2.59e+08,0.30999,0.18093,0.25097,0.04615,0.02096,0.66925,1.52268,1.20141,0.16326,0.93253,0.91924,3.71566,20.19277,0.6241,0.24819,6,0.03214,0.01699,0.26615,4.5,5.77419
"17","2014_Q2",48.2480952380952,"Up",3.326e+09,-2.209e+09,1.117e+09,-6.31e+08,-4.67e+08,-1.64e+08,4.86e+08,3e+06,-2.9e+07,3.2e+07,4.89e+08,-7e+06,4.82e+08,-1.27e+08,3.55e+08,-1999999.99999999,-1999999.99999999,3.53e+08,3.53e+08,3.53e+08,1.397e+09,1.397e+09,2.284e+09,2.284e+09,1.836e+09,5.07e+08,5.07e+08,6.024e+09,3.164e+09,9.255e+09,1.219e+09,4.346e+09,2.39e+09,1.3e+09,1.2419e+10,1.8443e+10,1.361e+09,1.361e+09,3.83e+08,3.409e+09,2.615e+09,3.797e+09,1.15e+09,2.3e+09,3.47e+08,6.412e+09,9.821e+09,6.289e+09,-8.25e+08,2.825e+09,3.27e+08,8.616e+09,8.622e+09,1.8443e+10,3.55e+08,1.49e+08,6.7e+07,-1.84e+08,3.85e+08,-1.21e+08,-2e+06,-1.23e+08,-1.03e+08,-4999999.99999999,-1.53e+08,-3e+06,-2.62e+08,0,0,-6e+06,-6e+06,6.35e+08,2.998e+09,4.57e+08,0.33584,0.14612,0.10613,0.04094,0.01914,1.29462,1.76709,1.13906,0.16255,0.85888,0.8445,8.09246,20.9635,1.11192,0.25061,9,0.02958,0.02964,0.29178,2.52126,3.29424
"18","2014_Q3",53.1984375,"Up",2.5e+09,-1.677e+09,8.23e+08,-4.13e+08,-2.91e+08,-1.22e+08,4.1e+08,-1.1e+07,-2.7e+07,1.6e+07,3.99e+08,1e+06,4e+08,-1.02e+08,2.98e+08,6.4e+07,6.4e+07,3.62e+08,3.62e+08,3.62e+08,1.429e+09,1.429e+09,2.402e+09,2.402e+09,1.85e+09,5.43e+08,5.43e+08,6.224e+09,3.181e+09,9.223e+09,1.197e+09,4.355e+09,2.351e+09,1.32e+09,1.2404e+10,1.8628e+10,1.421e+09,1.421e+09,6.25e+08,4.087e+09,2.37e+09,3.772e+09,1.14e+09,2.317e+09,3.15e+08,6.142e+09,1.0229e+10,5.812e+09,-9.24e+08,3.187e+09,3.18e+08,8.393e+09,8.399e+09,1.8628e+10,2.98e+08,1.21e+08,3.6e+07,-1.02e+08,4.49e+08,-1.39e+08,2e+06,-1.75e+08,-1.02e+08,-7e+06,-1.3e+08,7.7e+07,-2.38e+08,3.6e+07,3.6e+07,-4e+06,3.2e+07,5.31e+08,2.995e+09,3.92e+08,0.3292,0.164,0.1448,0.0431,0.01943,1.08287,1.52288,1.21788,0.16078,0.88293,0.86811,6.09756,20.47073,0.9561,0.24878,8,0.03059,0.02585,0.28177,2.94915,3.81951
"19","2014_Q4",51.71046875,"Down",3.075e+09,-2.057e+09,1.018e+09,-5.43e+08,-3.96e+08,-1.47e+08,4.75e+08,-1.5e+07,-2.4e+07,9e+06,4.6e+08,-1.1e+07,4.49e+08,-1.02e+08,3.47e+08,5.6e+07,5.6e+07,4.03e+08,4.03e+08,4.03e+08,1.613e+09,1.613e+09,2.503e+09,2.503e+09,1.81e+09,6.05e+08,6.05e+08,6.531e+09,3.154e+09,9.186e+09,1.173e+09,4.354e+09,2.339e+09,1.32e+09,1.234e+10,1.8871e+10,1.433e+09,1.433e+09,6.25e+08,3.86e+09,2.375e+09,3.788e+09,1.125e+09,2.333e+09,3.3e+08,6.163e+09,1.0023e+10,5.408e+09,-5.13e+08,3.59e+09,3.57e+08,8.842e+09,8.848e+09,1.8871e+10,3.47e+08,1.38e+08,4.2e+07,-1.25e+08,5e+08,-1.6e+08,-4e+06,-1.73e+08,-1.19e+08,-5.96046447753906e-08,-2.9e+07,8.7e+07,-1.5e+08,1.77e+08,1.77e+08,7e+06,1.84e+08,6.13e+08,3e+09,4.3e+08,0.33106,0.15447,0.13106,0.04555,0.02136,1.067,1.69197,1.1328,0.15897,0.98533,0.96875,7.51834,21.61858,1.05134,0.29095,8,0.03338,0.0275,0.29529,2.26264,2.92
"20","2015_Q1",59.3055737704918,"Up",3.072e+09,-2.058e+09,1.014e+09,-5.3e+08,-3.8e+08,-1.5e+08,4.84e+08,-2.2e+07,-2.8e+07,6e+06,4.62e+08,-3.3e+07,4.29e+08,1.85e+08,6.14e+08,4.9e+07,4.9e+07,6.63e+08,6.63e+08,6.63e+08,2.457e+09,2.457e+09,2.057e+09,2.057e+09,1.509e+09,2.532e+09,5.19e+08,8.555e+09,2.92e+09,8.677e+09,1.087e+09,3.726e+09,2.371e+09,1.493e+09,1.1597e+10,2.0152e+10,1.23e+09,1.23e+09,5.77e+08,3.993e+09,3.281e+09,3.865e+09,1.28e+09,2.273e+09,3.12e+08,7.146e+09,1.1139e+10,5.415e+09,-6.44e+08,4.253e+09,-1.7e+07,9.007e+09,9.013e+09,2.0152e+10,6.14e+08,1.43e+08,-3.14e+08,2.19e+08,7.49e+08,-8.6e+07,-9e+06,-6.04e+08,-1.19e+08,9.51e+08,-1.1e+08,7.2e+07,7.15e+08,8.6e+08,8.6e+08,-1.6e+07,8.44e+08,6.27e+08,3.858e+09,5.75e+08,0.33008,0.15755,0.21582,0.07356,0.0329,0.86727,2.1425,1.23588,0.19145,1.61707,1.58993,7.49268,21.96829,1.40244,0.29024,8,0.04673,0.03436,0.17949,2.23445,2.89463
"21","2015_Q2",59.9347619047619,"Up",3.049e+09,-2.029e+09,1.02e+09,-5.46e+08,-3.86e+08,-1.6e+08,4.74e+08,-9.9e+07,-2.9e+07,-7e+07,3.75e+08,-4.9e+07,3.26e+08,1.09e+08,4.35e+08,3.7e+07,3.7e+07,4.72e+08,4.72e+08,4.72e+08,8.68e+08,8.68e+08,2.349e+09,2.349e+09,1.942e+09,5.51e+08,5.51e+08,5.71e+09,3.118e+09,1.1325e+10,1.83e+09,5.638e+09,2.427e+09,1.43e+09,1.4443e+10,2.0153e+10,1.382e+09,1.382e+09,9.37e+08,3.876e+09,3.286e+09,3.821e+09,1.257e+09,2.219e+09,3.45e+08,7.107e+09,1.0983e+10,5.365e+09,-7.03e+08,4.725e+09,-2.23e+08,9.164e+09,9.17e+09,2.0153e+10,4.35e+08,1.6e+08,7.6e+07,-4.66e+08,2.95e+08,-1.3e+08,-3e+06,-1.651e+09,-1.18e+08,4.7e+07,-1.39e+08,8.4e+07,-2.09e+08,-1.565e+09,-1.565e+09,-2.4e+07,-1.589e+09,6.34e+08,4.223e+09,-7.1e+07,0.33454,0.15546,0.1548,0.05147,0.02342,-0.15042,1.47317,1.19771,0.20955,1.15971,1.14286,7.4914,22.51597,-0.17445,0.28993,4,0.03427,-0.00412,0.25,5.2918,7.07806
"22","2015_Q3",53.01328125,"Down",3.082e+09,-2.031e+09,1.051e+09,-5.51e+08,-3.91e+08,-1.6e+08,5e+08,-3.8e+07,-3.3e+07,-5e+06,4.62e+08,-5.2e+07,4.1e+08,-9.4e+07,3.16e+08,2.83e+08,2.83e+08,5.99e+08,5.99e+08,5.99e+08,6.97e+08,6.97e+08,2.094e+09,2.094e+09,1.684e+09,2.52e+09,6.59e+08,6.995e+09,2.878e+09,1.037e+10,1.63e+09,4.832e+09,2.635e+09,1.273e+09,1.3248e+10,2.0243e+10,1.233e+09,1.233e+09,7.36e+08,4.141e+09,3.39e+09,3.717e+09,1.199e+09,2.207e+09,3.11e+08,7.107e+09,1.1248e+10,4.809e+09,-7.28e+08,5.324e+09,-4.16e+08,8.989e+09,8.995e+09,2.0243e+10,3.16e+08,1.47e+08,7.7e+07,-1.9e+08,3.98e+08,-1.55e+08,1e+06,-3.79e+08,-1.18e+08,5e+06,-5.8e+07,3.8e+07,-1.74e+08,-1.55e+08,-1.55e+08,-1.6e+07,-1.71e+08,6.47e+08,4.126e+09,3.96e+08,0.34101,0.16223,0.19435,0.06659,0.02959,0.6611,1.68921,1.25047,0.20382,1.47174,1.45036,7.57248,22.086,0.97297,0.28993,7,0.04258,0.02352,0.19699,5.29985,6.858
"23","2015_Q4",56.47921875,"Up",3.118e+09,-2.07e+09,1.048e+09,-5.52e+08,-3.93e+08,-1.59e+08,4.96e+08,-1.8e+07,-2.9e+07,1.1e+07,4.78e+08,-2.7e+07,4.51e+08,-1e+08,3.51e+08,-4.2e+07,-4.2e+07,3.09e+08,3.09e+08,3.09e+08,7.01e+08,7.01e+08,2.185e+09,2.185e+09,1.717e+09,2.514e+09,6.17e+08,7.117e+09,2.925e+09,1.0399e+10,1.597e+09,4.841e+09,2.673e+09,1.288e+09,1.3324e+10,2.0441e+10,1.206e+09,1.206e+09,6.31e+08,4.041e+09,3.395e+09,3.87e+09,1.192e+09,2.235e+09,4.43e+08,7.265e+09,1.1306e+10,4.52e+09,-6.51e+08,5.633e+09,-3.73e+08,9.129e+09,9.135e+09,2.0441e+10,3.51e+08,1.48e+08,-2.3e+07,4.8e+07,5.96e+08,-1.3e+08,0,-1.35e+08,-1.34e+08,-1.05e+08,-2.17e+08,6.4e+07,-4.56e+08,5e+06,5e+06,-1e+06,4e+06,6.44e+08,4.026e+09,6.62e+08,0.33611,0.15908,0.0991,0.03383,0.01512,2.14239,1.7612,1.23766,0.19696,0.75921,0.74818,7.66093,22.42998,1.62654,0.32924,6,0.02601,0.03887,0.43366,5.16304,6.70363
"24","2016_Q1",51.1444262295082,"Down",2.984e+09,-2.016e+09,9.68e+08,-4.82e+08,-3.34e+08,-1.48e+08,4.86e+08,-1.9e+07,-2.8e+07,9e+06,4.67e+08,-7.9e+07,3.88e+08,-2.52e+08,1.36e+08,9.04e+08,9.04e+08,1.04e+09,1.04e+09,1.04e+09,3.329e+09,3.329e+09,2.12e+09,2.12e+09,1.615e+09,4.76e+08,4.76e+08,7.54e+09,2.92e+09,1.0129e+10,1.555e+09,4.824e+09,2.489e+09,1.261e+09,1.3049e+10,2.0589e+10,1.143e+09,1.143e+09,4.98e+08,3.575e+09,3.386e+09,4.043e+09,1.327e+09,2.283e+09,4.33e+08,7.429e+09,1.1004e+10,4.541e+09,-1.256e+09,6.673e+09,-3.73e+08,9.585e+09,9.585e+09,2.0589e+10,1.36e+08,1.61e+08,2.13e+08,4.7e+07,6.41e+08,-1.68e+08,1.4e+07,2.801e+09,-1.32e+08,-1.31e+08,-5.06e+08,6.6e+07,-7.84e+08,2.658e+09,2.658e+09,-3e+07,2.628e+09,6.47e+08,3.884e+09,7.78e+08,0.3244,0.16287,0.34853,0.1085,0.05051,0.74808,2.10909,1.14804,0.18864,2.60652,2.5679,7.4787,24.02256,1.94987,0.33083,4,0.06693,0.04443,0.12692,0.85781,1.14198
"25","2016_Q2",53.3196875,"Up",2.833e+09,-1.888e+09,9.45e+08,-5.02e+08,-3.4e+08,-1.62e+08,4.43e+08,-1.6e+07,-2.4e+07,8e+06,4.27e+08,-4.5e+07,3.82e+08,-5.8e+07,3.24e+08,2.9e+07,2.9e+07,3.53e+08,3.53e+08,3.53e+08,2.223e+09,2.223e+09,1.878e+09,1.878e+09,1.7e+09,7.04e+08,7.04e+08,6.505e+09,2.866e+09,9.852e+09,1.468e+09,4.651e+09,2.454e+09,1.279e+09,1.2718e+10,1.9223e+10,1.108e+09,1.108e+09,5e+08,3.266e+09,3.37e+09,4.01e+09,1.307e+09,2.265e+09,4.38e+08,7.38e+09,1.0646e+10,4.466e+09,-2.452e+09,7.026e+09,-4.63e+08,8.577e+09,8.577e+09,1.9223e+10,3.24e+08,1.46e+08,-6e+06,-7.3e+07,3.9e+08,-1.38e+08,1.7e+07,-1.21e+08,-1.27e+08,-104637687.517944,-1.215e+09,-2.9e+07,-1.37e+09,-1.101e+09,-1.101e+09,-5e+06,-1.106e+09,5.89e+08,3.87e+09,4.36e+08,0.33357,0.15637,0.1246,0.04116,0.01836,1.23513,1.99173,1.24123,0.20132,0.91688,0.90513,7.35844,22.27792,1.13247,0.32987,5,0.02917,0.02649,0.35977,2.79626,3.71783
"26","2016_Q3",54.52109375,"Up",2.952e+09,-1.99e+09,9.62e+08,-5.23e+08,-3.67e+08,-1.56e+08,4.39e+08,-1.6e+07,-2.8e+07,1.2e+07,4.23e+08,9.6e+07,5.19e+08,-1.3e+08,3.89e+08,-9e+06,-9e+06,3.8e+08,3.8e+08,3.8e+08,1.15e+09,1.15e+09,2.095e+09,2.095e+09,1.635e+09,5.34e+08,5.34e+08,5.414e+09,2.899e+09,9.528e+09,1.435e+09,4.673e+09,2.458e+09,9.62e+08,1.2427e+10,1.7841e+10,1.116e+09,1.116e+09,1.52e+08,3.097e+09,3.732e+09,3.606e+09,1.315e+09,1.843e+09,4.48e+08,7.338e+09,1.0435e+10,3.947e+09,-3.498e+09,7.406e+09,-4.49e+08,7.406e+09,7.406e+09,1.7841e+10,3.89e+08,1.44e+08,-8.3e+07,-2.94e+08,1.55e+08,-1.31e+08,1.2e+07,1.36e+08,-1.18e+08,0,-1.247e+09,-3e+06,-1.367e+09,-1.076e+09,-1.076e+09,3e+06,-1.073e+09,5.83e+08,3.884e+09,2.88e+08,0.32588,0.14871,0.12873,0.05131,0.0213,0.75789,1.74814,1.40899,0.2177,1.0411,1.03261,8.08767,20.29041,0.78904,0.32329,4,0.03343,0.01933,0.31053,4.68954,6.22779
"27","2016_Q4",59.3952380952381,"Up",3.121e+09,-2.099e+09,1.022e+09,-5.28e+08,-3.67e+08,-1.61e+08,4.94e+08,-6.8e+08,-2.9e+07,-6.51e+08,-1.86e+08,-4.2e+07,-2.28e+08,1.019e+09,7.91e+08,4.8e+07,4.8e+07,8.39e+08,8.39e+08,8.39e+08,6.94e+08,6.94e+08,2.158e+09,2.158e+09,1.61e+09,4.67e+08,4.67e+08,4.929e+09,2.976e+09,9.595e+09,1.792e+09,5.251e+09,2.208e+09,3.44e+08,1.2571e+10,1.75e+10,1.157e+09,1.157e+09,3.02e+08,3.311e+09,3.734e+09,2.19e+09,1.334e+09,5.25e+08,3.31e+08,5.924e+09,9.235e+09,1.954e+09,-1.559e+09,8.245e+09,-3.75e+08,8.265e+09,8.265e+09,1.75e+10,7.91e+08,1.48e+08,9.17e+08,-1.141e+09,7.18e+08,-1.48e+08,-1e+06,-1.072e+09,-1.32e+08,1.5e+08,-1.18e+08,3e+06,-1e+08,-4.54e+08,-4.54e+08,-2e+06,-4.56e+08,6.42e+08,4.036e+09,-1.666e+09,0.32746,0.15828,0.26882,0.10151,0.04794,-1.9857,1.48867,1.11736,0.23063,2.35014,2.3241,8.7423,23.15126,-4.66667,0.36975,5,0.06701,-0.11497,0.15733,5.20561,6.76518
"28","2017_Q1",66.2991935483871,"Up",3.332e+09,-2.228e+09,1.104e+09,-5.54e+08,-3.89e+08,-1.65e+08,5.5e+08,-2.8e+07,-2.7e+07,-1e+06,5.22e+08,-3.3e+07,4.89e+08,-52000000.0000002,4.37e+08,0,0,4.37e+08,4.37e+08,4.37e+08,6.47e+08,6.47e+08,2.046e+09,2.046e+09,1.596e+09,4.86e+08,4.86e+08,4.775e+09,3.052e+09,9.781e+09,1.879e+09,5.492e+09,2.111e+09,2.99e+08,1.2833e+10,1.7608e+10,1.09e+09,1.09e+09,3.31e+08,3.066e+09,3.739e+09,2.318e+09,1.502e+09,4.54e+08,3.62e+08,6.057e+09,9.123e+09,1.969e+09,-1.624e+09,8.682e+09,-5.42e+08,8.485e+09,8.485e+09,1.7608e+10,4.37e+08,1.47e+08,4.8e+07,1.5e+08,6.84e+08,-2.03e+08,3.3e+07,-5.24e+08,-1.32e+08,3.1e+07,-1.17e+08,-9.8e+07,-2.18e+08,-5.8e+07,-5.8e+07,1.1e+07,-4.7e+07,6.97e+08,4.07e+09,6.96e+08,0.33133,0.16507,0.13115,0.0515,0.02482,1.59268,1.5574,1.07519,0.23114,1.22409,1.22409,9.33333,23.76751,1.94958,0.36975,6,0.03826,0.0468,0.30206,4.91105,6.22364
"29","2017_Q2",69.3196825396825,"Up",3.063e+09,-1.996e+09,1.067e+09,-5.23e+08,-3.67e+08,-1.56e+08,5.44e+08,-3.5e+07,-2.6e+07,-9e+06,5.09e+08,-4.9e+07,4.6e+08,-5.4e+07,4.06e+08,3e+06,3e+06,4.09e+08,4.09e+08,4.09e+08,6.65e+08,6.65e+08,2.034e+09,2.034e+09,1.636e+09,4.74e+08,4.74e+08,4.809e+09,2.956e+09,9.85e+09,1.8e+09,5.363e+09,2.29e+09,3.97e+08,1.2806e+10,1.7615e+10,1.123e+09,1.123e+09,1.052e+09,3.513e+09,2.976e+09,2.289e+09,1.474e+09,4.6e+08,3.55e+08,5.265e+09,8.778e+09,1.897e+09,-1.618e+09,9.256e+09,-6.98e+08,8.837e+09,8.837e+09,1.7615e+10,4.06e+08,1.6e+08,-3.7e+07,-1.25e+08,4.04e+08,-1.3e+08,-2.4e+07,-1.54e+08,-1.32e+08,1e+07,-6.8e+07,-1.9e+07,-2.09e+08,4.1e+07,4.1e+07,-2.3e+07,1.8e+07,7.04e+08,4.028e+09,5.03e+08,0.34835,0.1776,0.13353,0.04628,0.02322,1.22983,1.36892,0.99332,0.22867,1.14888,1.13928,8.60393,24.82303,1.41292,0.37079,7,0.0357,0.03319,0.32274,4.77699,6.18199
