"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"37","2020_Q2",8.16666666666667,"Up",-7195000,-1813000,-5382000,-7195000,56000,-7139000,-7139000,-7139000,-7139000,-7139000,-7139000,3715000,3715000,17756000,17756000,21471000,3372000,2730000,2730000,6102000,27573000,6879000,2890000,3989000,7843000,2203000,1261000,2203000,10046000,275670000,-258143000,17527000,17527000,27573000,-7139000,468000,864000,-1434000,-7241000,-54000,4802000,4748000,1981000,1981000,1981000,-512000,-512000,-512000,-6727000,0,-0.40731,-0.25891,2.7376,0.57317,3.3881317890172e-21,-0.46342,-0.46342,1.13775,-0.36183,0.55225,0.51633
"38","2020_Q3",9.5628125,"Up",-6390000,-1750000,-4640000,-6368000,-2000.00000000001,-6370000,-6370000,-6370000,-6370000,-6370000,-6370000,7300000,7300000,11927000,11927000,19227000,3067000,2566000,2566000,5633000,24860000,6027000,1857000,4170000,6991000,1959000,1039000,1959000,8950000,280423000,-264513000,15910000,15910000,24860000,-6370000,385000,767000,-1083000,-6301000,-74000,5986000,5912000,3986000,3986000,3986000,3597000,3597000,3597000,-5983000,2.27373675443232e-13,-0.40038,-0.25623,2.75025,0.56254,0,-0.39997,-0.39997,0.99898,-0.35648,1.22012,1.14636
"39","2020_Q4",9.11125,"Down",-7399000,-1682000,-5717000,-7399000,-108000,-7507000,-7507000,-7507000,-7507000,-7507000,-7507000,6762000,6762000,11057000,11057000,17819000,2777000,2424000,2424000,5201000,23020000,6218000,1810000,4408000,7200000,1651000,801000,1651000,8851000,286189000,-272020000,14169000,14169000,23020000,-7507000,363000,371000,268000,-6505000,-29000,703000,674000,5395000,5395000,5395000,-436000,-436000,-436000,-7036000,0,-0.52982,-0.32611,2.47486,0.62467,5.42101086242752e-20,-0.42179,-0.42179,0.79611,-0.47453,0.96106,0.91391
"40","2021_Q1",6.55475409836066,"Down",-8515000,-2677000,-5838000,-8514000,378000,-8136000,-8136000,-8136000,-8136000,-8136000,-8136000,8270000,8270000,40191000,38069000,48461000,2516000,14555000,14555000,17071000,65532000,6967000,1968000,4999000,7987000,1444000,565000,1444000,9431000,336257000,-280156000,56101000,56101000,65532000,-8136000,354000,560000,9e+05,-6322000,-113000,-41679000,-41792000,46801000,46801000,49508000,1394000,1394000,1394000,-8160000,3.63797880709171e-12,-0.14502,-0.12415,6.06748,0.16811,0,-0.34387,-0.34387,2.37112,-0.14139,1.01348,0.97134
"41","2021_Q2",4.14063492063492,"Down",-8737000,-2799000,-5938000,-8737000,248000,-8489000,-8489000,-8489000,-8489000,-8489000,-8489000,6625000,6625000,36066000,36066000,42691000,2260000,13999000,13999000,16259000,58950000,7293000,1795000,5498000,8345000,1657000,765000,1657000,10002000,337593000,-288645000,48948000,48948000,58950000,-8489000,347000,1036000,965000,-6141000,-77000,4276000,4199000,24160683.5275117,24160683.5275117,3e+05,-1642000,-1642000,-1642000,-8390000,0,-0.173430000000001,-0.144,5.11576,0.20434,0,-0.33244,-0.33244,1.91685,-0.16775,0.78963,0.75827
"42","2021_Q3",3.2009375,"Down",-13074000,-5097000,-7977000,-13074000,520000,-12554000,-12554000,-12554000,-12554000,-12554000,-12554000,7824000,7824000,37426000,37426000,45250000,2089000,4924000,4924000,7013000,52263000,8864000,2854000,6010000,9996000,1119000,159000,1119000,11115000,342347000,-301199000,41148000,41148000,52263000,-12554000,348000,3821000,542000,-7843000,-130000,7702000,7571999.99999999,920000,920000,984000,713000,713000,713000,-12726000,-5.82076609134674e-11,-0.30509,-0.24021,4.52681,0.27012,0,-0.4892,-0.4892,1.60343,-0.29702,0.6148,0.59844
"43","2021_Q4",2.470625,"Down",-14225000,-6559000,-7666000,-14225000,-29000,-14254000,-14254000,-14254000,-14254000,-14254000,-14254000,12265000,12265000,37555000,37555000,49820000,1809000,27545000,27545000,29354000,79174000,9090000,2110000,6980000,9916000,1122000,169000,1122000,11038000,383589000,-315453000,68136000,68136000,79174000,-14254000,339000,6191000,395000,-7329000,-124000,-23704000,-23828000,35708000,35708000,35708000,4551000,4551000,4551000,-13886000,0,-0.209200000000003,-0.180029999999997,5.0242,0.162,6.93889390390723e-18,-0.48135,-0.48135,2.30092,-0.205809999999982,0.88326,0.86221
"44","2022_Q1",1.80177419354839,"Down",35985377,14434443,21550934,35985377,-738242,35247135,35247135,35247135,35247135,35247136,35247136,31241,31241,36130,34306,67371,1499,24668,24668,26167,93538,10883,2526,8357,11517,1020,100,24870,36387,387172,-330021,57151,57151,93538,35247135,-1032630,-11034032,-1898257,21282216,330627,11719108,12049735,-36591411,-36591411,-36930598,-3598647,-3598647,-3599391,34952747,23850.0000000005,616.73699,376.82157,5.8497,0.63668,0.25498,1.11386,1.11386,0.00181,429.73307,-0.00021,-0.00021
"45","2022_Q2",1.53741935483871,"Down",-11441000,-5088000,-6353000,-11441000,9000,-11432000,-11432000,-11432000,-11432000,-11432000,-11432000,14611000,14611000,48215000,46667000,62826000,1176000,19745000,19745000,20921000,83747000,9964000,2303000,7661000,10365000,1031000,94000,24475000,34840000,390360000,-341453000,48907000,48907000,83747000,-11432000,337000,3188000,-1473000,-9380000,-15000,-7225000,-7240000,-348710161.7879,-348710161.7879,-92656532.6469558,-16620000,-16620000,-16620000,-11104000,23444000,-0.233749999999986,-0.136509999999987,6.06136,0.71237,0.27994,-0.35724,-0.35724,1.52831,-0.155790000000081,-0.79548,-0.77205
"46","2022_Q3",1.1375,"Down",-2249999.99999999,-547000,-1703000,-2161000,-930000,-3091000,-3091000,-3091000,-3091000,-2806000,-2806000,18715000,18715000,41438000,39675000,60153000,890000,20141000,20141000,21031000,81184000,8926000,2606000,6320000,9595000,8591000,7611000,31749000,41344000,392233000,-352393000,39840000,39840000,81184000,-10940000,327000,1873000,-1571000,-10311000,-29000,1686000,1657000,-1009828060.6137,-1009828060.6137,12658000,4004000,4004000,4004000,-1834000.00000001,23158000,-0.07043,-0.03456,6.2692,1.03775,0.28525,-0.08769,-0.08769,1.24497,-0.0392,-2.42257,-2.05599
