"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"12","2020_Q2",169.774126984127,"Up",182859000,-48486000,134373000,-186572000,-138078000,-48494000,-52199000,-5865000,4899000,-58064000,-58064000,402000,-57662000,-57662000,-57662000,-57662000,1446777000,619221000,827556000,111039000,111039000,75707000,40912000,34795000,1633523000,61914000,341570000,31032000,48023000,262515000,403484000,2037007000,39468000,8021000,31447000,530920000,530920000,570388000,207661000,207661000,1053523000,1623911000,1168140000,-758786000,3742000,413096000,413096000,2037007000,-57662000,5466000,57311000,33582000,38697000,-7930000,59533999.9999999,50603999.9999999,601312680.505455,14172000,14172000,14166999.9999999,103468000,103468000,-1128000,102340000,-46733000,845862000,-21483000,0.73484,-0.28546,-0.31534,-0.13958,-0.02831,0.37257,2.86388,3.93107,0.41525,-0.46692,-0.46692,1.48071,3.34507,-0.17396,-0.03932,-0.01465,12.85847,11.512
"13","2020_Q3",208.46609375,"Up",200446000,-51147000,149299000,-194687000,-140821000,-53866000,-45388000,-12971000,3960000,-58359000,-60533000,433000,-60100000,-60100000,-60100000,-60100000,2514513000,957234000,1557279000,110540000,110540000,81882000,44074000,37808000,2706935000,63406000,344674000,30031000,48023000,266620000,408080000,3115015000,43953000,4726000,39227000,489627000,489627000,533580000,206800000,206800000,1896238000,2429818000,1498562000,-818886000,5521000,685197000,685197000,3115015000,-60100000,7225000,77313000,-13508000,10930000,-2739000,-718800000,-722865000,1330283000,26166000,26166000,1047080000,335145000,335145000,1706000,336851000,-38163000,1689438000,-54843000,0.74483,-0.22644,-0.29983,-0.08771,-0.01929,0.91253,5.07316,3.54616,0.54235,-0.47566,-0.47566,1.58643,5.42301,-0.43406,-0.02328,-0.02125,21.61976,18.17826
"14","2020_Q4",237.685,"Up",217379000,-56908000,160471000,-212447000,-154297000,-58150000,-51976000,-20490000,1878000,-72466000,-72555000,-209000,-72764000,-72764000,-72764000,-72764000,2495142000,409769000,2085373000,139473000,139473000,122924000,82016000,40908000,2757539000,62405000,350335000,28953000,48023000,273359000,412740000,3170279000,114044000,5114000,108930000,459896000,459896000,573940000,205914000,205914000,1915691000,2489631000,1569727000,-891650000,2571000,680648000,680648000,3170279000,-72764000,11003000,89865000,15322000,43426000,-628000,-593789000,-595621000,-843000,6053000,6053000,5209999.99999976,-546985000,-546985000,-457000,-547442000,-40973000,1709777000,-26070000,0.73821,-0.2391,-0.33473,-0.1069,-0.02295,0.35828,4.80458,3.65774,0.53931,-0.56484,-0.56484,1.68744,5.28363,-0.20237,-0.02803,-0.01004,19.16787,15.11015
"15","2021_Q1",251.313114754098,"Up",234740000,-61140000,173600000,-228196000,-165880000,-62316000,-54596000,-20443000,2154000,-75039000,-75039000,-767000,-75806000,-75806000,-75806000,-75806000,2556191000,434607000,2121584000,194818000,194818000,127558000,81609000,45949000,2878567000,62783000,357447000,27009000,48023000,282415000,420230000,3298797000,134192000,8557000,125635000,502738000,502738000,1545614000,201753000,201753000,1059140000,2604754000,1656108000,-967456000,5390000,694043000,694043000,3298797000,-75806000,13171000,95687000,1857000,34909000,-1912000,-34723000,-37264000,1000,25140000,25140000,25141000,22786000,22786000,2142000,24928000,-41425000,1766071000,-40713000,0.73954,-0.23258,-0.32294,-0.10922,-0.02298,0.53707,1.86241,3.75302,0.53537,-0.58231,-0.58231,1.80317,5.33132,-0.31274,-0.02848,-0.01529,19.07351,14.47212
"16","2021_Q2",241.36746031746,"Down",251006000,-66123000,184883000,-275564000,-206701000,-68863000,-90681000,-18405000,4355000,-109086000,-109222000,-10000,-109232000,-109232000,-109232000,-109232000,2690066000,659886000,2030180000,218474000,218474000,103599000,55777000,47822000,3012139000,62515000,355793000,24190000,48023000.0000002,283580000,418308000,3430447000,166513000,9542000,156971000,633948000,633948000,800461000,195882000,195882000,1947208000,2747669000,1753856000,-1076688000,5610000,682778000,682778000,3430447000,-109232000,13134000,94786000,57387000,56075000,-3372000,155287000,151905000,-11000,16190000,16190000,16179000,224159000,224159000,646999.999999985,224806000,-77547000,1751326000,-23522000,0.73657,-0.36127,-0.43518,-0.15998,-0.03184,0.21534,3.76301,4.02425,0.51052,-0.85866,-0.85866,1.97313,5.36725,-0.1849,-0.04153,-0.00894,12.10543,10.35211
"17","2021_Q3",248.28078125,"Up",315500000,-101106000,214394000,-477834000,-355427000,-122407000,-263440000,-20661000,2211000,-284101000,-284144000,7462000,-276682000,-276682000,-276682000,-276682000,2468903000,225265000,2243638000,238478000,238478000,169777000,115251000,54526000,2877158000,61858000,5993079000,337786000,5338116000,317177000,6054937000,8932095000,175003000,9414000,165589000,721808000,721808000,912534000,204860000,204860000,1977371000,2889905000,7391184000,-1353370000,4375000,6042190000,6042190000,8932095000,-276682000,31769000,211730000,46178000,12995000,-775000,-315187000,-464372000,-2000,33056000,33056000,33054000,-418323000,-418323000,224811000,-193512000,-231671000,1788234000,-193730000,0.67954,-0.83499,-0.87696,-0.04579,-0.03098,0.70019,3.15293,0.47829,0.2002,-2.17497,-2.17497,2.48011,47.497,-1.52289,-0.03443,-0.02411,2.93808,2.58377
"18","2021_Q4",238.21890625,"Down",350680000,-109674000,241006000,-439562000,-309027000,-130535000,-198556000,-22088000,1056000,-220644000,-220644000,-667000,-221311000,-221311000,-221311000,-221311000,2482059000,372372000,2109687000,253568000,253568000,117241000,56776000,60465000,2852868000,60751000,6083354000,336354000,5401343000,345657000,6144105000,8996973000,212296000,11547000,200749000,759914000,759914000,988166000,230282000,230282000,2024252000,3012418000,7558831000,-1574681000,404000,5984555000,5984555000,8996973000,-221311000,31728000,191904000,19196000,21517000,-1766000,173188000,102365000,-11000,9225000,9225000,9214000.00000001,133096000,133096000,-225952000,-92856000.0000001,-166828000,1809926000,-148731000,0.68725,-0.5662,-0.63109,-0.03698,-0.0246,0.67205,2.88703,0.50337,0.20117,-1.43936,-1.43936,2.28076,38.92241,-0.96732,-0.02758,-0.01853,4.0289,3.38511
"19","2022_Q1",179.246129032258,"Down",383015000,-119502000,263513000,-477939000,-330485000,-147454000,-214426000,-21260000,2146000,-235686000,-235686000,-5500000,-241186000,-241186000,-241186000,-241186000,2501791000,260134000,2241657000,397509000,397509000,141333000,66605000,74728000,3040633000,65488000,6099574000,316968000,5401343000,381263000,6165062000,9205695000,253323000,20203000,233120000,973289000,849122641.920414,1242806000,225319000,202386000,2041033000,3283839000,7749732000,-1815867000,-12009000,5921856000,5921856000,9205695000,-241186000,30981000,205400000,18337000,13532000,-6510000,-148166000,-156710000,0,30619000,30619000,30619000,-112559000,-112559000,-1853000,-114412000,-183445000,1831908000,-166118000,0.688,-0.55984,-0.6297,-0.04073,-0.0262,0.68875,2.44659,0.55453,0.199,-1.56863,-1.56863,2.49106,38.51463,-1.0804,-0.03023,-0.02082,3.65168,3.12408
"20","2022_Q2",107.987903225806,"Down",414943000,-131165000,283778000,-523467000,-361816000,-161651000,-239689000,-1164000,1704000,-240853000,-240853000,-1860000,-242713000,-242713000,-242713000,-242713000,2487129000,194227000,2292902000,258911000,258911000,152603000,75483000,77120000,2898643000,66418000,6080620000,298823000,5401343000,380454000,6147038000,9045681000,227887000,33752000,194135000,952190000,952190000,1185275000,199037000,199037000,2387712000,3572987000,7411565000,-1902724000,-36148000,5472694000,5472694000,9045681000,-242713000,30060000,189110000,42374000,18831000,-6368000,-75517000,-88342000,-4000,5385999.99999999,5385999.99999999,5381999.99999999,-64129000,-64129000,-4040999.99999997,-68170000,-209629000,2193873000,-171763000,0.6839,-0.57764,-0.58493,-0.04435,-0.02683,0.70768,2.44554,0.65288,0.24253,-1.57856,-1.57856,2.69871,35.59336,-1.11711,-0.03086,-0.02184,1.39893,1.22349
"21","2022_Q3",86.03234375,"Down",451807000,-137694000,314113000,-522175000,-366339000,-155836000,-208062000,1806000,4721000,-206256000,-206256000,-4216000,-210472000,-210472000,-210472000,-210472000,2476978000,216022000,2260956000,323377000,323377000,145147000,64490000,80657000,2945502000,66958000,6061547000,281470000,5400275000,379802000,6128505000,9074007000,237279000,43708000,193571000,994097000,994097000,1236585000,194296000,194296000,2384406000,3620991000,7607398000,-2113196000,-41186000,5453016000,5453016000,9074007000,-210472000,29688000,196073000,-24774000,-9485000,-3622000,26251000,19630000,-1000,22551000,22551000,22550000,32695000,32695000,213991000,246686000,-178374000,2195319000,-202554000,0.69524,-0.46051,-0.46584,-0.0386,-0.0232,0.96238,2.38196,0.66403,0.24193,-1.33718,-1.33718,2.87044,34.64432,-1.28687,-0.02684,-0.02583,1.57904,1.35373
