"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_short_term_liabilities","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2017_Q4",18.5960317460317,"Up",223290000,-88768000,134522000,-111154000,-7257000,-37492000,-66405000,23368000,-11171000,-11599000,428000,12197000,-814000,11383000,385000,11768000,11768000,11638000,11638000,450441000,450441000,34542000,62877000,62877000,547860000,2434206000,3064126000,-629920000,106566000,74655000,31911000,2540772000,3088632000,79862000,65961000,1431714000,1431714000,1924608000,1068000,1923540000,-301217000,1628386000,28532000,1656918000,3088632000,11768000,36510000,3567000,9209000,61054000,-22793000,-22793000,-6e+06,-8673000,-29586000,224268000,-2588000,192094000,244475000,244475000,244475000,59878000,1285891000,45909000,0.60245,0.10465,0.05212,0.00702,0.00377,3.94475,0.38266,0.86408,0.41633,0.10905,0.10877,2.09218,15.25761,0.43016,0.27721,0.01401,0.0156,2.54219,13.95254,35.75188
"12","2018_Q1",17.9186885245902,"Down",259135000,-105605000,153530000,-130610000,-8073000,-42381000,-80156000,22920000,-13311000,-13398000,87000,9609000,377000,9985999.99999999,-163000,9823000.00000001,9823000,9693000,9693000.00000001,71884000,71884000,35865000,58520000,58520000,166269000,2690855000,3319305000,-628450000,258184000,6.8e+07,189021000,2949039000,3115308000,77005000,70624000,1470222000,1470222000,1925192000,1068000,1924124000,-320964000,1614905000,30181000,1645086000,3115308000,9823000,39951000,5629000,-13781000,41622000,-34288000,-34288000,6e+06,-430917000,-29549000,36142000,-212000,6381000,-382914000,-382914000,-382914000,62871000,1322593000,14965000,0.59247,0.08845,0.03741,0.00589,0.00311,1.5439,0.11309,0.89371,0.42455,0.09082,0.09058,2.42797,15.1309,0.14021,0.27686,0.01322,0.00504,3.04849,19.89326,54.56846
"13","2018_Q2",19.99359375,"Up",264498000,-108053000,156445000,-123611000,-8060000,-38801000,-76750000,32834000,-13330000,-13717000,387000,19504000,42203000,61707000,-4664000,57043000,57043000,55656000,55656000,255513000,255513000,49483000,62320000,62320000,367316000,2683980000,3350096000,-666116000,116231000,67076000,49155000,2800211000,3167527000,79820000,77184000,1485090000,1485090000,1924837000,1069000,1923768000,-294766000,1649274000,33163000,1682437000,3167527000,57043000,37965000,-38536000,-13711000,42761000,-23875000,-23875000,6681592.1646703,173045000,-29737000,5963000,-4603000,-28377000,187429000,187429000,187429000,70799000,1328086000,37877000,0.59148,0.12414,0.21042,0.03308,0.01757,0.68056,0.24734,0.8827,0.41928,0.52116,0.5201,2.47675,15.44375,0.35468,0.27846,0.02836,0.01258,0.5343,15.14955,32.66653
"14","2018_Q3",21.3968253968254,"Up",277058000,-108822000,168236000,-122503000,-7872000,-38602000,-76029000,45733000,-12607000,-13052000,445000,33126000,2053000.00000001,35179000,-5647000,29532000,29532000,28795000,28795000,184809000,184809000,42728000,6.3e+07,6.3e+07,290537000,2673044000,3376842000,-703798000,120134000,66153000,53981000,2793178000,3083715000,84180000,75049000,1276979000,1276979000,2045252000,1120000,2044132000,-296830000,1770591000,36145000,1806736000,3083715000,29532000,37770000,4682999.99999999,15655000,87640000,-31983000,-31983000,-5e+06,-36983000,-29674000,-211160000,33000,-120681000,-70024000,-70024000,-70024000,83503000,1117750000,72822000,0.60722,0.16507,0.10393,0.01594,0.00934,2.52898,0.22752,0.70679,0.36247,0.26428,0.26364,2.54282,16.25038,0.66836,0.27235,0.01999,0.0249,1.03053,11.17254,20.39973
"15","2018_Q4",18.2234920634921,"Down",240988000,-102205000,138783000,-119768000,-6920000,-39281000,-73567000,19015000,-11893000,-11903000,10000,7122000,226000,7348000,1986000,9334000,9334000,9244000,9244000,90040000,90040000,42105000,57986000,57986000,190131000,2790838000,3532970000,-742132000,130739000,65658000,65081000,2921577000,3111708000,97700000,76157000,1307745000,1307745000,2060608000,1126000,2059482000,-318616000,1766078000,37885000,1803963000,3111708000,9334000,38423000,3708000,14894000,66359000,-27738000,-27738000,-1e+07,-165724000,-31074000,16923000,-1175000,-418000,-99783000,-99783000,-99783000,57438000,1133888000,42608000,0.57589,0.0789,0.03836,0.00512,0.00297,4.60926,0.14539,0.72493,0.36439,0.08243,0.08223,2.14886,15.74787,0.37993,0.27708,0.01372,0.0145,3.36153,18.17347,54.89603
"16","2019_Q1",17.35,"Down",275663000,-115801000,159862000,-129900000,-7608000,-41154000,-81138000,29962000,-12410000,-12730000,320000,17552000,82739000,100291000,2332000,102623000,102623000,99993000,99993000,91413000,91413000,34804000,70195000,70195000,196412000,2875146000,3591095000,-715949000,98529000,61541000,36988000,2973675000,3170087000,84967000,77327000,1317382000,1317382000,2060825000,1126000,2059699000,-249654000,1823913000,28792000,1852705000,3170087000,102623000,40104000,-77175000,-8118000,57434000,-24614000,-24614000,1.5e+07,-20140000,-31248000,20664000,-13131000,-23712000,13582000,13582000,13582000,70066000,1155088000,35002000,0.57992,0.10869,0.36274,0.05397,0.03154,0.35004,0.14909,0.71106,0.36437,0.88804,0.886,2.44816,16.19814,0.31085,0.27751,0.04363,0.01164,0.3125,15.18104,35.5008
"17","2019_Q2",19.9468253968254,"Up",293687000,-123496000,170191000,-134117000,-7575000,-4e+07,-86542000,36074000,-12492000,-12587000,95000,23582000,-213000,23369000,-6093000,17276000,17276000,16703000,16703000,74462000,74462000,63305000,69784000,69784000,207551000,2847327000,3602008000,-754681000,126359000,37291000,89068000,2973686000,3181237000,91745000,106019000,1347680000,1347680000,2060821000,1127000,2059694000,-263978000,1803303000,30254000,1833557000,3181237000,17276000,39274000,3533000,-26445000,33638000,-13260000,-13260000,13987960.2446755,-13260000,-31338000,-5804000,-598000,-37740000,-17362000,-17362000,-17362000,75348000,1149916000,41736000,0.5795,0.12283,0.05687,0.00911,0.00525,2.49871,0.15401,0.73501,0.36147,0.14831,0.14794,2.60779,16.0124,0.37059,0.27827,0.0161,0.01399,1.87619,14.27316,29.81244
"18","2019_Q3",19.5925,"Down",304285000,-125148000,179137000,-133305000,-8046000,-39689000,-85570000,45832000,-12192000,-12380000,188000,33640000,-14233000,19407000,-6193000,13214000,13214000,12776000,12776000,110366000,110366000,49071000,77147000,77147000,236584000,2816775000,3610316000,-793541000,114572000,36592000,77980000,2931347000,3167931000,98455000,112447000,1360320000,1360320000,2061317000,1127000,2060190000,-282258000,1775230000,32381000,1807611000,3167931000,13214000,38979000,19008000,28021000,99222000,-23302000,-23302000,7.45058059692383e-09,-23302000,-31758000,-897000.000000002,2000.00000000186,-32653000,43267000,43267000,43267000,84811000,1149418000,95723000,0.58871,0.15062,0.04199,0.00706999999999999,0.00403,7.49241,0.17392,0.75255,0.36283,0.11342,0.11315,2.70135,15.75998,0.8498,0.28194,0.01506,0.03237,2.48575,12.25138,22.67088
"19","2019_Q4",20.0103125,"Up",268931000,-116306000,152625000,-131701000,-7352000,-39071000,-85278000,20924000,-12036000,-12293000,257000,8888000,-663000,8225000,2442000,10667000,10667000,10312000,10312000,116483000,116483000,43456000,84484000,84484000,244423000,2805673000,3637443000,-831770000,108886000,35892000,72994000,2914559000,3158982000,108292000,115992000,1372784000,1372784000,2061797000,1127000,2060670000,-303002000,1752094000,34104000,1786198000,3158982000,10667000,38356000,3664000,19512000,72199000,-26232000,-26232000,0,-26232000,-31198000,-902000,-413000,-32513000,13454000,13454000,13454000,59280000,1148500000,50118000,0.56752,0.0778,0.03834,0.00577,0.00326,4.86016,0.17805,0.76855,0.36357,0.09155,0.09131,2.38749,15.55457,0.44493,0.27697,0.01414,0.01708,3.02541,17.40919,49.32217
"20","2020_Q1",15.9501612903226,"Down",282184000,-121987000,160197000,-127244000,-7759000,-36368000,-83117000,32953000,-10990000,-11345000,355000,21963000,-10354000,11609000,4477000,16086000,16086000,15609000,15609000,110841000,110841000,36542000,84105000,84105000,231488000,2926370000,3753108000,-826738000,105148000,28997000,76151000,3031518000,3263006000,88197000,106597000,1487848000,1487848000,2062051000,1127000,2060924000,-318434000,1739021000,36137000,1775158000,3263006000,16086000,35661000,14019000,-24255000,41511000,-30242000,-30242000,3143059.55523255,-160094000,-31571000,144140000,-7000.00000000047,112562000,-6021000,-6021000,-6021000,68614000,1293054000,9640000,0.5677,0.11678,0.05531,0.00879,0.00478,0.61759,0.15559,0.83815,0.39628,0.13857,0.13823,2.50514,15.43848,0.0855799999999999,0.28028,0.01538,0.00314,2.02262,17.22991,35.87573
"21","2020_Q2",9.1784126984127,"Down",215353000,-100770000,114583000,-129759000,-8151000,-37091000,-84517000,-15176000,-12897000,-13024000,127000,-28073000,-16368000,-44441000,7311000,-37130000,-37130000,-36138000,-36138000,396816000,396816000,23458000,79529000,79529000,499803000,2913471000,3776580000,-863109000,103271000,12020000,91251000,3016742000,3516545000,79230000,123840000,1835852000,1835852000,2076174000,1135000,2075039000,-385882000,1669470000,11223000,1680693000,3516545000,-37130000,36448000,19768000,-13699000,5387000,-22177000,-22177000,2e+06,-20177000,-31608000,339309000,-9248000,296189000,281399000,281399000,281399000,21272000,1632782000,-21915000,0.53207,-0.07047,-0.16781,-0.0215,-0.01028,0.60643,0.27225,1.09232,0.46431,-0.31985,-0.31985,1.90603,14.77605,-0.19396,0.27975,-0.00137,-0.00661,-0.87465,58.10295,-81.44215
"22","2020_Q3",8.6975,"Down",14823000,-16212000,-1388999.99999999,-87279000,-9829000,-37262000,-40188000,-88668000,-11329000,-13571000,2242000,-99997000,-4582000,-104579000,3091000,-101488000,-101488000,-99126000,-99126000,305888000,305888000,7319000,60918000,60918000,374125000,2896634000,3796284000,-899650000,95562000,7675000,87887000,2992196000,3366321000,60079000,90868000,1782097000,1782097000,2080419000,1138000,2079281000,-484995000,1575170000,9054000,1584224000,3366321000,-101488000,36619000,10237000,1074000,-53558000,-18405000,-18405000,-2e+06,-20405000,-31554000,-7e+05,-3322000,-35576000,-109539000,-109539000,-109539000,-52049000,1631150000,-72471000,-0.09371,-5.98179,-6.68731,-0.06257,-0.02945,0.7311,0.20994,1.1249,0.48455,-0.87335,-0.87335,0.1306,13.87806,-0.63851,0.27801,-0.02102,-0.02254,-0.31832,-25.46181,-14.94634
"23","2020_Q4",11.813125,"Up",63953000,-33902000,30051000,-90979000,-6676000,-37307000,-46996000,-60928000,9960000,-17006000,26966000,-50968000,-9088000,-60056000,6447000,-53609000,-53609000,-52344000,-52344000,321051000,321051000,9093000,46297000,46297000,376441000,2753919000,3629275000,-875356000,209881000,7066000,202815000,2963800000,3340241000,73639000,81397000,1738566000,1804026000,2081016000,1138000,2079878000,-537339000,1526453000,9762000,1536215000,3340241000,-53609000,36665000,14060000,7344000,4460000,-17575000,-17575000,2863000,-14712000,0,18458000,-7664000,10794000,542000,542000,542000,-24263000,1583530000,-40941000,0.46989,-0.9527,-0.81848,-0.03407,-0.01567,0.78215,0.21652,1.17433,0.47408,-0.46022,-0.46022,0.56229,13.42101,-0.35996,0,-0.01643,-0.01285,0,-52.0331,-20.72083
"24","2021_Q1",17.4075409836066,"Up",75647000,-39231000,36416000,-83300000,-5746000,-34851000,-42703000,-46884000,-18798000,-18374000,-424000.000000007,-65682000,92005000,26323000,-982000,25341000,25341000,24278000,24278000,389823000,389823000,8966000,38963000,38963000,437752000,2568468000,3395969000,-827501000,73383000,6456000,66927000,2641851000,3079603000,62676000,75584000,1512740000,1512740000,2081502000,1138000,2080364000,-513002000,1554075000,12788000,1566863000,3079603000,25341000,34209000,-89101000,-4460000,-34011000,-11071000,-11071000,137000,309482000,3.72529029846191e-09,-206689000,-7344000,-214033000,61438000,61438000,61438000,-12675000,1374480000,-27224000,0.48139,-0.61977,0.320939999999999,0.01549,0.00788,-1.12134,0.28938,0.96546,0.44632,0.21346,0.21346,0.66512,13.66407,-0.23936,0,0.00825,-0.00926,-1.73472347597681e-18,-77.68497,-21.00198
"25","2021_Q2",18.9890476190476,"Up",87852000,-39757000,48095000,-88389000,-6922000,-33197000,-48270000,-40294000,-18634000,-18750000,116000,-58928000,1116000,-57812000,-165000,-57977000,-57977000,-56351000,-56351000,354597000,354597000,14567000,34628000,34628000,403792000,2539146000,3399477000,-860331000,79824000,6204000,73620000,2618970000,3022762000,61635000,73402000,1509075000,1509075000,2082229000,1138000,2081091000,-569353000,1500817000,12870000,1513687000,3022762000,-57977000,32929000,4330000,-10442000,-31160000,-7242000,-7242000,695000.000000001,-6547000,-54000,-1357000,-443000,-1854000,-39561000,-39561000,-39561000,-7365000,1374038000,-24884000,0.54745,-0.45866,-0.64143,-0.03723,-0.01864,0.44159,0.26758,0.99695,0.45456,-0.49526,-0.49526,0.77212,13.19047,-0.2187,0.00047,-0.0195,-0.00862,-0.00096,-138.41697,-25.30007
"26","2021_Q3",17.25875,"Down",151974000,-61856000,90118000,-96527000,-8096000,-33008000,-55423000,-6409000,-22496000,-19691000,-2805000,-28905000,-13669000,-42574000,-169000,-42743000,-42743000,-42038000,-42038000,500337000,500337000,19869000,34572000,34572000,554778000,2497778000,3390750000,-892972000,73651000,5951000,67700000,2571429000,3126207000,83439000,73569000,1651113000,1651113000,2090692000,1142000,2089550000,-611391000,1471657000,3437000,1475094000,3126207000,-42743000,32741000,19136000,29516000,38650000,-4608000,-5922291.27126836,-1484000,-6092000,0,127360000,-14234000,113126000,145684000,145684000,145684000,26332000,1494105000,51409000,0.59298,-0.04217,-0.27661,-0.0285,-0.01345,-1.22292,0.336,1.11933,0.47793,-0.36947,-0.36947,1.33568,12.93419,0.45183,-1.68051336735253e-18,-0.01416,0.01731,0,37.73994,-155.0582
"27","2021_Q4",17.3871875,"Up",172784000,-71947000,100837000,-100580000,-7466000,-32076000,-61038000,257000,-21172000,-21358000,186000,-20915000,-1759000,-22674000,-43000,-22717000,-22717000,-22193000,-22193000,517464000,517464000,23833000,34500000,34500000,575797000,2466603000,3372066000,-905463000,74513000,5699000,68814000,2541116000,3116913000,89634000,73400000,163034000,1660150000,2091471000,1142000,2090329000,-633584000,1451644000,5119000,1456763000,3116913000,-22717000,31808000,5193000,7579000,21863000,-7300000,-5897788.36169115,3313000,-3987000,0,-734000,-87000,-821000,17055000,17055000,17055000,32065000,1494287000,32387000,0.5836,0.00149,-0.12844,-0.01523,-0.00712,-1.45933,3.53176,1.13962,0.47941,-0.19502,-0.19502,1.51833,12.75624,0.2846,0,-0.00751,0.01096,0,30.46384,3800.8677
"28","2022_Q1",18.0324193548387,"Up",203578000,-85970000,117608000,-103231000,-8292000,-31112000,-63827000,14377000,-21280000,-21486000,206000,-6903000,-15934000,-22837000,-341000,-23178000,-23178000,-22935000,-22935000,517377000,517377000,28528000,36854000,36854000,582759000,2399381000,3288098000,-888717000,105176000,5446000,99730000,2504557000,3087316000,84140000,70864000,155004000,1649235000,2091536000,1142639.06467969,2090037730.99232,-656461000,1430986000,7095000,1438081000,3087316000,-23178000,30845000,20308000,-16565000,11410000,-12669000,-6609641.27126836,368000,-7584000,0,-1102999.99999999,-456000,-1559000,2267000.00000003,2267000.00000003,2267000.00000003,45222000,1494231000,16329000,0.5777,0.07062,-0.11266,-0.01595,-0.00743,-0.71197,3.75964,1.14683,0.48399,-0.20147,-0.20147,1.78827,12.57009,0.14344,1.0842021724855e-19,-0.00782,0.00557,0,21.6013,67.9456100000011
"29","2022_Q2",17.5509677419355,"Down",210347000,-87747000,122600000,-103583000,-7786000,-30565000,-65232000,19017000,-21315000,-20538000,-777000,-2298000,-1572000,-3870000,-1607000,-5477000,-5477000,-5324000,-5324000,179077000,179077000,36242000,40158000,40158000,255477000,2709084000,3628129000,-919045000,75526000,5414000,70112000,2784610000,3040087000,92818000,79248000,172066000,1601682000,2091771000,1144000,2090627000,-661785000,1429149000,9256000,1438405000,3040087000,-5477000,30429000,2929000,4691000,32572000,-7499000,-7499000,2080000,-301092000,-54000,-65932000,-490000,-66476000,-334996000,-334996000,-334996000,49446000,1429616000,48245000,0.58285,0.09041,-0.02531,-0.0037,-0.00175,-9.0618,1.48476,1.11351,0.47025,-0.04678,-0.04678,1.84824,12.55741,0.42391,0.00047,-0.00184,0.01682,-0.01014,25.291,65.75901
