"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",14.1551612903226,"Down",474090000,-292769000,181321000,-194302000,-93273000,-65397000,-27876000,-88315000,-12714000,-12981000,-12055000,-12055000,-25036000,-2291000,-27327000,-2490000,-29817000,-29817000,-29817000,-29817000,667347000,617232000,379092000,379092000,245043000,119039000,119039000,1410521000,118568000,118568000,386172000,275670000,110502000,504740000,1915261000,405632000,205662000,199970000,78319000,78319000,700161000,1225898000,49460000,23408000,26052000,1275358000,1975519000,5789889000,-5845618000,-4529000,-60258000,-60258000,1915261000,-29817000,32535000,19216000,1211000,23145000,-16850000,0,20748000,3898000,-532000,6307000,6307000,5775000,32818000,32818000,32818000,19554000,1442108000,6405000,0.38246,-0.02738,-0.06289,0.49482,-0.01557,-0.21481,2.01457,-32.78434,0.75296,-0.29958,-0.29901,4.76329,-0.60543,0.06435,-0.02083,0.00447,39.62161,-59.68423
"12","2013_Q1",15.8476666666667,"Up",465531000,-273325000,192206000,-212151000,-103805000,-74013000,-29792000,-95801000,-12545000,-19945000,-14308000,-14308000,-34253000,-1990000,-36243000,-2528000,-38771000,-38771000,-38771000,-38771000,692501000,642444000,345496000,345496000,260098000,117595000,117595000,1415690000,123580000,123580000,341873000,257137000,84736000,465453000,1881143000,389244000,179704000,209540000,79516000,79516000,684970000,1225806000,59339000,27560000,31779000,1285145000,1970115000,5798771000,-5884389000,-3354000,-88972000,-88972000,1881143000,-38771000,34117000,28336000,-13094000,10588000,-15098000,1.86264514923096e-09,32051000,16953000,-664000.000000002,144999.999999999,144999.999999998,-2851000,24690000,24690000,22186000,14172000,1442016000,-11492000,0.41287,-0.04284,-0.08328,0.43577,-0.02061,0.29641,2.06679,-22.14309,0.76656,-0.38469,-0.38541,4.6191,-0.8828,-0.11403,-0.02745,-0.00814,52.88703,-37.57909
"13","2013_Q2",16.6465625,"Up",453093000,-257298000,195795000,-196374000,-94796000,-66588000,-28208000,-89125000,-12453000,-579000,-10869000,-10869000,-11448000,-33660000,-45108000,-2216000,-47324000,-47324000,-47324000,-47324000,637185000,552267000,394785000,394785000,266901000,136002000,136002000,1434873000,122207000,122207000,328092000,239300000,88792000,450299000,1885172000,397589000,182671000,214918000,79916000,79916000,693715000,1208745000,61347000,28562000,32785000,1270092000,1963807000,5855439000,-5931713000,-2361000,-78635000,-78635000,1885172000,-47324000,32583000,47200000,-78185000,-45726000,-12243000,-34918000,627000,-46534000,-676000,5820000,5820000,1907000,-90353000,-90353000,-90353000,32004000,1424955000,-56208000,0.43213,-0.00128,-0.10445,0.60182,-0.0251,1.18773,2.06839,-24.9737,0.75588,-0.46761,-0.46761,4.47703,-0.77699,-0.55539,-0.03362,-0.03993,24.61474,-1360.56995
"14","2013_Q3",22.5321875,"Up",507712000,-298199000,209513000,-218584000,-105358000,-74475000,-30883000,-100787000,-12439000,-9071000,-14108000,-14108000,-23179000,-1509000.00000001,-24688000,-2391000,-27079000,-27079000,-27079000,-27079000,456471000,356498000,421014000,421014000,248096000,138577000,138577000,1264158000,117553000,117553000,311633000,221476000,90157000,429186000,1693344000,421603000,198820000,222783000,98603000,98603000,520206000,1209814000,61261000,28272000,32989000,1271075000,1791281000,5865401000,-5958792000,-4546000,-97937000,-97937000,1693344000,-27079000,31935000,24732000,15269000,44857000,-9253000,-14996000,1052000,-23197000,-216961000,134999.999999999,134999.999999998,-217250000,-195590000,-195590000,-195593000,22864000,1209814000,31271000,0.41266,-0.01787,-0.05334,0.27649,-0.01599,-1.15481,2.43011,-18.29014,0.71445,-0.26571,-0.2657,4.98182,-0.96099,0.30684,-0.02308,0.02666,32.94887,-83.0496099999991
"15","2013_Q4",23.814375,"Up",538356000,-310135000,228221000,-213188000,-107679000,-75613000,-32066000,-93069000,-12440000,15033000,-14139000,-14139000,894000,-202000,692000,-1923000,-1231000,-1231000,-1231000,-1231000,478160000,378179000,430424000,430424000,235530000,160363000,160363000,1304477000,114041000,114041000,293815000,203652000,90163000,422878000,1727355000,448847000,208707000,240140000,92277000,92277000,541124000,1210907000,58492000,25213000,33279000,1269399000,1810523000,5883391000,-5960023000,-6536000,-83168000,-83168000,1727355000,-1231000,31580000,23563000,-11916000,41996000,-10388000,-14979000,304000,-25063000,-943000,8105000,8105000,7153000,24086000,24086000,24089000,46613000,1210907000,26232000,0.42392,0.02792,-0.00229,0.0148,-0.00071,-21.3095,2.41068,-21.76947,0.70102,-0.01198,-0.01198,5.24136,-0.80971,0.25539,-0.00104,0.02211,15.7198,48.74257
"16","2014_Q1",23.5209836065574,"Down",583385000,-351739000,231646000,-231635000,-118769000,-87494000,-31275000,-100427000,-12439000,10999.9999999963,-10670000,-10670000,-10659000,-428000,-11087000,1290000,-9797000,-9797000,-9797000,-9797000,471466000,346487000,488578000,488578000,249103000,186655000,186655000,1395802000,119729000,119729000,272208000,185828000,86380000,406968000,1802770000,526505000,254849000,271656000,88550000,88550000,615055000,1212019000,58373000,23620000,34753000,1270392000,1885447000,5894917000,-5969820000,-7774000,-82677000,-82677000,1802770000,-9797000,30909000,24374000,-41935000,3551000,-11930000,-24971000,834000,-36067000,-965000.00000003,1838000,1838000,851000,-31665000,-31665000,-34100000,30920000,1212019000,-24235000,0.39707,1.99999999999992e-05,-0.01679,0.1185,-0.00543,2.47372,2.26939,-22.80498,0.67231,-0.09459,-0.09461,5.63276,-0.79827,-0.234,-0.00825,-0.0204,23.95061,67323
"17","2014_Q2",20.5436507936508,"Down",533703000,-307852000,225851000,-222381000,-108445000,-78348000,-30097000,-101497000,-12439000,3470000,-17026000,-17026000,-13556000,-115000,-13671000,-2265000,-15936000,-15936000,-15936000,-15936000,425077000,330084000,518915000,518915000,284124000,188848000,188848000,1416964000,119446000,119446000,249167000,168938000,80229000,383651000,1800615000,519920000,245828000,274092000,96236000,96236000,616156000,1213146000,58174000,24164000,34010000,1271320000,1887476000,5913721000,-5985756000,-14826000,-86861000,-86861000,1800615000,-15936000,30218000,26980000,-78420000,-37158000,-15776000,30450000,-33000,14641000,-762000,7412000,7412000,6650000,-15867000,-15867000,-15867000,33688000,1213146000,-58243000,0.42318,0.0065,-0.02986,0.18347,-0.00885,3.65481,2.29968,-21.72984,0.67374,-0.1525,-0.1525,5.10716,-0.8312,-0.55734,-0.01345,-0.04917,23.39317,227.10922
"18","2014_Q3",19.60015625,"Down",560061000,-322370000,237691000,-230529000,-115544000,-83662000,-31882000,-103492000,-11493000,7162000,-12925000,-12925000,-5763000,-5.82076609134674e-11,-5763000,-4395000,-10158000,-10158000,-10158000,-10158000,415132000,325083000,514973000,514973000,293952000,207279000,207279000,1431336000,119876000,119876000,229210000,155117000,74093000,364128000,1795464000,483934000,229498000,254436000,118473000,118473000,790054000,1026641000,59609000,23820000,35789000,1086250000,1876304000,5927332000,-5995914000,-12258000,-80840000,-80840000,1795464000,-10158000,27637000,32023000,-47511000,1990999.99999999,-10709000,4517000,-2084000,-8275999.99999999,-758000,1558000,1558000,799999.999999985,-5485000.00000001,-5485000.00000001,-5485000,34799000,1214288000,-19026000,0.4244,0.01279,-0.01814,0.12566,-0.00566,1.87301,1.81169,-23.21009,0.67631,-0.09633,-0.09633,5.3111,-0.76661,-0.18043,-0.00851,-0.01595,22.96491,111.582799999991
"19","2014_Q4",16.67015625,"Down",603562000,-339589000,263973000,-226908000,-118204000,-81919000,-36285000,-97685000,-11019000,37065000,-17836000,-17836000,19229000,-63000,19166000,-3006000,16160000,16160000,16160000,16160000,653134000,532884000,541573000,541573000,293092000,210632000,210632000,1698431000,116949000,116949000,220018000,141897000,78121000,401986000,2100417000,504476000,236630000,267846000,114590000,114590000,809171000,1274116000,62284000,25078000,37206000,1336400000,2145571000,5946639000,-5979754000,-12039000,-45154000,-45154000,2100417000,16160000,27539000,37201000,-29766000,51134000,-9489000,-80226000,-6620000,-96335000,247995000,8548000,8548000,253280000,208079000,208079000,207749000,64604000,1464221000,28355000,0.43736,0.06141,0.02677,-0.35789,0.00769,1.75464,2.09898,-47.51674,0.69711,0.15211,0.13376,5.68133,-0.42503,0.26691,0.01091,0.01914,12.55475,21.88283
"20","2015_Q1",19.9268852459016,"Up",590963000,-370126000,220837000,-222481000,-112956000,-84396000,-28560000,-98506000,-11019000,-1644000,-24590000,-24590000,-26234000,-171000,-26405000,-4298000,-30703000,-30703000,-30703000,-30703000,726925000,586720000,518981000,518981000,254660000,192624000,192624000,1693190000,126632000,126632000,202753000,128677000,74076000,379442000,2072632000,486385000,209777000,276608000,104688000,104688000,781136000,1274791000,86320000,40930000,45390000,1361111000,2142247000,5955510000,-6010457000,-14668000,-69615000,-69615000,2072632000,-30703000,27373000,26855000,50324000,73849000,-12242000,-4937000,756000,-16423000,-1384000.00000006,145000,145000,-2203000.00000003,55223000,55223000,53836000,25729000,1464854000,68109000,0.37369,-0.00278,-0.05195,0.44104,-0.01481,-2.21832,2.1676,-30.77278,0.70676,-0.28709,-0.33239,5.52591,-0.65095,0.63687,-0.02072,0.04597,28.68083,-448.86192
"21","2015_Q2",22.8398412698413,"Up",529162000,-298867000,230295000,-218045000,-106265000,-76712000,-29553000,-100761000,-11019000,12250000,-21894000,-21894000,-9644000,-8085000,-17729000,-1050000,-18779000,-18779000,-18779000,-18779000,707356388.243122,568557586.473304,537260617.521397,537260617.521397,229755127.994935,184234401.689662,184234401.689662,1658606535.44912,132596804.741344,132596804.741344,219323371.315992,124032861.291831,78332642.4322225,417410897.738374,2076017433.18749,472325867.787742,206850574.568506,265475293.219345,104782577.362669,104782575.483463,675883655.5927,1257515215.67017,96746114.1822477,48790853.9909818,47955260.1912659,1354261329.85242,2030144985.44512,6087926993.56584,-6024735701.15069,-17318844.672781,45872447.7423683,45872447.7423683,2076017433.18749,-18779000,26991000,8289000,5637000,22138000,-11194000,-10085000,9314000,-11965000,-3618000,8302000,8302000,4624000,14797000,14797000,12003000,39241000,0,34734000,0.43521,0.02315,-0.03549,0.516069160719216,-0.0101123041334567,-1.84962,2.50365106504312,-2.44685076854404,0.657028983755317,-0.17425,-0.17425,4.90997,0.347466995365875,0.32229,-0.0142810564001963,0.0160789699792187,23.3785865929001,75.5310882424195
"22","2015_Q3",23.24203125,"Up",621602000,-349191000,272411000,-230014000,-112773000,-82471000,-30302000,-105202000,-12039000,42397000,-18496000,-18496000,23901000,17000.0000000009,23918000,-3265000,20653000,20653000,20653000,20653000,731427000,586338000,553306000,553306000,214593000,183512000,183512000,1682838000,139064000,139064000,184429000,102238000,82191000,408726000,2091564000,463873000,210002000,253871000,109120000,109120000,575493000,1276107000,101301000,49845000,51456000,1377408000,1952901000,6169039000,-6008583000,-21793000,138663000,138663000,2091564000,20653000,26770000,42605000,-52224000,37804000,-10705000,-30154000,-994000.000000002,-41853000,-9316999.99999999,1678000,1678000,-7826000,-11875000,-11875000,-12385000,69167000,1278607000,9503000,0.43824,0.06821,0.03323,0.14894,0.00987000000000001,0.46013,2.92417,14.08379,0.61132,0.18188,0.16133,5.47402,1.22111,0.08369,0.0136,0.00626000000000002,7.911,12.9061
"23","2015_Q4",22.9703125,"Down",602932000,-333063000,269869000,-225226000,-111393000,-81650000,-29743000,-100379000,-13454000,44643000,-17374000,-17374000,27269000,-192000,27077000,-3452000,23625000,23625000,23625000,23625000,857158000,697091000,530261000,530261000,194017000,185140000,185140000,1766576000,159592000,159592000,167366000,89019000,78347000,397119000,2163695000,474465000,201774000,272691000,114902000,114902000,591867000,1276761000,117213000,53731000,63482000,1393974000,1985841000,6188946000,-5984957000,-26135000,177854000,177854000,2163695000,23625000,27499000,29885000,36533000,117542000,-17830000,36000,5927000,-11867000,-2407000,9642000,9642000,7062000,112737000,112737000,110753000,72142000,1279261000,94297000,0.44759,0.07404,0.03918,0.13283,0.01092,3.99141,2.98475,11.16557,0.59124,0.19951,0.17732,5.09177,1.50198,0.79634,0.01501,0.0599,5.851,9.45508
"24","2016_Q1",18.4703278688525,"Down",691973000,-388985000,302988000,-293204000,-126807000,-93003000,-33804000,-107859000,-58538000,9784000,-18920000,-18920000,-9136000,-366000,-9502000,-4330000,-13832000,-13832000,-13832000,-13832000,926078000,790971000,550792000,550792000,191162000,196178000,196178000,1864210000,191973000,191973000,543763000,202673000,84656000,830841000,2695051000,538423000,222140000,316283000,126111000,126111000,667034000,1271639000,135502000,62962000,72540000,1407141000,2074175000,6641792000,-5998790000,-22126000,620876000,620876000,2695051000,-13832000,54507000,46661000,-2708000.00000001,84628000,-22380000,-120000,7846000,22558000,-22563000,10653000,10653000,-11911000,95275000,95275000,93880000,64291000,1274139000,43533000,0.43786,0.01414,-0.01999,-0.02228,-0.00513,-3.14727,2.79478,3.34072,0.47277,-0.10328,-0.12419,5.16695,4.63607,0.32506,-0.00681,0.02144,5.41384,35.57451
"25","2016_Q2",18.1090625,"Down",573115000,-321665000,251450000,-239827000,-113620000,-82478000,-31142000,-108046000,-18161000,11623000,-21486000,-21486000,-9863000,-384000,-10247000,-1299000,-11546000,-11546000,-11546000,-11546000,870331000,660321000,480382000,480382000,205664000,194643000,194643000,1751020000,199561000,199561000,513674000,182167000,75073000,838295000,2589315000,446065000,183852000,262213000,106664000,106664000,555229000,1258316000,148743000,67027000,81716000,1407059000,1962288000,6665139000,-6010336000,-27776000,627027000,627027000,2589315000,-11546000,34955000,37551000,-45980000,14980000,-28873000,-104869000,-295000,-134037000,-16266000,8870000,8870000,-8193000,-127250000,-127250000,-130650000,46578000,1260816000,-26976000,0.43874,0.02028,-0.02015,-0.01841,-0.00446,2.33639,3.15369,3.12951,0.48693,-0.08448,-0.08448,4.19327,4.58772,-0.19737,-0.00567,-0.01325,8.38346,33.59589
"26","2016_Q3",20.8515625,"Up",640717000,-357624000,283093000,-254325000,-121871000,-86668000,-35203000,-114603000,-17851000,28768000,-11641000,-11641000,17127000,-535000,16592000,-2595000,13997000,13997000,13997000,13997000,1117212000,922033000,555056000,555056000,190861000,214920000,214920000,2078049000,248649000,248649000,529652000,184920000,77051000,903534000,2981583000,508333000,225237000,283096000,116799000,116799000,630132000,1505389000,177050000,70233000,106817000,1682439000,2312571000,6680970000,-5996339000,-15619000,669012000,669012000,2981583000,13997000,35770000,29904000,-18969000,60702000,-24177000,14875000,-4539000,-45841000,245983000,1098000,1098000,244100000,258961000,258961000,261712000,64538000,1510389000,23987000,0.44184,0.0449,0.02185,0.02092,0.00469,1.71372,3.2978,3.4567,0.50657,0.10146,0.10078,4.64456,4.84967,0.17388,0.00594,0.01018,6.09218,13.66716
