"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2017_Q3",105.219841269841,"Down",-23788000,-5486000,-17959000,-23788000,-669000,-669000,-976000,307000,-24457000,-24457000,-24457000,-24457000,-24457000,-24457000,130229000,75148000,275000,2621000,2621000,133125000,25458000,34599000,167724000,12267000,2103000,10164000,256000,15962000,45017000,404932000,-5056000,-277163000,-6000,122707000,122707000,167724000,-24457000,866000,3446000,-26000,-20171000,-5980000,-4918000,-270000,609000,-24480000,-24480000,-24480000,-22922000,30703000,-0.19931,-0.14582,8.34012,0.36687,0.18306,-7.39453,-7.39453,37.10022,-0.15758,4.34194,4.18387
"12","2017_Q4",98.0666666666667,"Down",-22831000,-4579000,-18101000,-22705000,-726000,-726000,-1010000,284000,-23431000,-23431000,-23431000,-23431000,-23431000,-23431000,113076000,54468000,468000,2114000,2114000,115658000,26252000,32113000,147771000,11712000,3162000,8550000,359000,19013000,44654000,408751000,-5056000,-300594000,16000,103117000,103117000,147771000,-23431000,876000,3952000,1065000,-17538000,-2981000,-4728000,-6000.00000000745,149999.999999993,-22116000,-22116000,-22116000,-21829000,30921000,-0.22723,-0.15856,6.0831,0.43304,0.20925,-7.06208,-7.06208,31.07936,-0.17267,3.76357,3.61837
"13","2018_Q1",75.5114754098361,"Down",-19376000,-5053000,-14308000,-19445000,-698000,-698000,-965000,267000,-20143000,-21918000,-21918000,-21918000,-21918000,-21918000,98896000,38839000,320000,2434000,2434000,101650000,25942000,33878000,135528000,9679000,3287000,6392000,2446000,12156000,50880000,412262000,-5056000,-322512000,-46000,84648000,84648000,135528000,-21918000,1040000,5354000,2701000,-12823000,-1541000,-1952000,-62262000,2389000,-12386000,-12386000,-12386000,-18405000,35108000,-0.25893,-0.16172,8.36213,0.60108,0.25905,-6.58045,-6.58045,25.41391,-0.17761,3.4658,3.28043
"14","2018_Q2",77.94375,"Up",-22258000,-5692000,-16536000,-22104000,-736000,-736000,-1003000,267000,-22840000,-22840000,-22840000,-22840000,-22840000,-22840000,82107000,31794000,421000,2407000,2407000,84935000,25152000,31417000,116352000,8968000,2016000,6952000,3596000,12597000,50169000,416695000,-5056000,-345352000,-104000,66183000,66183000,116352000,-22840000,1426000,3857000,-1115000,-18672000,-416000,10547000,-7000,821000,-7304000,-7304000,-7304000,-20678000,35320000,-0.3451,-0.1963,6.74248,0.75803,0.30356,-6.82679,-6.82679,19.78184,-0.22006,2.26265,2.11668
"15","2018_Q3",67.6928571428572,"Down",-23929000,-5367000,-18412000,-23567000,-608000,-608000,-1045000,437000,-24175000,-24175000,-24175000,-24175000,-24175000,-24175000,129381000,73458000,344000,2545000,2545000,132270000,23854000,30152000,162422000,8899000,1482000,7417000,3994000,12928000,49884000,487189000,-5056000,-369527000,-68000,112538000,112538000,162422000,-24175000,1739000,3763000,-356000,-19029000,-639000,-6249000,64657000,66913000,41635000,41635000,41635000,-21828000,35535000,-0.21482,-0.14884,10.23128,0.44326,0.21878,-5.95356,-5.95356,27.71466,-0.16167,4.29934,3.98209
"16","2018_Q4",44.3634920634921,"Down",-23520000,-6968000,-16413000,-23228000,-573000,-573000,-1065000,492000,-23801000,-23801000,-23801000,-23801000,-23801000,-23801000,112747000,53027000,538000,2254000,2254000,115539000,22402000,28433000,143972000,10680000,1843000,8837000,3706000,14423000,51515000,490876000,-5056000,-393328000,-35000,92457000,92457000,143972000,-23801000,1751000,3817000,1553000,-16680000,-266000,-4021000,-8000,3000,-20698000,-20698000,-20698000,-21477000,35748000,-0.25743,-0.16532,8.01075,0.55718,0.2483,-5.49236,-5.49236,21.33554,-0.18367,3.58518,3.31492
"17","2019_Q1",33.4245901639344,"Down",-26879000,-6971000,-19791000,-26567000,-643000,-643000,-1086000,443000,-27210000,-27220000,-27220000,-27220000,-27220000,-27220000,92999000,43695000,909000,1387000,1387000,95295000,20878000,26206000,121501000,12363000,3774000,8589000,3401000,15804000,53023000,494226000,-5056000,-420548000,-144000,68478000,68478000,121501000,-27220000,1782000,3101000,1936000,-20401000,-296000,10133000,-64663000,372000,-9896000,-9896000,-9994000,-24785000,35963000,-0.3975,-0.22403,6.0298,0.77431,0.29599,-6.25385,-6.25385,15.73296,-0.25743,2.30123,2.14687
"18","2019_Q2",27.0634920634921,"Down",-24384000,-7536000,-16818000,-23868000,-660000,-660000,-1070000,410000,-24528000,-24528000,-24528000,-24528000,-24528000,-24528000,73484000,42274000,947000,2254000,2254000,76685000,19189000,31483000,108168000,12416000,2027000,10389000,2467000,16165000,57308000,501057000,-5056000,-445076000,-65000,50860000,50860000,108168000,-24528000,1787000,2781000,-4596000,-24556000,-131000,18032000,4617000,4687000,-1837000,-1837000,-1809000,-22081000,42425000,-0.48227,-0.22676,4.74389,1.12678,0.39221,-5.54382,-5.54382,11.49537,-0.26294,1.40659,1.30128
"19","2019_Q3",13.0678125,"Down",-27550000,-7518000,-19859000,-26159000,-777000,-777000,-1088000,311000,-26936000,-26936000,-26936000,-26936000,-26936000,-26936000,56566000,42857000,537000,2001000,2001000,59104000,17870000,30601000,89705000,14599000,2039000,12560000,2507000,22106000,59397000,507482000,-5056000,-472012000,-106000,30308000,30308000,89705000,-26936000,1955000,2753000,737000,-21491000,-420000,17096000,-4631000,4423000,28000,28000,-18000,-24204000,36271000,-0.88874,-0.30027,2.67366,1.95978,0.40434,-5.84773,-5.84773,6.57978,-0.37102,0.8385,0.77583
"20","2019_Q4",9.23203125,"Down",-23540000,-9209000,-14534000,-23437000,-3745000,-756000,-1079000,323000,-27182000,-32032000,-32032000,-32032000,-32032000,-32032000,103303000,99151000,328000,1234000,1234000,104865000,16204000,29067000,133932000,15663000,1300000,14363000,52775000,76438000,111095000,510466000,-5056000,-504044000,-137000,22837000,22837000,133932000,-32032000,1737000,10348000,1159000,-18788000,-3000.00000000012,9547000,65177000,65177000,55936000,55936000,55913000,-21700000,36494000,-1.40264,-0.23917,1.3719,4.86469,0.27248,-6.78191,-6.78191,0.26021,-0.48908,3.07876,2.85058
"21","2020_Q1",10.735,"Up",-19033000,-5709000,-13324000,-13900000,-739000,-736000,-1043000,307000,-14639000,-28981000,-28981000,-28981000,-28981000,-28981000,91028000,91028000,303000,20523000,884000,111854000,2529000,4396000,116250000,12413000,2643000,9770000,71005000,94418000,120999000,512191000,-5056000,-533025000,-327000,-4749000,-4749000,116250000,-28981000,1696000,18755000,-4204000,-12734000,32000,4182000,-226000,-199000,-8751000,-8751000,-8938000,-12204000,36717000,6.10255,-0.2493,1.18467,-25.47884,0.31585,-5.81356,-5.81356,-5.25911,-0.88271,4.45026,3.90727
"22","2020_Q2",6.80619047619048,"Down",-14619000,-4171000,-10448000,-14619000,-631000,-631000,-985000,354000,-15250000,17576000,17576000,17576000,17576000,5492000,74555000,74555000,46000,19622000,1633000,94223000,1830000,3298000,97521000,9869000,1794000,8075000,37845000,58909000,83384000,513674000,-5056000,-515449000,-340000,14137000,14137000,97521000,17576000,537000,-31646000,-2722000,-16255000,-36999.9999999995,-37000,-2017000.00000001,-2016999.99999999,-18309000,-18309000,-18322000,-14082000,34931000,0.38848,0.0563200000000001,1.59947,5.89828,0.35819,1.08975,1.08967,-1.4229,0.110270000000006,2.8138,2.71045
"23","2020_Q3",6.7790625,"Down",-15519000,-3761000,-11758000,-15519000,-735000,-735000,-763000,28000,-16254000,-43194000,-43194000,-43194000,-43194000,-31110000,66408000,66408000,127000,1615000,1528000,68150000,1615000,4325000,72475000,9594000,2486000,7108000,62644000,78628000,99952000,515303000,-5056000,-558643000,-389000,-27477000,-27477000,72475000,-43194000,388000,28673000,-81000,-14214000,14717000,14717000,-8018000,-7953000,-7450000,-7450000,-7499000,-15131000,27105000,1.13222,-0.42925,0.86674,-3.63766,0.37399,-6.15767,-6.15811,-9.65612,-131.26582,2.59752,2.53257
"24","2020_Q4",4.22078125,"Down",-12303000,-4163000,-8140000,-12303000,-715000,-715000,-725000,10000,-13018000,-887000,-887000,-887000,-887000,-887000.000000007,53125000,53125000,125000,1243000,1243000,54493000,2861000,6e+06,60493000,8140000,1463000,6677000,50803000,68528000,87215000,516909000,-5056000,-559530000,-353000,-26722000,-26722000,60493000,-887000,304000,-9332999.99999999,-2890000,-12806000,-578000,-578000,-20999.9999999981,-20999.9999999981,-13405000,-13405000,-13369000,-11999000,27267000,0.0331899999999998,-0.01466,0.79519,-3.26379,0.45075,-0.1753,-0.175299999999998,-9.49232,-0.57226,2.15501,2.10176
"25","2021_Q1",4.34688524590164,"Up",-12142000,-3436000,-8706000,-11642000,-191000,-191000,-186000,-5000,-11833000,18783000,18783000,18783000,18783000,18783000,35495000,35495000,2000,3946000,802000,39443000,189000,1141000,40584000,5056000,891000,4165000,19645000,24701000,25045000,561597000,-5056000,-540747000,-339000,15539000,15539000,40584000,18783000,243000,-29930000,-2471000,-13375000,-22000,-22000,-27173000,-4247000,-17644000,-17644000,-17630000,-11399000,0,1.20877,0.46282,1.59682,1.61175,0,2.38096,2.38096,1.9591,1.18259,3.11387,3.04887
"26","2021_Q2",3.20904761904762,"Down",-8472000,-2012000,-6460000,-8472000,6000,6000,-4000,10000,-8466000,-11267000,-11267000,-11267000,-11267000,-11267000,28082000,28082000,375000,2982000,1481000,31439000,63000,67999.9999999995,31507000,5789000,669000,5120000,20516000,26305000,26332000,544548000,-5056000,-552014000,-339000,5175000,5175000,31507000,-11267000,47000,3767999.99999999,-841000,-8293000,9e+05,899999.999999999,-19999.9999999963,-20000,-7413000,-7413000,-7413000,-8425000,0,-2.1772,-0.3576,1.19517,5.08831,-5.55111512312578e-17,-1.12277,-1.12277,-1.28162,-2.1659,3.33318,3.31468
"27","2021_Q3",3.04953125,"Down",-8488000,-1765000,-6723000,-7788000,7000,8000,0,8000,-7781000,-2202000,-2202000,-2202000,-2202000,-2202000,20278000,20278000,904000,2730000,1229000,23912000,40000,44000,23956000,5217000,760000,4457000,14923000,20140000,20162000,563321000,-5056000,-554216000,-339000,3794000,3794000,23956000,-2202000,23000,-4753000,-857000,-7789000,0,0,-15000,-15000,-7804000,-7804000,-7804000,-7765000,0,-0.58039,-0.09192,1.18729,5.31418,0,-0.21783,-0.21783,0.36701,-0.57704,2.61146,2.60375
"28","2021_Q4",2.01375,"Down",-8029000,-1681000,-6348000,-3029000,12000,6000,91904.9703292745,5822.58709689251,-3017000,1233000,1233000,1233000,1233000,764000.000000002,19266000,19266000,556000,2520000,1019000,22342000,27000,31000,22373000,5860000,521000,5339000,10642000,16502000,16502000,564174000,-5056000,-552983000,-348000,5871000,5871000,22373000,1233000,20000,-3410000,1161000,-996000,-7000,-7000,-9.31322574615479e-10,0,-1003000,-1003000,-1012000,-3009000,-2.3283064365387e-10,0.13013,0.03415,1.3539,2.81076,0,0.0755300000000001,0.0755299999999998,0.57212,0.13013,6.40279,6.36052
"29","2022_Q1",1.62564516129032,"Down",-5599000,-1552000,-4047000,-5099000,10000,8000,450714.910987823,9823.46451620433,-5089000,2531000,2531000,2531000,2531000,3e+06,46156000,46156000,205000,2770000,1269000,49131000,12000,12000,49143000,3939000,90000,3849000,2773000,6712000,6712000,598277000,-5056000,-550452000,-338000,42431000,42431000,49143000,2531000,15000,-6758000,-1816000,-6028000,0,0,0,32908000,26880000,26880000,26890000,-5084000,0,0.0707,0.06105,7.31987,0.15819,0,0.59291,0.59291,8.38594,0.0707,9.07868,9.05197
"30","2022_Q2",1.5108064516129,"Down",-5939000,-1453000,-4486000,-5939000,14000,14000,1255429.82197565,14000,-5925000,-7562000,-7562000,-7562000,-7562000,-7562000,39769000,39769000,207000,3444000,1943000,43420000,14000,14000,43434000,3559000,212000,3347000,4410000,7969000,7969000,598789000,-5056000,-558014000,-341000,35465000,35465000,43434000,-7562000,5000,2236000,-1056000,-6377000,-7000,-7000,-4107948.99369794,132744249.010809,-6384000,-6384000,-6387000,-5934000,-1.45519152283669e-11,-0.21322,-0.1741,5.44861,0.2247,0,-0.48128,-0.47807,2.25163,-0.21322,6.70189,6.69625
"31","2022_Q3",1.27390625,"Down",-6537000,-1448000,-5089000,-6537000,13000,13000,2685049.70329274,13000,-6524000,-4001000,-4001000,-4001000,-4001000,-4001000,33168000,33168000,209000,3209000,1706000,36586000,18000,18000,36604000,2644000,399000,2245000,1887000,4531000,4531000,599400000,-5056000,-562015000,-343000,32073000,32073000,36604000,-4001000,3000,-1912000,-680000,-6590000,-7000,-7000,-12348846.9810938,332391747.032427,-6597000,-6597000,-6599000,-6534000,0,-0.12475,-0.1093,8.0746,0.14127,0,-0.12978,-0.12978,1.03752,-0.12475,5.07622,5.07389
