"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","income_taxes_receivable","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_compensation","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",13.0903225806452,"Down",194623000,-125741000,68882000,-51788000,-35242000,-35242000,-3523000,-13023000,17094000,1297000,-310000,1607000,18391000,17462000,-6038000,11717000,11717000,11717000,11717000,260275000,218196000,42079000,136090000,136090000,54951000,27115000,17569000,451316000,47685000,92129000,360954000,20923000,174562000,50828000,114641000,500768000,952084000,60120000,11383000,7303000,41434000,117069000,117069000,177189000,157840000,137492000,20348000,157840000,335029000,415635000,190769000,10651000,617055000,617055000,952084000,11717000,3523000,14533000,9370000,39143000,-4846000,-6032000,193000,-10685000,-17000,268000,268000,59000,310000,28768000,28768000,-2741000,26027000,20617000,0,31179000,0.35393,0.08783,0.0602,0.01899,0.01231,2.66101,2.54709,0.54295,0,0.25183,0.24784,4.18292,13.26201,0.67011,0.01512,0.0402399999999999,-12.62429,-15.2261
"12","2013_Q1",15.8768333333333,"Up",207558000,-159228000,48330000,-32978000,-34668000,-34668000,-3650000,5340000,15352000,2250000,-511000,2761000,17602000,17602000,-6152000,12028000,12028000,12028000,12028000,322941000,282005000,40936000,126579000,126579000,50547000,27815000,11902000,500067000,49808000,94798000,370016000,20413000,176338000,57290000,115975000,514622000,1014689000,60914000,14667000,8720000,37527000,160810000,160810000,221724000,162979000,142577000,20402000,162979000,384703000,419998000,202797000,7191000,629986000,629986000,1014689000,12028000,3650000,-1805000,53179000,67052000,-5148000,1491000,-514000,-4613000,-96000,972000,972000,-12000,864000,63303000,63303000,506000,63809000,19002000,0,73185000,0.23285,0.07396,0.05795,0.01909,0.01185,6.08455,2.25536,0.61065,0,0.25816,0.25341,4.4548,13.52133,1.57076,0.01517,0.09229,-16.99511,-21.03576
"13","2013_Q2",15.63140625,"Down",196023000,-132500000,63523000,-46514000,-33443000,-33443000,-3742000,-9329000,17009000,-1616000,-599000,-1017000,15393000,15393000,-5605000,10418000,10418000,10418000,10418000,227393000,196372000,31021000,137358000,137358000,48695000,29729000,11667000,413446000,48988000,105526000,363014000,19836000,171538000,53969000,117671000,517528000,930974000,58301000,15230000,4631000,38440000,79387000,79387000,137688000,161821000,141892000,19929000,161821000,299509000,420891000,213215000,-2641000,631465000,631465000,930974000,10418000,3742000,5457000,-94147000,-74530000,-3011000,-1614000,-5000,-4630000,-2499000,173000,173000,-1000,-2327000,-81487000,-81487000,-4146000,-85633000,20751000,0,-70802000,0.32406,0.08677,0.05315,0.0165,0.01119,-6.79612,3.00277,0.47431,1.03397576569128e-25,0.22256,0.21861,4.18763,13.48996,-1.51254,0.01313,-0.08925,-10.95817,-13.36898
"14","2013_Q3",18.09109375,"Up",204799000,-140353000,64446000,-46182000,-33317000,-33317000,-4297000,-8568000,18264000,767000,-762000,1529000,19031000,3536000,-2684000,1196000,1196000,1196000,1196000,223158000,192916000,30242000,153544000,153544000,52134000,29900000,13677000,428836000,48024000,108692000,398323000,31169000,195189000,54389000,117576000,555039000,983875000,78116000,15081000,5118000,57917000,98253000,98253000,176369000,164424000,144495000,19929000,164424000,340793000,424835000,214411000,3836000,643082000,643082000,983875000,1196000,4297000,2712000,22992000,31197000,-3595000,-439000,-15000,-38486000,-144000,846000,846000,162000,864000,-6424999.99999997,-6424999.99999997,2969000,-3455999.99999999,22561000,0,44642000,0.31468,0.08918,0.00584,0.00186,0.00122,37.32609,2.43147,0.52994,0,0.0253,0.02509,4.33254,13.60444,0.944400000000001,0.00148,0.05528,-9.89132,-12.21846
"15","2013_Q4",21.6834375,"Up",210272000,-147854000,62418000,-49271000,-35915000,-35915000,-5088000,-8268000,13147000,2936000,-360000,3296000,16083000,11642000,-2753000,9482000,9482000,9482000,9482000,191553000,168235000,23318000,164870000,164870000,59407000,30513000,20923000,415830000,50466000,113793000,483301000,59734000,261182000,49143000,113242000,647560000,1063390000,107168000,16476000,5576000,85116000,127179000,127179000,234347000,170318000,148651000,21667000,170318000,404665000,427693000,223893000,7139000,658725000,658725000,1063390000,9482000,5088000,6448000,20110000,41128000,-2776000,5572000,7689000,-67142000,-30000,324000,324000,42000,336000,-25678000,-25678000,997000,-24681000,18235000,0,38322000,0.29684,0.06252,0.04509,0.01439,0.00892,4.04155,1.77442,0.61432,1.65436122510606e-24,0.20018,0.19791,4.43921,13.90683,0.80904,0.01144,0.04622,-10.50469,-14.57009
"16","2014_Q1",23.5137704918033,"Up",238607000,-163616000,74991000,-56678000,-40096000,-40096000,-5877000,-10705000,18313000,1857000,-644000,2501000,20170000,17249000,-5595000,12197000,12197000,12197000,12197000,244413000,224066000,20347000,161508000,161508000,41179000,28724000,8944000,447100000,53628000,121569000,492932000,58187000,257293000,63203000,114249000,668129000,1115229000,108253000,19460000,5502000,83291000,160298000,160298000,268551000,181711000,159706000,22005000,181711000,450262000,431508000,236090000,-2631000,664967000,664967000,1115229000,12197000,5877000,-1720000,47558000,63912000,-3719000,-2445000,-288999.999999998,-6452999.99999999,-165000,791000,791000,91000,717000,58176000,58176000,-2345000,55831000,24190000,0,73624000,0.31429,0.07675,0.05112,0.01834,0.01094,6.03624,1.66486,0.67712,0,0.25705,0.25249,5.0287,14.01435,1.55164,0.01441,0.08696,-10.10389,-13.34642
"17","2014_Q2",27.0233333333333,"Up",237587000,-162279000,75308000,-54965000,-39871000,-39871000,-5944000,-9150000,20343000,1676000,-591000,2267000,22019000,18337000,-7385000,11417000,11417000,11417000,11417000,160146000,150426000,9720000,182177000,182177000,43204000,32701000,6452000,385527000,51906000,120253000,490506000,56027000,257626000,59716000,117137000,662665000,1048192000,93064000,20045000,7477000,65542000,95596000,95596000,188660000,183244000,162965000,20279000,183244000,371904000,434495000,247507000,-5714000,676288000,676288000,1048192000,11417000,5944000,5962000,-90652000,-67329000,-5183000,13517000,2952000,11286000,-1945000,1822000,1822000,-14903000,-15026000,-71069000,-71069000,-2571000,-73640000,26287000,0,-62163000,0.31697,0.08562,0.04805,0.01688,0.01089,-5.44478,2.0435,0.54992,0,0.23953,0.23531,4.98452,14.18836,-1.30416,0.01328,-0.07232,-6.09221,-7.87229
"18","2014_Q3",26.89390625,"Down",246237000,-172428000,73809000,-50644000,-35795000,-35795000,-6580000,-8269000,23165000,3714000,-638000,4352000,26879000,26879000,-8677000,18759000,18759000,18759000,18759000,189159000,182628000,6531000,199247000,199247000,40394000,31097000,6675000,428800000,52651000,125754000,493241000,53879000,259071000,60552000,119739000,671646000,1100446000,88864000,18281000,9251000,61332000,119163000,119163000,208027000,188098000,167792000,20306000,188098000,396125000,439377000,266266000,-1322000,704321000,704321000,1100446000,18759000,6580000,3282000,3101000.00000001,31722000,-6288000,2095000,-19000,-4212000,-22000,2032000,2032000,40000.0000000037,2050000,29560000,29560000,2642000,32202000,29745000,-1.13686837721616e-13,35235000,0.29975,0.09408,0.07618,0.02663,0.01705,1.8783,2.06127,0.56242,0,0.38985,0.38302,5.11725,14.63707,0.73225,0.02102,0.03948,-6.35935,-8.16572
"19","2014_Q4",24.849375,"Down",250937000,-171284000,79653000,-52351000,-37265000,-37265000,-6333000,-8753000,27302000,259000,-873000,1132000,27561000,27561000,-6727000,21304000,21304000,21304000,21304000,254121000,247784000,6337000,190982000,190982000,40670000,29834000,8979000,485773000,55009000,123083000,488968000,51722000,255792000,60347000,121107000,667060000,1152833000,92578000,17187000,12879000,62512000,148457000,148457000,241035000,188728000,168629000,20099000,188728000,429763000,446542000,287570000,-11042000,723070000,723070000,1152833000,21304000,6333000,4743000,36303000,68683000,-5836000,4016000,435000,-1385000,-59000,3519000,3519000,678000,4138000,71436000,71436000,-6280000,65156000,33635000,0,70829000,0.31742,0.1088,0.0849,0.02946,0.01848,3.32468,2.01536,0.59436,4.2351647362715e-22,0.44072,0.43095,5.19119,14.95832,1.46526,0.02336,0.07768,-7.55525,-9.30778
"20","2015_Q1",27.7198360655738,"Up",260798000,-180808000,79990000,-55510000,-39109000,-39109000,-7315000,-9086000,24480000,1757000,-261000,2018000,26237000,26237000,-5703000,21211000,21211000,21211000,21211000,343283000,333717000,9566000,175986000,175986000,42685000,29955000,8244000,561954000,60434000,124993000,486285000,49560000,257582000,55039000,124104000,671712000,1233666000,94898000,19375000,13014000,62509000,192035000,192035000,286933000,190709000,169235000,21474000,190709000,477642000,449631000,308781000,-2388000,756024000,756024000,1233666000,21211000,7315000,8003000,59877000,96406000,-11252000,-3303000,274000,-29281000,-611000,1432000,1432000,13592000,14413000,81538000,81538000,4395000,85933000,31795000,-1.81898940354586e-12,86123000,0.30671,0.09387,0.08133,0.02806,0.01719,4.0603,1.95849,0.63178,0,0.43711,0.42722,5.37451,15.58009,1.77482,0.0224,0.09097,-10.79676,-14.023
"21","2015_Q2",30.3030158730159,"Up",260325000,-178571000,81754000,-53275000,-37368000,-37368000,-6770000,-9137000,28479000,1383000,-794000,2177000,29862000,19976000,-5909000,14533000,14533000,14533000,14533000,256206000,238573000,17633000,202387000,202387000,45402000,32864000,8163000,503995000,61966000,115382000,486095000,47518000,255932000,50291000,132354000,663443000,1167438000,96763000,20019000,8043000,68701000,113159000,113159000,209922000,187926000,164694000,23232000,187926000,397848000,451863000,323314000,-5587000,769590000,769590000,1167438000,14533000,6770000,6523000,-117873000,-90047000,-6590000,3493000,1700000,-1397000,-4436000,1479000,1479000,1165000,-1792000,-93236000,-93236000,-1908000,-95144000,35249000,0,-83305000,0.31405,0.1094,0.05583,0.01888,0.01245,-5.73213,2.40087,0.51696,3.3881317890172e-21,0.2984,0.29306,5.34515,15.8017,-1.71047,0.01518,-0.087,-7.26846,-8.99631
"22","2015_Q3",31.42609375,"Up",264717000,-184362000,80355000,-45939000,-30145000,-30145000,-6779000,-9015000,34416000,1442000,-920000,2362000,35858000,35858000,-10907000,25403000,25403000,25403000,25403000,274163000,248190000,25973000,211718000,211718000,50878000,32493000,14317000,536759000,61475000,125892000,483777000,45491000,251915000,52813000,133558000,671144000,1207903000,91297000,19503000,8240000,63554000,140691000,140691000,231988000,188793000,167653000,21140000,188793000,420781000,456076000,348717000,-17671000,787122000,787122000,1207903000,25403000,6779000,2399000,3451000,38032000,-4715000,-16402000,147000,-20970000,-16999.9999999981,405000,405000,184999.999999998,572999.999999998,17635000,17635000,-8018000,9617000,41195000,2.91038304567337e-11,50838000,0.30355,0.13001,0.09596,0.03227,0.02103,2.00126,2.31374,0.53458,0,0.51755,0.5096,5.39325,16.03655,1.03576,0.02603,0.05209,-6.65525,-7.96615
"23","2015_Q4",32.40296875,"Up",258871000,-173455000,85416000,-52907000,-36767000,-36767000,-6814000,-9326000,32509000,-1190000,288000,-1478000,31319000,31737000,-9576000,22939000,22939000,22939000,22939000,332742000,304451000,28291000,201486000,201486000,42645000,31295000,7375000,576873000,59806000,120578000,475279000,43467000,242784000,54501000,134527000,655663000,1232536000,91512000,18270000,8011000,65231000,169314000,169314000,260826000,184112000,164417000,19695000,184112000,444938000,459689000,371656000,-43747000,787598000,787598000,1232536000,22939000,6814000,-1831000,42178000,70100000,-4300000,2690000,6511000,4901000,-2690000,293000,293000,36000,-2361000,72640000,72640000,-16379000,56261000,39323000,0,86777000,0.32996,0.12558,0.08861,0.02913,0.01861,3.78295,2.21172,0.56493,-5.42101086242752e-20,0.46688,0.46296,5.26878,16.02992,1.76617,0.02361,0.0893,-8.46177,-10.23538
"24","2016_Q1",26.5209836065574,"Down",282153000,-194754000,87399000,-59307000,-41637000,-41637000,-7234000,-10436000,28092000,4039000,-358000,4397000,32131000,32131000,-7134000,25482000,25482000,25482000,25482000,406595000,380838000,25757000,188543000,188543000,42020000,31054000,10966000,637158000,62088000,118819000,499736000,47901000,254440000,59841000,137554000,680643000,1317801000,86646000,19238000,3813000,63595000,219364000,219364000,306010000,196542000,173432000,23110000,196542000,502552000,463839000,392033000,-40623000,815249000,815249000,1317801000,25482000,7234000,6236000,50239000,89191000,-6255000,8738000,-291000,-13104000,-196000.000000001,816000,816000,130000,-4355000,71732000,71732000,4655000,76387000,35326000,-4.65661287307739e-10,86444000,0.30976,0.09956,0.09031,0.03126,0.01934,3.39236,2.08215,0.61644,0,0.51699,0.50888,5.72446,16.54018,1.75382,0.03023,0.08544,-11.50979,-14.47369
"25","2016_Q2",25.41984375,"Down",279335000,-189576000,89759000,-56855000,-37491000,-37491000,-7423000,-11941000,32904000,-373000,-299000,-74000,32531000,32531000,-10174000,23082000,23082000,23082000,23082000,296373000,276514000,19859000,199533000,199533000,46969000,35923000,9835000,542875000,61800000,118079000,499790000,45655000,250835000,53506000,149794000,679669000,1222544000,81922000,18005000,1819000,62098000,120961000,120961000,202883000,197962000,174988000,22974000,197962000,400845000,467511000,4.1e+08,-55812000,821699000,821699000,1222544000,23082000,7423000,5904000,-126602000,-90193000,-5485000,7248000,2061000,3824000,-7724000,2379000,2379000,4064000,-6396000,-92765000,-92765000,-11559000,-104324000,40327000,0,-81586000,0.32133,0.11779,0.08263,0.02809,0.01888,-3.53462,2.6758,0.48782,-8.67361737988404e-19,0.46637,0.46151,5.64393,16.60233,-1.64844,0.02765,-0.08001,-7.34924,-9.0072
"26","2016_Q3",21.2615625,"Down",291339000,-199844000,91495000,-62482000,-44563000,-44563000,-7180000,-10739000,29013000,-3190000,-544000,-2646000,25823000,25823000,-8392000,17971000,17971000,17971000,17971000,282852000,270743000,12109000,230442000,230442000,60957000,38504000,20956000,574251000,61665000,134799000,501473000,43547000,250981000,51528000,155417000,697937000,1272188000,92009000,17235000,5082000,69692000,142531000,142531000,234540000,198196000,174345000,23851000,198196000,432736000,473370000,422797000,-56715000,839452000,839452000,1272188000,17971000,7180000,11513000,-19912000,16752000,-5160000,-11498000,-15000,-16673000,-22999.9999999925,112000,112000,592000,-4492999.99999999,-4414000.00000001,-4414000.00000001,-1357000,-5770999.99999994,36193000,0,19513000,0.31405,0.09959,0.06168,0.02141,0.01413,1.0858,2.44841,0.5155,0,0.35956,0.3562,5.829,16.79542,0.39041,0.02231,0.01881,-7.8151,-9.74915
