"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2019_Q3",47.784375,"Up",318000,-55301000,-15768000,-39533000,-54983000,1369000,2381000,-53614000,-53614000,-85000,-53699000,-53699000,-53699000,-53699000,427885000,427885000,321000,321000,10267000,10267000,438473000,20156000,35616000,262000,35354000,55772000,494245000,26313000,7143000,19170000,5099000,5099000,31412000,95150000,37420000,95150000,126562000,761426000,-393676000,-10000,367683000,367683000,494245000,-53699000,1198000,12198000,3921000,-36382000,-2174000,-2174000,29654000,29654000,29654000,-8902000,-8902000,-10000,-8912000,-53785000,0,-51953000,-172.90252,-168.86478,-0.14605,-0.10865,0.96749,13.95877,0.34421,0,-1.00949,-1.00949,0.00598,6.9121,-0.97667,-0.11602,-0.11225,7.95547,7.78213
"12","2019_Q4",54.59875,"Up",211928000,-72765000,-15519000,-57246000,139163000,-466000,2964000,138697000,138697000,-274000,138423000,138423000,138423000,138423000,629717000,629717000,39000.0000000002,39000.0000000002,34309000,34309000,664065000,21074000,35451000,249000,35202000,56525000,720590000,27249000,3374000,23875000,52530000,4805000,79779000,48933000,37062000,48933000,128712000,847210000,-255253000,-22000,591878000,591878000,720590000,138423000,1283000,14773000,-21059000,133420000,-2461000,-2461000,70885000,70885000,70885000,201844000,201844000,-12000,201832000,140446000,0,117200000,0.656650000000013,0.653160000000014,0.23387,0.1921,0.84668,8.32381,0.21746,0,2.52352,2.22627,3.86356,10.79024,2.13662,0.21601,0.18289,-4.48369,-4.52503
"13","2020_Q1",51.6338709677419,"Down",77016000,-66033000,-17272000,-48761000,10983000,19563000,19563000,30546000,30546000,-4000,30542000,30542000,30542000,30542000,943771000,943771000,99000,99000,43677000,43677000,987547000,31330000,47875000,235000,47640000,79205000,1066752000,36707000,5944000,30763000,20399000,19439000,57106000,70221000,70221000,70221000,127327000,1164192000,-224711000,7000,939425000,939425000,1066752000,30542000,1432000,-4143000,-24455000,3376000,-952000,7057000,288754000,288754000,304718000,315151000,315151000,29000,315180000,12415000,0,-12988000,0.14261,0.39657,0.03251,0.02863,-0.42525,17.29323,0.13554,0,0.53182,0.50678,1.34107,16.35807,-0.22616,0.03025,-0.01286,-76.01861,-85.93016
"14","2020_Q2",58.4720634920635,"Up",157000,-73743000,-19550000,-54193000,-73586000,4232000,4232000,-69354000,-69354000,-377000,-69731000,-69731000,-69731000,-69731000,889712000,889712000,25117000,25117000,14453000,14453000,929282000,31773000,46245000,221000,46024000,78018000,1007300000,33485000,11277000,22208000,21601000,20798000,55086000,66117000,66117000,66117000,121203000,1180620000,-294442000,-18000,886097000,886097000,1007300000,-69731000,2091000,15041000,424000,-52175000,-2991000,-2991000,1132000,1132000,1132000,-54034000,-54034000,-25000,-54059000,-71495000,0,-73685000,-468.70064,-444.1465,-0.07869,-0.06923,1.0567,16.86966,0.13678,0,-1.14599,-1.14599,0.00258000000000003,14.56254,-1.21097,-0.07323,-0.07738,12.44439,12.09078
"15","2020_Q3",88.7046875,"Up",44000,-80733000,-21353000,-59380000,-80689000,1412000,1412000,-79277000,-79277000,-379000,-79656000,-79656000,-79656000,-79656000,945068000,945068000,33000,33000,20517000,20517000,965618000,34444000,46470000,208000,46262000,80914000,1046532000,51411000,13219000,38192000,23094000,22335000,74505000,61357000,61357000,61357000,135862000,1284852000,-374098000,-21000,910670000,910670000,1046532000,-79656000,2192000,15696000,32489000,-29279000,-3605000,-3605000,89505000,89505000,89505000,56621000,56621000,-3000,56618000,-78497000,0,-49234000,-1833.84091,-1810.36364,-0.08747,-0.07611,0.61808,12.96045,0.14919,0,-1.29689,-1.29689,0.00072,14.82675,-0.80159,-0.08195,-0.05065,12.03954,11.71248
"16","2020_Q4",118.19859375,"Up",148000,-92547000,-21539000,-71008000,-92399000,160000,160000,-92239000,-92239000,-2e+05,-92439000,-92439000,-92439000,-92439000,1365990000,1041417000,110000,110000,24839000,24839000,1390939000,37924000,56155000,194000,55961000,94079000,1485018000,60813000,19020000,41793000,23336000,22726000,84149000,57568000,45792000,57568000,141717000,1810035000,-466537000,-134000,1343301000,1343301000,1485018000,-92439000,2335000,17330000,-2926000,-75700000,-5523000,-330330000,512888000,512888000,512888000,106858000,106858000,33000,106891000,-90064000,0,-98313000,-624.31757,-624.58784,-0.06881,-0.06225,1.06354,16.52948,0.1055,0,-1.31662,-1.31662,0.00211,19.13282,-1.40029,-0.06599,-0.07018,15.16688,14.7836
"17","2021_Q1",150.996393442623,"Up",370000,-108131000,-25766000,-82365000,-107761000,575000,575000,-107186000,-107186000,147000,-107039000,-107039000,-107039000,-107039000,1690333000,1168620000,144000,144000,26143000,26143000,1716620000,42160000,69186000,180000,69006000,111346000,1827966000,73349000,9094000,64255000,20910000,18569000,94259000,69473000,69473000,69473000,163732000,2235616000,-573576000,-83000,1664234000,1664234000,1827966000,-107039000,2566000,19808000,3453000,-81212000,-6239000,-204244000,378764000,378764000,412627000,127171000,127171000,35000,127206000,-105195000,0,-108128000,-291.24595,-289.29459,-0.06432,-0.05856,1.01017,18.21174,0.09838,0,-1.50081,-1.50081,0.00519,23.30249,-1.51607,-0.06174,-0.06237,16.06857,15.68594
"18","2021_Q2",121.617301587302,"Down",539000.00000006,-115082000,-24517000,-70620000,-114543000,1955000,1955000,-112588000,-112588000,-575000,-113163000,-113163000,-113163000,-113163000,1806203000,1126059000,150000,150000,26006000,26006000,1832359000,51913000,73638000,167000,73471000,125551000,1957910000,66292000,13072000,53220000,16798000,14996000,83090000,69322000,69322000,69322000,152412000,2492761000,-686739000,-461000,1805498000,1805498000,1957910000,-113163000,2715000,24156000,-14371000,-100663000,-7024000,-167898000,225991000,225991000,225991000,-42570000,-42570000,5000,-42565000,-111828000,0,-132648000,-212.5102,-209.94991,-0.06268,-0.0578,1.17219,22.0527,0.08442,0,-1.50874,-1.50874,0.00718999999999978,24.07164,-1.76852,-0.06036,-0.07075,16.15162,15.76878
"19","2021_Q3",125.5921875,"Up",900701000,-138083000,-27786000,-83351000,762618000,750000,750000,763368000,763368000,-4143000,759225000,759225000,759225000,759225000,2589446000,1646646000,150000,150000,31347000,31347000,2620943000,75414000,203162000,153000,203009000,278576000,2899519000,81709000,10145000,71564000,18214000,16143000,99923000,195801000,195801000,195801000,295724000,2532001000,72486000,-629000,2603795000,2603795000,2899519000,759225000,3653000,30684000,13440000,807002000,-28449000,-293636000,8443000,8443000,8443000,521809000,521809000,5000,521814000,766271000,0,755405000,0.84669,0.84293,0.29158,0.26185,0.99497,26.22963,0.11357,0,10.1223,10.1223,12.00852,34.71487,10.07137,0.27119,0.26983,-3.37928,-3.39547
"20","2021_Q4",87.3628125,"Down",824000.000000119,-129673000,-23709000,-83500000,-128849000,1101000,1101000,-127748000,-127748000,595000,-127153000,-127153000,-127153000,-127153000,2477360000,1011548000,152000,152000,41423000,41423000,2518935000,105883000,196907000,139000,196768000,302790000,2821725000,81735000,10167000,71568000,14471000,12909000,96206000,212596000,212596000,212596000,308802000,2565994000,-54667000,-770000,2512923000,2512923000,2821725000,-127153000,5324000,31202000,9298000.00000001,-81329000.0000001,-37049000,-565180000,10212000,10212000,10212000,-636297000,-636297000,-24000,-636321000,-123525000,0,-151871000,-156.37015,-154.31189,-0.0506,-0.04506,1.1944,26.18272,0.12289,0,-1.67942,-1.57847,0.0108800000000002,33.15911,-2.00589,-0.0466500000000001,-0.0557199999999999,20.05554,19.22685
"21","2022_Q1",62.7925806451613,"Down",12899000,-158597000,-26790000,-201162000,-145698000,2197000,2197000,-143501000,-143501000,2253000,-141248000,-141248000,-141248000,-141248000,2379129000,923031000,305000,305000,38079000,38079000,2417513000,137575000,196789000,125000,196664000,334364000,2751877000,106543000,14816000,91727000,13340000,12329000,119883000,232534000,220211000,232534000,352417000,2600505000,-195915000,-5067000,2399460000,2399460000,2751877000,-141248000,6261000,30457000,18492000,-86038000,-9183000,-8716000,-31379000,-31379000,6299000,-88455000,-88455000,3000,-88452000,-139437000,0,-132381000,-11.29529,-10.95031,-0.05887,-0.05133,0.93722,20.1656,0.14687,0,-1.81048,-2.22473,0.16534,30.75567,-1.69683,-0.05367,-0.0503,17.06239,16.32918
"22","2022_Q2",58.7885483870968,"Down",940000,-176912000,-28021000,-118245000,-175972000,363000,363000,-175609000,-175609000,-3608000,-179217000,-179217000,-179217000,-179217000,2221261000,683906000,143000,143000,39212000,39212000,2260616000,157453000,188106000,112000,187994000,345559000,2606175000,102351000,27111000,75240000,11346000,11346000,113697000,247562000,247562000,247562000,361259000,2634534000,-375132000,-16893000,2244916000,2244916000,2606175000,-179217000,6039000,31844000,6095000,-135239000,-15350000,-114515000,10649000,10649000,10649000,-239105000,-239105000,-27000,-239132000,-169933000,0,-175580000,-187.20426,-190.65638,-0.07983,-0.06877,0.97971,19.88281,0.16092,0,-2.33813,-2.33813,0.0122600000000003,29.25658,-2.29068,-0.0719,-0.07044,13.07139,12.62281
"23","2022_Q3",72.47109375,"Up",158000,-183418000,-26273000,-123223000,-183260000,3544000,3544000,-179716000,-179716000,-6118000,-185834000,-185834000,-185834000,-185834000,2065339000,496893000,66000,66000,41651000,41651000,2107056000,165194000,182721000,98000,182623000,356307000,2463363000,111420000,25244000,86176000,8537000,8537000,119957000,252575000,252575000,252575000,372532000,2669719000,-560966000,-20342000,2090831000,2090831000,2463363000,-185834000,7269000,28424000,8185000,-141956000,-9630000,-56072000,10353000,10353000,10353000,-187675000,-187675000,-68000,-187743000,-175991000,0,-171318000,-1159.87342,-1176.16456,-0.08888,-0.07544,0.92189,17.56509,0.17817,0,-2.39745,-2.39745,0.00204,26.94261,-2.21017,-0.0793,-0.07311,11.73548,11.26999
