"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","change_in_working_capital","net_cash_from_operating_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"28","2018_Q1",0.0265573770491803,"Up",2300377,-2639549,-339172,-137404,-86571,-50833,-476576,-7735,-7735,-484311,-484311,-484311,-484311,-484311,-484311,330684,330684,47195,19325,377879,377879,1889337,38219,1691779,45833,45833,2285170,2285170,8596778,-10504069,-1907291,-1907291,377879,-484311,287271,-120486,-120486,-120486,-120486,350000,-0.14744,-0.20717,-0.21054,0.25393,-1.28166,0.16536,-1.19812,0.92622,-0.00888,-0.00888,0.0422,-0.03499,0.311,-0.04053
"29","2018_Q2",0.0734375,"Up",2465281,-2222566,242715,-124324,-87824,-36500,118391,-7935,-7935,110456,110456,110456,110456,110456,110456,361052,361052,26865,26865,387917,387917,1716060,31237,1517814,45833,45833,2111893,2111893,8669636,-10393612,-1723976,-1723976,387917,110456,-152946,30368,30368,30368,30368,350000,0.09845,0.04802,0.0448,-0.0640700000000001,0.28474,0.18368,-1.22501,0.90225,0.00203,0.00203,0.04522,-0.03162,-0.08039,-0.0933499999999998
"30","2018_Q3",0.0976190476190476,"Up",2165923,-2159429,6494.00000000006,-157586,-87402,-70184,-151092,-7743,-7743,-158835,-158835,-158835,-158835,-158835,-158835,29825,29825,53988,53988,83813,83813,1497935,34647,1288669,45833,45833,1543768,1893768,8742493,-10552448,-1809955,-1809955,83813,-158835,-245249,-331227,-331227,-331227,-331227,350000,0.00299999999999997,-0.06976,-0.07333,0.08776,-1.89511,0.05429,-1.04631,4.17596,-0.00291,-0.00291,0.03973,-0.0332,0.10879,-2.11907
"31","2018_Q4",0.0681967213114754,"Down",2683499,-2306376,377123,-124313,-75047,-49266,252810,-7729,-7729,245081,245081,245081,245081,245081,245081,317320,317320,23333,23333,340653,340653,1449893,25974,1241571,45833,45833,1845726,1845726,8802294,-10307367,-1505073,-1505073,340653,245081,-17387,287495,287495,287495,287495,350000,0.14053,0.09421,0.09133,-0.16284,0.71944,0.18456,-1.22634,1.02744,0.0045,0.0045,0.04923,-0.02761,-0.21218,0.12927
"32","2019_Q1",0.0525423728813559,"Down",2047756,-2060776,-13020,-89086,-49811,-39275,-102106,4111,-7923,-97994.9999999999,-97995,-97995,-97995,-97995,-97995,106311,106311,160105,39981,266416,266416,1439963,9360,1240331,45833,45833,1835796,1835796,8835982,-10405362,-1569380,-1569380,266416,-97995,-146702,-211009,-211009,-211009,-211009,350000,-0.00636,-0.04986,-0.04785,0.06244,-0.36783,0.14512,-1.16976,1.31373,-0.0018,-0.0018,0.03756,-0.02879,0.08036,-2.38663
"33","2019_Q2",0.0539655172413793,"Up",2061297,-1962670,98627,-116464,-28960,-87504,-17837,-8921,-8921,-26758,-26758,-26758,-26758,-26758,-26758,303606,303606,134725,25803,438331,438331,1624575,62488,1363679,45833,45833,2020408,2020408,8850043,-10432120,-1582077,-1582077,438331,-26758,209992,197295,197295,197295,197295,350000,0.04785,-0.00865,-0.01298,0.01691,-0.0610499999999999,0.21695,-1.27706,0.79848,-0.00049,-0.00049,0.03781,-0.02902,0.0217200000000001,-2.601
"34","2019_Q3",0.0355555555555556,"Down",2076928,-1956444,120484,-57305,-13845,-43460,63179,-8072,-8072,55107,55107,55107,55107,55107,55107,435418,435418,33329,13551,468747,468747,1599884,33356,1360049,45833,45833,1645717,1995717,8850043,-10377013,-1526970,-1526970,468747,55107,76705,131812,131812,131812,131812,350000,0.05801,0.03042,0.02653,-0.03609,0.11756,0.28483,-1.30698,0.74667,0.00101,0.00101,0.0381,-0.02801,-0.04682,-1.352
"35","2019_Q4",0.02578125,"Down",2355716,-2238769,116947,-73390,-19381,-54009,43557,-8198,-8198,35359,35359,35359,35359,35359,35359,350175,350175,202469,48813,552644,552644,1648422,14569,1419175,45833,45833,2044255,2044255,8850043,-10341654,-1491611,-1491611,552644,35359,-120602,-85243,-85243,-85243,-85243,350000,0.04964,0.01849,0.01501,-0.02371,0.06398,0.27034,-1.3705,0.63332,0.00065,0.00065,0.04321,-0.02736,-0.03097,-0.00401999999999991
"36","2020_Q1",0.0296774193548387,"Up",1985914,-2125994,-140080,-61350,-15708,-45642,-201430,-8405,-8405,-209835,-209835,-209835,-209835,-209835,-209835,289559,289559,67541,39551,357100,357100,1662713,11690,1427940,45833,45833,2058546,2058546,8850043,-10551489,-1701446,-1701446,357100,-209835,149219,-60616,-60616,-60616,-60616,350000,-0.07054,-0.10143,-0.10566,0.12333,-0.58761,0.17347,-1.20988,0.98012,-0.00385,-0.00385,0.03643,-0.03121,0.15527,-0.30006
"37","2020_Q2",0.0193650793650794,"Down",2085182,-2069317,15865,-92483,-21818,-70665,-76618,-8630,-8630,-85248,-85248,-85248,-85248,-85248,-85248,321428,321428,171145,26739,492573,492573,1883434,45910,1605811,45833,45833,2279267,2279267,8850043,-10636737,-1786694,-1786694,492573,-85248,117117,31869,31869,31869,31869,350000,0.00761,-0.03674,-0.04088,0.04771,-0.17307,0.21611,-1.27569,0.71055,-0.00156,-0.00156,0.03825,-0.03277,0.05934,-0.37291
"38","2020_Q3",0.0140625,"Down",2036723,-1951148,85575,-46322,-17136,-29186,39253,-8563,-8563,30690,30690,30690,30690,30690,30690,383672,383672,31073,13926,414745,414745,1774916,27176,1507465,45833,45833,1820749,2170749,8850043,-10606047,-1756004,-1756004,414745,30690,31554,62244,62244,62244,62244,350000,0.04202,0.01927,0.01507,-0.01748,0.074,0.22779,-1.23619,0.84389,0.00056,0.00056,0.03736,-0.03221,-0.02183,-0.85782
"39","2020_Q4",0.01390625,"Down",2185716,-2111583,74133,-81894,-20229,-61665,-7761,-8792,-8792,-16553,-16553,-16553,-16553,-16553,-16553,357185,357185,362817,55391,720002,720002,2096726,19204,1828454,45833,45833,2492559,2492559,8850043,-10622600,-1772557,-1772557,720002,-16553,-9934,-26487,-26487,-26487,-26487,350000,0.03392,-0.00355,-0.00757,0.00934,-0.02299,0.28886,-1.40619,0.48611,-3e-04,-3e-04,0.04009,-0.03252,0.01164,0.92578
"40","2021_Q1",0.0827868852459016,"Up",1837546,-1836937,609,-86349,-15817,-70532,-85740,-10065,-10065,-95805,-95805,-95805,-95805,-95805,-95805,1532511,1532511,58492,58492,1623061,1623061,1861934,20954,1581847,45833,45833,2731545,3491423,8850043,-10718405,-1868362,-1868362,1623061,-95805,37475,-58330,1175326,1175326,1175326,1583656,0.000329999999999997,-0.04666,-0.05214,0.05128,-0.05903,0.59419,-1.86871,0.97572,-0.00176,-0.00176,0.03371,-0.03427,0.33651,-0.59651
"41","2021_Q2",0.0726984126984127,"Down",1675987,-1718864,-42877,-139755,-18997,-120758,-182632,-12198,-12198,-194830,-194830,-194830,-194830,-194830,-194830,948795,948795,322752,28261,1271547,1720447,2154150,83105,1799714,45833,45833,3230310,3783639,8850043,-10913235,-2063192,-2063192,1720447,-194830,60014,-134816,-583716,-583716,-583716,1583656,-0.02558,-0.10897,-0.11625,0.09443,-0.11324,0.39363,-1.83388,0.92049,-0.00357,-0.00357,0.03074,-0.03785,0.40629,-3.47618
"42","2021_Q3",0.0584375,"Down",1247554,-1262837,-15283,-134422,-25046,-109376,-149705,-77792,-14168,-227497,-227497,-227497,-227497,-227497,-227497,1040799,1040799,35770,11313,1076569,1461845,2123045,77235,1760312,113123,45833,2586168,3752534,8850043,-11140732,-2290689,-2290689,1461845,-227497,255877,92004,92004.0000000002,92004.0000000002,92004.0000000002,1516366,-0.01225,-0.12,-0.18235,0.09931,-0.15562,0.41628,-1.63817,1.0373,-0.00417,-0.00417,0.02288,-0.04202,0.2938,-3.17669
"43","2021_Q4",0.07734375,"Up",1382968,-1230765,152203,-102137,-23771,-78366,50066,-57711,-12052,-7645,410256,410256,410256,410256,410256,1865618,1865618,172626,172626,2038244,3055274,1766797,218921,1536620,95373,95373,2135766,4935707,8850043,-10730476,-1880433,-1880433,3055274,410256,-597252,-554378,824819,824819,824819,3073537,0.11006,0.0362,0.29665,-0.21817,0.13428,0.95434,-2.62477,1.00598,0.00753,0.00753,0.02537,-0.03449,0.34386,24.12653
"44","2022_Q1",0.0896774193548387,"Up",286117,-563510,-277393,-123018,-51536,-71482,-400411,-24147,-13813,-424558,-356165,-356165,-356165,-356165,-356165,1196650,1196650,267150,267150,1632322,2770808,1844417,267643,1576774,95373,95373,3160615,5007406,8850043,-11086641,-2236598,-2236598,2770808,-356165,-240958,-633650,-668968,-668968,-668968,3067616,-0.96951,-1.39947,-1.24482,0.15924,-0.12854,0.51646,-2.23885,1.10712,-0.00653,-0.00653,0.00525,-0.04103,-0.42859,-4.67261
"45","2022_Q2",0.133064516129032,"Up",286118,-591129,-305011,-164955,-59340,-105615,-469966,129634,-12366,-340332,884576,884576,884576,884576,884576,824421,824421,171919,171919,1147970,2399270,1787245,185422,1594637,95373,95373,2564336,3748004,8853331,-10202065,-1348734,-1348734,2399270,884576,53627,-272732,-372229,-372229,-372229,1865386,-1.06603,-1.64256,3.09165,-0.65586,0.36869,0.44767,-2.77891,0.77748,0.01623,0.01623,0.00525,-0.02474,1.71213,-2.21498
"46","2022_Q3",0.1796875,"Up",286118,-573890,-287772,-215476,-105794,-109682,-503248,-35748,-17057,-538996,-538996,-538996,-538996,-538996,-538996,1329858,1329858,156582,156582,1569954,2962720,1708745,87852,1608157,1260575,95373,3742544,4840584,8863197,-10741061,-1877864,-1877864,2962720,-538996,11376,-473661,505437,505437,505437,1871264,-1.00578,-1.75888,-1.88382,0.28703,-0.18193,0.41949,-2.57771,0.6316,-0.00989,-0.00989,0.00525,-0.03445,81.66606,-1.07582
