"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"22","2016_Q1",6.55032786885246,"Down",-8213141,-5034104,-3179037,-6836007,12847774,6011767,-46861569,-33228138,-33228138,-33196846,-33196846,20318411,20318411,3476177,3476177,26360689,17064900,13779706,976768,30844606,57205295,10305876,4107388,6198488,21015223,1494663,562001,12906248,33921471,396553074,-372132490,23713533,-429709,23283824,57205295,-33228138,793751,26562702,-2856023,-8727708,-611953,4719533,334430,334430,283887,-3724288,-3724288,-3724288,-6042256,16775707,-1.42575,-0.58031,1.25436,1.45687,0.29325,-8.07628,-8.07628,5.76911,-0.79888,0.58632,0.51824
"23","2016_Q2",6.13203125,"Down",-12334509,-6458331,-5876178,-11073286,-921132,-11994418,-11994418,-12047796,-12047796,-11980917,-11980917,20318411,20318411,3476177,3476177,26360689,17064900,13779706,976768,30844606,57205295,10305876,4107388,6198488,21015223,1494663,562001,12906248,33921471,396553074,-372132490,23713533,-429709,23283824,57205295,-12047796,737158,1495931,1786409,-8028298,-1044827,18355173,1096208,1096208,-5219120,5107755,5107755,5107755,-10336128,16775707,-0.51456,-0.20944,1.25436,1.45687,0.29325,-2.08798,-2.08798,4.13267,-0.28832,0.34275,0.31993
"24","2016_Q3",5.37359375,"Down",-7405824,-2917221,-4488603,-7405824,-327127,-7732951,-7732951,-7732951,-7884770,-7834716,-7834716,20318411,20318411,3476177,3476177,26360689,17064900,13779706,976768,30844606,57205295,10305876,4107388,6198488,21015223,1494663,562001,12906248,33921471,396553074,-372132490,23713533,-429709,23283824,57205295,-7452914,-484921,-21481,-1190591,-6547257,-23302,-5058470,-45496,-45496,3879247,-7726480,-7726480,-7726480,-7890745,16775707,-0.33649,-0.13696,1.25436,1.45687,0.29325,-1.32634,-1.32634,4.01445,-0.18854,0.44897,0.47837
"25","2016_Q4",3.83063492063492,"Down",-5727520,-2768927,-2958593,-5727520,-363247,-6090767,-6090767,-6090767,-7287605,-6882533,-6882533,15713199.3724996,13528837.220043,14529241.705848,2614046.00212918,30652984.2457752,3860703.22050632,24059130.9966751,1559170.6758087,27919834.2171826,58572818.4629578,7028593.393743,2670516.73258908,4358076.66139591,20052858.5514316,3878646.31672326,769063.265925075,11009138.857269,31061997.4087006,403639410.600141,-383357572.218222,19570286.0787137,7940534.97554349,27510821.0542572,58572818.4629578,-6090767,98989,1392473,-1123336,-5716676,-0.999999999883585,-612456,10600000,10600000,7236188,907056.000000004,907056.000000004,907055.999999998,-5628531,0,-0.173624949047365,-0.0643921702270998,1.56302781356673,1.14710746467647,0.195932738283633,-1.08842,-1.08842,3.1114486034576,-0.0883940480846201,0.549059346064074,0.57004775355089
"26","2017_Q1",4.61870967741935,"Up",-4034095,-658256,-3375839,-5295318,-144297,-5439615,-5439615,-5386237,-6089362,-6369565,-6369565,7076651,7076651,17433536,1900493,24648961,705438,28160043,1582209,28865481,53514442,4886013,2226580,2659433,21182893,6180992,389858,8865069,30047962,410380255,-404788809,4883909,18582571,23466480,53514442,-5666274,99040,-501925,744660,-3375451,-31330,-533543,-90318,-90318,7260,-3901734,-3901734,-3901734,-5196278,6374311,-0.27143,-0.11903,1.16363,1.28046,0.11911,-0.77446,-0.77446,0.593810000000001,-0.17683,0.13516,0.13263
"27","2017_Q2",4.71031746031746,"Up",-6432526,-2706394,-3726132,-6432526,-203323,-6635849,-6635849,-6635849,-9793324,-9359827,-9359827,11997606,11997606,3228845,3228845,18395207,16760376,13372839,655503,30133215,48528422,8639858,3578045,5061813,23212380,5974869,407241,7891876,31104256,414065199,-414148636,-790974,18215140,17424166,48528422,-6635849,98924,442999,1500656,-10087908,-69650,4828724,3241460,3241460,2551782,-2707402,-2707402,-2707402,-6333602,6124867,-0.53718,-0.19287,0.79247,1.78512,0.12621,-1.11601,-1.11601,-0.09432,-0.31703,0.92724,0.91298
"28","2017_Q3",4.04730158730159,"Down",-7710317,-3432534,-4277783,-7710317,-199656,-7909973,-7909973,-2022430,38465008,38719009,38719009,59369780,23044844,10707118,5706396,70412544,432852.999999996,1402463,1402463,1835316,72247860,13522726,1114122,12408604,14551394,3636538,3636538,3659828,18211222,430615843,-375429627,54420819,-384181,54036638,72247860,-2022430,94921,1591351,-5008903,-488492,-27402,22000591,50748,50748,-5464139,16047960,16047960,16047960,-7615396,601643,0.71653,0.53592,4.83889,0.33702,0.00832999999999999,4.33692,4.33692,6.09567,0.66442,7.71702,7.62201
"29","2017_Q4",3.34904761904762,"Down",-6129901,-2942877,-3187024,-6129901,168168,-5961733,-5961733,-3547782,-3547782,-3428440,-3428440,59449487,15077872,5922657,920008,65773702,364118,1417439,1417439,1781557,67555259,11015225,879625,10135600,11374778,3200154,3200154,3200154,14574932,433016207,-378947243,53332710,-352383,52980327,67555259,-3547783,90160,241910,-3114119,-6329832,-21426,-3793124,2400000,2400000,2157911,-7965045,-7965045,-7965045,-6039741,359553,-0.06471,-0.05075,5.78242,0.2751,0.00532,-0.37689,-0.37689,5.86286,-0.06064,9.78352,9.63962
"30","2018_Q1",4.61655737704918,"Up",-7320295,-2668275,-4652020,-7320295,130144,-7190151,-7190151,-3965088,-2895815,-3520198.00000001,-3520198.00000001,55079881,29163200,6317292,1312503,61397173,256905,1721604,1721604,1978509,63375682,9154037,1343089,7810948,9313217,3872679,3872679,3872679,13185896,433053693,-381810109,50508069,-318283,50189786,63375682,-3965087,87996,-11862893,11770334,-3969650,-16803,18234439,23054,23054,-177321,14087468,14087468,14087468,-7232299,159180,-0.0701399999999998,-0.05554,6.59248,0.26272,0.00251,-0.37194,-0.37194,5.33659,-0.06492,7.59381,7.50253
"31","2018_Q2",4.703125,"Up",-5158684,-2896444,-2262240,-5158684,174243,-4984441,-4984441,-4984441,-4984441,-4982579,-4982579,48584525,21600899,5800492,792961,54529273,178109,2009132,1434077,2187241,56716514,7865236,866840,6998396,7957284,3443609,3443609,3443609,11400893,433147168,-386792688,45588219,-272598,45315621,56716514,-4984441,87324,228754,-1630114,-6298477,-8528,-1188441,39658.9999999995,39658.9999999995,-72641,-7559559,-7559559,-7559559,-5071360,92048,-0.10995,-0.08785,6.85275,0.25159,0.00162,-0.52133,-0.52133,4.76996,-0.10199,9.56203,9.40016
"32","2018_Q3",5.46555555555556,"Up",-4269180,-2146570,-2122610,-4269180,191988,-4077192,-4077192,-4077192,-4077192,-4076371,-4076371,50322686,22725383,1228898,1228898,51551584,98123,442806,442806,540929,52092513,5804740,505665,5299075,5828029,2797933,2797933,2797933,8625962,435347657,-390869059,43739970,-273419,43466551,52092513,-4077192,82110,662371,-2552763,-5885474,-2124,1838762,589788,589788,163665,-3883047,-3883047,-3883047,-4187070,23289,-0.09378,-0.07825,8.84546,0.19845,0.00045,-0.42475,-0.42475,4.55764,-0.08807,12.01303,11.78198
"33","2018_Q4",4.6331746031746,"Down",-3762806,-2061553,-1701253,-3762806,213582,-3549224,-3549224,-3549224,-3549224,-3550196,-3550196,46149869,14374344,1102979,1102979,47252848,182603,418150,418150,600753,47853601,4892063,447219,4444844,4892063,2152258,2152258,2152258,7044321,436237140,-394419255,41081727,-272447,40809280,47853601,-3549224,38547,158675,-1407778,-4759780,-123027,-4290972,723002,723002,699713,-8351039,-8351039,-8351039,-3724259,0,-0.08699,-0.07419,9.65908,0.17262,0,-0.36426,-0.36426,4.21505,-0.08264,12.39169,12.26475
"34","2019_Q1",4.38,"Down",-3796330,-2288433,-1507897,-3796330,239187,-3557143,-3557143,-3557143,-3557143,-3557854,-3557854,43053000,10299000,1053000,1053000,44106000,165000,309000,309000,474000,44580000,5619000,762000,4857000,5619000,1507000,1507000,1507000,7126000,436443000,-397977000,37726000,-272000,37454000,44580000,-3557143,17019,808200,-310345,-3042269,-321,-1066349,33551,33551,33263,-4075355,-4075355,-4075355,-3779311,0,-0.09499,-0.07981,7.84944,0.19026,0,-0.36101,-0.36101,3.82803,-0.09132,11.39176,11.34069
"35","2019_Q2",2.96285714285714,"Down",-4592000,-2554000,-2038000,-4592000,227000,-4365000,-4365000,-4365000,-4365000,-4367000,-4367000,38370000,14424000,1276000,1276000,39646000,148000,1494000,1494000,1642000,41288000,5101000,553000,4548000,5101000,1729000,1729000,1729000,6830000,437860000,-402406000,34728000,-270000,34458000,41288000,-4365000,17000,629000,-1767000,-5486000,0,8741000,1e+06,1e+06,870000,4125000,4125000,4125000,-4575000,0,-0.12673,-0.10577,7.7722,0.19821,0,-0.43552,-0.43552,3.46345,-0.12068,8.38689,8.35584
"36","2019_Q3",2.5915625,"Down",-5346000,-2358000,-2988000,-5346000,209000,-5137000,-5137000,-5137000,-5137000,-5140000,-5140000,33655000,11754000,1163000,1163000,34818000,130000,1402000,1402000,1532000,36350000,5712000,559000,5153000,5712000,1016000,1016000,1016000,6728000,438143000,-407546000,29889000,-267000,29622000,36350000,-5137000,18000,297000,103000,-4719000,0,2011000,38000,38000,38000,-2670000,-2670000,-2670000,-5328000,0,-0.17352,-0.1414,6.09559,0.22713,5.29395592033938e-23,-0.49447,-0.49447,2.87532,-0.16777,6.31663,6.29536
"37","2019_Q4",2.39578125,"Down",-5072000,-2068000,-3004000,-5072000,175000,-4897000,-4897000,-4897000,-4897000,-4898000,-4898000,29161000,12674000,1083000,1083000,30244000,115000,1312000,1312000,1427000,31671000,5979000,844000,5135000,5979000,710000,710000,710000,6689000,438398000,-412444000,25248000,-266000,24982000,31671000,-4897000,15000,293000,132000,-4457000,0,5377000,1.16415321826935e-10,1.16415321826935e-10,-1.16415321826935e-10,920000,920000,920000,-5057000,0,-0.19606,-0.15465,5.05837,0.26775,0,-0.47028,-0.47028,2.4242,-0.19064,5.76646,5.74941
"38","2020_Q1",2.58532258064516,"Up",-5082000,-2315000,-2767000,-5082000,129000,-4953000,-4953000,-4953000,-4953000,-4956000,-4956000,25157000,14032000,815000,815000,25972000,1e+05,1081000,1081000,1181000,27153000,5976000,1490000,4486000,5976000,624000,624000,624000,6600000,438922000,-417400000,20816000,-263000,20553000,27153000,-4953000,15000,308000,410000,-4220000,1454.38839133099,5303000,275000,275000,275000,1358000,1358000,1358000,-5067000,4.44089209850063e-16,-0.24113,-0.18252,4.34605,0.32112,0,-0.47367,-0.47367,1.98949,-0.23403,4.96487,4.95022
"39","2020_Q2",1.96111111111111,"Down",-4057000,-2558000,-1499000,-4057000,71000,-3986000,-3986000,-3986000,-3986000,-3990000,-3990000,20745000,20745000,461000,461000,21206000,87000,847000,847000,934000,22140000,4620000,64000,4556000,4620000,536000,536000,536000,5156000,439341000,-421390000,17243000,-259000,16984000,22140000,-3986000,15000,586000,-856000,-4241000,-2000,11102000,2678999.87639784,2678999.87639784,-148000,6713000,6713000,6713000,-4042000,0,-0.23493,-0.18022,4.59004,0.30358,0,-0.3756,-0.3756,1.62318,-0.22774,5.13236,5.11338
"40","2020_Q3",2.108125,"Up",-4292000,-2474000,-1818000,-4292000,22000,-4270000,-4270000,6602000,6602000,6598000,6598000,34891000,26684000,1735000,1735000,36626000,83000,772000,772000,855000,37481000,3480000,592000,2888000,3480000,445000,445000,445000,3925000,449318000,-414792000,33811000,-255000,33556000,37481000,6602000,15000,315000,-2429000,4503000,-12000,-8247000,9683000,9683000,9683000,5939000,5939000,5939000,-4277000,0,0.19663,0.17604,10.52471,0.11697,0,0.50225,0.50225,2.57372,0.19405,8.15782,8.12931
"41","2020_Q4",1.5821875,"Down",-5350000,-2321000,-3029000,-5350000,25000,-5325000,-5325000,-5325000,-5325000,-5327000,-5327000,40269000,21156000,989000,989000,41258000,67000,694000,694000,761000,42019000,4181000,1105000,3076000,4181000,351000,351000,351000,4532000,458579000,-420119000,37740000,-253000,37487000,42019000,-5325000,16000,361000,1430000,-3518000,-1.81898940354586e-12,-11042000,9032000,9032000,9032000,-5528000,-5528000,-5528000,-5334000,0,-0.1421,-0.12678,9.86797,0.1209,0,-0.28658,-0.28658,2.03034,-0.14078,7.54949,7.52692
