"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2019_Q1",8.33786885245902,"Down",-15305000,-3507000,-11798000,-15305000,407000,427000,-20000,-14898000,-14898000,-14898000,-14898000,-14898000,-14898000,74513000,22461000,52052000,2158000,2158000,76671000,1018000,50000,50000,1068000,77739000,10239000,663000,9576000,10239000,72000,72000,72000,10311000,184316000,-116861000,-27000,67428000,67428000,77739000,-14898000,72000,1453000,6173000,-7200000,-203000,-1929000,-2132000,17261000,17261000,17261000,7929000,7929000,7929000,-15233000,0,-0.22095,-0.19164,7.48813,0.15292,0,-0.61991,-0.61991,2.80571,-0.22071,4.89155,4.86854
"12","2019_Q2",6.91460317460317,"Down",-17657000,-3268000,-14389000,-17657000,490000,507000,-17000,-17167000,-17167000,-17167000,-17167000,-17167000,-17167000,123715000,85645000,38070000,3103000,3103000,126818000,952000,749000,749000,1701000,128519000,11489000,3223000,8266000,11806000,52000,52000,424000,12230000,250304000,-134028000,13000,116289000,116289000,128519000,-17167000,1e+05,1118000,142000.000000001,-15807000,-118000,14054000,13936000,65061000,65061000,65055000,63184000,63184000,63184000,-17557000,372000,-0.14762,-0.13358,10.74183,0.10517,0.00289,-0.59173,-0.59173,4.00834,-0.14709,7.02529,6.9855
"13","2019_Q3",7.7909375,"Up",-18622000,-3816000,-14806000,-18622000,603000,619000,-16000,-18019000,-18019000,-18019000,-18019000,-18019000,-18019000,105541000,25430000,80111000,4394000,4394000,109935000,921000,6638000,6638000,7559000,117494000,12691000,2724000,9967000,13019000,45000,45000,4860000,17879000,251595000,-152047000,67000,99615000,99615000,117494000,-18019000,107000,1336000,193000,-16383000,-57000,-41956000,-42013000,-313000,-313000,-319000,-58715000,-58715000,-58715000,-18515000,4815000,-0.18089,-0.15336,8.4442,0.17948,0.04098,-0.54833,-0.54833,3.03136,-0.17247,5.44024,5.40898
"14","2019_Q4",7.85109375,"Up",-22146000,-4307000,-17839000,-22146000,573000,585000,-12000,-21573000,-21573000,-21573000,-21573000,-21573000,-21573000,88700000,24545000,64155000,3930000,3930000,92630000,980000,6486000,6486000,7466000,100096000,15107000,2431000,12676000,15396000,38000,38000.0000000002,4905000,20301000,253337000,-173620000,78000,79795000,79795000,100096000,-21573000,105000,1324000,2936000,-17208000,-143000,16155000,16012000,317000.000000007,317000.000000007,310999.999999993,-885000,-885000,-885000.00000003,-22041000,4867000,-0.27036,-0.21552,6.0165,0.25441,0.04862,-0.6554,-0.6554,2.42422,-0.2547,3.8035,3.78547
"15","2020_Q1",6.80290322580645,"Down",-21909000,-4343000,-17566000,-21909000,414000,432000,-18000,-21495000,-21495000,-21495000,-21495000,-21495000,-21495000,71949000,19253000,52696000,2556000,2556000,74505000,2385000,6293000,6293000,8678000,83183000,18008000,3154000,14854000,18359000,4743000,4743000,4743000,23102000,255145000,-195115000,51000,60081000,60081000,83183000,-21495000,106000,1262000,3833000,-16294000,-1174000,11500000,10326000,683000,683000,676000,-5292000,-5292000,-5292000,-21803000,0,-0.35777,-0.25841,4.05823,0.38451,0,-0.65117,-0.65117,1.82011,-0.33159,3.29996,3.28399
"16","2020_Q2",7.61809523809524,"Up",-19022000,-4460000,-14562000,-19022000,294000,3e+05,-6000,-18728000,-18728000,-18728000,-18728000,-18728000,-18728000,48992000,12594000,36398000,5273000,5273000,54265000,4244000,6272000,6272000,10516000,64781000,16845000,3618000,13227000,17138000,4838000,4838000,4838000,21976000,256782000,-213843000,-134000,42805000,42805000,64781000,-18728000,154000,1471000,-4591000,-21694000,-1389000,16142000,14753000,289000,289000,281999.999999996,-6659000,-6659000,-6659000,-18868000,-4.65661287307739e-10,-0.43752,-0.2891,3.16636,0.5134,0,-0.56584,-0.56584,1.29329,-0.39309,2.59657,2.57554
"17","2020_Q3",7.3996875,"Down",-21560000,-4691000,-16869000,-21560000,142000,161000,-19000,-21418000,-21418000,-21418000,-21418000,-21418000,-21418000,157730000,65713000,92017000,4136000,4136000,161866000,4896000,6149000,6149000,11045000,172911000,15662000,4151000,11511000,15890000,68000,68000,4763000,20653000,387480000,-235261000,39000,152258000,152258000,172911000,-21418000,222000,1729000,54000,-19413000,-1325000,-55436000,-56761000,129294000,129294000,129293000,53119000,53119000,53119000,-21338000,4695000,-0.14067,-0.12387,10.18666,0.13564,0.02715,-0.40456,-0.40456,2.87596,-0.1364,7.17195,7.0981
"18","2020_Q4",8.29078125,"Up",-18123000,-5672000,-12451000,-18123000,90000,88000,2000,-18033000,-18033000,-18033000,-18033000,-18033000,-18033000,139976000,54223000,85753000,4423000,4423000,144399000,5216000,6016000,6016000,11232000,155631000,14008000,2295000,11713000,14349000,60999.9999999995,61000,5008000,19357000,389548000,-253294000,20000,136274000,136274000,155631000,-18033000,251000,1745000,-1499000,-17536000,-566000,6350000,5784000,264000,264000,258000.000000015,-11494000,-11494000,-11490000,-17872000,4947000,-0.13233,-0.11587,10.06335,0.14204,0.03179,-0.28908,-0.28908,2.18455,-0.12764,7.55534,7.4507
"19","2021_Q1",7.67426229508197,"Down",-22776000,-7020000,-15756000,-22776000,62000,44000,18000,-22714000,-22714000,-22714000,-22714000,-22714000,-22714000,146273000,90095000,56178000,3516000,3516000,149789000,5642000,6187000,6187000,11829000,161618000,16124000,2254000,13870000,16443000,5343000,5343000,5343000,21786000,415824000,-276008000,11000,139832000,139832000,161618000,-22714000,369000,1717000,3496000,-17132000,-1e+06,29620000,28620000,24685000,24685000,24679000,36167000,36167000,36214000,-22407000,0,-0.16244,-0.14054,9.10959,0.1558,0,-0.34909,-0.34909,2.14897,-0.15646,6.528,6.42224
"20","2021_Q2",7.2684126984127,"Down",-18209000,-6354000,-11855000,-18209000,-9000,22000,-31000,-18218000,-18218000,-18218000,-18218000,-18218000,-18218000,126660000,80231000,46429000,24752000,3252000,151412000,5518000,6684000,6684000,12202000,163614000,12829000,1878000,10951000,32370000,7489000,5215000,7489000,39859000,417956000,-294226000,25000,123755000,123755000,163614000,-18218000,355000,1872000,-3539000,-19530000,-450000,9750000,9300000,366999.999999993,366999.999999993,362000.000000007,-9868000,-9868000,-9861000,-17854000,4.65661287307739e-10,-0.14721,-0.11135,4.67754,0.32208,0,-0.2777,-0.2777,1.88638,-0.13881,7.09421,6.9559
"21","2021_Q3",6.99578125,"Down",-20401000,-6822000,-13579000,-6705000,-33000,19000,-52000,-6738000,-6738000,-6830000,-6830000,-6830000,-6830000,128578000,34765000,93813000,5790000,5790000,134368000,5208000,7406000,7406000,12614000,146982000,14662000,2221000,12441000,20604000,7354000,5080000,7354000,27958000,420069000,-301056000,11000,119024000,119024000,146982000,-6830000,398000,2124000,6390000,2082000,-30000,-47329000,-47359000,36000,36000,-192000,-45469000,-45469000,-45465000,-6307000,0,-0.05738,-0.04647,6.52145,0.23489,0,-0.10411,-0.10411,1.81427,-0.05404,20.38655,19.17644
"22","2021_Q4",6.313125,"Down",-21692000,-6839000,-14853000,-20293000,12000,36000,-24000,-20281000,-20281000,-20307000,-20307000,-20307000,-20307000,112428000,24665000,87763000,5086000,5086000,117514000,4916000,6631000,6631000,11547000,129061000,15222000,1863000,13359000,20428000,6552000,4938000,6552000,26980000,423437000,-321363000,2000,102081000,102081000,129061000,-20307000,412000,2400000,495000,-1.7e+07,-93000,5869999.99999999,5777000,1251000,1251000,1143000,-10080000,-10080000,-10109000,-19881000,0,-0.19893,-0.15734,5.75259,0.2643,-2.16840434497101e-19,-0.30867,-0.30867,1.55156,-0.18693,5.65505,5.54024
"23","2022_Q1",3.35903225806452,"Down",-24086000,-7304000,-16782000,-20442000,19000,34000,-15000,-20423000,-20423000,-20446000,-20446000,-20446000,-20446000,93128000,15142000,77986000,5763000,4948000,98891000,4549000,6486000,6486000,11035000,109926000,17349000,3319000,14030000,20144000,5841000,4624000,5841000,25985000,425770000,-341809000,-20000,83941000,83941000,109926000,-20446000,411000,1465000,-698000,-19268000,0,9663000,9663000,249000,249000,80000,-9525000,-9525000,-9522000,-20031000,0,-0.24358,-0.186,4.9092,0.30956,0,-0.31078,-0.31078,1.2759,-0.22773,4.64919,4.55572
"24","2022_Q2",1.40209677419355,"Down",-25803000,-8825000,-16978000,-24441000,5000,35000,-30000,-24436000,-24436000,-24436000,-24436000,-24436000,-24436000,66725000,14637000,52088000,5871000,4859000,72596000,4234000,6340000,6340000,10574000,83170000,13772000,2981000,10791000,16298000,5215000,4475000,5215000,21513000,428055000,-366245000,-153000,61657000,61657000,83170000,-24436000,403000,2179000,-4409000,-26263000,-37000,25796000,25759000,184000,184000,12000,-492000,-492000,-515000.000000002,-24038000,-1.81898940354586e-12,-0.39632,-0.29381,4.45429,0.34891,-1.35525271560688e-20,-0.37143,-0.37143,0.93719,-0.36541,2.77581,2.73004
"25","2022_Q3",0.49390625,"Down",-23048000,-7675000,-15373000,-22423000,135000,104000,31000,-22288000,-22288000,-22323000,-22323000,-22323000,-22323000,88550000,37470000,51080000,8096000,7617000,96646000,3890000,6171000,6171000,10061000,106707000,15094000,1958000,13136000,15862000,6688000,4316000,6688000,22550000,472945000,-388568000,-220000,84157000,84157000,106707000,-22323000,378000,2675000,-1403000,-20673000,0,750000,750000,42979000,42979000,42804000,22881000,22881000,22809000,-22045000,0,-0.26525,-0.2092,6.09293,0.26795,0,-0.27154,-0.27154,1.0237,-0.24573,4.01678,3.94907
