"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","policy_charges_fees","total_realized_investment_gains","other_income","total_claims_losses","underwriting_expense_acquisition_cost","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","total_investments","cash_cash_equivalents_short_term_investments","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","short_term_debt","other_short_term_liabilities","other_long_term_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_investments","other_investing_activities","net_cash_from_investing_activities","dividends_paid","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2013_Q1",28.5418333333333,"Up",267558000,117865000,24221000,125472000,113070000,1058000,11344000,-46452000,-88721000,-63348000,69037000,-8857000,-8857000,60180000,60180000,-20406000,39774000,40271000,40271000,40271000,1956536000,112216000,1066422000,7202703000,10337877000,5456798000,374433000,254538000,2976692000,9062461000,602833000,503173000,169410000,1275416000,1275416000,10337877000,40271000,2540000,42068000,-63216000,21663000,52011000,-44066000,7945000,-5321000,-103072000,-73464000,-73464000,-143000,-73607000,71577000,374433000,0.25803,0.15051,0.03157,0.0039,7.10549,0.03622,0.70021,0.68202,4.65213,22.17613,0.09252,0.00452,0.13213,3.66343,3.79821
"12","2013_Q2",30.64296875,"Up",298450000,150300000,23216000,124934000,112273000,2286000,10375000,-68816000,-90523000,-71176000,67935000,-8795000,-8795000,59140000,59140000,-21005000,38135000,38845000,38845000,38845000,1912632000,202512000,1098124000,7220048000,10433316000,5513430000,374445000,256250000,2981338000,9125463000,609667000,535609000,162577000,1307853000,1307853000,10433316000,38845000,2424000,38772000,-15669000,64372000,50191000,-15290000,34901000,-6409000,-8562000,90711000,90711000,-415000,90296000,70359000,374445000,0.22763,0.13016,0.0297,0.00372,6.97744,0.03589,0.68633,0.66507,5.27315,23.10776,0.11324,0.00445,0.16499,2.44365,2.53085
"13","2013_Q3",35.26359375,"Up",303490000,150941000,21027000,131522000,117182000,3468000,10872000,-64322000,-91881000,-71544000,75743000,-8793000,-8793000,66950000,66950000,-23782000,43168000,43490000,43490000,43490000,1757989000,118087000,1133542000,6995807000,10005425000,5528330000,374457000,175985000,2780389000,8859161000,456595000,572714000,116955000,1146264000,1146264000,10005425000,43490000,2915000,-18993000,-39280000,-11868000,148924000,-54281000,94643000,-6385000,-166525000,-83750000,-83750000,-675000,-84425000,78658000,374457000,0.24957,0.1433,0.03794,0.00435,7.72873,0.03743,0.76963,0.75181,5.37074,20.28499,0.11299,0.00507,0.14682,3.2593,3.38474
"14","2013_Q4",37.87328125,"Up",310408000,159558000,22102000,128748000,118440000,-407000,10715000,-76547000,-94512000,-67850000,71499000,-8726000,-8726000,62773000,62773000,-22041000,40732000,43190000,43190000,43190000,1762092000,147468000,1179143000,7110977000,10199680000,5609694000,374469000,177560000,2842452000,9004175000,465330000,609778000,120397000,1195505000,1195505000,10199680000,43190000,2807000,44400000,-52344000,38053000,8609999.99999997,-12977000,-4367000,-6126000,-4865000,28821000,28821000,560000,29381000,74306000,374469000,0.23034,0.13914,0.03613,0.00423,7.53169,0.03671,0.78597,0.78594,5.64881,21.75584,0.11148,0.00492,0.14184,3.05495,3.17488
"15","2014_Q1",39.8006557377049,"Up",316650000,160234000,22407000,134009000,123913000,899000,9197000,-70246000,-101034000,-80523000,64847000,-8704000,-8704000,56143000,56143000,-19477000,36666000,37200000,37200000,37200000,1835403000,149189000,1208466000,7136892000,10329950000,5656186000,374481000,195737000,2881519000,9107923000,473181000,640840000,108006000,1222027000,1222027000,10329950000,37200000,2657000,26167000,31111000,97135000,-98348000,8655000,-89693000,-6138000,-4988000,2454000,2454000,-938000,1516000,67504000,374481000,0.20479,0.11748,0.03044,0.0036,7.45313,0.03625,0.67295,0.67278,5.72822,22.10653,0.11104,0.00428,0.165,3.33746,3.47421
"16","2014_Q2",41.2201587301587,"Up",324328000,165490000,21599000,137239000,126933000,263000,10043000,-75191000,-104397000,-69302000,75438000,-8606000,-8606000,66832000,66832000,-23347000,43485000,45080000,45080000,45080000,1856172000,158438000,1242983000,7130531000,10388124000,5688494000,374494000,2.37e+08,2834603000,9134591000,463384000,679182000,110967000,1253533000,1253533000,10388124000,45080000,2884000,31988000,-42212000,37740000,-24978000,20751000,-4226999.99999999,-6738000,-22971000,10542000,10542000,-1293000,9249000,78322000,374494000,0.2326,0.139,0.03596,0.00434,7.28708,0.03605,0.8165,0.81618,5.87434,22.70441,0.12204,0.0051,0.14947,2.75856,2.86402
"17","2014_Q3",43.50328125,"Up",331130000,166194000,21681000,143255000,132037000,831000,10387000,-72413000,-103942000,-70481000,84294000,-8553000,-8553000,75741000,75741000,-26469000,49272000,49272000,49272000,49272000,1892213000,150621000,1293974000,7256741000,10593549000,5756749000,374506000,231366000,2928197000,9290818000,448491000,721788000,132452000,1302731000,1302731000,10593549000,49272000,2833000,13311000,-32702000,32714000,5033000,-18211000,-13178000,-6666000,-28203000,-8667000,-8667000,850000,-7817000,87127000,374506000,0.25456,0.1488,0.03782,0.00465,7.1318,0.03535,0.89685,0.89649,6.02723,23.71232,0.12133,0.0054,0.13529,2.56964,2.656
"18","2014_Q4",45.9978125,"Up",338103000,175284000,20465000,142354000,132928000,-281000,9707000,-81235000,-108489000,-75648000,72731000,-8711000,-8711000,64020000,64020000,-22408000,41612000,41595000,41595000,41595000,2064590000,164999000,1321415000,7191650000,10742654000,5845127000,374519000,393508000,2835018000,9448172000,429794000,756738000,107950000,1294482000,1294482000,10742654000,41595000,2894000,70535000,-53998000,61026000,18245000,-27807000,-9562000,-6645000,-36941000,14523000,14523000,-1461000,13062000,75625000,374519000,0.21511,0.12302,0.03213,0.00387,7.29881,0.03486,0.7603,0.75986,6.18003,23.66123,0.12146,0.00466,0.15975,2.77051,2.88075
"19","2015_Q1",47.0003278688525,"Up",343535000,177547000,22728000,143260000,135268000,-1074000,9066000,-82578000,-111678000,-71450000,77829000,-8700000,-8700000,69129000,69129000,-23664000,45465000,45465000,45465000,45465000,2068316000,191997000,1351180000,7126102000,10737595000,5856327000,374532000,410678000,2850932000,9492469000,353859000,795740000,95527000,1245126000,1245126000,10737595000,45465000,3655000,35194000,21538000,105852000,30180000,-18858000,11322000,-6463000,-87768000,29406000,29406000,-885000,28521000,81484000,374532000,0.22655,0.13234,0.03651,0.00423,7.6237,0.03488,0.85126,0.85048,6.43216,23.31304,0.12101,0.00503,0.14215,2.24013,2.34533
"20","2015_Q2",42.3961904761905,"Down",344846000,179918000,21173000,143755000,132835000,1284000,9636000,-82500000,-107860000,-79001000,75485000,-8676000,-8676000,66809000,66809000,-23408000,43401000,43401000,43401000,43401000,2114768000,180207000,1377022000,7052217000,10724214000,5891307000,374545000,451307000,2767634000,9484793000,324512000,830624000,84285000,1239421000,1239421000,10724214000,43401000,2633000,34248000,-16944000,63338000,-30384000,3776000,-26608000,-8517000,-49715000,-12985000,-12985000,-2388000,-15373000,78118000,374545000,0.21889,0.12586,0.03502,0.00405,7.6526,0.03493,0.82444,0.82369,6.55065,23.54389,0.16179,0.00505,0.19624,2.48775,2.57452
"21","2015_Q3",39.87546875,"Down",350517000,181394000,19076000,150047000,139150000,597000,10300000,-82521000,-112025000,-70505000,85466000,-8640000,-8640000,76826000,76826000,-27654000,49172000,49172000,49172000,49172000,2139743000,153933000,1430508000,7056997000,10781181000,5968569000,374558000,548111000,2692317000,9583555000,260438000,871440000,65748000,1197626000,1197626000,10781181000,49172000,2740000,37705000,-69101000,20516000,28505000,4955000,33460000,-8356000,-78551000,-24575000,-24575000,-87000,-24662000,88206000,374558000,0.24383,0.14028,0.04106,0.00456,8.00213,0.03474,0.94961,0.94914,6.76922,23.12868,0.16137,0.00562,0.16993,2.50125,2.58144
"22","2015_Q4",44.6828125,"Up",355389000,193895000,18715000,142779000,132368000,-258000,10669000,-88600000,-112818000,-70298000,83673000,-8720000,-8720000,74953000,74953000,-25602000,49351000,49351000,49351000,49351000,2120079000,160561000,1465175000,6817050000,10562865000,5963306000,374572000,591535000,2486771000,9416184000,195800000,912749000,38132000,1146681000,1146681000,10562865000,49351000,2828000,7529000,-2569999.99999999,57138000,14138000,18354000,32492000,-8042000,-79111000,10519000,10519000,-1920000,8599000,86501000,374572000,0.23544,0.13886,0.04304,0.00467,8.21169,0.03546,0.98588,0.98544,7.09954,22.90705,0.16065,0.00576,0.16296,2.47409,2.55771
"23","2016_Q1",39.6203278688525,"Down",353447000,195017000,17545000,140885000,132793000,-3361000,11453000,-85694000,-116257000,-71632000,79864000,-7471000,-7471000,72393000,72393000,-24446000,47947000,47947000,47947000,47947000,2178503000,152294000,1500259000,6779727000,10610783000,6035772000,372552000,584031000,2472656000,9465011000,180733000,952804000,12235000,1145772000,1145772000,10610783000,47947000,2797000,54502000,18013000,123259000,-84596000,-13213000,-97809000,-7892000,-33053000,-7603000,-7603000,-664000,-8267000,82661000,372552000,0.22596,0.13566,0.04185,0.00452,8.26082,0.03511,0.97767,0.97703,7.20703,23.36308,0.16092,0.00557,0.1646,2.66459,2.75791
"24","2016_Q2",47.7884375,"Up",362600000,201797000,21238000,139565000,128821000,-783000,11527000,-90977000,-113919000,-80319000,77385000,-7173000,-7173000,70212000,70212000,-25036000,45176000,45176000,45176000,45176000,2197564000,175717000,1559833000,7079674000,11012788000,6115891000,372643000,668919000,2682577000,9840030000,138328000,989685000,44745000,1172758000,1172758000,11012788000,45176000,3139000,47132000,-60127000,35320000,39827000,8140000,47967000,-8295000,-61278000,22009000,22009000,1414000,23423000,80524000,372643000,0.21342,0.12459,0.03852,0.0041,8.3905,0.03384,0.9305,0.93004,7.46859,24.15567,0.17085,0.00517,0.18362,2.44556,2.54476
"25","2016_Q3",51.01796875,"Up",378993000,205505000,20389000,153099000,136902000,3440000,12757000,-88984000,-113338000,-77614000,99057000,-7177000,-7177000,91880000,91880000,-32554000,59326000,59326000,59326000,59326000,2245643000,213091000,1619236000,7126638000,11204608000,6168608000,372735000,722119000,2733680000,9997142000,103291000,1040860000,63315000,1207466000,1207466000,11204608000,59326000,3969000,12392000,-5658000,70029000,15430000,1600000,17030000,-8151000,-49483000,37576000,37576000,-202000,37374000,103026000,372735000,0.26137,0.15654,0.04913,0.00529,8.27944,0.03327,1.24483,1.24352,7.95235,25.33606,0.17103,0.00644,0.13739,1.54955,1.61164
"26","2016_Q4",58.9001587301587,"Up",383628000,216912000,19399000,147317000,134282000,-34000,13069000,-93022000,-116837000,-78146000,95623000,-7184000,-7184000,88439000,88439000,-30401000,58038000,58038000,58038000,58038000,2305773000,195323000,1672454000,7195133000,11368683000,6225982000,372827000,764544000,2784437000,10147790000,66970000,1090388000,63535000,1220893000,1220893000,11368683000,58038000,3771000,25920000,-26506000,61223000,-32471000,3211000,-29260000,-8510000,-49522000,-17559000,-17559000,-209000,-17768000,99394000,372827000,0.24926,0.15129,0.04754,0.00511,8.31178,0.03279,1.23485,1.23372,8.1623,25.97645,0.18106,0.00628,0.14663,1.78586,1.85629
"27","2017_Q1",72.3954838709677,"Up",393863000,219495000,17999000,156369000,141681000,1465000,13223000,-94672000,-127086000,-77884000,94221000,-7157000,-7157000,87064000,87064000,-30190000,56874000,56874000,56874000,56874000,2378861000,211976000,1713065000,7135041000,11438943000,6305591000,372919000,801143000,2737916000,10217569000,52925000,1138851000,29598000,1221374000,1221374000,11438943000,56874000,3716000,54639000,12626000,127855000,-59204000,-24456000,-83660000,-8411000,-27111000,17084000,17084000,-431000,16653000,97937000,372919000,0.23922,0.1444,0.04657,0.00497,8.36563,0.0326,1.22478,1.22344,8.48185,26.30231,0.18113,0.00614,0.14789,1.64333,1.70814
"28","2017_Q2",73.0320634920635,"Up",405164000,227929000,19894000,157341000,144268000,134000,12939000,-102385000,-130453000,-90357000,81969000,-7127000,-7127000,74842000,74842000,-22772000,52070000,52070000,52070000,52070000,2459531000,185762000,1767681000,7257023000,11669997000,6378954000,373011000,865480000,2806054000,10423499000,29061000,1182039000,35398000,1246498000,1246498000,11669997000,52070000,3409000,39382000,-42314000,52547000,-50287000,16546000,-33741000,-8882000,-45235000,-26429000,-26429000,215000,-26214000,85378000,373011000,0.20231,0.12852,0.04177,0.00446,8.36223,0.03196,1.1246,1.12283,8.75065,26.92162,0.19183,0.00564,0.17058,2.19318,2.28439
"29","2017_Q3",72.8698412698413,"Down",413696000,231384000,19742000,162570000,148316000,104000,14150000,-99512000,-128458000,-82195000,103531000,-7143000,-7143000,96388000,96388000,-33282000,63106000,63106000,63106000,63106000,2620466000,154499000,1833877000,7336456000,11945298000,6457660000,373103000,992169000,2853113000,10676045000,450000,1224375000,44428000,1269253000,1269253000,11945298000,63106000,3585000,11807000,-11175000,67323000,-64430000,19489000,-44941000,-8798000,-53984000,-31602000,-31602000,339000,-31263000,107116000,373103000,0.25026,0.15254,0.04972,0.00528,8.41128,0.03123,1.37238,1.36979,8.99672,27.60266,0.19133,0.00656,0.13942,2.04082,2.11148
"30","2017_Q4",89.1130158730159,"Up",427301000,248438000,19922000,158941000,144627000,22000,14292000,-105864000,-130997000,-83164000,107276000,-7074000,-7074000,100202000,100202000,-33565000,66637000,66637000,66637000,66637000,2668935000,177418000,1900122000,7460364000,12206839000,6551317000,373196000,1050910000,2950886000,10926309000,444000.000000002,1228546000,51540000,1280530000,1280530000,12206839000,66637000,3329000,35210000,-15247000,89929000,10110000,-10668000,-557999.999999993,-9122000,-67038000,22333000,22333000,586000,22919000,110605000,373196000,0.25105,0.15595,0.05204,0.00546,8.53265,0.03057,1.47076,1.46787,9.43103,28.26278,0.20133,0.00679,0.13689,1.77006,1.82499
"31","2018_Q1",94.1467213114754,"Up",442941000,253587000,19459000,169895000,154106000,1079000,14710000,-108258000,-138587000,-80864000,115232000,-7144000,-7144000,108088000,108088000,60354000,168442000,168442000,168442000,168442000,2745143000,279962000,1951892000,7483706000,12460703000,6640409000,373288000,1003635000,3024270000,11041602000,443000,1375090000,43568000,1419101000,1419101000,12460703000,168442000,3228000,-37242000,47317000,181745000,-36082000,-15979000,-52061000,-9019000,-27204000,102480000,102480000,64000,102544000,118460000,373288000,0.26015,0.38028,0.1187,0.01352,7.7807,0.02996,3.75987,3.75024,9.88708,31.67636,0.20132,0.01549,0.05354,0.78783,0.8099
"32","2018_Q2",91.96796875,"Down",459923000,261838000,19017000,179068000,166827000,-1656000,13897000,-116890000,-148561000,-104336000,90136000,-7173000,-7173000,82963000,82963000,-17248000,65715000,65715000,65715000,65715000,2860377000,190585000,1998985000,7442792000,12492739000,6697324000,373381000,1069291000,2926242000,11066238000,440000,1416564000,9497000,1426501000,1426501000,12492739000,65715000,3044000,37271000,-61696000,44334000,-67587000,-2433000,-70020000,-11278000,-62842000,-88528000,-88528000,-849000,-89377000,93180000,373381000,0.19598,0.14288,0.04607,0.00526,7.75761,0.02989,1.46882,1.46505,10.27991,31.88424,0.25208,0.00674,0.17162,1.96175,2.028
"33","2018_Q3",109.210476190476,"Up",467814000,263742000,20030000,184042000,167940000,1312000,14790000,-105070000,-143217000,-98535000,120992000,-7228000,-7228000,113764000,113764000,-27065000,86699000,86699000,86699000,86699000,2923575000,159280000,2053445000,7360341000,12496641000,6731025000,373474000,1107309000,2884249000,11096057000,432000,1409104000,-8952000,1400584000,1400584000,12496641000,86699000,2950000,-14193000,40459000,115915000,-36846000,-11411000,-48257000,-11086000,-98535000,-30877000,-30877000,-428000,-31305000,123942000,373474000,0.25863,0.18533,0.0619,0.00694,7.92245,0.02989,1.96766,1.96138,10.61718,31.78666,0.2516,0.00859,0.12787,1.72818,1.77032
"34","2018_Q4",104.959841269841,"Down",484781000,279046000,20622000,185113000,170879000,-126000.000000001,14360000,-118787000,-150708000,-96637000,118649000,-7216000,-7216000,111433000,111433000,-26297000,85136000,85136000,85136000,85136000,2988934000,225378000,2107814000,7385403000,12707529000,6814875000,373567000,1144011000,2931620000,11264073000,430000,1452841000,-9815000,1443456000,1443456000,12707529000,85136000,3128000,28245000,8522000,125031000,2477000,-16323000,-13846000,-10917000,-45428000,65757000,65757000,341000,66098000,121777000,373567000,0.24475,0.17562,0.05898,0.0067,7.80354,0.0294,1.95981,1.95365,11.15953,33.22796,0.25131,0.00831,0.12823,1.21689,1.24897
"35","2019_Q1",109.01131147541,"Up",487325000,281314000,21761000,184250000,171961000,-1651000,13940000,-116836000,-157118000,-98255000,115116000,-7192000,-7192000,107924000,107924000,-21380000,86544000,86544000,86544000,86544000,3130986000,262138000,2133920000,7068004000,12595048000,6868250000,373661000,1209351000,2682273000,11133535000,427000,1489520000,-28434000,1461513000,1461513000,12595048000,86544000,3295000,82224000,20724000,192787000,-80104000,-20574000,-100678000,-10859000,-54192000,37917000,37917000,-1157000,36760000,118411000,373661000,0.23622,0.17759,0.05922,0.00687,7.61781,0.02967,2.00459,1.99852,11.28773,33.85248,0.25152,0.00855,0.12547,0.94183,0.96879
"36","2019_Q2",117.469682539683,"Up",494987000,287491000,24111000,183385000,167315000,2847000,13223000,-122284000,-154046000,-109109000,109548000,-7180000,-7180000,102368000,102368000,-23203000,79165000,79165000,79165000,79165000,3228229000,279626000,2181741000,7387033000,13076629000,6943987000,373755000,1306515000,2930986000,11555243000,424000,1506943000,14019000,1521386000,1521386000,13076629000,79165000,4156000,39390000,-56290000,66421000,19520000,5758000,25278000,-14628000,-74987000,16712000,16712000,776000,17488000,113704000,373755000,0.22131,0.15993,0.05203,0.00605,7.59521,0.02858,1.84861,1.84353,11.55864,35.52648,0.34158,0.00797,0.18478,0.82784,0.85925
"37","2019_Q3",114.84421875,"Down",504903000,286674000,24869000,193360000,178468000,1067000,13825000,-115068000,-154689000,-100485000,134661000,-7201000,-7201000,127460000,127460000,-30014000,97446000,97446000,97446000,97446000,3399849000,244975000,2238315000,7434567000,13317706000,7031668000,373848000,1337285000,2988980000,11731781000,420000,1537535000,47970000,1585925000,1585925000,13317706000,97446000,4334000,18564000,-1680000,118664000,-51684000,-30356000,-82040000,-14517000,-71706000,-35082000,-35082000,431000,-34651000,138995000,373848000,0.26671,0.193,0.06144,0.00732,7.39744,0.02807,2.29382,2.2865,11.8851,37.33169,0.34172,0.00935,0.14897,0.92718,0.95702
"38","2019_Q4",123.20875,"Up",520655000,303277000,22675000,194703000,179719000,286000,14698000,-128684000,-159925000,-99699000,132347000,-7208000,-7208000,125139000,125139000,-28916000,96223000,96223000,96223000,96223000,3520189000,237746000,2281560000,7412239000,13451734000,7089257000,373942000,1386979000,2993745000,11843923000,415000,1553285000,54111000,1607811000,1607811000,13451734000,96223000,4795000,17869000,17359000,136246000,-49978000,-8019000,-57997000,-14323000,-85072000,-6823000,-6823000,-406000,-7229000.00000001,137142000,373942000,0.25419,0.18481,0.05985,0.00715,7.36649,0.0278,2.29354,2.28612,12.41014,38.32319,0.3414,0.00916,0.14885,0.9931,1.02908
