"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",39.9709677419355,"Up",149461000,-62968000,86493000,-59263000,-24495000,-34768000,27230000,-152000,-234000,-234000,82000,27078000,27078000,-17054000,10024000,10024000,10024000,10024000,274078000,125505000,148573000,75749000,75749000,42523000,52605000,36735000,444955000,136321000,262349000,130069000,37669000,410088000,855043000,80256000,35476000,30903000,30903000,116159000,9.5e+07,117663000,233822000,4000,622098000,-881000,621221000,621221000,855043000,10024000,3498000,8969000,20569000,43060000,-94625000,-94625000,-174899000,-14754000,113000,20000,83591000,-48248000,-48248000,-48248000,30728000,1e+08,-26274000,0.5787,0.18219,0.06707,0.01614,0.01172,-2.62111,3.83057,0.37639,0.11695,0.24024,0.23581,3.58205,14.88846,-0.62969,5,0.01348,-0.03532,-5.66513,-6.39288
"12","2013_Q1",42.2263333333333,"Up",152461000,-58835000,93626000,-68324000,-32315000,-36009000,25302000,-938000,-850000,-850000,-88000,24364000,24364000,-5669000,18695000,18695000,18695000,18695000,281991000,105426000,176565000,78023000,78023000,49579000,58089000,41437000,467682000,135271000,257644000,130265000,36629000,404284000,871966000,71119000,29622000,30259000,30259000,106378000,9.5e+07,115615000,221993000,10126000,640793000,-946000,649973000,649973000,871966000,18695000,3374000,11644000,-20982000,12731000,-2323000,-2323000,-32768000,1134000,12113000,-1176000,-41999.9999999851,-20079000,-20079000,-20079000,28676000,1e+08,11040000,0.6141,0.16596,0.12262,0.02876,0.02144,0.59053,4.39642,0.34154,0.11468,0.44825,0.43843,3.65553,15.58427,0.2647,6,0.02426,0.01433,-6.34646,-7.19275
"13","2013_Q2",41.285625,"Down",145375000,-58003000,87372000,-66735000,-29153000,-37582000,20637000,-559000,-842000,-842000,283000,20078000,20078000,-44000,20034000,20034000,20034000,20034000,309071000,79263000,229808000,72766000,72766000,56949000,63925000,48514000,502711000,135761000,246972000,130265000,28797000,393922000,896633000,69143000,31279000,29661000,29661000,103804000,92500000,111919000,215723000,20958000,660827000,-875000,680910000,680910000,896633000,20034000,3297000,16041000,-9864000,29508000,-3898000,-3898000,-58303000,4915000,4915000,217000,2632000,-26163000,-26163000,-26163000,23934000,97500000,10216000,0.60101,0.14196,0.13781,0.02942,0.02234,0.50993,4.84289,0.31682,0.10874,0.4749,0.46472,3.44605,16.14066,0.24217,7,0.02511,0.0128,-8.83977,-10.25202
"14","2013_Q3",41.3515625,"Up",141543000,-52770000,88773000,-69744000,-32357000,-37387000,19029000,-565000,-831000,-831000,266000,18464000,18464000,-5852000,12612000,12612000,12612000,12612000,344891000,193468000,151423000,68635000,68635000,50659000,62743000,46356000,526928000,135006000,240890000,130265000,25510000,386093000,913021000,62890000,25952000,30552000,30552000,98442000,91250000,109228000,207670000,32841000,673439000,-929000,705351000,705351000,913021000,12612000,3337000,11823000,8817000,36589000,-2600000,-2600000,74243000,4597000,4597000,26000,3373000,114205000,114205000,114205000,22366000,96250000,34435000,0.62718,0.13444,0.0891,0.01788,0.01381,2.73034,5.35267,0.29442,0.10542,0.29638,0.29146,3.3262,16.57543,0.80921,6,0.01539,0.04202,-11.11692,-13.06642
"15","2013_Q4",40.95703125,"Down",146933000,-58772000,88161000,-77671000,-37009000,-40662000,10490000,-707000,-813000,-813000,106000,9783000,9783000,-3252000,6531000,6531000,6531000,6531000,270396000,116539000,153857000,68499000,68499000,44817000,68453000,51097000,452165000,134398000,402493000,227289000,39150000,547562000,999727000,68981000,24885000,29876000,29876000,103857000,91250000,161592000,265449000,55089000,679970000,-781000,734278000,734278000,999727000,6531000,3416000,11376000,7774000,29097000,-2486000,-2486000,-92245000,-5388000,2388000,41000,-13781000,-76929000,-76929000,-76929000,13906000,96250000,22446000,0.60001,0.07139,0.04445,0.00889,0.00653,3.43684,4.35373,0.36151,0.09628,0.15298,0.14867,3.44178,17.19983,0.52578,6,0.00725,0.02492,-12.52308,-16.60114
"16","2014_Q1",48.3062295081967,"Up",146236000,-57638000,88598000,-74444000,-32276000,-42168000,14154000,-452000,-807000,-807000,355000,13702000,13702000,-3060000,10642000,10642000,10642000,10642000,275393000,95800000,179593000,72124000,72124000,45271000,66529000,47651000,459317000,132445000,388756000,228781000,28382000,531833000,991150000,70794000,22126000,30853000,30853000,109147000,87500000,143441000,252588000,48634000,690612000,-684000,738562000,738562000,991150000,10642000,3441000,9894000,979000.000000002,24956000,-1488000,-1488000,-29606000,-14845000,3401000,6000.00000000003,-16089000,-20739000,-20739000,-20739000,17595000,9.5e+07,20146000,0.60586,0.09679,0.07277,0.01441,0.01074,1.89307,4.20824,0.342,0.09585,0.24504,0.24276,3.36724,17.00619,0.46388,4,0.01196,0.02265,-10.25251,-12.74502
"17","2014_Q2",47.5726984126984,"Down",145691000,-58586000,87105000,-77096000,-34611000,-42485000,10009000,-429000,-798000,-798000,369000,9580000,9580000,-1470000,8110000,8110000,8110000,8110000,323088000,128323000,194765000,64672000,64672000,44334000,55417000,40214000,487511000,130829000,380716000,228781000,23482000,522542000,1010053000,91782000,22707000,32589000,32589000,133121000,8.5e+07,115737000,248858000,62887000,698722000,-414000,761195000,761195000,1010053000,8110000,3290000,20362000,15190000,46952000,-1673000,-1673000,-18910000,5496000,5496000,235000,4481000,32523000,32523000,32523000,13299000,93750000,28286000,0.59787,0.0687,0.05567,0.01065,0.00803,3.48779,3.66216,0.32693,0.09282,0.18825,0.18408,3.38179,17.66893,0.65658,4,0.00916,0.03194,-17.24476,-22.91318
"18","2014_Q3",43.993125,"Down",154918000,-56255000,98663000,-77861000,-36017000,-41844000,20802000,-586000,-780000,-780000,194000,20216000,20216000,-5937000,14279000,14279000,14279000,14279000,328935000,93290000,235645000,69042000,69042000,45557000,65443000,47785000,508977000,129357000,375138000,228781000,22251000,515488000,1024465000,91313000,24745000,33437000,33437000,134750000,82500000,112110000,246860000,65203000,713001000,-599000,777605000,777605000,1024465000,14279000,3137000,11489000,-12439000,16466000,-1666000,-1666000,-43096000,-7507000,3447000,354000,-8403000,-35033000,-35033000,-35033000,23939000,92500000,15771000,0.63687,0.13428,0.09217,0.01836,0.01394,1.10449,3.77719,0.31746,0.09029,0.32855,0.32292,3.56453,17.89202,0.36288,6,0.01587,0.01753,-9.87656,-11.36597
"19","2014_Q4",44.1265625,"Up",158144000,-62033000,96111000,-86507000,-43990000,-42517000,9604000,-495000,-768000,-768000,273000,9109000,9109000,-3501000,5608000,5608000,5608000,5608000,328678000,111705000,216973000,71355000,71355000,47015000,57820000,39756000,504868000,128433000,370111000,228781000,21476000,510049000,1014917000,104412000,28361000,37068000,37068000,152730000,8e+07,112217000,264947000,31471000,718609000,-110000,749970000,749970000,1014917000,5608000,3085000,13065000,22411000,44169000,-2161000,-2161000,15803000,-40372000,-384000,65000,-41557000,18415000,18415000,18415000,12689000,91250000,36440000,0.60774,0.06073,0.03546,0.00748,0.00553,6.49786,3.30562,0.35328,0.08991,0.13008,0.12799,3.66821,17.39585,0.84524,6,0.00642,0.04172,-18.71132,-24.72178
"20","2015_Q1",48.536393442623,"Up",161951000,-65279000,96672000,-85666000,-39527000,-46139000,11006000,-871000,-808000,-808000,-63000,10135000,10135000,-111000,10024000,10024000,10024000,10024000,335195000,141706000,193489000,70367000,70367000,52631000,70344000,49171000,528537000,132820000,373785000,228781000,29983000,514024000,1042561000,114652000,38922000,38662000,38662000,163314000,77500000,121191000,284505000,29505000,728633000,-82000,758056000,758056000,1042561000,10024000,3049000,14985000,1798000,29856000,-5725000,-5725000,19890000,-6351000,14383000,-9644000,-19745000,30001000,30001000,30001000,14055000,87500000,10239000,0.59692,0.06796,0.0619,0.01322,0.00961,1.02145,3.23632,0.37531,0.08393,0.23739,0.23267,3.83534,17.95235,0.24248,6,0.01127,0.01151,-17.62327,-22.50545
"21","2015_Q2",53.4753968253968,"Up",163705000,-67336000,96369000,-89157000,-42300000,-46857000,7212000,-145000,-745000,-745000,6e+05,7067000,7067000,-689000,6378000,6378000,6378000,6378000,261505000,112710000,148795000,66563000,66563000,61078000,68665000,51301000,457811000,131313000,424701000,264687000,24965000,563415000,1021226000,86026000,39295000,38796000,38796000,134822000,77150000,122967000,257789000,28837000,735011000,-411000,763437000,763437000,1021226000,6378000,2987000,23872000,-9149000,24088000,-1991000,-1991000,-35123000,-12699000,-2561000,-2679000,-17961000,-28996000,-28996000,-28996000,10199000,87150000,-252000,0.58867,0.04405,0.03896,0.00835,0.00625,-0.03951,3.39567,0.33767,0.08534,0.15038,0.14781,3.85987,18.0005,-0.00594,6,0.00712,-0.00028,-17.0953,-24.17568
"22","2015_Q3",45.64625,"Down",164856000,-67428000,97428000,-88425000,-40960000,-47465000,9003000,-472000,-728000,-728000,256000,8531000,8531000,-956000,7575000,7575000,7575000,7575000,272607000,125051000,147556000,71403000,71403000,60746000,76840000,59025000,481596000,130994000,416162000,263925000,24041000,554335000,1035931000,84822000,34553000,38573000,38573000,133395000,74562000,116323000,249718000,44156000,742586000,-529000,786213000,786213000,1035931000,7575000,3042000,17018000,-14520000,13115000,-2723000,-2723000,-2510000,14748000,15028000,-10512000,1736000,12341000,12341000,12341000,12045000,84562000,-4242000,0.59099,0.05461,0.04595,0.00963,0.00731,-0.56,3.6103,0.31762,0.08163,0.1769,0.17429,3.8498,18.36003,-0.09906,6,0.0083,-0.00465,-15.61187,-20.88693
"23","2015_Q4",49.4525,"Up",156194000,-62759000,93435000,-82212000,-35729000,-46483000,11223000,-781000,-687000,-687000,-94000,10442000,10442000,-467000,9975000,9975000,9975000,9975000,248310000,135640000,112670000,61030000,61030000,51957000,68058000,48903000,429355000,130283000,411173000,263925000,26040000,548696000,978051000,81460000,30306000,37881000,37881000,129341000,7e+07,107234000,236575000,4000,742091000,-619000,741476000,741476000,978051000,9975000,3264000,12774000,24199000,50212000,-2567000,-2567000,28991000,-60922000,108000,-1807000,-68614000,10589000,10589000,10589000,14487000,8e+07,36586000,0.5982,0.07185,0.06386,0.01345,0.0102,3.66777,3.31956,0.31906,0.0818,0.23564,0.23309,3.68974,17.51573,0.86426,7,0.01162,0.04261,-11.618,-14.99688
"24","2016_Q1",43.0173770491803,"Down",160071000,-66533000,93538000,-88742000,-41497000,-47245000,4796000,-573000,-668000,-668000,95000.0000000001,4223000,4223000,1435000,5658000,5658000,5658000,5658000,242986000,114085000,128901000,73601000,73601000,53895000,52658000,52658000,423140000,131132000,450065000,272722000,55989000,588323000,1011463000,96873000,42127000,35448000,35448000,142321000,67500000,108028000,250349000,13872000,747749000,-507000,761114000,761114000,1011463000,5658000,3224000,14094000,-4944000,18032000,-3987000,-3987000,-40672000,4423000.00000001,4423000,-838000,1085000,-21555000,-21555000,-21555000,8020000,77500000,-2345999.99999999,0.58435,0.02996,0.03535,0.00743,0.00559,-0.41463,2.97314,0.32892,0.07662,0.13578,0.13352,3.8414,18.26527,-0.0562999999999998,5,0.00644,-0.00266999999999998,-20.63416,-34.505
"25","2016_Q2",47.186875,"Up",162025000,-66494000,95531000,-88683000,-39637000,-49046000,6848000,-775000,-655000,-655000,-120000,6073000,6073000,-265000,5808000,5808000,5808000,5808000,253514000,126690000,126824000,74591000,74591000,48923000,44222000,44222000,421250000,130099000,440088000,272722000,53566000,577032000,998282000,104054000,42579000,41042000,41042000,155096000,6.5e+07,93739000,248835000,4000,750256000,-813000,749447000,749447000,998282000,5808000,3310000,17255000,16036000,42409000,-2303000,-2303000,-1303000,-18484000,10262887.0004112,-7517000,-28501000,12605000,12605000,12605000,10158000,7.5e+07,24156000,0.58961,0.04227,0.03585,0.00775,0.00582,4.15909,2.71606,0.33202,0.07513,0.13952,0.13763,3.89212,18.003,0.58027,6,0.00681,0.02831,-17.57373,-26.06805
"26","2016_Q3",54.0075,"Up",174908000,-66614000,108294000,-90680000,-39045000,-51635000,17614000,-345000,-641000,-641000,296000,17269000,17269000,-1710000,15559000,15559000,15559000,15559000,243660000,101334000,142326000,71990000,71990000,56388000,53326000,53326000,425364000,130498000,429805000,272722000,50837000,567224000,992588000,91723000,41152000,39257000,39257000,140980000,62500000,90459000,231439000,4000,761872000,-727000,761149000,761149000,992588000,15559000,3365000,18739000,-19641000,18022000,-2843000,-2843000,-19330000,-10257000,7362000,-11291000,-24048000,-25356000,-25356000,-25356000,20979000,72500000,205000.000000007,0.61915,0.1007,0.08896,0.02044,0.01568,0.013180000000002,3.01719,0.30407,0.07304,0.37245,0.36796,4.18691,18.2202,0.00490999999999997,8,0.01806,0.000239999999999994,-8.15863,-9.71727
"27","2016_Q4",62.9303174603175,"Up",178083000,-69880000,108203000,-86471000,-38034000,-48437000,21732000,-370000,-643000,-643000,273000,21362000,21362000,-1344000,20018000,20018000,20018000,20018000,279334000,148195000,131139000,84923000,84923000,55051000,49087000,49087000,468395000,130318000,424523000,272722000,51481000,561821000,1030216000,96790000,39591000,47057000,47057000,143847000,72500000,98740000,242587000,6348000,781890000,-609000,787629000,787629000,1030216000,20018000,3237000,12453000,10480000,46188000,-3399000,-3399000,4864000,-3351000,1089000,-840000,-4191000,46861000,46861000,46861000,24969000,72500000,33394000,0.6076,0.12203,0.11241,0.02542,0.01943,1.6682,3.2562,0.308,0.07037,0.48103,0.47318,4.2793,18.92656,0.80245,8,0.02258,0.03768,-8.28363,-9.51749
"28","2017_Q1",69.9516129032258,"Up",182610000,-73134000,109476000,-89393000,-38767000,-50626000,20083000,-291000,-648000,-648000,357000,19792000,19792000,317000,20109000,20109000,20109000,20109000,295067000,141106000,153961000,74401000,74401000,59578000,61805000,61805000,490851000,129559000,461434000,276130000,81739000,590993000,1081844000,39577000,39577000,100118000,45568000,139695000,72500000,115191000,254886000,24467000,801999000,492000,826958000,826958000,1081844000,20109000,3304000,13138000,-14260000,22291000,-2382000,-2382000,-33815000,4848000,4848000,-412999.999999998,4434999.99999999,-7089000.00000003,-7089000,-7089000,23387000,72500000,6428000,0.59951,0.10998,0.11012,0.02432,0.01859,0.31966,3.51373,0.30822,0.06702,0.4807,0.47077,4.36521,19.76808,0.15366,7,0.02134,0.00682,-9.5167,-11.08236
"29","2017_Q2",72.281746031746,"Up",179028000,-73867000,105161000,-92479000,-40155000,-52324000,12682000,774000,198000,198000,576000,13456000,13456000,1970000,15426000,15426000,15426000,15426000,621726000,225399000,396327000,75852000,75852000,61308000,54360000,54360000,813246000,130635000,450288000,288629000,58021000,586180000,1399426000,95593000,43781000,49700000,49700000,145293000,332502000,375299000,520592000,59718000,819641000,-525000,878834000,878834000,1399426000,15426000,3596000,14048000,8943000,42013000,-4543000,-4543000,-261829000,162000,162000,-13553000,304109000,84293000,84293000,84293000,16278000,332502000,18708000,0.5874,0.07084,0.08617,0.01755,0.01102,1.21276,5.59728,0.59237,0.2376,0.36645,0.35849,4.25285,20.8769,0.44441,5,0.0123,0.01492,-17.76778,-22.80587
"30","2017_Q3",74.4388888888889,"Up",190098000,-76906000,113192000,-92258000,-39826000,-52432000,20934000,-3104000,-4699000,-4699000,1595000,17830000,17830000,-1261000,16569000,16569000,16569000,16569000,661729000,210615000,451114000,75488000,75488000,67427000,46862000,46862000,851506000,130909000,446533000,288629000,61085000,582821000,1434327000,94329000,39989000,48914000,48914000,143243000,335639000,378879000,522122000,76413000,836210000,-418000,912205000,912205000,1434327000,16569000,3712000,18840000,-568999.999999996,38552000,-3847000,-3847000,-58930000,6674000,6674000,-548000,5594000,-14784000,-14784000,-14784000,24646000,335639000,21491000,0.59544,0.11012,0.08716,0.01816,0.01155,1.29706,5.94449,0.57237,0.234,0.39006,0.38374,4.47521,21.47476,0.50593,4,0.01283,0.01665,-13.23095,-15.57705
"31","2017_Q4",89.8555555555556,"Up",198723000,-82149000,116574000,-91606000,-39606000,-5.2e+07,24968000,-2841000,-4764000,-4764000,1923000,22127000,22127000,-2178000,19949000,19949000,19949000,19949000,718855000,236459000,482396000,76188000,76188000,72895000,37563000,37563000,905501000,129075000,437739000,288629000,59251000,572285000,1477786000,103290000,38857000,56701000,56701000,159991000,338717000,374963000,534954000,87008000,856159000,-335000,942832000,942832000,1477786000,19949000,3760000,21931000,15161000,60801000,-2104000,-2104000,-34188000,0,0,-769000,-769000,25844000,25844000,25844000,28728000,338717000,43963000,0.58662,0.12564,0.10039,0.02116,0.0135,2.20377,5.6597,0.56739,0.22921,0.46879,0.45993,4.6699,22.15613,1.03311,4,0.01514,0.03336,-13.23232,-15.22501
