"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","income_taxes_receivable","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",29.2891935483871,"Up",1.389e+09,-1.1e+09,2.89e+08,-1.78e+08,-8e+07,-9.6e+07,-2e+06,1.11e+08,-2e+07,-2e+07,9.1e+07,-2e+06,8.9e+07,-2.2e+07,6.6e+07,6.6e+07,6.6e+07,6.6e+07,5.93e+08,5.93e+08,6.74e+08,6.74e+08,6.63e+08,2.02e+08,3.4e+07,4.4e+07,2.132e+09,3.464e+09,7.23e+08,1.15e+08,4.187e+09,6.319e+09,6.98e+08,6.82e+08,1.6e+07,2.2e+07,7.2e+08,1.245e+09,1.399e+09,9.97e+08,4.02e+08,2.644e+09,3.364e+09,2.21e+09,7.79e+08,-3.4e+07,2.955e+09,2.955e+09,6.319e+09,6.6e+07,9.6e+07,2e+06,4.2e+07,2.06e+08,-6.6e+07,-6.7e+07,2.47e+08,-1e+07,1.78e+08,3.17e+08,3.17e+08,3.17e+08,2.07e+08,1.267e+09,2.05e+08,0.20806,0.07991,0.04752,0.02234,0.01044,3.10606,2.96111,1.13841,0.20051,0.92437,0.92697,19.45378,41.38655,2.87115,0.01459,0.03647,3.25604,6.07207
"12","2013_Q1",29.3991666666667,"Up",1.327e+09,-1.058e+09,2.69e+08,-1.87e+08,-9e+07,-9.6e+07,-1e+06,8.2e+07,-2.2e+07,-2.2e+07,6e+07,-3.9e+07,2.1e+07,-1e+06,1.9e+07,1.9e+07,1.9e+07,1.9e+07,6.61e+08,6.61e+08,5.62e+08,5.62e+08,6.75e+08,1.17e+08,2.4e+07,4.8e+07,2.015e+09,3.401e+09,7.07e+08,1.35e+08,4.108e+09,6.123e+09,6.61e+08,6.46e+08,1.5e+07,9.7e+07,7.58e+08,1.176e+09,1.36e+09,9.03e+08,4.57e+08,2.536e+09,3.294e+09,2.175e+09,7.82e+08,-1.28e+08,2.829e+09,2.829e+09,6.123e+09,1.9e+07,9.6e+07,-1.9e+07,4.4e+07,1.4e+08,-1.6e+07,-1.7e+07,-1999999.99999994,4e+06,-5.5e+07,6.8e+07,6.8e+07,67999999.9999999,1.78e+08,1.273e+09,2.07e+08,0.20271,0.06179,0.01432,0.00672,0.0031,10.89474,2.65831,1.16437,0.2079,0.27066,0.27143,18.90313,40.29915,2.94872,0.00641,0.0379,3.4382,7.46341
"13","2013_Q2",26.8221875,"Down",1.345e+09,-1.082e+09,2.63e+08,-2.04e+08,-9.1e+07,-9.5e+07,-1.8e+07,5.9e+07,-2.5e+07,-2.5e+07,3.4e+07,-1e+07,2.4e+07,2.2e+07,4.5e+07,4.5e+07,4.5e+07,4.5e+07,5.13e+08,5.13e+08,6.12e+08,6.12e+08,6.71e+08,1.37e+08,3.1e+07,6.1e+07,1.933e+09,3.328e+09,6.99e+08,1.34e+08,4.027e+09,5.96e+09,6.6e+08,6.45e+08,1.5e+07,2.1e+07,6.81e+08,1.151e+09,1.333e+09,9e+08,4.33e+08,2.484e+09,3.165e+09,2.131e+09,8.12e+08,-1.48e+08,2.795e+09,2.795e+09,5.96e+09,4.5e+07,9.5e+07,7e+06,-8.4e+07,6.3e+07,-4.7e+07,-4.8e+07,-9.5e+07,-4e+06,-1.62e+08,-1.47e+08,-1.47e+08,-1.48e+08,1.54e+08,1.172e+09,1e+06,0.19554,0.04387,0.03346,0.0161,0.00755,0.02222,2.83847,1.13238,0.19664,0.64655,0.6447,19.32471,40.15805,0.01437,0.01151,0.000189999999999996,4.27922,11.16949
"14","2013_Q3",26.71640625,"Down",1.312e+09,-1.082e+09,2.3e+08,-2.37e+08,-9.5e+07,-9.3e+07,-4.9e+07,-7e+06,-2.1e+07,-2.1e+07,-2.8e+07,-2.3e+07,-5.1e+07,5e+06,-4.6e+07,-4.6e+07,-4.6e+07,-4.6e+07,4.32e+08,4.32e+08,5.86e+08,5.86e+08,6.78e+08,1.39e+08,3.4e+07,5.6e+07,1.835e+09,3.256e+09,7.1e+08,1.38e+08,3.966e+09,5.801e+09,7.02e+08,6.83e+08,1.9e+07,9e+06,7.11e+08,1.148e+09,1.336e+09,9.04e+08,4.32e+08,2.484e+09,3.195e+09,2.033e+09,7.47e+08,-1.74e+08,2.606e+09,2.606e+09,5.801e+09,-4.6e+07,9.3e+07,2.6e+07,4.7e+07,1.2e+08,-6.1e+07,-7.2e+07,-2000000.00000001,-1.2e+07,-1.29e+08,-8.1e+07,-8.1e+07,-8.1e+07,8.6e+07,1.157e+09,6.7e+07,0.1753,-0.00534,-0.03506,-0.01765,-0.00793,-1.45652,2.58087,1.22602,0.19945,-0.68862,-0.69069,19.64072,39.01198,1.00299,-0.00608,0.01314,8.43023,-103.57143
"15","2013_Q4",32.896875,"Up",1.375e+09,-1.116e+09,2.59e+08,-2.1e+08,-9.5e+07,-9.3e+07,-2.2e+07,4.9e+07,-2.1e+07,-2.1e+07,2.8e+07,0,2.8e+07,-1e+06,2.7e+07,2.7e+07,2.7e+07,2.7e+07,1.91e+08,1.91e+08,5.83e+08,5.83e+08,7.03e+08,1.37e+08,3.1e+07,4.8e+07,1.614e+09,3.352e+09,9.19e+08,1.43e+08,4.271e+09,5.885e+09,7.09e+08,6.93e+08,1.6e+07,1.2e+07,7.21e+08,1.148e+09,1.381e+09,9.46e+08,4.35e+08,2.529e+09,3.25e+09,1.998e+09,7.56e+08,-1.19e+08,2.635e+09,2.635e+09,5.885e+09,2.7e+07,9.3e+07,6e+06,-2.2e+07,1.04e+08,-1.7e+07,-2.93e+08,-2e+06,5e+06,-5.2e+07,-2.41e+08,-2.41e+08,-2.41e+08,1.42e+08,1.16e+09,1.04e+08,0.18836,0.03564,0.01964,0.01025,0.00459,3.85185,2.23856,1.2334,0.19711,0.41411,0.41221,21.08896,40.41411,1.59509,0.00889,0.02009,6.82394,19.77551
"16","2014_Q1",39.2914754098361,"Up",1.359e+09,-1.081e+09,2.78e+08,-1.78e+08,-1e+08,-9.5e+07,1.7e+07,1e+08,-2.2e+07,-2.2e+07,7.8e+07,-7e+06,7.1e+07,-6e+06,6.5e+07,6.5e+07,6.5e+07,6.5e+07,6.55e+08,6.55e+08,6.01e+08,6.01e+08,6.85e+08,1.36e+08,2.3e+07,6.1e+07,2.077e+09,3.289e+09,9.12e+08,1.36e+08,4.201e+09,6.278e+09,6.9e+08,6.73e+08,1.7e+07,1.9e+07,7.09e+08,1.554e+09,1.277e+09,9.23e+08,3.54e+08,2.831e+09,3.54e+09,1.999e+09,8.04e+08,-6.5e+07,2.738e+09,2.738e+09,6.278e+09,6.5e+07,9.5e+07,1.4e+07,-5e+07,1.24e+08,-5.6e+07,-55999999.9999999,4.03e+08,1.1e+07,3.97e+08,4.65e+08,4.65e+08,4.64e+08,1.95e+08,1.573e+09,9.5e+07,0.20456,0.07358,0.04783,0.02374,0.01035,1.46154,2.92948,1.29291,0.25056,1.00309,1.00154,20.97222,42.25309,1.46605,0.01467,0.017,4.70769,9.18
"17","2014_Q2",35.8536507936508,"Down",1.394e+09,-1.103e+09,2.91e+08,-2.11e+08,-1.14e+08,-9.9e+07,2e+06,8e+07,-2.5e+07,-2.5e+07,5.5e+07,-1e+06,5.4e+07,-1.5e+07,3.9e+07,3.9e+07,3.9e+07,3.9e+07,1.3e+08,1.3e+08,6.88e+08,6.88e+08,7.2e+08,1.21e+08,2.4e+07,5.2e+07,1.659e+09,3.276e+09,1.441e+09,1.31e+08,4.717e+09,6.376e+09,7.42e+08,7.18e+08,2.4e+07,2.3e+07,7.65e+08,1.522e+09,1.35e+09,9.91e+08,3.59e+08,2.872e+09,3.637e+09,2.014e+09,8.25e+08,-1e+08,2.739e+09,2.739e+09,6.376e+09,3.9e+07,9.9e+07,2e+06,1e+06,1.41e+08,-4.5e+07,-5.91e+08,-1.38e+08,8.3e+07,-7.3e+07,-5.23e+08,-5.23e+08,-5.25e+08,1.79e+08,1.545e+09,1.5e+08,0.20875,0.05739,0.02798,0.01424,0.00612,3.84615,2.16863,1.32786,0.24231,0.60092,0.6,21.4792,42.20339,2.31125,0.01012,0.02662,7.90503,17.6875
"18","2014_Q3",29.4378125,"Down",1.385e+09,-1.108e+09,2.77e+08,-1.98e+08,-1e+08,-9.6e+07,-2e+06,7.9e+07,-2.6e+07,-2.6e+07,5.3e+07,1.86264514923096e-09,5.3e+07,-1.3e+07,4e+07,4e+07,4e+07,4e+07,8.5e+07,8.5e+07,6.75e+08,6.75e+08,7.28e+08,1.37e+08,3.7e+07,5.4e+07,1.625e+09,3.266e+09,1.448e+09,1.45e+08,4.714e+09,6.339e+09,7.34e+08,7.02e+08,3.2e+07,2.2e+07,7.56e+08,1.41e+09,1.347e+09,9.98e+08,3.49e+08,2.757e+09,3.513e+09,2.049e+09,8.41e+08,-6.4e+07,2.826e+09,2.826e+09,6.339e+09,4e+07,9.6e+07,-5e+06,-2.7e+07,1.04e+08,-5.5e+07,-5.5e+07,-89000000.0000001,1.1e+07,-95999999.9999999,-46999999.9999999,-46999999.9999999,-4.5e+07,1.75e+08,1.432e+09,1.06e+08,0.2,0.05704,0.02888,0.01415,0.00631,2.65,2.14947,1.2431,0.2259,0.61538,0.61444,21.30769,43.47692,1.63077,0.01035,0.01891,7.69714,17.05063
"19","2014_Q4",30.7440625,"Up",1.405e+09,-1.105e+09,3e+08,-1.78e+08,-9.9e+07,-9.6e+07,1.7e+07,1.22e+08,-2.5e+07,-2.5e+07,9.7e+07,-2e+06,9.5e+07,1.86e+08,2.81e+08,2.81e+08,2.81e+08,2.81e+08,1.34e+08,1.34e+08,6.63e+08,6.63e+08,7.19e+08,1.39e+08,3e+07,4.8e+07,1.655e+09,3.169e+09,1.368e+09,1.27e+08,4.537e+09,6.192e+09,7.46e+08,7.2e+08,2.6e+07,1.73e+08,9.19e+08,1.202e+09,1.133e+09,7.9e+08,3.43e+08,2.335e+09,3.254e+09,2.031e+09,1.098e+09,-1.91e+08,2.938e+09,2.938e+09,6.192e+09,2.81e+08,9.6e+07,-1.95e+08,2.1e+07,2.03e+08,-5.6e+07,-5.1e+07,-5.8e+07,0,-1.01e+08,5.1e+07,5.1e+07,4.9e+07,2.18e+08,1.375e+09,-3e+06,0.21352,0.08683,0.2,0.09564,0.04538,-0.01068,1.80087,1.10756,0.22206,4.33642,4.32974,21.6821,45.33951,-0.0463,0.056,-0.000549999999999998,5.69266,10.17213
"20","2015_Q1",33.1793442622951,"Up",1.379e+09,-1.08e+09,2.99e+08,-1.84e+08,-1.03e+08,-9.3e+07,1.2e+07,1.15e+08,-2.7e+07,-2.7e+07,8.8e+07,-2.9e+07,5.9e+07,1.2e+07,71000000.0000001,7.1e+07,7.1e+07,7.1e+07,1.74e+08,1.74e+08,6.28e+08,6.28e+08,7.14e+08,1.54e+08,2.5e+07,5.4e+07,1.67e+09,3.131e+09,1.384e+09,1.56e+08,4.515e+09,6.185e+09,7.47e+08,7.21e+08,2.6e+07,1.79e+08,9.26e+08,1.181e+09,1.188e+09,8.1e+08,3.78e+08,2.369e+09,3.295e+09,2.013e+09,1.145e+09,-2.68e+08,2.89e+09,2.89e+09,6.185e+09,7.1e+07,9.3e+07,2.4e+07,-2000000.00000001,1.86e+08,-7.9e+07,-8.9e+07,-1.4e+07,1e+06,-5.6e+07,4.1e+07,4.1e+07,4e+07,2.08e+08,1.36e+09,1.15e+08,0.21682,0.08339,0.05149,0.02457,0.01148,1.61972,1.80346,1.14014,0.21989,1.10078,1.09907,21.37984,44.8062,1.78295,0.01747,0.02115,5.70192,10.31304
"21","2015_Q2",34.7784126984127,"Up",1.348e+09,-1.062e+09,2.86e+08,-1.95e+08,-1e+08,-9e+07,-5e+06,9.1e+07,-2.6e+07,-2.6e+07,6.5e+07,-2e+07,4.5e+07,-9e+06,3.6e+07,3.6e+07,3.6e+07,3.6e+07,1.83e+08,1.83e+08,6.6e+08,6.6e+08,7.04e+08,1.18e+08,2.8e+07,1.2e+07,1.665e+09,2.995e+09,1.3e+09,1.51e+08,4.295e+09,5.96e+09,7.36e+08,6.97e+08,3.9e+07,1.75e+08,9.11e+08,1.179e+09,1.16e+09,7.9e+08,3.7e+08,2.339e+09,3.25e+09,2.001e+09,1.155e+09,-4.46e+08,2.71e+09,2.71e+09,5.96e+09,3.6e+07,9e+07,6e+06,-5e+06,1.27e+08,-6.9e+07,-6.9e+07,-5e+06,1e+06,-4.1e+07,1.7e+07,1.7e+07,1.7e+07,1.81e+08,1.354e+09,1.16e+08,0.21217,0.06751,0.02671,0.01328,0.00604,3.22222,1.82766,1.19926,0.22718,0.56426,0.56338,21.12853,42.47649,1.81818,0.01149,0.02221,6.46961,12.86813
