"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q3",4.95828125,"Up",8846000,-4894000,3952000,-2148000,-2038000,-110000,1804000,1804000,1809000,-521000,1288000,1178000,1178000,1178000,8486000,8486000,4990000,4990000,7311000,1407000,646000,22194000,1057000,3067000,-2010000,5102000,1927000,3076000,99000,6159000,28353000,2915000,682000,2225000,2966000,1082000,5000,1082000,4048000,14736000,9569000,24305000,24305000,28353000,1178000,1178000,161000,-155000,-85000,1099000,-20000,-20000,780000,780000,458000,1537000,1537000,1537000,1965000,0,2381000,0.44676,0.20393,0.13317,0.04847,0.04155,2.02122,7.48281,0.16655,0,0.15479,0.13922,1.16237,3.19369,0.31287,0.06783,0.09379,-4.31858,-4.70399
"12","2013_Q4",7.44125,"Up",9478000,-5530000,3948000,-2187000,-1987000,-2e+05,1761000,1761000,1766000,-489000,1277000,917000,917000,917000,10782000,10782000,3542000,3542000,7310000,1266000,505000,22900000,1033000,3149000,-2116000,5045000,1872000,3076000,97000,6078000,28978000,2965000,933000,1929000,3016000,1077000,0,1077000,4093000,14945000,9940000,24885000,24885000,28978000,917000,917000,161000,74000,1617000,2769000,-82000,-82000,131000,131000,-391000,2296000,2296000,2296000,1922000,7.27595761418343e-12,3946000,0.41654,0.1858,0.09675,0.03685,0.03164,4.30316,7.59284,0.16448,0,0.11759,0.10713,1.21535,3.19095,0.50599,0.05635,0.15199,-5.60978,-6.12266
"13","2014_Q1",5.31770491803279,"Down",8405000,-4961000,3444000,-2325000,-1926000,-399000,1119000,1119000,1126000,-406000,720000,25000,25000,25000,11881000,11881000,3160000,3160000,5924000,2082000,1587000,23047000,1053000,3259000,-2206000,4990000,1817000,3076000,97000,6043000,29090000,2553000,792000,1761000,2604000,950000,0,950000,3554000,16130000,9406000,25536000,25536000,29090000,25000,25000,171000,814000,-330000,680000,-136000,-136000,536000,536000,555000,1099000,1099000,1099000,1290000,0,1230000,0.40976,0.13314,0.00297,0.00098,0.00086,49.2,8.85061,0.13918,0,0.00316,0.00284,1.06163,3.22542,0.15536,0.02205,0.04644,-9.21008,-10.61752
"14","2014_Q2",4.84142857142857,"Down",5850000,-3268000,2582000,-2243000,-1987000,-256000,339000,339000,346000,-82000,264000,265000,265000,265000,12777000,12777000,2521000,2521000,6030000,1282000,960000,22610000,969000,3269000,-2300000,4928000,1762000,3076000,90000,5897000,28507000,1767000,589000,1178000,1818000,950000,0,950000,2768000,16412000,9327000,25739000,25739000,28507000,265000,265000,149000,-201000,685000,898000,-10000,-10000,341000,341000,7999.99999999988,896000,896000,896000,488000,0,1245000,0.44137,0.05795,0.0453,0.0103,0.0093,4.69811,12.43674,0.10754,1.35525271560688e-20,0.03254,0.03005,0.71835,3.16063,0.15288,0.03129,0.04665,-26.18238,-37.69027
"15","2014_Q3",4.44109375,"Down",5764000,-3012000,2752000,-1989000,-1775000,-214000,763000,763000,770000,-311000,459000,477000,477000,477000,13416000,13416000,2691000,2691000,5574000,1009000,687000,22690000,928000,3318000,-2390000,4871000,1707000,3076000,88000,5799000,28489000,1461000,307000,1154000,1513000,950000,0,950000,2463000,16797000,9229000,26026000,26026000,28489000,477000,477000,145000,170000,310000,1102000,-49000,-49000,121000,121000,-414000,639000,639000,639000,908000,0,1480000,0.47745,0.13237,0.08276,0.01833,0.01674,3.10273,14.9967,0.09464,0,0.05811,0.05454,0.70222,3.1707,0.18031,0.039,0.05486,-14.77533,-17.58322
"16","2014_Q4",3.6365625,"Down",5536000,-3048000,2488000,-1860000,-1633000,-227000,628000,628000,636000,-277000,359000,372000,372000,372000,14237000,14237000,2589000,2589000,5612000,932000,610000,23370000,883000,3354000,-2471000,4815000,1651000,3076000,88000,5698000,29068000,2172000,697000,1475000,2184000,950000,0,950000,3134000,16911000,9023000,25934000,25934000,29068000,372000,372000,151000,46000.0000000001,818000,1387000,-50000,-50000,62000,62000,-516000,821000,821000,821000,779000,0,1824000,0.44942,0.11344,0.0672,0.01434,0.0128,4.90323,10.70055,0.12085,0,0.04509,0.04267,0.67103,3.1435,0.22109,0.03534,0.06785,-18.27599,-22.67038
"17","2015_Q1",3.56688524590164,"Down",5965000,-3334000,2631000,-2095000,-1844000,-251000,536000,536000,543000,-289000,254000,325000,325000,325000,14718000,14718000,2428000,2428000,5259000,1034000,618000,23439000,829000,3387000,-2558000,4761000,1597000,3076000,88000,5590000,29029000,2289000,867000,1422000,2362000,811000,0,811000,3173000,17313000,8543000,25856000,25856000,29029000,325000,325000,147000,136000,499000,1107000,-39000,-39000,-58000,46000,-587000,481000,481000,481000,683000,0,1432000,0.44107,0.08986,0.05448,0.01257,0.0112,4.40615,9.92337,0.12272,0,0.03934,0.03742,0.72209,3.12997,0.17335,0.0339,0.0537,-21.54905,-27.45896
"18","2015_Q2",3.52603174603175,"Down",6894000,-4394000,2500000,-2474000,-2257000,-217000,26000.0000000001,26000,30999.9999999999,21000,52000,65000,65000.0000000001,65000.0000000001,10922000,10922000,3414000,3414000,5964000,1620000,1204000,21920000,919000,3915000,-2996000,8863000,3388000,5387000,88000,9782000,31702000,4118000,1489000,2629000,4118000,1129000,318000,1129000,5247000,18425000,8030000,26455000,26455000,31702000,65000,65000,190000,59000,-951000,-637000,-34000,-2583000,2000,2000,-576000,-3796000,-3796000,-3796000,216000,1.77635683940025e-15,-790000,0.36263,0.00377000000000001,0.00942999999999999,0.00246,0.00205,-12.15385,5.32297,0.19834,0,0.00784,0.0075,0.83192,3.19241,-0.09533,0.02331,-0.02864,-50.56481,-420.07692
"19","2015_Q3",3.76609375,"Up",7015000,-4430000,2585000,-2165000,-2014000,-151000,420000,420000,430000,-176000,254000,449000,449000,449000,10393000,10393000,4162000,4162000,5551000,1028000,612000,21134000,914000,3658000,-2744000,8760000,3285000,5387000,88000,9674000,30808000,3316000,1422000,1652000,3316000,1129000,318000,1129000,4445000,18480000,7883000,26363000,26363000,30808000,449000,449000,199000,68000,-863000,-147000,-90000,210000,4000,4000,-592000,-529000,-529000,-529000,619000,0,-158000,0.3685,0.05987,0.06401,0.01703,0.01457,-0.35189,6.37334,0.16861,0,0.05276,0.05054,0.82433,3.0979,-0.01857,0.03801,-0.00575,-16.78998,-24.74524
"20","2015_Q4",3.96109375,"Up",8314000,-5765000,2549000,-2606000,-2397000,-209000,-56999.9999999999,-57000.0000000001,-53000.0000000001,112000,59000,210000,210000,210000,7908000,7908000,3915000,3915000,7263000,1457000,1041000,20543000,962000,4123000,-3161000,11845000,5827000,5913000,105000,12807000,33350000,4861000,1979000,2882000,4861000,2245000,946000,2245000,7106000,18750000,7494000,26244000,26244000,33350000,210000,210000,330000,131000,356000,1027000,-16000,-2899000,31000,31000,-613000,-2485000,-2485000,-2485000,273000,0,501000,0.30659,-0.00686,0.02526,0.008,0.0063,2.38571,4.22609,0.27077,6.61744490042422e-24,0.02457,0.02355,0.97293,3.07116,0.05863,0.0284,0.01759,-28.96703,138.73684
"21","2016_Q1",3.53,"Down",8685000,-5857000,2828000,-2418000,-2220000,-198000,410000,410000,426000,-97000,329000,270000,270000,270000,7595000,7595000,3980000,3980000,6928000,1154000,728000,19657000,921000,4151000,-3230000,11674000,5655000,5913000,106000,12595000,32252000,4361000,1493000,2868000,4361000,1520000,377000,1520000,5881000,19216000,7155000,26371000,26371000,32252000,270000,270000,277000,-88000,-534000,-75000,-48000,-48000,291000,291000,-190000,-313000,-313000,-313000,687000,0,202000,0.32562,0.04721,0.03109,0.01024,0.00837,0.74815,4.50745,0.22301,0,0.03127,0.03006,1.00587,3.0542,0.02339,0.03152,0.00724,-11.05531,-18.52439
"22","2016_Q2",2.1259375,"Down",6784000,-4761000,2023000,-2594000,-2433000,-161000,-571000,-571000,-571000,256000,-315000,-353000,-353000,-353000,5766000,5766000,3865000,3865000,7020000,1768000,1341000,18419000,829000,4036000,-3207000,11668000,5483000,5913000,272000,12497000,30916000,3918000,1649000,2269000,3918000,1520000,377000,1520000,5438000,19287000,6191000,25478000,25478000,30916000,-353000,-353000,272000,112000,-1544000,-1513000,274000,274000,20000,20000,-590000,-1829000,-1829000,-1829000,-299000,1.38777878078145e-17,-1825000,0.2982,-0.0841699999999999,-0.05203,-0.01386,-0.01142,5.16997,4.70112,0.21344,0,-0.0405,-0.0405,0.77828,2.92289,-0.20937,0.00952,-0.0676,19.28428,10.09807
"23","2016_Q3",1.96515625,"Down",7735000,-5383000,2352000,-2430000,-2251000,-179000,-78000,-78000,-50000,118000,68000,-114000,-114000,-114000,5021000,5021000,4015000,4015000,6810000,1838000,1412000,17684000,807000,4096000,-3289000,11399000,5311000,5913000,175000,12206000,29890000,3260000,1094000,2166000,3260000,1520000,377000,1520000,4780000,19209000,5901000,25110000,25110000,29890000,-114000,-114000,256000,30000,-616000,-444000,-62000,5000,-129000,28000,-306000,-745000,-745000,-745000,178000,0,-618000,0.30407,-0.01008,-0.01474,-0.00454,-0.00381,5.42105,5.42454,0.19036,0,-0.01301,-0.01301,0.88303,2.86658,-0.07055,0.00237,-0.02321,-28.20787,64.37179
"24","2016_Q4",1.5915873015873,"Down",7640000,-5513000,2127000,-2794000,-2577000,-217000,-667000,-667000,-699000,-44000,-743000,-597000,-597000,-597000,4649000,4649000,4314000,4314000,6492000,1951000,1525000,17406000,938000,4023000,-3085000,11221000,5153000,5913000,155000,12159000,29565000,3712000,1172000,2540000,3712000,1304000,161000,1304000,5016000,19422000,5127000,24549000,24549000,29565000,-597000,-597000,241000,92000,146000,-118000,-236000,-236000,0,0,-18000,-372000,-372000,-372000,-426000,0,-472000,0.2784,-0.0873,-0.07814,-0.02432,-0.02019,0.79062,4.68912,0.20433,-2.58493941422821e-26,-0.06757,-0.06757,0.86477,2.77869,-0.05343,-0.01625,-0.01826,10.91315,6.97001
"25","2017_Q1",1.49048387096774,"Down",8082000,-6121000,1961000,-2489000,-2299000,-190000,-528000,-528000,-3363000,322000,-3041000,-3025000,-3025000,-3025000,5258000,5258000,4077000,4077000,6022000,1436000,1436000,16793000,828000,4002000,-3174000,8216000,4856000,3219000,141000,9044000,25837000,3908000,1138000,2770000,3908000,537000,128000,537000,4445000,19467000,1925000,21392000,21392000,25837000,-3025000,-3025000,267000,2600000,966000,808000,-17000,-17000,0,1000,-182000,609000,609000,609000,-261000,0,366000,0.24264,-0.06533,-0.37429,-0.14141,-0.11708,-0.12099,4.29708,0.20779,0,-0.34239,-0.34239,0.91477,2.42128,0.04143,-0.12987,0.01669,20.14559,9.95833
"26","2017_Q2",1.52396825396825,"Up",6617000,-4760000,1857000,-2216000,-1992000,-224000,-359000,-359000,-339000,101000,-238000,-194000,-194000,-194000,4354000,4354000,3692000,3692000,6554000,1543000,1543000,16143000,761000,4008000,-3247000,8049000,4709000,3219000,121000,8810000,24953000,3382000,1373000,2009000,3382000,521000,88000,521000,3903000,19495000,1555000,21050000,21050000,24953000,-194000,-194000,220000,77000.0000000005,-802000,-699000,-6000.00000000003,-5999.99999999997,-7.27595761418343e-12,0,-199000,-904000,-904000,-904000,-139000,1.73472347597681e-18,-1048000,0.28064,-0.05425,-0.0293200000000001,-0.00922000000000001,-0.00777000000000003,5.40206,4.77321,0.18542,5.16987882845642e-26,-0.02196,-0.02196,0.74897,2.38264,-0.11862,-0.00082999999999997,-0.04858,31.32374,12.12813
"27","2017_Q3",1.84095238095238,"Up",7640000,-5685000,1955000,-1889000,-1685000,-204000,66000,66000,64000,-29000,35000,79000,79000,79000,4317000,4317000,4471000,4471000,6690000,1459000,1459000,16937000,714000,4028000,-3314000,7887000,4561000,3219000,107000,8601000,25538000,4086000,1910000,2176000,4086000,453000,20000,453000,4539000,19542000,1457000,20999000,20999000,25538000,79000,79000,214000,56000,-188000,161000,-20000,-20000,0,0,-178000,-37000,-37000,-37000,280000,0,101000,0.25589,0.00864,0.01034,0.00376,0.00309,1.27848,4.14513,0.21615,0,0.00894,0.0089,0.86477,2.37686,0.01143,0.01193,0.00471,-15.41786,-65.40909
"28","2017_Q4",2.35793650793651,"Up",7808000,-5593000,2215000,-2031000,-1816000,-215000,184000,184000,189000,-18000,171000,192000,192000,192000,5498000,5498000,3793000,3793000,6482000,730000,730000,16503000,665000,4046000,-3381000,7723000,4414000,3219000,89999.9999999999,8388000,24891000,3357000,1224000,2133000,3357000,433000,0,433000,3790000,19629000,1472000,21101000,21101000,24891000,192000,192000,215000,61999.9999999999,882000,1351000,-18000,-18000,25000,25000,-152000,1181000,1181000,1181000,399000,2.77555756156289e-17,1281000,0.28368,0.02357,0.02459,0.0091,0.00771,6.67188,4.916,0.17961,-4.13590306276514e-25,0.02172,0.02153,0.88346,2.38752,0.14494,0.01714,0.05949,-13.77945,-29.88043
"29","2018_Q1",3.22590163934426,"Up",918000,42000,960000,-648000,-467000,-181000,312000,312000,318000,-116000,202000,305000,305000,305000,5208000,5208000,2903000,2903000,5543000,3139000,506000,16793000,565000,3890000,-3325000,7702000,2299000,1340000,4063000,8267000,25060000,2827000,1036000,1791000,3598000,119000,0,119000,3717000,19743000,1600000,21343000,21343000,25060000,93000,305000,-143000,-261000,266000,786000,-127000,-127000,30000,30000,-118000,541000,541000,541000,169000,0,424000,1.04575,0.33987,0.33224,0.01429,0.01217,1.39016,4.66732,0.17416,0,0.03444,0.03376,0.10366,2.40999,0.04788,0.02246,0.01976,-30.81657,-16.69231
"30","2018_Q2",6.0959375,"Up",10341000,-7268000,3073000,-2519000,-2193000,-326000,554000,554000,557000,-103000,454000,454000,454000,454000,5880000,5880000,5397000,5397000,6797000,755000,755000,18829000,626000,4161000,-3535000,7396000,4128000,3219000,49000,8022000,26851000,4894000,2101000,2697000,4894000,104000,1.13686837721616e-13,104000,4998000,19975000,1878000,21853000,21853000,26851000,454000,454000,212000,58000,-876000,-152000,-22000,12000,157000,157000,-19000,-159000,-159000,-159000,766000,2.22044604925031e-16,-29000.0000000002,0.29717,0.05357,0.0439,0.02078,0.01691,-0.0638800000000008,3.84736,0.22871,6.61744490042422e-24,0.05112,0.04989,1.16448,2.46082,-0.00326999999999997,0.02869,-0.00131999999999999,-7.67624,-10.61372
"31","2018_Q3",9.23603174603175,"Up",22380000,-14296000,8084000,-4068000,-3431000,-637000,4016000,4016000,4020000,-816000,3204000,3204000,3204000,3204000,8489000,8489000,11745000,11745000,7075000,565000,565000,27874000,611000,4218000,-3607000,7258000,3990000,3219000,49000,7869000,35743000,10428000,5936000,3985000,10428000,129000,0,129000,10557000,20288000,4898000,25186000,25186000,35743000,3204000,3204000,210000,137000,-957000,2594000,-57000,-57000,256000,256000,72000,2609000,2609000,2609000,4226000,0,4028000,0.36122,0.17945,0.14316,0.12721,0.08964,1.25718,2.673,0.41916,0,0.354,0.34121,2.47267,2.78269,0.44504,0.13383,0.15912,-2.00876,-2.11379
"32","2018_Q4",7.36190476190476,"Down",13850000,-9294000,4556000,-2413000,-2121000,-292000,2143000,2143000,2156000,-425000,1731000,1731000,1731000,1731000,11591000,11591000,5888000,5888000,6854000,854000,854000,25187000,606000,4275000,-3669000,7120000,3852000,3219000,49000,7726000,32913000,5332000,1842000,3490000,5332000,186000,0,186000,5518000,20950000,6445000,27395000,27395000,32913000,1731000,1731000,212000,82000,724000,2749000,-67999.9999999998,-68000.0000000002,605000,605000,421000,3102000,3102000,3102000,2355000,3.5527136788005e-15,3436000,0.32895,0.15473,0.12498,0.06319,0.05259,1.98498,4.72374,0.20142,0,0.18811,0.17791,1.50509,2.97704,0.37339,0.06943,0.12458,-4.92187,-5.40877
"33","2019_Q1",7.37360655737705,"Up",3625000,-2238000,1387000,-653000,-428000,-225000,734000,734000,761000,-124000,637000,457000,457000,457000,16334000,16334000,4255000,4255000,7113000,828000,828000,28530000,559000,4032000,-3473000,3413000,2024000,1340000,49000,3972000,32502000,4719000,1342000,3377000,4719000,0,0,0,4719000,21067000,6716000,27783000,27783000,32502000,637000,457000,-121000,-138000,-299000,1024000,4082000,3810000,95000,95000,-91000,4743000,4743000,4743000,613000,0,4520000,0.38262,0.20248,0.12607,0.01645,0.01406,9.89059,6.04577,0.16985,0,0.0492,0.04501,0.39028,2.99122,0.48664,0.02314,0.16269,-26.646,-22.25341
"34","2019_Q2",7.33126984126984,"Down",10647000,-7502000,3145000,-2359000,-2039000,-320000,786000,786000,808000,-168000,640000,640000,640000,640000,14016000,14016000,5633000,5633000,8169000,781000,781000,28599000,564000,4105000,-3541000,3344000,1955000,1340000,49000,3908000,32507000,3803000,1744000,2059000,3803000,11000,1.81898940354586e-12,11000,3814000,21523000,7170000,28693000,28693000,32507000,640000,640000,137000,130000,-3308000,-2401000,-73000,-73000,342000,342000,156000,-2318000,-2318000,-2318000,923000,-5.6843418860808e-14,-2290000,0.29539,0.07382,0.06011,0.02231,0.01969,-3.57812,7.52012,0.13292,1.6940658945086e-21,0.06875,0.06505,1.14368,3.08214,-0.24599,0.02878,-0.07978,-15.18527,-17.83206
