"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",15.8593548387097,"Down",83621000,-20238000,63383000,-17021000,-9899000,-7122000,46362000,97000,46459000,43205000,-11449000,31756000,31756000,31756000,31756000,219605000,95280000,124325000,39114000,39114000,40497000,7056000,306272000,94614000,138019000,48352000,86524000,1621000,377762000,684034000,21080000,6451000,4477000,10152000,9641000,5377000,30721000,39537000,131786000,505834000,6877000,644497000,644497000,684034000,31756000,3052000,5156000,-5501000,34463000,-1587000,-5780000,-7367000,-10320000,-2913000,622000,-451000,-13684000,13412000,13412000,874000,14286000,49414000,0,53775000,0.75798,0.55443,0.37976,0.04927,0.04642,1.69338,9.96947,0.06135,2.64697796016969e-23,0.21535,0.21497,0.56708,4.37066,0.36468,0.06999,0.0644,0.08231,0.32498,-4.44419,-4.73675
"12","2013_Q1",15.665,"Down",78681000,-19817000,58864000,-17646000,-10360000,-7286000,41218000,-601000,40617000,40617000,-13376000,27241000,27241000,27241000,27241000,268986000,116675000,152311000,35668000,35668000,38277000,3576000,346507000,93788000,135063000,46476000,85682000,1849000,372817000,719324000,16817000,6291000,3251000,7275000,18933000,4699000,35750000,44882000,132219000,520448000,21775000,674442000,674442000,719324000,27241000,3101000,2630000,4441000,37413000,-1133000,-1482000,-3023000,-10311000,-2135000,180000,489000,-11957000,22433000,22433000,-1038000,21395000,44319000,-1.13686837721616e-13,61003000,0.74813,0.52386,0.34622,0.04039,0.03787,2.23938,9.6925,0.06655,0,0.18491,0.18458,0.53407,4.57795,0.41407,0.06999,0.05493,0.08924,0.37851,-6.06932,-6.52594
"13","2013_Q2",15.20796875,"Down",75025000,-19442000,55583000,-17780000,-10328000,-7452000,37803000,183000,37986000,37986000,-12318000,25668000,25668000,25668000,25668000,273067000,130805000,142262000,35119000,35119000,38397000,3560000,350143000,94920000,135853000,46073000,86936000,2844000,362486000,712629000,12195000,6541000,2553000,3101000,10706000,4536000,22901000,32024000,132659000,535805000,12141000,680605000,680605000,712629000,25668000,3105000,937000,-447000,29263000,-2515000,-3318000,-5833000,-10312000,136000,136000,-659000,-10835000,12595000,12595000,1535000,14130000,40908000,0,50264000,0.74086,0.50387,0.34213,0.03771,0.03602,1.95824,15.28942,0.04705,0,0.17424,0.17393,0.50929,4.62016,0.34121,0.07,0.05217,0.07288,0.40175,-6.67515,-7.22342
"14","2013_Q3",17.45328125,"Up",75083000,-19820000,55263000,-18359000,-10956000,-7403000,36904000,542000,37446000,37446000,-12082000,25364000,25364000,25364000,25364000,286095000,143286000,142809000,32187000,32187000,37600000,3849000,359731000,101133000,135137000,44938000,87166000,3033000,364839000,724570000,13443000,6466000,2284000,4693000,7825000,3611000,21268000,30005000,134195000,550120000,10250000,694565000,694565000,724570000,25364000,3173000,1359000,1391000,31287000,-8220000,-443000,-8663000,-11048000,688000,688000,-274000,-10634000,11990000,11990000,491000,12481000,40077000,-9.09494701772928e-13,45330000,0.73603,0.49151,0.33781,0.03652,0.03501,1.78718,16.91419,0.0432,0,0.17215,0.17185,0.5096,4.71416,0.30766,0.07499,0.05177,0.06445,0.43558,-7.13863,-7.75241
"15","2013_Q4",20.01359375,"Up",80992000,-19845000,61147000,-17201000,-9982000,-7219000,43946000,520000,44466000,44466000,-11348000,33118000,33118000,33118000,33118000,312875000,150713000,162162000,38138000,38138000,35675000,3469000,390157000,105202000,129166000,41779000,84311000,3076000,370133000,760290000,17803000,6189000,4176000,7438000,14678000,4610000,32481000,40781000,134486000,572186000,12837000,719509000,719509000,760290000,33118000,3001000,902000,-3996000,33025000,-6373000,-4984000,-11357000,-11053000,0,0,-163000,-11216000,10452000,10452000,-3025000,7427000,46947000,0,47926000,0.75498,0.5426,0.4089,0.04603,0.04356,1.44713,12.01185,0.05668,-3.3881317890172e-21,0.22472,0.22432,0.54958,4.88226,0.3252,0.075,0.06069,0.06585,0.33375,-6.66443,-7.11953
"16","2014_Q1",20.8491803278689,"Up",79475000,-20358000,59117000,-19301000,-12118000,-7183000,39816000,948000,40764000,40764000,-12353000,28411000,28411000,28411000,28411000,332937000,163786000,169151000,38183000,38183000,34877000,3519000,409516000,108756000,127450000,40552000,84336000,2031000,368582000,778098000,18115000,6236000,2276000,9603000,13969000,4025000,32084000,40557000,135263000,587725000,14553000,737541000,737541000,778098000,28411000,3042000,751000,-2217000,29987000,-5346000,-357000,-5351000,-11050000,-1540000,281000,598000,-11992000,12644000,12644000,429000,13073000,42858000,0,47648000,0.74384,0.50099,0.35748,0.03852,0.03651,1.6771,12.76387,0.05499,0,0.19281,0.1925,0.53934,5.00516,0.32335,0.07499,0.0529,0.06387,0.38893,-7.76837,-8.36189
"17","2014_Q2",20.5520634920635,"Down",85668000,-24554000,61114000,-21723000,-14021000,-7702000,39391000,263000,39654000,39654000,-12226000,27428000,27428000,27428000,27428000,184699000,83856000,100843000,42240000,42240000,39957000,13740000,280636000,113362000,246815000,100523000,143800000,2492000,498654000,779290000,13867000,6656000,2969000,4242000,6409000,6409000,20276000,52527000,136982000,604102000,-14321000,726763000,726763000,779290000,27428000,4090000,1091000,-24000,32585000,-3811000,1780000,-104995000,-11051000,1145000,1145000,-134000,-10040000,-82450000,-82450000,2520000,-79930000,43481000,0,51872000,0.71338,0.45981,0.32017,0.03774,0.0352,1.89121,13.8408,0.07228,-5.42101086242752e-20,0.18612,0.18569,0.58132,4.93162,0.35199,0.07499,0.0507,0.06834,0.40291,-4.24781,-4.68886
"18","2014_Q3",21.86078125,"Up",84017000,-25424000,58593000,-22849000,-14926000,-7923000,35744000,474000,36218000,36218000,-11163000,25055000,25055000,25055000,25055000,186856000,98402000,88454000,38306000,38306000,39992000,13987000,279141000,115159000,245275000,98546000,144361000,2368000,523024000,802165000,16935000,7163000,1818000,7954000,5174000,5174000,22109000,53637000,140759000,617722000,-9953000,748528000,748528000,802165000,25055000,4856000,1209000,202000,31322000,-3647000,-5119000,-8920999.99999999,-11434000,2415000,2415000,174000,-8845000,13556000,13556000,990000,14546000,40600000,0,48318000,0.69739,0.42544,0.29821,0.03347,0.03123,1.92848,12.62567,0.07166,0,0.16983,0.16922,0.5695,5.0738,0.32752,0.0775,0.04678,0.06194,0.45636,-4.60236,-5.22762
"19","2014_Q4",21.42640625,"Down",95555000,-27444000,68111000,-22342000,-14666000,-7676000,45769000,3e+05,46069000,46069000,-14428000,31641000,31641000,31641000,31641000,220131000,123603000,96528000,48501000,48501000,38386000,12513000,319531000,116649000,243029000,96110000,144654000,2265000,511035000,830566000,17902000,8418000,5678000,3806000,6462000,6462000,24364000,53525000,143027000,637923000,-3909000,777041000,777041000,830566000,31641000,4918000,973000,-2598000,34934000,-4261000,4185000,-81000,-11440000,1568000,1568000,-40000,-9912000,24941000,24941000,260000,25201000,50687000,0,58256000,0.71279,0.47898,0.33113,0.04072,0.0381,1.84116,13.11488,0.06888,0,0.21431,0.21348,0.6472,5.26294,0.39457,0.07748,0.05344,0.07226,0.36156,-4.34295,-4.80961
"20","2015_Q1",22.3340983606557,"Up",92523000,-28930000,63593000,-24747000,-17103000,-7644000,38846000,605000,39451000,39451000,-12627000,26824000,26824000,26824000,26824000,363354000,318568000,44786000,55001000,55001000,38847000,12211000,469413000,117120000,272383000,108776000,151473000,1688000,393078000,862491000,14284000,9652000,496000,4136000,12107000,12107000,26391000,67226000,147374000,653279000,-5388000,795265000,795265000,862491000,26824000,5311000,5207000,579000,37921000,-2102000,181818000,163685000,-11469000,3198000,3198000,262000,-8009000,193597000,193597000,1368000,194965000,44157000,-3.72529029846191e-09,55261000,0.68732,0.41985,0.28992,0.03373,0.0311,2.06013,17.78686,0.08453,0,0.18161,0.18113,0.62643,5.38433,0.37414,0.07765,0.0458,0.06609,0.42756,-8.22868,-9.3537
"21","2015_Q2",23.5347619047619,"Up",108477000,-35411000,73066000,-37850000,-28701000,-9149000,35216000,-618000,34598000,34598000,-10691000,23907000,23907000,23907000,23907000,130812000,98239000,32573000,60869000,60869000,52195000,24235000,268111000,122006000,624568000,307508000,305234000,1826000,750149000,1018260000,22255000,13571000,1975000,6709000,18363000,15818000,40618000,224847000,150678000,665714000,-22979000,793413000,793413000,1018260000,23907000,8559000,2980000,272000,35718000,-4905000,9880000,-354754000,-11472000,1864000,1864000,78000,102470000,-216566000,-216566000,-3763000,-220329000,43775000,1.12e+08,49833000,0.67356,0.32464,0.22039,0.03013,0.02348,2.08445,6.60079,0.28339,0.10999,0.1615,0.16089,0.73281,5.35988,0.33665,0.0775,0.03619,0.05097,0.47986,-0.42974,-0.534190000000002
"22","2015_Q3",23.70484375,"Up",111948000,-36205000,75743000,-41163000,-31137000,-10026000,34580000,7983000,42563000,42563000,-9354000,33209000,33209000,33209000,33209000,139938000,92968000,46970000,57214000,57214000,52815000,23563000,273530000,124776000,716607000,313255000,401651000,1701000,845468000,1118998000,26479000,13127000,4001000,9351000,17801000,14990000,44280000,298316000,158099000,687060000,-24477000,820682000,820682000,1118998000,33209000,9895000,-4576000,-2802000,35726000,-3142000,2.98023223876953e-08,-63069000,-11863000,5166000,5166000,180000,25483000,-1860000.00000006,-1860000.00000006,-3411000,-5271000,44475000,1.44e+08,47885000,0.67659,0.30889,0.29665,0.04047,0.02968,1.44193,6.17728,0.3635,0.12869,0.22387,0.22311,0.75467,5.53244,0.32281,0.07997,0.04194,0.04456,0.35722,0.09133,0.11747
"23","2015_Q4",21.63078125,"Down",114158000,-34778000,79380000,-39954000,-29089000,-10865000,39426000,-667000,38759000,38759000,-14469000,24290000,24290000,24290000,24290000,159950000,106447000,53503000,65885000,65885000,51045000,17858000,294738000,124485000,685082000,297313000,385831000,1938000,809567000,1104305000,22737000,13510000,2019000,7208000,15776000,12285000,38513000,284239000,162222000,699466000,-41622000,820066000,820066000,1104305000,24290000,9273000,2445000,-5232000,30776000,-4924000,2116000,-3148000,-11883000,2702000,2702000,134000,-1.1e+07,16628000,16628000,-3149000,13479000,48699000,1.44e+08,53012000,0.69535,0.34536,0.21278,0.02962,0.022,2.18246,7.65295,0.34661,0.1304,0.16351,0.16294,0.76847,5.5204,0.35686,0.07999,0.03394,0.04974,0.48921,-0.32752,-0.40456
"24","2016_Q1",20.9708196721311,"Down",117663000,-38575000,79088000,-41287000,-30474000,-10813000,37801000,441000,38242000,38242000,-11913000,26329000,26329000,26329000,26329000,110921000,54532000,56389000,70034000,70034000,49577000,17751000,248283000,129749000,685328000,292839000,390638000,1851000,815077000,1063360000,22019000,13443000,1972000,6604000,17748000,14368000,39767000,216424000,163677000,713851000,-30593000,846935000,846935000,1063359000,26329000,9499000,5531000,-3605000,37754000,-6934000,1470000,-5521000,-11889000,-999.999999999534,-1000,-392000,-86293000,-54060000,-54060000,2145000,-51915000,47300000,7.3e+07,48674000,0.67216,0.32126,0.22377,0.03109,0.02476,1.84868,6.24344,0.25554,0.06865,0.17716,0.17649,0.79172,5.69881,0.32752,0.08,0.03734,0.04755,0.45156,-0.80171,-1.00317
"25","2016_Q2",24.56125,"Up",112381000,-36990000,75391000,-44362000,-33040000,-11322000,31029000,818000,31847000,31847000,-9139000,22708000,22708000,22708000,22708000,87265000,48842000,38423000,70915000,70915000,58967000,23850000,240997000,132852000,754470000,325396000,427317000,1757000,887322000,1128319000,28158000,13177000,8444000,6537000,16882000,13043000,45040000,290373000,166975000,724586000,-53615000,837946000,837946000,1128319000,22707000,10685000,2193000,-3621000,31964000,-6121000,3930000,-85161000,-11894000,1128000,1128000,-381440.625257432,41734000,-11463000,-11463000,5773000,-5690000,41714000,164368000,41111000,0.67085,0.27611,0.20206,0.0271,0.02013,1.81042,5.35073,0.34653,0.14568,0.15273,0.15214,0.75588,5.63605,0.27651,0.08,0.03194,0.03795,0.52378,1.84837,2.48487
"26","2016_Q3",26.30640625,"Up",120907000,-39320000,81587000,-45562000,-34585000,-10977000,36025000,-651000,35374000,35374000,-9523000,25851000,25851000,25851000,25851000,113923000,62452000,51471000,66135000,66135000,58675000,19650000,258383000,134043000,741027000,315547000,423895000,1585000,875070000,1133453000,18771000,10426000,852000,7493000,17058000,13919000,35829000,277110000,169332000,738538000,-51527000,856343000,856343000,1133453000,25852000,10590000,3291000,-1325000,38408000,-4887000,0,-4805000,-11902000,47000,47000,120000,-13235000,20368000,20368000,-6758000,13610000,46615000,162789000,49926000,0.67479,0.29796,0.21381,0.03019,0.02281,1.9313,7.21156,0.3236,0.14362,0.17378,0.17326,0.81279,5.7567,0.33562,0.08001,0.0344,0.04549,0.46041,1.04829,1.35645
"27","2016_Q4",25.2563492063492,"Down",130973000,-40984000,89989000,-46462000,-35217000,-11245000,43527000,-1037000,42490000,42490000,-12199000,30291000,30291000,30291000,30291000,84587000,65713000,18874000,87156000,87156000,57066000,7930000,236739000,133666000,751518000,315310000,434734000,1474000,885184000,1121923000,24490000,13516000,3953000,7021000,22126000,16908000,46616000,268961000,172516000,756926000,-76480000,852962000,852962000,1121923000,30291000,10828000,3023000,-7005000,37137000,-2836000,-3150000,-13986000,-11902000,748000,748000,119000,-19535000,3616000,3616000,-355000,3261000,54355000,157808000,56713000,0.68708,0.33234,0.23128,0.03551,0.027,1.87227,5.07849,0.31533,0.14066,0.20359,0.20303,0.88029,5.73289,0.38118,0.08,0.03924,0.05274,0.39292,1.34709,1.6822
"28","2017_Q1",24.8853225806452,"Down",134762000,-45070000,89692000,-49680000,-38037000,-11643000,40012000,-2242000,37770000,37770000,-12144000,25626000,25626000,25626000,25626000,95835000,64237000,31598000,93393000,93393000,57102000,7561000,253891000,132362000,743328000,310524000,430882000,1922000,875690000,1129581000,30803000,20653000,1779000,8371000,23344000,18627000,54147000,250301000,179132000,770553000,-70405000,879280000,879280000,1129581000,25626000,10661000,4017000,-3090000,37214000,-3054000,-4000,-3618000,-11909000,3535000,3535000,-526000,-32900000,696000,696000,-2172000,-1476000,50673000,91500000,56673000,0.66556,0.29691,0.19016,0.02914,0.02269,2.21154,4.68892,0.28467,0.081,0.17212,0.17135,0.90512,5.90565,0.38064,0.07999,0.0349,0.0527,0.46472,-0.08555,-0.10834
"29","2017_Q2",26.4287301587302,"Up",130581000,-43236000,87345000,-58189000,-45424000,-12765000,29156000,-1371000,27785000,27785000,-8942000,18843000,18843000,18843000,18843000,121970000,69589000,52381000,109813000,109813000,70519000,7849000,310151000,133805000,1073521000,503626000,565789000,4106000,1207326000,1517477000,38791000,14178000,4646000,19967000,68227000,63743000,107018000,622084000,184586000,774734000,-63925000,895395000,895395000,1517479000,16281000,13644000,8640000,-12260000,26305000,-2442000,-6836000,-268282000,-11932000,2026000,2026000,4204318.39101814,242081000,104000,104000,5248000,5352000,42800000,343500000,37040000,0.6689,0.22328,0.1443,0.02104,0.01242,1.96572,2.89812,0.69476,0.22636,0.12636,0.12571,0.87565,6.00437,0.24838,0.08001,0.02182,0.02626,0.63323,5.17593,7.59809
"30","2017_Q3",28.7739682539683,"Up",131807000,-43665000,88142000,-70262000,-56981000,-13281000,17880000,-2693000,15187000,15187000,-7721000,7466000,7466000,7466000,7466000,115495000,58936000,56559000,104368000,104368000,66089000,8154000,294106000,131952000,1093967000,493542000,557731000,42694000,1225919000,1520025000,32769000,12908000,0,19861000,87557000,82705000,120326000,629452000,188788000,769005000,-67220000,890573000,890573000,1520025000,10028000,15606000,7773000,8446000,41853000,-2853000,6803000,-32975000,-11939000,78999.9999999998,79000,-171000,-12107999.9999999,-3230000,-3230000,-7423000,-10653000,33486000,343659000,46800000,0.66872,0.13565,0.05664,0.00838,0.00491,6.26842,2.44424,0.70679,0.22609,0.05003,0.0498,0.88324,5.96771,0.31361,0.08,0.01386,0.03344,1.59912,6.81371,12.76085
