"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",17.1829032258065,"Down",60491000,-70598000,-20519000,-50079000,-10138000,-11546000,-11546000,-21684000,-21684000,-21710000,-21710000,-21710000,-21710000,243599000,239083000,4516000,16540000,16540000,18399000,8899000,278728000,6169000,11638000,5018000,17807000,296535000,60852000,12764000,38588000,66973000,137641000,54061000,54061000,378844000,516485000,1450570000,-1672669000,2149000,-219950000,-219950000,296535000,-21710000,7576000,9583000,-22594000,-27145000,-406000,157000,-249000,8914000,8914000,8914000,-18480000,-18480000,-18480000,-2562000,334599000,-0.1676,-0.3589,0.0987,-0.07321,2.02504,-2.34819,1.12836,-0.16591,-0.16591,0.46229,-1.68092,-0.12868,-35.51913,-8.97613
"12","2013_Q1",20.5026666666667,"Up",113846000,-83493000,-23729000,-59764000,30254000,-11394000,-11394000,18860000,18860000,18779000,18779000,18779000,18779000,228418000,224057000,4361000,70951000,70951000,9867000,9867000,309514000,6348000,14557000,8475000,20905000,330419000,69995000,13961000,51284000,66079000,136074000,38226000,38226000,369302000,505376000,1477055000,-1653890000,1878000,-174957000,-174957000,330419000,18779000,7765000,8515000,-57067000,-22008000,-930000,430000,-5e+05,7482000,7482000,7482000,-15026000,-15026000,-15026000,38019000,331076000,0.26574,0.16495,-0.10733,0.05683,2.2746,-2.88857,1.00199,0.14258,0.15272,0.86437,-1.32835,0.09663,2.70018,3.3932
"13","2013_Q2",21.84640625,"Up",71077000,-75024000,-22261000,-52763000,-4097000,-11529000,-11529000,-15626000,-15626000,-15669000,-15669000,-15669000,-15669000,270179000,265814000,4365000,28041000,28041000,10704000,10704000,309113000,6485000,14684000,9141000,21169000,330282000,68729000,15515000,43714000,52554000,121283000,35012000,35012000,372525000,493808000,1504034000,-1669559000,1999000,-163526000,-163526000,330282000,-15669000,7734000,9182000,23491000,24738000,-894000,136000,-758000,17777000,17777000,17777000,41757000,41757000,41757000,3637000,337513000,-0.05764,-0.22045,0.09582,-0.04744,2.54869,-3.01975,1.02189,-0.11663,-0.11663,0.52906,-1.21721,-0.07497,18.51361,-16.43495
"14","2013_Q3",29.519375,"Up",101675000,-84198000,-23248000,-60950000,17319000,-10049000,-10049000,7270000,-2501000,-2571000,-2571000,-2571000,-2571000,277453000,258202000,19251000,27522000,27522000,8261000,8261000,313369000,6236000,14614000,11410000,20850000,334219000,63929000,13471000,47414000,39029000,102958000,35230000,35230000,259047000,362005000,1642351000,-1672130000,1993000,-27786000,-27786000,334219000,-2571000,8053000,19719000,-17120000,8081000,-553000,-15149000,-15702000,9780000,9780000,9000,-7612000,-7612000,-7611999.99999999,25372000,223817000,0.17034,-0.02529,0.09253,-0.00769,3.04366,-13.02832,0.66967,-0.01807,-0.01807,0.71459,-0.19529,-0.01112,-2.11398,-3.09695
"15","2013_Q4",43.50640625,"Up",85123000,-98151000,-26447000,-71704000,-13183000,-7313000,-7313000,-20496000,-21987000,-22036000,-22036000,-22036000,-22036000,291174000,272122000,19052000,33197000,33197000,9013000,9013000,333743000,6201000,17456000,14948000,23657000,357400000,83995000,18212000,59696000,25503000,109498000,31975000,31975000,219111000,328609000,1720949000,-1694166000,2008000,28791000,28791000,357400000,-22036000,4568000,10938000,-5420000,-11950000,-789000,-214000,-1003000,28364000,28364000,26873000,13920000,13920000,13920000,-8615000,187136000,-0.15487,-0.25887,-0.76538,-0.06166,3.04794,11.4136,0.5236,-0.14211,-0.14211,0.54894,0.18567,-0.08889,12.07638,7.89183
"16","2014_Q1",62.0629508196721,"Up",97072000,-113046000,-38027000,-75019000,-16141000,-8437000,-8437000,-24578000,-42734000,-42871000,-42871000,-42871000,-42871000,509004000,471429000,37575000,35374000,35374000,11015000,9620000,555799000,26848000,46921000,29437000,73769000,629568000,95152000,19102000,74141000,12890000,108042000,53067000,52172000,714634000,822676000,1541936000,-1737037000,1993000,-193108000,-193108000,629568000,-42871000,8852000,27763000,-5433000,-11689000,-2031000,-17903000,-19934000,17236000,17236000,230930000,199307000,199307000,199307000,-7289000,661567000,-0.16628,-0.44164,0.22201,-0.0681,5.14429,-4.26019,1.05083,-0.26477,-0.26477,0.59952,-1.19264,-0.0822,-20.93058,-9.45189
"17","2014_Q2",51.0704761904762,"Down",89792000,-112559000,-36974000,-75585000,-22935000,-10708000,-10708000,-33643000,-33908000,-33957000,-33957000,-33957000,-33957000,519231000,436585000,82646000,46394000,46394000,15198000,13681000,581170000,38654000,47002000,29877000,85656000,666826000,94057000,17950000,71645000,12887000,106944000,57082000,56190000,722304000,829248000,1606532000,-1770994000,2040000,-162422000,-162422000,666826000,-33957000,9623000,15643000,-23003000,-31694000,-2663000,-45024000,-47687000,44833000,44833000,44537000,-34844000,-34844000,-34844000,-13312000,665222000,-0.25542,-0.37817,0.20907,-0.05092,5.43434,-5.10552,0.99759,-0.20536,-0.20536,0.54302,-0.98225,-0.06065,-10.96687,-6.36542
"18","2014_Q3",50.1328125,"Down",99582000,-125583000,-40899000,-84684000,-26188000,-10615000,-10615000,-36803000,-36803000,-36873000,-36873000,-36873000,-36873000,508753000,406264000,102489000,47205000,47205000,20918000,19268000,577145000,55607000,46355000,29841000,101962000,679107000,99662000,27251000,70561000,12885000,112547000,64243000,63343000,737558000,850105000,1634789000,-1807867000,2080000,-170998000,-170998000,679107000,-36873000,9698000,15478000,-2860000,-14557000,-8699000,-19844000,-28543000,12779000,12779000,12779000,-30321000,-30321000,-30321000,-16490000,673315000,-0.26298,-0.37028,0.21563,-0.0543,5.12804,-4.97143,0.99147,-0.21959,-0.21959,0.59305,-1.01837,-0.06508,-9.9795,-6.28387
"19","2014_Q4",65.32859375,"Up",198148000,-127984000,-39447000,-88537000,69943000,-10579000,-10579000,59364000,59364000,59292000,59292000,59292000,59292000,532359000,382004000,150355000,109599000,109599000,20254000,18979000,662614000,75258000,47393000,31654000,122651000,785265000,111778000,26605000,80717000,12882000,124660000,68883000,68108000,750196000,874856000,1657070000,-1748575000,1914000,-89591000,-89591000,785265000,59292000,9871000,15323000,-56699000,27787000,-10659000,-48032000,-58691000,6539000,6539000,6644000,-24260000,-24260000,-24260000,79814000,681313000,0.35298,0.29923,-0.66181,0.07551,5.31537,-9.765,0.86762,0.35169,0.31364,1.17531,-0.53141,0.08975,1.86626,2.12965
"20","2015_Q1",82.666393442623,"Up",123973000,-147169000,-48452000,-98717000,-25624000,-11576000,-11576000,-37200000,-37200000,-36943000,-36943000,-36943000,-36943000,600263000,452297000,147966000,57933000,57933000,21019000,20519000,679573000,81790000,35114000,33078000,116904000,796477000,122995000,24462000,96692000,12880000,221061000,67063000,67063000,657044000,878105000,1702075000,-1785518000,1815000,-81628000,-81628000,796477000,-36943000,12221000,15999000,53443000,44720000,-5855000,2337000,-3518000,28693000,28693000,29097000,70299000,70299000,70293000,-13403000,675167000,-0.20669,-0.29799,0.45258,-0.04638,3.07414,-10.7574,0.84769,-0.21741,-0.24716,0.72957,-0.48038,-0.05592,-5.5886,-2.9232
