"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",38.6956451612903,"Up",788398000,-186248000,602150000,-656338000,-542264000,-428507000,-113757000,-114074000,-54188000,-8663000,-4360000,-62851000,-62851000,-157446000,-220297000,-220297000,-220297000,-220297000,605564000,521720000,83844000,418590000,418590000,233131000,117600000,100808000,1257285000,583839000,810486000,1990680000,225137000,1525154000,234104000,3385005000,4642290000,582207000,582207000,1226118000,2323216000,-245062705.967316,235459000,123628000,235459000,2558675000,2150104000,-90138000,23649000,2083615000,2083615000,4642290000,-220297000,59960000,147493000,118759000,105915000,-51054000,-89428000,-515760000,-1657000,-657899000,-7664000,76483000,71979000,-480005000,-480005000,995000,-479010000,5772000,514891000,230923000,0.76376,-0.06873,-0.27942,-0.10573,-0.04745,-1.04823,0.54118,1.228,0.11091,-0.38703,-0.38703,1.38511,3.66063,0.4057,3,-0.07773,0.08148,-15.70911,1.6733
"12","2013_Q1",43.4663333333333,"Up",834681000,-183362000,651319000,-672126000,-550939000,-435570000,-115369000,-121187000,-20807000,-5236000,-921999.999999999,-26043000,-26043000,5198999.99999997,-20844000,-20844000,-20844000,-20844000,867621000,747245000,120376000,872634000,872634000,275625000,133314000,142311000,2015880000,604669000,890664000,2017743000,207323000,1529378000,281042000,3513076000,5528956000,597706000,597706000,1798640000,2917624000,0,293699000,229344000,293699000,3211323000,2411478000,-110982000,17137000,2317633000,2317633000,5528956000,-20844000,57395000,171821000,73201000,281573000,-50522000,-118558000,-4994000.00000012,-4244000,-178318000,-9036999.99999994,147492000,124483000,227738000,227738000,-2213000,225525000,36588000,521278000,54068000,0.78032,-0.02493,-0.02497,-0.00898999999999997,-0.00377,-2.59394,0.69093,1.3856,0.09428,-0.03593,-0.03593,1.43892,3.9954,0.09321,2,-0.00664999999999999,0.01726,-9.46603,16.6455
"13","2013_Q2",41.27484375,"Down",892633000,-208994000,683639000,-728179000,-596240000,-466490000,-129750000,-131939000,-44540000,-9403000,-874000,-53943000,-53943000,-13778000,-67721000,-67721000,-67721000,-67721000,2099817000,1927990000,171827000,502609000,502609000,273613000,154114000,119499000,2876039000,623684000,979640000,2034346000,192429000,1544584000,297333000,3637670000,6513709000,527080000,527080000,1674797000,2729687000,1029495000,291731000,184129000,1321226000,4050913000,2627773000,-178703000,13726000,2462796000,2462796000,6513709000,-67721000,62297000,168200000,120413000,283189000,-54010000,-137989000,-22161000,-5116000,-219276000,1124251000,151324000,1123641000,1187554000,1187554000,-6809000,1180745000,17757000,1557305000,97938000,0.76587,-0.0499,-0.07587,-0.0275,-0.0104,-1.4462,1.05361,1.64484,0.23908,-0.1151,-0.1151,1.51709,4.18569,0.16645,3,-0.01571,0.02271,-30.55201,12.18033
"14","2013_Q3",45.39078125,"Up",957094000,-217717000,739377000,-779234000,-631155000,-480621000,-150534000,-148079000,-39857000,-16947000,-1678000,-56804000,-56804000,133407000,76603000,76603000,76603000,76603000,623491000,579881000,43610000,599543000,599543000,475131000,355628000,119503000,1698165000,1184861000,306517000,4780353000,537380000,3503681000,739292000,6271731000,7969896000,764083000,764083000,1734841000,3033315000,1335271000,782661000,727854000,2117932000,5151247000,2909510000,-102100000,11239000,2818649000,2818649000,7969896000,76603000,77966000,171137000,-142523000,183183000,-102549000,843498000,-2592571000,-3698000,-1855320000,286392000,40195000,325309000,-1346828000,-1346828000,-1281000,-1348109000,38109000,1869662000,-340370000,0.77252,-0.04164,0.0800399999999999,0.02718,0.00961,-4.4433,0.55984,1.82756,0.23459,0.12895,0.12263,1.61117,4.74492,-0.57298,4,0.014,-0.06221,32.70018,-31.26605
"15","2013_Q4",53.49046875,"Up",1076034000,-268187000,807847000,-905778000,-735088000,-581229000,-153859000,-170690000,-97931000,-26110000,-4291000,-124041000,-124041000,-393000,-124434000,-124434000,-124434000,-124434000,703542000,651750000,51792000,604045000,604045000,493299000,367245000,126054000,1800886000,1205349000,381765000,4709634000,505829000,3495021000,708784000,6296748000,8097634000,839302000,839302000,1686262000,3066689000,1333583000,785006000,736649000,2118589000,5185278000,3122084000,-226534000,16806000,2912356000,2912356000,8097634000,-124434000,114347000,201309000,-53363000,137859000,-72702000,-81803000,0,-9017000,-163522000,-19940000,110710000,92348000,66685000,66685000,5184000,71869000,16416000,1874708000,-109256000,0.75076,-0.09101,-0.11564,-0.04273,-0.01537,0.87802,0.58724,1.78044,0.23151,-0.20723,-0.20723,1.792,4.85015,-0.18195,4,-0.02233,-0.01961,71.34296,-11.95909
"16","2014_Q1",59.7834426229508,"Up",1145242000,-273530000,871712000,-975458000,-802368000,-639792000,-162576000,-173090000,-103746000,-19401000,1975000,-123147000,-123147000,6524000.00000001,-116623000,-116623000,-116623000,-116623000,838774000,781635000,57139000,1360837000,1360837000,480641000,309180000,171461000,2680252000,1240746000,482243000,4749689000,481917000,3500823000,766949000,6472678000,9152930000,934324000,934324000,2473705000,3950188000,1331930000,832302000,783892000,2164232000,6114420000,3363987000,-343157000,17680000,3038510000,3038510000,9152930000,-116623000,114813000,198839000,74209000,271238000,-69849000,-107689000,-2570000,-13329000,-193437000,-21544000,72502000,56936000,134737000,134737000,-4852000,129885000,11067000,1874089000,8903000,0.76116,-0.09059,-0.10183,-0.03838,-0.01274,-0.0763399999999999,0.67851,2.01231,0.20475,-0.19195,-0.20214,1.88497,5.00113,0.0146500000000001,3,-0.0203,0.00155,93.54974,-9.97932
"17","2014_Q2",54.0168253968254,"Down",1226772000,-292305000,934467000,-989808000,-801450000,-639355000,-162095000,-188358000,-55341000,-29428000,-10847000,-84769000,-84769000,-12142000,-96911000,-96911000,-96911000,-96911000,879124000,827891000,51233000,684155000,684155000,476102000,313608000,162494000,2039381000,1.251e+09,650764000,4700199000,455819000,3500823000,743557000,6601963000,8641344000,766601000,766601000,2288324000,3329954000,1330315000,849161000,812870000,2179476000,5509430000,3556684000,-440068000,15298000,3131914000,3131914000,8641344000,-96911000,110808000,202226000,256964000,473087000,-60098000,-164026000,0,13754000,-210370000,-301986000,73795000,-219150000,43567000,43567000,2689000,46256000,55467000,1605344000,264475000,0.76173,-0.04511,-0.079,-0.03094,-0.01121,-2.72905,0.61244,1.75913,0.18577,-0.15822,-0.15822,2.00285,5.11323,0.43179,3,-0.01735,0.04734,13.09283,-13.12264
"18","2014_Q3",56.32015625,"Up",1318551000,-307831000,1010720000,-1044154000,-841045000,-671958000,-169087000,-203109000,-33434000,-19535000,-3876000,-52969000,-52969000,-8119000,-61088000,-61088000,-61088000,-61088000,844575000,774725000,69850000,834323000,834323000,625789000,296361000,329428000,2304687000,1189930000,827183000,4688028000,449499000,3492713000,745816000,6705141000,9009828000,891062000,891062000,2316574000,3472738000,1328737000,907785000,871455000,2236522000,5709260000,3790561000,-501156000,11163000,3300568000,3300568000,9009828000,-61088000,107596000,220836000,-21451000,245893000,-71576000,-197093000,0,-17807000,-286476000,-61532999.9999999,61429000,-6919000,-47502000,-47502000,-5664000,-53166000,74162000,1593839000,-10746000,0.76654,-0.02536,-0.04633,-0.01851,-0.00678,0.17591,0.66365,1.72978,0.1769,-0.09901,-0.09901,2.13698,5.34924,-0.01742,6,-0.01053,-0.00185,10.10307,-22.41024
"19","2014_Q4",58.96203125,"Up",1383655000,-333211000,1050444000,-1072486000,-877026000,-709643000,-167383000,-195460000,-22042000,-15432000,-372000,-37474000,-21849000,-17075000,-38924000,-38924000,-38924000,-38924000,926104000,846325000,79779000,794590000,794590000,603526000,287612000,315914000,2324220000,1109816000,901173000,5077454000,448088000,3782569000,846797000,7088443000,9412663000,935942000,935942000,2192655000,3308352000,1364683000,949014000,917692000,2313697000,5622049000,4331945000,-540080000,-1251000,3790614000,3790614000,9412663000,-38924000,111954000,198745000,-149264000,122511000,149814000,-85364000,38071000,-158787000,-56266000,-72665000,91337000,19893000,86138000,86138000,-14538000,71600000,89912000,1544438000,107537000,0.75918,-0.01593,-0.02813,-0.01027,-0.00414,-2.76274,0.70253,1.48315,0.16408,-0.06183,-0.06183,2.19785,6.02117,0.17082,6,-0.00619,0.01711,6.8771,-28.05254
"20","2015_Q1",62.0280327868852,"Up",1444608000,-355923000,1088685000,-1123501000,-917511000,-736140000,-181371000,-205990000,-34816000,-18682000,-4783000,-53498000,-53498000,-12267000,-65765000,-65765000,-65765000,-65765000,995429000,908117000,87312000,1905506000,1905506000,613609000,245026000,368583000,3514544000,1125866000,1070629000,4954088000,433398000,3782660000,738030000,7150583000,10665127000,1103335000,1103335000,3286768000,4390103000,1370692000,929149000,894468000,2299841000,6689944000,4605136000,-605845000,-24108000,3975183000,3975183000,10665127000,-65765000,117938000,234921000,52859000,339953000,-85353999.9999999,-2574000,-7.45058059692383e-09,-57320000,-145248000,-191016000,82428000,-112035000,82670000,82670000,-20878000,61792000,83122000,1370692000,62894000,0.75362,-0.0241,-0.04552,-0.01654,-0.00617,-0.95634,0.80056,1.68293,0.12852,-0.10316,-0.10316,2.26599,6.23542,0.09865,5,-0.01048,0.01002,4.51461,-10.77846
"21","2015_Q2",71.2198412698413,"Up",1511167000,-381802000,1129365000,-1098260000,-912749000,-736938000,-175811000,-222128000,31105000,-13032000,-918000,18073000,18073000,-13981000,4092000,4092000,4092000,4092000,1019015000,941956000,77059000,926381000,926381000,659429000,310983000,348446000,2604825000,1737094000,903461000,5120302000,421323000,3791583000,907396000,7760857000,10365682000,928105000,928105000,3032771000,3960876000,1275503000,894100000,870051000,2169603000,6130479000,4865308000,-601753000,-28352000,4235203000,4235203000,10365682000,4092000,127927000,188959000,414103000,735081000,-496463000,-595000,-12470000,-26595000,-536123000,-316825000,155015000,-161810000,37148000,37148000,-3309000,33839000,159032000,1275503000,90653000,0.74735,0.02058,0.00271,0.00097,0.00039,22.15371,0.65764,1.44751,0.12305,0.00626,0.00616,2.31133,6.47774,0.13865,6,0.00064,0.01415,1.61281,8.24588
"22","2015_Q3",70.88875,"Down",1634684000,-405384000,1229300000,-1209476000,-975376000,-793691000,-181685000,-234100000,19824000,-12866000,1947000,6958000,6958000.00000001,-7810000,-852000,-852000,-852000.000000015,-852000.000000015,1170469000,1089351000,81118000,1067799000,1067799000,678519000,330291000,348228000,2916787000,1725184000,1374380000,4777626000,414035000,3804288000,559303000,7877190000,10793977000,1098054000,1098054000,3014940000,4112994000,1281612000,863568000,843517000,2145180000,6258174000,5166552000,-602605000,-28144000,4535803000,4535803000,10793977000,-852000,131675000,231749000,-58294000,304278000,-64883000.0000001,-3441000,-18451000,-147002000,-233777000,258926000,114799000,73725000,144226000,144226000,3169000,147395000,151499000,1281612000,36132000,0.75201,0.01213,-0.000520000000000004,-0.00019,-8.00000000000008e-05,-42.40845,0.70916,1.37973,0.11873,-0.00129,-0.00129,2.47918,6.87904,0.0548,6,-0.00013,0.00541,0.73362,5.60649
"23","2015_Q4",78.08953125,"Up",1711967000,-423683000,1288284000,-1244850000,-1005638000,-818820000,-186818000,-239212000,43434000,-21835000,-7093000,21599000,43391000,-68548000,-25157000,-25157000,-25157000,-25157000,1358005000,1223318000,134687000,1060726000,1060726000,520042000,311909000,208133000,2938773000,1742142000,1440110000,4790941000,397013000,3849054000,544874000,7973193000,10911966000,1149693000,1149693000,2827285000,3976978000,1287761000,897273000,878048000,2185034000,6162012000,5411041000,-627762000,-33325000,4749954000,4749954000,10911966000,-25157000,134236000,215683000,-162248000,162514000,47025000,-101682000,-27759000,-30330000,-112746000,-10945000,98016000,87071000,136839000,136839000,-2872000,133967000,177670000,1287761000,130995000,0.75252,0.02537,-0.01469,-0.0053,-0.00231,-5.2071,0.73895,1.29728,0.11801,-0.03788,-0.03788,2.57775,7.15213,0.19724,6,-0.00363,0.01889,-0.39536,-1.61726
"24","2016_Q1",68.8652459016393,"Down",1809398000,-443679000,1365719000,-1345159000,-1094299000,-890375000,-203924000,-250860000,20560000,-24703000,-9228000,-4143000,-4143000.00000001,-21366000,-25509000,-25509000,-25509000,-25509000,2725377000,1158363000,1567014000,2496165000,2496165000,509781000,250594000,259187000,5731323000,1715828000,520721000,4795048000,613071000,3849937000,332040000,7031597000,12762920000,1349338000,1349338000,4267667000,5617005000,1286095000,856951000,833065000,2143046000,7760051000,5706057000,-653271000,-49917000,5002869000,5002869000,12762920000,-25509000,131912000,245369000,118436000,470208000,-68465000,-495474000,2.98023223876953e-08,-41293000,-605232000,-13486000,87652000,74166000,-60857999.9999999,-60857999.9999999,-4097000,-64955000,152472000,1286095000,223809000,0.75479,0.01136,-0.0141,-0.0051,-0.002,-8.77373,1.02035,1.55112,0.10077,-0.03811,-0.03872,2.70349,7.47498,0.3344,7,-0.00357,0.03132,-9.43965,-70.00399
"25","2016_Q2",78.48765625,"Up",1916603000,-496981000,1419622000,-1367636000,-1106666000,-895860000,-210806000,-260970000,51986000,-27695000,-13806000,24291000,37155000,1604000,38759000,38759000,38759000,38759000,2031192000,1799083000,232109000,1192965000,1192965000,550515000,306625000,243890000,3774672000,1711472000,2205010000,5126116000,407030000,4129656000,589430000,9042598000,12817270000,1093197000,1093197000,3991906000,5085103000,1293170000,854733000,839725000,2147903000,7233006000,6218624000,-605783000,-28577000,5584264000,5584264000,12817270000,38759000,132772000,271754000,607777000,1051062000,-83301000,-343117000,-1799000,-22061000,-450278000,-49968000,89141000,39173000,639957000,639957000,763000,640720000,184758000,1293170000,707630000,0.7407,0.02712,0.02022,0.00694,0.00302,18.25718,0.7423,1.29525,0.10089,0.05721,0.05643,2.82888,8.24229,1.04445,7,0.00501,0.09152,-3.99453,-14.19655
"26","2016_Q3",77.993125,"Down",2036618000,-525579000,1511039000,-1478488000,-1186982000,-934931000,-252051000,-291506000,32551000,-8268000,524000,24283000,24283000,205339000,229622000,229622000,229622000,229622000,1174283000,1115226000,59057000,1323114000,1323114000,780602000,543852000,236750000,3277999000,1728243000,1093921000,8281151000,626214000,6029895000,1625042000,11103315000,14381314000,1567896000,1567896000,3808200000,5376096000,1796929000,1075713000,1060352000,2872642000,8248738000,6519952000,-376161000,-11215000,6132576000,6132576000,14381314000,229622000,149361000,277961000,-406266000,250678000,-96030000,1352182000,-2798194000,-390000,-1542432000,482755000,133878000,616633000,-675121000,-675121000,-8736000,-683857000,181912000,1796929000,-525723000,0.74194,0.01598,0.11275,0.03744,0.01597,-2.28951,0.60974,1.34507,0.12495,0.33712,0.32993,2.99008,9.00359,-0.77184,4,0.0255,-0.05838,3.42279,19.12832
"27","2016_Q4",72.5722222222222,"Down",2144775000,-585522000,1559253000,-1556217000,-1244758000,-997993000,-246765000,-311459000,3036000,-16455000,1782000,-13419000,-12586000,-24723000,-37309000,-37309000,-37309000,-37309000,1200807000,1145736000,55071000,1281425000,1281425000,519322000,281593000,237729000,3001554000,1756673000,1106291000,8523151000,637877000,6616999000,1268275000,11386115000,14387669000,1496841000,1496841000,3478693000,4975534000,1804371000,801727000,785287000,2606098000,7581632000,7282450000,-413470000,-62943000,6806037000,6806037000,14387669000,-37309000,169346000,304429000,-282154000,154312000,-140653000,-4137000,-32117000,-16877000,-193784000,-10997000,92846000,81849000,42377000,42377000,-11867000,30510000,172382000,1804371000,-225702000,0.727,0.00142,-0.0174,-0.00548,-0.00259,6.04953,0.60326,1.11396,0.12541,-0.05403,-0.05403,3.10626,9.85714,-0.32688,3,-0.00396,-0.02398,3.50132,198.80237
