"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","pension_liabilities","pensions","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",14.838064516129,"Down",12006000,-1046000,10960000,-8812000,-4175000,-2235000,-1940000,-4637000,2148000,731000,731000,2879000,2879000,-285000,2594000,2594000,2594000,2594000,141649000,89681000,51968000,6015000,4366000,2373000,152030000,1192000,59981000,36498000,1106000,19944000,61173000,213203000,10980000,1009000,8261000,867000,867000,11847000,6053000,5856000,5856000,6053000,17900000,197160000,20278000,280000,195303000,195303000,213203000,2594000,128000,1640000,-1526000,2836000,-143000,-143000,2994000,-720000,598000,-2208000,651000,-2250000,1184000,1184000,-11000,1173000,2276000,0,892000,0.91288,0.17891,0.21606,0.01328,0.01217,0.34387,12.83278,0.09165,0,0.11187,0.1088,0.51777,8.42259,0.03847,4,0.01288,0.00443,-62.23594,-65.9446
"12","2013_Q1",15.9283333333333,"Up",12967000,-1025000,11942000,-9524000,-4829000,-2603000,-2226000,-4695000,2418000,727000,727000,3145000,3145000,-390000,2755000,2755000,2755000,2755000,134994000,65651000,69343000,6232000,4426000,2361000,145652000,1392000,69289000,36498000,1178000,29180000,70681000,216333000,13242000,1176000,10440000,865000,865000,14107000,6158000,6158000,6158000,6158000,20265000,198517000,22885000,360000,196068000,196068000,216333000,2755000,138000,1002000,2042000,5937000,-338000,-338000,-17798000,12477000,-5659000,-3427000,89000,-3465000,-3187000,-3187000,-71000,-3258000,2556000,0,4650000,0.92095,0.18647,0.21246,0.01405,0.01273,1.68784,10.3248,0.10336,0,0.12442,0.12186,0.58563,8.85503,0.21001,4,0.01362,0.02299,-52.81455,-55.82878
"13","2013_Q2",16.128125,"Up",12116000,-1575000,10541000,-9232000,-4193000,-2355000,-1838000,-5039000,1309000,729000,729000,2038000,2038000,-333000,1705000,1705000,1705000,1705000,133753000,60113000,73640000,7340000,5964000,3670000,147057000,1536000,70163000,36498000,1146000,29786000,71699000,218756000,13746000,1087000,10877000,483000,483000,14229000,6725000,6725000,6725000,6725000,20954000,199835000,24074000,247000,197802000,197802000,218756000,1705000,154000,1598000,-2787000,670000,-298000,-298000,-4692000,-2856000,-7846000,-1176000,826000,-1176000,-8352000,-8352000,-70000,-8422000,1463000,0,-1289000,0.87001,0.10804,0.14072,0.00862,0.00779,-0.75601,10.33502,0.10593,0,0.077,0.07542,0.5472,8.93334,-0.05822,3,0.00834,-0.0063,-91.42379,-102.17953
"14","2013_Q3",18.43875,"Up",12813000,-1093000,11720000,-9905000,-4284000,-2540000,-1744000,-5621000,1815000,707000,707000,2522000,2522000,-347000,2175000,2175000,2175000,2175000,126166000,46893000,79273000,9186000,5636000,3071000,140988000,1707000,75377000,36498000,1305000,34841000,77084000,218072000,12331000,1198000,9006000,539000,539000,12870000,6722000,6722000,6722000,6722000,19592000,201181000,25403000,-367000,198480000,198480000,218072000,2175000,166000,1143000,-2753000,731000,-337000,-337000,-6678000,6034000,-981000.000000002,-2229000,620000,-2229000,-2479000,-2479000,18000,-2461000,1981000,0,-762000.000000001,0.9147,0.14165,0.16975,0.01096,0.00997,-0.35034,10.95478,0.09871,0,0.09823,0.0962,0.57867,8.96396,-0.03441,3,0.0106,-0.00371,-63.68804,-69.51295
"15","2013_Q4",15.0625,"Down",10005000,-1131000,8874000,-10001000,-4382000,-2376000,-2006000,-5619000,-1127000,617000,617000,-510000,-510000,187000,-323000,-323000,-323000,-323000,125577000,45074000,80503000,9144000,5248000,2438000,139969000,1723000,76357000,36498000,1182000,35310000,78080000,218049000,11738000,674000,9201000,513000,513000,12251000,7034000,7034000,7034000,7034000,19285000,202941000,24540000,-121000,198764000,198764000,218049000,-323000,175000,1856000,-373000,1335000,-191000,-191000,-1132000,5463000,4140000,-1399000,939000,-1399000,4076000,4076000,-8000,4068000,-952000,0,-1703000,0.88696,-0.11264,-0.03228,-0.00163,-0.00148,5.27245,11.42511,0.09702,0,-0.01459,-0.01429,0.45186,8.97679,-0.07691,3,-0.00157,-0.00828,131.90861,111.42591
"16","2014_Q1",17.1652459016393,"Up",13966000,-1364000,12602000,-9840000,-4903000,-2821000,-2082000,-4937000,2762000,661000,661000,3423000,3423000,-295000,3128000,3128000,3128000,3128000,134528000,66064000,68464000,5629000,5453000,1996000,145610000,1616000,65101000,36498000,955000,24281000,66717000,212327000,13554000,1085000,10636000,623000,623000,14177000,7255000,7255000,7255000,7255000,21432000,204436000,27545000,-81000,190895000,190895000,212327000,3128000,175000,1208000,6460000,10971000,-68000,-68000,11942000,3019000,13959000,-12533000,94000.0000000001,-12533000,12397000,12397000,113000,12510000,2937000,0,9624000,0.90233,0.19777,0.22397,0.01639,0.01473,3.07673,10.27086,0.11227,0,0.14918,0.14639,0.66606,9.10411,0.45899,6,0.01579,0.04857,-45.80456,-48.70673
"17","2014_Q2",15.6363492063492,"Down",13674000,-1112000,12562000,-10429000,-4433000,-2393000,-2040000,-5996000,2133000,460000,460000,2593000,2593000,-608000,1985000,1985000,1985000,1985000,135676000,70338000,65338000,3066000,6919000,3641000,145661000,1531000,65312000,36498000,1036000,24411000,66843000,212504000,12936000,622000,10456000,8e+05,8e+05,13736000,7383000,7383000,7383000,7383000,21119000,206128000,28991000,-56000,191385000,191385000,212504000,1985000,162000,1921000,731000,4799000,-77000,-77000,2821000,-389000,2355000,-3212000,915000,-3033000,4121000,4121000,-37000,4084000,2295000,0,3557000,0.91868,0.15599,0.14517,0.01037,0.00934,1.79194,10.60432,0.11035,0,0.09467,0.0929,0.65214,9.12748,0.16964,8,0.00999,0.0179,-59.11808,-63.60806
"18","2014_Q3",14.69625,"Down",9215000,-1370000,7845000,-10109000,-4058000,-2197000,-1861000,-6051000,-2264000,417000,417000,-1847000,-1847000,321000,-1526000,-1526000,-1526000,-1526000,123350000,80487000,42863000,5070000,6256000,2672000,134676000,1463000,64482000,36498000,997000,23620000,65945000,200621000,10768000,894000,7963000,762000,762000,11530000,7677000,7677000,7677000,7677000,19207000,207296000,26952000,-64000,181414000,181414000,200621000,-1526000,156000,1408000,-3496000,-3458000,-88000,-88000,22157000,-14175000,7894000,-9606000,539000,-9785000,-5349000,-5349000,41000,-5308000,-2108000,0,-6013000,0.85133,-0.24569,-0.1656,-0.00841,-0.00761,3.94037,11.68049,0.10587,0,-0.07278,-0.07142,0.43948,8.65195,-0.28677,2,-0.00807,-0.0318,58.51518,54.48322
"19","2014_Q4",15.86,"Up",14098000,-1255000,12843000,-11613000,-4834000,-2611000,-2223000,-6453000,1230000,66000,66000,1296000,892000,-236000,656000,656000,656000,656000,111659000,72168000,39491000,8289000,9358000,4578000,129306000,2171000,79011000,46415000,810000,23850000,81182000,210488000,19217000,1159000,15938000,2315000,2315000,21532000,9501000,7351000,7351000,9501000,31033000,208418000,27200000,-339000,179455000,179455000,210488000,656000,536000,1759000,1776000,4727000,-593000,-593000,3004000,1352000,-9726000,-3462000,923000,-3462000,-8461000,-8461000,-390000,-8851000,1766000,0,3185000,0.91098,0.08725,0.04653,0.00366,0.00312,4.85518,6.00529,0.17293,0,0.03129,0.0307,0.67236,8.55852,0.1519,7,0.00347,0.01686,-63.22707,-90.77967
"20","2015_Q1",19.5891803278689,"Up",13821000,-1263000,12558000,-12195000,-4544000,-2614000,-1930000,-7328000,363000,31999.9999999999,31999.9999999999,395000,395000,-2329000,-1934000,-1934000,-1934000,-1934000,101443000,53610000,47833000,8347000,3982000,3982000,113772000,2605000,88822000,46612000,1263000,35435000,93233000,207005000,14711000,864000,13847000,5284000,1681000,19995000,7961000,7096000,7096000,7961000,27956000,209446000,24747000,-436000,179049000,179049000,207005000,-1934000,547000,4746000,-318000,3041000,-658000,-658000,-8796000,8039000,-1415000,597000,597000,597000,2223000,2223000,-98999.9999999999,2124000,910000,0,2263000,0.90862,0.02626,-0.13993,-0.0108,-0.00934,-1.17011,5.69002,0.15614,0,-0.09438,-0.09222,0.67449,8.73793,0.11044,5,-0.01034,0.0121,-111.47582,-279.4573
"21","2015_Q2",20.4595238095238,"Up",13834000,-1185000,12649000,-12086000,-4398000,-2426000,-1972000,-7363000,563000,-27000,-27000,536000,536000,-50000,486000,486000,486000,486000,88934000,40989000,47945000,11376000,7336000,5393000,107646000,2727000,98974000,46612000,734000,46441000,103507000,211153000,16527000,1276000,14476000,3029000,2078000,19556000,8853000,7551000,7551000,8853000,28409000,210296000,22078000,-311000,182744000,182744000,211153000,486000,580000,828000,-2566000,-672000,-377000,-377000,-230000,-435000,-1042000,2235000,4152000,-465000,-2179000,-2179000,6000,-2173000,1143000,0,-1750000,0.91434,0.0407,0.03513,0.00266,0.0023,-3.60082,5.5045,0.15546,0,0.02372,0.02317,0.67513,8.91826,-0.0854,3,0.00254,-0.00913,-77.80752,-157.96448
"22","2015_Q3",18.42265625,"Down",13359000,-1550000,11809000,-11779000,-4214000,-2548000,-1666000,-7241000,30000,269000,269000,299000,299000,-131000,168000,168000,168000,168000,69462000,19200000,50262000,9390000,7203000,5325000,86055000,2836000,116636000,46612000,624000,64537000,121278000,207333000,14414000,918000,13099000,2803000,2803000,17217000,9249000,8050000,8050000,9249000,26466000,211122000,21769000,-139000,180867000,180867000,207333000,168000,584000,1326000,904000,2982000,-369000,-369000,-2757000,2323000,-803000,-3044000,382000.000000001,-4044000,-1865000,-1865000,-44000,-1909000,614000,0,1280000,0.88397,0.00224999999999999,0.01258,0.000930000000000002,0.000810000000000002,7.61905,4.99826,0.14633,0,0.00819999999999998,0.00800999999999999,0.65194,8.82666,0.06247,7,0.000879999999999998,0.00673,-113.13029,-2315.4
"23","2015_Q4",23.848125,"Up",16235000,-1281000,14954000,-11463000,-4567000,-2384000,-2183000,-6571000,3491000,401000,401000,3892000,3892000,-583000,3309000,3309000,3309000,3309000,83113000,34845000,48268000,9137000,5847000,3869000,98097000,2994000,105312000,46612000,668000,53494000,110112000,208209000,14341000,875000,13004000,2045000,2045000,16386000,8567000,7471000,7471000,8567000,24953000,212353000,24680000,-325000,183256000,183256000,208209000,3309000,594000,1154000,445000,5502000,-427000,-427000,1664000,-654000,583000,-1965000,848000,-1853000,4232000,4232000,0,4232000,4085000,0,4686000,0.9211,0.21503,0.20382,0.01806,0.01589,1.41614,5.98663,0.13616,0,0.16157,0.15765,0.79272,8.94805,0.22881,7,0.01725,0.02443,-20.3459,-23.80779
"24","2016_Q1",20.7213114754098,"Down",16071000,-1408000,14663000,-12435000,-5173000,-2810000,-2363000,-6938000,2228000,426000,426000,2654000,2654000,-350000,2304000,2304000,2304000,2304000,97942000,49676000,48266000,4068000,4017000,4017000,106027000,3731000,101085000,46612000,1628000,48631000,106622000,212649000,16220000,693000,15527000,2763000,2763000,18983000,7571000,7571000,7571000,7571000,26554000,208765000,29547000,-419000,186095000,186095000,212649000,2304000,598000,1017000,7649000,11568000,-1011000,-1011000,-372000,-7e+06,-8383000,-591000,1331000,-591000,2594000,2594000,-999.999999999993,2593000,2826000,0,9814000,0.91239,0.13863,0.14336,0.01238,0.01083,4.25955,5.58537,0.14269,0,0.1125,0.10977,0.78472,9.08667,0.4792,6,0.0119,0.05067,-34.65747,-43.9596100000003
"25","2016_Q2",25.30171875,"Up",16508000,-1628000,14880000,-13058000,-4835000,-2845000,-1990000,-7914000,1822000,441000,441000,2263000,2263000,-463000,1800000,1800000,1800000,1800000,106219000,51928000,54291000,6709000,2935000,2935000,115863000,3844000,94511000,46612000,1928000,42066000,98355000,214218000,17349000,1423000,15926000,1429000,1429000,18778000,8168000,8168000,8168000,8168000,26946000,209906000,31160000,-11000,187272000,187272000,214218000,1800000,607000,1392000,-3563000,236000,-411000,-411000,-6051000,1113000,-5349000,-2505000,912000,-2505000,-7618000,-7618000,24000,-7594000,2429000,0,-1082000,0.90138,0.11037,0.10904,0.00961,0.0084,-0.60111,6.17015,0.14389,0,0.08754,0.08511,0.80284,9.10767,-0.05262,5,0.00921,-0.00554,-43.72952,-58.29802
"26","2016_Q3",30.98125,"Up",17103000,-1403000,15700000,-13053000,-4933000,-2855000,-2078000,-7811000,2647000,561000,561000,3208000,3208000,-497000,2711000,2711000,2711000,2711000,122517000,70134000,52383000,10775000,3826000,3826000,137118000,4105000,78883000,46612000,1884000,26791000,82988000,220106000,15715000,1249000,14466000,2113000,2113000,17828000,8201000,8201000,8201000,8201000,26029000,209355000,32191000,-5999.99999999994,194077000,194077000,220106000,2711000,622000,1837000,-6701000,-1531000,-329000,-329000,1891000,4900000,6462000,2480000,2480000,2480000,7411000,7411000,-62000,7349000,3269000,0,-3264000,0.91797,0.15477,0.15851,0.01397,0.01232,-1.20398,7.69116,0.13412,0,0.13185,0.12819,0.83178,9.43862,-0.15874,5,0.0134,-0.01614,-37.47843,-46.28523
"27","2016_Q4",31.9328571428571,"Up",17846000,-1422000,16424000,-12636000,-4981000,-2763000,-2218000,-7346000,3788000,615000,615000,4403000,4403000,-1015000,3388000,3388000,3388000,3388000,119881000,60951000,58930000,17250000,2945000,2945000,140076000,4831000,89580000,46612000,2116000,37565000,94411000,234487000,17247000,1116000,16131000,4032000,4032000,21279000,8533000,8533000,8533000,8533000,29812000,210540000,34492000,33000,204675000,204675000,234487000,3388000,696000,1592000,-2415000,3261000,-1291000,-1291000,-6769000,5e+05,-7560000,5606000,5606000,5606000,1307000,1307000,27000,1334000,4484000,0,1793000,0.92032,0.21226,0.18985,0.01655,0.01445,0.52922,6.58283,0.14566,0,0.16249,0.15711,0.85592,9.81655,0.086,4,0.01589,0.00841,-26.73528,-31.64757
"28","2017_Q1",34.5467741935484,"Up",21196000,-1633000,19563000,-13434000,-5358000,-3077000,-2281000,-7767000,6129000,422000,422000,6551000,6551000,-1350000,5201000,5201000,5201000,5201000,126516000,64648000,61868000,15044000,3152000,3152000,144712000,4805000,91172000,46612000,2252000,39330000,97783000,242495000,16337000,571000,15766000,6258000,6258000,22595000,8349000,8349000,8349000,8349000,30944000,212124000,39431000,-497000,211551000,211551000,242495000,5201000,710000,1950000,4632000,12493000,-356000,-356000,-3832000,-10395000,-14583000,617000,617000.000000001,617000,-1473000,-1473000,-124000,-1597000,6839000,0,12465000,0.92296,0.28916,0.24538,0.02459,0.02145,2.39665,6.4046,0.14627,0,0.24945,0.24118,1.01659,10.14633,0.59784,7,0.02365,0.05668,-18.4992,-20.64219
"29","2017_Q2",41.0915873015873,"Up",21287000,-1696000,19591000,-15245000,-5063000,-2938000,-2125000,-9873000,4346000,571000,571000,4917000,4917000,-810000,4107000,4107000,4107000,4107000,113675000,49420000,64255000,13777000,4596000,4596000,132048000,5826000,113735000,46612000,2572000,61882000,119561000,251609000,16273000,381000,15892000,6283000,6283000,22556000,8875000,8875000,8875000,8875000,31431000,212654000,42946000,-289000,220178000,220178000,251609000,4107000,752000,1963000,-533000,6289000,-1435000,-1435000,-2522000,-10500000,-14457000,2363000,2363000,2363000,-5805000,-5805000,25000,-5780000,5098000,0,3940000,0.92033,0.20416,0.19293,0.01865,0.01632,0.95934,5.85423,0.14275,0,0.19698,0.19045,1.02096,10.5601,0.18897,6,0.01793,0.0172,-22.29796,-26.15624
"30","2017_Q3",43.1865079365079,"Up",20575000,-1608000,18967000,-16797000,-5979000,-3427000,-2552000,-10509000,2170000,755000,755000,2925000,2925000,983000,3908000,3908000,3908000,3908000,1.2e+08,46791000,73209000,10389000,4819000,4819000,135208000,6157000,114918000,46612000,2701000,63245000,121075000,256283000,13792000,290000,13502000,3388000,3388000,17180000,9450000,9450000,9450000,9450000,26630000,213526000,45465000,-278000,229653000,229653000,256283000,3908000,789000,2362000,-2796000,4263000,-840000,-840000,-9212000,6793000,-3259000,3378000,3378000,3378000,4382000,4382000,1e+05,4482000,2959000,0,-1660000,0.92185,0.10547,0.18994,0.01702,0.01525,-0.42477,7.87008,0.11596,0,0.1813,0.17465,0.95449,10.65379,-0.07701,7,0.01634,-0.00694,-40.55424,-55.29954
"31","2017_Q4",45.9015873015873,"Up",24044000,-1726000,22318000,-16108000,-5768000,-3057000,-2711000,-10031000,6210000,821000,821000,7031000,7031000,-1181000,5850000,5850000,5850000,5850000,138356000,63897000,74459000,12885000,4588000,4588000,155829000,6698000,104648000,46612000,2940000,53045000,111346000,267175000,14193000,468000,13725000,4274000,4274000,18467000,9752000,9752000,9752000,9752000,28219000,215554000,51235000,-201000,238956000,238956000,267175000,5850000,833000,2196000,-1733000,7146000,-1065000,-1065000,-1442000,0,-2507000,1157000,1157000,1157000,5796000,5796000,32000,5828000,7043000,0,5426000,0.92821,0.25828,0.2433,0.02448,0.0219,0.92752,8.43824,0.11809,0,0.26871,0.2593,1.1044,10.97589,0.24923,7,0.02352,0.02182,-19.64447,-22.27955
