"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_discontinued_operations_operating","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_discontinued_operations_investing","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_discontinued_operations_financing","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2020_Q2",39.2838095238095,"Down",871500000,-592500000,2.79e+08,-236400000,-226500000,-9900000,42600000,8900000,-34800000,43700000,51500000,-88500000,-3.7e+07,-7e+05,-37700000,2800000,2800000,-34900000,-9e+05,-35800000,-35800000,142200000,142200000,5.1e+08,5.1e+08,627800000,145700000,6.2e+07,54700000,1425700000,403400000,2944700000,1321500000,150600000,3617400000,5043100000,555700000,4.71e+08,84700000,13900000,431400000,431400000,1.001e+09,2324300000,244500000,50800000,193700000,2568800000,3569800000,2008100000,144900000,-249100000,1464300000,9e+06,1473300000,5043100000,-37700000,41700000,35500000,-236200000,408313918.749834,-196700000,-18700000,197750865.569338,-31291294.6784424,-18700000,-24500000,-1.3e+07,-1638774.05476666,-2.73e+08,-488400000,-488400000,3500000,-484900000,84300000,2338200000,-169900000,0.32014,0.04888,-0.04108,-0.0243,-0.0071,4.74581,1.42428,2.423,0.46364,-0.75052,-0.75052,18.27044,30.69811,-3.56184,-0.00392,-0.04189,26.04982,51.5493
"12","2020_Q3",51.139375,"Up",937800000,-6.06e+08,331800000,-241800000,-231800000,-1e+07,9e+07,-146100000,-35600000,-110500000,-56100000.0000001,-22100000,-78200000,1.9e+07,-59200000,1500000,1500000,-57700000,8e+05,-56900000,-56900000,457800000,457800000,465900000,465900000,607900000,159600000,60100000,99500000,1691200000,396200000,2973800000,1324100000,196400000,3.504e+09,5195200000,471800000,387400000,84400000,13300000,221800000,221800000,706900000,2999100000,2.67e+08,77200000,189800000,3266100000,3.973e+09,2034800000,68200000,-2.82e+08,1214100000,8100000,1222200000,5195200000,-59200000,36300000,1.35e+08,-1e+08,366249588.047957,12099999.9999999,-12400000,-1.7e+07,-34654711.5507243,1700000,674500000,-197400000,-2116438.30090929,308700000,322500000,322500000,-4e+06,318500000,126300000,3012400000,-5100000.00000003,0.35381,0.09597,-0.06067,-0.04656,-0.01095,0.0896299999999997,2.39242,3.2507,0.57984,-1.26164,-1.26164,20.79379,26.92018,-0.11308,-0.00837,-0.00113,20.22644,28.38444
"13","2020_Q4",61.61859375,"Up",984300000,-635700000,348600000,-234600000,-224800000,-9800000,1.14e+08,20500000,-36100000,56600000,134500000,56800000,191300000,-53600000,137700000,7900000,7900000,145600000,-5e+05,145100000,145100000,465900000,465900000,446800000,446800000,568100000,149800000,58600000,91200000,1630600000,394600000,2934500000,1327900000,166400000,3.472e+09,5102600000,549600000,446200000,103400000,13900000,218800000,218800000,782300000,2677200000,257600000,64800000,192800000,2934800000,3717100000,2043300000,217300000,-276800000,1376900000,8600000,1385500000,5102600000,137700000,35100000,-138600001,185800000,236710463.3221,219999999,-12700000,3600000,-29390772.647644,60400000,-254699999,0,-2235883.39659727,-272799999,7600000,7600000,5e+05,8100000,149100000,2691100000,375800000,0.35416,0.11582,0.14741,0.10473,0.02844,2.58994,2.08437,2.68286,0.5274,3.36659,3.34332,22.83759,31.94664,8.71926,0.03765,0.08671,14.92421,19.5193
"14","2021_Q1",77.0509836065574,"Up",-171500000,90200000,-81300000,-105700000,-106200000,5e+05,-1.87e+08,6800000,12800000,-5999999.99999997,-180200000,7.9e+07,-101200000,8e+06,-93200000,138700000,138700000,45500000,-1e+05,45400000,45400000,531600000,531600000,299800000,299800000,318600000,578100000,30900000,46400000,1728100000,255600000,3123600000,627200000,1449700000,3379200000,5107300000,462700000,362500000,100200000,13900000,468300000,468300000,944900000,2405600000,3.41e+08,55200000,285800000,2746600000,3691500000,2054800000,243900000,-284700000,1407500000,8300000,1415800000,5107300000,-93200000,1500000,23600001,234500000,88500000,254900001,3900000,29100000,-16900000,64900000,-229600001,-10400000,-2e+06,-260000001,59800000,59800000,5100000,64900000,-185500000,2419500000,44900000,0.47405,1.09038,-0.26472,0.03207,0.00889,0.98899,1.82887,2.60736,0.47373,1.05828,1.04608,-3.99767,32.80886,1.04662,0.01518,0.01075,-10.17736,-10.09572
"15","2021_Q2",83.7555555555556,"Up",736200000,-483300000,252900000,-199100000,-192600000,-6500000,53800000,-14200000,-23100000,8900000,39600000,-2.8e+07,11600000,4099999,15699999,57200000,57200000,72899999,-8e+05,72099999,72099999,224500000,224500000,576700000,576700000,696900000,159200000,73800000,85400000,1657300000,395800000,3105200000,1432900000,155600000,3513500000,5170800000,663100000,5.58e+08,105100000,15300000,256200000,256200000,934600000,2481900000,310100000,84500000,225600000,2.792e+09,3726600000,2043700000,297600000,-268500000,1435700000,8500000,1444200000,5170800000,15700000,27100000,-10600000,-142900000,6e+05,-110100000,-7500000,-129800000,-4200000,-8.1e+07,-53500000,-6800000,-1400000,-121800000,-312900000,-312900000,5800000,-307100000,80900000,2497200000,-73599999,0.34352,0.07308,0.09794,0.04992,0.01394,-1.0208,1.77327,2.58039,0.48294,1.68065,1.67674,17.16084,33.4662,-1.71562,0.02115,-0.01731,28.09271,42.24349
"16","2021_Q3",81.09640625,"Down",760300000,-4.98e+08,262300000,-204400000,-196500000,-7900000,57900000,-50700000,-52900000,2200000,7200000.00000003,-12500000,-5300000,700001.000000002,-4599999,40300000,40300000,35700001,9e+05,36600001,36600001,2.9e+08,2.9e+08,524900000,524900000,812100000,171700000,83200000,88500000,1798700000,392600000,3083200000,1434600000,152200000,3475800000,5274500000,636900000,548600000,88300000,18600000,270900000,270900000,926400000,2551600000,301699999,86800000,214899999,2853299999,3779699999,2052100000,315900000,-243400000,1487600000,7200000,1494800000,5274499999,-4600000.00000001,30100000,4500000,-26400000,26700000,30300000,-9100000,2.98023223876953e-08,-7300000,-4100000.00000003,72900000,-12700000,-6e+05,41700000,67900000,67900000,-2400000,65500000.0000001,8.8e+07,2570200000,51799999,0.345,0.07615,0.04814,0.02448,0.00694,1.4153,1.9416,2.52857,0.48729,0.85714,0.85116,17.80562,34.83841,1.21311,0.01248,0.01186,25.91136,39.38169
"17","2021_Q4",94.18625,"Up",743800000,-482600000,261200000,-271800000,-2.64e+08,-7800000,-10600000,-21700000,-20400000,-1300000,-32300000,40500000,8200000,-10100000,-1900000,32600000,32600000,30700000,0,30700000,30700000,130199999,130199999,479500000,479500000,908300000,156900000,81900000,7.5e+07,1674899999,390600000,3359100000,1583900000,169300000,3749700000,5424599999,648300000,522500000,125800000,17700000,266899999,266899999,932899999,2651100000,332400000,105100000,227300000,2983500000,3916399999,2058500000,328100000,-239600000,1500900000,7300000,1508200000,5424599999,-1900000,30200000,11500000,-5300000,54200000,88700000,-9600000,-299700000,-5600000,-3.15e+08,93400000,0,-4e+05,64900000,-161400000,-161400000,1600000,-159800000,19600000,2668800000,14800000,0.35117,-0.01425,0.04127,0.02036,0.00566,0.48208,1.79537,2.59674,0.49198,0.72235,0.71897,17.50118,35.31529,0.34824,0.01078,0.00328,129.52041,-239.49057
"18","2022_Q1",88.555,"Down",757800000,-499600000,258200000,-262200000,-254600000,-7600000,-4e+06,-21600000,-20100000,-1500000,-25600000,77964635.2127865,-25600000,31700000,6100000,44200000,44200000,50300000,-1e+05,50200000,50200000,187900000,187900000,248400000,248400000,562800000,1914500000,40800000,63700000,2913600000,260200000,2166600000,867200000,95300000,2426800000,5340400000,485900000,388600000,67400000,1.2e+07,666200000,666200000,1164100000,2494300000,2.03e+08,59500000,143500000,2697300000,3861400000,2064300000,359900000,-235300000,1471900000,7100000,1.479e+09,5340400000,6100000,29600000,-2.7e+07,153100000,117700000,279500000,-17300000,-4e+05,-5700000,-23400000,-1.05e+08,2100000,-6e+05,-194700000,61400000.0000001,61400000.0000001,-3700000,57699999.9999999,25600000,2506300000,129700000,0.34072,-0.00528,0.06624,0.03394,0.0094,2.58367,2.50288,2.61082,0.46931,1.17564,1.17016,17.74707,34.47073,3.03747,0.01626,0.03097,90.5625,-579.6
"19","2022_Q2",83.0264516129032,"Down",757200000,-537900000,219300000,-243100000,-235500000,-7600000,-23800000,-22400000,-21800000,-6e+05,-46200000,57944635.5127865,-46200000,1.6e+07,-30200000,38800000,38800000,8600000,-4e+05,8200000,8200000,204900000,204900000,298600000,298600000,648400000,1969400000,62600000,64200000,3121300000,260399999,2187200000,866800000,131200000,2447599999,5568899999,416800000,347500000,69300000,12100000,639300000,639300000,1068200000,2946900000,205900000,70700000,135200000,3152800000,4.221e+09,2.026e+09,350400000,-231300000,1340300000,7600000,1347900000,5568900000,-30200000,25500000,-20300000,-230800000,-15300000,-271100000,-1.4e+07,259872205.284242,-5e+06,-1.9e+07,461800000,-24500000,-4e+05,309600000,19500000,19500000,-2500000,1.7e+07,1700000,2.959e+09,-259100000,0.28962,-0.03143,0.01083,0.00608,0.00147,-31.59756,2.92202,3.13154,0.53134,0.19249,0.19114,17.77465,31.46244,-6.08216,0.00565,-0.05741,1620.05882,-115.71849
"20","2022_Q3",62.675625,"Down",807800000,-550700000,257100000,-196400000,-188200000,-8200000,60700000,-23700000,-24600000,9e+05,3.7e+07,-68899999,-31899999,6800000,-25099999,41100000,41100000,16000001,-1e+05,15900001,15900001,193700000,193700000,349500000,349500000,800600000,2.1e+09,54900000,125300000,3443800000,256399999,2385700000,9.67e+08,1.55e+08,2642099999,6085899999,581300000,522200000,59100000,12100000,710700000,710700000,1304100000,3236300000,216900000,74700000,142200000,3453200000,4757300000,2033700000,348700000,-231300000,1322300000,6300000,1328600000,6085900000,-25100000,25600000,-4600000,47700000,20600000,64200000,-10200000,-314300000,-7400000,-3.32e+08,306700000,-6700000,-1800000,257100000,-10700000,-10700000,-5e+05,-11200000,86300000,3248400000,1.17e+08,0.31827,0.07514,0.01968,0.01197,0.00261,7.35849,2.64075,3.58069,0.53376,0.37324,0.37063,18.96244,31.03991,2.74648,0.00688,0.02441,35.39629,50.32455
