"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"26","2017_Q3",2.59111111111111,"Down",5869837,-2573380,3296457,-1963408,-1695881,-267527,-161165.751193841,1333049,-241641,-6252.00000000001,-235389,1091408,1338293,1097667,1097667,1097667,1097667,5681109,5681109,5594409,5594409,5004957,882354,353554,17162829,9510052,12139075,152323,21649127,38811956,4666131,1709171,2956960,5105623,11072446,835771,493540,11908217,17013840,224370385,-202773559,201290,21798116,21798116,38811956,1097667,269131,-243641,-502912,620245,-485961,-12263297,4964910,8731850,8731850,13696760,2053708,2053708,43629,2097337,1602180,11313075,0.56159,0.2271,0.187,0.05036,0.02828,3.36155,0.78052,0.29148,0.06636,0.06134,0.35486,1.31781,0.03233,3.51519,4.22488
"27","2017_Q4",2.7747619047619,"Up",8490043,-4267319,4222724,-2942965,-2329762,-308394,-304809,1279759,-164992,-192977,27985,1114767,366598,100824,100824,100824,100824,6831521,6831521,5740041,5740041,5083350,692689,615353,18347601,9763042,11602545,158414,21365587,39713188,5065331,1597144,3468187,5305312,10360023,1146898,481492,11506921,16812233,225333764,-202672735,239926,22900955,22900955,39713188,100824,721636,885341,-318909,1388892,-539518,-539518,370014,8393,8393,378407,1227781,1227781,-77369,1150412,2001395,10600004,0.49737,0.15074,0.01188,0.0044,0.00254,3.45835,0.73413,0.26691,0.00425,0.00397,0.35815,0.96607,0.00291,1.88293,2.94468
"28","2018_Q1",2.29180327868852,"Down",9007380,-4640850,4366530,-3232895,-2460318,-381995,-390582,1133635,127323,-207257,334580,1260958,1251199,6364099,6364099,6364099,6364099,8085015,8085015,5890113,5890113,5074576,670671,641469,19720375,10324558,16627281,112323,26951839,46672214,5511080,1536121,3974959,5750412,10068945,1131688,458839,11200633,16951045,225734409,-196308636,295396,29721169,29721169,46672214,6364099,840207,-5308749,172457,2068014,-810388,-810388,68934,19287,19287.0000000009,88221,1345847,1345847,-92353,1253494,1973842,10308277,0.48477,0.12586,0.70654,0.21413,0.13636,3.42938,0.57034,0.22087,0.26359,0.24265,0.37307,1.23098,0.15461,1.12636,1.96118
"29","2018_Q2",2.1434375,"Down",7572093,-4282756,3289337,-3108901,-2398242,-381388,-329271,180436,46863,-201261,248124,227299,275679,217695,217695,217695,217695,8058151,8058151,5196724,5196724,5391422,718580,665791,19364877,11411122,16298010,112323,27709132,47074009,5851396,2301890,3549506,6090079,9771095,1043753,438854,10814848,16904927,225910480,-196090941,349543,30169082,30169082,47074009,217695,804658,50584,582153,1655090,-1411278,-1411278,-301099,19080,19080,-282019,-38207,-38207,11343,-26864,985094,10009778,0.4344,0.02383,0.02875,0.00721999999999998,0.00462000000000001,3.17974,0.56034,0.21264,0.00898,0.0083,0.31244,1.24485,0.00528000000000001,1.98116,10.81617
"30","2018_Q3",2.22095238095238,"Up",8361373,-4849657,3511716,-3039842,-2294175,-413081,-332586,471874,981.000000000058,-193747,194728,472855,229843,423350.999999999,423350.999999999,423350.999999999,423350.999999999,7734437,7734437,5704779,5704779,5814358,687964,629396,19941538,11833301,15993501,137085,27826802,47768340,4826720,1919725,2906995,5146777,9697743,621357,420954,10319100,15465877,227551248,-195667590,418805,32302463,32302463,47768340,423351,821016,350648.999999999,-1631865,-36849,-489304,-489304,164494,103701,103701,268195,-257958,-257958,-65756,-323714,1292890,10017800,0.41999,0.05643,0.05063,0.01311,0.00886,3.87457,0.47878,0.20972,0.01726,0.01602,0.34092,1.31708,0.00986,1.76609,4.83893
"31","2018_Q4",1.76380952380952,"Down",8503628,-5211602,3292026,-3076229,-2362579,-384380,-329270,215797,827327,342796,484531,1043124,1043124,1226278,1226278,1226278,1226278,6388164,6388164,5672071,5672071,6409118,1102978,1043603,19572331,12322111,15664229,137084,27986340,47558671,5126209,2039090,3087119,5345897,5750740,400605,400605,6151345,11497242,230006459,-194441312,496282,36061429,36061429,47558671,1226278,866329,-448282,-589855,1054470,-581133,-581133,-995573,119960,119960,-875613,-402276,-402276,-943997,-1346273,1082126,5970428,0.38713,0.02538,0.14421,0.03401,0.02578,3.66119,0.31882,0.12554,0.04803,0.04508,0.33309,1.41254,0.0289,-0.38603,-1.93578
"32","2019_Q1",1.65983606557377,"Down",8088377,-5653725,2434652,-2929192,-2163350,-440145,-325697,-494540,-821079,-134736,-686343,-1315619,-1315619,-807220,-807220,-807220,-807220,5508620,5508620,5370508,5370508,6404741,2105184,1058610,19389053,11809241,15918820,381945,27728061,47117114,5405184,2032834,3372350,5712383,5669923,377364,377364,6047287,11759670,230132468,-195248532,473508,35357444,35357444,47117114,-807220,911578,-205652,47571,-53723.0000000002,-35969.9999999999,-35970,-456064,31851,31851,-424213,-513906,-513906,634362,120456,417038,5977122,0.30101,-0.06114,-0.0998,-0.02283,-0.01713,3.39421,0.33259,0.12686,-0.03137,-0.02947,0.31429,1.37388,-0.01935,1.1234,-0.94735
"33","2019_Q2",1.21730158730159,"Down",8549721,-5506548,3043173,-3321889,-2463878,-469983,-388028,-278716,-483135,-145013,-338122,-761851,-761851,-582891,-582891,-582891,-582891,4532096,4532096,5240578,5240578,6361262,2193266,1162517,18327202,11763255,15888613,383009,27651868,45979070,5043930,1874941,3168989,5323134,5239049,354536,354536,5593585,10916719,230247219,-195831423,646555,35062351,35062351,45979070,-582891,862146,-163008,-415226,-298979,-575079,-575079,-464600,20841,20841,-443759,-1317817,-1317817,341293,-976524,583430,5518253,0.35594,-0.0326,-0.06818,-0.01662,-0.01268,3.44293,0.31135,0.12002,-0.02262,-0.02262,0.33174,1.36044,-0.01424,1.69027,-3.53821
"34","2019_Q3",0.7975,"Down",8548507,-5007364,3541143,-3346497,-2518853,-518793,-308851,194646,-201773,-153289,-48484.0000000001,-7127,-7127.00000000012,16276,16276,16276,16276,3641389,3641389,6218288,6218288,6737050,1930597,861373,18527324,12227361,15647005,357753,27874366,46401690,5309092,2042290,3266802,5699973,5112428,349703,349703,5462131,11162104,230355385,-195815147,699348,35239586,35239586,46401690,16276,821530,-13471,-923527,-99192,-494605,-494605,-432425,4261,4261,-428164,-1021961,-1021961,131254,-890707,1016176,5503309,0.41424,0.02277,0.0019,0.00046,0.00035,3.25042,0.31675,0.1186,0.000629999999999999,0.000629999999999999,0.33157,1.36683,4e-04,1.83228,9.56567
"35","2019_Q4",0.67375,"Down",7905582,-4799913,3105669,-3084851,-2431819,-505636,-147396,20818,-210966,-275233,64267,-190148,-190148,-352018,-352018,-352018,-352018,4641457,4641457,5899062,5899062,7586734,937857,934068,19065110,12520168,15324752,319021,27844920,46910030,4990378,2424960,2565418,5392044,5814496,633526,633526,6448022,11840066,230484454,-196167165,752675,35069964,35069964,46910030,-352018,857287,32563,-113714,424118,-287048,-287048,-312712,30587,30587,-282125,-145055,-145055,145123,68,878105,6216162,0.39285,0.00263,-0.04453,-0.01004,-0.0075,3.53579,0.33761,0.13251,-0.01364,-0.01364,0.3063,1.35876,-0.0084,1.7933,75.64151
