"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","other_non_cash_adjustments","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",29.4546875,"Up",18287000,-5138000,13149000,-17101000,-12097000,-5004000,-3952000,708000,-1000,-1000,709000,-3244000,-4244000,-42000,-4286000,-4286000,-4286000,-4286000,63679000,20099000,12413000,12413000,8021000,2545000,2545000,86658000,5155000,3288000,3288000,27583000,114241000,12236000,3406000,8830000,2807000,2807000,15043000,2186000,1824000,362000,2186000,17229000,350429000,-252704000,-713000,97012000,97012000,114241000,-4286000,657000,1749000,1749000,572000,-1308000,-548000,-12059000,1081000,1081000,1081000,-12286000,-12286000,95000,-12191000,-3295000,0,-3229000,0.71904,-0.21611,-0.23437,-0.04418,-0.03752,0.75338,5.76069,0.1776,0,-0.16785,-0.16785,0.71615,3.79918,-0.12645,-0.04321,-0.03255,19.32595,16.11311
"12","2014_Q1",43.9945901639344,"Up",20881000,-5931000,14950000,-19327000,-13572000,-5755000,-4377000,43000.0000000001,-999.999999999971,-999.999999999971,44000.0000000001,-4334000,-4601000,-42000,-4643000,-4643000,-4643000,-4643000,84344000,35261000,10552000,10552000,8148000,1540000,1540000,104584000,6818000,3570999.99999999,3571000,12331000,116915000,15230000,4353000,10877000,2721000,2721000,17951000,2550000,1899000,651000,2549999.99999999,20501000,354491000,-257347000,-730000,96414000,96414000,116915000,-4643000,701000,2024000,2024000,5156000,3238000,-2078000,9617000,2305000,2305000,2305000.00000001,15160000,15160000,1999.99999999997,15162000,-3676000,-7.45058059692383e-09,-556000,0.71596,-0.20962,-0.22236,-0.04816,-0.03971,0.11975,5.82608,0.21264,-1.38777878078145e-17,-0.1807,-0.1807,0.81265,3.75225,-0.02164,-0.04692,-0.00562,22.9445,19.26982
"13","2014_Q2",32.0438095238095,"Down",25724000,-8704000,17020000,-22903000,-15257000,-7646000,-5883000,-978000,-1026000,-1026000,48000,-6861000,-17557000,2143000,-15414000,-15414000,-15414000,-15414000,143147000,101024000,18790000,18790000,13426000,3450000,3450000,178813000,9377000,221403000,6558000,245910000,424723000,20405000,8001000,12404000,5331000,5331000,25736000,36307000,3711000,888000,231556000,257292000,440949000,-272761000,-757000,167431000,167431000,424723000,-15414000,920000,7944000,7944000,-3997000,-10547000,-1813000,-121231000,2287000,2287000,197499000,65721000,65721000,42000,65763000,-4963000,195249000,-12916000,0.66164,-0.2287,-0.59921,-0.09206,-0.03629,0.83794,6.94797,1.5367,0.45971,-0.57301,-0.57301,0.95628,6.2242,-0.48015,-0.03863,-0.03237,-10.49809,-8.85637
"14","2014_Q3",28.11421875,"Down",27607000,-9955000,17652000,-30029000,-18655000,-11374000,-12377000,-1433000,-1415000,-1415000,-18000,-13810000,-13810000,1128000,-12682000,-12682000,-12682000,-12682000,94744000,43681000,13329000,13329000,16357000,3004000,3004000,127434000,11568000,216450000,4405000,290312000,417746000,21439000,7637000,13802000,5867000,5867000,27306000,33271000,4227000,1140000,228614000,255920000,447969000,-285443000,-7e+05,161826000,161826000,417746000,-12682000,922000,8909000,8909000,3163000,312000,-2750000,-58854000,1170000,1170000,1170000,-57372000,-57372000,29000,-57343000,-11455000,195343000,-12170000,0.6394,-0.44833,-0.45938,-0.07837,-0.03036,0.95963,4.66689,1.58145,0.46761,-0.45491,-0.45491,0.99028,5.80479,-0.43654,-0.03248,-0.03117,-8.7821,-8.1279
"15","2014_Q4",28.31875,"Up",29635000,-11421000,18214000,-31261000,-18574000,-12687000,-13047000,-1791000,-1453000,-1453000,-338000,-14838000,-14506000,716000,-13790000,-13790000,-13790000,-13790000,95263000,30939000,16919000,16919000,16960000,3678000,3678000,132820000,12668000,212943000,3698000,277573000,410393000,20676000,7276000,13400000,6630000,6630000,27306000,33133000,4407000,1617000,228532000,255838000,454590000,-299233000,-802000,154555000,154555000,410393000,-13790000,1080000,8624000,8624000,-4777000,-8863000,-1356000,-3952000,627000,627000,627000,-12188000,-12188000,-554000,-12742000,-11967000,195399000,-18816000,0.61461,-0.44026,-0.46533,-0.08922,-0.0336,1.36447,4.86413,1.65532,0.47613,-0.49143,-0.49143,1.05609,5.50782,-0.67054,-0.036,-0.04912,-8.36768,-7.67502
"16","2015_Q1",39.532131147541,"Up",33490000,-12769000,20721000,-30554000,-18838000,-11716000,-9833000,-1999000,-1450000,-1450000,-549000,-11832000,-11832000,888000,-10944000,-10944000,-10944000,-10944000,115301000,33713000,22384000,22384000,15991000,2221000,2221000,155897000,13889000,210274000,3966000,251662000,407559000,22457000,5919000,16538000,6928000,6928000,29385000,32300000,4357000,1791000,227755000,257140000,461390000,-310177000,-794000,150419000,150419000,407559000,-10944000,1139000,8518000,8518000,-2238000,-3525000,-1484000,5652000,1029000,1029000,1030000.00000001,3156999.99999999,3156999.99999999,-383000,2774000.00000001,-8694000,195455000,-13304000,0.61872,-0.29361,-0.32678,-0.07276,-0.02685,1.21564,5.30533,1.70949,0.47957,-0.38763,-0.38763,1.1862,5.32777,-0.47122,-0.02894,-0.03518,-9.21946,-8.15153
"17","2015_Q2",31.5609523809524,"Down",26729000,-10646000,16083000,-30084000,-20094000,-9990000,-14001000,-2573000,-1453000,-1453000,-1120000,-16574000,-16574000,643000,-15931000,-15931000,-15931000,-15931000,116406000,36982000,19577000,19577000,17394000,1856000,1856000,155233000,14053000,207237000,3729000,239798000,395031000,17558000,5502000,12056000,7346000,7346000,24904000,32162000,5096000,1722000,227674000,252578000,469161000,-326108000,-6e+05,142453000,142453000,395031000,-15931000,1338000,6868000,6868000,-2075000,-9800000,-1029000,10071000,3732000,3732000,3732000,4003000,4003000,-734000,3269000,-12663000,195512000,-16410000,0.60171,-0.52381,-0.59602,-0.11183,-0.04033,1.03007,6.23326,1.77306,0.49493,-0.55961,-0.55961,0.93891,5.00397,-0.57644,-0.04304,-0.04434,-6.24702,-5.65002
"18","2015_Q3",15.74,"Down",28618000,-11965000,16653000,-31312000,-21222000,-10090000,-14659000,-843000,-1451000,-1451000,608000,-15502000,-15502000,266000,-15236000,-15236000,-15236000,-15236000,99926000,23745000,21786000,21786000,18817000,2851000,2851000,143380000,14102000,204528000,3820000,245749000,389129000,21383000,5964000,15419000,7547000,7547000,28930000,31413000,4933000,2099000,226982000,255912000,475258000,-341344000,-697000,133217000,133217000,389129000,-15236000,1441000,7668000,7668000,-1702000,-7829000,-1401000,-6856000,1396000,1396000,1396000,-13289000,-13289000,51999.9999999999,-13237000,-13218000,195569000,-16587000,0.58191,-0.51223,-0.53239,-0.11437,-0.03915,1.08867,4.9561,1.92102,0.50258,-0.52895,-0.52895,0.99354,4.62495,-0.57586,-0.0423,-0.04605,-7.23581,-6.52452
"19","2015_Q4",9.8196875,"Down",28643000,-11430000,17213000,-29002000,-19558000,-9444000,-11789000,-1828000,-1451000,-1451000,-377000,-13617000,-9631000,362000,-9269000,-9269000,-9269000,-9269000,97070000,28817000,26248000,26248000,19141000,2991000,2991000,145450000,14358000,201646000,3688000,233037000,378487000,19302000,6303000,12999000,8179000,8179000,27481000,31254000,4999000,2137000,226880000,254361000,475533000,-350613000,-794000,124126000,124126000,378487000,-9269000,1251000,2951000,2951000,-7633000,-12700000,-285000,17685000,144000,144000,144000,5129000,5129000,-57000,5072000,-10538000,195626000,-18818000,0.60095,-0.41158,-0.3236,-0.07467,-0.02449,2.03021,5.29275,2.04922,0.51686,-0.3223,-0.3223,0.99597,4.31607,-0.65433,-0.02641,-0.05361,-9.35244,-8.36
"20","2016_Q1",7.21213114754098,"Down",30722000,-12589000,18133000,-31825000,-22085000,-9740000,-13692000,-1721000,-1453000,-1453000,-268000,-15413000,-13083000,204000,-12879000,-12879000,-12879000,-12879000,94972000,29117000,25457000,25457000,17924000,5742000,5742000,144095000,15258000,204204000,9096000,225955000,370050000,20662000,6094000,14568000,9419000,9419000,30081000,30395000,4398000,2402000,225068000,255149000,479537000,-363492000,-1144000,114901000,114901000,370050000,-12879000,885000,4451000,4451000,3139000,-4404000,-7937000,4844000,219000,219000,68000,508000,508000,-208000,300000.000000002,-12807000,194673000,-17809000,0.59023,-0.44567,-0.41921,-0.11209,-0.0348,1.38279,4.79023,2.2206,0.52607,-0.44699,-0.44699,1.06625,3.98782,-0.61809,-0.03788,-0.05238,-7.78488,-7.2817
"21","2016_Q2",9.3990625,"Up",29003000,-11985000,17018000,-35887000,-25475000,-10412000,-18869000,-1777000,-1453000,-1453000,-324000,-20646000,-20646000,762000,-19884000,-19884000,-19884000,-19884000,95219000,42854000,19643000,19643000,19570000,3372000,3372000,137804000,15370000,201261000,8907000,216631000,354435000,21419000,4439000,16980000,9101000,9101000,30520000,30196000,5256000,2444000,224938000,255458000,483237000,-383375000,-885000,98977000,98977000,354435000,-19884000,1565000,6744000,6744000,3783000,-7792000,-1144000,21204000,5000,5000,5000,13417000,13417000,320000,13737000,-17304000,194742000,-15427000,0.58677,-0.65059,-0.68558,-0.2009,-0.0561,0.77585,4.5152,2.58098,0.54944,-0.68891,-0.68891,1.00485,3.4292,-0.53449,-0.06139,-0.04763,-5.75144,-5.27442
"22","2016_Q3",9.18421875,"Down",28168000,-12487000,15681000,-33823000,-23845000,-9978000,-18142000,-1497000,-1453000,-1453000,-44000.0000000001,-19639000,-19639000,1022000,-18617000,-18617000,-18617000,-18617000,86410000,35898000,18885000,18885000,18180000,3569000,3569000,127044000,16816000,198174000,8621000,214990000,342034000,23287000,5830000,17457000,9028000,9028000,32315000,30644000,5243000,3795000,225455000,257770000,487115000,-401993000,-858000,84264000,84264000,342034000,-18617000,1680000,6857000,6857000,2726000,-7354000,-1518000,292000,129000,129000,129000,-6933000,-6933000,-23000,-6956000,-16462000,194811000,-16276000,0.5567,-0.64406,-0.66093,-0.22094,-0.05443,0.87425,3.93143,3.05908,0.56957,-0.64319,-0.64319,0.97316,2.91118,-0.56231,-0.06011,-0.05255,-6.58492,-5.97514
"23","2016_Q4",6.27936507936508,"Down",22191000,-10298000,11893000,-30376000,-21124000,-9252000,-18483000,-1614000,-1455000,-1455000,-159000,-20097000,-20097000,309000,-19788000,-19788000,-19788000,-19788000,71247000,32306000,12835000,12835000,20838000,3167000,3167000,108087000,17305000,195029000,8278000,212334000,320421000,18191000,4871000,13320000,9724000,9724000,27915000,29653000,4628000,3990000,224534000,252449000,490664000,-421781000,-911000,67972000,67972000,320421000,-19788000,1727000,6424000,6424000,-1625000,-13262000,-1709000,9821000,83000,83000,-7000,-3448000,-3448000,-144000,-3592000,-16756000,194881000,-20399000,0.53594,-0.83291,-0.89171,-0.29112,-0.06176,1.03088,3.872,3.71401,0.6082,-0.68073,-0.68073,0.76339,2.3383,-0.70174,-0.06765,-0.06974,-7.37849,-6.68907
"24","2017_Q1",6.33693548387097,"Up",25084000,-11239000,13845000,-31541000,-22768000,-8773000,-17696000,-2099000,-1459000,-1459000,-640000,-19795000,-19795000,2099000,-17696000,-17696000,-17696000,-17696000,59430000,35045000,14610000,14610000,20114000,2517000,2517000,96671000,16525000,193199000,9291000,209724000,306395000,20337000,3967000,16370000,9163000,9163000,29500000,28711000,4315000,3256000,223662000,253162000,493470000,-439477000,-760000,53233000,53233000,306395000,-17696000,1766000,5372000,5372000,-172000,-10730000,-694000,13785000,10000,10000,-11000,3044000,3044000,-305000,2739000,-15930000,194951000,-18895000,0.55195,-0.70547,-0.70547,-0.33243,-0.05776,1.06776,3.27698,4.75573,0.63627,-0.60696,-0.60696,0.86037,1.82586,-0.64809,-0.06391,-0.06824,-8.50728,-7.65828
"25","2017_Q2",4.74095238095238,"Down",25533000,-11969000,13564000,-31100000,-22576000,-8524000,-17536000,-1446000,-1455000,-1455000,9000,-18982000,-18982000,1780000,-17202000,-17202000,-17202000,-17202000,50280000,44097000,14391000,14391000,19715000,1726000,1726000,86112000,15258000,191098000,9990000,206356000,292468000,21389000,3731000,17658000,9900000,9900000,31289000,27654000,4394000,3123000,222676000,253965000,496090000,-456862000,-725000,38503000,38503000,292468000,-17202000,1951000,5120000,5120000,1643000,-8488000,-692000,17500000,3000,3000,3000,9015000,9015000,37000,9052000,-15585000,195022000,-16414000,0.53123,-0.6868,-0.67372,-0.44677,-0.05882,0.95419,2.75215,6.59598,0.66681,-0.58832,-0.58832,0.87325,1.31684,-0.56137,-0.06586,-0.06285,-9.28726,-8.25399
"26","2017_Q3",4.20349206349206,"Down",23912000,-11963000,11949000,-28437000,-20975000,-7462000,-16488000,-1272000,-1456000,-1456000,184000,-17760000,-17760000,828000,-16932000,-16932000,-16932000,-16932000,42031000,39597000,13659000,13659000,18765000,4670000,4670000,79125000,13966000,185618000,7310000,199584000,278709000,25227000,3858000,21369000,9097000,9097000,34324000,25354000,4012000,4613000,220448000,254772000,498380000,-473795000,-648000,23937000,23937000,278709000,-16932000,2137000,4838000,4838000,1667000,-8290000,-142000,3589000,40999.9999999991,40999.9999999991,-48999.9999999991,-4750000,-4750000,250000,-4500000,-14351000,195094000,-13654000,0.49971,-0.68953,-0.7081,-0.70736,-0.06075,0.8064,2.30524,10.64344,0.69999,-0.57909,-0.57909,0.81781,0.81867,-0.46698,-0.06928,-0.05587,-10.66567,-9.2833
"27","2017_Q4",5.47396825396825,"Up",24748000,-12565000,12183000,-27784000,-20102000,-7682000,-15601000,-1078000,-1456000,-1456000,378000,-16679000,-16679000,735000,-15944000,-15944000,-15944000,-15944000,62374000,60944000,13732000,13732000,17746000,2314000,2314000,96166000,13335000,182495000,6987000,195830000,291996000,22007000,4721000,17286000,9877000,9877000,31884000,25876000,4589000,5371000,221042000,252926000,529539000,-489738000,-731000,39070000,39070000,291996000,-15944000,1490000,5246000,5246000,1227000,-7981000,-554000,448000,28862000,28862000,28862000,21329000,21329000,18000,21347000,-14111000,195166000,-14173000,0.49228,-0.63039,-0.64425,-0.40809,-0.0546,0.88892,3.01612,6.47366,0.66839,-0.51348,-0.51348,0.79701,1.25825,-0.45644,-0.0613,-0.05449,-9.41053,-8.51176
"28","2018_Q1",6.56655737704918,"Up",27744000,-13458000,14286000,-23021000,-15863000,-7158000,-8735000,-1643000,-1457000,-1457000,-186000,-10378000,-10378000,-78999.9999999999,-10457000,-10457000,-10457000,-10457000,63136000,58056000,15049000,15049000,15088000,1528000,1528000,94801000,12301000,180249000,7541000,192550000,287351000,23236000,4211000,19025000,10238000,10238000,33474000,27704000,4960000,5825000,222942000,256416000,531705000,-500196000,-574000,30935000,30935000,287351000,-10457000,1831000,4620000,4620000,4667000,661000,-228000,-3879000,-13000.0000000075,-13000.0000000075,181000,-3037000,-3037000,149000,-2888000,-6904000,195238000,-2386000,0.51492,-0.31484,-0.37691,-0.33803,-0.03639,0.22817,2.83208,8.28886,0.67944,-0.26974,-0.26974,0.71566,0.79797,-0.06155,-0.04119,-0.00939999999999999,-19.13413,-15.1233
"29","2018_Q2",5.6990625,"Down",25248000,-11820000,13428000,-26061000,-18805000,-7256000,-12633000,-1797000,-1889000,-1889000,92000,-14430000,-14430000,1183000,-13247000,-13247000,-13247000,-13247000,47254000,41972000,16267000,16267000,15253000,2227000,2227000,81001000,11433000,177268000,7360000,188701000,269702000,23059000,5206000,17853000,10645000,10645000,33704000,23268000,5313000,2381000,187424000,221128000,562190000,-513084000,-532000,48574000,48574000,269702000,-13247000,1983000,4489000,4489000,-9401000,-16176000,-77000,-263000,71000,71000,-58000,-16497000,-16497000,413000,-16084000,-10650000,164156000,-21311000,0.53184,-0.50036,-0.52468,-0.27272,-0.04912,1.60874,2.40331,4.55239,0.60866,-0.34093,-0.34093,0.64978,1.2501,-0.54846,-0.05613,-0.0903,-10.97671,-9.2537
"30","2018_Q3",7.10873015873016,"Up",26428000,-12840000,13588000,-26373000,-18987000,-7386000,-12785000,-3660000,-3916000,-3916000,256000,-16445000,-16445000,204000,-16241000,-16241000,-16241000,-16241000,40420000,39424000,16874000,16874000,15251000,2702000,2702000,75247000,10424000,173432000,6324000,183856000,259103000,25894000,6642000,19252000,10756000,10756000,36650000,20862000,4790000,2004000,187620000,224270000,564662000,-529325000,-504000,34833000,34833000,259103000,-16241000,949000,7907000,7907000,3062000,-4323000,-77000,4199000,8000,8000,-2094000,-2218000,-2218000,-330000,-2548000,-11836000,166758000,-9055000,0.51415,-0.48377,-0.61454,-0.46625,-0.06268,0.55754,2.05312,6.43843,0.6436,-0.41798,-0.41798,0.68015,0.89646,-0.23304,-0.07301,-0.04071,-10.67405,-9.88174
