"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",22.4846774193548,"Down",115099000,-103499000,11600000,-7571000,-7571000,4029000,-1319000,-1270000,-1305000,-49000,2710000,2710000,686000,3396000,3396000,3396000,3396000,28000,28000,70980000,70980000,131679000,68493000,1302000,57323000,271180000,150702000,33158000,12680000,183860000,455040000,76155000,24421000,51734000,8757000,8757000,93892000,76099000,30955000,19655000,11300000,107054000,200946000,111466000,144871000,-2243000,254094000,254094000,455040000,3396000,3396000,4207000,-1921000,-7909000,-2227000,-3169000,-3264000,-3264000,-3169000,5466000,-67000,5399000,3000,3000,3000,8236000,85079000,-3528000,0.10078,0.035,0.02951,0.01337,0.00746,-1.03887,2.88821,0.79083,0.18697,0.36201,0.35642,12.26937,27.08602,-0.37608,2,0.00918,-0.00953,10.32674,21.1097
"12","2013_Q1",24.753,"Up",586999.999999985,16844000,17431000,-6323000,-6323000,11108000,-997000,-709000,-734000,-288000,10111000,10111000,-4344000,5767000,4510000,4510000,4510000,46000,46000,41498000,41498000,113545000,81049000,2558000,73314000,236138000,152545000,33739000,13261000,186284000,422422000,44466000,21042000,23424000,15271000,6478000,68746000,63069000,31175000,15254000,15921000,94244000,162990000,112324000,149381000,-2273000,259432000,259432000,422422000,4510000,4510000,4574000,-20954000,34161000,22291000,-5494000,-5512000,-5512000,-8074000,-14600000,401000,-14199000,18000,18000,18000,15682000,72078000,48693000,29.69506,18.92334,7.68313,0.01738,0.01068,10.79667,3.43493,0.62826,0.17063,0.48066,0.47948,0.0625599999999995,27.64915,5.18949,7,0.01244,0.13426,4.59329,6.4847
"13","2013_Q2",27.096875,"Up",107335000,-84416000,22919000,-6030000,-6030000,16889000,-815000,-774000,-957000,-41000,16074000,16074000,-5098000,10976000,9506000,9506000,9506000,47000,47000,65415000,65415000,109604000,78408000,1985000,70018000,253474000,158796000,33644000,13166000,192440000,445914000,56570000,33598000,22972000,10045000,2792000,75627000,68138000,33312000,17131000,16181000,101450000,177077000,112047000,158887000,-2097000,268837000,268837000,445914000,9506000,9506000,3865000,723000,-10250000,3844000,-8112000,-9781000,-9781000,-8112000,5071000,-802000,4269000,1000,1000,1000,20754000,77150000,7490000,0.21353,0.15735,0.08856,0.03536,0.02132,0.78792,3.35163,0.65868,0.17302,1.00731,1.00232,11.37385,28.48755,0.79368,5,0.02506,0.01975,3.71509,4.56528
"14","2013_Q3",29.79828125,"Up",87942000,-72732000,15210000,-5941000,-5941000,9269000,-803000,-807000,-867000,3999.99999999997,8466000,8466000,-2919000,5547000,5561000,5561000,5561000,194000,194000,57946000,57946000,115845000,73800000,1636000,65687000,247785000,162191000,35345000,14867000,197536000,445321000,47114000,29528000,17586000,9551000,3635000,67037000,69618000,33321000,17319000,16002000,102939000,169976000,112886000,164448000,-1989000,275345000,275345000,445321000,5561000,5561000,3317000,5527000,-5060000,9345000,-8602000,-8613000,-8613000,-11452000,2182000,2.3283064365387e-10,2254000,147000,147000,147000,12586000,79990000,1843000,0.172950000000001,0.105400000000002,0.0632299999999997,0.0202,0.01249,0.331419999999999,3.69624,0.61732,0.17962,0.5889,0.5876,9.31293,29.15864,0.19517,6,0.01431,0.00474000000000002,6.34006,8.60891
"15","2013_Q4",36.44375,"Up",78527000,-67273000,11254000,-5556000,-5556000,5698000,-1041000,-799000,-893000,-242000,4657000,4657000,-1923000,2734000,1016000,1016000,1016000,33000,33000,64609000,64609000,109945000,59390000,1708000,51066000,233977000,162616000,37120000,16642000,199736000,433713000,33941000,22063000,11878000,11871000,4005000,55946000,68270000,32258000,18957000,13301000,100528000,156474000,113761000,165464000,-1986000,277239000,277239000,433713000,1016000,1016000,2929000,18835000,-14584000,8196000,-3671000,-3686000,-3686000,-6771000,-1586000,0,-1586000,-161000,-161000,-161000,8627000,78404000,-7705000,0.14331,0.07256,0.01294,0.00366,0.00234,-7.58366,4.18219,0.5644,0.18077,0.10752,0.10643,8.31061,29.34057,-0.81543,6,0.00262,-0.01986,9.08439,13.75412
"16","2014_Q1",35.6873770491803,"Down",85641000,-74788000,10853000,-5174000,-5174000,5679000,-842000,-832000,-904000,-10000.0000000001,4837000,4837000,-2418000,2419000,-17006000,-17006000,-17006000,588000,588000,72470000,72470000,110392000,60130000,2381000,50468000,243580000,143061000,46818000,21058000,189879000,433459000,32033000,21731000,10302000,8260000,3368000,48223000,94241000,29145000,11842000,17303000,123386000,171609000,114653000,148458000,-1261000,261850000,261850000,433459000,-17006000,-17006000,3161000,17125000,-4576000,-1296000,-6351000,-6367000,-6367000,-21916000,23767000,0,23767000,555000,555000,555000,8840000,102171000,330999.999999998,0.12673,0.0663099999999999,-0.19857,-0.06495,-0.03923,-0.0194599999999996,5.05112,0.65537,0.23571,-1.79939,-1.76374,9.06158,27.70606,0.03502,3,-0.04325,0.000840000000000007,11.49129,17.88748
"17","2014_Q2",36.3344444444444,"Up",82647000,-78333000,4314000,-5440000,-5440000,-1126000,-752000,-689000,-770000,-63000,-1878000,-1878000,667000,-1211000,-12104000,-12104000,-12104000,49000,49000,57482000,57482000,62974000,62095000,2156000,44328000,182600000,133303000,46693000,25345000,179996000,362596000,33116000,20924000,12192000,18215000,18215000,55852000,26548000,29098000,12879000,16219000,55646000,111498000,113725000,138568000,-1195000,251098000,251098000,362596000,-12104000,-12104000,3159000,36642000,12442000,40139000,-4964000,-4964000,-4964000,26658000,-66053000,-1283000,-67336000,-539000,-539000,-539000,2033000,31069000,8844000,0.0522,-0.01362,-0.14645,-0.0482,-0.03338,-0.73067,3.26935,0.44404,0.08568,-1.27303,-1.27303,8.69236,26.40913,0.93016,3,-0.03889,0.02841,15.25824,-27.54885
"18","2014_Q3",36.76859375,"Up",101988000,-90671000,11317000,-5918000,-5918000,5399000,-461000,-487000,-569000,26000,4938000,4938000,-1756000,3182000,3192000,3192000,3192000,74999.9999999999,74999.9999999999,47560000,47560000,64068000,67808000,6244000,49466000,179511000,134235000,42074000,20726000,176309000,355820000,27048000,16638000,10410000,5371000,5371000,33393000,41029000,28447000,12250000,16197000,69476000,102869000,114583000,139546000,-1178000,252951000,252951000,355820000,3192000,3192000,2916000,-19947000,6935000,-6904000,-4041000,-4041000,-4041000,-4032000,10934000,28000,10962000,26000,26000,26000,8315000,42003000,12965000,0.11096,0.05294,0.0313,0.01262,0.00897,4.06172,5.37571,0.40668,0.11805,0.33558,0.32962,10.72204,26.59283,1.36302,4,0.00987,0.04009,5.04245,7.76588000000002
"19","2014_Q4",32.30421875,"Down",116505000,-100685000,15820000,-6489000,-6489000,9331000,-198000,-237000,-457000,39000,9133000,9133000,-3275000,5858000,5021000,5021000,5021000,72000,72000,47544000,47544000,77272000,70965000,5873000,55774000,195853000,132097000,41046000,19698000,173143000,368996000,32279000,21978000,10301000,1312000,1312000,34589000,47495000,27950000,12208000,15742000,75445000,110034000,115465000,144567000,-1070000,258962000,258962000,368996000,5021000,5021000,4023000,-8663000,-2450000,-2069000,-2606000,-2614000,-2614000,-4424000,6490000,0,6490000,-3000,-3000,-3000,13354000,48493000,11573000,0.13579,0.08009,0.0431,0.01939,0.01361,2.30492,5.66229,0.4249,0.13142,0.52747,0.5234,12.23921,27.20475,1.21578,5,0.01497,0.0345,3.62595,5.18926
"20","2015_Q1",24.3727868852459,"Down",102158000,-93033000,9125000,-6469000,-6469000,2656000,-305000,-411000,-494000,106000,2351000,-13715000,-287000,-14002000,-13996000,-13996000,-13996000,527000,527000,58310000,58310000,72779000,63623000,7258000,45847000,195239000,132595000,24048000,18766000,156643000,351882000,24551000,15480000,9071000,2835000,2835000,29556000,45812000,30879000,14015000,16864000,76691000,106247000,116897000,130571000,-1833000,245635000,245635000,351882000,-13996000,-13996000,3508000,30648000,-16282000,3878000,-2670000,-2670000,-2670000,-2661000,-1315000,525000,-762000,455000,455000,455000,6164000,47982000,-12501000,0.08932,0.026,-0.137,-0.05698,-0.03977,0.89318,6.60573,0.43254,0.13636,-1.47001,-1.509,10.72976,25.79929,-1.31299,6,-0.04313,-0.03852,7.69872999999999,17.86709
"21","2015_Q2",22.2755555555556,"Down",84865000,-80974000,3891000,-6974000,-6974000,-3083000,-291000,-335000,-417000,44000,-3374000,-3374000,1273000,-2101000,-2101000,-2101000,-2101000,116000,116000,32128000,32128000,61283000,69783000,7087000,52553000,163310000,132848000,24595000,19313000,157443000,320753000,18524000,9421000,9103000,1462000,1462000,21913000,25003000,30313000,14194000,16119000,55316000,77229000,116793000,128470000,-1739000,243524000,243524000,320753000,-2101000,-2101000,2630000,-7893000,31937000,24573000,-3689000,-3689000,-3689000,-3528000,-21052000,-404000,-21456000,-411000,-411000,-411000,-453000,26930000,26522000,0.04585,-0.03633,-0.02476,-0.00863,-0.00655,-12.62351,7.45265,0.31713,0.08396,-0.21993,-0.21993,8.8836,25.49189,2.7763,5,-0.00699,0.08818,-59.19205,-8.69737
"22","2015_Q3",16.6553125,"Down",53846000,-56439000,-2593000,-5452000,-5452000,-8045000,-191000,-205000,-286000,14000,-8236000,-13518000,1439000,-12079000,-12079000,-12079000,-12079000,688000,688000,33533000,33533000,51151000,63099000,1717000,49794000,148471000,133362000,12833000,12833000,146195000,294666000,24040000,14598000,9442000,933000,933000,25151000,7202000,30305000,14235000,16070000,37507000,62658000,117263000,116391000,-1646000,232008000,232008000,294666000,-12079000,-12079000,2021000,9659000.00000001,17591000,17192000,-2272000,-2327000,-2327000,2947000,-19567000,0,-19567000,572000,572000,572000,-6024000,7380000,7856000,-0.04816,-0.14941,-0.22432,-0.05206,-0.04099,-0.650380000000004,5.90318,0.27007,0.02505,-1.26389,-1.26389,5.63419,24.27624,0.82202,5,-0.04479,0.02913,-1.11089000000001,-0.83182
"23","2015_Q4",12.62203125,"Down",52335000,-54846000,-2511000,-4773000,-4773000,-7284000,-161000,-185000,-195000,24000,-7445000,-7445000,5930000,-1515000,-1515000,-1515000,-1515000,635000,635000,35422000,35422000,49161000,53450000,1642000,38700000,138668000,132640000,12111000,12111000,144751000,283419000,19676000,10463000,9213000,695000,695000,27094000,112000,25391000,11012000,14379000,25503000,52597000,117468000,114876000,-1522000,230822000,230822000,283419000,-1515000,-1515000,2013000,7995000,-12454000,-3961000,-1688000,-1688000,-1688000,4451000,-543000,0,-543000,-53000,-53000,-53000,-5271000,6835000,-25343000,-0.04798,-0.13918,-0.02895,-0.00656,-0.00535,16.72805,5.11803,0.22787,0.02412,-0.15841,-0.15841,5.47208,24.13446,-2.64983,2,-0.00576,-0.09634,-1.17625,-0.85118
"24","2016_Q1",9.23016393442623,"Down",-17886000,19705000,1819000,-3179000,-3179000,-1360000,-638000,-614000,-442000,-24000,-1998000,-1998000,-119000,-2117000,-13693000,-13693000,-13693000,10309000,10309000,27567000,27567000,29475000,47928000,1923000,42592000,115279000,131848000,12253000,12253000,144101000,259380000,20710000,4739000,15971000,520000,520000,21570000,718000,19532000,5124000,14408000,20250000,41820000,117915000,101183000,-1538000,217560000,217560000,259380000,-2117000,-13693000,668000,-4439000,-11093000,17402000,873000,873000,873000,-811000,-5997000,-1000.00000000012,-6917000,9674000,9674000,9674000,-692000,1058000,-10793000,-0.1017,0.07604,0.76557,-0.06294,-0.05279,0.788209999999999,5.34441,0.19222,0.00408,-1.43142,-1.43142,-1.86975,22.74305,-1.12827,3,-0.0575,-0.04532,13.3685,6.80221
"25","2016_Q2",9.56296875,"Up",33928000,-39365000,-5437000,-4599000,-4599000,-10036000,-79000,-119000,-119000,40000,-10115000,-10115000,532000,-9583000,-9583000,-9583000,-9583000,9402000,9402000,21969000,21969000,29379000,46304000,1454000,41409000,107054000,130198000,11958000,11958000,142156000,249210000,19227000,3739000,15488000,3771000,3771000,23364000,667000,17999000,5473000,12526000,18666000,42030000,117150000,91600000,-1570000,207180000,207180000,249210000,-9583000,-9583000,2181000,4579000,4012000,1189000,-736000,-736000,-736000,-736000,-96000,-1264000,-1360000,-907000,-907000,-907000,-7855000,1033000,-5111000,-0.16025,-0.2958,-0.28245,-0.04625,-0.03845,0.53334,4.58201,0.20287,0.00415,-1.00115,-1.00115,3.5445,21.64438,-0.53395,3,-0.04236,-0.02259,1.06544,0.8339
"26","2016_Q3",11.52625,"Up",42061000,-44223000,-2162000,-4091000,-4091000,-6253000,-120000,-115000,-118000,-4999.99999999999,-6373000,-6373000,131000,-6242000,-6242000,-6242000,-6242000,9065000,9065000,16835000,16835000,25542000,55971000,1121000,47894000,107413000,121568000,11800000,11800000,133368000,240781000,19247000,4976000,14271000,929000,929000,20560000,739000,17794000,5344000,12450000,18533000,39093000,117785000,85358000,-1455000,201688000,201688000,240781000,-6242000,-6242000,2798000,-9405000,13190000,340999.999999998,-580000,-6e+05,-6e+05,-580000,-98000,0,-98000,-336999.999999998,-336999.999999998,-336999.999999998,-3455000,1123000,9024000,-0.0514,-0.14867,-0.1484,-0.03095,-0.02592,-1.44569,5.22437,0.19383,0.00466,-0.65157,-0.65157,4.3905,21.05303,0.94196,4,-0.02829,0.04091,2.2987,1.27011
"27","2016_Q4",15.3961904761905,"Up",34219000,-30703000,3516000,-3647000,-3647000,-131000,-104000,-120000,-131000,16000,-235000,-517000,2774000,2257000,728000,728000,728000,11805000,11805000,22615000,22615000,20606000,53441000,962000,46063000,108467000,120164000,11638000,11638000,131802000,240269000,17264000,4979000,12285000,4147000,4147000,21769000,667000,14782000,2461000,12321000,15449000,37218000,118303000,86086000,-1338000,203051000,203051000,240269000,2257000,728000,1833000,2440000,-8742000,3292000,-454000,-454000,-454000,-454000,13000,0,-98000,2740000,2740000,2740000,1702000,1025000,-10268000,0.10275,-0.00383,0.02127,0.00359,0.00303,-14.1044,4.98264,0.18329,0.00427,0.07586,0.07586,3.56559,21.15776,-1.06992,5,0.00333,-0.04692,-6.33373,82.29008
"28","2017_Q1",17.5035483870968,"Up",39179000,-35032000,4147000,-4584000,-4584000,-437000,-549000,-141000,-141000,-408000,-986000,6166000,661000,6827000,5834000,5834000,5834000,21829000,21829000,25555000,25555000,18645000,82581000,2096000,43663000,148610000,81671000,11274000,11274000,92945000,241555000,16192000,5267000,10925000,2038000,2038000,18555000,602000,13185000,1282000,11903000,13787000,32342000,118776000,91920000,-1483000,209213000,209213000,241555000,6827000,5834000,1956000,-8905000,-989000,-3303000,-489000,-502000,-502000,13425000,-98000,2.91038304567337e-11,-98000,10024000,10024000,10024000,1519000,927000,-620000,0.10585,-0.01115,0.14891,0.02789,0.02415,-0.10627,8.00916,0.15459,0.00384,0.60752,0.60752,4.07987,21.78621,-0.06456,6,0.02612,-0.00278,-13.76037,47.83066
"29","2017_Q2",14.7044444444444,"Down",29657000,-28414000,1243000,-3840000,-3840000,-2597000,-226000,-137000,-137000,-89000,-2823000,-3704000,162000,-3542000,-3868000,-3868000,-3868000,20807000,20807000,18616000,18616000,16954000,46835000,1772000,45063000,103212000,116848000,11054000,11054000,127902000,231114000,10767000,3627000,7140000,940000,940000,11995000,539000,12893000,1044000,11849000,13432000,25427000,119023000,88052000,-1388000,205687000,205687000,231114000,-3542000,-3868000,1729000,502000,1234000,-282000,-504000,-529000,-529000,-504000,-1e+05,-136000,-236000,-1022000,-1022000,-1022000,-868000,827000,-3e+05,0.04191,-0.08757,-0.13042,-0.01881,-0.01674,0.07756,8.60459,0.12362,0.00358,-0.40275,-0.40275,3.08798,21.41681,-0.03124,6,-0.01763,-0.00137,23.01843,7.69349
"30","2017_Q3",16.667619047619,"Up",28692000,-27946000,746000,-3572000,-3572000,-2826000,1000,-115000,-115000,116000,-2825000,-2825000,1404000,-1421000,-2068000,-2068000,-2068000,17528000,17528000,20975000,20975000,22415000,44392000,1136000,43178000,105310000,116213000,10992000,10992000,127205000,232515000,15302000,7620000,7682000,1012000,1012000,16572000,481000,11293000,193000,11100000,11774000,28346000,119478000,85984000,-1293000,204169000,204169000,232515000,-1421000,-2068000,1232000,-217000,-1689000,-2622000,-569000,-687000,-687000,-569000,-88000,-2.91038304567337e-11,-88000,-3279000,-3279000,-3279000,-1594000,739000,-5256000,0.026,-0.09849,-0.07208,-0.01013,-0.00889,2.54159,6.35469,0.13884,0.00318,-0.21519,-0.21519,2.98564,21.24547,-0.54693,4,-0.00957,-0.02431,10.53262,5.94091
