"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2014_Q4",59.0659375,"Down",102455000,-6174000,96281000,-91737000,-69736000,-17397000,-4604000,4544000,2e+05,4744000,4744000,-1107000,3637000,3637000,3637000,3637000,364094000,290567000,31175000,31175000,9485000,9485000,404754000,43333000,75691000,15342000,172645000,577399000,29641000,2145000,2145000,31786000,6990000,6990000,6990000,38776000,607012000,-66711000,-1678000,538623000,538623000,577399000,3637000,4604000,11911000,-1102000,19050000,-6865000,-39134000,-24999000,6082000,6475000,6521000,572000,572000,-391000,181000,9148000,0,2288000,0.93974,0.04435,0.0355,0.00675,0.0063,0.62909,12.73372,0.07199,0,0.05038,0.0403,1.41914,7.46067,0.03169,0.00667,0.00419,-39.80039,-80.12632
"12","2015_Q1",49.5096721311475,"Down",109887000,-7286000,102601000,-94609000,-70242000,-19076000,-5291000,7992000,38000.0000000001,8030000,8030000,24698000,32728000,32728000,32728000,32728000,365810000,247312000,35593000,35593000,19355000,19355000,420758000,62761000,107519000,34426000,208892000,629650000,30979000,2994000,2994000,33973000,7527000,7527000,7527000,41500000,627742000,-33983000,-5609000,588150000,588150000,629650000,32728000,5291000,-13826000,-5300000,18893000,-16701000,139971000,-69527000,11434000,11717000,8282000,-42352000,-42352000,-903000,-43255000,13283000,0,-33416000,0.9337,0.07273,0.29783,0.05565,0.05198,-1.02102,12.38507,0.07056,0,0.4504,0.59666,1.51226,8.0941,-0.45987,0.05494,-0.0561,-27.53971,-45.77202
"13","2015_Q2",46.3844444444444,"Down",118508000,-8699000,109809000,-114058000,-83203000,-23960000,-6895000,-4249000,562000,-3687000,-3687000,2403000,-1284000,-1284000,-1284000,-1284000,331232000,172629000,38969000,38969000,22706000,22706000,392907000,68594000,237890000,21543000,322979000,715886000,43724000,3657000,3657000,47381000,11849000,11849000,11849000,59230000,705397000,-35267000,-13474000,656656000,656656000,715886000,-1284000,6895000,16225000,3799000,25635000,-11098000,-3201000,-103715000,3230000,3398000,4045000,-74035000,-74035000,-648000,-74683000,2646000,0,-7056000,0.9266,-0.03585,-0.01083,-0.00196,-0.00179,5.49533,8.2925,0.0902,0,-0.01743,-0.01743,1.60833,8.91179,-0.09576,-0.00192,-0.01055,-125.18216,77.95528
"14","2015_Q3",27.73796875,"Down",133913000,-13057000,120856000,-120806000,-87294000,-26345000,-7167000,50000,329000,379000.000000001,379000,-1684000,-1305000,-1305000,-1305000,-1305000,368133000,181460000,41339000,41339000,22713000,22713000,432185000,72603000,236599000,20845000,309202000,741387000,39422000,2546000,2546000,41968000,13254000,13254000,13254000,55222000,734867000,-36572000,-12130000,686165000,686165000,741387000,-1305000,7167000,15711000,-3543000,18030000,-7166000,-1139000,-22355000,9969000,10197000,13106000,8781000,8781000,50000,8831000,7217000,0,-1808000,0.9025,0.000370000000000002,-0.00974999999999997,-0.0019,-0.00176,1.38544,10.29797,0.08048,0,-0.01756,-0.01756,1.8015,9.23084,-0.02432,-0.00187,-0.00259000000000001,-51.00915,-7362.66
"15","2015_Q4",26.27890625,"Down",143559000,-14259000,129300000,-140012000,-103939000,-28511000,-7562000,-10712000,-545000,-11257000,-11257000,3175000,-8082000,-8082000,-8082000,-8082000,368939000,171807000,46942000,46942000,31952000,31952000,447833000,78342000,238230000,23166000,316572000,764405000,52551000,2543000,2543000,55094000,12849000,12849000,12849000,67943000,752795000,-44654000,-11679000,696462000,696462000,764405000,-8082000,7562000,19992000,-9610000,9862000,-7632000,-2654000,-21089000,1269000,1355000,1615000,-9612000,-9612000,-41000,-9653000,-3150000,0,-23567000,0.90067,-0.07462,-0.0563,-0.0116,-0.01057,2.91599,8.12853,0.09755,0,-0.10729,-0.10729,1.90568,9.24523,-0.31284,-0.01139,-0.03323,117.12349,34.44165
"16","2016_Q1",20.4688524590164,"Down",153731000,-1.5e+07,138731000,-145144000,-108194000,-28970000,-7980000,-6413000,40000,-6373000,-6373000,-15856000,-22229000,-22229000,-22229000,-22229000,370827000,171613000,52755000,52755000,19700000,19700000,443282000,80467000,231678000,20187000,312145000,755427000,46846000,2931000,2931000,49777000,12030000,12030000,12030000,61807000,774022000,-66883000,-13519000,693620000,693620000,755427000,-22229000,7980000,40859000,-22775000,3835000,-5231000,-3849000,-11523000,6216000,6216000,7676000,-11999.9999999963,-11999.9999999963,-182000,-194000.000000004,1567000,0,-10583000,0.90243,-0.04172,-0.1446,-0.03205,-0.02943,0.476090000000001,8.90536,0.08911,0,-0.29488,-0.29488,2.03936,9.2014,-0.14039,-0.0315,-0.015,-236.64773,57.8242599999988
"17","2016_Q2",24.33375,"Up",158613000,-15078000,143535000,-157808000,-117397000,-32222000,-8189000,-14273000,258000,-14015000,-14015000,-1437000,-15452000,-15452000,-15452000,-15452000,375457000,183505000,54774000,54774000,17109000,17109000,447340000,84776000,232579000,21256000,325627000,772967000,55964000,2977000,2977000,58941000,13332000,13332000,13332000,72273000,793468000,-80997000,-11777000,700694000,700694000,772967000,-15452000,8189000,24681000,6461000,23879000,-7645000,-3945000,-13191000,1045000,1045000,1045000,11733000,11733000,159000,11892000,-6084000,0,-5831000,0.90494,-0.08999,-0.09742,-0.02205,-0.01999,0.37736,7.58962,0.10314,0,-0.20363,-0.20363,2.0902,9.23375,-0.07684,-0.02164,-0.00817,61.7122,26.3054
"18","2016_Q3",35.05359375,"Up",173428000,-15087000,158341000,-159528000,-117866000,-33098000,-8564000,-1187000,367000,-820000,-820000,1269000,449000,449000,449000,449000,398101000,196295000,59887000,59887000,15753000,15753000,473741000,89502000,230555000,21655000,326057000,799798000,52888000,3337000,3337000,56225000,14466000,14466000,14466000,70691000,822385000,-80554000,-12724000,729107000,729107000,799798000,449000,8564000,23464000,-9846000,22631000,-4793000,-3996000,-16542000,6810000,6810000,6810000,12899000,12899000,-109000,12790000,7377000,0,-8531000,0.91301,-0.00684,0.00259,0.000619999999999999,0.000559999999999998,-19,8.42581,0.09696,0,0.00587000000000001,0.00566000000000003,2.26801,9.53492,-0.11156,0.000599999999999996,-0.01147,-53.96516,335.38416
"19","2016_Q4",36.9657142857143,"Up",186232000,-14594000,171638000,-169678000,-124150000,-36369000,-9159000,1960000,327000,2287000,2287000,-217000,2070000,2070000,2070000,2070000,432295000,224891000,66588000,66588000,15609000,15609000,514492000,93838000,237258000,29330000,331096000,845588000,60335000,3227000,3227000,63562000,16445000,16445000,16445000,80007000,856115000,-78484000,-12050000,765581000,765581000,845588000,2070000,9159000,27704000,-3656000,35277000,-5360000,-11582000,-16859000,10200000,10200000,10200000,28618000,28618000,-22000,28596000,11119000,0,2320000,0.92164,0.01052,0.01112,0.0027,0.00245,1.12077,8.09433,0.1045,0,0.0267,0.02496,2.40234,9.87579,0.02993,0.00265,0.00297,-38.87895,-220.55867
"20","2017_Q1",37.0853225806452,"Up",194796000,-15604000,179192000,-167216000,-120922000,-36860000,-9434000,11976000,742000,12718000,9263000,-1e+06,8263000,8263000,8263000,8263000,479533000,272201000,68725000,68725000,12921000,12921000,561179000,92440000,231587000,28309000,324027000,885206000,57085000,3314000,3314000,60399000,17621000,17621000,17621000,78020000,892983000,-70221000,-15576000,807186000,807186000,885206000,8263000,9434000,30649000,-3233000,45113000,-5196000,-3590000,-8980000,11467000,11467000,11467000,47600000,47600000,-290000,47310000,21410000,0,13981000,0.9199,0.06148,0.04242,0.01024,0.00933,1.692,9.2912,0.09666,0,0.10476,0.11694,2.46977,10.23413,0.17726,0.01002,0.01695,-22.39762,-40.04117
"21","2017_Q2",31.1993650793651,"Down",198174000,-16914000,181260000,-185720000,-135698000,-39871000,-10151000,-4460000,732000,-3728000,-3959000,-67000,-4026000,-4026000,-4026000,-4026000,485476000,272279000,68119000,68119000,14459000,14459000,568054000,91727000,262390000,21508000,354117000,922171000,68766000,3588000,3588000,72354000,17882000,17882000,17882000,90236000,921441000,-75001000,-14505000,831935000,831935000,922171000,-4026000,10151000,30488000,4622000,41235000,-2452000,-4179000,-43435000,3287000,3287000,3287000,1087000,1087000,138000,1225000,5691000,0,7928000,0.91465,-0.02251,-0.02032,-0.00484,-0.00437,-1.9692,7.85104,0.10847,0,-0.05042,-0.05042,2.48205,10.41964,0.09929,-0.00474,0.00933,-85.30592,108.85112
"22","2017_Q3",38.5760317460317,"Up",209946000,-18056000,191890000,-184710000,-131960000,-42088000,-10662000,7180000,862000,8042000,8022000,-118000,7904000,7904000,7904000,7904000,511795000,319754000,68778000,68778000,14298000,14298000,594871000,91714000,283530000,21679000,375244000,970115000,61329000,3800000,3800000,65129000,18320000,18320000,18320000,83449000,965049000,-67411000,-10972000,886666000,886666000,970115000,7904000,10662000,30270000,-13748000,35088000,-1627000,-3793000,-4015000,16067000,16067000,16067000,47140000,47140000,410000,47550000,17842000,0,2585000,0.914,0.0342,0.03765,0.00891,0.00815,0.32705,9.13373,0.09412,0,0.09758,0.08741,2.59189,10.94636,0.03191,0.00873,0.00286,-28.68484,-71.28064
"23","2017_Q4",44.4807936507937,"Up",223286000,-19312000,203974000,-197050000,-140559000,-45834000,-10657000,6924000,1339000,8263000,8228000,-232000,7996000,7996000,7996000,7996000,558169000,362401000,68483000,68483000,159567000,15694000,786219000,94348000,146548000,21547000,240896000,1027115000,51467000,28837000,3667000,80304000,21515000,21515000,21515000,101819000,1001633000,-67230000,-9107000,925296000,925296000,1027115000,7996000,10657000,29768000,3217000,51638000,-3813000,-4195000,-11710000,2459000,10202000,2459000,42387000,42387000,316000,42703000,17581000,0,17217000,0.91351,0.03101,0.03581,0.00864,0.00778,2.1532,9.79053,0.11004,0,0.09721,0.09145,2.71443,11.24857,0.2093,0.00845,0.01818,-31.74842,-80.61366
"24","2018_Q1",43.5070491803279,"Down",215407000,-16236000,199171000,-193821000,-136099000,-47994000,-9728000,5350000,1931000,7281000,172058000,-31074000,140984000,140984000,140984000,140984000,821216000,547850000,76173000,76173000,15700000,15700000,913089000,103651000,183829000,58982000,312512000,1225601000,82698000,3469000,3469000,86167000,30737000,30737000,30737000,116904000,1038017000,79170000,-8444000,1108697000,1108697000,1225601000,140984000,9728000,-136495000,25469000,39686000,-7706000,249103000,139059000,6548000,11361000,5349000,184094000,184094000,77000,184171000,15078000,0,63915000,0.92463,0.02484,0.6545,0.12716,0.11503,0.45335,10.59674,0.10544,0,1.69238,1.54956,2.58576,13.30889,0.76724,0.12373,0.05609,-54.46452,-153.49832
"25","2018_Q2",43.25078125,"Down",223074000,-14732000,208342000,-213169000,-151648000,-51493000,-10028000,-4827000,2604000,-2223000,-2223000,-63000,-2286000,-2286000,-2286000,-2286000,814618000,392335000,75533000,75533000,19975000,19975000,910126000,107889000,185586000,60157000,308373000,1218499000,90033000,3474000,3474000,93507000,32839000,32839000,32839000,126346000,1059168000,54830000,-6845000,1092153000,1092153000,1218499000,-2286000,10028000,34964000,-4410000,38296000,-10927000,-4671000,-153491000,-27627000,5682000,-39974000,-155169000,-155169000,-1e+05,-155269000,5201000,0,-10073000,0.93396,-0.02164,-0.01025,-0.00209,-0.00188,4.40639,9.73324,0.11569,0,-0.02728,-0.02728,2.66246,13.03519,-0.12022,-0.00203,-0.00895,-156.62719,168.76279
"26","2018_Q3",43.6785714285714,"Up",234863000,-14708000,220155000,-212534000,-149236000,-52789000,-10509000,7621000,3424000,11045000,11045000,-340999.999999996,10704000,10704000,10704000,10704000,803362000,389416000,78452000,78452000,20621000,20621000,902435000,109673000,186116000,64465000,295789000,1198224000,62277000,3668000,3668000,65945000,33845000,33845000,33845000,99790000,1086727000,21739000,-10032000,1098434000,1098434000,1198224000,10704000,10509000,34272000,-32844000,22641000,-4091000,-5434000,15044000,-21941000,10539000,-37547000,138000,138000,309000,447000,18130000,0,-18464000,0.93738,0.03245,0.04558,0.00974000000000001,0.00892999999999999,-1.72496,13.68466,0.09085,0,0.12778,0.12074,2.8037,13.11266,-0.22042,0.00945000000000002,-0.01631,-44.3112,-105.41425
"27","2018_Q4",38.2084126984127,"Down",241096000,-14178000,226918000,-216539000,-152062000,-53764000,-10713000,10379000,3922000,14301000,14301000,685000,14986000,14986000,14986000,14986000,837497000,423495000,81835000,81835000,17567000,17567000,936899000,110899000,185459000,64894000,296358000,1233257000,65393000,3392000,3392000,68785000,34978000,34978000,34978000,103763000,1109199000,30520000,-10225000,1129494000,1129494000,1233257000,14986000,10713000,32988000,-3509000,55178000,-3681000,-5069000,-7414000,-590000,5614000,-13718000,34046000,34046000,-12000,34034000,21092000,0,13217000,0.94119,0.04305,0.06216,0.01327,0.01215,0.88196,13.62069,0.09187,0,0.17839,0.16891,2.86992,13.44508,0.15733,0.01287,0.01135,-39.70686,-80.69149
"28","2019_Q1",36.1618032786885,"Down",243740000,-14254000,229486000,-216762000,-150932000,-54273000,-11557000,12724000,4159000,16883000,16883000,15063000,31946000,31946000,31946000,31946000,755860000,332764000,87305000,87305000,17104000,17104000,860269000,114800000,200494000,81515000,315294000,1175563000,61062000,3843000,3843000,64905000,35140000,35140000,35140000,100045000,1139462000,-52923000,-11021000,1075518000,1075518000,1175563000,31946000,11557000,20486000,-19917000,44072000,-26273000,15419000,-18508000,-107445000,7944000,-116508000,-90944000,-90944000,163000,-90781000,24281000,0,-36972000,0.94152,0.0522,0.13107,0.0297,0.02718,-1.15733,13.25428,0.09302,0,0.38615,0.34103,2.94621,13.00034,-0.4469,0.02876,-0.03329,-31.12969,-59.40428
"29","2019_Q2",34.5896825396825,"Down",235942000,-14265000,221677000,-225559000,-155608000,-58075000,-11876000,-3882000,4691000,809000,809000,556000,1365000,1365000,1365000,1365000,626415000,295276000,89301000,89301000,59326000,59326000,775042000,111477000,401695000,284556000,562818000,1337860000,71022000,59729000,3924000,130751000,212271000,212271000,212271000,343022000,1160254000,-153684000,-11732000,994838000,994838000,1337860000,1365000,11876000,42916000,-15128000,41029000,-8991000,215000,35154000,-100981000,1145000,-113478000,-37295000,-37295000,-65000,-37360000,7994000,0,-16681000,0.93954,-0.01645,0.00579,0.00137,0.00102,-12.22051,5.92762,0.3448,0,0.01669,0.01604,2.88536,12.166,-0.20399,0.00113,-0.01382,-78.36065,161.36399
"30","2019_Q3",34.57140625,"Down",246955000,-14975000,231980000,-219783000,-152977000,-54566000,-12240000,12197000,3891000,16088000,16088000,-3785000,12303000,12303000,12303000,12303000,412218000,139464000,95732000,95732000,23338000,23338000,531288000,114105000,392661000,275760000,552145000,1083433000,74590000,61117000,4617000,135707000,201271000,201271000,201271000,336978000,1194486000,-430916000,-11163000,746455000,746455000,1083433000,12303000,12240000,45459000,-13185000,56817000,18527000,61000.0000000019,82755000,-285434000,10053000,-295542000,-155970000,-155970000,41000.0000000001,-155929000,24437000,0,33564000,0.93936,0.04939,0.04982,0.01648,0.01136,2.72812,3.91496,0.45144,0,0.16302,0.15693,3.27231,9.89101,0.44474,0.01298,0.03542,-16.8686,-33.79667
"31","2019_Q4",33.93375,"Down",262474000,-16514000,245960000,-236410000,-167358000,-56661000,-12391000,9550000,3063000,12613000,12613000,-2552000,10061000,10061000,10061000,10061000,381816000,123402000,101441000,101441000,16042000,16042000,499299000,113935000,380571000,266334000,529470000,1028769000,74878000,61235000,4222000,136113000,190092000,190092000,190092000,326205000,1220048000,-504187000,-13297000,702564000,702564000,1028769000,10061000,12391000,46037000,-17067000,51422000,-10736000,107000,15223000,-72765000,4615000,-82944000,-16299000,-16299000,282000,-16017000,21941000,0,-3310000,0.93708,0.03638,0.03833,0.01432,0.00978,-0.32899,3.66827,0.46431,0,0.14234,0.13512,3.71329,9.93936,-0.04683,0.01127,-0.00371,-17.40194,-39.98073
"32","2020_Q1",30.3975806451613,"Down",268823000,-16656000,252167000,-234521000,-160534000,-61138000,-12849000,17646000,2611000,20257000,20257000,-3105000,17152000,17152000,17152000,17152000,412281000,170281000,106832000,106832000,14196000,14196000,533309000,110949000,372943000,258272000,537391000,1070700000,72333000,61822000,4315000,134155000,181554000,181554000,181554000,315709000,1259803000,-493053000,-11759000,754991000,754991000,1070700000,17152000,12849000,45212000,-19699000,55514000,-36322000,28828000,-8797000,10432000,16450000,445000,47162000,47162000,-373000,46789000,30495000,0,-22421000,0.93804,0.06564,0.0638,0.02272,0.01602,-1.30719,3.97532,0.41816,0,0.243,0.232,3.80861,10.6965,-0.31765,0.01831,-0.02394,-13.51963,-23.36399
"33","2020_Q2",21.7949206349206,"Down",249901000,-16847000,233054000,-260304000,-180833000,-67113000,-12358000,-27250000,2383000,-24867000,-24867000,9364000,-15503000,-15503000,-15503000,-15503000,487194000,364576000,85875000,85875000,21804000,21804000,594873000,110141000,376710000,263430000,490351000,1085224000,74702000,65979000,3637000,140681000,182111000,182111000,182111000,322792000,1283885000,-508590000,-12863000,762432000,762432000,1085224000,-15503000,12358000,50324000,-6393000,40786000,-7053000,295000,163219000,2585000,2585000,-8929000,195076000,195076000,-486000,194590000,-14892000,0,-37702000,0.93259,-0.10904,-0.06204,-0.02033,-0.01429,2.43192,4.22852,0.42337,0,-0.21668,-0.21668,3.49277,10.65623,-0.52695,-0.01641,-0.03992,32.71515,17.87868
