"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","net_loans","total_loans","net_fixed_assets","intangible_assets","goodwill","other_assets","total_assets","total_deposits","demand_deposits","interest_bearing_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_change_in_deposits","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",16.3991935483871,"Down",130144000,85279000,92497000,-7218000,44865000,33204000,11662000,-5463000,124681000,-83460000,-11682000,-71778000,41221000,41221000,41221000,-11317000,29904000,29904000,29904000,29904000,209188000,2769930000,5671233000,5671233000,161189000,18327000,291104000,745893000,9872159000,7804041000,2118853000,5685188000,408711000,195331000,186061000,8594144000,297585000,973182000,7248000,1278015000,1278015000,9872159000,9897000,504379000,-548378000,-4198000,4749000,-95237000,116663000,26175000,-15020000,109248000,-191816000,64000,-97524000,-75547000,-75547000,-75547000,51118000,604042000,-481194000,0.31673,0.22978,0.0234,0.00303,-16.09129,6.7246,0.06119,0.46162,0.45993,2.00902,19.72854,-7.42813,0.23186,0.00455,-0.04874,0.50227,7.72436,9.57895
"12","2013_Q1",17.1915,"Up",125098000,82319000,88866000,-6547000,42779000,33437000,9324000,-1410000,123688000,-87309000,-12572000,-74737000,36379000,36379000,36379000,-8669000,27710000,27710000,27710000,27710000,231489000,2699933000,5720243000,5720243000,160582000,17306000,291104000,700964000,9828667000,7896517000,2254211000,5642306000,288829000,198647000,157305000,8541298000,299411000,984563000,3395000,1287369000,1287369000,9828667000,9066000,513147000,-438953000,110970000,4108000,33603000,-63437000,-45878000,-15020000,-119910000,92476000,-337000,-42791000,22301000,22301000,22301000,45445000,487476000,-380731000,0.2908,0.22151,0.02152,0.00282,-13.73984,6.63469,0.0496,0.41996,0.4189,1.89591,19.51062,-5.77014,0.22763,0.00435,-0.03874,0.54204,5.6329,7.03667
"13","2013_Q2",18.018125,"Up",133314000,88975000,95455000,-6480000,44339000,33743000,10392000,2838000,136152000,-102145000,-13032000,-89113000,34007000,34007000,34007000,-9141000,24866000,24866000,24866000,24866000,242896000,3619749000,6518654000,6518654000,216668000,49361000,366366000,830895000,11850515000,9909431000,2534287000,7375144000,219769000,202029000,166340000,10497569000,356225000,991012000,5709000,1352946000,1352946000,11850515000,10248000,391109000,-436857000,-10634000,6069000,-387164000,146637000,-145421000,-15560000,-89078000,272660000,-560000,167462000,11407000,11407000,11407000,44255000,421798000,-377392000,0.25509,0.18652,0.01838,0.0021,-15.17703,7.75905,0.03559,0.37685,0.3759,2.02043,20.50446,-5.71953,0.23582,0.00341,-0.03185,0.62575,4.04253,5.26074
"14","2013_Q3",19.298125,"Up",142942000,99228000,105900000,-6672000,43714000,37390000,6150000,6398000,149340000,-107195000,-12816000,-94379000,42145000,42145000,42145000,-11024000,31121000,31121000,31121000,31121000,301532000,3582021000,6537965000,6537965000,215992000,46889000,368315000,802729000,11863312000,9817592000,2520895000,7296697000,374021000,177068000,167812000,10536493000,356353000,1006554000,-36088000,1326819000,1326819000,11863312000,11848000,400256000,-327108000,116117000,3439000,-40434000,-33789000,-70784000,-15548000,121445000,-91839000,-755000,13303000,58636000,58636000,58636000,53993000,551089000,-258652000,0.29484,0.21772,0.02346,0.00262,-8.31117,7.94117,0.04645,0.47165,0.47046,2.16635,20.1085,-3.91998,0.23564,0.00393,-0.0218,0.4996,4.62203,5.92139
"15","2013_Q4",20.1278125,"Up",145562000,98429000,104894000,-6465000,47133000,38528000,8605000,332000,145894000,-101524000,-13580000,-87944000,44370000,44370000,44370000,-11336000,33034000,33034000,33034000,33034000,335695000,3442081000,6566433000,6566433000,213929000,44424000,372463000,822305000,11805197000,9787234000,2643612000,7143622000,342465000,181012000,164972000,10475683000,357757000,1023983000,-52226000,1329514000,1329514000,11805197000,11094000,344924000,-230520000,158532000,11801000,10052000,-54644000,-45546000,-15566000,-33288000,-30358000,389000,-78823000,34163000,34163000,34163000,55464000,523477000,-151919000,0.30482,0.22694,0.02485,0.0028,-4.59887,7.87933,0.04434,0.49468,0.49332,2.17976,19.90916,-2.27495,0.2331,0.00412,-0.01287,0.47121,3.38566,4.23218
"16","2014_Q1",18.6731147540984,"Down",140528000,101855000,108097000,-6242000,38673000,38182000,384000,-2186000,138342000,-104867000,-14476000,-90391000,33475000,33475000,33475000,-5436000,28039000,28039000,28039000,28039000,345761000,3362882000,6593451000,6593451000,212391000,41990000,372851000,853804000,11790383000,9859902000,2663503000,7196399000,251587000,186603000,137338000,10435430000,363718000,1034966000,-43731000,1354953000,1354953000,11790383000,10390000,351612000,-235813000,37168000,13137000,162803000,-40145000,2784000,-15602000,-90710000,72668000,3758000,-29886000,10066000,10066000,10066000,43865000,438190000,-173375000,0.23821,0.19953,0.02069,0.00238,-6.18335,7.70169,0.03717,0.41595,0.41509,2.08468,20.10018,-2.57195,0.23145,0.0037,-0.0147,0.55644,2.10712,2.76114
"17","2014_Q2",18.072380952381,"Down",138982000,94904000,100708000,-5804000,44078000,36881000,6808000,742000,139724000,-101618000,-13165000,-88453000,38106000,38106000,38106000,-9103000,29003000,29003000,29003000,29003000,423819000,3538010000,6659543000,6659543000,208530000,39697000,365500000,821955000,12057054000,10122119000,2879341000,7242778000,259341000,179780000,121919000,10683159000,366453000,1045939000,-38497000,1373895000,1373895000,12057054000,10714000,186218000,-168540000,57395000,7244000,-168905000,-71117000,-232778000,-15597000,7710000,262217000,-889000,253441000,78058000,78058000,78058000,48820000,439121000,-103373000,0.27418,0.20868,0.02111,0.00241,-3.56422,7.77582,0.03642,0.43025,0.42936,2.06174,20.38117,-1.5335,0.23138,0.0037,-0.00857,0.53777,0.31344,0.40156
"18","2014_Q3",18.1396875,"Up",149428000,105288000,110743000,-5455000,44140000,37750000,6390000,-4135000,145293000,-102761000,-14543000,-88218000,42532000,42532000,42532000,-9635000,32897000,32897000,32897000,32897000,322960000,3533221000,6822360000,6822360000,205511000,37506000,365500000,827938000,12119996000,9860366000,2729199000,7131167000,559316000,181239000,119184000,10720105000,367247000,1063201000,-30557000,1399891000,1399891000,12119996000,11206000,228665000,-239017000,33751000,12928000,15215999.9999999,-183352000,-155208000,-15627000,298237000,-261753000,-259000,20598000,-100859000,-100859000,-100859000,53738000,740555000,-162716000,0.28463,0.22015,0.0235,0.00271,-4.94623,7.65781,0.0611,0.4878,0.48676,2.21572,20.75758,-2.41275,0.23172,0.004,-0.01343,0.47503,7.77094,9.81837
"19","2014_Q4",18.43953125,"Up",149122000,106229000,111440000,-5211000,42893000,37300000,5682000,-4203000,144919000,-100194000,-14489000,-85705000,44725000,44725000,44725000,-11136000,33589000,33589000,33589000,33589000,237497000,3533535000,6913851000,6913851000,204620000,35357000,365500000,801943000,12096316000,9513225000,2723480000,6789745000,607851000,436453000,123689000,10681218000,368302000,1081161000,-34365000,1415098000,1415098000,12096316000,10979000,280997000,-257129000,68436000,13635000,-8915000,-96572000,-89933000,-15628000,298803000,-347141000,0,-63966000,-85463000,-85463000,-85463000,55704000,1044304000,-176654000,0.29992,0.22525,0.02374,0.00278,-5.25928,7.54804,0.08633,0.49817,0.49712,2.21167,20.98773,-2.62001,0.23178,0.00407,-0.0146,0.46527,14.48383,18.03928
"20","2015_Q1",18.1240983606557,"Down",140946000,98915000,103991000,-5076000,42031000,35517000,6514000,214000,141160000,-104432000,-14401000,-90031000,36728000,36728000,36728000,-8655000,28073000,28073000,28073000,28073000,315973000,3545252000,6986819000,6986819000,206841000,33234000,365500000,795129000,12250633000,9698358000,2748635000,6949723000,443543000,538122000,150670000,10830693000,370304000,1092120000,-42484000,1419940000,1419940000,12250633000,10874000,362263000,-225963000,51685000,6564000,-3752000.00000001,-80831000,-78336000,-15622000,-64030000,185133000,-354000,105127000,78476000,78476000,78476000,47602000,981665000,-163142000,0.26058,0.19918,0.01977,0.00229,-5.81135,7.62757,0.08013,0.41564,0.41489,2.08682,21.02338,-2.41545,0.2313,0.00357,-0.01332,0.55648,13.98454,18.12492
"21","2015_Q2",19.2353968253968,"Up",139755000,97392000,102431000,-5039000,42363000,34453000,7910000,-2132000,137623000,-99216000,-14121000,-85095000,38407000,38407000,38407000,-9259000,29148000,29148000,29148000,29148000,335244000,3566013000,6900482000,6900482000,202833000,31250000,365500000,777842000,12179164000,9906990000,2936875000,6970115000,523187000,163592000,139311000,10733080000,372659000,1103077000,-29652000,1446084000,1446084000,12179164000,11130000,268924000,-282902000,-2848000,9142000,-2957000,94464000,100611000,-15639000,-270437000,208632000,-1048000,-78492000,19271000,19271000,19271000,49537000,686779000,-214964000,0.27482,0.20856,0.02016,0.00239,-7.37491,7.42217,0.05639,0.43156,0.43078,2.06919,21.41046,-3.18272,0.23155,0.00368,-0.01765,0.53654,7.09641,9.15289
"22","2015_Q3",18.85453125,"Down",142492000,96949000,101946000,-4997000,45543000,36495000,9048000,-1858000,140634000,-100266000,-15005000,-85261000,40368000,40368000,40368000,-9766000,30602000,30602000,30602000,30602000,255050000,3636544000,6900843000,6900843000,199975000,32042000,365500000,792494000,12182448000,9792174000,2819171000,6973003000,477462000,314757000,147646000,10732039000,373609000,1117993000,-41193000,1450409000,1450409000,12182448000,11754000,384459000,-337692000,58521000,10144000,-93774000,-23578000,-111121000,-15655000,102888000,-114816000,-11000,-27594000,-80194000,-80194000,-80194000,52122000,792219000,-265660000,0.2833,0.21476,0.0211,0.00251,-8.68113,7.39932,0.06503,0.45309,0.45227,2.10971,21.4745,-3.93331,0.23179,0.0038,-0.02181,0.51157,10.30599,13.3068
"23","2015_Q4",19.45109375,"Up",143579000,97606000,102769000,-5163000,45973000,37060000,8913000,-3770000,139809000,-103560000,-14691000,-88869000,36249000,36249000,36249000,-7819000,28430000,28430000,28430000,28430000,220052000,3561262000,7198631000,7198631000,199423000,30129000,365500000,815279000,12390276000,9412404000,2787454000,6624950000,534204000,822835000,144077000,10913520000,374570000,1130766000,-28580000,1476756000,1476756000,12390276000,11522000,384660000,-358606000,37576000,7485000,92773000,-332145000,-234172000,-15658000,557021000,-379770000,5000,161598000,-34998000,-34998000,-34998000,47771000,1357039000,-295531000,0.25247,0.19801,0.01925,0.00229,-10.39504,7.3902,0.10952,0.42093,0.42017,2.12581,21.86459,-4.37558,0.23183,0.00356,-0.02385,0.55076,23.80078,31.36602
"24","2016_Q1",17.884262295082,"Down",139088000,99818000,105079000,-5261000,39270000,35449000,3821000,-4040000,135048000,-98620000,-13717000,-84903000,36428000,36428000,36428000,-8570000,27858000,27858000,27858000,27858000,277751000,3533240000,7469804000,7469804000,197307000,27546000,366156000,806842000,12678896000,9588230000,2998694000,6589536000,441042000,1025597000,150970000,11205839000,375543000,1142908000,-45394000,1473057000,1473057000,12678896000,10443000,346121000,-277274000,79290000,12431000,-2168000,-267943000,-282595000,-15653000,100640000,175826000,191000,261004000,57699000,57699000,57699000,46871000,1466639000,-209402000,0.26191,0.20029,0.01891,0.0022,-7.51676,7.6072,0.11568,0.41246,0.41172,2.05931,21.80982,-3.10037,0.23176,0.00343,-0.01652,0.56189,25.36511,32.63665
"25","2016_Q2",19.7175,"Up",138016000,94740000,100598000,-5858000,43276000,33999000,9587000,-3552000,134464000,-98944000,-14475000,-84469000,35520000,35520000,35520000,-8517000,27003000,27003000,27003000,27003000,228498000,3536323000,7619242000,7619242000,194949000,25751000,366156000,804277000,12775196000,9633643000,2874306000,6759337000,466436000,1024342000,142519000,11266940000,378072000,1151757000,-21573000,1508256000,1508256000,12775196000,10808000,265180000,-273460000,2528000,7514000,32898000,-145459000,-106054000,-15640000,25299000,45413000,-799000,54273000,-49253000,-49253000,-49253000,46328000,1490778000,-211101000,0.25736,0.19565,0.0179,0.00211,-7.81769,7.47018,0.11669,0.39933,0.39837,2.04105,22.30488,-3.12187,0.23129,0.00334,-0.01652,0.57919,27.24659,35.53716
"26","2016_Q3",22.1759375,"Up",140604000,96377000,102331000,-5954000,44227000,36134000,8093000,-3203000,137401000,-110179000,-14522000,-95657000,27222000,27222000,27222000,-5719000,21503000,21503000,21503000,21503000,322049000,3561510000,7731736000,7731736000,193120000,24058000,366156000,828522000,13030349000,9531524000,2921016000,6610508000,606336000,1223381000,145641000,11506882000,378606000,1157025000,-12164000,1523467000,1523467000,13030349000,11144000,376543000,-373125000,14562000,4607000,-15028000,-130106000,-142544000,-15661000,340213000,-102119000,-150000,221533000,93551000,93551000,93551000,38366000,1829717000,-324433000,0.19361,0.15293,0.01411,0.00165,-15.0878,7.55309,0.14042,0.318,0.31723,2.07933,22.52983,-4.79789,0.2316,0.00285,-0.0249,0.72832,39.29698,55.38417
"27","2016_Q4",26.192380952381,"Up",142280000,97564000,103786000,-6222000,44716000,36078000,8638000,-4975000,137305000,-97908000,-14947000,-82961000,39397000,39397000,39397000,-8415000,30982000,30982000,30982000,30982000,383945000,3554181000,7783561000,7783561000,190930000,22366000,366156000,859899000,13161538000,9685701000,3111603000,6574098000,514918000,1275716000,150442000,11626777000,379643000,1172193000,-17075000,1534761000,1534761000,13161538000,12064000,475359000,-462724000,24699000,18763000,-5212000,-68392000,-58484000,-15682000,-42771000,154177000,-43000,95681000,61896000,61896000,61896000,51461000,1790634000,-384085000,0.2769,0.21775,0.02019,0.00235,-12.39704,7.57563,0.13605,0.45818,0.45707,2.10411,22.69685,-5.68005,0.23191,0.00355,-0.02918,0.50616,27.33505,35.70549
"28","2017_Q1",27.8022580645161,"Up",140576000,98852000,105365000,-6513000,41724000,34204000,7520000,-2984000,137592000,-100267000,-14751000,-85516000,37325000,37325000,37325000,-8402000,28923000,28923000,28923000,28923000,327706000,3515325000,8112063000,8112063000,184987000,20680000,366156000,824916000,13352333000,10056012000,2973238000,7082774000,539817000,1082683000,153613000,11832125000,380654000,1185352000,-45798000,1520208000,1520208000,13352333000,12261000,403791000,-309504000,106548000,8516000,-10235000,-333589000,-342582000,-15683000,-174808000,370311000,-25000,179795000,-56239000,-56239000,-56239000,49586000,1622500000,-2.43e+08,0.26551,0.20575,0.01903,0.00217,-8.40162,7.78323,0.12151,0.42773,0.42669,2.07891,22.48163,-3.59361,0.23193,0.00334,-0.0182,0.54223,26.11209,34.68973
"29","2017_Q2",27.0742857142857,"Down",143623000,97590000,104906000,-7316000,46033000,33957000,12076000,-1157000,142466000,-102057000,-15332000,-86725000,40409000,40409000,40409000,-9161000,31248000,31248000,31248000,31248000,379590000,3521621000,8212893000,8212893000,183311000,19117000,366156000,807173000,13490361000,10104472000,3209727000,6894745000,524335000,1177540000,146053000,11952400000,380063000,1200903000,-43005000,1537961000,1537961000,13490361000,11643000,295142000,-266900000,39885000,5587000,-5390000,-102573000,-103602000,-15697000,84381000,48460000,-1543000,115601000,51884000,51884000,51884000,52052000,1701875000,-200100000,0.28135,0.21757,0.02032,0.00232,-6.40361,7.77159,0.12615,0.46211,0.46099,2.12397,22.74417,-2.95918,0.23214,0.00348,-0.01483,0.50234,25.40315,32.72254
"30","2017_Q3",26.452380952381,"Down",152194000,102004000,111776000,-9772000,50190000,35544000,14645000,-357000,151837000,-122075000,-15009000,-107066000,29762000,29762000,29762000,-5727000,24035000,24035000,24035000,24035000,318329000,3587442000,8603532000,8603532000,182315000,19422000,379627000,811571000,13909138000,10423391000,3092915000,7330476000,508068000,1285426000,130335000,12347220000,381189000,1209238000,-28509000,1561918000,1561918000,13909138000,12461000,319967000,-310328000,22100000,9915000,-9075000,-271567000,-293962000,-15700000,73636000,152761000,-96000.0000000005,210601000,-61261000,-61261000,-61261000,42223000,1793494000,-252463000,0.19555,0.15792,0.01539,0.00173,-10.50397,7.90517,0.12894,0.35544,0.35458,2.25072,23.09846,-3.73356,0.23218,0.00286,-0.01815,0.65321,34.93747,49.56539
"31","2017_Q4",28.3187301587302,"Up",148392000,103912000,116114000,-12202000,44480000,36301000,8165000,-2019000,146373000,-103086000,-15133000,-87953000,43287000,43287000,43287000,-8708000,34579000,34579000,34579000,34579000,350123000,3471372000,8685330000,8685330000,181312000,17883000,379627000,795793000,13884655000,10231742000,2998013000,7233729000,545603000,1384977000,139798000,12302120000,382245000,1228115000,-27825000,1582535000,1582535000,13884655000,12761000,351205000,-290310000,73656000,1628000,113958000,-78967000,36969000,-15702000,128540000,-191649000,-20000,-78831000,31794000,31794000,31794000,56048000,1930580000,-223926000,0.29171,0.23302,0.02185,0.00249,-6.47578,7.77368,0.13904,0.51056,0.50936,2.19103,23.36638,-3.3063,0.23184,0.00362,-0.01613,0.45409,28.19828,36.51112
"32","2018_Q1",27.7972131147541,"Down",148004000,104044000,116999000,-12955000,43960000,34995000,8965000,-4166000,143838000,-102951000,-15419000,-87532000,40887000,40887000,40887000,-25119000,15768000,15768000,15768000,15768000,335768000,3295121000,8827405000,8827405000,179339000,16360000,379627000,763718000,13797953000,10577512000,2978074000,7599438000,469827000,1033851000,145062000,12226252000,383239000,1228187000,-39725000,1571701000,1571701000,13797953000,12570000,351240000,-292844000,70966000,4877000,154211000,-148994000,11733000,-15696000,-427063000,345770000,-65000,-97054000,-14355000,-14355000,-14355000,53457000,1503678000,-209391000,0.27626,0.10654,0.01003,0.00114,-13.27949,7.77899,0.10898,0.23282,0.23227,2.1853,23.20642,-3.09169,0.23175,0.00228,-0.01518,0.99543,21.84765,28.56434
