"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",24.2291935483871,"Up",696145000,-482634000,213511000,-106034000,-43158000,-62876000,107477000,-31335000,-31586000,-32262000,676000,-249000,5e+05,76142000,-87611000,-11469000,-747000,-12216000,-12216000,-12216000,-12216000,42504000,42504000,105588000,105588000,153263000,89343000,52144000,301355000,3789971000,461103000,109553000,30352000,163194000,4286066000,4587421000,248383000,45745000,202638000,547738000,354186000,347676000,1150307000,2027573000,388074000,112170000,275904000,2415647000,3565954000,1992612000,-46800000,-925209000,1021467000,1021467000,4587421000,-12216000,67419000,13497000,10731000,79431000,-59415000,-59415000,-59415000,-1349000,-7128000,-68945000,-12713000,6055000,-6658000,3828000,3828000,3828000,174896000,2575311000,126959000,0.3067,0.15439,-0.01755,-0.01196,-0.00266,-10.39285,0.26198,3.49101,0.56139,-0.09973,-0.09973,5.68314,8.33898,1.03646,-0.00307,0.03186,14.48179,23.56604
"12","2013_Q1",27.5148333333333,"Up",699412000,-487953000,211459000,-107127000,-44627000,-62500000,104332000,-32879000,-29803000,-31595000,1792000,-3277000,201000,71453000,-97185000,-25732000,1040000,-24692000,-24692000,-24692000,-24692000,69240000,69240000,100401000,100401000,139397000,82924000,43096000,309038000,3879977000,517753000,109553000,31386000,216872000,4397730000,4706768000,244079000,43184000,200895000,509543000,377276000,370755000,1130898000,2169826000,409058000,96187000,312871000,2578884000,3709782000,1999213000,-46800000,-955427000,996986000,996986000,4706768000,-24692000,66979000,25932000,14772000,82991000,-48113000,-57031000,-57031000,-166012000,-2824000,-181929000,123806000,1868000,125674000,26736000,26736000,26736000,171311000,2679369000,136930000,0.30234,0.14917,-0.0353,-0.02477,-0.00525,-5.54552,0.27327,3.721,0.56926,-0.20137,-0.20137,5.70399,8.13083,1.11672,-0.00604,0.03352,15.2362,25.01753
"13","2013_Q2",27.55,"Up",712266000,-482022000,230244000,-111270000,-46611000,-64659000,118974000,-29547000,-30668000,-30971000,303000,115000,1006000,89427000,-84721000,4706000,-1148000,3558000,3558000,3558000,3558000,28242000,28242000,109178000,109178000,145942000,89899000,42666000,283362000,3853423000,484123000,109553000,36287000,179479000,4337546000,4620908000,233386000,45920000,187466000,307845000,370114000,364148000,911345000,2331085000,370609000,96187000,274422000,2701694000,3613039000,2006538000,-46800000,-951869000,1007869000,1007869000,4620908000,3558000,69228000,8145000,-16446000,64485000,-51174000,-51614000,-51614000,-5845000,-1143000,-58162000,-43752000,-3569000,-47321000,-40998000,-40998000,-40998000,188202000,2638930000,121730000,0.32326,0.16704,0.005,0.00353,0.000770000000000001,34.21304,0.31093,3.58483,0.57108,0.02897,0.0286,5.79913,8.20587,0.9911,0.00089,0.0303,13.87173,21.94335
"14","2013_Q3",27.40171875,"Down",716468000,-484804000,231664000,-113289000,-46035000,-67254000,118375000,-29066000,-29591000,-29843000,252000,445000,80000,89309000,-93345000,-4036000,-1164000,-5200000,-5200000,-5199999.99999999,-5199999.99999999,30946000,30946000,107139000,107139000,144940000,88004000,43559000,283025000,3855653000,492164000,109553000,37606000,185056000,4347817000,4630842000,250715000,45361000,205354000,69727000,375762000,370142000,696204000,2556222000,368284000,96187000,272097000,2924506000,3620710000,2014001000,-46800000,-957069000,1010132000,1010132000,4630842000,-5200000,71602000,13234000,707000,80343000,-41563000,-48677000,-48677000,-6982000.00000001,1082000,-47463000,-27158000,-3018000,-30176000,2704000,2704000,2704000,189977000,2625949000,150285000,0.32334,0.16522,-0.00726000000000001,-0.00515,-0.00112,-28.90096,0.40653,3.58439,0.56706,-0.04214,-0.0421399999999999,5.80583,8.1855,1.21782,-0.0013,0.03753,13.65956,21.92188
"15","2013_Q4",27.71671875,"Up",728999000,-489811000,239188000,-114468000,-45824000,-68644000,124720000,-28460000,-29170000,-29642000,472000,431000,279000,96260000,-96267000,-7000,-960000,-967000,-967000,-967000,-967000,42690000,42690000,108720000,108720000,142468000,85860000,43231000,293878000,3845741000,504612000,109553000,46050000,189055000,4350353000,4644231000,263792000,46873000,216919000,72172000,381406000,376161000,717370000,2535109000,375215000,96187000,279028000,2910324000,3627694000,2021373000,-46800000,-958036000,1016537000,1016537000,4644231000,-967000,72744000,11006000,21464000,104247000,-61231000,-61231000,-61231000,-11739000,694000,-72276000,-17979000,-2248000,-20227000,11744000,11744000,11744000,197464000,2607281000,158657000,0.3281,0.17108,-0.00133,-0.000950000000000005,-0.00021,-164.07135,0.40966,3.56868,0.5614,-0.00779,-0.00779,5.87296,8.18943,1.27817,-0.000240000000000001,0.03967,12.98764,20.56279
"16","2014_Q1",30.2714754098361,"Up",734233000,-492037000,242196000,-110357000,-42157000,-68200000,131839000,-28704000,-30557000,-30869000,312000,493000,1360000,103135000,-105626000,-2491000,1516000,-975000,-975000,-975000.000000001,-975000.000000001,58511000,58511000,104262000,104262000,132089000,76255000,38191000,294862000,3895475000,547420000,109553000,44103000,235007000,4442895000,4737757000,275319000,65840000,209479000,201954000,393571000,388400000,870844000,2434624000,411352000,81299000,330053000,2845976000,3716820000,2026748000,-46800000,-959011000,1020937000,1020937000,4737757000,-975000,72237000,18311000,27473000,117046000,-69423000,-96005000,-96005000,-27292000,9810000,-86905000,-22310000,7990000,-14320000,15821000,15821000,15821000,204076000,2636578000,160610000,0.32986,0.17956,-0.00133,-0.00096,-0.00021,-164.72821,0.33859,3.6406,0.5565,-0.00784,-0.00794,5.90561,8.21164,1.29182,-0.00024,0.03947,12.63288,19.55466
"17","2014_Q2",32.5092063492064,"Up",747275000,-499739000,247536000,-114981000,-44665000,-70316000,132555000,-28576000,-29677000,-29998000,321000,636000,465000,103979000,-105272000,-1293000,-1006000,-2299000,-2299000,-2299000,-2299000,45701000,45701000,107568000,107568000,134113000,83115000,33953000,287382000,3886391000,545835000,109553000,44064000,234015000,4432226000,4719608000,241331000,53010000,188321000,65245000,403541000,398300000,710117000,2569162000,413660000,81299000,332361000,2982822000,3692939000,2034779000,-46800000,-961310000,1026669000,1026669000,4719608000,-2299000,74334000,9219000,-28558000,52696000,-59717000,-59717000,-59717000,-515000,6710000,-53522000,-6885000,-5099000,-11984000,-12810000,-12810000,-12810000,206889000,2634407000,119620000,0.33125,0.17738,-0.00308,-0.00224,-0.00049,-52.03132,0.4047,3.59701,0.55818,-0.01847,-0.01847,6.00327,8.24779,0.96097,-0.00056,0.02936,12.51254,19.5293
"18","2014_Q3",34.08140625,"Up",748393000,-505445000,242948000,-118096000,-47008000,-71088000,124852000,-24393000,-29372000,-29657000,285000,1523000,3456000,100459000,-102792000,-2333000,-962000.000000004,-3295000,-3295000,-3295000,-3295000,50934000,50934000,103365000,103365000,134394000,81065000,36279000,288693000,3911338000,550745000,109553000,41965000,242224000,4462083000,4750776000,250947000,52022000,198925000,64031000,402960000,398060000,717938000,2583460000,417755000,81299000,336456000,3001215000,3719153000,2043028000,-46800000,-964605000,1031623000,1031623000,4750776000,-3295000,75166000,17178000,2469000,91518000,-73712000,-73712000,-73712000,-3.72529029846191e-09,-905000,-74617000,-12774000,1106000,-11668000,5233000,5233000,5233000,200018000,2647491000,129737000,0.32463,0.16683,-0.0044,-0.00319,-0.00069,-39.3739,0.40211,3.60515,0.55728,-0.02635,-0.02635,5.98437,8.24916,1.03741,-8e-04,0.03167,12.98162,20.79708
"19","2014_Q4",33.90828125,"Down",1083935000,-728546000,355389000,-269019000,-90020000,-178999000,86370000,-79522000,-78976000,-79368000,392000,-1246000,7e+05,6848000,-159957000,-153109000,116073000,-37036000,-37036000,-36862000,-36862000,238324000,238324000,129491000,129491000,330872000,194267000,71978000,698687000,8573558000,1525469000,743220000,312192000,312957000,10099027000,10797714000,491143000,62344000,428799000,469501000,104475000,99529000,1065119000,5945528000,803854000,331132000,472722000,6749382000,7814501000,4030701000,-46800000,-1001467000,2982434000,2983213000,10797714000,-37036000,178810000,-99520000,-29620000,12634000,-79104000,-79104000,-79104000,-36406000,26865000,-88645000,-58212000,-8792000,263401000,187390000,187390000,187390000,265180000,6415029000,40383000,0.32787,0.07968,-0.03401,-0.01236,-0.00341,-1.09552,0.65597,2.61949,0.59411,-0.23128,-0.23128,6.80086,18.71249,0.25337,-0.00361,0.00396,23.2925,71.51447
"20","2015_Q1",36.6232786885246,"Up",1252103000,-800468000,451635000,-315206000,-98574000,-216632000,136429000,-97206000,-98632000,-98977000,345000,-742000,2168000,39223000,-213219000,-173996000,67200000,-106796000,-106796000,-106534000,-106534000,104083000,104083000,149730000,149730000,276777000,237915000,38862000,530590000,8389505000,1497366000,736805000,312925000,292863000,9886871000,10417461000,498968000,76314000,422654000,268399000,106529000,101613000,873896000,5977854000,683470000,159275000,524195000,6661324000,7535220000,4036525000,-46800000,-1108001000,2881724000,2882241000,10417461000,-106796000,216202000,-42212000,18610000,85804000,-87373000,-91712000,-91712000,-1590000,-9135000,-98098000,-109835000,-12093000,-121947000,-134241000,-134241000,-134241000,352631000,6246253000,216668000,0.3607,0.10896,-0.08508,-0.03696,-0.01023,-2.03379,0.60715,2.61436,0.59959,-0.57955,-0.57955,6.8115,15.67671,1.17868,-0.01086,0.02208,17.41812,45.021
"21","2015_Q2",36.8704761904762,"Up",1247881000,-791360000,456521000,-309957000,-89530000,-220427000,146564000,-91149000,-95124000,-95551000,427000,1484000,2491000,55415000,-264412000,-208997000,78288000,-130709000,-130709000,-130451000,-130451000,115182000,115182000,162853000,162853000,275489000,152913000,38377000,553524000,8434413000,1503028000,734989000,318232000,295130000,9937441000,10490965000,486926000,69131000,417795000,223987000,117338000,112830000,828251000,6249496000,652024000,165384000,486640000,6901520000,7729771000,4046187000,-46800000,-1238452000,2760935000,2761194000,10490965000,-130709000,220808000,-63617000,-16425000,10057000,-79129000,-79129000,-79129000,-178228000,26066000,-231291000,237810000,-5477000,232333000,11099000,11099000,11099000,367372000,6473483000,193530000,0.36584,0.11745,-0.10454,-0.04724,-0.01243,-1.48355,0.6683,2.79943,0.61705,-0.71022,-0.71022,6.79385,15.03139,1.05364,-0.01319,0.01957,17.30753,43.38242
"22","2015_Q3",29.53140625,"Down",1238184000,-786329000,451855000,-315190000,-89545000,-225645000,136665000,-94363000,-96345000,-96727000,382000,-672000,2654000,42302000,-179702000,-137400000,52593000,-84807000,-84807000,-84547000,-84547000,78496000,78496000,161914000,161914000,257274000,131029000,42046000,497684000,8341286000,1514310000,734989000,352472000,290704000,9855596000,10353280000,471018000,82019000,388999000,198590000,113497000,109134000,783105000,6277694000,608472000,112159000,496313000,6886166000,7669271000,4053809000,-46800000,-1322999000,2684010000,2684009000,10353280000,-84807000,225483000,-39362000,-546999.999999993,100767000,-94226000,-99219000,-99219000,-53082000,2101999.99999999,-145206000,13346000.0000001,-5593000,7753000,-36686000,-36686000,-36686000,362148000,6476284000,214782000,0.36493,0.11038,-0.06828,-0.0315,-0.00817,-2.54039,0.63553,2.85739,0.62553,-0.45883,-0.45883,6.71955,14.56595,1.16561,-0.00865,0.02199,17.66622,46.81365
"23","2015_Q4",21.5375,"Down",1238841000,-790864000,447977000,-260249000,-99534000,-160715000,187728000,-95279000,-96790000,-97189000,399000,-1578000,3089000,92449000,-191581000,-99132000,30796000,-68336000,-68336000,-68220000,-68220000,70391000,70391000,152557000,152557000,255173000,122954000,48020000,478121000,8277675000,1519164000,745996000,345011000,295078000,9796839000,10274960000,479861000,89096000,390765000,150380000,85889000,81791000,716130000,6334725000,597578000,84496000,513082000,6932303000,7648433000,4064663000,-46800000,-1391219000,2626644000,2626527000,10274960000,-68336000,161331000,-7958000,6324000,91361000,-120351000,-123430000,-123430000,-2850000,1396000,-121805000,55586000,-33247000,22339000,-8105000,-8105000,-8105000,349059000,6485105000,204236000,0.36161,0.15154,-0.05507,-0.02597,-0.00664,-2.99378,0.66765,2.91199,0.63116,-0.36962,-0.36962,6.71204,14.23115,1.10655,-0.00703,0.02104,18.37716,34.17026
"24","2016_Q1",15.2573770491803,"Down",1235702000,-787883000,447819000,-218348000,-91970000,-126378000,229471000,-94469000,-94754000,-95149000,395000,-38000,323000,135002000,-239837000,-104835000,-69468000,-174303000,-174303000,-174259000,-174259000,88029000,88029000,144053000,144053000,265861000,122671000,32570000,497943000,8031376000,1519245000,725696000,371639000,292724000,9550621000,10048564000,500880000,128006000,372874000,235604000,103664000,99277000,840148000,6196809000,552880000,69051000,483829000,6749689000,7589837000,4071166000,-46800000,-1565478000,2458888000,2458727000,10048564000,-174303000,128894000,136254000,-663999.999999999,90181000,-68119000,-109273000,-109273000,-26353000,23797000,-70675000,3146000,-5014000,-1868000,17638000,17638000,17638000,358365000,6432413000,359050000,0.3624,0.1857,-0.14102,-0.07087,-0.01734,-2.06044,0.59268,3.0869,0.64013,-0.94287,-0.94287,6.68605,13.30438,1.94272,-0.01845,0.03802,17.70369,27.64787
"25","2016_Q2",17.445,"Up",1263156000,-812591000,450565000,-219758000,-92621000,-127137000,230807000,-87811000,-93867000,-94569000,702000,1018000,5038000,142996000,-190148000,-47152000,-1665000,-48817000,-48817000,-48775000,-48775000,70862000,70862000,146791000,146791000,249846000,155295000,28645000,467499000,8004357000,1516816000,725696000,373238000,298847000,9521173000,9988672000,463432000,92089000,371343000,275661000,116822000,112661000,855915000,6156259000,557065000,69984000,487081000,6713324000,7569239000,4080689000,-46800000,-1614253000,2419636000,2419433000,9988672000,-48817000,129447000,17853000,-28140000,70343000,-62926000,-108510000,-108510000,-14522000,3e+06,-74448000,-6646000,-6416000,-13062000,-17167000,-17167000,-17167000,360254000,6431920000,270853000,0.3567,0.18272,-0.03861,-0.02016,-0.00488,-5.55311,0.5462,3.12852,0.64392,-0.26343,-0.26343,6.82223,13.06831,1.46286,-0.00518,0.02879,17.65715,27.56007
"26","2016_Q3",17.24359375,"Down",1258830000,-785785000,473045000,-224089000,-90695000,-133394000,248956000,-90979000,-93584000,-94312000,728000,338000,2267000,157977000,-193345000,-35368000,-123000,-35491000,-35491000,-35450000,-35450000,39053000,39053000,138614000,138614000,523919000,137011000,32343000,701586000,7691478000,1479268000,697128000,372961000,294045000,9170746000,9872332000,462597000,78153000,384444000,332551000,102950000,98525000,898098000,6055151000,525632000,69382000,456250000,6580783000,7478881000,4090198000,-46800000,-1649703000,2393695000,2393451000,9872332000,-35491000,135682000,17725000,-10420000,107496000,-81550000,-81550000,-81550000,-1368000,629999.999999996,-82288000,-53153000,-3864000,-57017000,-31809000,-31809000,-31809000,384638000,6387702000,292791000,0.37578,0.19777,-0.02816,-0.01481,-0.00359,-8.25927,0.78119,3.12473,0.64703,-0.19077,-0.19077,6.77428,12.88145,1.57563,-0.00381,0.03146,16.50552,25.50109
