"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",34.65515625,"Up",188625000,-46294000,142331000,-131399000,-12709000,-11469000,-107221000,10932000,371000,47000,324000,11303000,-1e+05,11203000,-2930000,8273000,8273000,8273000,8273000,40446000,23886000,11045000,6492000,23156000,7544000,81139000,467791000,19418000,4673000,14745000,494943000,576082000,77691000,21287000,56404000,77691000,116798000,73992000,116798000,194489000,221238000,160355000,381593000,381593000,576082000,8273000,11469000,3335000,14048000,37125000,-30246000,-28580000,151000,151000,116000,267000,8812000,8812000,8812000,22401000,0,9133000,0.75457,0.05796,0.04386,0.02168,0.01436,1.10395,1.04438,0.50968,0,0.294,0.28688,6.70333,13.561,0.32457,0.0166,0.01832,-1.80554,-3.69978
"12","2013_Q3",32.87328125,"Down",198487000,-48447000,150040000,-137794000,-12616000,-11940000,-113238000,12246000,174000,38000,136000,12420000,-469000,11951000,-3354000,8597000,8597000,8597000,8597000,34642000,15829000,10367000,6895000,24111000,7253000,76015000,483222000,20046000,4673000,15373000,512129000,588144000,73664000,20377000,53287000,73664000,122375000,77188000,122375000,196039000,223153000,168952000,392105000,392105000,588144000,8597000,11940000,2820000,-2393000,20964000,-26205000,-29667000,439000,439000,207000,646000,-8057000,-8057000,-8057000,24186000,0,-1058000,0.75592,0.0617,0.04331,0.02193,0.01462,-0.12307,1.03192,0.49997,-6.7762635780344e-21,0.30504,0.29715,7.04279,13.91282,-0.0375400000000001,0.01671,-0.00205999999999999,-1.43232,-2.82884
"13","2013_Q4",27.968125,"Down",188245000,-46651000,141594000,-138029000,-11366000,-12465000,-114198000,3565000,309000,31000,278000,3874000,-79000,3795000,-147000,3648000,3648000,3648000,3648000,30451000,15296000,9906000,6917000,24676000,7576000,71950000,503543000,20819000,4673000,16146000,531630000,603580000,83754000,21014000,62740000,83754000,122729000,80389000,122729000,206483000,224497000,172600000,397097000,397097000,603580000,3648000,12465000,-2062000,12563000,26614000,-32699000,-27448000,139000,139000,162000,301000,-533000,-533000,-533000,16030000,0,-3959000,0.75218,0.01894,0.01938,0.00919,0.00604,-1.08525,0.85906,0.51998,0,0.12936,0.12616,6.67535,14.08145,-0.14039,0.00702,-0.00762,-1.89963,-8.54165
"14","2014_Q1",29.2955737704918,"Up",199768000,-50499000,149269000,-147461000,-12414000,-13133000,-121914000,1808000,298000,17000,281000,2106000,-4043000,-1937000,2441000,504000,504000,504000,504000,30983000,22995000,12776000,7433000,19644000,9028000,70836000,516502000,21738000,4673000,17065000,540043000,610879000,92139000,31485000,60654000,92139000,117304000,86725000,117304000,209443000,228332000,173104000,401436000,401436000,610879000,504000,13133000,756000,-3552000,10841000,-20087000,-4160000,822000,822000,196000,1018000,7699000,7699000,7699000,14941000,5.82076609134674e-11,-11139000,0.74721,0.00905,0.00252,0.00126,0.000830000000000001,-22.10119,0.76879,0.52173,0,0.01784,0.01744,7.07043,14.20811,-0.39425,0.00097,-0.02147,-2.07369,-17.13662
"15","2014_Q2",30.9531746031746,"Up",205822000,-51187000,154635000,-146876000,-12826000,-13452000,-120598000,7759000,393000,7000,386000,8152000,-1972000,6180000,-1522000,4658000,4658000,4658000,4658000,44122000,34869000,11069000,7135000,19827000,8132000,82153000,520875000,22064000,4673000,17391000,543939000,626092000,97617000,28839000,68778000,97617000,118475000,85221000,118475000,216092000,232238000,177762000,4.1e+08,4.1e+08,626092000,4658000,13452000,3260000,8011000,29381000,-19716000,-20178000,1818000,1818000,853000,2671000,11874000,11874000,11874000,21211000,0,11028000,0.7513,0.0377,0.02263,0.01136,0.00744,2.36754,0.84158,0.52705,0,0.16419,0.16074,7.25517,14.4524,0.38873,0.00881,0.02087,-2.08015,-5.68656
"16","2014_Q3",34.37921875,"Up",219380000,-55097000,164283000,-152294000,-13551000,-13822000,-124921000,11989000,274000,9000,265000,12263000,-1300000,10963000,-2959000,8004000,8004000,8004000,8004000,30329000,25893000,11688000,7577000,18924000,7229000,68518000,529074000,23153000,4673000,18480000,554002000,622520000,92356000,26390000,65966000,92356000,120261000,85825000,120261000,212617000,224137000,185766000,409903000,409903000,622520000,8004000,13822000,3021000,-4844000,20003000,-23447000,-19405000,-9603000,193000,28999.9999999998,-9574000,-8976000,-8976000,-8976000,25811000,0,478999.999999996,0.74885,0.05465,0.03648,0.01953,0.01286,0.0598500000000026,0.74189,0.5187,1.73472347597681e-18,0.28174,0.27564,7.7222,14.42863,0.01686,0.0151,0.000899999999999995,-1.17504,-2.52974
"17","2014_Q4",42.6390625,"Up",206450000,-51842000,154608000,-146291000,-12832000,-13981000,-119478000,8317000,137000,-42000,179000,8454000,-283000,8171000,-1689000,6482000,6482000,6482000,6482000,24399000,24399000,12682000,7649000,17696000,6001000,62426000,533723000,24070000,4673000,19397000,557793000,620219000,100206000,28533000,71673000,100206000,123906000,89300000,155906000,256112000,171859000,192248000,364107000,364107000,620219000,6482000,13981000,1576000,3013000,25052000,-11297000,-5086000,-55726000,5907000,2266000,-21460000,-1494000,-1494000,-1494000,22298000,3.2e+07,15703000,0.74889,0.04029,0.0314,0.0178,0.01045,2.42255,0.62298,0.7034,0.05159,0.23364,0.2288,7.44125,13.12381,0.566,0.01247,0.0302,0.34088,0.91391
"18","2015_Q1",47.8598360655738,"Up",213917000,-54853000,159064000,-147309000,-12349000,-14132000,-120828000,11755000,93000,-212000,305000,11848000,-839000,11009000,-2756000,8253000,8253000,8253000,8253000,30683000,30683000,18796000,8010000,23829000,9234000,81318000,541349000,24416000,4673000,19743000,565765000,647083000,107025000,34395000,72630000,107025000,133369000,94395000,191369000,298394000,148188000,200501000,348689000,348689000,647083000,8253000,14132000,3377000,-158000.000000001,25604000,-20521000,-20521000,-25009000,3562000,210000,1201000,6284000,6284000,6284000,25887000,5.8e+07,7964000,0.74358,0.05495,0.03858,0.02367,0.01275,0.96498,0.7598,0.85576,0.08963,0.31359,0.3066,8.12816,13.24907,0.30261,0.01528,0.01475,1.05524,2.32386
"19","2015_Q2",46.9460317460317,"Down",225069000,-56171000,168898000,-155423000,-13493000,-14361000,-127569000,13475000,95000,-241000,336000,13570000,-383000,13187000,-3572000,9615000,9615000,9615000,9615000,25961000,25961000,17594000,7823000,22271000,7676000,73649000,543751000,26041000,4673000,21368000,569792000,643441000,108948000,32823000,76125000,108948000,136671000,97532000,175271000,284219000,149106000,210116000,359222000,359222000,643441000,9615000,14361000,1807000,5046000,30829000,-15750000,-15750000,-2623000,4151000,2222000,-19801000,-4722000,-4722000,-4722000,27836000,38600000,20704000,0.75043,0.05987,0.04272,0.02677,0.01494,2.1533,0.676,0.79121,0.05999,0.36545,0.35722,8.5545,13.65344,0.78693,0.01799,0.03874,0.45405,0.93796
"20","2015_Q3",45.63671875,"Down",232013000,-57059000,174954000,-156732000,-13585000,-14554000,-128593000,18222000,-123000,-268000,145000,18099000,-641000,17458000,-5020000,12438000,12438000,12438000,12438000,25456000,25456000,21066000,8021000,21647000,7052000,76190000,558262000,26378000,4673000,21705000,584640000,660830000,111031000,36510000,74521000,111031000,141199000,99986000,215899000,326930000,111346000,222554000,333900000,333900000,660830000,12438000,14554000,3984000,-5333000,25643000,-23153000,-23153000,-39372000,399000,277000,-2995000,-504999.999999998,-504999.999999998,-504999.999999998,32776000,74700000,9310000,0.75407,0.07854,0.05361,0.03725,0.01882,0.74851,0.6862,0.97913,0.11304,0.47894,0.46925,8.93389,12.85714,0.35849,0.02262,0.01693,1.50244,2.70245
"21","2015_Q4",42.5753125,"Down",229412000,-56198000,173214000,-158924000,-13620000,-15093000,-130211000,14290000,-458000,-201000,-257000,13832000,2221000,16053000,-3689000,12364000,12364000,12364000,12364000,26572000,26572000,24245000,8636000,18033000,3438000,77486000,560222000,26458000,4673000,21785000,586680000,664166000,119153000,34775000,84378000,119153000,143894000,101427000,211394000,330547000,98701000,234918000,333619000,333619000,664166000,12364000,15093000,445000,15258000,43160000,-20707000,-20707000,-15420000,3374000,1283000,-21337000,1116000,1116000,1116000,29383000,67500000,27623000,0.75503,0.06229,0.05389,0.03706,0.01862,2.23415,0.65031,0.99079,0.10163,0.4849,0.47598,8.99725,13.08412,1.08334,0.02269,0.05068,1.39291,2.8641
"22","2016_Q1",41.5327868852459,"Down",233103000,-57514000,175589000,-158516000,-13129000,-15409000,-129978000,17073000,-469000,-305000,-164000,16604000,-1195000,15409000,-4501000,10908000,10908000,10908000,10908000,34604000,34604000,25364000,8893000,24142000,7171000,93003000,561832000,26830000,4673000,22157000,588662000,681665000,116894000,33033000,83861000,116894000,147788000,101119000,248288000,365182000,70657000,245826000,316483000,316483000,681665000,10908000,15409000,4476000,-3201000.00000001,27592000,-22982000,-22982000,-29723000,487000,145000,3422000.00000001,8032000,8032000,8032000,32482000,100500000,10800000,0.75327,0.07324,0.04679,0.03447,0.016,0.9901,0.79562,1.15388,0.14743,0.43469,0.42733,9.28919,12.6119,0.43038,0.01931,0.01912,2.02869,3.85966
"23","2016_Q2",43.04640625,"Up",243401000,-60640000,182761000,-165250000,-14362000,-15598000,-135290000,17511000,10000,-387000,397000,17521000,-1118000,16403000,-4759000,11644000,11644000,11644000,11644000,26950000,26950000,13060000,9226000,22862000,5891000,72098000,572311000,27295000,4673000,22622000,599606000,671704000,120161000,34309000,85852000,120161000,150426000,101866000,245926000,366087000,63519000,242098000,305617000,305617000,671704000,11644000,15598000,4190000,15385000,46817000,-25333000,-25333000,-23987000,543000,-151000,-29138000,-7654000,-7654000,-7654000,33109000,95500000,27920000,0.75086,0.07194,0.04784,0.0381,0.01734,2.3978,0.60001,1.19786,0.14218,0.47961,0.47159,10.02558,12.58823,1.15001,0.02111,0.05062,2.07043,3.91468
"24","2016_Q3",39.13828125,"Down",250328000,-62569000,187759000,-167491000,-13767000,-16040000,-137684000,20268000,-331000,-369000,37999.9999999999,19937000,-707000,19230000,-5441000,13789000,13789000,13789000,13789000,22930000,22930000,13614000,9493000,22162000,5191000,68199000,583582000,28175000,4673000,23502000,611757000,679956000,114303000,31851000,82452000,114303000,152636000,101641000,243636000,357939000,64877000,257140000,322017000,322017000,679956000,13789000,16040000,4698000,-10400000,24127000,-24618000,-24618000,749000,749000,222000,-3529000,-4020000,-4020000,-4020000,36308000,9.1e+07,6731000,0.75005,0.08097,0.05508,0.04282,0.02028,0.48814,0.59665,1.11155,0.13383,0.57107,0.56112,10.36727,13.33625,0.27876,0.02438,0.0119,1.87479,3.3585
"25","2016_Q4",36.2504761904762,"Down",233702000,-59882000,173820000,-163939000,-12921000,-16292000,-134726000,9881000,34000,-344000,378000,9915000,-810000,9105000,-1868000,7237000,7237000,7237000,7237000,25948000,25948000,11961000,9513000,19537000,2566000,66959000,598370000,29334000,4673000,24661000,627704000,694663000,122504000,33748000,88756000,122504000,154305000,103519000,263605000,386109000,65742000,242812000,308554000,308554000,694663000,7237000,16292000,2075000,12083000,37687000,-30731000,-30731000,-22248000,598000,10000,-3938000,3018000,3018000,3018000,26173000,109300000,9393000,0.74377,0.04228,0.03097,0.02345,0.01042,1.29791,0.54659,1.25135,0.15734,0.3004,0.29556,9.7008,12.80785,0.3899,0.01265,0.01642,3.18466,8.43558
"26","2017_Q1",35.9645161290323,"Down",265621000,-68369000,197252000,-179931000,-14356000,-16345000,-149230000,17321000,-263000,-630000,367000,17058000,-705000,16353000,-3466000,12887000,12887000,12887000,12887000,22761000,22761000,14698000,9907000,11324000,11324000,58690000,601324000,31298000,4673000,26625000,632622000,691312000,125698000,31145000,94553000,125698000,142717000,105130000,290717000,416415000,66200000,208697000,274897000,274897000,691312000,12887000,16345000,4608000,-4112000,29728000,-24170000,-24170000,-47374000,236000,-70999.9999999999,-8745000,-3187000,-3187000,-3187000,33666000,1.48e+08,8850000,0.74261,0.06521,0.04852,0.04688,0.01864,0.68674,0.46691,1.5148,0.21409,0.56569,0.55593,11.65976,12.06694,0.38848,0.02278,0.01565,3.72004,7.23047
"27","2017_Q2",41.2677777777778,"Up",257816000,-65395000,192421000,-178785000,-14296000,-16749000,-147740000,13636000,-103000,-888000,785000,13533000,-687000,12846000,-3580000,9266000,9266000,9266000,9266000,23562000,23562000,12668000,10192000,10624000,10624000,57046000,609836000,32193000,4673000,27520000,642029000,699075000,114757000,32341000,82416000,114757000,144824000,105623000,327524000,442281000,66084000,190710000,256794000,256794000,699075000,9266000,16749000,3937000,-8526000,21426000,-26254000,-26254000,-28836000,159000,-235000,5629000,801000,801000,801000,30385000,182700000,-815000,0.74635,0.05289,0.03594,0.03608,0.01325,-0.08796,0.4971,1.72232,0.26135,0.42249,0.41527,11.75524,11.70864,-0.03716,0.01586,-0.00139,5.23739,11.67043
"28","2017_Q3",31.5031746031746,"Down",265817000,-69517000,196300000,-181500000,-14205000,-17052000,-150243000,14800000,-847000,-1113000,266000,13953000,-2411000,11542000,-1903000,9639000,9639000,9639000,9639000,22675000,22675000,24534000,10341000,8799000,8799000,66349000,607434000,33192000,4673000,28519000,640626000,706975000,120775000,26537000,94238000,120775000,147261000,108100000,319761000,440536000,67210000,199229000,266439000,266439000,706975000,9639000,17052000,4265000,-761999.999999999,30194000,-18916000,-18916000,-1963000,903000,-2000,-12165000,-887000,-887000,-887000,31852000,172500000,14077000,0.73848,0.05568,0.03626,0.03618,0.01363,1.46042,0.54936,1.65342,0.244,0.44681,0.43667,12.32174,12.35058,0.65253,0.01644,0.02401,4.70379,10.12331
"29","2017_Q4",32.4960317460317,"Up",247009000,-65553000,181456000,-177465000,-13035000,-17430000,-1.47e+08,3991000,-754000,-1177000,423000,3237000,-2398000,839000,1550000,2389000,2389000,2389000,2389000,28694000,28694000,12537000,10226000,8368000,8368000,59825000,599450000,33791000,4673000,29118000,633241000,693066000,107618000,23984000,83634000,107618000,146270000,109197000,340270000,447888000,68228000,176950000,245178000,245178000,693066000,2389000,17430000,917000,-3302000,17434000,-7449000,-7449000,-25455000,-33000,-11000,-3966000,6019000,6019000,6019000,21421000,1.94e+08,9120000,0.73461,0.01616,0.00967,0.00974,0.00345,3.8175,0.5559,1.82679,0.27992,0.11188,0.11024,11.56734,11.4816,0.42709,0.00408,0.01558,7.71701,41.41969
"30","2018_Q1",39.3198360655738,"Up",261140000,-68242000,192898000,-181318000,-13911000,-17434000,-149973000,11580000,-810000,-1323000,513000,10770000,-607000,10163000,13323000,23486000,23486000,23486000,23486000,24335000,24335000,13865000,10514000,11615000,11615000,60329000,589844000,33377000,4673000,28704000,623221000,683550000,122541000,25275000,97266000,122541000,138780000,118494000,302280000,424821000,68904000,189825000,258729000,258729000,683550000,23486000,17434000,-13690000,10752000,37982000,-212000.000000001,-211999.999999998,-9286000,353000,-74000,-42129000,-4359000,-4359000,-4359000,29014000,163500000,26231000,0.73868,0.04434,0.08994,0.09077,0.03436,1.11688,0.49232,1.64195,0.23919,1.13805,1.11673,12.65397,12.53714,1.27107,0.04591,0.04676,4.79648,12.0177
"31","2018_Q2",52.56421875,"Up",278523000,-69971000,208552000,-191118000,-15131000,-17454000,-158533000,17434000,-1487000,-1387000,-1e+05,15947000,-1061000,14886000,-222000,14664000,14664000,14664000,14664000,28705000,28705000,13649000,10160000,11677000,11677000,64191000,587758000,35048000,4673000,30375000,622806000,686997000,120494000,24180000,96314000,120494000,139216000,120012000,297716000,418210000,67088000,201699000,268787000,268787000,686997000,14664000,17454000,854000,-7218000,25754000,-14064000,-14064000,334000,5900000,-365000,-7320000,4370000,4370000,4370000,34888000,158500000,13828000,0.74878,0.06259,0.05265,0.05456,0.02135,0.94299,0.53273,1.55592,0.23071,0.71233,0.6962,13.52973,13.05679,0.67172,0.02993,0.02441,3.72033,7.44494
"32","2018_Q3",65.8677777777778,"Up",287634000,-72026000,215608000,-195365000,-15851000,-17620000,-161894000,20243000,-1300000,-1381000,81000,18943000,-1123000,17820000,-875000,16945000,16945000,16945000,16945000,19363000,19363000,16888000,10147000,9736000,9736000,56134000,582108000,35294000,4673000,30621000,617402000,673536000,128481000,18287000,110194000,128481000,140007000,121466000,250007000,378488000,65621000,229427000,295048000,295048000,673536000,16945000,17620000,2258000,9516000,46339000,-14688000,-14688000,9818000,10943000,-1.16415321826935e-10,-40993000,-9342000,-9342000,-9342000,37863000,1.1e+08,33566000,0.74959,0.07038,0.05891,0.05743,0.02516,1.98088,0.43691,1.2828,0.16332,0.81154,0.78898,13.77557,14.13065,1.60757,0.03533,0.06158,2.39381,4.47745
