"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",173.8265625,"Down",548000,-8858000,-2310000,-6548000,-8310000,-348000,-348000,-8658000,-2328000,-10986000,-10986000,-10986000,-10986000,-10986000,75968000,60795000,1031000,1031000,76999000,3412000,250000,250000,3662000,80661000,4294000,1248000,3046000,12428000,2385000,12643000,12643000,15028000,27456000,216423000,-163222000,53205000,53205000,80661000,-10986000,151000,3644000,352000,-6839000,-1213000,-295000,-1508000,49192000,49192000,47223000,38876000,38876000,38876000,-8159000,10519000,-15.16423,-20.04745,-0.20648,-0.1362,6.19561,0.516040000000002,0.13041,-5.29327,-5.29327,0.26404,25.63523,-0.14386,8.02169,7.87593
"12","2014_Q1",236.967213114754,"Up",27607000,-7624000,-3306000,-4318000,19983000,-313000,-313000,19670000,-1901000,17769000,17769000,17769000,17769000,17769000,103663000,88401000,897000,897000,104560000,5179000,292000,292000,5471000,110031000,6245000,2341000,3904000,6868000,14364000,15640000,13633000,30004000,36872000,218611000,-145453000,73159000,73159000,110031000,17769000,154000,2856000,4669000,25448000,-1921000,-161000,-2082000,275000,275000,4240000,27606000,27606000,27606000,20137000,14364000,0.723839999999999,0.643640000000001,0.24288,0.16149,15.22423,0.504,0.13055,8.24919,8.24919,12.81644,33.96378,0.17224,-4.43457,-4.46875
"13","2014_Q2",200.563492063492,"Down",95000,-8636000,-3925000,-4711000,-8541000,-472000,-472000,-9013000,-618000,-9631000,-9631000,-9631000,-9631000,-9631000,92876000,77587000,1091000,1091000,93967000,6160000,290000,290000,6450000,100417000,4080000,2185000,1895000,4608000,14492000,16254000,14247000,30746000,35354000,220146000,-155084000,65063000,65063000,100417000,-9631000,162000,1824000,-2487000,-10132000,-1143000,-99000,-1242000,560000,560000,560000,-10814000,-10814000,-10814000,-8379000,14492000,-89.90526,-101.37895,-0.14803,-0.0959099999999999,20.39214,0.54338,0.14432,-4.45979,-4.45979,0.04399,30.12845,-0.10052,9.35482,9.17738
"14","2014_Q3",157.2578125,"Down",70999.9999999963,-12331000,-5047000,-7284000,-12260000,-530000,-530000,-12790000,2215000,-10575000,-10575000,-10575000,-10575000,-10575000,92349000,77728000,868000,868000,93217000,6820000,337000,337000,7157000,100374000,5756000,2798000,2958000,8740000,22429000,13656000,11969000,36085000,44825000,221209000,-165659000,55549000,55549000,100374000,-10575000,156000,-1255000,1863000,-9811000,-816000,599000,-217000,168999.999999998,168999.999999998,10169000,141000.000000004,141000.000000004,141000.000000004,-12104000,24637000,-172.67606,-148.94366,-0.19037,-0.10536,10.66556,0.80695,0.24545,-4.88078,-4.77317,0.0327699999999984,25.63807,-0.11269,5.59418,5.523
"15","2014_Q4",129.7265625,"Down",4825000,-9894000,-4650000,-5244000,-5069000,-816000,-816000,-5885000,6556000,671000,671000,671000,671000,671000,85570000,70241000,1071000,1071000,86641000,9467000,334000,334000,9801000,96442000,4905000,2869000,2036000,10367000,20359000,6639000,4952000,26998000,37365000,224064000,-164988000,59077000,59077000,96442000,671000,151000,-5596000,-818000,-5592000,-2797000,-755000,-3552000,1657000,1657000,1657000,-7487000,-7487000,-7487000,-4918000,24869000,-1.05057,0.13907,0.01136,0.00696000000000001,8.35738,0.63248,0.25786,0.30872,0.30318,2.21995,27.18099,0.00741000000000001,12.34262,11.97495
"16","2015_Q1",130.804918032787,"Up",226000,-12005000,-4724000,-7281000,-11779000,-821000,-821000,-12600000,-1218000,-13818000,-13818000,-13818000,-13818000,-13818000,75350000,60038000,948000,948000,76298000,9818000,3e+05,3e+05,10118000,86416000,6085000,2431000,3654000,13731000,18015000,8014000,6388000,26029000,39760000,225466000,-178806000,46656000,46656000,86416000,-13818000,397000,3196000,1304000,-8921000,-749000,-16000,-765000.000000001,-517000,-517000,-517000,-10203000,-10203000,-10203000,-11382000,24874000,-52.11947,-61.14159,-0.29617,-0.1599,5.55662,0.85219,0.28784,-6.32179,-6.07049,0.1034,21.3453,-0.17372,4.43472,4.28525
"17","2015_Q2",78.2063492063492,"Down",181000,-10827000,-4521000,-6306000,-10646000,-806000,-806000,-11452000,1426000,-10026000,-10026000,-10026000,-10026000,-10026000,64438000,49144000,979000,979000,65417000,9846000,329000,329000,10175000,75592000,5463000,2685000,2778000,15360000,15850000,3297000,1671000,19147000,34507000,229917000,-188832000,41085000,41085000,75592000,-10026000,488000,-1118000,-93000,-10749000,-516000,2000,-514000,369000,369000,369000,-10894000,-10894000,-10894000,-10158000,25141000,-58.81768,-55.39227,-0.24403,-0.13263,4.25892,0.83989,0.33259,-4.57045,-4.51353,0.08251,18.72901,-0.14421,3.86858,3.69125
"18","2015_Q3",82.19375,"Up",1924000,-10045000,-2735000,-7310000,-8121000,-777000,-777000,-8898000,1999.99999999907,-8896000,-8896000,-8896000,-8896000,-8896000,51195000,35842000,2324000,2324000,53519000,9715000,326000,326000,10041000,63560000,3645000,1597000,2048000,13306000,13623000,3240000,1646000,16863000,30169000,231118000,-197728000,33391000,33391000,63560000,-8896000,509000,1382000,-3684000,-10689000,-378000,-85000,-463000,90000,90000,-2150000,-13302000,-13302000,-13302000,-7612000,23132000,-4.22089,-4.6237,-0.26642,-0.13996,4.02217,0.90351,0.36394,-4.01233,-4.01233,0.86778,15.06023,-0.14885,3.68668,3.45561
"19","2015_Q4",85.796875,"Up",15428000,-8323000,-2930000,-5393000,7105000,-713000,-713000,6392000,-551000,5841000,5069000,5069000,5069000,5069000,104333000,95042000,883000,883000,122592000,8740000,228000,228000,8968000,131560000,4814000,1701000,3113000,7885000,20716000,62993000,62800000,83709000,91594000,232623000,-192659000,39966000,39966000,131560000,5069000,505000,2828000,-13912000,-5510000,-228000,6029000,5801000,234000,234000,58909000,59200000,59200000,59200000,7610000,20716000,0.46053,0.32856,0.12683,0.03853,15.5475,2.2918,0.15746,2.28298,2.25043,6.94846,17.99989,0.04099,-10.98778,-11.76875
"20","2016_Q1",69.3622950819672,"Down",1730000,-7496000,-4017000,-3479000,-7536000,-681000,-681000,-8217000,-2341000,-10558000,-10546000,-10546000,-10546000,-10546000,113464000,107922000,1731000,1731000,118947000,8610000,228000,228000,8838000,127785000,5517000,1561000,3956000,12780000,16381000,65511000,64918000,81892000,94672000,236319000,-203205000,33113000,33113000,127785000,-10546000,482000,3866000,13193000,6995000,-334000,3713000,3379000,2506000,2506000,2506000,12880000,12880000,12880000,-7054000,20922000,-4.35607,-6.09595,-0.31849,-0.08253,9.30728,2.85906,0.16373,-4.73158,-4.78768,0.77618,14.85651,-0.08822,13.11908,12.27999
"21","2016_Q2",65.521875,"Down",3025000,-7948000,-3777000,-4171000,-8522000,-680000,-680000,-9202000,-1777000,-10979000,-10981000,-10981000,-10981000,-10981000,107157000,105429000,1521000,1521000,112794000,8203000,228000,228000,8431000,121225000,6041000,3600000,2441000,16804000,11942000,69036000,66596000,80978000,97782000,237625000,-214186000,23443000,23443000,121225000,-10981000,512000,3230000,1010000,-6229000,-190000,3805000,3615000,121000,121000,121000,-2493000,-2493000,-2493000,-8010000,21132000,-2.81719,-3.63008,-0.46841,-0.09058,6.71233,4.17105,0.17432,-4.84953,-4.84845,1.33593,10.35311,-0.09665,10.7397,10.09446
"22","2016_Q3",66.44375,"Up",4531000,-9877000,-3597000,-6280000,-8322000,-687000,-687000,-9009000,-2083000,-11092000,-11092000,-11092000,-11092000,-11092000,98800000,97800000,1237000,1237000,105550000,7794000,228000,228000,8022000,113572000,5771000,2857000,2914000,21027000,7406000,71641000,68528000,79047000,100074000,238770000,-225278000,13498000,13498000,113572000,-11092000,517000,3489000,-1152000,-8238000,-118000,727000,609000,2.3283064365387e-10,2.3283064365387e-10,0,-7629000,-7629000,-7629000,-7805000,21348000,-1.83668,-2.44802,-0.82175,-0.09766,5.01974,7.41399,0.18797,-4.89581,-4.89581,1.9999,5.95777,-0.10416,9.92338,9.3069
"23","2016_Q4",61.4857142857143,"Down",3366000,-8762000,-4145000,-4617000,-7975000,-702000,-702000,-8677000,-2761000,-11438000,-11402000,-11402000,-11402000,-11402000,92462000,92462000,1067000,1067000,96922000,8848000,228000,228000,9076000,105998000,5491000,1351000,4140000,15530000,12145000,75051000,71136000,87196000,102726000,239951000,-236680000,3272000,3272000,105998000,-11402000,516000,4105000,2168000,-4613000,-1573000,995000,-578000,58000,58000,-147000,-5338000,-5338000,-5338000,-7459000,21325000,-2.36928,-3.3874,-3.48472,-0.10757,6.24095,31.39548,0.20118,-5.03186,-5.03186,1.48546,1.44398,-0.11442,9.53707,8.92
"24","2017_Q1",58.8467741935484,"Down",6435000,-10412000,-4078000,-6334000,-7138000,-701000,-701000,-7839000,-1843000,-9682000,-9682000,-9682000,-9682000,-9682000,80310000,80310000,756000,756000,89053000,10712000,228000,228000,10940000,99993000,6153000,1558000,4595000,10191000,18637000,76502000,72678000,95139000,105330000,241022000,-246362000,-5337000,-5337000,99993000,-9682000,507000,3157000,-4297000,-10315000,-1839000,1999.99999999953,-1837000,5.82076609134674e-11,5.82076609134674e-11,0,-12152000,-12152000,-12152000,-6631000,21549000,-1.10925,-1.50458,1.81413,-0.09683,8.7384,-19.73581,0.21551,-4.2714,-4.27235,2.83892,-2.35452,-0.10443,8.86156,8.23214
"25","2017_Q2",50.7936507936508,"Down",3109000,-11057000,-4138000,-6919000,-12073000,-774000,-774000,-12847000,-2704000,-15551000,-15551000,-15551000,-15551000,-15551000,72332000,72332000,1079000,1079000,77971000,10245000,228000,228000,10473000,88444000,6231000,1687000,4544000,12753000,16584000,78763000,75029000,95347000,108100000,242259000,-261913000,-19656000,-19656000,88444000,-15551000,480000,3964000,3572000,-7535000,-536000,0,-536000,93000,93000,93000,-7978000,-7978000,-7978000,-11593000,21640000,-3.88324,-5.00193,0.79116,-0.17583,6.11393,-5.49959000000001,0.24467,-6.85848,-6.85848,1.37117,-8.66891,-0.19259,4.37264,4.19879
"26","2017_Q3",62.3333333333333,"Up",2659000,-9057000,-4156000,-4901000,-9941000,-903000,-903000,-10844000,-2213000,-13057000,-13059000,-13059000,-13059000,-13059000,62148000,62148000,971000,971000,66769000,11193000,228000,228000,11421000,78190000,5393000,1028000,4365000,13561000,14891000,81362000,77719000,96253000,109814000,243348000,-274972000,-31624000,-31624000,78190000,-13059000,468000,4092000,-271000,-8770000,-1425000,-1.16415321826935e-10,-1425000,10999.9999999991,10999.9999999991,11000.0000000005,-10184000,-10184000,-10184000,-9473000,22020000,-3.73862,-4.91124,0.41295,-0.16702,4.9236,-3.47249,0.28162,-5.75547,-5.75547,1.1719,-13.93758,-0.18199,4.23604,4.03662
"27","2017_Q4",48.7952380952381,"Down",1487000,-8319000,-4406000,-3913000,-8861000,-919000,-919000,-9780000,-3233000,-13013000,-13013000,-13013000,-13013000,-13013000,67936000,67936000,823000,823000,71071000,11287000,385000,385000,11672000,82743000,4785000,1246000,3539000,14872000,13151000,85029000,81476000,98180000,113052000,257676000,-287985000,-30309000,-30309000,82743000,-13013000,440000,4891000,898000,-6784000,-534000,0,-534000,13310000,13310000,13106000,5788000,5788000,5788000,-8421000,22405000,-5.95898,-8.75118,0.42934,-0.15727,4.77885,-3.72998,0.27078,-5.61323,-5.61323,0.64143,-13.07396,-0.16873,5.40684,5.13836
"28","2018_Q1",39.4491803278689,"Down",740000,-7585000,-3909000,-3676000,-7807000,-720000,-720000,-8527000,-2061000,-10588000,-9885000,-9885000,-9885000,-9885000,60469000,52902000,455000,455000,63413000,11051000,1088000,385000,12139000,75552000,4967000,1424000,3543000,13660000,11369000,87032000,83569000,98401000,112061000,261361000,-297870000,-36509000,-36509000,75552000,-9885000,356000,3353000,-5e+05,-6676000,90000,-7565000,-7475000,2631000,2631000,-882999.999999998,-15034000,-15034000,-15034000,-7451000,19096000,-10.55,-13.35811,0.27076,-0.13084,4.64224,-3.06941,0.25275,-3.91943,-3.91943,0.29341,-14.47593,-0.14199,5.55268,5.29947
"29","2018_Q2",59.41875,"Up",343000,-7498000,-3985000,-3513000,-8269000,-643000,-643000,-8912000,-2680000,-11592000,-11592000,-11592000,-11592000,-11592000,51176000,43603000,1044000,1044000,53658000,11067000,1088000,385000,12155000,65813000,4513000,2300000,2213000,13253000,9494000,89946000,86562000,99440000,112693000,262582000,-309462000,-46880000,-46880000,65813000,-11592000,149000,3954000,115000,-7374000,-208000,5000,-203000,141000,141000,-1722000,-9299000,-9299000,-9299000,-8120000,17414000,-24.10787,-33.79592,0.24727,-0.17614,4.04874,-2.40386,0.2646,-4.55205,-4.55205,0.13469,-18.40924,-0.19167,4.15788,4.08296
"30","2018_Q3",64.2571428571429,"Up",818000,-7222000,-3944000,-3278000,-7153000,-586000,-586000,-7739000,-2800000,-10539000,-10541000,-10541000,-10541000,-10541000,50122000,33273000,1403000,1051000,52961000,10923000,736000,385000,11659000,64620000,4352000,1804000,2548000,13213000,7539000,92834000,89529000,100373000,113586000,271037000,-320003000,-48966000,-48966000,64620000,-10541000,144000,4095000,-108000,-6410000,-179000,-9249000,-9428000,7407000,7407000,5508000,-10330000,-10330000,-10330000,-7009000,15678000,-8.7445,-12.88631,0.21527,-0.16312,4.00825,-2.31969,0.24262,-4.06662,-4.06662,0.31558,-18.89064,-0.17702,4.91425,4.81532
"31","2018_Q4",67.1555555555556,"Up",377000,-8830000,-5188000,-3642000,-9328000,-529000,-529000,-9857000,-2601000,-12458000,-12458000,-12458000,-12458000,-12458000,63561000,57566000,1400000,1048000,66004000,11004000,736000,385000,11740000,77744000,5396000,1775000,3621000,14471000,5502000,95558000,92331000,101060000,115531000,294674000,-332461000,-37787000,-37787000,77744000,-12458000,142000,4733000,1282000,-6301000,-186000,10900000,10714000,21829000,21829000,19880000,24293000,24293000,24293000,-9186000,13874000,-24.74271,-33.04509,0.32969,-0.16024,4.56112,-3.05743,0.17846,-4.15236,-4.15236,0.12566,-12.59474,-0.17389,5.40899,5.32665
"32","2019_Q1",58.2655737704918,"Down",613000,-10352000,-7648000,-2704000,-10977000,-459000,-459000,-11436000,-1122000,-12558000,-12558000,-12558000,-12558000,-12558000,105715000,87975000,1376000,1024000,107994000,11483000,1056000,705000,12539000,120533000,6610000,2070000,4540000,15928000,3380000,96972000,93824000,100352000,116280000,349272000,-345019000,4253000,4253000,120533000,-12558000,140000,2850000,578000,-8990000,-246000,-11714000,-11960000,53366000,53366000,51359000,30409000,30409000,30409000,-10837000,11991000,-17.90701,-20.48613,-2.95274,-0.10419,6.78014,27.3407,0.09948,-3.54459,-3.54459,0.17302,1.20044,-0.11092,8.64852,8.53822
"33","2019_Q2",60.0571428571429,"Up",265000,-11353000,-9976000,-1377000,-12318000,-376000,-376000,-12694000,-980000,-13674000,-13674000,-13674000,-13674000,-13674000,90150000,73312000,2571000,2219000,95345000,12153000,5946000,5595000,18099000,113444000,7276000,3698000,3578000,18945000,-1.86264514923096e-09,102390000,99321000,102390000,121335000,350649000,-358540000,-7891000,-7891000,113444000,-13674000,328000,2584000,-2478000,-13240000,-658000,1029000,371000,270000,270000,-1794000,-14663000,-14663000,-14663000,-11990000,10026000,-46.48302,-51.6,1.73286,-0.12054,5.03273,-15.37638,0.08838,-3.47105,-3.47105,0.06727,-2.00308,-0.13082,6.68257,6.50463
"34","2019_Q3",49.15,"Down",941000,-12492000,-11329000,-1163000,-13361000,-5e+05,-5e+05,-13861000,1452000,-12409000,-12412000,-12412000,-12412000,-12412000,91546000,65071000,2207000,1855000,96818000,12598000,5696000,5345000,18294000,115112000,6610000,2334000,4276000,8285000,23770000,101476000,98486000,125246000,133531000,352533000,-370952000,-18419000,-18419000,115112000,-12412000,406000,384000,-697000,-12319000,-1132000,-9485000,-10617000,155000,155000,14695000,-8240999.99999999,-8240999.99999999,-8240999.99999999,-12955000,23770000,-14.19872,-13.19022,0.67387,-0.10783,11.68594,-7.24963,0.20649,-3.14614,-3.14614,0.23852,-4.66876,-0.11619,5.23165,5.07267
"35","2019_Q4",40.828125,"Down",608000,-11994000,-10936000,-1058000,-13534000,-828000,-828000,-14362000,1631000,-12731000,-12731000,-12731000,-12731000,-12731000,80400000,21949000,2045000,1693000,85669000,13844000,5465000,5114000,19309000,104978000,7554000,2649000,4905000,11431000,21924000,99897000,96985000,121821000,133252000,355409000,-383683000,-28274000,-28274000,104978000,-12731000,419000,961000,-115000,-11466000,-1438000,-31768000,-33206000,1550000,1550000,1550000,-43122000,-43122000,-43122000,-13115000,24007000,-22.25987,-20.93914,0.45027,-0.12127,7.49444,-4.71288,0.22869,-3.20406,-3.20406,0.15302,-7.11583,-0.13313,4.29989,4.16677
"36","2020_Q1",30.5193548387097,"Down",475000,-13849000,-12786000,-1063000,-14992000,-831000,-831000,-15823000,1400000,-14423000,-14423000,-14423000,-14423000,-14423000,66137000,14684000,1824000,1824000,71688000,14552000,5116000,5116000,19668000,91356000,7248000,1720000,5528000,13611000,20517000,98646000,95813000,119163000,132774000,356688000,-398106000,-41418000,-41418000,91356000,-14423000,515000,369000,-616000,-14155000,-242000,7131000,6888999.99999999,1000.00000000023,1000.00000000023,1000,-7265000,-7265000,-7265000,-14477000,25147000,-31.56211,-30.36421,0.34823,-0.15788,5.26692,-3.20571,0.27526,-3.6249,-3.6249,0.11938,-10.4095,-0.17509,2.83139,2.73412
"37","2020_Q2",27.8603174603175,"Down",386000,-14723000,-13311000,-1412000,-15848000,-920000,-855000,-16768000,843000,-15925000,-15925000,-15925000,-15925000,-15925000,52725000,23886000,1654000,1654000,58045000,14670000,4624000,4624000,19294000,77339000,7370000,3248000,4122000,15721000,19133000,97766000,95012000,116899000,132620000,358750000,-414031000,-55281000,-55281000,77339000,-15925000,487000,601000,473000,-14364000,-73000,22723000,22650000,1002000,1002000,916000,9202000,9202000,9202000,-15361000,25744000,-41.05699,-41.25648,0.28807,-0.20591,3.6922,-2.39902,0.33287,-3.9784,-3.9784,0.09643,-13.81034,-0.23341,1.75646,1.70249
